source_headword	ET	example_ET
dirt	mustus	Tema kingad olid mustusega kaetud.
disadvantage	puudus	Pikk teekond on puudus.
disappointed	pettunud	Ta tundis tulemuse pärast pettumust.
disappointing	pettumust valmistav	Lõpp oli pettumust valmistav.
discount	allahindlus	Õpilased saavad siin allahindlust.
dislike	mitte sallima	Ma ei salli väga valju muusikat.
divide	jagama	Jaga kook tükkideks.
documentary	dokumentaalfilm	Vaatasime dokumentaalfilmi kosmosest.
donate	annetama	Paljud inimesed annetavad vanu riideid.
doubt	kahtlus	Mul ei ole selles kahtlust.
dressed	riides	Ta oli musta riietatud.
drum	trumm	Trumm kõlas üle toa.
drunk	purjus	Juht oli purjus.
due	tähtaegne	Aruande tähtaeg on homme.
dust	tolm	Tolm kattis vanu raamatuid.
duty	kohustus	Minu kohustus on aidata.
earthquake	maavärin	Maavärin kahjustas silda.
eastern	idapoolne	Idapoolne rannik on tuuline.
economic	majanduslik	Riik seisab silmitsi majanduslike probleemidega.
economy	majandus	Majandus kasvas sel aastal.
edge	serv	Seisa servast eemal.
editor	toimetaja	Toimetaja kontrollis artiklit.
educate	harima	Koolid harivad noori.
educated	haritud	Ta on väga haritud.
educational	hariv	Mäng on hariv.
effective	tõhus	See ravim on tõhus.
effectively	tõhusalt	Ta selgitas reeglit tõhusalt.
effort	pingutus	Sinu pingutus muutis palju.
election	valimised	Valimistulemus oli tasavägine.
element	element	Usaldus on oluline element.
embarrassed	piinlikkust tundev	Ta tundis pärast kukkumist piinlikkust.
embarrassing	piinlik	See oli piinlik viga.
emergency	hädaolukord	Hädaolukorras helista sellele numbrile.
emotion	emotsioon	Hirm on tugev emotsioon.
employment	tööhõive	Tööhõive suurenes sel kuul.
encourage	julgustama	Õpetajad julgustavad õpilasi lugema.
enemy	vaenlane	Kaks riiki olid vaenlased.
engaged	kihlatud	Nad kihlusid eelmisel kevadel.
engineering	inseneriteadus	Ta õpib ülikoolis inseneriteadust.
entertain	lõbustama	Laulja lõbustab külalisi.
entertainment	meelelahutus	Linn pakub õhtust meelelahutust.
entrance	sissepääs	Kohtu minuga sissepääsu juures.
entry	sissepääs	Lastele on sissepääs tasuta.
environmental	keskkonna	Arutasime keskkonnaprobleeme.
episode	osa	Viimane osa oli põnev.
equal	võrdne	Nad saavad võrdset palka.
equally	võrdselt	Töö on jagatud võrdselt.
escape	põgenema	Vangid püüdsid põgeneda.
essential	hädavajalik	Vesi on eluks hädavajalik.
eventually	lõpuks	Lõpuks leidsime hotelli.
examine	uurima	Arst uuris mu kätt.
exchange	vahetus	Tegime poes vahetuse.
excitement	põnevus	Mäng oli täis põnevust.
exhibition	näitus	Kunstinäitus avatakse homme.
expand	laienema	Ettevõte plaanib laieneda.
expected	oodatav	Oodatav kulu on suur.
expedition	ekspeditsioon	Ekspeditsioon ületas kõrbe.
experienced	kogenud	Ta on kogenud õde.
explode	plahvatama	Pudel võib kuumuse käes plahvatada.
explore	avastama	Avastasime vanalinna.
explosion	plahvatus	Plahvatus lõhkus mitu akent.
export	eksport	Kohv on oluline eksport.
fairly	üsna	Test oli üsna lihtne.
familiar	tuttav	Tema nägu tundus tuttav.
fancy	soovima	Kas sa soovid kohvi?
fascinating	põnev	Lugu oli põnev.
fashionable	moekas	Need kingad on moekad.
fasten	kinnitama	Kinnita turvavöö.
favour	teene	Kas saad mulle teene teha?
fence	tara	Tara ümbritseb aeda.
fighting	võitlus	Võitlus lõppes koidikul.
file	fail	Salvesta fail enne sulgemist.
financial	rahaline	Ta vajab rahalist nõu.
fitness	füüsiline vorm	Jooksmine parandab sinu füüsilist vormi.
fixed	fikseeritud	Hind on fikseeritud.
flag	lipp	Lipp lehvis kooli kohal.
flood	üleujutus	Üleujutus kahjustas paljusid kodusid.
flour	jahu	Lisa kaussi jahu.
flow	voolama	Jõgi voolab läbi linna.
fold	voltima	Voldi paber pooleks.
folk	rahvamuusika	Saalis kõlas rahvamuusika.
force	jõud	Tuulel oli suur jõud.
forever	igavesti	Mäletan seda igavesti.
frame	raam	Foto vajab raami.
freeze	külmuma	Vesi külmub öösel.
frequently	sageli	Ta külastab sageli oma vanemaid.
friendship	sõprus	Nende sõprus kestis aastaid.
frighten	hirmutama	Valjud helid hirmutavad last.
frightened	hirmunud	Laps näis hirmunud.
frightening	hirmutav	Torm oli hirmutav.
frozen	külmunud	Järv oli külmunud.
fry	praadima	Prae sibulaid viis minutit.
fuel	kütus	Auto vajab rohkem kütust.
function	funktsioon	Sellel nupul on üks funktsioon.
fur	karv	Kassil on pehme karv.
garage	garaaž	Auto on garaažis.
gather	kogunema	Kogunesime laua ümber.
generally	üldiselt	Ta saabub üldiselt vara.
generation	põlvkond	Iga põlvkond seisab silmitsi uute probleemidega.
generous	helde	Ta on oma ajaga helde.
gentle	õrn	Kasuta õrna häält.
gentleman	härrasmees	Härrasmees avas ukse.
ghost	kummitus	Loos mainitakse kummitust.
giant	hiiglaslik	Hiiglaslik ekraan täitis lava.
glad	rõõmus	Mul on rõõm, et sa tulid.
global	ülemaailmne	Kliimamuutus on ülemaailmne probleem.
glove	kinnas	Kaotasin ühe kinda.
goods	kaubad	Kaubad saabusid hilja.
grade	hinne	Ta sai kõrge hinde.
graduate	lõpetanu	Ta on hiljutine lõpetanu.
grain	tera	Riisiterake kukkus maha.
grateful	tänulik	Olen sinu toetuse eest tänulik.
growth	kasv	Taim näitas püsivat kasvu.
guard	valvur	Valvur kontrollis meie pileteid.
guilty	süüdi	Ta tundis end valetamise pärast süüdi.
hang	riputama	Riputa mantel siia.
happiness	õnn	Raha ei saa õnne osta.
hardly	vaevu	Ma kuulsin sind vaevu.
headline	pealkiri	Pealkiri püüdis mu tähelepanu.
heating	küte	Küte lakkas töötamast.
heavily	tugevalt	Kogu öö sadas tugevalt.
helicopter	helikopter	Lähedal maandus helikopter.
highlight	esile tõstma	Palun tõsta põhiidee esile.
highly	väga	Ta on väga austatud.
hire	rentima	Peame auto rentima.
historic	ajalooline	Külastasime ajaloolist hoonet.
historical	ajalooline	Talle meeldivad ajaloolised romaanid.
honest	aus	Palun anna aus vastus.
horrible	kohutav	Lõhn oli kohutav.
horror	õudus	Talle meeldivad õudusfilmid.
host	võõrustaja	Võõrustaja tervitas iga külalist.
