source_headword	MY	example_MY
brilliant	ထူးချွန်သော	အဲဒီအကြံက ထူးချွန်တယ်။
broken	ပျက်နေသော; ကျိုးပဲ့သော	ကုလားထိုင်က ပျက်နေတယ်။
brush	ဖြီးသည်; စုတ်တံ	အခု သွားကို တိုက်ပါ။
burn	မီးလောင်သည်; လောင်ကျွမ်းသည်	ပေါင်မုန့်ကို မလောင်စေနဲ့။
businessman	စီးပွားရေးသမား	စီးပွားရေးသမားက စောစော ရောက်လာတယ်။
button	ခလုတ်	အနီရောင် ခလုတ်ကို နှိပ်ပါ။
camp	စခန်း; စခန်းချသည်	ကျွန်တော်တို့ ရေကန်နားမှာ စခန်းချတယ်။
camping	စခန်းချခြင်း	နွေရာသီမှာ စခန်းချတာ ပျော်စရာကောင်းတယ်။
can2	သံဘူး	သံဘူးကို သတိထားပြီး ဖွင့်ပါ။
care	ဂရုစိုက်မှု	မင်းကျန်းမာရေးကို ဂရုစိုက်ပါ။
careful	သတိထားသော	လှေကားပေါ်မှာ သတိထားပါ။
carefully	သတိထားစွာ	မေးခွန်းကို သတိထားစွာ ဖတ်ပါ။
carpet	ကော်ဇော	ကော်ဇောက နူးညံ့တယ်။
cartoon	ကာတွန်း	ဒီကာတွန်းက ရယ်စရာကောင်းတယ်။
case	အိတ်; အမှု	ဒါကို အိတ်ထဲ ထည့်ပါ။
cash	ငွေသား	ငွေသားနဲ့ ပေးခဲ့တယ်။
castle	ရဲတိုက်	ရဲတိုက်က အလွန်ဟောင်းတယ်။
catch	ဖမ်းသည်	အခု ဘောလုံးကို ဖမ်းပါ။
cause	အကြောင်းရင်း; ဖြစ်စေသည်	မိုးက ပြဿနာတွေ ဖြစ်စေနိုင်တယ်။
celebrate	ကျင်းပသည်	ကျွန်တော့် မွေးနေ့ကို ကျင်းပတယ်။
celebrity	နာမည်ကြီးသူ	နာမည်ကြီးသူက အလွန်ကြင်နာတယ်။
certain	သေချာသော	ဒီအကြောင်းကို ကျွန်တော် သေချာတယ်။
certainly	သေချာပေါက်	ကျွန်တော် သေချာပေါက် ကူညီမယ်။
chance	အခွင့်အရေး	မင်းမှာ အခွင့်အရေးရှိတယ်။
character	ဇာတ်ကောင်; စရိုက်	ဒီဇာတ်ကောင်က သတ္တိရှိတယ်။
charity	ပရဟိတအဖွဲ့	ပရဟိတအဖွဲ့က ကလေးတွေကို ကူညီတယ်။
chat	စကားပြောသည်	အတန်းပြီးရင် စကားပြောတယ်။
chef	စားဖိုမှူး	စားဖိုမှူးက ဟင်းချို ပြုလုပ်ခဲ့တယ်။
chemistry	ဓာတုဗေဒ	ဓာတုဗေဒက ကျွန်တော့်အတွက် ခက်တယ်။
chip	အာလူးကြော်ပြား; ချပ်	ဒီအာလူးကြော်ပြားက ဆားများတယ်။
choice	ရွေးချယ်မှု	ဒီရွေးချယ်မှုက အရေးကြီးတယ်။
church	ဘုရားကျောင်း	ဘုရားကျောင်းက ဒီနားမှာ ရှိတယ်။
cigarette	စီးကရက်	စီးကရက်က ကျန်းမာရေးအတွက် မကောင်းဘူး။
circle	စက်ဝိုင်း	ဒီမှာ စက်ဝိုင်းတစ်ခု ဆွဲပါ။
classical	ဂန္ထဝင်	ဂန္ထဝင်ဂီတကို ကျွန်တော် နှစ်သက်တယ်။
clear	ရှင်းလင်းသော	အဖြေက ရှင်းလင်းတယ်။
clearly	ရှင်းရှင်းလင်းလင်း	ကျေးဇူးပြု၍ ရှင်းရှင်းလင်းလင်း ပြောပါ။
clever	ဉာဏ်ကောင်းသော	သူမက ဉာဏ်ကောင်းတဲ့ ကလေးပါ။
climate	ရာသီဥတု	ရာသီဥတု ပြောင်းလဲနေတယ်။
close2	နီးသော	ကျွန်တော့် ကျောင်းက အိမ်နဲ့ နီးတယ်။
closed	ပိတ်ထားသော	ဆိုင်က ပိတ်ထားတယ်။
clothing	အဝတ်အစား	နွေးတဲ့ အဝတ်အစားက အသုံးဝင်တယ်။
cloud	တိမ်	တိမ်တစ်ခုက နေကို ဖုံးထားတယ်။
coach	နည်းပြ	နည်းပြက အသင်းကို ကူညီခဲ့တယ်။
coast	ကမ်းရိုးတန်း	ကျွန်တော်တို့ ကမ်းရိုးတန်းတစ်လျှောက် မောင်းခဲ့တယ်။
code	ကုဒ်	ကုဒ်ကို ဒီမှာ ထည့်ပါ။
colleague	လုပ်ဖော်ကိုင်ဖက်	လုပ်ဖော်ကိုင်ဖက်က ကျွန်တော့်ကို ဖုန်းဆက်တယ်။
collect	စုဆောင်းသည်	ကတ်ဟောင်းတွေကို စုဆောင်းတယ်။
column	ကော်လံ; တိုင်	ပထမ ကော်လံကို ဖတ်ပါ။
comedy	ဟာသ	ဒီဟာသက ရယ်စရာကောင်းတယ်။
comfortable	သက်သောင့်သက်သာရှိသော	ဒီကုလားထိုင်က သက်သောင့်သက်သာရှိတယ်။
comment	မှတ်ချက်	အောက်မှာ မှတ်ချက်ထားခဲ့ပါ။
communicate	ဆက်သွယ်သည်	အီးမေးလ်နဲ့ ဆက်သွယ်တယ်။
community	အသိုင်းအဝိုင်း	ကျွန်တော်တို့ အသိုင်းအဝိုင်းက ဖော်ရွေတယ်။
compete	ယှဉ်ပြိုင်သည်	သူတို့ နှစ်တိုင်း ယှဉ်ပြိုင်တယ်။
competition	ပြိုင်ပွဲ	ပြိုင်ပွဲက မနက်ဖြန် စမယ်။
complain	တိုင်ကြားသည်	နောက်တစ်ခါ မတိုင်ကြားပါနဲ့။
completely	လုံးဝ	မင်းနဲ့ လုံးဝ သဘောတူတယ်။
condition	အခြေအနေ	ကားက ကောင်းတဲ့ အခြေအနေမှာ ရှိတယ်။
conference	ညီလာခံ	ညီလာခံက ကိုးနာရီမှာ စမယ်။
connect	ချိတ်ဆက်သည်	ဖုန်းကို ကွန်ပျူတာနဲ့ ချိတ်ဆက်ပါ။
connected	ချိတ်ဆက်ထားသော	အကြံနှစ်ခုက ချိတ်ဆက်နေတယ်။
consider	စဉ်းစားသည်	ကျွန်တော့် အကြံကို စဉ်းစားပါ။
contain	ပါဝင်သည်	ဒီသေတ္တာမှာ စာအုပ်တွေ ပါတယ်။
context	အကြောင်းအရာ	အကြောင်းအရာက နားလည်ဖို့ ကူညီတယ်။
continent	တိုက်ကြီး	တိုက်ကြီးတစ်ခုက အလွန်ကြီးတယ်။
continue	ဆက်လုပ်သည်	ကျေးဇူးပြု၍ ဆက်ဖတ်ပါ။
control	ထိန်းချုပ်မှု; ထိန်းချုပ်သည်	အမြန်နှုန်းကို သတိထားပြီး ထိန်းချုပ်ပါ။
cooker	မီးဖို	မီးဖိုက သန့်ရှင်းတယ်။
copy	မိတ္တူ	ကျွန်တော့်အတွက် မိတ္တူတစ်ခု လုပ်ပါ။
corner	ထောင့်	ထောင့်မှာ ထိုင်ပါ။
correctly	မှန်ကန်စွာ	အဖြေကို မှန်ကန်စွာ ရေးပါ။
count	ရေတွက်သည်	စာအုပ်တွေကို ရေတွက်ပါ။
couple	စုံတွဲ	စုံတွဲက စောစော ရောက်လာတယ်။
cover	ဖုံးသည်; အဖုံး	ပန်းကန်လုံးကို ဖုံးပါ။
crazy	ရူးသွပ်သော	ဒီအကြံက ရူးသွပ်သလို ထင်ရတယ်။
creative	ဖန်တီးနိုင်သော	သူမမှာ ဖန်တီးနိုင်တဲ့ အကြံရှိတယ်။
credit	ခရက်ဒစ်	ခရက်ဒစ်ကတ်နဲ့ ပေးခဲ့တယ်။
crime	ရာဇဝတ်မှု	ရာဇဝတ်မှုက ကြီးမားတဲ့ ပြဿနာပါ။
criminal	ရာဇဝတ်သား	ရာဇဝတ်သားက မြန်မြန် ထွက်သွားတယ်။
cross	ဖြတ်ကူးသည်	လမ်းကို သတိထားပြီး ဖြတ်ကူးပါ။
crowd	လူအုပ်	လူအုပ်က အပြင်မှာ စောင့်နေတယ်။
crowded	လူများသော	ရထားက လူများတယ်။
cry	ငိုသည်	အခု မငိုပါနဲ့။
cupboard	ဗီရို	ခွက်တွေက ဗီရိုထဲမှာ ရှိတယ်။
curly	ကောက်ကောက်ဖြစ်သော	သူမရဲ့ ဆံပင်က ကောက်ကောက် ဖြစ်တယ်။
cycle	စက်ဘီးစီးသည်; စက်ဝန်း	ကျောင်းကို စက်ဘီးစီးသွားတယ်။
daily	နေ့စဉ်	နေ့စဉ် သတင်း ဖတ်တယ်။
danger	အန္တရာယ်	ဆိုင်းဘုတ်က အန္တရာယ်ကို ပြတယ်။
data	အချက်အလက်	အချက်အလက်က အသုံးဝင်တယ်။
dead	သေသော	အပင်က သေသွားပြီ။
deal	သဘောတူညီချက်; ကိုင်တွယ်သည်	ဒါက ကောင်းတဲ့ သဘောတူညီချက်ပါ။
death	သေခြင်း	သေခြင်းက ခက်ခဲတဲ့ ခေါင်းစဉ်ပါ။
decision	ဆုံးဖြတ်ချက်	ဒီနေ့ ဆုံးဖြတ်ချက် ချပါ။
deep	နက်သော	ရေက နက်တယ်။
definitely	သေချာပေါက်	လက်ဖက်ရည်ကို သေချာပေါက် လိုချင်တယ်။
degree	ဒီဂရီ; ဘွဲ့	ကျွန်တော့် ဘွဲ့က သမိုင်းဘာသာ ဖြစ်တယ်။
dentist	သွားဆရာဝန်	သွားဆရာဝန်က ကျွန်တော့် သွားတွေကို စစ်ခဲ့တယ်။
department	ဌာန	ဖိနပ်ဌာနက အပေါ်ထပ်မှာ ရှိတယ်။
depend	မူတည်သည်	ဒါက ရာသီဥတုအပေါ် မူတည်တယ်။
desert	သဲကန္တာရ	သဲကန္တာရက အလွန်ခြောက်သွေ့တယ်။
designer	ဒီဇိုင်နာ	ဒီဇိုင်နာက ဒီဝတ်စုံကို ပြုလုပ်ခဲ့တယ်။
destroy	ဖျက်ဆီးသည်	ဖိုင်ကို မဖျက်ဆီးပါနဲ့။
detective	စုံထောက်	စုံထောက်က သော့ကို ရှာတွေ့တယ်။
develop	ဖွံ့ဖြိုးစေသည်	သူတို့ အက်ပ်အသစ်တစ်ခု ဖန်တီးဖွံ့ဖြိုးတယ်။
device	ကိရိယာ	ဒီကိရိယာက အသုံးဝင်တယ်။
diary	ဒိုင်ယာရီ	သူမ ဒိုင်ယာရီထဲမှာ ရေးတယ်။
differently	မတူညီစွာ	ကျွန်တော်တို့ ဒါကို မတူညီစွာ လုပ်တယ်။
digital	ဒစ်ဂျစ်တယ်	ဒီဟာက ဒစ်ဂျစ်တယ် ကင်မရာပါ။
direct	တိုက်ရိုက်သော	တိုက်ရိုက် ရထားကို စီးပါ။
direction	ဦးတည်ရာ	ဒီဦးတည်ရာကို လမ်းလျှောက်ပါ။
director	ဒါရိုက်တာ	ဒါရိုက်တာက ရုပ်ရှင်ကို ကြိုက်ခဲ့တယ်။
disagree	သဘောမတူသည်	အဲဒီအကြံကို ကျွန်တော် သဘောမတူဘူး။
disappear	ပျောက်ကွယ်သည်	နေက မကြာခင် ပျောက်ကွယ်မယ်။
disaster	ဘေးအန္တရာယ်	မုန်တိုင်းက ဘေးအန္တရာယ်တစ်ခု ဖြစ်ခဲ့တယ်။
discover	ရှာဖွေတွေ့ရှိသည်	သူတို့ ကျွန်းအသစ်တစ်ခု ရှာဖွေတွေ့ရှိတယ်။
discovery	ရှာဖွေတွေ့ရှိမှု	ရှာဖွေတွေ့ရှိမှုက သိပ္ပံကို ပြောင်းလဲခဲ့တယ်။
discussion	ဆွေးနွေးမှု	ဆွေးနွေးမှုက စောစော ပြီးသွားတယ်။
disease	ရောဂါ	ဒီရောဂါက အရေးကြီးတယ်။
distance	အကွာအဝေး	အကွာအဝေးက တိုတယ်။
divorced	ကွာရှင်းထားသော	သူမရဲ့ မိဘတွေ ကွာရှင်းထားတယ်။
document	စာရွက်စာတမ်း	ဒီစာရွက်စာတမ်းကို အခု သိမ်းပါ။
double	နှစ်ဆ	နှစ်ဆ အခန်းတစ်ခန်း လိုတယ်။
download	ဒေါင်းလုဒ်လုပ်သည်	ဒီနေ့ အက်ပ်ကို ဒေါင်းလုဒ်လုပ်ပါ။
drama	ဒရမ်မာ; ဇာတ်လမ်း	ဒီည ဒရမ်မာ စမယ်။
drawing	ပုံဆွဲခြင်း	သူမရဲ့ ပုံဆွဲခြင်းက လှတယ်။
dream	အိပ်မက်	ထူးဆန်းတဲ့ အိပ်မက်တစ်ခု မက်ခဲ့တယ်။
driving	ယာဉ်မောင်းခြင်း	ညအချိန် ယာဉ်မောင်းခြင်းက ခက်တယ်။
drop	ချပစ်သည်	ဖန်ခွက်ကို မချပစ်ပါနဲ့။
drug	ဆေး; မူးယစ်ဆေး	ဆေးက သူ့ကို ကူညီခဲ့တယ်။
dry	ခြောက်သွေ့သော	မျက်နှာသုတ်ပဝါက ခြောက်သွေ့တယ်။
earn	ဝင်ငွေရသည်	အလုပ်မှာ ငွေ ဝင်ငွေရတယ်။
earth	ကမ္ဘာ	ကမ္ဘာက ဝိုင်းတယ်။
easily	လွယ်ကူစွာ	သူမ လွယ်ကူစွာ သင်ယူတယ်။
education	ပညာရေး	ပညာရေးက အရေးကြီးတယ်။
effect	အကျိုးသက်ရောက်မှု	အကျိုးသက်ရောက်မှုက ရှင်းလင်းတယ်။
either	တစ်ခုခု	တစ်ခုခုသော အဖြေက ကောင်းတယ်။
electric	လျှပ်စစ်	ဒီကားက လျှပ်စစ်ကား ဖြစ်တယ်။
electrical	လျှပ်စစ်ဆိုင်ရာ	လျှပ်စစ်စနစ်က လုံခြုံတယ်။
electricity	လျှပ်စစ်ဓာတ်အား	ဒီမှာ လျှပ်စစ်ဓာတ်အားက စျေးကြီးတယ်။
electronic	အီလက်ထရောနစ်	ဒီအီလက်ထရောနစ် လက်မှတ်က အလုပ်လုပ်တယ်။
employ	အလုပ်ခန့်သည်	သူတို့ လူငါးယောက်ကို အလုပ်ခန့်တယ်။
employee	ဝန်ထမ်း	ဝန်ထမ်းက ကြိုးစားတယ်။
employer	အလုပ်ရှင်	ကျွန်တော့် အလုပ်ရှင်က မျှတတယ်။
empty	ဗလာဖြစ်သော	အခန်းက ဗလာဖြစ်တယ်။
ending	အဆုံး	အဆုံးက အံ့အားသင့်စရာ ဖြစ်ခဲ့တယ်။
energy	စွမ်းအင်	ဒီနေ့ ကျွန်တော့်မှာ စွမ်းအင် မရှိဘူး။
engine	အင်ဂျင်	အင်ဂျင်က ဆူညံတယ်။
engineer	အင်ဂျင်နီယာ	အင်ဂျင်နီယာက တံတားကို ပြင်ခဲ့တယ်။
enormous	အလွန်ကြီးမားသော	အဆောက်အအုံက အလွန်ကြီးမားတယ်။
enter	ဝင်သည်	အခန်းထဲကို တိတ်တိတ် ဝင်ပါ။
environment	ပတ်ဝန်းကျင်	ပတ်ဝန်းကျင်ကို ကာကွယ်ပါ။
equipment	ပစ္စည်းကိရိယာ	ဒီပစ္စည်းကိရိယာက စျေးကြီးတယ်။
error	အမှား	အမှားတစ်ခုကို တွေ့ခဲ့တယ်။
especially	အထူးသဖြင့်	ဒီသီချင်းကို အထူးသဖြင့် ကြိုက်တယ်။
essay	စာစီစာကုံး	ဒီည စာစီစာကုံး ရေးပါ။
everyday	နေ့စဉ်သုံး	ဒါက နေ့စဉ်သုံး အင်္ဂလိပ်စာပါ။
everywhere	နေရာတိုင်း	ပန်းတွေ နေရာတိုင်း ပေါက်တယ်။
evidence	သက်သေ	သက်သေက ရှင်းလင်းတယ်။
exact	တိကျသော	တိကျတဲ့ နံပါတ်ကို ပေးပါ။
exactly	တိတိကျကျ	အဲဒါက တိတိကျကျ မှန်တယ်။
excellent	အလွန်ကောင်းသော	မင်းရဲ့ အလုပ်က အလွန်ကောင်းတယ်။
except	မှလွဲ၍	ကျွန်တော့်မှလွဲ၍ လူတိုင်း လာခဲ့တယ်။
exist	တည်ရှိသည်	ဒီလိပ်စာ တည်ရှိသလား။
expect	မျှော်လင့်သည်	မနက်ဖြန် မိုးရွာမယ်လို့ မျှော်လင့်တယ်။
experience	အတွေ့အကြုံ	ကလေးတွေနဲ့ အတွေ့အကြုံ ရှိတယ်။
experiment	စမ်းသပ်မှု	စမ်းသပ်မှုက ကောင်းကောင်း အလုပ်ဖြစ်ခဲ့တယ်။
expert	ကျွမ်းကျင်သူ	အကူအညီအတွက် ကျွမ်းကျင်သူကို မေးပါ။
explanation	ရှင်းလင်းချက်	သူမရဲ့ ရှင်းလင်းချက်က ရှင်းလင်းတယ်။
express	ဖော်ပြသည်	ကျေးဇူးပြု၍ မင်းရဲ့ ထင်မြင်ချက်ကို ဖော်ပြပါ။
expression	အသုံးအနှုန်း	ဒီအသုံးအနှုန်းက အသုံးများတယ်။
extreme	အလွန်ပြင်းထန်သော	အပူက အလွန်ပြင်းထန်တယ်။
extremely	အလွန်အမင်း	အလွန်အမင်း အေးတယ်။
factor	အချက်	ကုန်ကျစရိတ်က အချက်တစ်ခုပါ။
factory	စက်ရုံ	စက်ရုံက ငါးနာရီမှာ ပိတ်တယ်။
fail	မအောင်မြင်သည်	ကျွန်တော် မအောင်မြင်ခဲ့ဘူး။
fair	မျှတသော	စျေးနှုန်းက မျှတတယ်။
fan	ပန်ကာ; ပရိသတ်	ပန်ကာကို ဖွင့်ပါ။
farming	လယ်ယာလုပ်ငန်း	လယ်ယာလုပ်ငန်းက ခက်ခဲတဲ့ အလုပ်ပါ။
fashion	ဖက်ရှင်	ဖက်ရှင်က နှစ်တိုင်း ပြောင်းတယ်။
fear	ကြောက်ရွံ့မှု	ကြောက်ရွံ့မှုက လူတွေကို ရပ်တန့်စေနိုင်တယ်။
feature	အင်္ဂါရပ်	ဒီဖုန်းမှာ အသုံးဝင်တဲ့ အင်္ဂါရပ်ရှိတယ်။
feed	အစာကျွေးသည်	အခု ကြောင်ကို အစာကျွေးပါ။
female	အမျိုးသမီး	အမျိုးသမီး အားကစားသမားက နိုင်ခဲ့တယ်။
fiction	စိတ်ကူးယဉ်စာပေ	သူမ ညဘက်မှာ စိတ်ကူးယဉ်စာပေ ဖတ်တယ်။
field	ကွင်း; နယ်ပယ်	ကွင်းက အစိမ်းရောင် ဖြစ်တယ်။
fight	တိုက်ခိုက်သည်; ရန်ဖြစ်သည်	သူတို့ အရမ်း တိုက်ခိုက်တယ်။
figure	ပုံ; ကိန်းဂဏန်း	ပုံကို ကြည့်ပါ။
finally	နောက်ဆုံးတွင်	နောက်ဆုံးတွင် အိမ်ကို ရောက်ခဲ့တယ်။
finger	လက်ချောင်း	ကျွန်တော့် လက်ချောင်း နာတယ်။
