source_headword	PT-BR	example_PT-BR
assistant	o assistente; a assistente	A assistente me ajudou.
athlete	o atleta; a atleta	A atleta corre rápido.
attack	atacar; o ataque	O cachorro pode atacar.
attend	assistir a; frequentar	Eu assisto à aula hoje.
attention	a atenção	Por favor, preste atenção agora.
attractive	atraente	O jardim é atraente.
audience	o público	O público ficou quieto.
author	o autor; a autora	A autora escreveu este livro.
available	disponível	A comida está disponível agora.
average	médio; a média	A média foi boa.
avoid	evitar	Evite a rua movimentada.
award	o prêmio; premiar	Ela ganhou um prêmio.
awful	horrível; péssimo	O tempo estava péssimo.
background	o fundo; o contexto	A foto tem um fundo escuro.
badly	mal	Ele jogou mal hoje.
bar	o bar	A gente se encontrou no bar do hotel.
baseball	o beisebol	O beisebol é popular aqui.
based	baseado; baseada	O filme é baseado em um livro.
basketball	o basquete	A gente joga basquete depois da escola.
bean	o feijão	Este feijão é verde.
bear (animal)	o urso	Um urso vive na floresta.
beat	vencer; bater	Nosso time pode vencer eles.
beef	a carne bovina	Eu comi carne bovina no jantar.
behave	comportar-se	Por favor, comporte-se na aula.
behaviour	o comportamento	O comportamento dele foi educado.
belong	pertencer	Estes sapatos pertencem a mim.
belt	o cinto	O cinto dele é preto.
benefit	o benefício; a vantagem	O exercício tem um benefício real.
billion	o bilhão	Um bilhão é um número enorme.
bin	a lixeira	Coloque o papel na lixeira.
biology	a biologia	Biologia é minha melhor matéria.
birth	o nascimento	O nascimento dela foi em maio.
biscuit	o biscoito	Ela come um biscoito.
bit	um pouco; o pedaço	Eu preciso de um pouco mais de tempo.
blank	o espaço em branco; vazio	Escreva seu nome no espaço em branco.
blood	o sangue	O sangue é vermelho.
blow	soprar	O vento pode soprar forte.
board	o quadro; a tábua	Escreva isso no quadro.
boil	ferver	Ferva a água primeiro.
bone	o osso	O cachorro tem um osso.
borrow	pegar emprestado	Posso pegar sua caneta emprestada?
boss	o chefe; a chefe	Meu chefe é simpático.
bottom	o fundo; a parte de baixo	Assine na parte de baixo.
bowl	a tigela; a vasilha	A tigela está cheia.
brain	o cérebro	Seu cérebro precisa descansar.
bridge	a ponte	A ponte é antiga.
bright	claro; brilhante	O quarto está claro.
brilliant	brilhante; excelente	Essa ideia é excelente.
broken	quebrado; quebrada	A cadeira está quebrada.
brush	escovar; a escova	Escove os dentes agora.
burn	queimar	Não queime o pão.
businessman	o empresário	A empresária chegou cedo.
button	o botão	Pressione o botão vermelho.
camp	acampamento; acampar	A gente acampa perto do lago.
camping	o acampamento	Acampar é divertido no verão.
can2	a lata	Abra a lata com cuidado.
care	o cuidado; cuidar	Cuide da sua saúde.
careful	cuidadoso; cuidadosa	Tenha cuidado nas escadas.
carefully	com cuidado; cuidadosamente	Leia a pergunta com cuidado.
carpet	o tapete	O tapete é macio.
cartoon	o desenho animado	Este desenho animado é engraçado.
case	o caso; a caixa	Coloque isso na caixa.
cash	o dinheiro; o dinheiro vivo	Eu paguei em dinheiro.
castle	o castelo	O castelo é muito antigo.
catch	pegar; apanhar	Pegue a bola agora.
cause	a causa; causar	A chuva pode causar problemas.
celebrate	celebrar; comemorar	A gente comemora meu aniversário.
celebrity	a celebridade	A celebridade foi muito gentil.
certain	certo; certa; seguro	Eu tenho certeza disso.
certainly	certamente; com certeza	Com certeza vou ajudar.
chance	a chance; a oportunidade	Você tem uma chance.
character	o personagem; a personagem	Este personagem é corajoso.
charity	a instituição de caridade; a caridade	A instituição de caridade ajuda crianças.
chat	conversar; o bate-papo	A gente conversa depois da aula.
chef	o chef; a chef	A chef fez sopa.
chemistry	a química	Química é difícil para mim.
chip	a batata chips; o chip	Esta batata chips é salgada.
choice	a escolha	Esta escolha é importante.
church	a igreja	A igreja fica perto daqui.
cigarette	o cigarro	Um cigarro faz mal à saúde.
circle	o círculo; circular	Desenhe um círculo aqui.
classical	clássico; clássica	Eu gosto de música clássica.
clear	claro; clara	A resposta é clara.
clearly	claramente	Por favor, fale claramente.
clever	inteligente	Ela é uma criança inteligente.
climate	o clima	O clima está mudando.
close2	perto; próximo	Minha escola fica perto de casa.
closed	fechado; fechada	A loja está fechada.
clothing	a roupa; as roupas	Roupa quente é útil.
cloud	a nuvem	Uma nuvem cobre o sol.
coach	o treinador; a treinadora	A treinadora ajudou o time.
coast	a costa; o litoral	A gente dirigiu ao longo da costa.
code	o código	Digite o código aqui.
colleague	o colega; a colega	Minha colega me ligou.
collect	colecionar; coletar	Eu coleciono cartões antigos.
column	a coluna	Leia a primeira coluna.
comedy	a comédia	Esta comédia é engraçada.
comfortable	confortável	Esta cadeira é confortável.
comment	o comentário; comentar	Deixe um comentário abaixo.
communicate	comunicar-se	A gente se comunica por e-mail.
community	a comunidade	Nossa comunidade é amigável.
compete	competir	Eles competem todos os anos.
competition	a competição; o concurso	A competição começa amanhã.
complain	reclamar	Não reclame de novo.
completely	completamente	Eu concordo completamente com você.
condition	a condição; o estado	O carro está em boas condições.
conference	a conferência	A conferência começa às nove.
connect	conectar; ligar	Conecte o telefone ao computador.
connected	conectado; conectada	As duas ideias estão conectadas.
consider	considerar	Por favor, considere minha ideia.
contain	conter	Esta caixa contém livros.
context	o contexto	O contexto ajuda você a entender.
continent	o continente	Um continente é muito grande.
continue	continuar	Por favor, continue lendo.
control	controlar; o controle	Controle a velocidade com cuidado.
cooker	o fogão	O fogão está limpo.
copy	a cópia; copiar	Faça uma cópia para mim.
corner	o canto	Sente-se no canto.
correctly	corretamente	Escreva a resposta corretamente.
count	contar	Conte os livros.
couple	o casal	O casal chegou cedo.
cover	cobrir; a capa	Cubra a tigela.
crazy	maluco; maluca; louco	Esta ideia parece maluca.
creative	criativo; criativa	Ela tem uma ideia criativa.
credit	o crédito	Eu paguei com cartão de crédito.
crime	o crime	O crime é um problema sério.
criminal	o criminoso; a criminosa	O criminoso saiu rapidamente.
cross	atravessar	Atravesse a rua com cuidado.
crowd	a multidão	Uma multidão esperou do lado de fora.
crowded	lotado; lotada	O trem estava lotado.
cry	chorar	Não chore agora.
cupboard	o armário	As xícaras estão no armário.
curly	cacheado; cacheada	Ela tem cabelo cacheado.
cycle	pedalar; a bicicleta	Eu vou de bicicleta para a escola.
daily	diário; diariamente	Eu leio as notícias diariamente.
danger	o perigo	A placa mostra perigo.
data	os dados	Os dados são úteis.
dead	morto; morta	A planta está morta.
deal	o acordo; a oferta	Esta é uma boa oferta.
death	a morte	A morte é um assunto difícil.
decision	a decisão	Tome uma decisão hoje.
deep	profundo; profunda	A água é profunda.
definitely	definitivamente; com certeza	Com certeza quero chá.
degree	o diploma; o grau	Meu diploma é em história.
dentist	o dentista; a dentista	A dentista examinou meus dentes.
department	o departamento	A seção de sapatos fica no andar de cima.
depend	depender	Isso depende do tempo.
desert	o deserto	O deserto é muito seco.
designer	o designer; a designer	A designer fez este vestido.
destroy	destruir	Não destrua o arquivo.
detective	o detetive; a detetive	A detetive encontrou a chave.
develop	desenvolver	Eles desenvolvem um novo aplicativo.
device	o aparelho; o dispositivo	Este aparelho é útil.
diary	o diário	Ela escreve no diário.
differently	de forma diferente	A gente faz isso de forma diferente.
digital	digital	Esta é uma câmera digital.
direct	direto; direta	Pegue um trem direto.
direction	a direção	Caminhe nesta direção.
director	o diretor; a diretora	A diretora gostou do filme.
disagree	discordar	Eu discordo dessa ideia.
disappear	desaparecer	O sol vai desaparecer logo.
disaster	o desastre; a tragédia	A tempestade foi um desastre.
discover	descobrir	Eles descobrem uma nova ilha.
discovery	a descoberta	A descoberta mudou a ciência.
discussion	a discussão	A discussão terminou cedo.
disease	a doença	Esta doença é séria.
distance	a distância	A distância é curta.
divorced	divorciado; divorciada	Os pais dela são divorciados.
document	o documento	Salve este documento agora.
double	duplo; dupla; para duas pessoas	Eu preciso de um quarto para duas pessoas.
download	baixar; o download	Baixe o aplicativo hoje.
drama	o drama	O drama começa hoje à noite.
drawing	o desenho	O desenho dela é bonito.
dream	o sonho	Sonhei um sonho estranho.
driving	a direção; dirigir	Dirigir à noite é difícil.
drop	deixar cair	Não deixe o copo cair.
drug	o remédio; a droga	O remédio ajudou ele.
dry	seco; seca	A toalha está seca.
earn	ganhar	Eu ganho dinheiro no trabalho.
earth	a Terra; a terra	A Terra é redonda.
easily	facilmente	Ela aprende facilmente.
education	a educação	A educação é importante.
effect	o efeito	O efeito foi claro.
either	qualquer um; um dos dois	Qualquer resposta serve.
electric	elétrico; elétrica	Este carro é elétrico.
electrical	elétrico; elétrica	O sistema elétrico é seguro.
electricity	a eletricidade	A eletricidade é cara aqui.
electronic	eletrônico; eletrônica	Este ingresso eletrônico funciona.
employ	empregar; contratar	Eles contratam cinco pessoas.
employee	o funcionário; a funcionária	A funcionária trabalha muito.
employer	o empregador; a empregadora	Meu empregador é justo.
empty	vazio; vazia	O quarto está vazio.
ending	o final	O final foi surpreendente.
energy	a energia	Eu não tenho energia hoje.
engine	o motor	O motor faz barulho.
engineer	o engenheiro; a engenheira	A engenheira consertou a ponte.
enormous	enorme	O prédio é enorme.
enter	entrar	Entre no quarto em silêncio.
environment	o meio ambiente	Proteja o meio ambiente.
equipment	o equipamento	Este equipamento é caro.
error	o erro	Eu encontrei um erro.
especially	especialmente	Eu gosto especialmente desta música.
essay	a redação	Escreva uma redação hoje à noite.
everyday	cotidiano; do dia a dia	Este é inglês do dia a dia.
everywhere	em todos os lugares	Flores crescem em todos os lugares.
evidence	a evidência; a prova	A evidência é clara.
exact	exato; exata	Dê o número exato.
exactly	exatamente	Isso está exatamente certo.
excellent	excelente	Seu trabalho é excelente.
except	exceto; menos	Todos vieram, exceto eu.
exist	existir	Este endereço existe?
expect	esperar	Eu espero chuva amanhã.
experience	a experiência	Eu tenho experiência com crianças.
experiment	o experimento	O experimento funcionou bem.
expert	o especialista; a especialista	Peça ajuda a um especialista.
explanation	a explicação	A explicação dela foi clara.
express	expressar	Por favor, expresse sua opinião.
expression	a expressão	Esta expressão é comum.
extreme	extremo; extrema	O calor foi extremo.
extremely	extremamente	Está extremamente frio.
factor	o fator	O custo é um fator.
factory	a fábrica	A fábrica fecha às cinco.
fail	falhar; reprovar	Eu não falhei.
fair	justo; justa	O preço é justo.
fan	o ventilador	Ligue o ventilador.
farming	a agricultura	A agricultura é trabalho duro.
fashion	a moda	A moda muda todos os anos.
fear	o medo	O medo pode parar as pessoas.
feature	o recurso; a característica	Este telefone tem um recurso útil.
feed	alimentar	Alimente o gato agora.
female	feminino; mulher	A atleta feminina venceu.
fiction	a ficção	Ela lê ficção à noite.
field	o campo	O campo é verde.
fight	brigar; lutar	Eles brigam demais.
figure	a figura; o número	Olhe para a figura.
finally	finalmente	Finalmente chegamos em casa.
finger	o dedo	Meu dedo dói.
firstly	primeiro	Primeiro, leia a pergunta.
fishing	a pesca	A pesca é popular aqui.
fit	caber; servir	Estes sapatos servem bem.
fix	consertar	Conserte a cadeira quebrada.
flu	a gripe	Eu estou com gripe.
flying	voar; o voo	Voar é rápido.
focus	focar; o foco	Foque nesta tarefa.
following	seguinte	Leia a frase seguinte.
foreign	estrangeiro; estrangeira	Ela fala uma língua estrangeira.
forest	a floresta	A floresta é silenciosa.
fork	o garfo	Use um garfo.
formal	formal	Esta carta é formal.
fortunately	felizmente	Felizmente, ninguém se machucou.
forward	para a frente	Ande para a frente devagar.
fresh	fresco; fresca	O pão está fresco.
