source_headword	VI	example_VI
vote	bỏ phiếu	Hãy nhớ đi bỏ phiếu vào ngày mai.
warn	cảnh báo	Tôi đã cố gắng cảnh báo anh ấy.
warning	lời cảnh báo	Lời cảnh báo đã xuất hiện trên màn hình.
waste	lãng phí	Đừng lãng phí nước sạch.
weapon	vũ khí	Con dao đã trở thành một vũ khí.
weigh	cân	Hãy cân bột một cách cẩn thận.
western	miền Tây	Họ đã xem một bộ phim miền Tây.
whatever	bất cứ thứ gì	Hãy chọn bất cứ thứ gì bạn thích.
whenever	bất cứ khi nào	Hãy gọi bất cứ khi nào bạn cần giúp đỡ.
whether	liệu	Tôi không biết liệu cô ấy có đồng ý hay không.
wing	cánh	Con chim bị thương một bên cánh.
within	trong vòng	Vui lòng trả lời trong vòng hai ngày.
wonder	tự hỏi	Tôi tự hỏi điều gì đã xảy ra.
wool	len	Chiếc áo khoác này được làm bằng len.
worldwide	toàn thế giới	Bài hát đã trở nên phổ biến trên toàn thế giới.
worth	đáng giá	Cuốn sách này rất đáng đọc.
written	bằng văn bản	Vui lòng gửi hướng dẫn bằng văn bản.
yard	cái sân	Bọn trẻ đã chơi trong sân.
youth	thanh niên	Các câu lạc bộ thanh niên hỗ trợ thanh thiếu niên ở địa phương.
