source_headword	LT	example_LT
adverse	neigiamas	Vaistas sukėlė neigiamą poveikį.
advocate	gynėjas	Gynėjas gynė nuomininkų teises.
aesthetic	estetinis	Kambarys turi ramų estetinį stilių.
affection	prieraišumas	Ji parodė prieraišumą savo šeimai.
aftermath	padariniai	Audros padariniai buvo sunkūs.
aggression	agresija	Mokytojas pastebėjo agresiją per pertrauką.
agricultural	žemės ūkio	Žemės ūkio eksportas šiemet išaugo.
aide	padėjėjas	Padėjėjas suorganizavo ministro tvarkaraštį.
albeit	nors ir	Planas suveikė, nors ir lėtai.
alert	įspėti	Prašome nedelsiant įspėti personalą.
align	sutapti	Rodyklės sutampa su keliu.
alignment	suvedimas	Ratų suvedimas pagerino automobilio valdymą.
alike	vienodai	Dvyniai savaitgaliais rengiasi vienodai.
allegation	kaltinimas	Kaltinimas pasirodė laikraštyje.
allege	tvirtinti	Jie tvirtina, kad lėšos buvo prarastos.
allegedly	neva	Vairuotojas neva ignoravo įspėjimą.
alliance	aljansas	Partijos sudarė laikiną aljansą.
allocate	skirti	Miestas skirs pinigų mokykloms.
allocation	paskirstymas	Vietų paskirstymas buvo neteisingas.
allowance	kišenpinigiai	Jos kišenpinigiai padengia pietus ir transportą.
ally	sąjungininkas	Kanada tapo artima sąjungininke.
aluminium	aliuminis	Rėmas pagamintas iš aliuminio.
amateur	mėgėjiškas	Nuotrauką padarė mėgėjas fotografas.
ambassador	ambasadorius	Ambasadorius susitiko su vietiniais studentais.
amend	pakeisti	Parlamentas balsavo už įstatymo pakeitimą.
amendment	pataisa	Pataisa pakeitė vieną pastraipą.
amid	tarp	Kalba buvo sakoma augant įtampai.
analogy	analogija	Mokytojas panaudojo paprastą analogiją.
anchor	inkaras	Valtis išmetė inkarą netoli salos.
angel	angelas	Vaikas vilkėjo angelo kostiumą.
anonymous	anoniminis	Skundas buvo anoniminis.
apparatus	aparatūra	Laboratorijos aparatūrą reikia išvalyti.
appealing	patrauklus	Pasiūlymas studentams atrodo patrauklus.
appetite	apetitas	Sportas padidino jo apetitą.
applaud	ploti	Žiūrovai pradėjo garsiai ploti.
applicable	taikomas	Nuolaida taikoma šiandien.
appoint	paskirti	Valdyba paskirs direktorių.
appreciation	dėkingumas	Ji išreiškė dėkingumą už jų pagalbą.
arbitrary	savavališkas	Terminas darbuotojams atrodė savavališkas.
architectural	architektūrinis	Miestas saugo savo architektūrinį paveldą.
archive	archyvas	Archyve saugomos senos nuotraukos.
arena	arena	Diskusija persikėlė į viešąją areną.
arguably	ko gero	Tai ko gero geriausias jo romanas.
arm	apginkluoti	Sargybiniai apginkluos vilkstinę.
array	gausa	Parduotuvė siūlo įrankių gausą.
articulate	aiškiai išreikšti	Ji gali aiškiai išreikšti sudėtingas idėjas.
ash	pelenai	Po gaisro automobilį padengė pelenai.
aspiration	siekis	Jos siekis yra tapti chirurge.
aspire	siekti	Daugelis studentų siekia studijuoti užsienyje.
assassination	nužudymas	Nužudymas pakeitė šalies politiką.
assault	užpuolimas	Užpuolimas įvyko netoli stoties.
assemble	surinkti	Darbininkai rankomis surenka baldus.
assembly	susirinkimas	Mokyklos susirinkimas prasideda devintą.
assert	įtvirtinti	Jis bandė įtvirtinti savo autoritetą.
assertion	teiginys	Jos teiginys nustebino komisiją.
assurance	užtikrinimas	Vadovas užtikrino dėl palaikymo.
asylum	prieglobstis	Šeima pasienyje paprašė prieglobsčio.
atrocity	žiaurumas	Filme buvo aprašytas karo žiaurumas.
attain	pasiekti	Nedaugelis bėgikų pasiekia tokį greitį.
attendance	lankomumas	Lankomumas pagerėjo po pranešimo.
attorney	advokatas	Advokatas apklausė liudytoją.
attribute	priskirti	Mokslininkai priskiria padidėjimą taršai.
audit	auditas	Auditas nustatė keletą klaidų.
authentic	autentiškas	Restoranas tiekia autentišką regioninį maistą.
authorize	patvirtinti	Tik vadovai gali patvirtinti pinigų grąžinimą.
auto	automobilių	Automobilių pramonė greitai pasikeitė.
autonomy	autonomija	Regionas nori didesnės autonomijos.
availability	prieinamumas	Vietų prieinamumas yra ribotas.
await	laukti	Keli pranešimai laukia jūsų atsakymo.
backdrop	fonas	Kalnai sudarė dramatišką foną.
backing	parama	Pasiūlymas sulaukė rinkėjų paramos.
backup	atsarginė kopija	Sistema kasdien sukuria atsarginę kopiją.
bail	užstatas	Teisėjas vidurdienį paskyrė užstatą.
ballot	balsavimo biuletenis	Kiekvienas rinkėjas gavo balsavimo biuletenį.
banner	plakatas	Plakatas kabėjo virš įėjimo.
bare	plikas	Kambaryje buvo plikos sienos.
barrel	statinė	Statinė buvo pilna vandens.
bass1	bosas	Bosas skambėjo giliai ir šiltai.
battlefield	mūšio laukas	Senasis mūšio laukas tapo memorialu.
bay	įlanka	Kaimas yra šalia ramios įlankos.
beam	sija	Plieninė sija laiko stogą.
beast	žvėris	Istorija aprašo nuožmų žvėrį.
behalf	vardu	Ji kalbėjo savo komandos vardu.
beloved	mylimas	Mylimas mokytojas šiandien išėjo į pensiją.
bench	suolas	Jie atsisėdo ant medinio suolo.
benchmark	etalonas	Testas tapo pramonės etalonu.
beneath	po	Dokumentai buvo po aplanku.
beneficiary	naudos gavėjas	Jos sūnus buvo pagrindinis naudos gavėjas.
betray	išduoti	Neišduok savo draugo pasitikėjimo.
bind	įpareigoti	Susitarimas įpareigos abi įmones.
biography	biografija	Jo biografija buvo parduota daugybe egzempliorių.
bishop	vyskupas	Vyskupas aplankė kaimo bažnyčią.
bizarre	keistas	Filmas turėjo keistą pabaigą.
blade	ašmenys	Ašmenys perpjovė virvę.
blast	sprogimas	Sprogimas išdaužė netoliese esančius langus.
bleed	kraujuoti	Žaizda pradėjo stipriai kraujuoti.
blend	sumaišyti	Maišykite padažą iki vientisumo.
bless	palaiminti	Kunigas palaimins namus.
blessing	palaiminimas	Parama buvo palaiminimas.
boast	girtis	Jis mėgsta girtis pinigais.
bonus	premija	Darbuotojai gavo atostogų premiją.
boom	bumas	Miestas išgyveno statybų bumą.
bounce	atšokti	Kamuolys gali labai aukštai atšokti.
boundary	riba	Upė žymi ribą.
bow1	nusilenkimas	Aktorius giliai nusilenkė.
breach	pažeidimas	Pažeidimas atskleidė privačius duomenis.
breakdown	išklotinė	Ataskaitoje pateikiama išlaidų išklotinė.
breakthrough	proveržis	Atradimas buvo didelis proveržis.
breed	veistis	Šie paukščiai veisiasi pavasarį.
broadband	plačiajuostis ryšys	Biurui reikia greitesnio plačiajuosčio ryšio.
browser	naršyklė	Prieš prisijungdami atnaujinkite naršyklę.
brutal	žiaurus	Išpuolis buvo žiaurus ir staigus.
buck	doleris	Bilietas kainuoja dešimt dolerių.
buddy	bičiulis	Jo bičiulis laukė lauke.
buffer	buferis	Medžiai sukuria triukšmo buferį.
bulk	urmu	Jie pirko ryžius urmu.
burden	našta	Skola tapo sunkia našta.
bureaucracy	biurokratija	Biurokratija uždelsė leidimą.
burial	laidotuvės	Laidotuvės įvyko auštant.
burst	sprogti	Vamzdis gali sprogti nuo slėgio.
cabinet	ministrų kabinetas	Ministrų kabinetas patvirtino planą.
calculation	skaičiavimas	Skaičiavimas truko kelias minutes.
canvas	drobė	Menininkas tapė ant didelės drobės.
capability	galimybė	Įrenginys turi belaidžio ryšio galimybę.
capitalism	kapitalizmas	Kapitalizmas suformavo šiuolaikinę ekonomiką.
capitalist	kapitalistinis	Kapitalistinė sistema apdovanoja privačias investicijas.
cargo	krovinys	Laivas gabeno medicininį krovinį.
carriage	vagonas	Traukinio vagonas buvo beveik tuščias.
carve	drožti	Jis atidžiai droš medį.
casino	kazino	Kazino atidarytas netoli viešbučio.
casualty	auka	Avarija nusinešė vieną auką.
catalogue	katalogas	Kataloge išvardytas kiekvienas produktas.
cater	aptarnauti	Restoranas gali aptarnauti didelius renginius.
cattle	galvijai	Galvijai ganėsi prie upės.
caution	atsargumas	Būkite atsargūs apledėjusiuose keliuose.
cautious	atsargus	Investuotojai šią savaitę išlieka atsargūs.
cease	nutraukti	Gamykla greitai nutrauks gamybą.
cemetery	kapinės	Kapinės atsiveria į jūrą.
chamber	salė	Balsavimo metu salėje tvyrojo tyla.
chaos	chaosas	Vėlavimas sukėlė chaosą oro uoste.
characterize	apibūdinti	Ekspertai planą apibūdina kaip rizikingą.
charm	žavesys	Miestelis turi senojo pasaulio žavesio.
charter	chartija	Chartija saugo pagrindines teises.
chronic	lėtinis	Jis kenčia nuo lėtinio nugaros skausmo.
chunk	gabalas	Supjaustykite sūrį į gabalą.
circulate	išplatinti	Prašome išplatinti darbotvarkę šiandien.
circulation	tiražas	Laikraščio tiražas smarkiai krito.
citizenship	pilietybė	Ji pateikė prašymą dėl Prancūzijos pilietybės.
civic	pilietinis	Pilietiniai lyderiai dalyvavo susitikime.
civilian	civilis	Keli civiliai namai buvo apgadinti.
clarity	aiškumas	Diagrama ataskaitai suteikė aiškumo.
clash	susidūrimas	Susidūrimas prasidėjo po maršo.
classification	klasifikacija	Klasifikacija priklauso nuo dydžio.
cling	prilipti	Šlapi drabužiai limpa prie odos.
clinical	klinikinis	Klinikinis tyrimas prasideda kitą mėnesį.
closure	uždarymas	Po bylos šeima norėjo užbaigimo.
cluster	grupė	Netoliese stovėjo namų grupė.
coalition	koalicija	Koalicija prarado daugumą.
coastal	pakrantės	Pakrantės kaimai ruošėsi potvyniams.
cocktail	kokteilis	Ji užsisakė vaisių kokteilį.
cognitive	kognityvinis	Kognityviniai įgūdžiai gerėja praktikuojantis.
coincide	sutapti	Festivalis sutaps su išleistuvėmis.
collaborate	bendradarbiauti	Komandos bendradarbiauja kuriant programinę įrangą.
collaboration	bendradarbiavimas	Jų bendradarbiavimas davė puikių rezultatų.
collective	kolektyvinis	Sprendimas buvo kolektyvinis darbas.
collision	susidūrimas	Susidūrimas užblokavo greitkelį.
colonial	kolonijinis	Pastatas yra kolonijinės architektūros.
columnist	apžvalgininkas	Apžvalgininkas kritikavo politiką.
combat	mūšis	Kariai ruošėsi mūšiui.
commence	prasidėti	Ceremonija prasidės vidurdienį.
commentary	komentaras	Rungtynių komentaras buvo gyvas.
commentator	komentatorius	Komentatorius paaiškino sprendimą.
commerce	prekyba	Internetinė prekyba sparčiai augo.
commissioner	komisaras	Komisaras paskelbė naujas taisykles.
commodity	prekė	Kviečiai yra svarbi prekė.
communist	komunistinis	Komunistų partija surengė susitikimą.
companion	palydovas	Jos šuo yra ištikimas palydovas.
comparable	palyginamas	Šie du miestai yra palyginami savo dydžiu.
compassion	atjauta	Slaugytoja parodė didelę atjautą.
compel	priversti	Įrodymai gali priversti atsakyti.
compelling	įtikinamas	Dokumentinis filmas pateikė įtikinamų argumentų.
compensate	kompensuoti	Įmonė kompensuos nukentėjusiems klientams.
compensation	kompensacija	Darbuotojai reikalavo teisingos kompensacijos.
competence	kompetencija	Testas matuoja profesinę kompetenciją.
competent	kompetentingas	Ji yra kompetentinga inžinierė.
compile	rinkti	Tyrėjai renka duomenis iš ligoninių.
complement	papildyti	Vynas papildys patiekalą.
complexity	sudėtingumas	Projektas pasižymi netikėtu sudėtingumu.
compliance	atitiktis	Auditas patikrino teisinę atitiktį.
complication	komplikacija	Operacija turėjo vieną komplikaciją.
comply	laikytis	Įmonės privalo laikytis taisyklių.
composition	kompozicija	Kompoziciją sudaro smuikas ir fortepijonas.
compromise	kompromisas	Kompromisas tenkino abi puses.
compute	apskaičiuoti	Programa gali apskaičiuoti bendrą sumą.
conceal	nuslėpti	Jis bandė nuslėpti žalą.
concede	pripažinti	Ministras atsisakė pripažinti pralaimėjimą.
conceive	sugalvoti	Jie negalėjo sugalvoti geresnio plano.
conception	samprata	Filmas pakeitė mano istorijos sampratą.
concession	nuolaida	Įmonė pasiūlė vieną nuolaidą.
condemn	pasmerkti	Lyderiai viešai smerkia išpuolį.
confer	suteikti	Apdovanojimas suteiks prestižą.
confession	prisipažinimas	Jo prisipažinimas nustebino teismą.
configuration	konfigūracija	Konfigūracija kontroliuoja tinklo prieigą.
confine	apriboti	Taisyklės apriboja šunų buvimą šioje zonoje.
confirmation	patvirtinimas	Gavome patvirtinimą el. paštu.
confront	susidurti	Ji nusprendė susidurti su problema.
confrontation	konfrontacija	Konfrontacija baigėsi be smurto.
congratulate	pasveikinti	Paskambinau pasveikinti sesers.
congregation	bendruomenė	Bendruomenė dainavo kartu.
congressional	kongreso	Kongreso klausymas truko valandas.
conquer	užkariauti	Komanda tikisi užkariauti rinką.
conscience	sąžinė	Jo sąžinė neleistų meluoti.
consciousness	sąmonė	Avarija paveikė jo sąmonę.
consecutive	iš eilės	Ji laimėjo tris mačus iš eilės.
consensus	konsensusas	Komitetas greitai pasiekė konsensusą.
consent	sutikimas	Reikalingas raštiškas sutikimas.
conserve	tausoti	Mes tausojame vandenį sausrų metu.
consistency	nuoseklumas	Nuoseklumas yra svarbus mokantis kalbos.
consolidate	konsoliduoti	Įmonė konsoliduos du biurus.
constituency	rinkimų apygarda	Kandidatas aplankė kiekvieną rinkimų apygardą.
constitute	sudaryti	Moterys sudaro pusę komiteto.
constitution	konstitucija	Konstitucija garantuoja žodžio laisvę.
constitutional	konstitucinis	Teismas peržiūrėjo konstitucines teises.
constraint	apribojimas	Biudžeto apribojimas varžė projektą.
consultation	konsultacija	Konsultacija truko dvi savaites.
contemplate	apsvarstyti	Ji stabtelėjo apsvarstyti pasiūlymą.
contempt	panieka	Jis rodė panieką taisyklėms.
contend	varžytis	Kelios įmonės varžosi dėl sutarties.
contender	pretendentas	Ji yra stipri pretendentė.
content2	patenkintas	Jis buvo patenkintas rezultatu.
contention	ginčas	Pagrindinis ginčas kyla dėl finansavimo.
continually	nuolat	Sistema nuolat tikrina, ar nėra klaidų.
contractor	rangovas	Rangovas sutaisė stogą.
contradiction	prieštaravimas	Jo pareiškime buvo prieštaravimas.
contrary	priešingas	Priešingi įrodymai pakeitė bylą.
contributor	bendraautoris	Ji yra nuolatinė bendraautorė.
conversion	konversija	Konversija pakeitė dolerius į eurus.
convict	nuteisti	Prisiekusieji gali nuteisti įtariamąjį.
conviction	apkaltinamasis nuosprendis	Jo apkaltinamasis nuosprendis šokiravo visuomenę.
cooperate	bendradarbiauti	Prašome bendradarbiauti su tyrimu.
cooperative	bendradarbiaujantis	Personalas buvo bendradarbiaujantis ir ramus.
coordinate	koordinuoti	Jie koordinuoja pristatymus kiekvieną rytą.
coordination	koordinacija	Gera koordinacija sutaupė laiko.
coordinator	koordinatorius	Koordinatorius paskyrė kiekvieną užduotį.
cop	policininkas	Policininkas stovėjo lauke prie nuovados.
copper	varis	Vamzdis pagamintas iš vario.
copyright	autorių teisės	Vaizdą saugo autorių teisės.
correction	pataisymas	Mokytojas padarė vieną pataisymą.
correlate	koreliuoti	Didelis stresas gali koreliuoti su liga.
correlation	koreliacija	Tyrimas atskleidė stiprią koreliaciją.
correspond	atitikti	Šie skaičiai atitinka etiketes.
correspondence	korespondencija	Jų korespondencija truko ne vienerius metus.
correspondent	korespondentas	Korespondentas pranešė iš Kairo.
corresponding	atitinkamas	Kiekvienas mygtukas turi atitinkamą lemputę.
corrupt	korumpuotas	Korumpuotas pareigūnas priėmė pinigus.
corruption	korupcija	Korupcija susilpnino visuomenės pasitikėjimą.
costly	brangus	Klaida komandai buvo brangi.
councillor	tarybos narys	Tarybos narys atsakinėjo į gyventojų klausimus.
counselling	konsultavimas	Po avarijos ji gavo psichologinį konsultavimą.
counsellor	konsultantas	Konsultantas padėjo naujiems studentams.
counter (argue against)	paprieštarauti	Ji bandė paprieštarauti jo argumentui.
counterpart	kolega	Jis susitiko su savo kolega iš Japonijos.
countless	nesuskaičiuojamas	Prie paieškos prisijungė nesuskaičiuojamas kiekis savanorių.
coup	perversmas	Perversmas nušalino prezidentą.
courtesy	mandagumas	Ji padėkojo jiems už mandagumą.
