source_headword	TR	example_TR
offend	gücendirmek / kırmak	Kimseyi kırmak istemedim.
offensive	saldırgan / rahatsız edici	Afiş rahatsız edici bir dil içeriyordu.
opening	açık pozisyon / açılış	İş ilanı birçok başvuranı cezbetti.
operate	çalışmak / işletmek	Makine otomatik olarak çalışabilir.
opponent	rakip	Rakibi politikayı eleştirdi.
oppose	karşı çıkmak	Birçok sakin plana karşı çıkıyor.
opposed	karşı / zıt	Gruplar zıt görüşlere sahipti.
opposition	muhalefet / itiraz	Teklif güçlü bir muhalefetle karşılaştı.
organ	organ	Kalp hayati bir organdır.
origin	köken / başlangıç	Yangının çıkış nedeni bilinmiyor.
otherwise	aksi takdirde	Şimdi çık; aksi takdirde geç kalacaksın.
outcome	sonuç	Sonuç herkesi şaşırttı.
outer	dış	Dış duvarın onarıma ihtiyacı var.
outline	özetlemek / ana hatlarıyla belirtmek	Lütfen ana argümanınızı özetleyin.
overall	genel / toplam	Genel sonuç olumluydu.
owe	borçlu olmak	Sana bir özür borçluyum.
pace	hız / tempo	Sabit bir tempoda yürüyün.
panel	panel / kurul	Kurul iklim politikasını tartıştı.
parliament	parlamento / meclis	Parlamento yeni yasayı onayladı.
participant	katılımcı	Her katılımcı formu imzaladı.
partly	kısmen	Gecikme kısmen bizim hatamızdı.
passage	pasaj / bölüm	Cevaplamadan önce pasajı okuyun.
pension1	emekli maaşı	Emekli maaşı emeklilikten sonra onu destekliyor.
permanent	kalıcı	Kalıcı bir çözüme ihtiyaçları var.
permit	izin vermek	Kurallar kısa ziyaretlere izin veriyor.
perspective	bakış açısı	Onun bakış açısını görmeye çalış.
phase	aşama / evre	Proje son aşamasına girdi.
phenomenon	olgu	Bu olgu birçok kültürde görülür.
philosophy	felsefe	Onun felsefesi pratik eyleme değer verir.
pile	yığın	Masanın üzerini bir evrak yığını kaplamıştı.
pitch	saha	Takım sahayı dikkatlice hazırladı.
plain	sade	Talimatlar sade ve doğrudandı.
pointed	iğneleyici	İğneleyici bir yorum yaptı.
popularity	popülerlik	Şarkıcı internette popülerlik kazandı.
pose	teşkil etmek	Bu soru bir sorun teşkil edebilir.
possess	sahip olmak	Çok az öğrenci bu beceriye sahiptir.
potential	potansiyel	Bu fikrin gerçek bir potansiyeli var.
praise	övgü	Öğretmen içten bir övgüde bulundu.
pregnant	hamile	O, altı aylık hamile.
preparation	hazırlık	İyi bir hazırlık stresi azaltır.
presence	varlık	Onun varlığı ruh halini değiştirdi.
preserve	korumak	Bu tarihi binayı korumalıyız.
prime	başlıca	Başlıca neden zayıf planlamaydı.
principle	prensip	Karar açık bir ilkeye dayanıyordu.
priority	öncelik	Güvenlik bizim ilk önceliğimizdir.
privacy	gizlilik	Müşteriler internette gizlilik bekler.
procedure	prosedür	İşlem otuz dakika sürer.
proof	kanıt	Harekete geçmeden önce kanıta ihtiyacımız var.
proposal	teklif	Teklifin daha fazla detaya ihtiyacı var.
propose	önermek	Farklı bir çözüm öneriyorum.
prospect	ihtimal	Başarısızlık ihtimali onları endişelendirdi.
protection	koruma	Kask temel koruma sağlar.
psychologist	psikolog	Psikolog test sonuçlarını açıkladı.
psychology	psikoloji	Üniversitede psikoloji okuyor.
publication	yayın	Yayın, halkın dikkatini çekti.
pupil	öğrenci	Her öğrenciye yeni bir ders kitabı verildi.
purchase	satın alma	Her ay erzak satın alırlar.
pure	safi	Su safi ve soğuktu.
pursue	sürdürmek	O, tıp kariyerini sürdürecek.
rank	rütbe	O, üst düzey bir rütbeye sahip.
rapid	hızlı	Ülke hızlı bir büyüme gördü.
rapidly	hızla	Fiyatlar bu yıl hızla arttı.
raw	çiğ	Şef çiğ sebzeler hazırladı.
realistic	gerçekçi	Gerçekçi bir son teslim tarihi belirleyin.
reasonable	makul	Bu makul bir istek gibi görünüyor.
recall	hatırlamak	Onun tam olarak ne söylediğini hatırlıyorum.
recover	iyileşmek	O, tedaviden sonra iyileşecek.
reduction	düşüş	Düşüş para tasarrufu sağladı.
regard	kabul etmek	Birçok insan onu dürüst olarak kabul eder.
regional	bölgesel	Bölge ofisi bugün kapandı.
register	kaydolmak	Lütfen konferanstan önce kaydolun.
regret	pişman olmak	Önceki kararımdan pişmanım.
regulation	düzenleme	Yeni düzenleme tüm sürücüleri etkiliyor.
relatively	nispeten	Sınav nispeten kolaydı.
relevant	alakalı	Sadece alakalı detayları seçin.
relief	rahatlama	Haber büyük bir rahatlama getirdi.
rely	güvenmek	Çocuklar yetişkin desteğine güvenirler.
remark	yorum	Yorumu tartışmayı bitirdi.
representative	temsilci	Temsilci yerel işçilerle görüştü.
reputation	itibar	Otelin iyi bir itibarı var.
requirement	gereksinim	Deneyim temel bir gereksinimdir.
rescue	kurtarmak	İnsanları sellerden kurtarırlar.
reserve	ayırmak	Misafirler için yer ayırıyoruz.
resident	sakin	Her sakin bir bildirim aldı.
resist	direnmek	Baskıya direnmeye çalışın.
resolve	çözmek	Anlaşmazlığı barışçıl bir şekilde çözdüler.
resort	tatil yeri	Adadaki tatil yeri mayıs ayında açıldı.
retain	tutmak	Şirket personeli elinde tutmak istiyor.
reveal	ortaya çıkarmak	Rapor gerçeği ortaya çıkaracak.
revolution	devrim	Devrim ülkeyi değiştirdi.
reward	ödül	Sıkı çalışma bir ödülü hak eder.
rhythm	ritim	Şarkının sabit bir ritmi var.
rid	kurtulmak	Şu eski dosyalardan kurtul.
root	kök	Sorunun kökü paradır.
rub	ovalamak	Yüzeyi bir bezle ovalayın.
rubber	kauçuk	Kauçuk conta sızıntıları önler.
rural	kırsal	Birçok kırsal okulun desteğe ihtiyacı var.
rush	acele etmek	Bu kararda acele etmeyin.
satellite	uydu	Uydu yeni görüntüler gönderdi.
satisfied	memnun	Müşteri memnun görünüyordu.
satisfy	tatmin etmek	Cevap onu tatmin etmedi.
saving	tasarruf	Enerji tasarrufu aylık maliyetleri düşürür.
scale	ölçek	Hasarın boyutu büyüktü.
scheme	program	Program genç işçilere yardımcı oluyor.
scream	çığlık	Dışarıda bir çığlık duydular.
sector	sektör	Teknoloji sektörü büyüyor.
secure	kilitlemek	Güvenliğe almak için kapıyı kilitleyin.
seek	aramak	Uzmanlardan tavsiye alırlar.
select	seçmek	En iyi seçeneği seçin.
selection	seçenek	Mağaza geniş bir seçenek sunuyor.
self	benlik	Gerçek benliğini gösterdi.
senior	kıdemli	Kıdemli bir doktor hastayı kontrol etti.
sensitive	hassas	Bu konu çok hassas.
sequence	sıra	Adımların sırasını takip edin.
session	oturum	Eğitim oturumu öğlen başlıyor.
settle	halletmek	Tartışmayı çabucak hallederler.
severe	şiddetli	Fırtına şiddetli sellere neden oldu.
shade	gölge	Gölgede oturun.
shadow	gölge	Pencereden bir gölge geçti.
shallow	sığ	Göl burada sığdır.
shame	utanç	Yalan söyledikten sonra utanç duydu.
shelter	barınak	Okul acil durum barınağı sağladı.
shock	şok	Karar bir şoktu.
shocked	şok olmuş	Haber karşısında şok olmuş görünüyordu.
shooting	silahlı saldırı	Silahlı saldırı istasyonun yakınında oldu.
shot	atış	Kazandıran atış herkesi şaşırttı.
significant	önemli	Keşif önemliydi.
significantly	önemli ölçüde	Maliyetler geçen yıl önemli ölçüde arttı.
silence	sessizlik	Oda sessizliğe büründü.
silk	ipek	Elbise ipekten yapılmıştı.
sincere	içten	Lütfen içten teşekkürlerimi kabul edin.
slave	köle	Yasa her köleyi özgür kıldı.
slide	kaymak	Çocuk kaydıraktan kaydı.
slight	hafif	Hafif bir gecikme oldu.
slip	kaymak	Islak zeminde kaymayın.
slope	yamaç	Patika dik bir yamacı takip ediyor.
solar	güneş	Ev güneş enerjisi kullanıyor.
somewhat	biraz	Talimatlar biraz kafa karıştırıcıydı.
soul	ruh	Müzik onun ruhunu yüceltti.
specialist	uzman	Uzman hastayı muayene etti.
species	tür	Bu tür nehirlerin yakınında yaşar.
spiritual	manevi	Manevi bir deneyim anlattı.
split	bölüşmek	Hesabı eşit olarak bölüştüler.
sponsor	sponsor olmak	Şirket etkinliğe sponsor olacak.
stable	stabil	Hasta stabil.
stare	dik dik bakmak	Yabancılara dik dik bakmayın.
status	statü	Statüsü bir gecede değişti.
steady	sabit	Sabit bir hızı koruyun.
steel	çelik	Köprü çelikten yapılmıştır.
steep	dik	Tepe diktir.
sticky	yapışkan	Zemin yapışkan hissettiriyor.
stiff	tutulmuş	Omuzu tutulmuştu.
stock	stok	Dükkanda hiç stok kalmadı.
stream	dere	Küçük bir dere tarladan geçiyor.
stretch	esnetmek	Uçuştan sonra bacaklarınızı esnetin.
strict	katı	Okulun katı kuralları var.
strike	grev yapmak	İşçiler yarın grev yapabilir.
struggle	zorlanmak	Birçok aile kira konusunda zorlanıyor.
submit	teslim etmek	Formu cumaya kadar teslim edin.
sum	toplam	Toplam beklenenden daha yüksekti.
surgery	ameliyat	Ameliyat iki saat sürdü.
surround	çevrelemek	Evi uzun ağaçlar çevreliyor.
surrounding	çevredeki	Çevredeki alan sessiz.
suspect	şüphelenmek	Polis yerel bir adamdan şüpheleniyor.
swear	küfür etmek	Sınıfta küfür etmeyin.
sweep	süpürmek	Misafirler gelmeden önce yeri süpürün.
sympathy	üzüntü	Kurbanlar için üzüntüsünü ifade etti.
tale	masal	Büyükanne garip bir masal anlattı.
tank	depo	Depo temiz su tutuyor.
tear1	yırtmak	Belgeyi yırtmayın.
tear2	gözyaşı	Yanağından bir gözyaşı süzüldü.
temporary	geçici	Ofis geçici bir sığınaktır.
therapy	terapi	Fizik tedavi iyileşmesine yardımcı oldu.
threat	tehdit	Mesaj bir tehdit içeriyordu.
threaten	tehdit etmek	Fırtına ekinleri tehdit edebilir.
thus	böylece	Yol kapalıydı; böylece bekledik.
tone	ses tonu	Ses tonu sakin geliyordu.
tough	zor	Görüşme zor geçti.
transfer	aktarmak	Her gece veri aktarırlar.
transform	dönüştürmek	Yeni politika hizmetleri dönüştürecek.
transition	geçiş	Geçiş birkaç ay sürdü.
trial	duruşma	Duruşma haftaya başlıyor.
tropical	tropikal	Tropikal fırtınalar burada yaygındır.
truly	gerçekten	Yardımınızı gerçekten takdir ediyorum.
trust	güven	Güven inşa etmek zaman alır.
tune	melodi	Grup neşeli bir melodi çaldı.
tunnel	tünel	Tünel nehrin altından geçiyor.
ultimately	eninde sonunda	Eninde sonunda, plan başarılı oldu.
unconscious	baygın	Hasta baygın kaldı.
unexpected	beklenmedik	Gecikme beklenmedikti.
unique	eşsiz	Her tasarım eşsizdir.
universe	evren	Evren genişliyor.
unknown	bilinmeyen	İsim hala bilinmiyor.
upper	üst	Üst raf boş.
upwards	yukarı doğru	Duman yukarı doğru hareket etti.
urban	kentsel	Kentsel alanların daha iyi ulaşıma ihtiyacı var.
urge	teşvik etmek	Doktorlar insanları egzersiz yapmaya teşvik ediyor.
vary	değişmek	Fiyatlar bölgeye göre değişir.
vast	çok geniş	Çöl çok geniş bir alanı kaplıyor.
venue	mekan	Mekan beş yüz kişi alıyor.
via	aracılığıyla	Belgeyi e-posta aracılığıyla gönderin.
victory	zafer	Takım zaferini kutladı.
violence	şiddet	Şehir siyasi şiddete maruz kaldı.
virtual	sanal	Toplantı sanal.
vision	vizyon	Vizyonu şirketi şekillendirdi.
visual	görsel	Rapor görsel örnekler içeriyor.
vital	hayati	Su yaşam için hayatidir.
vitamin	vitamin	Portakal C vitamini içerir.
volume	ses seviyesi	Ses seviyesini kısın.
wage	maaş	İşçiler daha yüksek maaş talep etti.
weakness	zayıflık	Planın bir zayıflığı var.
wealth	servet	Serveti ticaretten geliyordu.
wealthy	zengin	Zengin aile müzeyi finanse etti.
whereas	oysa	O çayı sever, oysa ben kahveyi tercih ederim.
wherever	her nereye	Kendinizi rahat hissettiğiniz her yere oturun.
whisper	fısıldamak	Lütfen tören sırasında fısıldayın.
whom	kimi	Kimi davet ettin?
widely	yaygın olarak	Kitap yaygın olarak okunuyor.
wildlife	yaban hayatı	Park yerel yaban hayatını koruyor.
willing	istekli	Yardım etmeye istekli.
wind2	sarmak	Kabloyu makaraya sarın.
wire	tel	Tel iki cihazı birbirine bağlar.
wise	akıllıca	Bu akıllıca bir seçimdi.
witness	tanık	Bir tanık kazayı anlattı.
wound	yara	Yarayı dikkatlice temizleyin.
wrap	sarmak	Hediyeyi kağıda sarın.
zone	bölge	Bu bölge trafiğe kapalıdır.
