hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
1092:出租	出租	出租	ქირით გაცემა	ეს ბინა შეიძლება ქირით გაიცეს.	վարձով տալ	Այս բնակարանը կարելի է վարձով տալ։
1094:厨师	厨师	厨师	მზარეული	ეს მზარეული ძალიან სწრაფად ამზადებს.	խոհարար	Այս խոհարարը շատ արագ է պատրաստում։
1095:窗	窗	窗	ფანჯარა	გთხოვთ ფანჯარა ცოტა გააღოთ.	պատուհան	Խնդրում եմ պատուհանը մի քիչ բացել։
1099:此	此	此	ეს; აქ	აქ პარკირება აკრძალულია.	այս; այստեղ	Այստեղ կայանելն արգելված է։
1100:此次	此次	此次	ამჯერად	ეს შეხვედრა ძალიან მნიშვნელოვანია.	այս անգամ	Այս հանդիպումը շատ կարևոր է։
1104:从中	从中	从中	აქედან; მათ შორისიდან	მან აქედან ბევრი რამ ისწავლა.	դրանից; նրանց միջից	Նա դրանից շատ բան սովորեց։
1105:粗	粗	粗	სქელი; უხეში	ეს თოკი შედარებით სქელია.	հաստ; կոպիտ	Այս պարանն համեմատաբար հաստ է։
1107:村	村	村	სოფელი	ბებია პატარა სოფელში ცხოვრობს.	գյուղ	Տատիկը փոքր գյուղում է ապրում։
1109:错过	错过	错过	გამოტოვება	ხვალინდელი მატჩი არ გამოტოვო.	բաց թողնել	Վաղվա մրցումը բաց մի թող։
1112:答	答	答	პასუხის გაცემა	მან ამ კითხვას ძალიან სწრაფად უპასუხა.	պատասխանել	Նա այս հարցին շատ արագ պատասխանեց։
1116:打败	打败	打败	დამარცხება	მათ ბოლოს ძლიერი გუნდი დაამარცხეს.	հաղթել; պարտության մատնել	Նրանք վերջապես ուժեղ թիմին հաղթեցին։
1120:打印机	打印机	打印机	პრინტერი	ოფისის პრინტერი გაფუჭდა.	տպիչ	Գրասենյակի տպիչը փչացել է։
1123:大巴	大巴	大巴	დიდი ავტობუსი	ჩვენ აეროპორტში დიდი ავტობუსით მივდივართ.	մեծ ավտոբուս	Մենք օդանավակայան ենք գնում մեծ ավտոբուսով։
1124:大大	大大	大大	მნიშვნელოვნად	ამ აქტივობამ ინტერესი მნიშვნელოვნად გაზარდა.	զգալիորեն	Այս միջոցառումը զգալիորեն բարձրացրեց հետաքրքրությունը։
1126:大量	大量	大量	დიდი რაოდენობა	სუპერმარკეტში ბევრი ახალი ხილია.	մեծ քանակ	Սուպերմարկետում մեծ քանակությամբ թարմ միրգ կա։
1127:大赛	大赛	大赛	დიდი შეჯიბრი	სკოლა მომავალ კვირას ჩინური ენის შეჯიბრს გამართავს.	մեծ մրցույթ	Դպրոցը հաջորդ շաբաթ չինարենի մրցույթ կանցկացնի։
1128:大厅	大厅	大厅	დარბაზი; ლობი	სტუმრები ლობიში მანქანას ელოდებიან.	մեծ սրահ; լոբբի	Հյուրերը լոբբիում մեքենային են սպասում։
1130:大自然	大自然	大自然	ბუნება	ბავშვებს ბუნებაში თამაში უყვართ.	բնություն	Երեխաները սիրում են բնության մեջ խաղալ։
1131:待	待	待	დარჩენა	ის მთელი დღე სახლში დარჩა.	մնալ	Նա մեկ օր տանը մնաց։
1133:袋子	袋子	袋子	ჩანთა; პარკი	გთხოვთ ხილი პარკში ჩადოთ.	տոպրակ; պայուսակ	Խնդրում եմ միրգը տոպրակի մեջ դնել։
1140:道	道	道	კითხვებისთვის სათვლელი სიტყვა; გზა	ეს კითხვა რთული არ არის.	հաշվիչ բառ հարցերի համար; ճանապարհ	Այս հարցը դժվար չէ։
1142:到来	到来	到来	მოსვლა; დადგომა	გაზაფხულის მოსვლა ხალხს ახარებს.	գալուստ; ժամանում	Գարնան գալուստը մարդկանց ուրախացնում է։
1143:道路	道路	道路	გზა	ეს გზა სოფელში მიდის.	ճանապարհ	Այս ճանապարհը գյուղ է տանում։
1146:登机	登机	登机	თვითმფრინავში ჩაჯდომა	გთხოვთ თვითმფრინავში ნახევარი საათით ადრე ჩაჯდეთ.	ինքնաթիռ նստել	Խնդրում ենք ինքնաթիռ նստել կես ժամ շուտ։
1148:等到	等到	等到	ლოდინი სანამ	წვიმა რომ შეწყდება, მერე წავალთ.	սպասել մինչև	Անձրևը դադարելուց հետո մենք կգնանք։
1150:低价	低价	低价	დაბალი ფასი	ეს მაღაზია ხშირად დაბალფასიან ბილეთებს ყიდის.	ցածր գին	Այս խանութը հաճախ ցածր գնով տոմսեր է վաճառում։
1151:低温	低温	低温	დაბალი ტემპერატურა	დაბალი ტემპერატურის ამინდში მეტი ტანსაცმელი უნდა ჩაიცვა.	ցածր ջերմաստիճան	Ցածր ջերմաստիճանի եղանակին պետք է ավելի շատ հագուստ հագնել։
1152:低于	低于	低于	უფრო დაბალი იყოს	დღევანდელი ტემპერატურა გუშინდელზე დაბალია.	ավելի ցածր լինել	Այսօրվա ջերմաստիճանը երեկվանից ցածր է։
1154:底下	底下	底下	ქვეშ	მაგიდის ქვეშ ერთი ჩანთაა.	տակ	Սեղանի տակ պայուսակ կա։
1157:点名	点名	点名	დასწრების გამოძახება	მასწავლებელი გაკვეთილის წინ დასწრებას ამოწმებს.	անուններով ստուգել	Ուսուցիչը դասից առաջ անուններով ստուգում է։
1158:点头	点头	点头	თავის დაქნევა	მან თანხმობის ნიშნად თავი დაუქნია.	գլխով անել	Նա համաձայնություն ցույց տալու համար գլխով արեց։
1159:电动车	电动车	电动车	ელექტრო მანქანა	ის სამსახურში ელექტრო მანქანით მიდის.	էլեկտրական մեքենա	Նա աշխատանքի է գնում էլեկտրական մեքենայով։
1160:电视剧	电视剧	电视剧	ტელესერიალი	დედაჩემს ტელესერიალების ყურება უყვარს.	հեռուստասերիալ	Մայրս սիրում է հեռուստասերիալներ դիտել։
1163:订	订	订	დაჯავშნა; შეკვეთა	მე უკვე ერთი ავიაბილეთი დავჯავშნე.	ամրագրել; պատվիրել	Ես արդեն մեկ ինքնաթիռի տոմս եմ ամրագրել։
1164:定	定	定	გადაწყვეტა; დანიშვნა	შეხვედრის დრო უკვე დანიშნულია.	որոշել; նշանակել	Հանդիպման ժամը արդեն որոշված է։
1165:东部	东部	东部	აღმოსავლეთი ნაწილი	ქალაქის აღმოსავლეთ ნაწილში ახალი პარკია.	արևելյան մաս	Քաղաքի արևելյան մասում նոր այգի կա։
1166:动车	动车	动车	სწრაფი მატარებელი	ჩვენ შანხაიში სწრაფი მატარებლით მივდივართ.	արագընթաց գնացք	Մենք Շանհայ ենք գնում արագընթաց գնացքով։
1168:读者	读者	读者	მკითხველი	ამ წიგნს ბევრი ახალგაზრდა მკითხველი ჰყავს.	ընթերցող	Այս գիրքը շատ երիտասարդ ընթերցողներ ունի։
1170:度假	度假	度假	დასასვენებლად წასვლა	ისინი ზღვისპირეთში დასასვენებლად წავიდნენ.	արձակուրդի գնալ	Նրանք ծովափ գնացին արձակուրդի։
1173:队	队	队	გუნდი; რიგი	კართან ადამიანების ერთი რიგი დგას.	թիմ; շարք	Դռան մոտ մարդկանց շարք կա։
1177:队员	队员	队员	გუნდის წევრი	გუნდის ყოველი წევრი ბევრს შრომობს.	թիմի անդամ	Թիմի յուրաքանչյուր անդամ շատ է աշխատում։
1178:队长	队长	队长	გუნდის ლიდერი; კაპიტანი	გუნდის ლიდერი ვარჯიშს აწყობს.	թիմի ղեկավար; կապիտան	Թիմի ղեկավարը մարզումը կազմակերպում է։
1181:多数	多数	多数	უმრავლესობა	მოსწავლეთა უმრავლესობამ ჩინური ენის გაკვეთილი აირჩია.	մեծամասնություն	Աշակերտների մեծամասնությունը ընտրեց չինարենի դասը։
1182:多样	多样	多样	მრავალფეროვანი	აქ აქტივობების ფორმები ძალიან მრავალფეროვანია.	բազմազան	Այստեղ միջոցառումների ձևերը շատ բազմազան են։
1185:发出	发出	发出	გამოცემა; გაგზავნა	მობილურმა ტელეფონმა ხმა გამოსცა.	արձակել; ուղարկել	Բջջային հեռախոսը ձայն արձակեց։
1186:发送	发送	发送	გაგზავნა	გთხოვთ ელფოსტა მე გამომიგზავნოთ.	ուղարկել	Խնդրում եմ էլփոստը ինձ ուղարկել։
1187:法	法	法	კანონი; მეთოდი	ეს მეთოდი შედარებით მარტივია.	օրենք; մեթոդ	Այս մեթոդը համեմատաբար պարզ է։
1190:烦	烦	烦	გაღიზიანებული; შემაწუხებელი	ამ საქმემ ის ძალიან გააღიზიანა.	անհանգստացած; տհաճ	Այս գործը նրան շատ անհանգստացրեց։
1196:房租	房租	房租	ბინის ქირა	ამ თვეში ბინის ქირა გაიზარდა.	տան վարձ	Այս ամիս տան վարձը բարձրացավ։
1199:费	费	费	საფასური; ხარჯი	რეგისტრაციის საფასური უკვე გადახდილია.	վճար; ծախսվել	Գրանցման վճարը արդեն վճարված է։
1200:费用	费用	费用	ხარჯი	მოგზაურობის ხარჯი ძალიან მაღალი არ არის.	ծախս; արժեք	Ճամփորդության ծախսը շատ բարձր չէ։
1201:分数	分数	分数	ქულა; ნიშანი	მისი გამოცდის ქულა ძალიან მაღალია.	միավոր; գնահատական	Նրա քննության միավորը շատ բարձր է։
1202:分为	分为	分为	დაყოფა	ეს კლასი სამ პატარა ჯგუფად დაიყო.	բաժանել	Այս դասարանը բաժանված է երեք փոքր խմբերի։
1209:付	付	付	გადახდა	მე ფული მობილური ტელეფონით გადავიხადე.	վճարել	Ես գումարը բջջայինով վճարեցի։
1210:父母	父母	父母	მშობლები	მისი მშობლები ჩრდილოეთ ნაწილში ცხოვრობენ.	ծնողներ	Նրա ծնողները ապրում են հյուսիսային մասում։
1211:父女	父女	父女	მამა და ქალიშვილი	ეს მამა და ქალიშვილი ერთად მოგზაურობენ.	հայր և դուստր	Այս հայրն ու դուստրը միասին ճանապարհորդում են։
1216:负责人	负责人	负责人	პასუხისმგებელი პირი	პასუხისმგებელი პირი ყველას შეტყობინებას გაუგზავნის.	պատասխանատու անձ	Պատասխանատու անձը բոլորին ծանուցում կուղարկի։
1217:父子	父子	父子	მამა და ვაჟი	ეს მამა და ვაჟი ხშირად პარკში დარბიან.	հայր և որդի	Այս հայրն ու որդին հաճախ այգում վազում են։
1218:改	改	改	შეცვლა; გასწორება	გთხოვთ შეცდომა გაასწოროთ.	փոխել; ուղղել	Խնդրում եմ սխալը ուղղել։
1224:感	感	感	გრძნობა; შეგრძნება	ეს ოთახი ძლიერ უსაფრთხოების გრძნობას იძლევა.	զգացում	Այս սենյակը ուժեղ անվտանգության զգացում է տալիս։
1230:感人	感人	感人	ამაღელვებელი	ეს ამბავი ძალიან ამაღელვებელია.	հուզիչ	Այս պատմությունը շատ հուզիչ է։
1231:赶上	赶上	赶上	დაწევა; მისწრება	მან ბოლოს ბოლო ავტობუსს მიუსწრო.	հասնել; հասցնել	Նա վերջապես հասցրեց վերջին ավտոբուսին։
1235:钢琴	钢琴	钢琴	პიანინო	ის ყოველდღე პიანინოს მეცადინეობს.	դաշնամուր	Նա ամեն օր դաշնամուր է պարապում։
1236:高价	高价	高价	მაღალი ფასი	მას ძვირიანი ბილეთის ყიდვა არ სურს.	բարձր գին	Նա չի ուզում բարձր գնով տոմս գնել։
1237:高考	高考	高考	ჩინეთის უნივერსიტეტში მისაღები გამოცდა	ბევრი მოსწავლე გაოკაოსთვის ემზადება.	Չինաստանի բուհական ընդունելության քննություն	Շատ աշակերտներ պատրաստվում են գաոկաոյին։
1238:高速	高速	高速	მაღალი სიჩქარე	ეს სწრაფი გზა ძალიან განიერია.	բարձր արագություն	Այս արագ մայրուղին շատ լայն է։
1239:高温	高温	高温	მაღალი ტემპერატურა	მაღალი ტემპერატურის ამინდი გრძელ დისტანციაზე სირბილისთვის შესაფერისი არ არის.	բարձր ջերմաստիճան	Բարձր ջերմաստիճանի եղանակը երկար վազքի համար հարմար չէ։
1240:高于	高于	高于	უფრო მაღალი იყოს	წლევანდელი ფასი შარშანდელზე მაღალია.	ավելի բարձր լինել	Այս տարվա գինը անցյալ տարվանից բարձր է։
1242:歌声	歌声	歌声	სიმღერის ხმა	შორიდან ლამაზი სიმღერის ხმა მოისმა.	երգի ձայն	Հեռվից գեղեցիկ երգի ձայն լսվեց։
1243:歌手	歌手	歌手	მომღერალი	ეს მომღერალი ძალიან პოპულარულია.	երգիչ	Այս երգիչը շատ սիրված է։
1245:各地	各地	各地	სხვადასხვა ადგილები	სხვადასხვა ადგილიდან ტურისტები აქ მოდიან.	տարբեր վայրեր	Տարբեր վայրերից զբոսաշրջիկներ են գալիս այստեղ։
1246:各个	各个	各个	ყოველი; თითოეული	ყოველი კლასი აქტივობაში მონაწილეობდა.	յուրաքանչյուր	Յուրաքանչյուր դասարան մասնակցեց միջոցառմանը։
1247:各位	各位	各位	ყველა; თქვენ ყველანი	მასწავლებლებო, გთხოვთ ჯერ ცოტა დაისვენოთ.	բոլորդ; յուրաքանչյուրդ	Ուսուցիչներ, խնդրում եմ նախ մի փոքր հանգստացեք։
1248:各种	各种	各种	სხვადასხვა სახის	სუპერმარკეტში სხვადასხვა სახის ხილია.	տարբեր տեսակի	Սուպերմարկետում տարբեր տեսակի մրգեր կան։
1249:更加	更加	更加	კიდევ უფრო	სწავლის შემდეგ ის კიდევ უფრო თავდაჯერებული გახდა.	ավելի շատ	Սովորելուց հետո նա ավելի ինքնավստահ դարձավ։
1252:公共	公共	公共	საზოგადოებრივი	ავტობუსის გაჩერება წინ არის.	հանրային	Ավտոբուսի կանգառը առջևում է։
1253:功课	功课	功课	სასკოლო დავალება; გაკვეთილები	ის საღამოს სახლში სასკოლო დავალებას აკეთებს.	դասային աշխատանք; դասեր	Նա երեկոյան տանը դասերն է անում։
1255:公路	公路	公路	გზა; მაგისტრალი	ეს გზა ძალიან გრძელია.	ճանապարհ; մայրուղի	Այս ճանապարհը շատ երկար է։
1258:共	共	共	სულ	ჩვენ სულ სამი ბილეთი ვიყიდეთ.	ընդհանուր	Մենք ընդհանուր երեք տոմս գնեցինք։
1261:购买	购买	购买	ყიდვა	გთხოვთ ბილეთები ონლაინ იყიდოთ.	գնել	Խնդրում եմ տոմսերը առցանց գնել։
1270:观看	观看	观看	ყურება	მოსწავლეები მატჩს უყურებენ.	դիտել	Աշակերտները դիտում են մրցումը։
1272:管	管	管	მართვა; პასუხისმგებლობა	ამ საქმეზე ის იქნება პასუხისმგებელი.	կառավարել; պատասխանատու լինել	Այս գործը նա կկառավարի։
1286:寒冷	寒冷	寒冷	ცივი	ცივი ზამთარი მალე მოვა.	ցուրտ	Ցուրտ ձմեռը շուտով կգա։
1291:好好	好好	好好	კარგად; ყურადღებით	შენ კარგად უნდა დაისვენო.	լավ; ուշադիր	Դու պետք է լավ հանգստանաս։
1292:好笑	好笑	好笑	სასაცილო	ეს ამბავი მართლა სასაცილოა.	ծիծաղելի	Այս պատմությունը իսկապես ծիծաղելի է։
1295:红包	红包	红包	წითელი კონვერტი	გაზაფხულის დღესასწაულზე ბავშვები წითელ კონვერტებს იღებენ.	կարմիր ծրար	Գարնան տոնին երեխաները կարմիր ծրարներ են ստանում։
1302:话剧	话剧	话剧	სცენური პიესა	ჩვენ დღეს საღამოს პიესის სანახავად მივდივართ.	թատերական ներկայացում	Այս երեկո մենք թատերական ներկայացում դիտելու ենք գնում։
1304:坏处	坏处	坏处	ზიანი; ნაკლი	ამ ჩვევას ბევრი ნაკლი აქვს.	վնաս; թերություն	Այս սովորությունը շատ վնասներ ունի։
1305:环保	环保	环保	გარემოს დაცვა	გარემოს დაცვის საკითხები უფრო და უფრო მნიშვნელოვანი ხდება.	շրջակա միջավայրի պաշտպանություն	Շրջակա միջավայրի պաշտպանության հարցերը ավելի ու ավելի կարևոր են դառնում։
1306:换乘	换乘	换乘	გადაჯდომა	შემდეგ სადგურამდე მისასვლელად მეტროზე უნდა გადაჯდე.	փոխանցում կատարել	Հաջորդ կայարան հասնելու համար պետք է մետրո փոխել։
1307:回复	回复	回复	პასუხის დაბრუნება	გთხოვთ ჩემს ელფოსტას რაც შეიძლება მალე უპასუხოთ.	պատասխանել	Խնդրում եմ որքան հնարավոր է շուտ պատասխանել իմ էլփոստին։
1308:回信	回信	回信	პასუხის წერილის დაწერა	მას ჯერ კიდევ პასუხი არ მოუწერია.	պատասխան նամակ գրել	Նա դեռ պատասխան նամակ չի գրել։
1310:会员	会员	会员	წევრი	წევრებს დაბალფასიანი ბილეთების ყიდვა შეუძლიათ.	անդամ	Անդամները կարող են ցածր գնով տոմսեր գնել։
1311:活	活	活	ცოცხალი; ცხოვრება	ეს ხე ჯერ კიდევ ცოცხალია.	կենդանի; ապրել	Այս ծառը դեռ կենդանի է։
1315:货	货	货	საქონელი	ეს საქონლის პარტია დღეს მოვიდა.	ապրանք	Այս ապրանքների խմբաքանակը այսօր եկավ։
1317:获奖	获奖	获奖	ჯილდოს მიღება	მან შეჯიბრში ჯილდო მიიღო.	մրցանակ ստանալ	Նա մրցույթում մրցանակ ստացավ։
1318:获取	获取	获取	მიღება	მოსწავლეებს მისგან ინფორმაციის მიღება შეუძლიათ.	ստանալ	Աշակերտները դրանից կարող են տեղեկություն ստանալ։
1320:基本上	基本上	基本上	ძირითადად	ეს პრობლემა ძირითადად მოგვარებულია.	հիմնականում	Այս խնդիրը հիմնականում լուծված է։
1327:既	既	既	ორივე; რადგან	მას ჩინურიც და ინგლისურიც შეუძლია.	և; երկուսն էլ	Նա և չինարեն, և անգլերեն գիտի։
1336:加快	加快	加快	აჩქარება	გთხოვთ მუშაობის სიჩქარე გაზარდოთ.	արագացնել	Խնդրում եմ աշխատանքի արագությունը բարձրացնել։
1337:加强	加强	加强	გაძლიერება	სკოლამ უსაფრთხოების მართვა უნდა გააძლიეროს.	ուժեղացնել	Դպրոցը պետք է ուժեղացնի անվտանգության կառավարումը։
1338:加入	加入	加入	შეერთება	მას კალათბურთის გუნდში შესვლა სურს.	միանալ	Նա ուզում է միանալ բասկետբոլի թիմին։
1339:加上	加上	加上	დამატებით; დამატება	სერვისის საფასურის დამატებით სულ ორასი იუანია.	ավելացնելով	Սպասարկման վճարը ավելացնելով՝ ընդհանուր երկու հարյուր յուան է։
1342:加油	加油	加油	გამხნევება; საწვავის დამატება	კლასელები ერთად ამხნევებდნენ გუნდის წევრებს.	քաջալերել; վառելիք լցնել	Դասընկերները միասին քաջալերում էին թիմի անդամներին։
1344:家长	家长	家长	მშობელი; მეურვე	სკოლა ხვალ მშობელთა შეხვედრას გამართავს.	ծնող; խնամակալ	Դպրոցը վաղը ծնողական ժողով կանցկացնի։
1347:价钱	价钱	价钱	ფასი	ამ ტანსაცმლის ფასი მაღალი არ არის.	գին	Այս հագուստի գինը բարձր չէ։
1348:假日	假日	假日	დასვენების დღე	დასვენების დღეებში მოლში ბევრი ხალხია.	տոնական օր; արձակուրդ	Արձակուրդներին առևտրի կենտրոնում շատ մարդ կա։
1349:减	减	减	შემცირება; გამოკლება	გთხოვთ შაქარი ნახევრამდე შეამციროთ.	նվազեցնել; հանել	Խնդրում եմ շաքարը կիսով չափ նվազեցնել։
1350:减轻	减轻	减轻	შემსუბუქება; შემცირება	ვარჯიში სტრესს ამცირებს.	թեթևացնել; նվազեցնել	Մարզանքը կարող է նվազեցնել լարվածությունը։
1353:健身房	健身房	健身房	სპორტდარბაზი	ის სამსახურის შემდეგ სპორტდარბაზში მიდის.	մարզասրահ	Նա աշխատանքից հետո մարզասրահ է գնում։
1355:江	江	江	მდინარე	ეს მდინარე ქალაქის აღმოსავლეთ ნაწილში მიედინება.	գետ	Այս գետը հոսում է քաղաքի արևելյան մասով։
1356:将	将	将	აპირებს; იქნება	ის პეკინში სასწავლებლად წავა.	կգնա; կլինի	Նա Պեկին կգնա սովորելու։
1358:将要	将要	将要	მალე	მატარებელი მალე სადგურში შევა.	շուտով	Գնացքը շուտով կայարան կմտնի։
1359:奖	奖	奖	ჯილდო; პრემია	მან დიდი ჯილდო მიიღო.	մրցանակ	Նա մեծ մրցանակ ստացավ։
1361:奖学金	奖学金	奖学金	სტიპენდია	მან სტიპენდია მიიღო.	կրթաթոշակ	Նա կրթաթոշակ ստացավ։
1362:降	降	降	დაწევა; შემცირება	ტემპერატურა უცებ ძალიან დაეცა.	իջնել; նվազել	Ջերմաստիճանը հանկարծ շատ նվազեց։
1364:降价	降价	降价	ფასის დაკლება	ამ მოდელის მობილური ტელეფონი გაიაფებას იწყებს.	գնի իջեցում	Այս մոդելի բջջային հեռախոսի գինը սկսել է իջնել։
1366:降温	降温	降温	გაგრილება; ტემპერატურის ვარდნა	ხვალ შეიძლება აცივდეს.	ջերմաստիճանի անկում	Վաղը հնարավոր է ջերմաստիճանը նվազի։
1369:交警	交警	交警	საგზაო პოლიციელი	საგზაო პოლიციელი გზაჯვარედინზე მოძრაობას არეგულირებს.	ճանապարհային ոստիկան	Ճանապարհային ոստիկանը խաչմերուկում երթևեկությունն է կարգավորում։
1374:教师	教师	教师	მასწავლებელი	ამ მასწავლებელს დიდი გამოცდილება აქვს.	ուսուցիչ	Այս ուսուցիչը մեծ փորձ ունի։
1376:教学	教学	教学	სწავლება	ახალი სწავლების მეთოდი ძალიან ეფექტიანია.	ուսուցում	Նոր ուսուցման մեթոդը շատ արդյունավետ է։
1378:叫作	叫作	叫作	ერქვას	ამ ადგილს აღმოსავლეთის ტბა ჰქვია.	կոչվել	Այս վայրը կոչվում է Արևելյան լիճ։
