simplified	LO	example_LO
巴结	ປະຈົບ	ລາວບໍ່ຢາກປະຈົບຜູ້ນຳ.
扒	ເກາະ	ເດັກນ້ອຍເກາະປະຕູແລ້ວມອງອອກໄປຂ້າງນອກ.
疤	ຮອຍແຜ	ແຂນຂອງລາວມີຮອຍແຜໜຶ່ງຮອຍ.
拔苗助长	ເລັ່ງເກີນໄປຈົນເສຍຜົນ	ບັງຄັບເດັກໃຫ້ຮຽນແບບນີ້ຈະເລັ່ງເກີນໄປຈົນເສຍຜົນ.
把关	ກວດຄຸມ	ສັນຍາສະບັບນີ້ຕ້ອງໃຫ້ທະນາຍຄວາມກວດຄຸມ.
把手	ມືຈັບ	ມືຈັບປະຕູເສຍແລ້ວ.
罢工	ນັດຢຸດງານ	ຄົນງານຕັດສິນໃຈນັດຢຸດງານມື້ອື່ນ.
霸道	ກົດຂີ່ເກີນໄປ	ລາວເວົ້າແບບກົດຂີ່ເກີນໄປ.
掰	ຫັກດ້ວຍມື	ນາງຫັກເຂົ້າຈີ່ເປັນສອງສ່ວນດ້ວຍມື.
摆脱	ຫຼຸດພົ້ນ	ສຸດທ້າຍລາວຫຼຸດພົ້ນຈາກນິໄສບໍ່ດີ.
拜访	ໄປຢ້ຽມຢາມ	ພວກເຮົາຈະໄປຢ້ຽມຢາມຄູໃນທ້າຍອາທິດ.
拜年	ໄປອວຍພອນປີໃໝ່	ຕອນບຸນປີໃໝ່ ພວກເຮົາໄປອວຍພອນປູ່ຍ່າ.
拜托	ຂໍຝາກ	ເລື່ອງນີ້ຂໍຝາກເຈົ້າແລ້ວ.
败坏	ທຳລາຍຊື່ສຽງ	ພຶດຕິກຳແບບນີ້ຈະທຳລາຍຊື່ສຽງບໍລິສັດ.
斑	ຈຸດດ່າງ	ໂຕແມວມີຈຸດດ່າງສີດຳຈຸດໜຶ່ງ.
颁布	ປະກາດໃຊ້	ລະບຽບໃໝ່ຈະປະກາດໃຊ້ອາທິດໜ້າ.
颁发	ມອບ	ໂຮງຮຽນມອບໃບຍ້ອງຍໍໃຫ້ນັກຮຽນດີເດັ່ນ.
版本	ສະບັບ	ໂປຣແກຣມນີ້ມີສະບັບໃໝ່.
伴侣	ຄູ່ຊີວິດ	ນາງຖືສຸນັກເປັນຄູ່ຊີວິດຂອງຕົນ.
伴随	ມາພ້ອມກັບ	ຄວາມສຳເລັດມັກມາພ້ອມກັບຄວາມກົດດັນ.
半途而废	ລົ້ມເລີກກາງຄັນ	ເຮັດວິຈັຍບໍ່ຄວນລົ້ມເລີກກາງຄັນ.
扮演	ສະແດງບົດ	ລາວສະແດງບົດໝໍໃນຮູບເງົາ.
榜样	ແບບຢ່າງ	ພໍ່ແມ່ເປັນແບບຢ່າງຂອງລູກ.
绑架	ລັກພາຕົວ	ຕຳຫຼວດໄດ້ຢຸດຄະດີລັກພາຕົວຄັ້ງໜຶ່ງ.
磅	ປອນ	ກ່ອງນີ້ໜັກຊາວປອນ.
包庇	ປົກປ້ອງອາຊະຍາກຳ	ບໍ່ມີໃຜຄວນປົກປ້ອງອາຊະຍາກຳ.
包袱	ພາລະ	ລາວວາງພາລະລົງ ແລ້ວຮູ້ສຶກໂລ່ງຫຼາຍ.
包围	ລ້ອມຮອບ	ນັກຂ່າວລ້ອມຮອບນັກສະແດງ.
包装	ບັນຈຸຫີບຫໍ່	ການບັນຈຸຫີບຫໍ່ຂອງຂອງຂວັນນີ້ງາມຫຼາຍ.
保管	ເກັບຮັກສາ	ເອກະສານເຫຼົ່ານີ້ຂ້ອຍເປັນຜູ້ເກັບຮັກສາ.
保密	ຮັກສາຄວາມລັບ	ເນື້ອໃນການປະຊຸມຕ້ອງຮັກສາຄວາມລັບ.
保姆	ພີ່ລ້ຽງເດັກ	ພວກເຂົາຈ້າງພີ່ລ້ຽງເດັກຄົນໜຶ່ງ.
保守	ອະນຸລັກ	ຄວາມຄິດຂອງລາວຄ່ອນຂ້າງອະນຸລັກ.
保卫	ປົກປ້ອງ	ທະຫານປົກປ້ອງຊາຍແດນ.
保养	ບຳລຸງຮັກສາ	ລົດຄັນນີ້ຕ້ອງບຳລຸງຮັກສາເປັນປະຈຳ.
保障	ຮັບປະກັນຄຸ້ມຄອງ	ກົດໝາຍຮັບປະກັນຄຸ້ມຄອງສິດພົນລະເມືອງ.
保重	ຮັກສາຕົນເອງ	ເວລາຢູ່ໄກບ້ານ ກະລຸນາຮັກສາຕົນເອງໃຫ້ດີ.
饱和	ອີ່ມຕົວ	ຕະຫຼາດນີ້ໃກ້ຈະອີ່ມຕົວແລ້ວ.
饱经沧桑	ຜ່ານຄວາມຜັນຜວນມາຫຼາຍ	ຜູ້ເຖົ້າຄົນນີ້ຜ່ານຄວາມຜັນຜວນມາຫຼາຍ.
报酬	ຄ່າຕອບແທນ	ລາວໄດ້ຮັບຄ່າຕອບແທນທີ່ເໝາະສົມ.
报仇	ແກ້ແຄ້ນ	ລາວບໍ່ຢາກແກ້ແຄ້ນ ພຽງແຕ່ຢາກເລີ່ມຕົ້ນໃໝ່.
报答	ຕອບແທນ	ຂ້ອຍຈະໃຊ້ການກະທຳຕອບແທນຄວາມຊ່ວຍເຫຼືອຂອງເຈົ້າ.
报复	ຕອບໂຕ້ແກ້ແຄ້ນ	ການຕອບໂຕ້ແກ້ແຄ້ນຈະເຮັດໃຫ້ຄວາມຂັດແຍ້ງເລິກຂຶ້ນ.
报警	ແຈ້ງຕຳຫຼວດ	ພົບໄຟໄໝ້ແລ້ວຕ້ອງແຈ້ງຕຳຫຼວດທັນທີ.
报销	ເບີກຄືນຄ່າໃຊ້ຈ່າຍ	ຄ່າເດີນທາງສາມາດເບີກຄືນໄດ້.
抱负	ປະນິທານ	ລາວມີປະນິທານໃຫຍ່ຕັ້ງແຕ່ນ້ອຍ.
暴力	ຄວາມຮຸນແຮງ	ພວກເຮົາຄັດຄ້ານຄວາມຮຸນແຮງທຸກຮູບແບບ.
暴露	ເປີດເຜີຍ	ບັນຫານີ້ຄ່ອຍໆເປີດເຜີຍອອກມາ.
曝光	ຖືກເປີດເຜີຍ	ຮູບນີ້ຖືກເປີດເຜີຍແລ້ວດຶງດູດຄວາມສົນໃຈ.
爆发	ປະທຸ	ພູໄຟປະທຸຂຶ້ນທັນທີ.
爆炸	ລະເບີດ	ເກີດການລະເບີດໃນຫ້ອງທົດລອງ.
卑鄙	ຕ່ຳຊ້າ	ວິທີເຮັດຕ່ຳຊ້າແບບນີ້ເຮັດໃຫ້ຄົນໂມໂຫ.
悲哀	ເສົ້າໃຈ	ຫຼັງໄດ້ຍິນຂ່າວນີ້ ລາວຮູ້ສຶກເສົ້າໃຈຫຼາຍ.
悲惨	ໂສກເສົ້າຮ້າຍແຮງ	ນັ້ນເປັນຊ່ວງປະຫວັດສາດທີ່ໂສກເສົ້າຮ້າຍແຮງ.
北极	ຂົ້ວໂລກເໜືອ	ນັກວິທະຍາສາດກຳລັງວິຈັຍຢູ່ຂົ້ວໂລກເໜືອ.
备份	ສຳຮອງຂໍ້ມູນ	ກະລຸນາສຳຮອງຂໍ້ມູນເອກະສານສຳຄັນກ່ອນ.
备忘录	ບັນທຶກເຕືອນຈຳ	ນາງຂຽນຈຸດສຳຄັນໄວ້ໃນບັນທຶກເຕືອນຈຳ.
背叛	ຫັກຫຼັງ	ລາວຮັບບໍ່ໄດ້ກັບການຫັກຫຼັງຂອງໝູ່.
背诵	ທ່ອງຈຳ	ນັກຮຽນກຳລັງທ່ອງຈຳບົດຮຽນ.
被动	ເປັນຝ່າຍຮັບ	ໃນການເຈລະຈາ ພວກເຮົາບໍ່ຄວນເປັນຝ່າຍຮັບເກີນໄປ.
被告	ຈຳເລີຍ	ຈຳເລີຍປະຕິເສດຂໍ້ກ່າວຫາທັງໝົດ.
贝壳	ເປືອກຫອຍ	ເດັກເກັບເປືອກຫອຍຢູ່ແຄມທະເລ.
奔波	ແລ່ນວຽກຫຼາຍບ່ອນ	ລາວແລ່ນວຽກຫຼາຍບ່ອນເພື່ອວຽກງານ.
奔驰	ແລ່ນຢ່າງໄວ	ລົດແລ່ນຢ່າງໄວຢູ່ທາງດ່ວນ.
本能	ສັນຊາດຕະຍານ	ການປົກປ້ອງລູກເປັນສັນຊາດຕະຍານຂອງພໍ່ແມ່.
本钱	ທຶນ	ເຮັດທຸລະກິດຕ້ອງມີທຶນ.
本人	ຕົນເອງ	ຂ້ອຍຕົນເອງຍິນດີຮັບຜິດຊອບ.
本身	ໃນຕົວມັນເອງ	ແຜນນີ້ໃນຕົວມັນເອງບໍ່ມີບັນຫາ.
本事	ຄວາມສາມາດ	ລາວມີຄວາມສາມາດຫຼາຍ.
笨拙	ເກ້ງກ້າງ	ທ່າທາງຂອງລາວເກ້ງກ້າງໜ້ອຍໜຶ່ງ.
崩溃	ລົ້ມເຫຼວພັງ	ລະບົບລົ້ມເຫຼວພັງລົງທັນທີ.
甭	ບໍ່ຈຳເປັນ	ເລື່ອງນີ້ເຈົ້າບໍ່ຈຳເປັນຕ້ອງກັງວົນ.
蹦	ໂດດເຕັ້ນ	ໝານ້ອຍໂດດເຕັ້ນໄປມາໃນຫຍ້າ.
迸发	ລະເບີດອອກ	ສຽງຕົບມືລະເບີດອອກຈາກຝູງຄົນ.
逼迫	ບັງຄັບ	ພວກເຂົາບັງຄັບລາວໃຫ້ເຊັນສັນຍາ.
鼻涕	ນ້ຳມູກ	ເດັກເປັນຫວັດ ແລະໄຫຼນ້ຳມູກຕະຫຼອດ.
比方	ຕົວຢ່າງ	ຕົວຢ່າງເຊັ່ນ ພວກເຮົາລອງໜຶ່ງເດືອນກ່ອນໄດ້.
比喻	ອຸປະມາ	ອຸປະມານີ້ເຫັນພາບຊັດເຈນ.
比重	ສັດສ່ວນ	ສັດສ່ວນຂອງພາກບໍລິການສູງຂຶ້ນເລື້ອຍໆ.
鄙视	ດູຖູກ	ຢ່າດູຖູກຄວາມພະຍາຍາມຂອງຄົນອື່ນ.
弊病	ຂໍ້ເສຍ	ລະບົບແບບນີ້ມີຂໍ້ເສຍບໍ່ນ້ອຍ.
弊端	ຈຸດບົກພ່ອງ	ແຜນໃໝ່ແກ້ໄຂຈຸດບົກພ່ອງຂອງລະບົບເກົ່າ.
臂	ແຂນ	ແຂນຂວາຂອງລາວບາດເຈັບ.
闭塞	ໂດດດ່ຽວເຂົ້າເຖິງຍາກ	ໝູ່ບ້ານພູເຂົານີ້ເມື່ອກ່ອນການຈະລາຈອນໂດດດ່ຽວເຂົ້າເຖິງຍາກ.
编织	ຖັກທໍ	ແມ່ຕູ້ກຳລັງຖັກທໍເສື້ອກັນໜາວ.
边疆	ຊາຍແດນໄກ	ທະຫານຫຼາຍຄົນປົກປ້ອງຊາຍແດນໄກຂອງປະເທດ.
边界	ເສັ້ນແດນ	ສອງປະເທດໄດ້ກຳນົດເສັ້ນແດນໃໝ່.
边境	ບໍລິເວນຊາຍແດນ	ບໍລິເວນຊາຍແດນໄດ້ເພີ່ມການກວດຄວາມປອດໄພ.
边缘	ຂອບ	ຈອກຖືກວາງຢູ່ຂອບໂຕະ.
鞭策	ກະຕຸ້ນຜັກດັນ	ຄຳເວົ້າຂອງຄູກະຕຸ້ນຜັກດັນຂ້ອຍມາຕະຫຼອດ.
扁	ແປ	ກ່ອງນີ້ທັງກວ້າງແລະແປ.
贬低	ດູຖູກຫຼຸດຄ່າ	ຢ່າດູຖູກຫຼຸດຄ່າຄວາມພະຍາຍາມຂອງຜູ້ອື່ນຕາມໃຈ.
贬义	ຄວາມໝາຍລົບ	ຄຳນີ້ຢູ່ບ່ອນນີ້ມີຄວາມໝາຍລົບ.
便利	ສະດວກ	ລົດໄຟໃຕ້ດິນເຮັດໃຫ້ການເດີນທາງສະດວກຂຶ້ນ.
便条	ໃບຂໍ້ຄວາມສັ້ນ	ລາວປະໃບຂໍ້ຄວາມສັ້ນໄວ້ເທິງໂຕະ.
便于	ສະດວກຕໍ່	ການອອກແບບນີ້ສະດວກຕໍ່ຜູ້ເຖົ້າໃນການໃຊ້.
变故	ເຫດບໍ່ຄາດຄິດ	ຢູ່ບ້ານເກີດເຫດບໍ່ຄາດຄິດຂຶ້ນທັນທີ.
变迁	ການປ່ຽນແປງ	ການປ່ຽນແປງຂອງເມືອງເຮັດໃຫ້ລາວສະເທືອນໃຈຫຼາຍ.
变质	ເສື່ອມເສຍ	ນົມປະໄວ້ດົນຈະເສື່ອມເສຍ.
辨认	ຈຳແນກ	ຕຳຫຼວດໃຫ້ລາວຈຳແນກຄົນໃນຮູບ.
辩护	ແກ້ຕ່າງ	ທະນາຍຄວາມແກ້ຕ່າງໃຫ້ຈຳເລີຍ.
辩解	ແກ້ຕົວອະທິບາຍ	ລາວພະຍາຍາມແກ້ຕົວອະທິບາຍຄວາມຜິດຂອງຕົນ.
辩证	ມອງແບບພິຈາລະນາສອງດ້ານ	ພວກເຮົາຄວນມອງບັນຫານີ້ແບບພິຈາລະນາສອງດ້ານ.
辫子	ເປຍຜົມ	ເດັກຍິງນ້ອຍຖັກເປຍຜົມສອງເສັ້ນ.
遍布	ກະຈາຍທົ່ວ	ພືດຊະນິດນີ້ກະຈາຍທົ່ວປະເທດ.
标本	ຕົວຢ່າງສິ່ງມີຊີວິດ	ໃນພິພິທະພັນຈັດສະແດງຕົວຢ່າງສັດ.
标记	ເຄື່ອງໝາຍ	ກະລຸນາເຮັດເຄື່ອງໝາຍຂ້າງວັກສຳຄັນ.
标题	ຫົວຂໍ້	ຫົວຂໍ້ຂອງບົດຄວາມນີ້ດຶງດູດຄົນຫຼາຍ.
表决	ລົງຄະແນນຕັດສິນ	ຜູ້ແທນຈະລົງຄະແນນຕັດສິນຂໍ້ສະເໜີ.
表态	ສະແດງຈຸດຢືນ	ລາວຍັງບໍ່ທັນສະແດງຈຸດຢືນຢ່າງເປີດເຜີຍ.
表彰	ຍ້ອງຍໍເຊີດຊູ	ບໍລິສັດຍ້ອງຍໍເຊີດຊູພະນັກງານດີເດັ່ນ.
憋	ກັ້ນ	ລາວກັ້ນຫົວເລາະແລະບໍ່ເວົ້າ.
别墅	ເຮືອນວິນລາ	ພວກເຂົາຊື້ເຮືອນວິນລາຫຼັງໜຶ່ງຢູ່ຊານເມືອງ.
别致	ໂດດເດັ່ນມີເອກະລັກ	ການຕົບແຕ່ງຂອງຮ້ານກາເຟນີ້ໂດດເດັ່ນມີເອກະລັກ.
别扭	ບໍ່ຄ່ອຍລື່ນໄຫຼ	ປະໂຫຍກນີ້ຟັງແລ້ວບໍ່ຄ່ອຍລື່ນໄຫຼ.
濒临	ໃກ້ຈະ	ສັດຊະນິດນີ້ໃກ້ຈະສູນພັນ.
冰雹	ລູກເຫັບ	ມື້ວານຕອນບ່າຍມີລູກເຫັບຕົກໜັກ.
丙	ລຳດັບທີສາມ	ການແຂ່ງຂອງກຸ່ມລຳດັບທີສາມເລີ່ມຕອນບ່າຍ.
并非	ບໍ່ແມ່ນ	ເລື່ອງນີ້ບໍ່ແມ່ນຢ່າງທີ່ເຈົ້າຄິດ.
并列	ຢູ່ອັນດັບຮ່ວມກັນ	ສອງໂຄງການນີ້ຢູ່ອັນດັບທີໜຶ່ງຮ່ວມກັນ.
剥削	ຂູດຮີດ	ສັງຄົມເກົ່າມີການຂູດຮີດຮ້າຍແຮງ.
拨	ໂທກົດເບີ	ກະລຸນາໂທກົດເບີໂທລະສັບນີ້.
播种	ຫວ່ານເມັດພືດ	ຊາວນາເລີ່ມຫວ່ານເມັດພືດໃນລະດູບານໃໝ່.
波浪	ຄື້ນ	ເກີດຄື້ນໃຫຍ່ຢູ່ເທິງທະເລ.
波涛	ຄື້ນໃຫຍ່	ເຮືອເຄື່ອນໄປຂ້າງໜ້າທ່າມກາງຄື້ນໃຫຍ່.
伯母	ປ້າ	ຂ້ອຍຈະໄປຢ້ຽມປ້າໃນທ້າຍອາທິດ.
博大精深	ກວ້າງໃຫຍ່ແລະເລິກຊຶ້ງ	ວັດທະນະທຳຈີນກວ້າງໃຫຍ່ແລະເລິກຊຶ້ງ.
博览会	ງານວາງສະແດງ	ງານວາງສະແດງນານາຊາດດຶງດູດບໍລິສັດຫຼາຍແຫ່ງ.
搏斗	ຕໍ່ສູ້ປະທະ	ຕຳຫຼວດແລະຄົນຮ້າຍເລີ່ມຕໍ່ສູ້ປະທະກັນ.
薄弱	ອ່ອນແອ	ພື້ນຖານໄວຍາກອນຂອງລາວຄ່ອນຂ້າງອ່ອນແອ.
不顾	ບໍ່ຄຳນຶງເຖິງ	ລາວບໍ່ຄຳນຶງເຖິງອັນຕະລາຍແລ້ວພຸ່ງເຂົ້າໄປ.
不愧	ສົມກັບ	ລາວສົມກັບຊື່ຜູ້ຊ່ຽວຊານທີ່ມີປະສົບການ.
不料	ບໍ່ຄາດຄິດ	ບໍ່ຄາດຄິດວ່າການປະຊຸມຖືກຍົກເລີກທັນທີ.
不像话	ບໍ່ເໝາະສົມຢ່າງຫນັກ	ເຈົ້າປະພຶດຕໍ່ແຂກແບບນີ້ບໍ່ເໝາະສົມຢ່າງຫນັກ.
不屑一顾	ບໍ່ໃສ່ໃຈເພາະດູຖູກ	ລາວບໍ່ໃສ່ໃຈຂ່າວລືເຫຼົ່ານີ້ເພາະດູຖູກ.
哺乳	ໃຫ້ນົມລູກ	ແມ່ກຳລັງໃຫ້ນົມແກ່ເດັກອ່ອນ.
捕捉	ຈັບໄດ້	ຊ່າງພາບຈັບໄດ້ຊ່ວງເວລາທີ່ຍອດຢ້ຽມ.
补偿	ຊົດເຊີຍ	ບໍລິສັດຈະຊົດເຊີຍຄວາມເສຍຫາຍໃຫ້ເຈົ້າ.
补救	ແກ້ໄຂກູ້ຄືນ	ພວກເຮົາຍັງທັນແກ້ໄຂກູ້ຄືນ.
补贴	ເງິນອຸດໜູນ	ລັດຖະບານແຈກເງິນອຸດໜູນໃຫ້ຄອບຄົວລາຍໄດ້ຕ່ຳ.
不得已	ຈຳໃຈ	ລາວຈຳໃຈຈຶ່ງອອກຈາກບ້ານເກີດ.
不妨	ລອງກໍໄດ້	ເຈົ້າລອງຟັງຄຳອະທິບາຍຂອງລາວກ່ອນກໍໄດ້.
不敢当	ບໍ່ກ້າຮັບຄຳຊົມ	ທ່ານຊົມຂ້ອຍແບບນີ້ ຂ້ອຍບໍ່ກ້າຮັບຄຳຊົມແທ້ໆ.
不禁	ອົດບໍ່ໄດ້	ໄດ້ຍິນຂ່າວນີ້ແລ້ວ ລາວອົດຫົວເລາະບໍ່ໄດ້.
不堪	ທົນບໍ່ໄຫວ	ສຽງລົບກວນຢູ່ນີ້ເຮັດໃຫ້ຄົນທົນບໍ່ໄຫວ.
不可思议	ເຫຼືອເຊື່ອ	ຜົນນີ້ເຫຼືອເຊື່ອແທ້ໆ.
不免	ຫຼີກບໍ່ພົ້ນ	ຂຶ້ນເວທີຄັ້ງທຳອິດ ລາວຫຼີກບໍ່ພົ້ນຈາກຄວາມປະຫມ່າໜ້ອຍໜຶ່ງ.
不时	ເປັນບາງຄັ້ງ	ລາວເງີຍໜ້າເບິ່ງໂມງເປັນບາງຄັ້ງ.
不惜	ບໍ່ລັງເລ	ເພື່ອຊ່ວຍຄົນ ລາວບໍ່ລັງເລທີ່ຈະສ່ຽງ.
不相上下	ສູສີກັນ	ກຳລັງຂອງສອງທີມສູສີກັນ.
不言而喻	ຊັດເຈນໂດຍບໍ່ຕ້ອງເວົ້າ	ຄວາມສຳຄັນຂອງຄວາມຊື່ສັດຊັດເຈນໂດຍບໍ່ຕ້ອງເວົ້າ.
不由得	ອົດບໍ່ໄດ້	ເຫັນຮູບເກົ່າແລ້ວ ຂ້ອຍອົດຄິດເຖິງໄວເດັກບໍ່ໄດ້.
不择手段	ບໍ່ເລືອກວິທີ	ເພື່ອຫາເງິນ ລາວບໍ່ເລືອກວິທີ.
不止	ຫຼາຍກວ່າ	ຄົນເຂົ້າຮ່ວມປະຊຸມຫຼາຍກວ່າໜຶ່ງຮ້ອຍຄົນ.
布告	ປະກາດ	ຢູ່ໜ້າປະຕູໂຮງຮຽນຕິດປະກາດໜຶ່ງໃບ.
布局	ການຈັດວາງ	ການຈັດວາງຂອງຫ້ອງຊຸດນີ້ເໝາະສົມຫຼາຍ.
布置	ມອບໝາຍຈັດວາງ	ຄູມອບໝາຍວຽກບ້ານໃໝ່.
步伐	ຈັງຫວະກ້າວ	ຂະບວນກ້າວໄປຂ້າງໜ້າດ້ວຍຈັງຫວະກ້າວທີ່ເປັນລະບຽບ.
部署	ວາງແຜນຈັດການ	ບໍລິສັດກຳລັງວາງແຜນຈັດການແຜນຂາຍໃໝ່.
部位	ຕຳແໜ່ງສ່ວນ	ໝໍກວດຕຳແໜ່ງສ່ວນທີ່ບາດເຈັບ.
才干	ຄວາມສາມາດ	ນາງມີຄວາມສາມາດຫຼາຍດ້ານການຈັດການ.
裁缝	ຊ່າງຕັດເສື້ອ	ຊ່າງຕັດເສື້ອຄົນນີ້ຝີມືດີຫຼາຍ.
裁判	ກຳມະການຕັດສິນ	ກຳມະການຕັດສິນປະກາດຢຸດການແຂ່ງຊົ່ວຄາວ.
裁员	ຫຼຸດພະນັກງານ	ບໍລິສັດຕັດສິນໃຈຫຼຸດພະນັກງານເພາະຂາດທຶນ.
财富	ຄວາມຮັ່ງມີ	ຄວາມຮູ້ກໍເປັນຄວາມຮັ່ງມີຊະນິດໜຶ່ງ.
财务	ການເງິນ	ພະແນກການເງິນກຳລັງກວດບັນຊີ.
财政	ການຄັງ	ລາຍຮັບການຄັງປີນີ້ເພີ່ມຂຶ້ນບາງສ່ວນ.
彩票	ຫວຍ	ລາວບາງຄັ້ງຊື້ຫວຍໜຶ່ງໃບ.
采购	ຈັດຊື້	ບໍລິສັດສົ່ງຄົນໄປຈັດຊື້ອຸປະກອນ.
采集	ເກັບຮວບຮວມ	ນັກວິຈັຍເກັບຮວບຮວມຕົວຢ່າງໃນປ່າ.
采纳	ຮັບເອົາ	ຜູ້ນຳຮັບເອົາຄຳແນະນຳຂອງພວກເຮົາ.
参谋	ທີ່ປຶກສາ	ລາວມັກເປັນທີ່ປຶກສາໃຫ້ຜູ້ຈັດການ.
参照	ອ້າງອີງຕາມ	ກະລຸນາອ້າງອີງຕາມຮູບແບບນີ້ເພື່ອກອກແບບຟອມ.
残疾	ພິການ	ສະຖານີນີ້ໃຫ້ຄວາມຊ່ວຍເຫຼືອແກ່ຜູ້ໂດຍສານພິການ.
残酷	ໂຫດຮ້າຍ	ສົງຄາມໂຫດຮ້າຍຫຼາຍ.
残留	ຫຼົງເຫຼືອ	ໃນຈອກຍັງຫຼົງເຫຼືອກິ່ນກາເຟ.
残忍	ໂຫດຮ້າຍ	ການທາລຸນສັດເປັນພຶດຕິກຳໂຫດຮ້າຍ.
灿烂	ສົດໃສ	ນາງຍິ້ມຢ່າງສົດໃສ.
仓促	ຮີບຮ້ອນ	ການຕັດສິນໃຈນີ້ເຮັດຢ່າງຮີບຮ້ອນເກີນໄປ.
仓库	ສາງ	ສິນຄ້າຖືກສົ່ງເຖິງສາງແລ້ວ.
舱	ຫ້ອງໂດຍສານ	ຜູ້ໂດຍສານກຳລັງເຂົ້າຫ້ອງໂດຍສານເຮືອບິນ.
苍白	ຈືດຂາວ	ສີໜ້າຂອງລາວເບິ່ງຈືດຂາວຫຼາຍ.
操劳	ເຮັດວຽກໜັກດູແລ	ແມ່ເຮັດວຽກໜັກດູແລຄອບຄົວນີ້ມາຫຼາຍປີ.
操练	ຝຶກຊ້ອມ	ທະຫານຝຶກຊ້ອມທຸກເຊົ້າ.
操纵	ຄວບຄຸມ	ເຄື່ອງຈັກນີ້ຖືກຄວບຄຸມໂດຍຄອມພິວເຕີ.
操作	ປະຕິບັດການ	ກະລຸນາປະຕິບັດການອຸປະກອນຕາມຄຳແນະນຳ.
嘈杂	ອຶກກະທຶກ	ໃນສະຖານີມີສຽງອຶກກະທຶກຫຼາຍ.
草案	ຮ່າງ	ຄະນະກຳມະການກຳລັງອະພິປາຍຮ່າງນີ້.
草率	ລວກໆ	ການຕັດສິນໃຈສຳຄັນແບບນີ້ບໍ່ຄວນເຮັດລວກໆ.
侧面	ດ້ານຂ້າງ	ເບິ່ງຈາກດ້ານຂ້າງ ອາຄານນີ້ສູງກວ່າ.
测量	ວັດແທກ	ວິສະວະກອນກຳລັງວັດແທກຄວາມຍາວຂອງຂົວ.
策划	ວາງແຜນ	ພວກເຂົາວາງແຜນກິດຈະກຳໃຫຍ່ໜຶ່ງງານ.
策略	ກົນລະຍຸດ	ກົນລະຍຸດນີ້ຊ່ວຍບໍລິສັດຫຼຸດຕົ້ນທຶນ.
层出不穷	ເກີດຂຶ້ນບໍ່ຂາດ	ບັນຫາໃໝ່ເກີດຂຶ້ນບໍ່ຂາດ.
层次	ລຳດັບຊັ້ນ	ລຳດັບຊັ້ນຂອງບົດຄວາມນີ້ຊັດເຈນຫຼາຍ.
差别	ຄວາມແຕກຕ່າງ	ສອງວິທີນີ້ມີຄວາມແຕກຕ່າງບໍ່ຫຼາຍ.
插座	ປັກສຽບໄຟ	ຫ້ອງນີ້ມີປັກສຽບໄຟບໍ່ພໍໃຊ້.
查获	ກວດຈັບໄດ້	ດ່ານພາສີກວດຈັບສິນຄ້າປອມໄດ້ຊຸດໜຶ່ງ.
刹那	ຊົ່ວພິບຕາ	ຊົ່ວພິບຕາ ໄຟທັງໝົດດັບລົງ.
岔	ແຍກທາງ	ລົດແຍກທາງກັນຢູ່ທາງແຍກຂ້າງໜ້າ.
诧异	ປະຫຼາດໃຈ	ການຕັດສິນໃຈຂອງລາວເຮັດໃຫ້ທຸກຄົນປະຫຼາດໃຈຫຼາຍ.
