simplified	NE	example_NE
常识	सामान्य ज्ञान	यो आधारभूत सामान्य ज्ञान हो।
长途	लामो दूरी	लामो दूरीको यात्रा थकाइलाग्दो हुन्छ।
抄	नक्कल गर्नु	कृपया अरूको गृहकार्य नक्कल नगर।
超级	सुपर	यो एउटा ठूलो सुपरमार्केट हो।
朝	राजवंश	थाङ राजवंश धेरै प्रसिद्ध छ।
潮湿	ओसिलो	दक्षिणको गर्मी मौसम धेरै ओसिलो हुन्छ।
吵	हल्ला	बाहिर धेरै हल्ला छ।
吵架	झगडा गर्नु	उनीहरू फेरि झगडा गरे।
炒	भुट्नु	आमा तरकारी भुट्दै हुनुहुन्छ।
车库	ग्यारेज	गाडी ग्यारेजमा राखिएको छ।
车厢	डब्बा	यो रेलको डब्बा धेरै शान्त छ।
彻底	पूर्ण रूपमा	उनले पूर्ण रूपमा बुझे।
沉默	मौन	उनी पूरै समय मौन बसे।
趁	मौका छोपेर	अँध्यारो नहुँदै मौका छोपेर जाऔं।
称	तौल्नु	कृपया यो पार्सल तौल।
称呼	सम्बोधन गर्नु	म उनलाई कसरी सम्बोधन गर्ने थाहा छैन।
称赞	प्रशंसा गर्नु	शिक्षकले उनको प्रगतिको प्रशंसा गरे।
成分	घटक	यो औषधिका घटकहरू सरल छन्।
成果	उपलब्धि	यो परियोजनाले उपलब्धि हासिल गर्यो।
成就	सफलता	उनले आफ्नो पेशामा धेरै सफलता पाएका छन्।
成立	स्थापना हुनु	कम्पनी गत वर्ष स्थापना भएको हो।
成人	वयस्क	वयस्कको टिकट बालबालिकाको टिकटभन्दा महँगो हुन्छ।
成熟	पाक्नु	स्याउहरू पहिले नै पाकिसकेका छन्।
成语	उखान	यो उखान धेरै प्रयोग हुन्छ।
成长	हुर्कनु	बच्चा बिस्तारै हुर्किरहेको छ।
承担	जिम्मेवारी लिनु	उनी जिम्मेवारी लिन तयार छन्।
承认	स्वीकार गर्नु	उनले आफू गल्ती भएको स्वीकार गरे।
承受	सहनु	म यति ठूलो दबाब सहन सक्दिनँ।
程度	स्तर	उनको चिनियाँ भाषाको स्तर धेरै राम्रो छ।
程序	प्रक्रिया	कृपया प्रक्रिया अनुसार काम गर।
诚恳	इमानदार	उनको व्यवहार धेरै इमानदार छ।
吃亏	घाटा खानु	सामान किन्दा राम्ररी हेर, नत्र घाटा खान सक्छौ।
持续	जारी रहनु	वर्षा तीन दिनसम्म जारी रह्यो।
池塘	पोखरी	पोखरीमा धेरै माछा छन्।
迟早	ढिलोचाँडो	ढिलोचाँडो तिमीले बुझ्नेछौ।
尺子	रुलर	कृपया रुलरले नाप।
翅膀	पखेटा	चराको पखेटामा चोट लागेको छ।
充电器	चार्जर	मेरो चार्जर बिग्रिएको छ।
充分	पर्याप्त	हामीले पर्याप्त तयारी गर्यौं।
充满	भरिनु	कोठा हाँसोले भरिएको थियो।
冲	पखाल्नु	कृपया कप पानीले पखाल।
重复	दोहोर्याउनु	कृपया उही गल्ती नदोहोर्याऊ।
宠物	घरपालुवा जनावर	उनले एउटा घरपालुवा कुकुर पालेकी छिन्।
抽屉	दराज	साँचो दराजमा छ।
抽象	अमूर्त	यो धारणा धेरै अमूर्त छ।
丑	कुरूप	यो फोटो अलि कुरूप देखिन्छ।
臭	दुर्गन्धित	फोहोरबाट दुर्गन्ध आइरहेको छ।
出版	प्रकाशित गर्नु	यो किताब गत वर्ष प्रकाशित भयो।
出口	निकास	निकास अगाडि छ।
出色	उत्कृष्ट	उनको प्रदर्शन उत्कृष्ट छ।
出示	देखाउनु	कृपया आफ्नो राहदानी देखाऊ।
出席	उपस्थित हुनु	उनी बैठकमा उपस्थित हुनेछन्।
初级	प्रारम्भिक	म प्रारम्भिक कक्षामा चिनियाँ पढ्छु।
除非	नभए मात्र	पानी नपरे मात्र हामी भोलि पदयात्रा जान्छौं।
除夕	नयाँ वर्षको पूर्वसन्ध्या	नयाँ वर्षको पूर्वसन्ध्यामा हाम्रो सबै परिवार सँगै खाना खान्छ।
处理	सम्हाल्नु	म यो समस्या सम्हाल्छु।
传播	फैलिनु	यो समाचार धेरै छिटो फैलियो।
传染	सर्नु	रुघाखोकी सजिलै सर्छ।
传说	कथा	यो एउटा पुरानो कथा हो।
传统	परम्परा	वसन्त चाड चिनियाँ परम्परागत पर्व हो।
窗帘	पर्दा	कृपया पर्दा खोल।
闯	उल्लङ्घन गर्नु	उनले अनजानमा रातो बत्ती उल्लङ्घन गरे।
创造	सिर्जना गर्नु	मानिसहरूले नयाँ औजार सिर्जना गरे।
吹	बहनु	हावा जोडले बहिरहेको छ।
词汇	शब्दावली	यो शब्दावली धेरै प्रयोग हुन्छ।
辞职	राजीनामा दिनु	उनले राजीनामा दिने निर्णय गरे।
此外	यसका साथै	यसका साथै, मेरो अर्को प्रश्न छ।
刺激	रोचक	यो खेल धेरै रोचक छ।
次要	दोस्रो दर्जाको	यो समस्या दोस्रो दर्जाको हो।
匆忙	हतारमा	उनी हतारमा घरबाट निस्किए।
从此	त्यसपछि	त्यसपछि उनी हरेक दिन व्यायाम गर्न थाले।
从而	यसरी	उनले मेहनत गरेर पढे र यसरी परीक्षा पास गरे।
从前	पहिले	पहिले यहाँ मेट्रो थिएन।
从事	संलग्न हुनु	उनी शिक्षा क्षेत्रमा संलग्न छिन्।
粗糙	खस्रो	यो कागज धेरै खस्रो छ।
促进	प्रवर्द्धन गर्नु	व्यायामले स्वास्थ्य प्रवर्द्धन गर्न सक्छ।
促使	प्रेरित गर्नु	यो कुराले उनलाई योजना बदल्न प्रेरित गर्यो।
醋	सिरका	परिकारमा सिरका हालिएको थियो।
催	हतार गराउनु	आमाले मलाई छिटो बाहिर जान हतार गराउनुभयो।
存在	अस्तित्वमा हुनु	यो समस्या अझै अस्तित्वमा छ।
措施	उपाय	विद्यालयले सुरक्षा उपाय अपनायो।
答应	सहमति जनाउनु	उनले मलाई सहयोग गर्न सहमति जनाए।
达到	पुग्नु	उनको अंक मापदण्डमा पुग्यो।
打工	अंशकालीन काम गर्नु	गर्मी बिदामा उनी रेस्टुरेन्टमा अंशकालीन काम गर्छन्।
打交道	सम्पर्क राख्नु	म ग्राहकहरूसँग अक्सर सम्पर्क राख्छु।
打喷嚏	हाछ्युँ गर्नु	उनीलाई रुघा लागेको छ र बारम्बार हाछ्युँ गर्छन्।
打听	सोधपुछ गर्नु	म रेल टिकटबारे सोधपुछ गर्न चाहन्छु।
大方	उदार	उनी पैसाको मामिलामा धेरै उदार छिन्।
大厦	ठूलो भवन	त्यो ठूलो भवन धेरै अग्लो छ।
大象	हात्ती	बालबालिकाहरू चिडियाखानामा हात्ती हेरिरहेका छन्।
大型	ठूलो आकारको	यहाँ ठूलो आकारको किनमेल केन्द्र बन्नेछ।
呆	बसिरहनु	उनी घरमै बसेर पढ्छन्।
代表	प्रतिनिधित्व गर्नु	यो फूलले मित्रताको प्रतिनिधित्व गर्छ।
代替	सट्टामा	आज म उनको सट्टामा बैठकमा जान्छु।
待遇	सुविधा	यो कम्पनीको सुविधा राम्रो छ।
贷款	ऋण	उनीहरूले घर ऋणका लागि आवेदन दिए।
单纯	सरल	उनको विचार धेरै सरल छ।
单调	एकरस	यो काम अलि एकरस छ।
单独	एक्लै	म तिमीसँग एक्लै कुरा गर्न चाहन्छु।
单位	कार्यालय	उनी सरकारी कार्यालयमा काम गर्छन्।
单元	पाठ	आज हामी तेस्रो पाठ पढ्दैछौं।
担任	जिम्मेवारी सम्हाल्नु	उनी यस कार्यक्रमको जिम्मेवारी सम्हाल्दैछिन्।
耽误	ढिला गराउनु	सबैको समय ढिला नगर।
胆小鬼	कायर	उनलाई कायर नभन।
淡	फिक्का	यो सुप अलि फिक्का छ।
当地	स्थानीय	स्थानीय मानिसहरू यो बजार मन पराउँछन्।
当心	होसियार हुनु	बाटो चिप्लो छ, होसियार होऊ।
挡	छेक्नु	यो गाडीले प्रवेशद्वार छेकेको छ।
倒霉	दुर्भाग्यपूर्ण	आज साँच्चै दुर्भाग्यपूर्ण भयो, मेरो फोन हरायो।
导演	निर्देशक	यो निर्देशक धेरै प्रसिद्ध छन्।
导致	निम्त्याउनु	भारी वर्षाले ट्राफिक जाम निम्त्यायो।
岛屿	टापु	यो देशमा धेरै टापुहरू छन्।
到达	पुग्नु	रेल समयमै शाङ्घाई पुग्यो।
道德	नैतिकता	मानिसमा नैतिक सिद्धान्त हुनुपर्छ।
道理	तर्क	उनले भनेको कुरामा धेरै तर्क छ।
登记	दर्ता गर्नु	कृपया पहिला स्वागत कक्षमा दर्ता गर।
等待	पर्खनु	हामी परिणाम पर्खिरहेका छौं।
等于	बराबर हुनु	पाँचमा पाँच जोड्दा दस बराबर हुन्छ।
滴	थोपा	पानीको एउटा थोपा टेबलमा खस्यो।
敌人	शत्रु	उनीहरू शत्रु होइनन्।
的确	साँच्चै	यो कुरा साँच्चै धेरै महत्वपूर्ण छ।
地道	खाँटी	उनी खाँटी बेइजिङ बोली बोल्छन्।
地理	भूगोल	म चिनियाँ भूगोलमा धेरै रुचि राख्छु।
地区	क्षेत्र	यो क्षेत्रमा जाडोमा धेरै चिसो हुन्छ।
地毯	गलैँचा	बैठक कोठामा गलैँचा ओछ्याइएको छ।
地位	स्थान	समाजमा शिक्षाको महत्वपूर्ण स्थान छ।
地震	भूकम्प	हिजो राति यहाँ भूकम्प गयो।
递	हातमा दिनु	कृपया यो चिठी शिक्षकलाई हातमा देऊ।
点心	खाजा	हामीले दिउँसो खाजा खायौं।
电池	ब्याट्री	यो खेलौनालाई दुईवटा ब्याट्री चाहिन्छ।
电台	रेडियो केन्द्र	उनी रेडियो केन्द्रमा कार्यक्रम चलाउँछन्।
钓	माछा मार्नु	हजुरबुबा नदी किनारमा माछा मार्न जान मन पराउनुहुन्छ।
顶	माथिल्लो भाग	उनले कालो टोपी लगाएका छन्।
冻	जम्नु	बाहिर यति चिसो छ कि पानी जमेको छ।
动画片	कार्टुन	बालबालिका कार्टुन हेर्दैछन्।
洞	प्वाल	भित्तामा एउटा सानो प्वाल छ।
豆腐	टोफु	यो टोफुको परिकार स्वादिलो छ।
逗	हँसाउनु	उनको कुराले सबैलाई हँसायो।
独立	स्वतन्त्र	उनी स्वतन्त्र रूपमा बस्न चाहन्छिन्।
独特	अद्वितीय	यो शहरको संस्कृति अद्वितीय छ।
度过	बिताउनु	हामीले बिदा समुद्र किनारमा बितायौं।
断	चुँडिनु	यो डोरी चुँडियो।
堆	थुपार्नु	टेबलमा धेरै कागजात थुपारिएका छन्।
兑换	साट्नु	म केही चिनियाँ मुद्रा साट्न चाहन्छु।
对比	तुलना गर्नु	कृपया यी दुई योजना तुलना गर।
对待	व्यवहार गर्नु	हामीले सबैसँग न्यायपूर्ण व्यवहार गर्नुपर्छ।
对方	अर्को पक्ष	कृपया पहिले अर्को पक्षको विचार सुन।
对手	प्रतिद्वन्द्वी	उनको प्रतिद्वन्द्वी धेरै बलियो छ।
对象	विषय	अनुसन्धानका विषय विश्वविद्यालयका विद्यार्थीहरू हुन्।
吨	टन	यो ट्रकले तीन टन सामान बोक्न सक्छ।
蹲	टुक्रुक्क बस्नु	उनी चाबी खोज्दै भुइँमा टुक्रुक्क बसेका छन्।
顿	छाक	हामीले सँगै बेलुकाको छाक खायौं।
多亏	धन्यवाद	तिम्रो सहयोगका कारण मैले काम पूरा गरें।
多余	अनावश्यक	यो वाक्य अनावश्यक छ।
朵	थुँगा	टेबलमा एउटा फूलको थुँगा छ।
躲藏	लुक्नु	बिरालोको बच्चा ओछ्यानमुनि लुकेको छ।
恶劣	खराब	आजको मौसम धेरै खराब छ।
耳环	कानको झुम्का	उनले एक जोडी कानका झुम्का लगाएकी छिन्।
发表	प्रकाशित गर्नु	उनले बैठकमा आफ्नो विचार व्यक्त गरे।
发愁	चिन्ता गर्नु	यो सानो कुरामा चिन्ता नगर।
发达	विकसित	यो शहरको यातायात धेरै विकसित छ।
发抖	काम्नु	उनी चिसोले कामिरहेका छन्।
发挥	प्रयोग गर्नु	कृपया आफ्नो कल्पना प्रयोग गर।
发明	आविष्कार	विद्युत बत्ती महत्वपूर्ण आविष्कार हो।
发票	बिल	कृपया मलाई बिल निकालिदेऊ।
发言	बोल्नु	उनले बैठकमा बोले।
罚款	जरिवाना	गलत ठाउँमा पार्किङ गरे जरिवाना लाग्छ।
法院	अदालत	यो मुद्दा अदालतमा पठाइयो।
翻	पल्टाउनु	कृपया किताब दसौं पृष्ठमा पल्टाऊ।
繁荣	समृद्ध	अर्थतन्त्र बिस्तारै समृद्ध हुँदैछ।
反而	बरु	उनी रिसाएनन्, बरु हाँसे।
反复	बारम्बार	यो वाक्य बारम्बार अभ्यास गर्नुपर्छ।
反应	प्रतिक्रिया	उनको प्रतिक्रिया छिटो छ।
反映	प्रतिबिम्बित गर्नु	यो प्रतिवेदनले वास्तविक अवस्था प्रतिबिम्बित गर्छ।
反正	जे भए पनि	जे भए पनि, भोलि मसँग समय छ।
范围	दायरा	कृपया यो दायरा नाघेर नजाऊ।
方	वर्ग	कृपया कागजमा एउटा वर्ग कोर।
方案	योजना	यो योजना निकै उचित छ।
方式	तरिका	पढ्ने यो तरिका धेरै प्रभावकारी छ।
妨碍	बाधा दिनु	कृपया अरूको काममा बाधा नदेऊ।
仿佛	मानौं	उनी मानौं सबै कुरा जान्दछन्।
非	बिना	यो काम तिमी बिना हुन सक्दैन।
肥皂	साबुन	हात धुँदा साबुन प्रयोग गर।
废话	बकवास	बकवास छोडेर छिटो सुरु गर।
分别	छुट्टिनु	उनीहरू स्टेशनमा छुट्टिए।
分布	फैलिनु	यी पसलहरू शहरभरि फैलिएका छन्।
分配	वितरण गर्नु	शिक्षकले नयाँ काम वितरण गरे।
分手	सम्बन्ध तोड्नु	उनीहरूले गत वर्ष सम्बन्ध तोडे।
分析	विश्लेषण गर्नु	हामीले कारणहरू विश्लेषण गर्नुपर्छ।
纷纷	एकपछि अर्को	सबैले एकपछि अर्को सहमति जनाए।
奋斗	संघर्ष गर्नु	युवाहरूले आफ्नो सपनाका लागि संघर्ष गर्नुपर्छ।
疯狂	उन्मत्त	प्रशंसकहरूले उन्मत्त भएर जयजयकार गरे।
风格	शैली	यो रेस्टुरेन्टको शैली धेरै फरक छ।
风景	दृश्य	पहाडको दृश्य सुन्दर छ।
风俗	चलन	हरेक ठाउँको आफ्नै चलन हुन्छ।
风险	जोखिम	लगानीमा निश्चित जोखिम हुन्छ।
讽刺	व्यङ्ग्य गर्नु	यो लेखले सामाजिक समस्यामाथि व्यङ्ग्य गर्यो।
否定	नकार्नु	उनले यो भनाइ नकारे।
否认	इन्कार गर्नु	उनले आफूले गल्ती गरेको इन्कार गरे।
幅	थान	भित्तामा एउटा चित्रको थान झुन्डिएको छ।
扶	सहारा दिनु	कृपया वृद्धलाई बाटो काट्न सहारा देऊ।
服装	लुगा	यो पसलले बालबालिकाका लुगा बेच्छ।
辅导	पढाइमा मद्दत गर्नु	शिक्षकले कक्षापछि विद्यार्थीलाई पढाइमा मद्दत गर्छन्।
复制	प्रतिलिपि गर्नु	कृपया यो कागजातको प्रतिलिपि गर।
妇女	महिला	यो अस्पतालले महिलाका लागि सेवा दिन्छ।
改革	सुधार	विद्यालयले शिक्षण सुधार गर्दैछ।
改进	सुधार गर्नु	हामीले सेवाको गुणस्तर सुधार गर्नुपर्छ।
改善	बेहतर बनाउनु	व्यायामले निद्रा बेहतर बनाउन सक्छ।
改正	सच्याउनु	कृपया गल्ती तुरुन्तै सच्याऊ।
概括	सारांश गर्नु	कृपया लेखको सामग्री सारांश गर।
概念	धारणा	यो धारणा बुझ्न धेरै सजिलो छैन।
盖	ढाक्नु	कृपया कप राम्रोसँग ढाक।
干脆	बरु	आज बरु नजाऊ।
干燥	सुक्खा	उत्तरतिरको जाडो धेरै सुक्खा हुन्छ।
感激	कृतज्ञ हुनु	तिम्रो सहयोगका लागि म धेरै कृतज्ञ छु।
感受	अनुभूति	म तिम्रो अनुभूति बुझ्न सक्छु।
感想	विचार	कृपया आफ्नो विचारबारे कुरा गर।
赶紧	हतार गर्नु	ढिलो हुँदैछ, हतार गरेर निस्क।
赶快	छिटो	ढोका छिटो बन्द गर।
干活儿	काम गर्नु	उनी आँगनमा काम गरिरहेका छन्।
钢铁	इस्पात	यो पुल इस्पातले बनेको हो।
高档	उच्चस्तरीय	यो उच्चस्तरीय होटल हो।
高级	उन्नत	उनी उन्नत चिनियाँ कक्षामा भर्ना भइन्।
搞	आयोजना गर्नु	तिमी कस्तो कार्यक्रम आयोजना गर्दैछौ?
告别	बिदाइ गर्नु	हामीले विमानस्थलमा साथीलाई बिदाइ गर्यौं।
格外	विशेष गरी	आज आकाश विशेष गरी निलो छ।
隔壁	छिमेक	छिमेकमा एक शिक्षक बस्नुहुन्छ।
个别	केही	केही विद्यार्थीले अझै गृहकार्य बुझाएका छैनन्।
个人	व्यक्तिगत	यो मेरो व्यक्तिगत विचार हो।
个性	व्यक्तित्व	उनको व्यक्तित्व धेरै छ।
各自	आआफ्नो	सबैले आआफ्नो काम पूरा गर्छन्।
根	डोरी	टेबलमुनि एउटा तार छ।
根本	बिल्कुलै	यो समस्या बिल्कुलै गाह्रो छैन।
公布	घोषणा गर्नु	विद्यालयले परीक्षाको नतिजा घोषणा गर्यो।
公开	सार्वजनिक	यो बैठक सार्वजनिक छ।
公平	न्यायपूर्ण	प्रतियोगिता न्यायपूर्ण हुनुपर्छ।
公寓	अपार्टमेन्ट	उनले एउटा सानो अपार्टमेन्ट भाडामा लिइन्।
公元	ईस्वी संवत्	यो वर्ष ईस्वी संवत् २०२६ हो।
公主	राजकुमारी	सानो केटीलाई राजकुमारीका कथा मन पर्छ।
功能	कार्य	यो सफ्टवेयरमा धेरै कार्यहरू छन्।
工厂	कारखाना	यो कारखानाले कार उत्पादन गर्छ।
工程师	इन्जिनियर	मेरो दाइ इन्जिनियर हुन्।
工具	औजार	साइकल मर्मत गर्न औजार चाहिन्छ।
工人	कामदार	कामदारहरू सडक मर्मत गर्दैछन्।
工业	उद्योग	यो शहर मुख्य रूपमा उद्योगमा आधारित छ।
恭喜	बधाई	परीक्षा पास गरेकोमा बधाई।
贡献	योगदान	उनले कम्पनीमा योगदान गरे।
沟通	सञ्चार	राम्रो सञ्चार धेरै महत्वपूर्ण छ।
构成	बन्नु	यी भागहरू मिलेर एउटा सम्पूर्ण बन्छन्।
姑姑	फुपू	म यो सप्ताहन्तमा फुपूलाई भेट्न जाँदैछु।
姑娘	युवती	ती युवती धेरै न्यानो मनकी छिन्।
古代	प्राचीन समय	प्राचीन समयमा मोबाइल फोन थिएन।
古典	शास्त्रीय	मलाई शास्त्रीय संगीत मन पर्छ।
股票	सेयर	उनले केही सेयर किने।
骨头	हड्डी	यो हड्डी धेरै कडा छ।
鼓舞	उत्साहजनक	यो समाचार धेरै उत्साहजनक छ।
鼓掌	ताली बजाउनु	दर्शकहरूले कलाकारहरूलाई ताली बजाए।
固定	निश्चित	मेरो काम गर्ने समय निश्चित छ।
挂号	दर्ता गर्नु	डाक्टर भेट्नुअघि दर्ता गर्नुपर्छ।
乖	आज्ञाकारी	यो बच्चा धेरै आज्ञाकारी छ।
拐弯	मोडिनु	अगाडिको चोकमा दायाँ मोड।
怪不得	त्यसैले रहेछ	त्यसैले रहेछ, तिमी यति थाकेका छौ।
关闭	बन्द गर्नु	निस्कनुअघि कम्प्युटर बन्द गर।
官	अधिकारी	उनी युवा अधिकारी हुन्।
观察	अवलोकन गर्नु	डाक्टरले बिरामीको अवस्था अवलोकन गर्दैछन्।
观点	दृष्टिकोण	म तिम्रो दृष्टिकोणसँग सहमत छु।
观念	विचारधारा	युवाहरूको विचारधारा परिवर्तन हुँदैछ।
管子	पाइप	यो पाइपबाट पानी चुहिरहेको छ।
冠军	विजेता	उनले प्रतियोगितामा विजेता पद जितिन्।
光滑	चिल्लो	यो टेबलको सतह धेरै चिल्लो छ।
光临	आउनु	अर्को पटक फेरि आउनुहोस्।
光明	उज्ज्वल	भविष्य उज्ज्वल छ।
光盘	डिस्क	कृपया सामग्री डिस्कमा सुरक्षित गर।
广场	चोक	चोकमा धेरै मानिस छन्।
广大	धेरै ठूलो	यो समाचारलाई धेरै ठूलो विद्यार्थी समूहले स्वागत गर्यो।
广泛	व्यापक	यो किताबको प्रभाव व्यापक छ।
归纳	निष्कर्ष निकाल्नु	शिक्षकले हामीलाई मुख्य बुँदा निष्कर्ष निकाल्न मद्दत गर्नुभयो।
规矩	नियम	बालबालिकाले नियम बुझ्नुपर्छ।
规律	नियमितता	जीवनमा नियमितता हुनुपर्छ।
规模	आकार	यो कम्पनीको आकार ठूलो छ।
规则	नियम	प्रतियोगिताका नियम धेरै स्पष्ट छन्।
柜台	काउन्टर	कृपया काउन्टरमा पैसा तिर।
滚	उम्लिनु	पानी पहिले नै उम्लिएको छ।
锅	भाँडो	भाँडोमा तातो सुप छ।
国庆节	राष्ट्रिय दिवस	राष्ट्रिय दिवसमा हामीलाई बिदा हुन्छ।
国王	राजा	राजा दरबारमा बस्छन्।
果然	सोचेझैं	उनी सोचेझैं समयमै आइपुगे।
果实	फल	रुख फलले भरिएको छ।
