source_headword	NL	example_NL
wooden	houten	De houten doos is zwaar.
working	werkend; werk-	De werkdag is voorbij.
worried	bezorgd	Ik ben vandaag bezorgd.
worry	zich zorgen maken	Maak je nu geen zorgen.
worse	erger	Deze pijn is erger.
worst	ergste	Dit was de ergste dag.
wow	wow	Wow, dat is geweldig!
yet	al; nog	Ben je er al?
yours	van jou	Dit boek is van jou.
zero	nul	Tel af naar nul.
