source_headword	IT	example_IT
photographer	il fotografo	Il fotografo ha scattato molte foto.
photography	la fotografia	La fotografia è il suo hobby preferito.
pin	lo spillo	Metti uno spillo sulla mappa.
pipe	il tubo	Il tubo trasporta acqua.
planning	la pianificazione	La pianificazione richiede tempo.
pleasant	piacevole	Abbiamo passato una serata piacevole.
pleasure	il piacere	È stato un piacere conoscerti.
plenty	molto	Abbiamo molto tempo.
plot	la trama	La trama era facile da seguire.
plus1	più	Due più tre fa cinque.
poem	la poesia	Ha scritto una breve poesia.
poet	il poeta	Il poeta ha letto ad alta voce.
poetry	la poesia	Gli piace la poesia moderna.
poison	il veleno	Tieni il veleno lontano dai bambini.
poisonous	velenoso	Alcuni funghi sono velenosi.
policy	la politica	L'azienda ha cambiato la sua politica.
political	politico	Il discorso era politico.
politician	il politico	Il politico ha risposto alle domande.
politics	la politica	La politica può essere complicata.
port	il porto	La nave è entrata nel porto.
portrait	il ritratto	Il ritratto è appeso nell'ingresso.
possibly	forse	Forse arriverà in ritardo.
pot	il vaso	La pianta ha bisogno di un vaso più grande.
pour	versare	Versa il latte lentamente.
poverty	la povertà	Molte famiglie vivono in povertà.
powder	la polvere	Aggiungi la polvere all'acqua.
powerful	potente	Il motore è potente.
practical	pratico	Questa è una soluzione pratica.
pray	pregare	Pregano ogni mattina.
prayer	la preghiera	Ha detto una preghiera silenziosa.
prediction	la previsione	La sua previsione era corretta.
prepared	preparato	Sono preparato per l'esame.
presentation	la presentazione	La sua presentazione era chiara.
press	premere	Premi il pulsante una volta.
pressure	la pressione	La pressione può influire sulla salute.
pretend	fingere	Non fingere di dormire.
previous	precedente	La lezione precedente era più facile.
previously	in precedenza	In precedenza vivevamo a Roma.
priest	il sacerdote	Il sacerdote ha parlato piano.
primary	principale	La salute è la nostra preoccupazione principale.
prince	il principe	Il principe ha visitato la scuola.
princess	la principessa	La principessa indossava un vestito blu.
printing	la stampa	Stampare il rapporto ha richiesto minuti.
prisoner	il prigioniero	Il prigioniero è fuggito di notte.
private	privato	Questa è una conversazione privata.
producer	il produttore	Al produttore è piaciuto il film.
production	la produzione	La produzione inizia la prossima settimana.
profession	la professione	L'insegnamento è una professione rispettata.
profit	il profitto	Il negozio ha realizzato un profitto.
promote	promuovere	Promuovono un'alimentazione sana.
proper	adeguato	Indossa scarpe adeguate per camminare.
properly	correttamente	Chiudi la porta correttamente.
property	la proprietà	Hanno comprato una proprietà vicino al fiume.
protest	la protesta	La protesta è finita pacificamente.
proud	orgoglioso	Si è sentita orgogliosa di suo figlio.
prove	provare	Puoi provare la tua risposta?
punish	punire	L'insegnante non lo ha punito.
punishment	la punizione	La punizione sembrava giusta.
qualification	la qualifica	Hai bisogno di una qualifica per questo lavoro.
qualified	qualificato	È un'infermiera qualificata.
qualify	qualificarsi	La nostra squadra può qualificarsi.
queue	la fila	Abbiamo aspettato in una lunga fila.
quit	smettere	Ha deciso di smettere di fumare.
quotation	la citazione	Il saggio inizia con una citazione.
quote	citare	Posso citare le tue parole?
race (people)	l'origine etnica	Il modulo chiede l'origine etnica.
racing	le corse	Le corse di cavalli sono popolari lì.
range	la gamma	Il negozio vende una vasta gamma.
rare	raro	Questo uccello è raro.
rarely	raramente	Raramente mangiamo fuori.
reaction	la reazione	La sua reazione mi ha sorpreso.
reality	la realtà	La realtà era diversa dal suo sogno.
receipt	la ricevuta	Conserva la ricevuta.
recommendation	la raccomandazione	Grazie per la raccomandazione.
reference	il riferimento	Aggiungi un riferimento alla fine.
reflect	riflettere	Lo specchio può riflettere la luce.
regularly	regolarmente	Fa esercizio regolarmente.
reject	rifiutare	Potrebbero rifiutare l'offerta.
relate	identificarsi	Posso identificarmi con quella storia.
related	collegato	I due problemi sono collegati.
relation	la relazione	C'è una relazione tra loro.
relative	relativo	La velocità è relativa.
relaxed	rilassato	Si è sentito rilassato dopo cena.
relaxing	rilassante	La musica era rilassante.
release	uscire	Il film uscirà presto.
reliable	affidabile	Questo autobus è di solito affidabile.
religion	la religione	La religione è importante per lei.
religious	religioso	Hanno visitato un edificio religioso.
remain	rimanere	Per favore, rimani calmo.
remind	ricordare	Ricordamelo domani.
remote	remoto	Vivono in un villaggio remoto.
rent	l'affitto	L'affitto è dovuto oggi.
repeated	ripetuto	Errori ripetuti hanno rallentato il lavoro.
represent	rappresentare	La stella rappresenta la speranza.
require	richiedere	Questo lavoro richiederà formazione.
reservation	la prenotazione	Ho fatto una prenotazione.
resource	la risorsa	La biblioteca è una risorsa utile.
respect	il rispetto	Rispetta i tuoi compagni di classe.
responsibility	la responsabilità	La cura dei bambini è una grande responsabilità.
responsible	responsabile	È responsabile dei biglietti.
retire	andare in pensione	Mio padre andrà presto in pensione.
retired	in pensione	È un insegnante in pensione.
revise	rivedere	Rivedi il tuo saggio stasera.
risk	il rischio	C'è rischio di pioggia.
robot	il robot	Il robot ha pulito il pavimento.
roll	far rotolare	Fai rotolare la palla verso di me.
romantic	romantico	Hanno avuto una cena romantica.
rope	la corda	Lega la corda stretta.
rough	ruvido	La strada era ruvida.
row1	la fila	Siediti nella prima fila.
royal	reale	La famiglia reale è arrivata.
rugby	il rugby	Abbiamo guardato il rugby in televisione.
safety	la sicurezza	La sicurezza è importante al lavoro.
sailor	il marinaio	Il marinaio ha riparato la barca.
sample	il campione	L'infermiera ha preso un campione di sangue.
sand	la sabbia	La sabbia copriva le mie scarpe.
scan	scansionare	Scansiona prima il documento.
scientific	scientifico	Questo è un metodo scientifico.
script	il copione	L'attore ha letto il copione.
sculpture	la scultura	La scultura si trova fuori.
secondary	secondario	Questo è un problema secondario.
security	la sicurezza	La sicurezza ha controllato le nostre borse.
seed	il seme	Pianta il seme nel terreno.
sensible	sensato	Questa è un'idea sensata.
seriously	seriamente	Prendi questo problema seriamente.
servant	il servo	Il servo ha aperto la porta.
set (put)	mettere	Metti il bicchiere sul tavolo.
set (group)	il set	Questo set include sei tazze.
setting	l'ambientazione	La storia ha un'ambientazione urbana.
sex	il sesso	Il modulo chiede età e sesso.
sexual	sessuale	La classe ha discusso di salute sessuale.
sharp	affilato	Questo coltello è affilato.
shelf	lo scaffale	Metti il libro sullo scaffale.
shell	la conchiglia	La conchiglia era vuota.
shift	il turno	Il mio turno inizia alle otto.
shine	brillare	Le stelle brillano di notte.
shiny	lucido	Le sue scarpe sono lucide.
shoot	fotografare	Il fotografo fotograferà la scena.
shy	timido	È timido con gli sconosciuti.
sight	la vista	La montagna era una vista bellissima.
signal	il segnale	Il segnale era debole.
silent	silenzioso	La stanza è diventata silenziosa.
silly	sciocco	È stato un errore sciocco.
similarity	la somiglianza	C'è una chiara somiglianza.
similarly	in modo simile	Il secondo piano funziona in modo simile.
simply	semplicemente	Premi semplicemente questo pulsante.
sink	affondare	Le pietre pesanti affondano rapidamente.
slice	la fetta	Ho mangiato una fetta di torta.
slightly	leggermente	La stanza è leggermente più calda.
smart	elegante	Indossava una giacca elegante.
smooth	liscio	La strada è liscia.
software	il software	Il software ha bisogno di un aggiornamento.
soil	il terreno	Il terreno è asciutto.
solid	solido	Il muro è solido.
southern	meridionale	Vivono sulla costa meridionale.
specifically	specificamente	Ho chiesto specificamente del tè.
spending	la spesa	La spesa pubblica è aumentata.
spicy	piccante	Questo curry è piccante.
spirit	lo spirito	La squadra ha mostrato grande spirito.
spoken	parlato	L'inglese parlato migliora con la pratica.
spot	il posto	Questo posto è perfetto.
spread	spalmare	Spalma il burro sul pane.
stadium	lo stadio	Lo stadio era pieno.
staff	il personale	Il personale è stato disponibile.
standard	lo standard	Lo standard era alto.
statistic	la statistica	Questa statistica è sorprendente.
statue	la statua	La statua si trova nella piazza.
stick (push into/attach)	attaccare	Attacca l'etichetta sulla scatola.
stick (piece of wood)	il bastone	Ha raccolto un bastone.
