source_headword	ET	example_ET
biological	bioloogiline	Bioloogiline test kinnitas tulemust.
blanket	tekk	Laps magas teki all.
blow	löök	Tugev löök purustas akna.
bold	julge	Pealkirjas kasutati pakse tähti.
bombing	pommitamine	Pommitamine kahjustas mitmeid hooneid.
booking	broneering	Ma kinnitasin hotelli broneeringu.
boost	tõuge	Võit tõstis meeskonna enesekindlust.
bound	seotud	Pakk oli nööriga seotud.
brick	tellis	Sein on tehtud tellistest.
briefly	lühidalt	Ta rääkis pärast lõunat lühidalt.
broadcaster	ringhääling	Saatejuht intervjueeris linnapead.
broadly	laialdaselt	Need kaks plaani on üldiselt sarnased.
bug	putukas	Rakendus jooksis kokku vea tõttu.
cabin	kajut	Me peatusime väikeses majakeses.
canal	kanal	Paadid liikusid aeglaselt mööda kanalit.
candle	küünal	Küünal põles laual.
carbon	süsinik	Puud neelavad õhust süsinikku.
casual	igapäevane	Ta kandis tööle igapäevaseid riideid.
cave	koobas	Matkajad sisenesid koopasse.
certainty	kindlus	Me ei saa seda kindlusega teada.
certificate	sertifikaat	Ta sai koolituse tunnistuse.
challenging	väljakutsuv	Kursus oli väljakutsuv, kuid kasulik.
championship	meistrivõistlused	Meie meeskond jõudis meistrivõistluste finaali.
charming	võluv	Vana tänav nägi välja võluv.
chase	tagaajamine	Koer ajas palli taga.
cheek	põsk	Pisar jooksis mööda ta põske alla.
cheer	ergutamine	Rahvas hakkas valjult juubeldama.
choir	koor	Koor laulis ilusti.
chop	hakkima	Haki sibulad väikesteks tükkideks.
circuit	vooluring	Jooksja lõpetas ringi.
civilization	tsivilisatsioon	Iidne tsivilisatsioon kujundas seda piirkonda.
clarify	selgitama	Palun täpsustage viimast punkti.
classify	klassifitseerima	Teadlased liigitavad loomi liikide järgi.
clerk	ametnik	Klienditeenindaja printis kviitungi.
cliff	kalju	Rada lõpeb kalju lähedal.
clinic	kliinik	Kliinik avatakse kell kaheksa.
clip	klamber	Ta kinnitas klambri paberi külge.
coincidence	kokkusattumus	Tema seal kohtamine oli juhus.
collector	koguja	Kollektsionäär ostis haruldasi münte.
colony	koloonia	Sipelgad ehitasid suure koloonia.
colourful	värviline	Turg oli särav ja värvikas.
comic	koomiks	Koomiline stseen ajas meid naerma.
commander	komandör	Komandör andis selged käsud.
comparative	võrdlev	Essees kasutatakse võrdlevaid andmeid.
completion	lõpuleviimine	Sild on peagi valmimas.
compose	koostama	Ta komponeerib filmile muusikat.
composer	helilooja	Helilooja kirjutas uue laulu.
compound	ühend	Ühend sisaldab kahte kemikaali.
comprehensive	kõikehõlmav	Juhend annab põhjalikke juhiseid.
comprise	hõlmama	Meeskond koosneb viiest liikmest.
compulsory	kohustuslik	Selles tunnis on osalemine kohustuslik.
concrete	betoon	Põrand on tehtud betoonist.
confess	üles tunnistama	Ta tunnistas vea oma õpetajale üles.
confusion	segadus	Viivitus tekitas segadust.
consequently	järelikult	Sadas vihma, seetõttu mäng peatati.
conservation	looduskaitse	Looduskaitse kaitseb haruldasi loomi.
considerable	märkimisväärne	Remont võttis märkimisväärselt aega.
considerably	märkimisväärselt	Hinnad tõusid sel aastal märkimisväärselt.
consistently	järjekindlalt	Ta esineb järjepidevalt hästi.
conspiracy	vandenõu	Politsei uuris vandenõud.
consult	konsulteerima	Enne ravimi võtmist konsulteerige oma arstiga.
consultant	konsultant	Konsultant pakkus välja uue strateegia.
consumption	tarbimine	Energiatarbimine langes eelmisel kuul.
controversial	vastuoluline	Poliitika on endiselt vastuoluline.
controversy	vastuolu	Otsus tekitas vaidlusi.
convenience	mugavus	Pood pakub suurt mugavust.
convention	konventsioon	Iga-aastane konverents algab esmaspäeval.
conventional	tavapärane	Ta valis tavapärase disaini.
convey	edasi andma	Sõnum andis edasi kaastunnet.
convincing	veenev	Tema selgitus oli veenev.
cope	toime tulema	Ta õppis stressiga toime tulema.
corporation	korporatsioon	Korporatsioon avas uue kontori.
corridor	koridor	Koridor oli kitsas ja vaikne.
counter (long flat surface)	lett	Võtmed on köögiletil.
coverage	kajastus	Uudiste kajastus kestis kogu õhtu.
crack	pragu	Seina tekkis pragu.
craft	käsitöö	Ta müüb internetis käsitööd.
creativity	loovus	Loovus aitab probleeme lahendada.
critically	kriitiliselt	Artikkel oli kriitiliselt oluline.
cruise	kruiis	Nad broneerisid kruiisi Kreekasse.
cue	märguanne	Näitleja magas oma märguande maha.
curious	uudishimulik	Laps oli kosmose vastu uudishimulik.
curriculum	õppekava	Kool uuendas oma õppekava.
cute	armas	Kutsikas nägi armas välja.
dairy	meierei	Talu toodab piimatooteid.
dare	julgema	Ma esitan sulle väljakutse seda proovida.
darkness	pimedus	Tuba täitus pimedusega.
database	andmebaas	Andmebaas salvestab klientide andmeid.
deadline	tähtaeg	Tähtaeg on reedel.
deadly	surmav	Maol on surmav mürk.
dealer	edasimüüja	Automüüja pakkus allahindlust.
deck	tekk	Toolid on terrassil.
defender	kaitsja	Kaitsja blokeeris viske.
delete	kustutama	Kustuta vana sõnum.
democracy	demokraatia	Demokraatia sõltub vabadest valimistest.
democratic	demokraatlik	Hääletus järgis demokraatlikke reegleid.
demonstration	demonstratsioon	Üliõpilased ühinesid meeleavaldusega.
depart	lahkuma	Rong väljub keskpäeval.
dependent	sõltuv	Laps on täiskasvanutest sõltuv.
deposit	hoius	Ta maksis korteri eest tagatisraha.
depression	depressioon	Depressioon nõuab professionaalset tuge.
derive	tuletama	Paljud sõnad pärinevad ladina keelest.
desperately	meeleheitlikult	Ta vajas meeleheitlikult vett.
destruction	hävitamine	Torm põhjustas laialdast hävingut.
determination	sihikindlus	Tema sihikindlus avaldas treenerile muljet.
devote	pühendama	Ta pühendab nädalavahetused õppimisele.
differ	erinema	Nende arvamused erinevad järsult.
disability	puue	Hoonel on juurdepääs puuetega inimestele.
disabled	keelatud	Puudega sportlane võitis medali.
disagreement	lahkarvamus	Koosolek lõppes lahkarvamusega.
disappoint	pettumust valmistama	Tulemus võib fännidele pettumust valmistada.
disappointment	pettumus	Ta tundis sügavat pettumust.
discourage	heidutama	Ära heiduta noori õppijaid.
disorder	häire	Arst diagnoosis unehäire.
distant	kauge	Mäed tundusid kauged.
distinct	erinev	Need kaks heli on erinevad.
distinguish	eristama	Kas sa suudad neid värve eristada?
distract	häirima	Müra võib õpilaste tähelepanu kõrvale juhtida.
disturb	häirima	Palun ärge segage patsienti.
dive	sukelduma	Nad sukelduvad rifi lähedal.
diverse	mitmekesine	Linnas on mitmekesised kultuurid.
diversity	mitmekesisus	Me tähistame kultuurilist mitmekesisust.
divorce	lahutus	Lahutus oli kõigile raske.
dominant	domineeriv	Domineeriv meeskond kontrollis mängu.
donation	annetus	Heategevusorganisatsioon sai annetuse.
dot	punkt	Pane numbri järele punkt.
downtown	kesklinn	Kohtusime pärast tööd kesklinnas.
dramatically	dramaatiliselt	Hind langes märkimisväärselt.
drought	põud	Põud kahjustas saaki.
dull	igav	Loeng oli igav.
dump	maha viskama	Ära viska siia prügi.
duration	kestus	Lennu kestus on kolm tundi.
dynamic	dünaamiline	Klassiruum tundus dünaamiline.
economics	majandus	Ta õpib ülikoolis majandust.
economist	majandusteadlane	Majandusteadlane ennustas aeglasemat kasvu.
editorial	toimetuse	Juhtkiri kritiseeris seadust.
efficiently	tõhusalt	Meeskond töötas tõhusalt.
elbow	küünarnukk	Ta vigastas oma küünarnukki.
electronics	elektroonika	Pood müüb elektroonikat.
elegant	elegantne	Kleit nägi elegantne välja.
elementary	algeline	Raamat selgitab elementaarset grammatikat.
eliminate	kõrvaldada	Meeskond kõrvaldas mitu viga.
embrace	omaks võtta	Ta võttis uue idee omaks.
emission	emissioon	Autode heitkoguste tase langes.
emotionally	emotsionaalselt	Ta rääkis oma perest emotsionaalselt.
empire	impeerium	Impeerium kestis sajandeid.
enjoyable	nauditav	Reis oli nauditav.
entertaining	meelelahutuslik	Etendus oli meelelahutuslik.
entrepreneur	ettevõtja	Ettevõtja avas kohviku.
envelope	ümbrik	Pange kiri ümbrikusse.
equip	varustada	Kool varustab labori.
equivalent	ekvivalent	Üks dollar ei ole siin samaväärne.
era	ajastu	Avastus alustas uut ajastut.
erupt	purskama	Vulkaan võib varsti pursata.
essentially	põhiliselt	Need kaks meetodit on põhiliselt identsed.
ethic	eetika	Tema tööeetika on tugev.
ethnic	etniline	Festival tähistab etnilisi traditsioone.
evaluation	hindamine	Kursus sisaldab lõpphindamist.
evident	ilmne	Tema närvilisus oli ilmne.
evolution	evolutsioon	Evolutsioon selgitab paljusid bioloogilisi muutusi.
evolve	arendada	Keeled arenevad aja jooksul.
exceed	ületada	Nõudlus võib ületada pakkumist.
exception	erand	On üks erand.
excessive	ülemäärane	Liigne müra häirib naabreid.
exclude	välja jätta	Nimekiri välistab ajutised töötajad.
exhibit	eksponaat	Muuseum paneb näitusele haruldased fotod.
exit	väljapääs	Väljapääs on lava taga.
exotic	eksootiline	Pood müüb eksootilisi puuvilju.
expansion	laienemine	Ettevõte plaanis laienemist.
expertise	asjatundlikkus	Tema asjatundlikkus parandas projekti.
exploit	ära kasutada	Kurjategijad kasutavad ära nõrku paroole.
exposure	kokkupuude	Päikesega kokkupuude võib nahka kahjustada.
extension	pikendus	Tähtaja pikendus aitas kõiki.
extensive	ulatuslik	Raamatukogul on ulatuslikud ressursid.
extensively	ulatuslikult	Teemat uuriti ulatuslikult.
extract	väljavõte	Vaniljeekstrakt annab maitset.
fabric	kangas	Kangas tundub pehme.
fabulous	muinasjutuline	Eine oli suurepärane.
failed	ebaõnnestunud	Ebaõnnestunud katse õpetas meile midagi.
fake	võlts	Veebisait müüs võltspileteid.
fame	kuulsus	Kuulsus muutis tema eraelu.
fantasy	fantaasia	Romaan on fantaasia.
fare	piletihind	Bussi piletihind tõusis.
federal	föderaalne	Föderaalvalitsus teatas rahastamisest.
fever	palavik	Lapsel on palavik.
firefighter	tuletõrjuja	Tuletõrjuja päästis koera.
firework	ilutulestik	Pargi kohal plahvatas ilutulestikurakett.
firm	kindel	Madrats on kõva.
firmly	kindlalt	Ta sulges ukse kindlalt.
flavour	maitse	Supil on rikkalik maitse.
fond	hell	Ta on kiindunud džässi.
fool	loll	Ära käitu nagu loll.
forbid	keelama	Seadus keelab siin suitsetamise.
forecast	prognoos	Prognoos ennustab vihma.
format	formaat	Kasuta õiget failivormingut.
formation	moodustumine	Pilvede moodustumine muutub kiiresti.
formerly	varem	Hoone oli varem kool.
fortunate	õnnelik	Meil vedas, et jõudsime varakult.
forum	foorum	Foorum arutas kliimapoliitikat.
fossil	fossiil	Fossiil leiti kivist.
foundation	alus	Majal on tugev vundament.
founder	asutaja	Asutaja tervitas külalisi.
fraction	murdosa	Ainult murdosa õpilastest tuli kohale.
fragment	fragment	Klaasikild lamas põrandal.
framework	raamistik	Seadus loob selge raamistiku.
fraud	pettus	Pank avastas pettuse.
freely	vabalt	Lapsed mängisid õues vabalt.
frequent	sagedane	Sagedased pausid parandavad keskendumist.
fulfil	täitma	Ma loodan oma lubaduse täita.
full-time	täiskohaga	Tal on täiskohaga töö.
fundamentally	põhimõtteliselt	Plaan on põhimõtteliselt erinev.
furious	maruvihane	Ta oli viivituse peale maruvihane.
gaming	mängimine	Mängimine võib parandada reaktsioonikiirust.
gay	homoseksuaalne	Ta toetab geide õigusi.
gender	sugu	Küsitlus uuris sugu.
gene	geen	Geen mõjutab silmavärvi.
genetic	geneetiline	Haigusel on geneetilised põhjused.
genius	geenius	Noor pianist on geenius.
genuine	ehtne	Tema naeratus tundus siiras.
genuinely	siiralt	Ta tahtis siiralt aidata.
gesture	žest	Ta tegi sõbraliku žesti.
gig	esinemine	Bänd mängis kesklinnas kontserdil.
globalization	globaliseerumine	Globaliseerumine mõjutab kohalikke ettevõtteid.
globe	gloobus	Gloobus näitab igat mandrit.
golden	kuldne	Päikeseloojang muutus kuldseks.
goodness	headus	Ta usub inimlikku headusesse.
gorgeous	imeline	Aed nägi imeilus välja.
governor	kuberner	Kuberner allkirjastas seaduseelnõu.
graphic	graafiline	Graafiline pilt šokeeris vaatajaid.
graphics	graafika	Mängul on lihtne graafika.
greatly	suuresti	Sinu nõuanne aitas suuresti.
greenhouse	kasvuhoone	Tomatid kasvavad kasvuhoones.
grocery	toidukaup	Ta ostis pärast tööd toidukaupu.
guideline	suunis	Juhend selgitab ohutuid tavasid.
habitat	elupaik	Mets on lindude elupaik.
harbour	sadam	Paat sisenes sadamasse.
headquarters	peakorter	Ettevõtte peakorter kolis kesklinna.
