source_headword	BN	example_BN
size	মাপ	তোমার কোন মাপ দরকার?
ski	স্কি করা	আমরা শীতে স্কি করি।
skiing	স্কি করা	শীতে স্কি করা মজার।
skin	ত্বক	তার ত্বক শুকনো লাগে।
sky	আকাশ	আকাশ পরিষ্কার।
slowly	ধীরে	বরফের উপর ধীরে হাঁটো।
smartphone	স্মার্টফোন	আমার স্মার্টফোনটি নতুন।
smell	গন্ধ পাওয়া	সুপটির গন্ধ ভালো।
smile	হাসি	ক্যামেরার জন্য হাসো।
smoke	ধোঁয়া	ধোঁয়া ঘর ভরেছিল।
smoking	ধূমপান	ধূমপান অনুমোদিত নয়।
soap	সাবান	সাবান ও পানি ব্যবহার করো।
soccer	ফুটবল	এখানে ফুটবল জনপ্রিয়।
social	সামাজিক	এটি একটি সামাজিক অনুষ্ঠান।
society	সমাজ	সমাজ সময়ের সঙ্গে বদলায়।
sock	মোজা	একটি মোজা হারিয়ে গেছে।
soft	নরম	এই কম্বলটি নরম।
soldier	সৈনিক	সৈনিকটি বাড়ি ফিরেছে।
solution	সমাধান	আমরা একটি সমাধান পেয়েছি।
solve	সমাধান করা	এই ধাঁধাটি সমাধান করো।
somewhere	কোথাও	এটি কোথাও নিরাপদে রাখো।
sort	ধরন	তুমি কোন ধরন চাও?
source	উৎস	আগে উৎসটি পরীক্ষা করো।
speaker	বক্তা	বক্তার শব্দ জোরে ছিল।
specific	নির্দিষ্ট	আমার একটি নির্দিষ্ট উত্তর দরকার।
speech	ভাষণ	তার ভাষণটি ছোট ছিল।
speed	গতি	এখানে তোমার গতি কমাও।
spider	মাকড়সা	দেয়ালে একটি মাকড়সা আছে।
spoon	চামচ	সুপের জন্য চামচ ব্যবহার করো।
square	বর্গক্ষেত্র	একটি বর্গ বাক্স আঁকো।
stage	মঞ্চ	ব্যান্ডটি মঞ্চে আছে।
stair	সিঁড়ি	সিঁড়িটি ভাঙা।
stamp	ডাকটিকিট	চিঠিতে ডাকটিকিট লাগাও।
state	বলা	তোমার নাম স্পষ্টভাবে বলো।
steal	চুরি করা	টাকা চুরি করো না।
step	পা ফেলা	এক পা সামনে ফেলো।
stomach	পেট	আমার পেটে ব্যথা।
stone	পাথর	পাথরটি ভারী।
store	দোকান	দোকানটি আগে বন্ধ হয়।
storm	ঝড়	একটি ঝড় আসছে।
straight	সোজা	সোজা বাড়ি যাও।
strange	অদ্ভুত	ওই শব্দটি অদ্ভুত।
strategy	কৌশল	আমাদের একটি কৌশল দরকার।
stress	চাপ	কাজ চাপ সৃষ্টি করতে পারে।
structure	গঠন	এই গঠনটি শক্ত।
stupid	বোকা	ওটা একটি বোকা ভুল ছিল।
succeed	সফল হওয়া	তুমি এখানে সফল হতে পারো।
successful	সফল	সে সফল হয়েছে।
such	এমন	এমন সাহায্য উপকারী।
suddenly	হঠাৎ	হঠাৎ কুকুরটি দৌড়ে গেল।
suggest	পরামর্শ দেওয়া	আমি একটি ছোট বিরতির পরামর্শ দিই।
suggestion	পরামর্শ	তোমার পরামর্শ সহায়ক।
suit	স্যুট	এই স্যুটটি দামি।
support	সমর্থন করা	আমরা আমাদের দলকে সমর্থন করি।
suppose	ধরে নেওয়া	আমি ধরে নিচ্ছি তুমি ঠিক।
surprise	চমক	চমকটি তাকে খুশি করেছে।
surprised	অবাক	সে আজ অবাক হয়েছিল।
surprising	আশ্চর্যজনক	ফলাফলটি আশ্চর্যজনক ছিল।
survey	জরিপ	দয়া করে জরিপটি পূরণ করো।
sweet	মিষ্টি	এই চা মিষ্টি।
symbol	প্রতীক	এই প্রতীক বিপদ বোঝায়।
system	ব্যবস্থা	ব্যবস্থাটি ভালো কাজ করে।
tablet	ট্যাবলেট	আমার ট্যাবলেটটি ডেস্কে আছে।
target	লক্ষ্য	লক্ষ্যে সাবধানে আঘাত করো।
task	কাজ	এই কাজটি সহজ।
taste	স্বাদ নেওয়া	আগে সুপের স্বাদ নাও।
teaching	শিক্ষাদান	শিক্ষাদান কঠিন কাজ।
technology	প্রযুক্তি	প্রযুক্তি দ্রুত বদলায়।
teenage	কৈশোরের	আমার কৈশোরের ভাই মন দিয়ে পড়ে।
temperature	তাপমাত্রা	তাপমাত্রা কম।
term	মেয়াদ	এই মেয়াদ শিগগির শেষ হবে।
themselves	নিজেরা	তারা নিজেরাই রাতের খাবার রান্না করেছে।
thick	মোটা	এই বইটি মোটা।
thief	চোর	চোরটি পালিয়ে গেল।
thin	পাতলা	কাগজটি পাতলা।
thinking	চিন্তা	চিন্তা করতে সময় লাগে।
thought	ভাবনা	আমার একটি অদ্ভুত ভাবনা ছিল।
throw	ছোড়া	বলটি আস্তে ছুড়ো।
tidy	পরিপাটি	তোমার ঘর পরিপাটি রাখো।
tie	বাঁধা	এখন তোমার জুতা বাঁধো।
tip	বকশিশ	সেবার জন্য বকশিশ দাও।
tool	সরঞ্জাম	সঠিক সরঞ্জাম ব্যবহার করো।
top	উপরের অংশ	উপরের তাকটি ভরা।
touch	স্পর্শ করা	কাচটি স্পর্শ করো না।
tour	ভ্রমণ	আমরা শহর ভ্রমণে গিয়েছিলাম।
tourism	পর্যটন	পর্যটন এই শহরকে সাহায্য করে।
towards	দিকে	স্টেশনের দিকে হাঁটো।
towel	তোয়ালে	একটি পরিষ্কার তোয়ালে আনো।
tower	টাওয়ার	টাওয়ারটি খুব পুরোনো।
toy	খেলনা	খেলনা গাড়িটি লাল।
track	পথরেখা	পথরেখাটি উত্তরে যায়।
tradition	ঐতিহ্য	এই ঐতিহ্য পুরোনো।
traditional	ঐতিহ্যবাহী	সে ঐতিহ্যবাহী পোশাক পরেছিল।
trainer	প্রশিক্ষক	আমার প্রশিক্ষক সহায়ক।
training	প্রশিক্ষণ	প্রশিক্ষণ কাল শুরু হবে।
transport	পরিবহন	গণপরিবহন দেরি করছে।
traveller	ভ্রমণকারী	ভ্রমণকারী সাহায্য চেয়েছিল।
trouble	সমস্যা	গতকাল আমাদের সমস্যা হয়েছিল।
truck	ট্রাক	ট্রাকটি বাইরে আছে।
twin	যমজ	আমার যমজ বোন লম্বা।
typical	সাধারণ	এটি একটি সাধারণ দিন।
underground	ভূগর্ভস্থ	ট্রেনটি ভূগর্ভে চলে।
understanding	বোঝাপড়া	তোমার বোঝাপড়া সঠিক।
unfortunately	দুর্ভাগ্যবশত	দুর্ভাগ্যবশত, দোকানটি বন্ধ।
unhappy	অসুখী	সে অসুখী দেখাচ্ছে।
uniform	ইউনিফর্ম	সে স্কুলের ইউনিফর্ম পরে।
unit	একক	এই এককটি ছোট।
united	ঐক্যবদ্ধ	দলটি ঐক্যবদ্ধ ছিল।
unusual	অস্বাভাবিক	ওই শব্দটি অস্বাভাবিক।
used to modal	আগে করত	আমরা আগে এখানে থাকতাম।
user	ব্যবহারকারী	প্রতিটি ব্যবহারকারীর একটি নম্বর আছে।
usual	সাধারণ	আমি আমার সাধারণ আসনে বসেছিলাম।
valley	উপত্যকা	উপত্যকাটি সবুজ।
van	ভ্যান	ভ্যানটি ভর্তি।
variety	বৈচিত্র্য	আমাদের আরও বৈচিত্র্য দরকার।
vehicle	যানবাহন	এই যানবাহন ধীর।
view	দৃশ্য	দৃশ্যটি সুন্দর।
virus	ভাইরাস	একটি ভাইরাস তাকে অসুস্থ করেছে।
voice	কণ্ঠস্বর	তার কণ্ঠস্বর শান্ত।
war	যুদ্ধ	যুদ্ধটি বহু বছর আগে শেষ হয়েছে।
washing	ধোয়া কাপড়	ধোয়া কাপড় বাইরে আছে।
wave	ঢেউ	একটি ঢেউ নৌকায় আঘাত করল।
weak	দুর্বল	আমার পা দুর্বল লাগছে।
web	ওয়েব	ওয়েব পৃষ্ঠাটি খোলা আছে।
wedding	বিয়ে	বিয়ে শিগগির শুরু হবে।
weight	ওজন	আগে ওজন পরীক্ষা করো।
wet	ভেজা	আমার জুতাগুলো ভেজা।
wheel	চাকা	চাকাটি ভাঙা।
while	কিছুক্ষণ	এখানে কিছুক্ষণ অপেক্ষা করো।
whole	পুরো	আমি পুরো আপেলটি খেয়েছি।
whose	কার	এটি কার ফোন?
wide	চওড়া	রাস্তাটি চওড়া।
wild	বন্য	বন্য প্রাণী এখানে থাকে।
wind1	হাওয়া	হাওয়া জোরে বইছে।
winner	বিজয়ী	বিজয়ী হাসল।
wish	ইচ্ছা	একটি ইচ্ছা করো।
wood	কাঠ	চেয়ারটি কাঠের তৈরি।
wooden	কাঠের	কাঠের বাক্সটি ভারী।
working	কর্মদিবসের	কর্মদিবস শেষ হয়েছে।
worried	চিন্তিত	আমি আজ চিন্তিত বোধ করছি।
worry	চিন্তা করা	এখন চিন্তা করো না।
worse	আরও খারাপ	এই ব্যথা আরও খারাপ।
worst	সবচেয়ে খারাপ	ওটা সবচেয়ে খারাপ দিন ছিল।
wow	ওয়াও	ওয়াও, এটা অসাধারণ!
yet	এখনও	আমরা কি এখনও পৌঁছাইনি?
yours	তোমার	এই বইটি তোমার।
zero	শূন্য	শূন্য পর্যন্ত গুনো।
