source_headword	LT	example_LT
towards	link	Eik link stoties.
towel	rankšluostis	Paimk švarų rankšluostį.
tower	bokštas	Bokštas labai senas.
toy	žaislas	Žaislinis automobilis raudonas.
track	bėgis; pėdsakas	Bėgis veda į šiaurę.
tradition	tradicija	Ši tradicija sena.
traditional	tradicinis	Ji vilkėjo tradicinius drabužius.
trainer	treneris	Mano treneris naudingas.
training	treniruotė	Treniruotė prasideda rytoj.
transport	transportas	Viešasis transportas vėluoja.
traveller	keliautojas	Keliautojas paprašė pagalbos.
trouble	bėda	Vakar turėjome bėdą.
truck	sunkvežimis	Sunkvežimis yra lauke.
twin	dvynys	Mano sesuo dvynė aukštesnė.
typical	tipiškas	Tai tipiška diena.
underground	požeminis	Traukinys važiuoja po žeme.
understanding	supratimas	Tavo supratimas teisingas.
unfortunately	deja	Deja, parduotuvė uždaryta.
unhappy	nelaimingas	Jis atrodo nelaimingas.
uniform	uniforma	Ji dėvi mokyklinę uniformą.
unit	vienetas	Šis vienetas mažas.
united	vieningas	Komanda liko vieninga.
unusual	neįprastas	Tas garsas neįprastas.
used to modal	anksčiau	Anksčiau čia gyvenome.
user	vartotojas	Kiekvienas vartotojas turi numerį.
usual	įprastas	Atsisėdau į savo įprastą vietą.
valley	slėnis	Slėnis žalias.
van	furgonas	Furgonas pilnas.
variety	įvairovė	Mums reikia daugiau įvairovės.
vehicle	transporto priemonė	Ši transporto priemonė lėta.
view	vaizdas	Vaizdas gražus.
virus	virusas	Virusas jį susargdino.
voice	balsas	Jos balsas tylus.
war	karas	Karas baigėsi prieš metus.
washing	skalbiniai	Skalbiniai yra lauke.
wave	banga	Banga trenkėsi į laivą.
weak	silpnas	Mano kojos silpnos.
web	žiniatinklis	Interneto puslapis atidarytas.
wedding	vestuvės	Vestuvės netrukus prasidės.
weight	svoris	Pirmiausia patikrink svorį.
wet	šlapias	Mano batai šlapi.
wheel	ratas	Ratas sulūžęs.
while	kurį laiką	Palauk čia kurį laiką.
whole	visas	Suvalgiau visą obuolį.
whose	kieno	Kieno tai telefonas?
wide	platus	Kelias platus.
wild	laukinis	Čia gyvena laukiniai gyvūnai.
wind1	vėjas	Vėjas stiprus.
winner	nugalėtojas	Nugalėtojas nusišypsojo.
wish	noras	Sugalvok norą.
wood	mediena	Kėdė pagaminta iš medienos.
wooden	medinis	Medinė dėžė sunki.
working	darbo	Darbo diena baigėsi.
worried	susirūpinęs	Šiandien esu susirūpinęs.
worry	nerimauti	Dabar nesijaudink.
worse	blogesnis	Šis skausmas blogesnis.
worst	blogiausias	Tai buvo blogiausia diena.
wow	vau	Vau, tai neįtikėtina!
yet	dar; jau	Ar mes jau ten?
yours	tavo; jūsų	Ši knyga tavo.
zero	nulis	Skaičiuok atgal iki nulio.
