source_headword	RU	example_RU
broadcast	транслировать	Речь транслировали в прямом эфире.
budget	бюджет	Бюджет очень ограничен.
bullet	пуля	Пуля попала в стену.
bunch	связка; пучок	Она несла связку ключей.
bush	куст	Птица спряталась в кусте.
cable	кабель	Кабель сломан.
calculate	рассчитывать	Рассчитайте общую стоимость.
cancel	отменять	Они отменили встречу.
cancer	рак	Лечение рака может быть трудным.
capable	способный	Она способна на большее.
capacity	вместимость	Зал достиг предельной вместимости.
capture	запечатлеть; захватить	Фотография передает настроение.
cast	актерский состав	Актерский состав готов.
cell	ячейка; клетка	Каждая ячейка содержит данные.
chairman	председатель	Председатель открыл заседание.
characteristic	характерная черта	Терпение - её главная черта.
chief	главный	Главный инженер прибыл поздно.
circumstance	обстоятельство	Внимательно учитывайте каждое обстоятельство.
cite	цитировать; ссылаться	Пожалуйста, укажите источник.
citizen	гражданин	Каждый гражданин может голосовать.
civil	гражданский; вежливый	Протест оставался мирным.
classic	классический; классика	Этот фильм - классика.
closely	внимательно; тесно	Внимательно наблюдайте за процессом.
collapse	обрушиться	Старый мост может обрушиться.
combination	сочетание	Это сочетание хорошо сработало.
comfort	утешение; комфорт	Её слова принесли утешение.
command	приказ	Офицер отдал приказ.
commission	комиссия	Комиссия рассмотрела дело.
commitment	обязательство; преданность	Работа требует преданности.
committee	комитет	Комитет собирается еженедельно.
commonly	обычно; часто	Это растение часто выращивают.
complicated	сложный	Инструкции сложные.
component	компонент	Один компонент вышел из строя.
concentration	сосредоточенность	Шум мешает мне сосредоточиться.
concept	понятие; концепция	Эта концепция проста.
concern	обеспокоенность; вопрос	Безопасность - наша главная забота.
concerned	обеспокоенный	Родители были глубоко обеспокоены.
conduct	проводить	Они проводят исследование на месте.
confidence	уверенность	Практика развивает уверенность.
conflict	конфликт	Конфликт продолжался годами.
confusing	запутанный	Карта была запутанной.
conscious	в сознании	Она оставалась в сознании.
conservative	консервативный	Его взгляды консервативны.
consideration	соображение; учет	Стоимость - важное соображение.
consistent	последовательный; стабильный	Её результаты стабильны.
constant	постоянный	Постоянный шум нас измотал.
constantly	постоянно	Он постоянно проверяет телефон.
construct	строить	Рабочие построили новый мост.
construction	строительство	Строительство начнется в следующем месяце.
contemporary	современный	Галерея показывает современное искусство.
contest	конкурс; соревнование	Она участвовала в конкурсе.
contract	контракт	Внимательно прочитайте контракт.
contribute	вносить вклад	Каждый может внести идеи.
contribution	вклад	Её вклад был ценным.
convert	переоборудовать; преобразовать	Они переоборудовали гараж.
convinced	убежденный	Я убежден, что он солгал.
core	ядро; суть	Доверие - суть проблемы.
corporate	корпоративный	Корпоративные правила снова изменились.
council	совет	Совет одобрил план.
county	округ	Округ отремонтировал дорогу.
courage	смелость	Она проявила настоящую смелость.
crash	авария	Авария перекрыла движение.
creation	создание	Создание заняло шесть месяцев.
creature	существо	Существо двигалось бесшумно.
crew	экипаж	Экипаж подготовил корабль.
crisis	кризис	Кризис изменил все.
criterion	критерий	Цена - один критерий.
critic	критик	Критик похвалил пьесу.
critical	критический	Его состояние критическое.
criticism	критика	Она спокойно приняла критику.
criticize	критиковать	Не критикуйте каждую ошибку.
crop	урожай	В этом году урожай погиб.
crucial	решающий	Время здесь решающее.
cure	лекарство; излечение	Врачи нашли лекарство.
curve	изгиб	Дорога идет по изгибу.
curved	изогнутый	Стена слегка изогнута.
debate	дебаты	Дебаты продолжались часами.
debt	долг	Он выплатил долг.
decent	приличный	Они нашли приличную квартиру.
declare	объявлять	Они объявили результат.
decline	снижаться	Продажи продолжали снижаться.
decoration	украшение	Украшение выглядело дорогим.
decrease	уменьшаться	Цены скоро могут снизиться.
deeply	глубоко	Она глубоко заботилась о справедливости.
defeat	поражение	Поражение потрясло команду.
defence	защита	Защита оспорила доказательства.
defend	защищать	Он пытался защитить себя.
delay	задержка	Плохая погода вызвала задержку.
deliberate	намеренный	Это был намеренный выбор.
deliberately	намеренно	Она намеренно проигнорировала предупреждение.
delight	радовать	Новость всех обрадовала.
delighted	очень довольный	Мы были рады подарку.
delivery	доставка	Доставка прибыла рано.
demand	требование; требовать	Рабочие требуют лучшей оплаты.
demonstrate	демонстрировать	Он продемонстрировал новое ПО.
deny	отрицать	Она отрицала обвинение.
depressed	подавленный	После поражения он был подавлен.
depressing	угнетающий	Фильм был угнетающим.
depth	глубина	У бассейна большая глубина.
deserve	заслуживать	Вы заслуживаете перерыв.
desire	желание	Она выразила желание путешествовать.
desperate	отчаянный	Они сделали отчаянный звонок.
detailed	подробный	Руководство очень подробное.
detect	обнаруживать	Собаки могут обнаруживать дым.
dig	копать	Летом они копают колодцы.
disc	диск	Диск был поцарапан.
discipline	дисциплина	Дисциплина помогает спортсменам развиваться.
dishonest	нечестный	Его ответ звучал нечестно.
dismiss	отклонять; увольнять	Менеджер отклонил жалобу.
display	показывать; дисплей	Экран показывает счет.
distribute	распределять	Волонтеры распределяли чистую воду.
distribution	распределение	Распределение началось после рассвета.
district	район	Район избрал мэра.
division	отдел; подразделение	Этот отдел ведет юридические дела.
domestic	внутренний; домашний	Внутренние рейсы дешевле.
dominate	доминировать	Одна компания может доминировать на рынке.
downwards	вниз	Тропа идет вниз.
dozen	дюжина	Она купила дюжину яиц.
draft	черновик	Пожалуйста, проверьте черновик.
drag	тащить	Не тащите стол.
dramatic	резкий; драматичный	Результаты были резкими.
edit	редактировать	Она отредактировала статью.
edition	издание	Это издание включает новые фотографии.
efficient	эффективный	Система эффективна.
elderly	пожилой	Пожилым жителям нужна поддержка.
elect	избирать	Избиратели выбирают новый совет.
elsewhere	в другом месте	Мы искали помощь в другом месте.
emerge	появляться	Подробности появились после полуночи.
emotional	эмоциональный	Речь была эмоциональной.
emphasis	акцент	Сделайте акцент на безопасности.
emphasize	подчеркивать	Учителя подчеркивают ежедневную практику.
enable	позволять; давать возможность	Приложение позволяет быстро платить.
encounter	столкнуться	Мы столкнулись с сильным движением.
engage	вовлекать	Курс вовлекает взрослых учащихся.
enhance	улучшать	Освещение может улучшить комнату.
enquiry	расследование; запрос	Расследование длилось три месяца.
ensure	обеспечивать	Проверьте дважды, чтобы обеспечить точность.
enthusiasm	энтузиазм	Её энтузиазм поддержал группу.
enthusiastic	воодушевленный	Волонтеры были воодушевлены.
entire	весь; целый	Вся деревня осталась без электричества.
entirely	полностью	Эта история полностью ложная.
establish	устанавливать; создавать	Они установили четкие правила.
estate	поместье	Поместье включает несколько ферм.
estimate	оценивать	Мы оцениваем число посетителей в десять тысяч.
ethical	этический	Решение вызвало этические вопросы.
evaluate	оценивать	Эксперты оценят дизайн.
evil	злой; зло	Король боялся злых духов.
examination	осмотр; экзамен	Осмотр длился один час.
excuse	оправдание	Это оправдание звучало слабо.
executive	руководитель	Руководитель одобрил сделку.
existence	существование	Их существование было неизвестно.
expectation	ожидание	Перед запуском ожидания были высокими.
expense	расход	Поездки - наш самый большой расход.
exploration	исследование	Исследование космоса вдохновляет детей.
expose	разоблачать; подвергать	Статья разоблачила коррупцию.
extend	продлить; расширить	Они продлили срок.
extent	степень; масштаб	Позже мы узнали масштаб.
external	внешний	Внешнее давление повлияло на них.
extraordinary	необыкновенный	Её восстановление было необыкновенным.
facility	объект; учреждение	Объект открылся в июне.
failure	неудача	Неудача научила его терпению.
faith	вера	Она сохранила веру в него.
fault	вина; неисправность	Авария произошла по моей вине.
feather	перо	Перо упало с подушки.
fee	плата	Плата включает обед.
feedback	обратная связь	Обратная связь помогла улучшить курс.
fellow	коллега; товарищ	Коллеги поддержали её.
finance	финансировать; финансы	Банк профинансирует расширение.
finding	вывод; находка	Вывод удивил исследователей.
firm	фирма	Фирма наняла новых сотрудников.
flame	пламя	Появилось маленькое пламя.
flash	вспышка	Вспышка осветила небо.
flexible	гибкий	Расписание гибкое.
float	плавать; держаться на поверхности	Листья плавают на воде.
folding	складной	Он нес складной стул.
forgive	прощать	Ты можешь простить его?
former	бывший	Бывший мэр вернулся.
fortune	состояние; удача	Они потеряли состояние.
found	основать	Они основали небольшую благотворительную организацию.
freedom	свобода	Свобода требует ответственности.
frequency	частота	Зимой частота увеличилась.
fully	полностью	Отель полностью забронирован.
fund	фонд; финансировать	Фонд поддерживает местные школы.
fundamental	фундаментальный; основной	Уважение здесь фундаментально.
funding	финансирование	Финансирование закончилось в прошлом году.
furthermore	кроме того	Кроме того, расходы растут.
gain	получать; приобретать	Студенты быстро обретают уверенность.
gang	банда	Банда контролировала улицу.
generate	производить; генерировать	Солнечные панели производят энергию.
genre	жанр	Комедия - её любимый жанр.
govern	регулировать; управлять	Законы регулируют государственные расходы.
grab	схватить	Он схватил меня за руку.
gradually	постепенно	Боль постепенно исчезла.
grand	величественный	У отеля величественный вход.
grant	грант; предоставить	Грант оплатил оборудование.
guarantee	гарантировать	Билет гарантирует вход.
handle	справляться; обрабатывать	Она спокойно разобралась с жалобой.
harm	вред; вредить	Курение может вредить здоровью.
harmful	вредный	Это химическое вещество вредно.
hearing	слух; слушание	Её слух улучшился.
heaven	рай; небеса	Они представляли рай наверху.
heel	пятка	У него сильно болела пятка.
hell	ад	Поездка была адом.
hesitate	колебаться	Не стесняйтесь спрашивать.
hollow	полый	Дерево было полым внутри.
holy	святой	Они посетили святое место.
honour	честь	Они сражались за честь.
household	домохозяйство	Каждое домохозяйство получило воду.
housing	жилье	Расходы на жилье продолжают расти.
humorous	юмористический	Его рассказ был юмористическим.
humour	юмор	Юмор помог снять напряжение.
hunting	охота	Охота здесь запрещена.
illustrate	иллюстрировать	Примеры иллюстрируют правило.
illustration	иллюстрация	Иллюстрация показывает процесс.
imagination	воображение	Дети свободно используют воображение.
impatient	нетерпеливый	Водители стали нетерпеливыми.
imply	подразумевать	Его молчание может подразумевать согласие.
impose	налагать; навязывать	Суд наложил штраф.
impress	впечатлять	Её смелость впечатлила всех.
impressed	впечатленный	Я был впечатлен её работой.
inch	дюйм	Сдвиньте это на один дюйм влево.
incident	происшествие	Происшествие вызвало беспокойство.
income	доход	Их доход медленно увеличивался.
increasingly	все более	Жилье становится все дороже.
industrial	промышленный	У города промышленные корни.
infection	инфекция	Инфекция быстро распространилась.
inform	информировать	Пожалуйста, сообщите менеджеру.
initial	начальный	Начальная стоимость была высокой.
initially	сначала	Сначала никто ему не верил.
initiative	инициатива	Она запустила новую инициативу.
inner	внутренний	Внутренняя дверь была заперта.
insight	понимание; ценный вывод	Отчет дает полезное понимание.
insist	настаивать	Они настаивают на проверках безопасности.
inspire	вдохновлять	Её история может вдохновить других.
install	устанавливать	Они установили новый обогреватель.
instance	случай; пример	Это один ясный пример.
