source_headword	ZH	example_ZH
sound	合理的	这个计划很合理且实用。
sovereignty	主权	该条约保护了国家主权。
spam	垃圾邮件	垃圾邮件塞满了收件箱。
span	横跨	这座桥横跨河流。
spark	引发	一句随口的话引发了争论。
specialized	专门的	诊所提供专门的护理。
specification	规格	该设计符合所有的规格要求。
specimen	标本	标本被安全地保存了起来。
spectacle	壮观的景象	游行场面非常壮观。
spectrum	范围	意见涵盖了广泛的范围。
spell	一段时间	干旱期持续了几个星期。
sphere	领域	政治进入了文化领域。
spin	旋转	车轮开始旋转。
spine	脊柱	伤势影响了他的脊柱。
spotlight	聚光灯	丑闻把他推到了聚光灯下。
spouse	配偶	她的配偶出席了仪式。
spy	间谍	间谍发送了密码信息。
squad	小队	救援队很快就到了。
squeeze	挤压	轻轻挤压手柄。
stab	刺	报告描述了一处刺伤。
stability	稳定	该政策带来了稳定。
stabilize	稳定	药物帮助稳定了他的病情。
stake	股份	投资者在这里有利益。
standing	地位	她在党内的地位上升了。
stark	明显的	结果显示出鲜明的对比。
statistical	统计的	这项研究使用了统计方法。
steer	引导	他试图引导辩论的方向。
stem	茎	树干在暴风雨中折断了。
stereotype	刻板印象	这部电影挑战了刻板印象。
stimulus	刺激	这一方案提供了经济刺激。
stir	搅拌	慢慢搅拌酱汁。
storage	存储	该设施提供安全的存储。
straightforward	简单明了的	说明书很简单明了。
strain	压力	长时间的延误造成了紧张。
strand	缕	一缕头发掉了下来。
strategic	战略的	公司进行了一项战略性投资。
strip (long narrow piece)	长条	剪下一条窄窄的纸。
strip (remove clothes/a layer)	剥去	小心地剥去旧漆。
strive	努力	他们追求卓越。
structural	结构的	桥梁有结构性损坏。
stumble	绊倒	他在楼梯上绊倒了。
stun	使震惊	这个消息能让人震惊。
submission	提交	提交的截止日期已经过了。
subscriber	订阅者	每个订阅者都会收到更新。
subscription	订阅	订阅会自动续期。
subsidy	补贴	补贴降低了燃料成本。
substantial	大量的	该项目需要大量资金。
substantially	大幅地	价格大幅上涨。
substitute	替代品	用牛奶作为替代品。
substitution	替代	这种替代改变了食谱。
subtle	微妙的	这幅画有微妙的细节。
suburban	郊区的	他们搬到了郊区。
succession	连续	危机是伴随着一连串的失败而来的。
successive	连续的	历届政府都忽视了这个问题。
successor	继任者	继任者将于周一开始工作。
suck	吸	这台机器可以吸尘。
sue	起诉	她决定起诉这家公司。
suicide	自杀	预防自杀需要持续的资金。
suite	套房	酒店套房俯瞰着河流。
summit	峰会	领导人们在峰会上会面。
superb	极好的	表演非常精彩。
superior	更好的	这个新型号更好。
supervise	监督	她将监督实习生。
supervision	监督	孩子们需要大人的监督。
supervisor	主管	先问问你的主管。
supplement	补充	报告包含了一份补充材料。
supportive	支持的	她的家人很支持她。
supposedly	据说	据说该文件已被删除。
suppress	镇压	政权试图镇压抗议。
supreme	最高的	最高法院审理了此案。
surge	激增	突然的电涌损坏了设备。
surgical	外科手术的	病人需要外科手术治疗。
surplus	盈余	仓库有剩余物资。
surrender	投降	士兵们同意投降。
surveillance	监控	监控摄像头记录了入口处的情况。
suspension	暂停	停学持续了两周。
suspicion	怀疑	他的行为引起了怀疑。
suspicious	可疑的	这个包裹看起来很可疑。
sustain	维持	该项目可以维持当地的就业机会。
swing	摇晃	门开始摇晃。
sword	剑	墙上挂着一把剑。
symbolic	象征性的	这个姿态是象征性的。
syndrome	综合征	这种综合征会影响记忆力。
synthesis	综合	本章提供了一个综合总结。
systematic	系统性的	这项审查是系统性的。
tactic	策略	这个策略很快就失败了。
tactical	战术的	球队做出了战术改变。
taxpayer	纳税人	纳税人的钱资助了这座桥梁的建设。
tempt	诱惑	这个提议可能会吸引投资者。
tenant	租户	租客提前付了租金。
tender	温柔的	她露出了温柔的微笑。
tenure	任期	他的任期为六年。
terminal	晚期的	病人患有绝症。
terminate	终止	公司可能会终止合同。
terrain	地形	地形很复杂。
terrific	极好的	风景太棒了。
testify	作证	她同意作证。
testimony	证词	他的证词很详细。
texture	质地	这种布料有粗糙的质感。
thankfully	幸好	幸运的是，没有人受伤。
theatrical	夸张的	演讲听起来很夸张。
theology	神学	他在大学里学神学。
theoretical	理论的	该模型纯粹是理论上的。
thereafter	此后	此后，规则改变了。
thereby	因此	这一改变降低了成本，从而保住了工作岗位。
thoughtful	深思熟虑的	她的回答经过了深思熟虑。
thought-provoking	发人深省的	这篇文章发人深省。
thread	线	线很容易断。
threshold	门槛	投票跨越了门槛。
thrilled	非常兴奋的	这个消息让她欣喜若狂。
thrive	繁荣	小企业可以在这里蓬勃发展。
tide	潮汐	潮水很快上涨了。
tighten	拧紧	拧紧盖子。
timber	木材	房子使用的是当地的木材。
timely	及时的	警告很及时。
tobacco	烟草	烟草销售额下降了。
tolerance	宽容	该政策鼓励宽容。
tolerate	容忍	我们不能容忍虐待。
toll	损失	风暴造成了严重的损失。
top	超过	销售额可能会超过去年的纪录。
torture	酷刑	该条约绝对禁止酷刑。
