simplified	HY	example_HY
包装	փաթեթավորում; փաթեթ	Այս նվերի փաթեթավորումը շատ գեղեցիկ է։
保管	պահել; պահպանել; երաշխավորել	Այս փաստաթղթերը ես եմ պահում։
保密	գաղտնի պահել	Ժողովի բովանդակությունը պետք է գաղտնի պահվի։
保姆	դայակ; տնային խնամող	Նրանք մի դայակ վարձեցին։
保守	պահպանողական; պահել	Նրա մտքերը բավականին պահպանողական են։
保卫	պաշտպանել; պահպանել	Զինվորները պաշտպանում են սահմանը։
保养	խնամել; սպասարկել; պահպանել	Այս մեքենան պարբերական սպասարկման կարիք ունի։
保障	երաշխավորել; պաշտպանել	Օրենքը պաշտպանում է քաղաքացիների իրավունքները։
保重	զգույշ լինել; իրեն խնամել	Տանից հեռու եղած ժամանակ խնդրում եմ քեզ լավ խնամիր։
饱和	հագեցում; հագեցած վիճակ	Այս շուկան արդեն մոտ է հագեցմանը։
饱经沧桑	շատ դժվարություններ ու փոփոխություններ տեսած	Այս ծեր մարդը շատ դժվարություններ է տեսել։
报酬	վարձատրություն; հատուցում	Նա արդար վարձատրություն ստացավ։
报仇	վրեժ լուծել	Նա չի ուզում վրեժ լուծել, միայն ուզում է նորից սկսել։
报答	հատուցել; փոխհատուցել բարությունը	Ես քո օգնությանը գործով կհատուցեմ։
报复	վրեժխնդրություն; վրեժ լուծել	Վրեժխնդրությունը միայն կխորացնի հակասությունը։
报警	ոստիկանություն հայտնել; ահազանգել	Հրդեհ նկատելուց հետո պետք է անմիջապես ահազանգել։
报销	ծախսերը փոխհատուցել; հաշվետվությամբ փակել	Գործուղման ծախսերը կարելի է փոխհատուցել։
抱负	ձգտում; մեծ նպատակ	Նա մանկուց մեծ ձգտումներ ուներ։
暴力	բռնություն; ուժ	Մենք դեմ ենք բռնության բոլոր ձևերին։
暴露	բացահայտվել; բացել; մերկացնել	Այս խնդիրը աստիճանաբար բացահայտվեց։
曝光	հրապարակում; բացահայտում; լուսազգայացում	Այս լուսանկարը հրապարակվելուց հետո ուշադրություն գրավեց։
爆发	պայթել; բռնկվել; ժայթքել	Հրաբուխը հանկարծ ժայթքեց։
爆炸	պայթյուն; պայթել	Լաբորատորիայում պայթյուն տեղի ունեցավ։
卑鄙	ստոր; նողկալի	Այս ստոր մոտեցումը մարդկանց զայրացնում է։
悲哀	տխուր; վշտալի	Այդ լուրը լսելուց հետո նա շատ տխրեց։
悲惨	ողբերգական; խղճուկ	Դա պատմության ողբերգական մի շրջան էր։
北极	Հյուսիսային բևեռ; Արկտիկա	Գիտնականները հետազոտություն են անում Արկտիկայում։
备份	պահուստային պատճեն; պահուստավորել	Խնդրում եմ նախ պահուստավորիր կարևոր ֆայլերը։
备忘录	հուշագիր; հիշեցման գրառում	Նա կարևոր կետերը գրեց հուշագրում։
背叛	դավաճանել; դավաճանություն	Նա չէր կարող ընդունել ընկերոջ դավաճանությունը։
背诵	անգիր ասել; անգիր արտասանել	Աշակերտները անգիր են արտասանում տեքստը։
被动	պասիվ; հարկադրված	Բանակցության մեջ մենք չենք կարող շատ պասիվ լինել։
被告	մեղադրյալ; պատասխանող	Մեղադրյալը հերքեց բոլոր մեղադրանքները։
贝壳	խեցի; ծովախեցի	Երեխան ծովափին խեցիներ էր հավաքում։
奔波	անընդհատ վազվզել; շատ տեղեր գնալ	Նա աշխատանքի համար ամեն տեղ վազվզում է։
奔驰	սրընթաց շարժվել; արագ ընթանալ	Մեքենան սրընթաց գնում էր մայրուղով։
本能	բնազդ	Երեխային պաշտպանելը ծնողի բնազդն է։
本钱	կապիտալ; միջոցներ	Գործ անելու համար կապիտալ է պետք։
本人	անձամբ ինքը; ես ինքս	Ես անձամբ պատրաստ եմ պատասխանատվություն ստանձնել։
本身	ինքնին; հենց ինքը	Այս ծրագիրը ինքնին խնդիր չունի։
本事	կարողություն; հմտություն	Նա շատ կարող մարդ է։
笨拙	անշնորհք; կոպիտ; անհարմար	Նրա շարժումները մի քիչ անշնորհք են։
崩溃	փլուզվել; խափանվել; կործանվել	Համակարգը հանկարծ խափանվեց։
甭	պետք չէ; կարիք չկա	Այս հարցի համար պետք չէ անհանգստանալ։
蹦	ցատկոտել; թռչկոտել	Փոքր շունը խոտի վրա թռչկոտում էր։
迸发	պոռթկալ; ժայթքել	Ծափահարությունները հանկարծ պոռթկացին ամբոխի միջից։
逼迫	ստիպել; հարկադրել	Նրանք նրան ստիպեցին պայմանագիր ստորագրել։
鼻涕	քթի լորձ; հոսող քիթ	Երեխան մրսել է և անընդհատ քթից լորձ է հոսում։
比方	օրինակ; դեպք	Օրինակ՝ մենք կարող ենք նախ մեկ ամիս փորձել։
比喻	փոխաբերություն; համեմատություն	Այս փոխաբերությունը շատ պատկերավոր է։
比重	մասնաբաժին; տեսակարար կշիռ	Ծառայությունների ոլորտի մասնաբաժինը գնալով բարձրանում է։
鄙视	արհամարհել; վերևից նայել	Մի արհամարհիր ուրիշների ջանքերը։
弊病	թերություն; հիվանդ կողմ; չարաշահում	Այս համակարգում քիչ չեն թերությունները։
弊端	թերություն; բացասական կողմ; չարաշահում	Նոր ծրագիրը լուծեց հին համակարգի թերությունները։
臂	թև	Նրա աջ թևը վնասվել է։
闭塞	փակ; մեկուսացած; խցանված	Այս լեռնային գյուղում առաջ ճանապարհները շատ մեկուսացած էին։
编织	գործել; հյուսել	Տատիկը բրդյա սվիտեր է գործում։
边疆	սահմանամերձ շրջան; սահմանագոտի	Շատ զինվորներ պահպանում են երկրի սահմանագոտին։
边界	սահման; սահմանագիծ	Երկու երկրները նորից սահմանագիծ գծեցին։
边境	սահման; սահմանային գոտի	Սահմանային շրջաններում անվտանգության ստուգումները ուժեղացվեցին։
边缘	եզր; ծայրամաս	Բաժակը դրված է սեղանի եզրին։
鞭策	խթանել; քաջալերել; առաջ մղել	Ուսուցչի խոսքերը միշտ ինձ առաջ են մղել։
扁	տափակ; հարթ	Այս տուփը և լայն է, և տափակ։
贬低	նսեմացնել; փոքրացնել	Մի պատահականորեն նսեմացրու ուրիշների ջանքերը։
贬义	բացասական երանգ; նվաստացնող իմաստ	Այս բառը այստեղ բացասական երանգ ունի։
便利	հարմար; դյուրին; հեշտացնել	Մետրոն ճանապարհորդությունը ավելի հարմար է դարձնում։
便条	գրություն; կարճ գրություն	Նա սեղանի վրա մի կարճ գրություն թողեց։
便于	հարմար լինել; հեշտ լինել	Այս դիզայնը հարմար է տարեցների օգտագործման համար։
变故	անսպասելի դժբախտություն; պատահար	Տանը հանկարծ անսպասելի դժբախտություն տեղի ունեցավ։
变迁	փոփոխություններ; շրջադարձեր	Քաղաքի փոփոխությունները նրան շատ հուզեցին։
变质	փչանալ; որակը փոխվել	Կաթը երկար մնալու դեպքում կփչանա։
辨认	ճանաչել; նույնականացնել	Ոստիկանությունը նրան խնդրեց ճանաչել լուսանկարի մարդուն։
辩护	պաշտպանել; պաշտպանությամբ հանդես գալ	Փաստաբանը պաշտպանեց մեղադրյալին։
辩解	արդարանալ; բացատրել	Նա փորձեց արդարացնել իր սխալը։
辩证	դիալեկտիկական; քննաբար դիտարկել	Մենք պետք է այս խնդիրը դիալեկտիկորեն դիտարկենք։
辫子	հյուսք; մազերի հյուս	Փոքր աղջիկը երկու հյուս ուներ։
遍布	լայնորեն տարածված լինել; ամենուր լինել	Այս բույսը տարածված է ամբողջ երկրում։
标本	նմուշ; ցուցանմուշ	Թանգարանում կենդանիների նմուշներ են ցուցադրված։
标记	նշան; նշում; խորհրդանիշ	Խնդրում եմ կարևոր պարբերությունների կողքին նշումներ արա։
标题	վերնագիր; գլխագիր	Այս հոդվածի վերնագիրը շատ գրավիչ է։
表决	քվեարկել; քվեարկությամբ որոշել	Ներկայացուցիչները կքվեարկեն առաջարկի շուրջ։
表态	դիրքորոշում հայտնել	Նա դեռ հրապարակավ դիրքորոշում չի հայտնել։
表彰	գովաբանել; պարգևատրել	Ընկերությունը գովաբանեց գերազանց աշխատակիցներին։
憋	զսպել; խեղդել	Նա ծիծաղը զսպեց և ոչինչ չասաց։
别墅	առանձնատուն; վիլլա	Նրանք արվարձանում մի առանձնատուն գնեցին։
别致	յուրօրինակ; ինքնատիպ	Այս սրճարանի ձևավորումը շատ յուրօրինակ է։
别扭	անհարմար; տարօրինակ; անբնական	Այս նախադասությունը մի քիչ անբնական է հնչում։
濒临	եզրին լինել; մոտենալ	Այս կենդանին անհետացման եզրին է։
冰雹	կարկուտ	Երեկ կեսօրից հետո ուժեղ կարկուտ եկավ։
丙	երրորդ; գ	Գ խմբի մրցույթը սկսվում է կեսօրից հետո։
并非	իրականում չէ; ամենևին չէ	Գործերն ամենևին էլ այնպես չեն, ինչպես դու ես կարծում։
并列	կողք կողքի լինել; հավասար տեղ զբաղեցնել	Այս երկու նախագծերը առաջին տեղը կիսում են։
剥削	շահագործել; շահագործում	Հին հասարակության մեջ լուրջ շահագործում կար։
拨	հրել մի կողմ; համար հավաքել; հատկացնել	Խնդրում եմ հավաքիր այս հեռախոսահամարը։
播种	սերմանել; ցանել	Գյուղացիները գարնանը սկսում են սերմանել։
波浪	ալիք	Ծովի վրա հսկայական ալիքներ բարձրացան։
波涛	մեծ ալիքներ; ալեկոծություն	Նավը առաջ էր շարժվում ալեկոծության մեջ։
伯母	հորեղբոր կին; ավագ հորեղբոր կին	Շաբաթավերջին գնալու եմ այցելել հորեղբորս կնոջը։
博大精深	լայն ու խոր; ընդարձակ և խորիմաստ	Չինական մշակույթը լայն ու խոր է։
博览会	ցուցահանդես; միջազգային տոնավաճառ	Միջազգային ցուցահանդեսը շատ ընկերություններ գրավեց։
搏斗	մարտնչել; կռվել; պայքարել	Ոստիկանները կռվի մեջ մտան հանցագործի հետ։
薄弱	թույլ; անբավարար	Նրա քերականական հիմքը բավականին թույլ է։
不顾	անտեսելով; առանց հաշվի առնելու	Նա վտանգն անտեսելով ներս վազեց։
不愧	արժանի լինել; իրապես արժանի լինել կոչմանը	Նա իսկապես արժանի է փորձառու մասնագետ կոչվելուն։
不料	անսպասելիորեն; հանկարծ	Անսպասելիորեն ժողովը հանկարծ չեղարկվեց։
不像话	անթույլատրելի; խայտառակ; անպատշաճ	Հյուրերի հետ այդպես վարվելը անթույլատրելի է։
不屑一顾	արհամարհանքով անտեսել	Նա այդ լուրերը արհամարհանքով անտեսեց։
哺乳	կրծքով կերակրել; կերակրել կրծքով	Մայրը երեխային կրծքով է կերակրում։
捕捉	բռնել; որսալ; ֆիքսել	Լուսանկարիչը որսաց հրաշալի պահը։
补偿	փոխհատուցել; հատուցել	Ընկերությունը կփոխհատուցի քո կորուստը։
补救	շտկել; ուղղել; միջոց գտնել	Մենք դեռ ժամանակ ունենք դա շտկելու։
补贴	սուբսիդիա; նպաստ; սուբսիդավորել	Կառավարությունը ցածր եկամուտ ունեցող ընտանիքներին նպաստ է տալիս։
不得已	այլ ելք չունենալ; ստիպված լինել	Նա հայրենի քաղաքից հեռացավ միայն այն պատճառով, որ այլ ելք չուներ։
不妨	կարելի է; վատ չէր լինի	Վատ չէր լինի նախ լսել նրա բացատրությունը։
不敢当	արժանի չեմ; չափազանց եք գովում	Դուք ինձ այդպես գովում եք, բայց ես դրան արժանի չեմ։
不禁	չկարողանալ զսպել; ակամա	Այդ լուրը լսելով նա ակամա ժպտաց։
不堪	անտանելի; չդիմանալ	Այստեղի աղմուկը անտանելի է։
不可思议	անհավատալի; աներևակայելի	Այս արդյունքը իսկապես անհավատալի է։
不免	անխուսափելիորեն; չի կարող չլինել	Առաջին անգամ բեմ բարձրանալիս նա անխուսափելիորեն մի քիչ լարվեց։
不时	ժամանակ առ ժամանակ; հաճախակի	Նա ժամանակ առ ժամանակ գլուխը բարձրացնում և ժամացույցին էր նայում։
不惜	չխնայել; չվարանել	Մարդ փրկելու համար նա չվարանեց ռիսկի դիմել։
不相上下	գրեթե հավասար; ուժերով մոտ	Երկու թիմերի ուժերը գրեթե հավասար են։
不言而喻	ինքնին հասկանալի; ասելու կարիք չկա	Ազնվության կարևորությունը ինքնին հասկանալի է։
不由得	ակամա; չկարողանալ չանել	Հին լուսանկարը տեսնելով ես ակամա հիշեցի մանկությունս։
不择手段	նպատակին հասնելու համար միջոցների մեջ խտրություն չդնել	Փող աշխատելու համար նա միջոցների մեջ խտրություն չի դնում։
不止	ավելի քան; ոչ միայն; անդադար	Ժողովին մասնակցել էր հարյուրից ավելի մարդ։
布告	ծանուցում; հայտարարություն	Դպրոցի դարպասի մոտ մի հայտարարություն էր փակցված։
布局	դասավորություն; կառուցվածք	Այս բնակարանի դասավորությունը շատ խելամիտ է։
布置	դասավորել; կազմակերպել; առաջադրանք տալ	Ուսուցիչը նոր տնային աշխատանք տվեց։
步伐	քայլ; քայլվածք; ընթացք	Խումբը առաջ էր շարժվում հավասար քայլերով։
部署	տեղակայել; կազմակերպել; տեղակայում	Ընկերությունը նոր վաճառքի ծրագիր է կազմակերպում։
部位	մաս; տեղ; հատված	Բժիշկը զննեց վնասված հատվածը։
才干	տաղանդ; կարողություն	Նա կառավարման գործում մեծ կարողություն ունի։
裁缝	դերձակ	Այս դերձակի վարպետությունը շատ լավ է։
裁判	մրցավար; դատել	Մրցավարը հայտարարեց խաղի դադարը։
裁员	աշխատակիցներ կրճատել	Ընկերությունը վնասների պատճառով որոշեց աշխատակիցներ կրճատել։
财富	հարստություն	Գիտելիքն էլ է հարստության մի տեսակ։
财务	ֆինանսներ; ֆինանսական գործեր	Ֆինանսական բաժինը ստուգում է հաշիվները։
财政	պետական ֆինանսներ; ֆինանսական	Այս տարի պետական եկամուտները որոշ չափով աճել են։
彩票	վիճակախաղի տոմս	Նա երբեմն վիճակախաղի մի տոմս է գնում։
采购	գնել; գնում կատարել; ձեռք բերել	Ընկերությունը մարդ ուղարկեց սարքավորումներ գնելու։
采集	հավաքել; նմուշներ հավաքել	Հետազոտողները անտառում նմուշներ հավաքեցին։
采纳	ընդունել; որդեգրել	Ղեկավարը ընդունեց մեր առաջարկը։
参谋	խորհրդական; խորհուրդ տալ	Նա հաճախ խորհուրդ է տալիս մենեջերին։
参照	օրինակին հետևել; հղում կատարել	Խնդրում եմ ձևաթուղթը լրացրու այս ձևաչափին համապատասխան։
残疾	հաշմանդամություն; հաշմանդամ	Այս կայարանը օգնություն է տրամադրում հաշմանդամ ուղևորներին։
残酷	դաժան; անգութ	Պատերազմը շատ դաժան է։
残留	մնալ; մնացորդ մնալ	Բաժակում դեռ սուրճի հոտ է մնացել։
残忍	դաժան; անխիղճ	Կենդանիներին վատ վերաբերվելը դաժան վարք է։
灿烂	փայլուն; շքեղ; պայծառ	Նա պայծառ ժպիտ ցույց տվեց։
仓促	շտապողական; հապճեպ	Այս որոշումը չափազանց հապճեպ է ընդունվել։
仓库	պահեստ	Ապրանքները արդեն հասցվել են պահեստ։
舱	խցիկ; սրահ	Ուղևորները մտնում են օդանավի սրահ։
苍白	գունատ	Նրա դեմքը շատ գունատ էր երևում։
操劳	չարչարվել; շատ աշխատել ընտանիքի համար	Մայրը այս ընտանիքի համար երկար տարիներ չարչարվել է։
操练	վարժանք անել; մարզվել	Զինվորները ամեն առավոտ վարժանք են անում։
操纵	կառավարել; վերահսկել; մանիպուլացնել	Այս մեքենան համակարգչով է կառավարվում։
操作	գործարկել; աշխատեցնել; գործողություն կատարել	Խնդրում եմ սարքը գործարկիր հրահանգներին համապատասխան։
嘈杂	աղմկոտ; ժխորոտ	Կայարանում շատ աղմկոտ էր։
草案	նախագիծ; նախնական տարբերակ	Հանձնաժողովը քննարկում է նախագիծը։
草率	անփույթ; հապճեպ; թեթևամիտ	Այսքան կարևոր որոշումը չի կարելի հապճեպ ընդունել։
侧面	կողմ; կողային երես; տեսանկյուն	Կողքից այս շենքը ավելի բարձր է երևում։
测量	չափել; չափագրել	Ինժեները չափում է կամրջի երկարությունը։
策划	ծրագրել; կազմակերպել; դավ նյութել	Նրանք մեծ միջոցառում ծրագրեցին։
策略	ռազմավարություն; հնարք	Այս ռազմավարությունը ընկերությանը օգնեց ծախսերը նվազեցնել։
层出不穷	անընդհատ ի հայտ գալ; մեկը մյուսի հետևից առաջանալ	Նոր խնդիրները մեկը մյուսի հետևից են առաջանում։
层次	մակարդակ; կառուցվածք; շերտ	Այս հոդվածի կառուցվածքը շատ հստակ է։
差别	տարբերություն; զանազանություն	Երկու մեթոդների միջև մեծ տարբերություն չկա։
插座	վարդակ	Այս սենյակում վարդակները չեն բավականացնում։
查获	հայտնաբերել և առգրավել; բռնագրավել	Մաքսատունը առգրավեց կեղծ ապրանքների մի խմբաքանակ։
刹那	ակնթարթ; վայրկյան	Մի ակնթարթում բոլոր լույսերը մարեցին։
岔	ճյուղավորվել; բաժանվել; ճամփաբաժան	Մեքենաները առջևի խաչմերուկում բաժանվեցին։
诧异	զարմացած; ապշած	Նրա որոշումը բոլորին շատ զարմացրեց։
柴油	դիզելային վառելիք	Այս բեռնատարը դիզելային վառելիք է օգտագործում։
搀	թևանցուկ անել; օգնել քայլել	Բուժքույրը թևանցուկ արեց ծեր մարդուն և տարավ հիվանդասենյակ։
缠绕	փաթաթվել; ոլորվել	Խաղողի վազերը փաթաթվել էին ճյուղերին։
馋	ուտելու ցանկություն ունենալ; ագահ լինել	Տորթը տեսնելով երեխան մի քիչ ուտելու ցանկություն ունեցավ։
产业	արդյունաբերություն; ոլորտ; ունեցվածք	Զբոսաշրջությունը այստեղ կարևոր ոլորտ է։
阐述	մանրամասն բացատրել; շարադրել	Պրոֆեսորը մանրամասն բացատրեց իր տեսակետը։
颤抖	դողալ; սարսռալ	Նա այնքան էր մրսել, որ ամբողջ մարմնով դողում էր։
昌盛	բարգավաճ; ծաղկուն	Մենք ցանկանում ենք, որ երկիրը բարգավաճի։
偿还	մարել; վերադարձնել պարտքը	Նա վարկը ժամանակին մարեց։
尝试	փորձել; փորձ կատարել	Մենք կարող ենք նոր մեթոդ փորձել։
场合	առիթ; իրավիճակ	Այսպիսի առիթով կատակելը հարմար չէ։
场面	տեսարան; մթնոլորտ	Հարսանիքի տեսարանը շատ աշխույժ էր։
场所	վայր; տեղ	Սա հանրային վայր է, խնդրում եմ չծխել։
敞开	լայն բացել; բաց պահել	Խնդրում եմ պատուհանը մի քիչ լայն բաց պահիր։
倡导	քարոզել; առաջ քաշել	Դպրոցը առողջ ապրելակերպ է քարոզում։
倡议	նախաձեռնություն; առաջարկել	Այս բնապահպանական նախաձեռնությունը աջակցություն ստացավ։
畅通	անարգել; բաց; սահուն	Անձրևը դադարելուց հետո ճանապարհը նորից բաց դարձավ։
畅销	լավ վաճառվող; մեծ պահանջարկ ունեցող	Այս վեպը շատ լավ է վաճառվում։
超越	գերազանցել; անցնել սահմանը	Նա վերջապես գերազանցեց սեփական ռեկորդը։
钞票	թղթադրամ	Դրամապանակում ընդամենը մի քանի թղթադրամ էր մնացել։
嘲笑	ծաղրել; հեգնել	Մի ծաղրիր ուրիշների թերությունները։
巢穴	բույն; որջ	Որսորդը գտավ կենդանու որջը։
朝代	դինաստիա; ժամանակաշրջան	Թան դինաստիան Չինաստանի պատմության մի դինաստիա է։
潮流	միտում; հոսանք; նորաձևություն	Երիտասարդները մեծ ուշադրություն են դարձնում նորաձևության միտումներին։
撤退	նահանջել; հետ քաշվել	Զորքերը հրաման ստանալուց հետո նահանջեցին։
撤销	չեղարկել; ուժը կորցրած ճանաչել	Դատարանը չեղարկեց նախկին վճիռը։
沉淀	նստվածք տալ; նստել	Տիղմը դանդաղ կնստի։
沉闷	ճնշող; ծանր; խեղդող	Այսօրվա եղանակը տաք է ու ճնշող։
沉思	խորհել; մտքերի մեջ ընկնել	Նա նստել էր պատուհանի մոտ և խորհում էր։
沉重	ծանր; լուրջ	Այս լուրը բոլորի տրամադրությունը ծանրացրեց։
沉着	հանգիստ; ինքնատիրապետված	Վտանգի ժամանակ պետք է հանգիստ մնալ։
陈旧	հնացած; մաշված	Այս մեքենան արդեն շատ հնացած է։
陈列	ցուցադրել; ներկայացնել	Ցուցասրահում բազմաթիվ մշակութային արժեքներ են ցուցադրված։
陈述	շարադրել; հայտարարել; ներկայացնել	Խնդրում եմ փաստերը հստակ ներկայացրու։
称心如意	սրտով լինել; լիովին գոհացնել	Այս աշխատանքը նրան լիովին գոհացնում է։
衬托	ընդգծել; ֆոն ստեղծել	Սպիտակ պատը ընդգծում է ծաղիկների գույնը։
称号	կոչում; տիտղոս	Նա ստացավ գերազանց ուսուցչի կոչումը։
乘	նստել; օգտվել տրանսպորտից	Ես ամեն օր մետրոյով եմ գնում աշխատանքի։
呈现	երևալ; դրսևորվել; ներկայացնել	Երկինքը բաց կարմիր երանգ ստացավ։
城堡	ամրոց	Լեռան գագաթին մի հին ամրոց կա։
惩罚	պատժել; պատիժ	Դպրոցը կպատժի խաբեությամբ զբաղվող աշակերտներին։
成本	ինքնարժեք; ծախս	Հումքի թանկացումը բարձրացրեց ինքնարժեքը։
成交	գործարք կնքել; համաձայնության հասնել	Այս գործարքը վերջապես կնքվեց։
成天	ամբողջ օրը; անընդհատ	Նա ամբողջ օրը նստում է համակարգչի առջև։
成效	արդյունք; ազդեցություն	Նոր կառավարման մեթոդը շուտով արդյունք տվեց։
成心	դիտավորյալ; միտումնավոր	Նա քեզ դիտավորյալ չէր նեղացնում։
成员	անդամ	Յուրաքանչյուր անդամ պետք է մասնակցի ժողովին։
承办	ստանձնել; կազմակերպել	Այս ընկերությունը կազմակերպեց ցուցահանդեսը։
承包	պայմանագրով ստանձնել; կապալառել	Նրանք պայմանագրով ստանձնեցին այս նախագիծը։
承诺	խոստանալ; խոստում	Նա խոստացավ առաջադրանքը ժամանակին ավարտել։
橙	նարինջ	Ես մի քանի թարմ նարինջ գնեցի։
澄清	պարզաբանել; մաքրել	Մենեջերը դուրս եկավ և պարզաբանեց թյուրիմացությունը։
盛	լցնել; մատուցել; պարունակել	Նա հյուրի համար մի աման ապուր լցրեց։
诚挚	անկեղծ; սրտանց	Խնդրում եմ ընդունիր իմ անկեղծ շնորհակալությունը։
秤	կշեռք	Այս կշեռքը այնքան էլ ճշգրիտ չէ։
吃苦	դժվարություն կրել; տանջվել	Երիտասարդները պետք է սովորեն դժվարություն կրել։
吃力	դժվարությամբ անել; մեծ ջանք պահանջել	Այս արկղը տեղափոխելը մեծ ջանք է պահանջում։
持久	տևական; երկարատև	Հաջողությունը տևական ջանք է պահանջում։
迟钝	դանդաղաշարժ; դանդաղ արձագանքող	Վերջերս նրա արձագանքը մի քիչ դանդաղ է։
迟缓	դանդաղ; ձգձգվող	Անձրևից հետո երթևեկությունը դանդաղեց։
迟疑	վարանել	Նա մի պահ վարանեց և հետո պատասխանեց։
赤道	հասարակած	Հասարակածի մոտ ամբողջ տարին շոգ է։
赤字	պակասուրդ; դեֆիցիտ	Ընկերությունը այս տարի պակասուրդ ունեցավ։
充当	ծառայել որպես; դեր կատարել	Նա նախագծում համակարգողի դեր կատարեց։
充沛	առատ; լի; աշխույժ	Երեխաները լի են էներգիայով։
充实	լիարժեք; հարուստ; հարստացնել	Այս փորձառությունը իմ կյանքը ավելի լիարժեք դարձրեց։
充足	բավարար; առատ	Ճանապարհորդությունից առաջ պետք է բավարար ջուր պատրաստել։
冲动	իմպուլս; հանկարծակի մղում	Մի ակնթարթային մղումով որոշում մի ընդունիր։
冲击	հարված; ազդեցություն	Նոր տեխնոլոգիան ազդեց ավանդական ոլորտների վրա։
冲突	հակամարտություն; բախում	Երկու կողմերն էլ փորձեցին խուսափել բախումից։
