source_headword	AZ	example_AZ
aftermath	fəsad	Fırtınanın fəsadları ağır oldu.
aggression	aqressiya	Müəllim tənəffüsdə aqressiya hiss etdi.
agricultural	kənd təsərrüfatı	Kənd təsərrüfatı ixracatı bu il artdı.
aide	köməkçi	Köməkçi nazirin qrafikini təşkil etdi.
albeit	hərçənd	Plan işlədi, hərçənd yavaş-yavaş.
alert	xəbərdarlıq etmək	Zəhmət olmasa, dərhal işçilərə xəbərdarlıq edin.
align	eyni xəttə gətirmək	Oxlar yol ilə eyni xəttə gəlir.
alignment	hizalanma	Təkərlərin hizalanması avtomobilin idarəetməsini yaxşılaşdırdı.
alike	eyni	Əkizlər həftəsonları eyni geyinirlər.
allegation	iddia	İddia qəzetdə çıxdı.
allege	iddia etmək	Onlar vəsaitin itdiyini iddia edirlər.
allegedly	iddiaya görə	İddiyaya görə, sürücü xəbərdarlığa məhəl qoymayıb.
alliance	ittifaq	Partiyalar müvəqqəti ittifaq qurdular.
allocate	ayırmaq	Şəhər məktəblər üçün pul ayıracaq.
allocation	bölüşdürmə	Yerlərin bölüşdürülməsi ədalətsiz idi.
allowance	xərclik	Onun xərcliyi nahar və nəqliyyatı əhatə edir.
ally	müttəfiq	Kanada yaxın müttəfiq oldu.
aluminium	alüminium	Çərçivə alüminiumdan hazırlanıb.
amateur	həvəskar	Şəkli həvəskar fotoqraf çəkib.
ambassador	səfir	Səfir yerli tələbələrlə görüşdü.
amend	dəyişiklik etmək	Parlament qanuna dəyişiklik etmək üçün səs verdi.
amendment	düzəliş	Düzəliş bir abzası dəyişdirdi.
amid	ortasında	Çıxış artan gərginliyin ortasında baş tutdu.
analogy	anologiya	Müəllim sadə bir anologiyadan istifadə etdi.
anchor	lövbər	Qayıq adanın yaxınlığında lövbər saldı.
angel	mələk	Uşaq mələk kostyumu geyinmişdi.
anonymous	anonim	Şikayət anonim idi.
apparatus	aparat	Laboratoriya aparatının təmizlənməyə ehtiyacı var.
appealing	cazibədar	Təklif tələbələrə cazibədar görünür.
appetite	iştaha	İdman onun iştahasını artırdı.
applaud	alqışlamaq	Tamaşaçılar ucadan alqışlamağa başladılar.
applicable	keçərli	Endirim bu gün keçərlidir.
appoint	təyin etmək	İdarə heyəti bir direktor təyin edəcək.
appreciation	minnətdarlıq	O, köməklərinə görə minnətdarlığını bildirdi.
arbitrary	ixtiyari	Son tarix işçilərə ixtiyari görünürdü.
architectural	memarlıq	Şəhər öz memarlıq irsini qoruyur.
archive	arxiv	Arxiv köhnə fotoşəkilləri saxlayır.
arena	arena	Debat ictimai arenaya keçdi.
arguably	çox güman ki	Bu, çox güman ki, onun ən yaxşı romanıdır.
arm	silahlandırmaq	Mühafizəçilər karvanı silahlandıracaqlar.
array	çeşid	Mağaza müxtəlif çeşiddə alətlər təklif edir.
articulate	aydın ifadə etmək	O, mürəkkəb ideyaları aydın ifadə edə bilir.
ash	kül	Yanğından sonra maşını kül örtdü.
aspiration	arzu	Onun arzusu cərrah olmaqdır.
aspire	can atmaq	Bir çox tələbə xaricdə oxumağa can atır.
assassination	sui-qəsd	Sui-qəsd ölkənin siyasətini dəyişdi.
assault	hücum	Hücum stansiyanın yaxınlığında baş verib.
assemble	yığmaq	İşçilər mebeli əllə yığırlar.
assembly	toplanış	Məktəb toplanışı saat doqquzda başlayır.
assert	qəbul etdirmək	O, öz nüfuzunu qəbul etdirməyə çalışdı.
assertion	iddia	Onun iddiası paneli təəccübləndirdi.
assurance	təminat	Menecer dəstək təminatı verdi.
asylum	sığınacaq	Ailə sərhəddə sığınacaq istəyib.
atrocity	vəhşilik	Film müharibə dövründəki vəhşiliyi təsvir edirdi.
attain	nail olmaq	Çox az idmançı o sürətə nail olur.
attendance	davamiyyət	Elan verildikdən sonra davamiyyət yaxşılaşdı.
attorney	vəkil	Vəkil şahidi dindirdi.
attribute	əlaqələndirmək	Alimlər artımı çirklənmə ilə əlaqələndirirlər.
audit	audit	Audit bir neçə səhv aşkar etdi.
authentic	orijinal	Restoran orijinal regional yeməklər təqdim edir.
authorize	icazə vermək	Yalnız menecerlər pulun qaytarılmasına icazə verə bilər.
auto	avto	Avtomobil sənayesi sürətlə dəyişdi.
autonomy	muxtariyyət	Region daha böyük muxtariyyət istəyir.
availability	mövcudluq	Yerlərin mövcudluğu məhduddur.
await	gözləmək	Bir neçə mesaj sizin cavabınızı gözləyir.
backdrop	arxa plan	Dağlar dramatik bir arxa plan yaratdı.
backing	dəstək	Təklif seçicilərdən dəstək qazandı.
backup	ehtiyat nüsxə	Sistem hər gün ehtiyat nüsxə yaradır.
bail	girov	Hakim günorta vaxtı girov təyin etdi.
ballot	bülleten	Hər bir seçici bülleten aldı.
banner	baner	Baner girişin üstündən asılmışdı.
bare	boş	Otağın divarları boş idi.
barrel	çəllək	Çəllək su ilə dolu idi.
bass1	bas	Bas dərin və isti səslənirdi.
battlefield	döyüş meydanı	Köhnə döyüş meydanı abidəyə çevrildi.
bay	körfəz	Kənd sakit bir körfəzin kənarında yerləşir.
beam	tir	Polad tir damı dəstəkləyir.
beast	vəhşi heyvan	Hekayə vəhşi bir heyvanı təsvir edir.
behalf	adından	O, komandasının adından çıxış etdi.
beloved	sevimli	Sevimli müəllim bu gün təqaüdə çıxdı.
bench	skamya	Onlar taxta skamyada əyləşdilər.
benchmark	meyar	Test sənaye meyarına çevrildi.
beneath	altında	Sənədlər qovluğun altında idi.
beneficiary	benefisiar	Onun oğlu əsas benefisiar idi.
betray	xəyanət etmək	Dostunun etibarına xəyanət etmə.
bind	məcbur etmək	Razılaşma hər iki şirkəti məcbur edəcək.
biography	bioqrafiya	Onun bioqrafiyası çox satıldı.
bishop	yepiskop	Yepiskop kənd kilsəsini ziyarət etdi.
bizarre	qəribə	Filmin qəribə bir sonu var idi.
blade	tiyə	Tiyə kəndiri kəsdi.
blast	partlayış	Partlayış yaxınlıqdakı pəncərələri sındırdı.
bleed	qanamaq	Kəsik şiddətlə qanamağa başladı.
blend	qarışdırmaq	Sousu hamar olana qədər qarışdırın.
bless	xeyir-dua vermək	Kahin evə xeyir-dua verəcək.
blessing	nemət	Dəstək almaq bir nemət idi.
boast	öyünmək	O, pul haqqında öyünməyi xoşlayır.
bonus	bonus	İşçilər bayram bonusu aldılar.
boom	artım	Şəhər tikinti bumu yaşadı.
bounce	tullanmaq	Top çox yuxarı tullana bilər.
boundary	sərhəd	Çay sərhədi müəyyən edir.
bow1	baş əymək	Aktyor dərindən baş əydi.
breach	pozuntu	Pozuntu şəxsi məlumatları ifşa etdi.
breakdown	bölgü	Hesabatda xərclərin bölgüsü var.
breakthrough	sıçrayış	Kəşf böyük bir sıçrayış idi.
breed	çoxalmaq	Bu quşlar yazda çoxalır.
broadband	genişzolaqlı internet	Ofisə daha sürətli genişzolaqlı internet lazımdır.
browser	brauzer	Giriş etməzdən əvvəl brauzerinizi yeniləyin.
brutal	qəddar	Hücum qəddar və qəfil idi.
buck	dollar	Bilet on dollardır.
buddy	dost	Onun dostu çöldə gözləyirdi.
buffer	bufer	Ağaclar səs buferi yaradır.
bulk	topdan	Onlar düyünü topdan aldılar.
burden	yük	Borc ağır bir yük oldu.
bureaucracy	bürokratiya	Bürokratiya icazəni gecikdirdi.
burial	dəfn	Dəfn sübh tezdən baş tutdu.
burst	partlamaq	Boru təzyiq altında partlaya bilər.
cabinet	kabinet	Nazirlər Kabineti planı təsdiqlədi.
calculation	hesablama	Hesablama bir neçə dəqiqə çəkdi.
canvas	kətan	Rəssam böyük bir kətan üzərində rəsm çəkirdi.
capability	imkan	Cihazın simsiz bağlantı imkanı var.
capitalism	kapitalizm	Kapitalizm müasir iqtisadiyyatı formalaşdırdı.
capitalist	kapitalist	Kapitalist sistemi özəl investisiyanı mükafatlandırır.
cargo	yük	Gəmi tibbi yük daşıyırdı.
carriage	vaqon	Qatar vaqonu demək olar ki, boş idi.
carve	oymaq	O, taxtanı diqqətlə oyacaq.
casino	kazino	Kazino otelin yaxınlığında açıldı.
casualty	itki	Qəza bir nəfərin itkisinə səbəb oldu.
catalogue	kataloq	Kataloqda hər bir məhsul qeyd olunub.
cater	xidmət etmək	Restoran böyük tədbirlərə xidmət edə bilər.
cattle	mal-qara	Mal-qara çayın kənarında otlayırdı.
caution	ehtiyat	Buzlu yollarda ehtiyatlı olun.
cautious	ehtiyatlı	İnvestorlar bu həftə ehtiyatlı olaraq qalırlar.
cease	dayandırmaq	Zavod tezliklə istehsalı dayandıracaq.
cemetery	qəbiristanlıq	Qəbiristanlıq dənizə baxır.
chamber	palata	Səsvermə zamanı palata səssiz idi.
chaos	xaos	Gecikmə hava limanında xaosa səbəb oldu.
characterize	xarakterizə etmək	Mütəxəssislər planı riskli kimi xarakterizə edirlər.
charm	cazibə	Qəsəbənin qədim dünya cazibəsi var.
charter	nizamnamə	Nizamnamə əsas hüquqları qoruyur.
chronic	xroniki	O, xroniki bel ağrısından əziyyət çəkir.
chunk	parça	Pendiri bir parça kəsin.
circulate	yaymaq	Lütfən, gündəliyi bu gün yayın.
circulation	tiraj	Qəzetin tirajı kəskin şəkildə düşdü.
citizenship	vətəndaşlıq	O, Fransa vətəndaşlığı üçün müraciət etdi.
civic	mülki	Görüşdə vətəndaş cəmiyyəti liderləri iştirak edirdilər.
civilian	mülki şəxs	Bir neçə mülki ev zədələndi.
clarity	aydınlıq	Diaqram hesabatı daha da aydınlaşdırdı.
clash	toqquşma	Toqquşma yürüşdən sonra başladı.
classification	təsnifat	Təsnifat ölçüdən asılıdır.
cling	yapışmaq	Yaş paltarlar dəriyə yapışır.
clinical	klinik	Klinik sınaq gələn ay başlayır.
closure	bağlanış	Ailə hadisədən sonra rahatlıq tapmaq istəyirdi.
cluster	qrup	Yaxınlıqda bir qrup ev var idi.
coalition	koalisiya	Koalisiya çoxluğunu itirdi.
coastal	sahil	Sahil kəndləri daşqına hazırlaşırdı.
cocktail	kokteyl	O, meyvə kokteyli sifariş etdi.
cognitive	koqnitiv	Koqnitiv bacarıqlar təcrübə ilə inkişaf edir.
coincide	üst-üstə düşmək	Festival məzuniyyətlə üst-üstə düşəcək.
collaborate	əməkdaşlıq etmək	Komandalar proqram təminatı üzərində əməkdaşlıq edirlər.
collaboration	əməkdaşlıq	Onların əməkdaşlığı güclü nəticələr verdi.
collective	kollektiv	Qərar kollektiv bir səy idi.
collision	toqquşma	Toqquşma magistral yolu bağladı.
colonial	müstəmləkə	Binanın müstəmləkə memarlığı var.
columnist	köşə yazarı	Köşə yazarı siyasəti tənqid etdi.
combat	döyüş	Əsgərlər döyüş üçün təlim keçdilər.
commence	başlamaq	Mərasim günorta başlayacaq.
commentary	şərh	Matçın şərhi canlı idi.
commentator	şərhçi	Şərhçi qərarı izah etdi.
commerce	ticarət	Onlayn ticarət sürətlə böyüdü.
commissioner	komissar	Komissar yeni qaydaları elan etdi.
commodity	əmtəə	Buğda vacib bir əmtəədir.
communist	kommunist	Kommunist partiyası iclas keçirdi.
companion	yoldaş	Onun iti sadiq bir yoldaşdır.
comparable	müqayisə edilə bilən	İki şəhərin ölçüsü müqayisə edilə bilər.
compassion	mərhəmət	Tibb bacısı böyük mərhəmət göstərdi.
compel	məcbur etmək	Dəlil cavab verməyə məcbur edə bilər.
compelling	inandırıcı	Sənədli film inandırıcı bir dəlil təqdim etdi.
compensate	kompensasiya etmək	Şirkət zərər çəkmiş müştərilərə kompensasiya ödəyəcək.
compensation	kompensasiya	İşçilər ədalətli kompensasiya tələb etdilər.
competence	səriştə	Test peşəkar səriştəni ölçür.
competent	səriştəli	O, səriştəli bir mühəndisdir.
compile	tərtib etmək	Tədqiqatçılar xəstəxanalardan məlumat toplayırlar.
complement	tamamlamaq	Şərab yeməyi tamamlayacaq.
complexity	mürəkkəblik	Layihənin gözlənilməz mürəkkəbliyi var.
compliance	riayət etmə	Audit qanuni uyğunluğu yoxladı.
complication	fəsad	Cərrahiyyə əməliyyatının bir fəsadı oldu.
comply	riayət etmək	Şirkətlər qaydalara riayət etməlidirlər.
composition	kompozisiya	Kompozisiyaya skripka və fortepiano daxildir.
compromise	kompromis	Kompromis hər iki tərəfi qane etdi.
compute	hesablamaq	Proqram cəmi hesablaya bilər.
conceal	gizlətmək	O, zərəri gizlətməyə çalışdı.
concede	etiraf etmək	Nazir məğlubiyyəti qəbul etməkdən imtina etdi.
conceive	düşünmək	Onlar daha yaxşı bir plan düşünə bilmədilər.
conception	anlayış	Film mənim tarix anlayışımı dəyişdi.
concession	güzəşt	Şirkət bir güzəşt təklif etdi.
condemn	qınamaq	Liderlər hücumu açıq şəkildə qınayırlar.
confer	bəxş etmək	Mükafat nüfuz qazandıracaq.
confession	etiraf	Onun etirafı məhkəməni təəccübləndirdi.
configuration	konfiqurasiya	Konfiqurasiya şəbəkəyə girişi idarə edir.
confine	məhdudlaşdırmaq	Qaydalar itləri bu ərazi ilə məhdudlaşdırır.
confirmation	təsdiq	Biz elektron poçtla təsdiq aldıq.
confront	üzləşmək	O, problemlə üzləşməyə qərar verdi.
confrontation	qarşıdurma	Qarşıdurma şiddətsiz başa çatdı.
congratulate	təbrik etmək	Bacımı təbrik etmək üçün zəng etdim.
congregation	camaat	Camaat birlikdə oxudu.
congressional	konqres	Konqres dinləməsi saatlarla davam etdi.
conquer	fəth etmək	Komanda bazarı fəth etməyə ümid edir.
conscience	vicdan	Vicdanı yalan danışmağa icazə verməzdi.
consciousness	şüur	Qəza onun şüuruna təsir etdi.
consecutive	ardıcıl	O, üç ardıcıl matç qazandı.
consensus	konsensus	Komitə tez bir zamanda konsensusa gəldi.
consent	razılıq	Yazılı razılıq tələb olunur.
conserve	qorumaq	Quraqlıq zamanı suya qənaət edirik.
consistency	ardıcıllıq	Dil öyrənməkdə ardıcıllıq önəmlidir.
consolidate	birləşdirmək	Şirkət iki ofisi birləşdirəcək.
constituency	seçki dairəsi	Namizəd hər bir seçki dairəsinə səfər etdi.
constitute	təşkil etmək	Qadınlar komitənin yarısını təşkil edirlər.
constitution	konstitusiya	Konstitusiya söz azadlığına zəmanət verir.
constitutional	konstitusiya	Məhkəmə konstitusiya hüquqlarını nəzərdən keçirdi.
constraint	məhdudiyyət	Büdcə məhdudiyyəti layihəni məhdudlaşdırdı.
consultation	məsləhətləşmə	Məsləhətləşmə iki həftə davam etdi.
contemplate	düşünmək	O, təklif barədə düşünmək üçün dayandı.
contempt	hörmətsizlik	O, qaydalara qarşı hörmətsizlik göstərdi.
contend	rəqabət aparmaq	Bir neçə şirkət müqavilə üçün rəqabət aparır.
contender	iddiaçı	O, güclü bir iddiaçıdır.
content2	məmnun	O, nəticədən məmnun qaldı.
contention	mübahisə	Əsas mübahisə maliyyələşmə ilə bağlıdır.
continually	davamlı olaraq	Sistem davamlı olaraq səhvləri yoxlayır.
contractor	podratçı	Podratçı damı təmir etdi.
contradiction	ziddiyyət	Onun bəyanatında bir ziddiyyət var idi.
contrary	əks	Əks sübut işin gedişatını dəyişdi.
contributor	töhfə verən	O, daimi töhfə verəndir.
conversion	konvertasiya	Konvertasiya dolları avroya çevirdi.
convict	məhkum etmək	Münsiflər heyəti şübhəlini məhkum edə bilər.
conviction	məhkumluq	Onun məhkum edilməsi ictimaiyyəti şoka saldı.
cooperate	əməkdaşlıq etmək	Zəhmət olmasa istintaqla əməkdaşlıq edin.
cooperative	əməkdaşlığa meylli	İşçilər əməkdaşlığa meylli və sakit idilər.
coordinate	əlaqələndirmək	Onlar hər səhər çatdırılmaları əlaqələndirirlər.
coordination	koordinasiya	Yaxşı koordinasiya vaxta qənaət etdi.
coordinator	koordinator	Koordinator hər bir tapşırığı təyin etdi.
cop	polis	Stansiyanın çölündə bir polis dayanmışdı.
copper	mis	Boru misdən hazırlanıb.
copyright	müəllif hüququ	Təsvir müəllif hüququ ilə qorunur.
correction	düzəliş	Müəllim bir düzəliş etdi.
correlate	əlaqələndirmək	Yüksək stress xəstəliklə əlaqəli ola bilər.
correlation	qarşılıqlı əlaqə	Tədqiqat güclü bir qarşılıqlı əlaqə tapdı.
correspond	uyğun gəlmək	Bu rəqəmlər etiketlərə uyğun gəlir.
correspondence	yazışma	Onların yazışması illərlə davam etdi.
correspondent	müxbir	Müxbir Qahirədən xəbər verdi.
corresponding	müvafiq	Hər düymənin müvafiq işığı var.
corrupt	rüşvətxor	Rüşvətxor məmur pul aldı.
corruption	korrupsiya	Korrupsiya ictimai etimadı zəiflətdi.
costly	bahalı	Səhv komanda üçün baha başa gəldi.
councillor	şura üzvü	Şura üzvü sakinlərin suallarını cavablandırdı.
counselling	psixoloji məsləhət	Qəzadan sonra o, psixoloji məsləhət aldı.
counsellor	məsləhətçi	Məsləhətçi yeni tələbələrə kömək etdi.
counter (argue against)	qarşı çıxmaq	O, onun arqumentinə qarşı çıxmağa çalışdı.
counterpart	həmkar	O, yaponiyalı həmkarı ilə görüşdü.
countless	saysız-hesabsız	Saysız-hesabsız könüllülər axtarışa qoşuldu.
coup	dövlət çevrilişi	Çevriliş prezidenti vəzifədən kənarlaşdırdı.
courtesy	nəzakət	O, onlara nəzakətlərinə görə təşəkkür etdi.
