source_headword	SR	example_SR
immense	огроман	Пројекат је захтевао огроман труд.
imminent	неминован	Олуја се чинила неминовном.
implementation	спровођење	Спровођење закона је било споро.
imprison	затворити	Режим је покушао да затвори критичаре.
imprisonment	затвор	Његова затворска казна је трајала пет година.
inability	неспособност	Њена неспособност фокусирања забринула је учитеље.
inadequate	неадекватан	Склониште је имало неадекватно грејање.
inappropriate	неприкладан	Његова шала је била неприкладна.
incidence	учесталост	Учесталост грипа се повећала.
inclined	склон	Склона је да се сложи.
inclusion	инклузија	Школа промовише инклузију.
