hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
3625:保修	保修	保修	naprawić w ramach gwarancji	Ten komputer można przez rok naprawiać bezpłatnie w ramach gwarancji.	repareren onder garantie	Deze computer kan één jaar gratis onder garantie worden gerepareerd.	reparera på garanti	Den här datorn kan repareras gratis på garanti i ett år.	reparere på garanti	Denne datamaskinen kan repareres gratis på garanti i ett år.	reparere under garanti	Denne computer kan repareres gratis under garantien i et år.	korjata takuun piirissä	Tämän tietokoneen voi korjata vuoden ajan ilmaiseksi takuun piirissä.
3627:爆	爆	爆	pęknąć; wybuchnąć	Balon nagle pękł.	barsten; ontploffen	De ballon knapte plotseling.	spricka; explodera	Ballongen sprack plötsligt.	sprekke; eksplodere	Ballongen sprakk plutselig.	sprænge; eksplodere	Ballonen sprang pludselig.	puhjeta; räjähtää	Ilmapallo puhkesi yhtäkkiä.
3629:报刊	报刊	报刊	gazety i czasopisma	W bibliotece jest wiele chińskich gazet i czasopism.	kranten en tijdschriften	De bibliotheek heeft veel Chinese kranten en tijdschriften.	tidningar och tidskrifter	Biblioteket har många kinesiska tidningar och tidskrifter.	aviser og tidsskrifter	Biblioteket har mange kinesiske aviser og tidsskrifter.	aviser og tidsskrifter	Biblioteket har mange kinesiske aviser og tidsskrifter.	sanomalehdet ja aikakauslehdet	Kirjastossa on paljon kiinalaisia sanoma- ja aikakauslehtiä.
3635:悲剧	悲剧	悲剧	tragedia	Ten wypadek był tragedią.	tragedie	Dit ongeluk was een tragedie.	tragedi	Den här olyckan var en tragedi.	tragedie	Denne ulykken var en tragedie.	tragedie	Denne ulykke var en tragedie.	tragedia	Tämä onnettomuus oli tragedia.
3636:悲伤	悲伤	悲伤	smutny; pogrążony w smutku	Po usłyszeniu tej wiadomości był bardzo smutny.	verdrietig; bedroefd	Nadat hij dit nieuws hoorde, was hij erg verdrietig.	ledsen; sorgsen	Efter att ha hört nyheten blev han mycket ledsen.	trist; sørgmodig	Etter å ha hørt nyheten ble han veldig trist.	trist; sørgmodig	Da han hørte nyheden, blev han meget trist.	surullinen; murheellinen	Kuultuaan uutisen hän oli hyvin surullinen.
3638:北美洲	北美洲	北美洲	Ameryka Północna	Kanada leży w Ameryce Północnej.	Noord-Amerika	Canada ligt in Noord-Amerika.	Nordamerika	Kanada ligger i Nordamerika.	Nord-Amerika	Canada ligger i Nord-Amerika.	Nordamerika	Canada ligger i Nordamerika.	Pohjois-Amerikka	Kanada sijaitsee Pohjois-Amerikassa.
3640:被迫	被迫	被迫	być zmuszonym; przymuszony	Z powodu ulewy mecz musiał zostać odwołany.	gedwongen worden; genoodzaakt zijn	Door de hevige regen moest de wedstrijd worden afgelast.	tvingas; vara tvungen	På grund av kraftigt regn tvingades matchen ställas in.	bli tvunget; måtte	På grunn av kraftig regn måtte kampen avlyses.	blive tvunget; måtte	På grund af kraftig regn måtte kampen aflyses.	joutua pakotetuksi; olla pakko	Kovan sateen vuoksi ottelu jouduttiin perumaan.
3641:背心	背心	背心	podkoszulek; bezrękawnik	Latem często nosi podkoszulek.	hemd; tanktop	In de zomer draagt hij vaak een hemd.	linne; ärmlös tröja	På sommaren bär han ofta ett linne.	singlet; ermeløs trøye	Om sommeren bruker han ofte singlet.	undertrøje; tanktop	Om sommeren går han ofte i undertrøje.	hihaton paita; aluspaita	Kesällä hän käyttää usein hihatonta paitaa.
3642:备用	备用	备用	zapasowy; awaryjny	Proszę przygotować zapasowy klucz.	reserve; voor noodgebruik	Maak alstublieft een reservesleutel klaar.	reserv-; för reservbruk	Förbered en reservnyckel.	reserve-; til reservebruk	Gjør klar en reservenøkkel.	reserve-; til nødbrug	Forbered venligst en reservenøgle.	vara-; varakäyttöön	Valmistele vara-avain.
3643:倍增	倍增	倍增	gwałtownie wzrosnąć; zwielokrotnić się	Liczba zamówień w tym roku gwałtownie wzrosła.	sterk toenemen; vermenigvuldigen	Het aantal bestellingen is dit jaar sterk toegenomen.	öka kraftigt; mångdubblas	Antalet beställningar har ökat kraftigt i år.	øke kraftig; mangedobles	Antallet bestillinger har økt kraftig i år.	stige kraftigt; mangedobles	Antallet af ordrer er steget kraftigt i år.	moninkertaistua; kasvaa voimakkaasti	Tilausten määrä on kasvanut voimakkaasti tänä vuonna.
3644:奔跑	奔跑	奔跑	biec; pędzić	Dziecko biegnie po boisku.	rennen; hardlopen	Het kind rent op het speelveld.	springa	Barnet springer på skolgården.	løpe	Barnet løper på idrettsplassen.	løbe	Barnet løber på sportspladsen.	juosta	Lapsi juoksee kentällä.
3647:本土	本土	本土	lokalny; rodzimy kraj	Ta firma ceni lokalną kulturę.	lokaal; eigen land	Dit bedrijf hecht waarde aan de lokale cultuur.	lokal; hemland	Det här företaget värdesätter lokal kultur.	lokal; hjemland	Dette selskapet verdsetter lokal kultur.	lokal; hjemland	Denne virksomhed lægger vægt på lokal kultur.	paikallinen; kotimaa	Tämä yritys arvostaa paikallista kulttuuria.
3648:逼	逼	逼	zmuszać; naciskać	Nie zmuszaj dzieci do robienia rzeczy, których nie lubią.	dwingen; onder druk zetten	Dwing kinderen niet om dingen te doen die ze niet leuk vinden.	tvinga; pressa	Tvinga inte barn att göra sådant de inte gillar.	tvinge; presse	Ikke tving barn til å gjøre ting de ikke liker.	tvinge; presse	Tving ikke børn til at gøre ting, de ikke kan lide.	pakottaa; painostaa	Älä pakota lapsia tekemään asioita, joista he eivät pidä.
3651:闭	闭	闭	zamknąć; przymknąć	Proszę zamknąć drzwi.	sluiten; dichtdoen	Doe de deur alstublieft dicht.	stänga	Stäng dörren, tack.	lukke	Lukk døren, vær så snill.	lukke	Luk venligst døren.	sulkea	Sulje ovi, ole hyvä.
3652:避	避	避	unikać; omijać	Podczas jazdy trzeba unikać godzin szczytu.	vermijden; ontwijken	Vermijd de spits tijdens het rijden.	undvika	När du kör bör du undvika rusningstid.	unngå	Når du kjører, bør du unngå rushtiden.	undgå	Når du kører, bør du undgå myldretiden.	välttää	Ajaessa kannattaa välttää ruuhka-aikaa.
3653:必修	必修	必修	obowiązkowy; wymagany	Ten kurs jest obowiązkowy dla studentów pierwszego roku.	verplicht; vereist	Dit vak is verplicht voor eerstejaarsstudenten.	obligatorisk; nödvändig	Den här kursen är obligatorisk för förstaårsstudenter.	obligatorisk; påkrevd	Dette kurset er obligatorisk for førsteårsstudenter.	obligatorisk; påkrævet	Dette kursus er obligatorisk for førsteårsstuderende.	pakollinen; vaadittu	Tämä kurssi on pakollinen ensimmäisen vuoden yliopisto-opiskelijoille.
3654:编	编	编	redagować; opracowywać	On opracowuje podręcznik do chińskiego.	samenstellen; redigeren	Hij stelt een Chinees lesboek samen.	sammanställa; redigera	Han sammanställer en lärobok i kinesiska.	redigere; sette sammen	Han setter sammen en lærebok i kinesisk.	redigere; samle	Han er ved at samle en lærebog i kinesisk.	laatia; toimittaa	Hän laatii kiinan oppikirjaa.
3656:编写	编写	编写	opracować i napisać	Nauczyciel opracował zestaw ćwiczeń.	schrijven en samenstellen	De docent stelde een reeks oefeningen samen.	skriva och sammanställa	Läraren sammanställde en uppsättning övningar.	skrive og sette sammen	Læreren laget et sett med øvelser.	skrive og samle	Læreren udarbejdede et sæt øvelser.	laatia ja kirjoittaa	Opettaja laati harjoitussarjan.
3657:遍地	遍地	遍地	wszędzie; na całym terenie	Wiosną w parku wszędzie są kwiaty.	overal; overal verspreid	In de lente staan er overal bloemen in het park.	överallt; över hela marken	På våren finns det blommor överallt i parken.	overalt; over hele bakken	Om våren er det blomster overalt i parken.	overalt; på hele jorden	Om foråret er der blomster overalt i parken.	kaikkialla; ympäriinsä	Keväällä puistossa on kukkia kaikkialla.
3658:便捷	便捷	便捷	wygodny; poręczny	Ta metoda płatności jest bardzo wygodna.	handig; gemakkelijk	Deze betaalmethode is erg handig.	bekväm; smidig	Det här betalningssättet är mycket smidigt.	praktisk; enkel	Denne betalingsmåten er veldig praktisk.	praktisk; nem	Denne betalingsmetode er meget praktisk.	kätevä; vaivaton	Tämä maksutapa on hyvin kätevä.
3660:兵	兵	兵	żołnierz	Ten żołnierz służy na granicy.	soldaat	Deze soldaat dient aan de grens.	soldat	Den här soldaten tjänstgör vid gränsen.	soldat	Denne soldaten tjenestegjør ved grensen.	soldat	Denne soldat gør tjeneste ved grænsen.	sotilas	Tämä sotilas palvelee rajalla.
3662:播	播	播	nadawać; odtwarzać	Stacja telewizyjna nada dziś wieczorem ten dokument.	uitzenden; afspelen	De tv-zender zendt vanavond deze documentaire uit.	sända; spela	TV-kanalen sänder den här dokumentären i kväll.	sende; spille	TV-kanalen sender denne dokumentaren i kveld.	sende; afspille	TV-stationen sender denne dokumentar i aften.	lähettää; toistaa	Televisiokanava lähettää tämän dokumentin tänä iltana.
3670:不适	不适	不适	złe samopoczucie; niedyspozycja	Po zażyciu leku poczuł się źle.	ongemak; onwel zijn	Na het innemen van het medicijn voelde hij zich lichamelijk onwel.	obehag; må dåligt	Efter att ha tagit medicinen kände han sig dålig.	ubehag; være dårlig	Etter å ha tatt medisinen følte han seg uvel.	ubehag; utilpashed	Efter at have taget medicinen følte han sig utilpas.	huonovointisuus; epämukavuus	Lääkkeen ottamisen jälkeen hän tunsi olonsa huonoksi.
3671:不至于	不至于	不至于	nie aż do tego stopnia; nie powinno	Taki mały błąd nie powinien wpłynąć na wynik.	niet zo ver gaan dat; niet hoeven	Deze kleine fout zou het resultaat niet moeten beïnvloeden.	inte så långt att; knappast	Det här lilla felet borde inte påverka resultatet.	ikke så langt at; neppe	Denne lille feilen bør ikke påvirke resultatet.	ikke i en grad så; næppe	Denne lille fejl bør ikke påvirke resultatet.	ei sentään; ei siinä määrin	Tämän pienen virheen ei pitäisi vaikuttaa tulokseen.
3672:补	补	补	uzupełnić; naprawić	Ten raport trzeba jeszcze uzupełnić o trochę danych.	aanvullen; herstellen	Dit rapport heeft nog wat extra gegevens nodig.	komplettera; laga	Den här rapporten behöver kompletteras med lite data.	utfylle; reparere	Denne rapporten trenger fortsatt noen flere data.	supplere; reparere	Denne rapport mangler stadig nogle data.	täydentää; paikata	Tätä raporttia pitää vielä täydentää joillakin tiedoilla.
3673:捕	捕	捕	złapać; schwytać	Policja szybko schwytała podejrzanego.	vangen; arresteren	De politie pakte de verdachte snel.	fånga; gripa	Polisen grep snabbt den misstänkte.	fange; pågripe	Politiet pågrep raskt den mistenkte.	fange; anholde	Politiet fangede hurtigt den mistænkte.	ottaa kiinni; vangita	Poliisi sai epäillyn nopeasti kiinni.
3675:补课	补课	补课	nadrabiać lekcje	Po chorobie musi nadrobić lekcje.	gemiste lessen inhalen	Na zijn ziekte moet hij lessen inhalen.	ta igen missade lektioner	Efter sjukdomen behöver han ta igen lektioner.	ta igjen undervisning	Etter å ha vært syk må han ta igjen undervisning.	indhente undervisning	Efter sygdommen skal han indhente undervisning.	ottaa kiinni poissaolotunteja	Sairauden jälkeen hänen pitää ottaa oppitunteja kiinni.
3677:补习	补习	补习	brać korepetycje; dodatkowo się uczyć	W weekend chodzi na korepetycje z matematyki.	bijles nemen; extra les volgen	In het weekend volgt ze bijles wiskunde.	ta extralektioner; gå på stödundervisning	Hon går på extra matematiklektioner på helgerna.	ta ekstraundervisning; få leksehjelp	Hun går på ekstraundervisning i matematikk i helgene.	få ekstraundervisning; gå til lektiehjælp	Hun går til ekstra matematikundervisning i weekenden.	ottaa tukiopetusta; käydä lisätunneilla	Hän käy viikonloppuisin matematiikan lisätunneilla.
3680:不曾	不曾	不曾	nigdy; ani razu	Nigdy nie słyszałem o tej sprawie.	nooit; niet eerder	Ik heb nog nooit van deze zaak gehoord.	aldrig; inte någon gång	Jag har aldrig hört talas om den saken.	aldri; ikke noen gang	Jeg har aldri hørt om denne saken.	aldrig; ikke før	Jeg har aldrig hørt om denne sag.	ei koskaan; en ole koskaan	En ole koskaan kuullut tästä asiasta.
3681:不成	不成	不成	nie zadziałać; nie udać się	Obawiam się, że robienie tego w ten sposób się nie uda.	niet lukken; niet werken	Ik ben bang dat het zo niet gaat lukken.	inte fungera; misslyckas	Jag är rädd att det inte fungerar att göra så här.	ikke gå; mislykkes	Jeg er redd det ikke går å gjøre det slik.	ikke gå; mislykkes	Jeg er bange for, at det ikke går at gøre det sådan.	ei onnistu; ei toimi	Pelkään, että näin tekeminen ei onnistu.
3682:不得	不得	不得	nie wolno; nie można	W miejscach publicznych nie wolno palić.	niet mogen; niet toegestaan	In openbare ruimtes is roken niet toegestaan.	får inte; inte tillåtet	Man får inte röka på offentliga platser.	må ikke; ikke tillatt	Det er ikke tillatt å røyke på offentlige steder.	må ikke; ikke tilladt	Det er ikke tilladt at ryge på offentlige steder.	ei saa; kielletty	Julkisilla paikoilla ei saa tupakoida.
3683:部队	部队	部队	oddział wojskowy; wojsko	Ten oddział wojskowy trenuje w górach.	legeronderdeel; troepen	Deze legereenheid traint in de bergen.	militärförband; trupper	Det här militärförbandet tränar i bergen.	militæravdeling; tropper	Denne militæravdelingen trener i fjellområdet.	militærenhed; tropper	Denne militærenhed træner i bjergene.	joukko-osasto; armeijan yksikkö	Tämä armeijan yksikkö harjoittelee vuoristossa.
3687:不许	不许	不许	nie wolno; zakazane	Tutaj nie wolno parkować.	niet toestaan; verboden	Parkeren is hier niet toegestaan.	får inte; förbjudet	Det är inte tillåtet att parkera här.	ikke lov; forbudt	Det er ikke lov å parkere her.	ikke tilladt; forbudt	Det er ikke tilladt at parkere her.	ei saa; kielletty	Tähän ei saa pysäköidä.
3688:不宜	不宜	不宜	niewskazane; nieodpowiednie	Po posiłku niewskazane jest natychmiastowe ćwiczenie.	ongeschikt; af te raden	Het is af te raden direct na een maaltijd te sporten.	olämpligt; inte lämpligt	Det är olämpligt att träna direkt efter en måltid.	uegnet; ikke tilrådelig	Det er ikke tilrådelig å trene rett etter et måltid.	uegnet; ikke tilrådeligt	Det er ikke tilrådeligt at motionere lige efter et måltid.	ei suositeltavaa; sopimaton	Heti aterian jälkeen ei ole suositeltavaa liikkua.
3689:不已	不已	不已	bez końca; niezmiernie	Po usłyszeniu dobrej wiadomości wszyscy byli niezmiernie podekscytowani.	onophoudelijk; uiterst	Na het goede nieuws was iedereen uiterst opgewonden.	utan uppehåll; oerhört	Efter de goda nyheterna blev alla oerhört glada.	uavbrutt; svært	Etter å ha hørt den gode nyheten ble alle svært begeistret.	uophørligt; meget	Efter at have hørt den gode nyhed blev alle meget begejstrede.	loputtomasti; äärimmäisen	Hyvän uutisen kuultuaan kaikki olivat äärimmäisen innostuneita.
3693:猜测	猜测	猜测	zgadywać; spekulować	On tylko zgaduje i nie ma jeszcze dowodów.	gissen; speculeren	Hij speculeert alleen en heeft nog geen bewijs.	gissa; spekulera	Han gissar bara och har ännu inga bevis.	gjette; spekulere	Han bare gjetter og har ennå ingen bevis.	gætte; spekulere	Han gætter kun og har endnu ingen beviser.	arvata; spekuloida	Hän vain arvailee, eikä hänellä ole vielä todisteita.
3696:才华	才华	才华	talent; uzdolnienie	Ma duży talent muzyczny.	talent; gave	Ze heeft veel talent voor muziek.	talang; begåvning	Hon har stor talang för musik.	talent; begavelse	Hun har stort talent for musikk.	talent; begavelse	Hun har stort talent inden for musik.	lahjakkuus; kyky	Hänellä on suuri lahjakkuus musiikissa.
3697:才能	才能	才能	zdolność; talent	Ten projekt wymaga zdolności zarządzania.	bekwaamheid; talent	Dit project vereist managementvaardigheid.	förmåga; talang	Det här projektet kräver ledningsförmåga.	evne; talent	Dette prosjektet krever lederevner.	evne; talent	Dette projekt kræver ledelsesevner.	kyky; lahjakkuus	Tämä projekti vaatii johtamiskykyä.
3699:财物	财物	财物	mienie; rzeczy osobiste	Proszę dobrze pilnować swoich rzeczy osobistych.	eigendommen; bezittingen	Zorg goed voor uw persoonlijke bezittingen.	egendom; tillhörigheter	Ta väl hand om dina personliga tillhörigheter.	eiendeler; verdigjenstander	Pass godt på dine personlige eiendeler.	ejendele; værdigenstande	Pas godt på dine personlige ejendele.	omaisuus; tavarat	Pidä hyvää huolta henkilökohtaisista tavaroistasi.
3700:材质	材质	材质	materiał; faktura	Materiał tego ubrania jest bardzo wygodny.	materiaal; textuur	Het materiaal van dit kledingstuk voelt erg prettig.	material; textur	Materialet i det här plagget är mycket bekvämt.	materiale; tekstur	Materialet i dette plagget er veldig behagelig.	materiale; tekstur	Materialet i dette stykke tøj er meget behageligt.	materiaali; tuntuma	Tämän vaatteen materiaali tuntuu hyvin mukavalta.
3707:参展	参展	参展	brać udział w wystawie	Firma po raz pierwszy bierze w tym roku udział w wystawie.	deelnemen aan een tentoonstelling	Het bedrijf neemt dit jaar voor het eerst deel aan een tentoonstelling.	delta i en utställning	Företaget deltar i en utställning för första gången i år.	delta på en utstilling	Selskapet deltar på en utstilling for første gang i år.	deltage i en udstilling	Virksomheden deltager i en udstilling for første gang i år.	osallistua näyttelyyn	Yritys osallistuu tänä vuonna ensimmäistä kertaa näyttelyyn.
3710:草原	草原	草原	step; łąka; trawiasta równina	Step latem jest bardzo piękny.	grasland; prairie	Het grasland is in de zomer erg mooi.	gräsmark; prärie	Gräsmarken är mycket vacker på sommaren.	gresslette; prærie	Gressletten er veldig vakker om sommeren.	græsslette; prærie	Græssletten er meget smuk om sommeren.	ruohotasanko; preeria	Ruohotasanko on kesällä hyvin kaunis.
3711:侧	侧	侧	strona; bok	Stał po lewej stronie drogi.	kant; zijde	Hij stond aan de linkerkant van de weg.	sida	Han stod på vänster sida av vägen.	side; kant	Han sto på venstre side av veien.	side; kant	Han stod på venstre side af vejen.	puoli; sivu	Hän seisoi tien vasemmalla puolella.
3716:层面	层面	层面	poziom; aspekt	Ten problem trzeba przeanalizować z prawnego punktu widzenia.	niveau; aspect	Dit probleem moet vanuit juridisch oogpunt worden geanalyseerd.	nivå; aspekt	Den här frågan behöver analyseras ur juridisk synvinkel.	nivå; aspekt	Dette spørsmålet må analyseres fra et juridisk perspektiv.	niveau; aspekt	Dette problem skal analyseres ud fra et juridisk aspekt.	taso; näkökulma	Tätä asiaa pitää analysoida oikeudellisesta näkökulmasta.
3717:叉	叉	叉	widelec	Kelner podał mi widelec.	vork	De ober gaf me een vork.	gaffel	Servitören gav mig en gaffel.	gaffel	Servitøren ga meg en gaffel.	gaffel	Tjeneren gav mig en gaffel.	haarukka	Tarjoilija antoi minulle haarukan.
3718:差异	差异	差异	różnica; rozbieżność	Różnica klimatu między północą a południem jest duża.	verschil; afwijking	Het klimaatverschil tussen noord en zuid is groot.	skillnad; olikhet	Skillnaden mellan nordligt och sydligt klimat är stor.	forskjell; ulikhet	Klimaforskjellen mellom nord og sør er stor.	forskel; ulighed	Der er stor forskel på klimaet i nord og syd.	ero; poikkeama	Pohjoisen ja etelän ilmastossa on suuri ero.
3720:查询	查询	查询	sprawdzić; wyszukać	Możesz sprawdzić informacje o locie w internecie.	opzoeken; navragen	Je kunt vluchtinformatie online opzoeken.	söka upp; fråga	Du kan söka upp flyginformation på nätet.	søke opp; spørre	Du kan søke opp flyinformasjon på nettet.	søge efter; forespørge	Du kan søge flyoplysninger på nettet.	hakea tietoa; tiedustella	Voit hakea lentotietoja verkosta.
3721:拆除	拆除	拆除	rozebrać; usunąć	Ten stary most zostanie rozebrany w przyszłym miesiącu.	slopen; verwijderen	Deze oude brug wordt volgende maand gesloopt.	riva; ta bort	Den här gamla bron ska rivas nästa månad.	rive; fjerne	Denne gamle broen skal rives neste måned.	nedrive; fjerne	Denne gamle bro bliver revet ned næste måned.	purkaa; poistaa	Tämä vanha silta puretaan ensi kuussa.
3722:产出	产出	产出	produkować; wytwarzać	Ta ziemia co roku produkuje dużo zboża.	produceren; opleveren	Dit stuk land produceert elk jaar veel graan.	producera; ge avkastning	Den här marken producerar mycket spannmål varje år.	produsere; gi avkastning	Dette jordstykket produserer mye korn hvert år.	producere; give udbytte	Denne jord producerer meget korn hvert år.	tuottaa	Tämä maa tuottaa vuosittain paljon viljaa.
3723:产地	产地	产地	miejsce pochodzenia; obszar produkcji	Miejscem pochodzenia tej herbaty jest Junnan.	plaats van herkomst; productiegebied	De herkomstplaats van deze thee is Yunnan.	ursprungsplats; produktionsområde	Den här teens ursprungsplats är Yunnan.	opprinnelsessted; produksjonsområde	Opprinnelsesstedet for denne teen er Yunnan.	oprindelsessted; produktionsområde	Denne tes oprindelsessted er Yunnan.	alkuperäpaikka; tuotantoalue	Tämän teen alkuperäpaikka on Yunnan.
3724:肠	肠	肠	jelito	Lekarz zbadał jego jelito.	darm	De arts onderzocht zijn darm.	tarm	Läkaren undersökte hans tarm.	tarm	Legen undersøkte tarmen hans.	tarm	Lægen undersøgte hans tarm.	suoli	Lääkäri tutki hänen suolensa.
3725:长短	长短	长短	długość; różna długość	Te dwa sznurki mają różną długość.	lengte; verschil in lengte	Deze twee touwen verschillen in lengte.	längd; skillnad i längd	De här två repen har olika längd.	lengde; forskjell i lengde	Disse to tauene er ulike i lengde.	længde; længdeforskel	De to reb har forskellig længde.	pituus; pituusero	Näillä kahdella köydellä on eri pituus.
3726:常规	常规	常规	rutynowy; konwencjonalny	To jest rutynowe badanie w szpitalu.	routine-; conventioneel	Dit is een routineonderzoek in het ziekenhuis.	rutinmässig; konventionell	Det här är en rutinundersökning på sjukhuset.	rutinemessig; vanlig	Dette er en rutineundersøkelse på sykehuset.	rutinemæssig; almindelig	Dette er en rutineundersøgelse på hospitalet.	rutiininomainen; tavanomainen	Tämä on sairaalan rutiinitarkastus.
3727:常年	常年	常年	przez cały rok; całoroczny	Tutaj klimat jest łagodny przez cały rok.	het hele jaar; jaar rond	Het klimaat is hier het hele jaar mild.	året runt; hela året	Klimatet här är milt året runt.	året rundt; hele året	Klimaet her er mildt året rundt.	året rundt; hele året	Klimaet her er mildt året rundt.	ympäri vuoden; koko vuoden	Täällä ilmasto on leuto ympäri vuoden.
3728:长寿	长寿	长寿	długowieczność; długie życie	Zdrowe nawyki życiowe sprzyjają długowieczności.	lang leven; levensduur	Gezonde leefgewoonten helpen bij een lang leven.	lång livslängd; livskraft	Hälsosamma levnadsvanor bidrar till ett långt liv.	lang levetid; langt liv	Sunne levevaner bidrar til et langt liv.	lang levetid; langt liv	Sunde livsvaner hjælper med et langt liv.	pitkäikäisyys; pitkä elämä	Terveelliset elämäntavat auttavat elämään pitkään.
3729:常温	常温	常温	temperatura pokojowa; normalna temperatura	Ten lek można przechowywać w temperaturze pokojowej.	kamertemperatuur; normale temperatuur	Dit medicijn kan bij kamertemperatuur worden bewaard.	rumstemperatur; normal temperatur	Den här medicinen kan förvaras i rumstemperatur.	romtemperatur; normal temperatur	Denne medisinen kan oppbevares ved romtemperatur.	stuetemperatur; normal temperatur	Denne medicin kan opbevares ved stuetemperatur.	huoneenlämpö; normaali lämpötila	Tätä lääkettä voi säilyttää huoneenlämmössä.
3730:场次	场次	场次	seans; termin występu	Dzisiejszy występ ma trzy seanse.	voorstellingstijd; sessie	De voorstelling van vandaag heeft drie tijden.	föreställningstid; pass	Dagens föreställning har tre tider.	forestillingstid; økt	Dagens forestilling har tre tider.	forestillingstid; omgang	Dagens forestilling har tre spilletider.	esitysaika; näytös	Tämän päivän esityksellä on kolme näytösaikaa.
