simplified	HU	example_HU
鞭炮	petárda	A tavaszünnep idején néhányan petárdát gyújtanak.
便	azután; akkor	Evés után órára ment.
辩论	vita; vitázni	Erről a kérdésről vitáznak.
标点	írásjel	Kérlek, figyelj az írásjelekre.
标志	jel; szimbólum	A piros lámpa a megállás jele.
表达	kifejezni	Kifejezte a saját véleményét.
表面	felület	Az asztal felülete nagyon tiszta.
表明	jelez; kimutat	Az eredmény azt mutatja, hogy igaza van.
表情	arckifejezés	Az arckifejezése nagyon komoly.
表现	teljesítmény; viselkedés	Ma nagyon jól teljesített.
冰激凌	fagylalt	A gyerekek szeretnek fagylaltot enni.
病毒	vírus	Ez a vírus nagyon gyorsan terjed.
播放	lejátszani	Kérlek, játszd le ezt a dalt.
玻璃	üveg	Az üvegpohár eltört.
博物馆	múzeum	A hétvégén múzeumba megyünk.
脖子	nyak	Kicsit fáj a nyakam.
不断	folyamatosan	Az árak folyamatosan emelkednek.
不见得	nem feltétlenül	Ez nem feltétlenül rossz dolog.
不耐烦	türelmetlen	Hosszú várakozás után kissé türelmetlen lett.
不要紧	nem baj	Nem baj, nem számít.
补充	kiegészíteni	Szeretnék hozzátenni egy véleményt.
不安	nyugtalan	A hír hallatán nyugtalannak érezte magát.
不得了	nagyon komoly	Ez az ügy igazán komoly.
不然	különben	Indulj gyorsan, különben elkésel.
不如	jobb lenne	Jármű helyett jobb lenne gyalog menni.
不足	nem elég	Itt nincs elég víz.
布	szövet	Ez a szövet nagyon puha.
步骤	lépés	Kérlek, a lépések szerint végezd a műveletet.
部门	osztály; részleg	Az értékesítési osztályon dolgozom.
财产	vagyon	Ez a ház az ő vagyona.
彩虹	szivárvány	Az eső után szivárvány jelent meg.
踩	rálépni	Ne lépj a fűre.
采访	interjút készíteni	A riporter interjút készít az orvossal.
采取	alkalmazni; meghozni	Új módszert alkalmaztunk.
参考	hivatkozni; megnézni	Kérlek, nézd meg ezt a könyvet.
参与	részt venni	Aktívan részt vesz a programokban.
惭愧	szégyellni magát	Szégyellem magam a saját hibám miatt.
操场	sportpálya	A diákok a sportpályán futnak.
操心	aggódni	Ne aggódj miattam.
册	kötet	Vettem egy könyvkötetet.
测验	dolgozat; teszt	Holnap lesz egy kis dolgozat.
曾经	valaha; korábban	Valaha Pekingben éltem.
叉子	villa	Villával eszem a salátát.
差距	különbség; szakadék	Különbség van a városok és a falvak között.
插	beletenni; beszúrni	Kérlek, tedd a virágokat a vázába.
拆	lebontani; szétszedni	A munkások lebontják a régi házat.
产品	termék	Ennek a terméknek nagyon jó a minősége.
产生	keletkezni; létrehozni	Ez a kérdés új hatást váltott ki.
常识	józan ész; alapismeret	Ez alapvető józan ész.
长途	hosszú távú	A hosszú távú utazás fárasztó.
抄	lemásolni	Kérlek, ne másold le mások házi feladatát.
超级	szuper; óriási	Ez egy szupermarket.
朝	dinasztia	A Tang-dinasztia nagyon híres.
潮湿	nedves; nyirkos	Délen a nyár nagyon párás.
吵	zajos	Odakint nagyon zajos.
吵架	veszekedni	Megint összevesztek.
炒	pirítani; wokban sütni	Anya ételt pirít.
车库	garázs	Az autó a garázsban áll.
车厢	vagon	Ez a vonatkocsi nagyon csendes.
彻底	alaposan	Teljesen megértette.
沉默	hallgatag; csendes	Végig hallgatott.
趁	kihasználni	Induljunk, amíg még nincs sötét.
称	lemérni	Kérlek, mérd le ezt a csomagot.
称呼	megszólítás; szólítani	Nem tudom, hogyan szólítsam meg.
称赞	megdicsérni	A tanár megdicsérte a fejlődését.
成分	összetevő	Ennek a gyógyszernek egyszerűek az összetevői.
成果	eredmény	Ez a projekt eredményeket ért el.
成就	eredmény; teljesítmény	Sok eredménye van a pályáján.
成立	megalakulni	A cég tavaly alakult meg.
成人	felnőtt	A felnőttjegy drágább, mint a gyerekjegy.
成熟	érett	Az alma már érett.
成语	szólás; kínai idióma	Ezt a szólást gyakran használják.
成长	felnőni; növekedni	A gyerek lassan felnő.
承担	vállalni	Hajlandó felelősséget vállalni.
承认	beismerni	Beismerte, hogy tévedett.
承受	elviselni	Nem bírok el ekkora nyomást.
程度	fok; szint	A kínai nyelvi szintje nagyon magas.
程序	eljárás; program	Kérlek, az eljárás szerint intézd.
诚恳	őszinte	A hozzáállása nagyon őszinte.
吃亏	rosszul járni	Vásárlás előtt nézd meg alaposan, hogy ne járj rosszul.
持续	folytatódni; tartani	Az eső három napig tartott.
池塘	tó; tavacska	A tóban sok hal van.
迟早	előbb-utóbb	Előbb-utóbb meg fogod érteni.
尺子	vonalzó	Kérlek, mérd meg vonalzóval.
翅膀	szárny	A madár szárnya megsérült.
充电器	töltő	Elromlott a töltőm.
充分	elegendő; teljes	Alaposan felkészültünk.
充满	telve van	A szoba tele volt nevetéssel.
冲	kiöblíteni; leöblíteni	Kérlek, öblítsd ki vízzel a poharat.
重复	megismételni	Kérlek, ne ismételd meg ugyanazt a hibát.
宠物	háziállat	Egy kutyát tart háziállatként.
抽屉	fiók	A kulcs a fiókban van.
抽象	elvont	Ez a fogalom túl elvont.
丑	csúnya	Ez a fénykép egy kicsit csúnya.
臭	büdös	A szemét büdös.
出版	kiadni	Ezt a könyvet tavaly adták ki.
出口	kijárat	A kijárat elöl van.
出色	kiváló	A teljesítménye kiváló.
出示	felmutatni	Kérjük, mutassa fel az útlevelét.
出席	részt venni	Részt fog venni az értekezleten.
初级	kezdő; alapfokú	Kezdő kínai csoportban tanulok.
除非	hacsak nem	Hacsak nem esik, holnap kirándulni megyünk.
除夕	holdújév előestéje	Holdújév előestéjén az egész család együtt eszik.
处理	kezelni; elintézni	Én kezelem ezt a problémát.
传播	terjedni; terjeszteni	Ez a hír nagyon gyorsan terjedt.
传染	megfertőzni; terjedni	A megfázás könnyen terjed.
传说	legenda	Ez egy régi legenda.
传统	hagyomány; hagyományos	A tavaszünnep hagyományos kínai ünnep.
窗帘	függöny	Kérlek, húzd el a függönyt.
闯	berohanni; megszegni	Véletlenül átment a piroson.
创造	alkotni; létrehozni	Az emberek új eszközöket hoztak létre.
吹	fújni	Erősen fúj a szél.
词汇	szókincs; szó	Ezt a szót gyakran használják.
辞职	felmondani	Úgy döntött, hogy felmond.
此外	ezenkívül	Ezenkívül van még egy kérdésem.
刺激	izgalmas; ingerel	Ez a játék nagyon izgalmas.
次要	másodlagos	Ez a probléma másodlagos.
匆忙	sietős	Sietve ment el otthonról.
从此	ettől kezdve	Ettől kezdve mindennap edzett.
从而	ezáltal	Szorgalmasan tanult, és ezáltal átment a vizsgán.
从前	régen	Régen itt nem volt metró.
从事	foglalkozni valamivel	Az oktatás területén dolgozik.
粗糙	durva; érdes	Ez a papírlap nagyon érdes.
促进	elősegíteni	A testmozgás elősegítheti az egészséget.
促使	késztetni	Ez az ügy arra késztette, hogy megváltoztassa a tervét.
醋	ecet	Ecetet tettek az ételbe.
催	sürgetni	Anya sürgetett, hogy gyorsan menjek ki.
存在	létezni	Ez a probléma még mindig létezik.
措施	intézkedés	Az iskola biztonsági intézkedéseket hozott.
答应	beleegyezni; megígérni	Beleegyezett, hogy segít nekem.
达到	elérni	Az eredményei elérték a követelményt.
打工	dolgozni; diákmunkát végezni	Nyári szünetben egy étteremben dolgozik.
打交道	kapcsolatban lenni	Gyakran vagyok kapcsolatban ügyfelekkel.
打喷嚏	tüsszenteni	Megfázott, és folyton tüsszent.
打听	érdeklődni	Szeretnék érdeklődni a vonatjegyekről.
大方	nagylelkű	Nagyon nagylelkű a pénzzel.
大厦	nagy épület	Az a nagy épület nagyon magas.
大象	elefánt	A gyerekek elefántokat néznek az állatkertben.
大型	nagy méretű; nagyszabású	Itt egy nagy bevásárlóközpont fog épülni.
呆	maradni; bambulni	Otthon marad olvasni.
代表	képvisel; képviselő	Ez a virág a barátságot jelképezi.
代替	helyettesíteni	Ma helyette én veszek részt az értekezleten.
待遇	juttatás; bánásmód	Ennél a cégnél jók a juttatások.
贷款	hitel	Lakáshitelt igényeltek.
单纯	egyszerű	Az elképzelése nagyon egyszerű.
单调	egyhangú	Ez a munka egy kicsit egyhangú.
单独	egyedül	Szeretnék négyszemközt beszélni veled.
单位	egység; munkahely	Egy állami intézménynél dolgozik.
单元	egység	Ma a harmadik leckét tanuljuk.
担任	betölteni; ellátni	Ő felel ezért az eseményért.
耽误	késleltetni; vesztegetni	Ne vesztegesd mindenki idejét.
胆小鬼	gyáva	Ne nevezd őt gyávának.
淡	enyhe; ízetlen	Ez a leves egy kicsit ízetlen.
当地	helyi	A helyiek mind szeretik ezt a piacot.
当心	vigyázni	Csúszós az út, vigyázz.
挡	elzárni; akadályozni	Ez az autó elzárja a bejáratot.
倒霉	balszerencsés	Ma igazán balszerencsés napom van, elvesztettem a telefonom.
导演	rendező	Ez a rendező nagyon híres.
导致	okozni	A nagy eső forgalmi dugót okozott.
岛屿	sziget	Ennek az országnak sok szigete van.
到达	megérkezni	A vonat időben megérkezett Sanghajba.
道德	erkölcs	Az embernek legyenek erkölcsi elvei.
道理	érv; igazság	Amit mondott, nagyon ésszerű.
登记	regisztrálni	Kérjük, először regisztráljon a recepción.
等待	várni	Várjuk az eredményt.
等于	egyenlő	Öt meg öt egyenlő tízzel.
滴	csepp	Egy csepp víz esett az asztalra.
敌人	ellenség	Ők nem ellenségek.
的确	valóban	Ez az ügy valóban nagyon fontos.
地道	autentikus	Autentikus pekingi dialektust beszél.
地理	földrajz	Nagyon érdekel Kína földrajza.
地区	térség; régió	Ez a térség télen nagyon hideg.
地毯	szőnyeg	A nappaliban szőnyeg van leterítve.
地位	helyzet; státusz	Az oktatásnak fontos helye van a társadalomban.
地震	földrengés	Tegnap éjjel itt földrengés történt.
递	átadni	Kérlek, add át ezt a levelet a tanárnak.
点心	harapnivaló; sütemény	Délután harapnivalót ettünk.
电池	elem; akkumulátor	Ehhez a játékhoz két elem kell.
电台	rádióállomás	Egy rádióállomáson vezet műsort.
钓	horgászni	Nagypapa szeret a folyóparton horgászni.
顶	kalapok számlálószava; teteje	Fekete kalapot visel.
冻	megfagyni	Odakint olyan hideg van, hogy a víz megfagyott.
动画片	rajzfilm	A gyerekek rajzfilmet néznek.
洞	lyuk; barlang	A falon van egy kis lyuk.
豆腐	tofu	Ez a tofus étel finom.
逗	megnevettetni; ugratni	A szavai mindenkit megnevettettek.
独立	önálló	Önállóan szeretne élni.
独特	egyedi	Ennek a városnak egyedi kultúrája van.
度过	eltölteni; átvészelni	A tengerparton töltöttük az ünnepet.
断	elszakadni; eltörni	Ez a kötél elszakadt.
堆	halom; felhalmozódni	Sok irat halmozódott fel az asztalon.
兑换	pénzt váltani	Szeretnék néhány jüant váltani.
对比	összehasonlítani	Kérlek, hasonlítsd össze ezt a két tervet.
对待	bánni valakivel	Mindenkivel igazságosan kell bánnunk.
对方	másik fél	Kérlek, először hallgasd meg a másik fél véleményét.
对手	ellenfél	Az ellenfele nagyon erős.
对象	tárgy; partner	A kutatás alanyai egyetemisták.
吨	tonna	Ez a teherautó három tonna árut tud szállítani.
蹲	guggolni	A földön guggolva keresi a kulcsait.
顿	alkalom; étkezés	Együtt vacsoráztunk.
多亏	hála valaminek	Hála a segítségednek, befejeztem a feladatot.
多余	felesleges	Ez a mondat felesleges.
朵	virágok számlálószava	Az asztalon van egy virág.
躲藏	elbújni	A kiscica az ágy alatt bújik el.
恶劣	rossz; súlyos	Ma nagyon rossz az idő.
耳环	fülbevaló	Egy pár fülbevalót visel.
发表	közzétenni; kifejteni	Az értekezleten kifejtette a véleményét.
发愁	aggódni	Ne aggódj emiatt az apróság miatt.
发达	fejlett	Ebben a városban fejlett a közlekedés.
发抖	reszketni	A hidegtől reszket.
发挥	kiaknázni; érvényesíteni	Kérlek, használd a képzelőerődet.
发明	feltalálni; találmány	Az elektromos lámpa fontos találmány.
发票	számla	Kérek róla számlát.
发言	felszólalni	Az értekezleten felszólalt.
罚款	bírság; megbírságolni	A szabálytalan parkolásért bírság jár.
法院	bíróság	Ezt az ügyet átadták a bíróságnak.
翻	lapozni; megfordítani	Kérlek, lapozd a könyvet a tizedik oldalra.
繁荣	virágzó	A gazdaság fokozatosan virágzóvá válik.
反而	ellenkezőleg; inkább	Nem haragudott, hanem inkább nevetett.
反复	ismételt; újra meg újra	Ezt a mondatot ismételten gyakorolni kell.
反应	reakció	Gyors a reakciója.
反映	tükrözni	Ez a jelentés a valós helyzetet tükrözi.
反正	akárhogy is	Akárhogy is, holnap van időm.
范围	kör; terjedelem	Kérlek, ne lépd túl ezt a kört.
方	négyzet	Kérlek, rajzolj egy négyzetet a papírra.
方案	terv; javaslat	Ez a terv elég ésszerű.
方式	mód; módszer	Ez a tanulási módszer nagyon hatékony.
妨碍	akadályozni	Kérlek, ne akadályozd mások munkáját.
仿佛	mintha	Mintha mindent tudna.
非	nem; muszáj	Ezt az ügyet nélküled nem lehet megcsinálni.
肥皂	szappan	Kézmosáskor használj szappant.
废话	ostobaság; felesleges beszéd	Elég a felesleges beszédből, kezdjük gyorsan.
分别	elválni	Az állomáson elváltak egymástól.
分布	elhelyezkedni; megoszlani	Ezek az üzletek az egész városban megtalálhatók.
分配	kiosztani; elosztani	A tanár új feladatot osztott ki.
分手	szakítani	Tavaly szakítottak.
分析	elemezni	Elemeznünk kell az okokat.
纷纷	egymás után	Mindenki egymás után fejezte ki az egyetértését.
奋斗	küzdeni; törekedni	A fiataloknak küzdeniük kell az álmaikért.
疯狂	őrült; vad	A rajongók vadul ujjongtak.
风格	stílus	Ennek az étteremnek nagyon jellegzetes a stílusa.
风景	táj	A hegyi táj gyönyörű.
风俗	szokás	Minden helynek megvannak a saját szokásai.
风险	kockázat	A befektetés bizonyos kockázattal jár.
讽刺	gúnyolni; szatíra	Ez a cikk társadalmi problémákat gúnyolt ki.
否定	tagadni	Tagadta ezt az állítást.
否认	letagadni	Tagadta, hogy hibázott volna.
幅	képek számlálószava	A falon egy kép lóg.
扶	támogatni; felsegíteni	Kérlek, segítsd át az időseket az úton.
服装	ruházat	Ez az üzlet gyerekruhákat árul.
辅导	korrepetálni; segíteni	A tanár óra után korrepetálja a diákokat.
复制	másolni	Kérlek, másold le ezt a dokumentumot.
妇女	nő	Ez a kórház nőknek nyújt szolgáltatásokat.
改革	reform; megreformálni	Az iskola oktatási reformot hajt végre.
改进	javítani	Javítanunk kell a szolgáltatás minőségén.
改善	javítani	A testmozgás javíthatja az alvást.
改正	kijavítani	Kérlek, időben javítsd ki a hibákat.
概括	összefoglalni	Kérlek, foglald össze a cikk tartalmát.
概念	fogalom	Ezt a fogalmat nem könnyű megérteni.
盖	lefedni	Kérlek, fedd le rendesen a poharat.
干脆	egyszerűen; inkább	Inkább ne menj ma.
干燥	száraz	Északon a tél nagyon száraz.
感激	hálás	Nagyon hálás vagyok a segítségedért.
感受	érzés; átélni	Megértem az érzéseidet.
感想	gondolat; benyomás	Kérlek, beszélj a gondolataidról.
赶紧	sietni	Későre jár, siess és indulj.
赶快	gyorsan	Gyorsan csukd be az ajtót.
干活儿	dolgozni	Az udvaron dolgozik.
钢铁	acél	Ez a híd acélból készült.
高档	magas kategóriájú	Ez egy magas kategóriájú szálloda.
高级	haladó; magas szintű	Haladó kínai csoporthoz csatlakozott.
搞	csinálni; szervezni	Milyen programot szervezel?
告别	elbúcsúzni	A repülőtéren elbúcsúztunk a barátunktól.
格外	különösen	Ma különösen kék az ég.
隔壁	szomszéd; mellettünk	A szomszédban egy tanár lakik.
个别	egyéni; néhány	Néhány diák még nem adta be a házi feladatát.
个人	személyes	Ez az én személyes véleményem.
个性	egyéniség; személyiség	Nagyon erős egyénisége van.
各自	saját; külön-külön	Mindenki elvégzi a saját feladatát.
根	hosszú vékony tárgy számlálószava	Az asztal alatt van egy vezeték.
根本	egyáltalán; alapvető	Ez a probléma egyáltalán nem nehéz.
公布	közzétenni	Az iskola közzétette a vizsgaeredményeket.
公开	nyilvános	Ez az értekezlet nyilvános.
公平	igazságos	A versenynek igazságosnak kell lennie.
公寓	lakás	Kibérelt egy kis lakást.
公元	időszámításunk szerint	Az idei év időszámításunk szerint 2026.
公主	hercegnő	A kislány szereti a hercegnős történeteket.
功能	funkció	Ennek a szoftvernek sok funkciója van.
工厂	gyár	Ez a gyár autókat gyárt.
工程师	mérnök	A bátyám mérnök.
工具	szerszám; eszköz	A kerékpár javításához szerszámok kellenek.
工人	munkás	A munkások az utat javítják.
工业	ipar	Ez a város főként az iparra épül.
恭喜	gratulálok	Gratulálok, hogy átmentél a vizsgán.
贡献	hozzájárulás; hozzájárulni	Hozzájárult a cég sikeréhez.
沟通	kommunikáció; kommunikálni	A jó kommunikáció nagyon fontos.
构成	alkotni; képezni	Ezek az alkatrészek egy egészet alkotnak.
姑姑	apja lánytestvére	A hétvégén meglátogatom a nagynénémet.
姑娘	lány; fiatal nő	Az a fiatal nő nagyon segítőkész.
古代	ókor; régi idők	Régen nem volt mobiltelefon.
古典	klasszikus	Szeretem a klasszikus zenét.
股票	részvény	Vett néhány részvényt.
骨头	csont	Ez a csont nagyon kemény.
鼓舞	bátorítani; lelkesíteni	Ez a hír nagyon bátorító.
鼓掌	tapsolni	A közönség tapsolt a színészeknek.
固定	rögzített; állandó	Állandó munkaidőm van.
挂号	regisztrálni; sorszámot kérni	Orvoshoz menés előtt regisztrálni kell.
乖	jól nevelt	Ez a gyerek nagyon jól nevelt.
拐弯	kanyarodni	Az elöl lévő kereszteződésnél fordulj jobbra.
怪不得	nem csoda	Nem csoda, hogy ilyen fáradt vagy.
关闭	bezárni; kikapcsolni	Kérlek, indulás előtt kapcsold ki a számítógépet.
官	hivatalnok	Fiatal hivatalnok.
观察	megfigyelni	Az orvos megfigyeli a beteg állapotát.
观点	nézőpont	Egyetértek a nézőpontoddal.
观念	felfogás; elképzelés	A fiatalok felfogása változik.
管子	cső	Ez a cső ereszti a vizet.
冠军	bajnok	Megnyerte a verseny bajnoki címét.
光滑	sima	Ennek az asztalnak a felülete nagyon sima.
光临	megtisztelni jelenlétével	Szeretettel várjuk, hogy legközelebb is ellátogasson hozzánk.
光明	fényes	A jövő fényes.
光盘	lemez	Kérlek, mentsd az anyagokat a lemezre.
广场	tér	A téren sok ember van.
广大	széles körű; nagyszámú	Ezt a hírt sok diák örömmel fogadta.
广泛	széles körű	Ennek a könyvnek széles körű hatása van.
归纳	összefoglalni	A tanár segített összefoglalni a fő pontokat.
规矩	szabály	A gyerekeknek érteniük kell a szabályokat.
规律	rendszeresség; törvényszerűség	Az életnek legyen rendszeres ritmusa.
规模	méret; lépték	Ez a vállalat nagy méretű.
规则	szabály	A versenyszabályok nagyon világosak.
柜台	pult	Kérjük, a pultnál fizessen.
滚	forrni	A víz már forr.
锅	lábas; fazék	Forró leves van a lábasban.
国庆节	nemzeti ünnep	Nemzeti ünnepen szabadságunk van.
国王	király	A király a palotában él.
果然	ahogy várható volt	Ahogy várható volt, időben megérkezett.
果实	gyümölcs; eredmény	A fa tele van gyümölccsel.
过分	túlzott	A kérése egy kicsit túlzott.
过敏	allergiás	Allergiás vagyok a virágporra.
过期	lejárni	Ez a palack tej már lejárt.
哈	ha; haha	Ha, végre megértettem.
海关	vám	A vámnál sorban álltunk ellenőrzésre.
海鲜	tenger gyümölcsei	Ennek az étteremnek nagyon frissek a tengeri ételei.
喊	kiabálni	Ne kiabálj hangosan az osztályteremben.
行业	iparág	A turizmus gyorsan fejlődik.
豪华	luxus	Luxusszállodában laknak.
好客	vendégszerető	A helyiek nagyon vendégszeretők.
好奇	kíváncsi	A gyerekek nagyon kíváncsiak a világra.
何必	minek; miért kell	Minek haragudni egy apróság miatt?
何况	nem is beszélve arról	Ma hideg van, nem is beszélve arról, hogy esik.
合法	törvényes	Ez a szerződés törvényes.
合理	ésszerű	Ez az ár ésszerű.
合同	szerződés	Szerződést írtak alá.
合影	csoportkép	Diplomázáskor csoportképet készítettünk.
合作	együttműködés	Együttműködéssel fejeztük be a projektet.
和平	béke	Mindenki békét remél.
核心	mag; központi elem	A bizalom az együttműködés magja.
恨	gyűlölni; bánni	Bánja, hogy korábban nem dolgozott keményen.
猴子	majom	Az állatkertben több majom van.
后背	hát	Kicsit fáj a háta.
后果	következmény	Át kell gondolnod a következményeket.
呼吸	lélegezni	Kérlek, vegyél egy mély levegőt.
忽然	hirtelen	Az ég hirtelen elsötétült.
忽视	figyelmen kívül hagyni	Ne hagyd figyelmen kívül ezt a problémát.
壶	kanna	Az asztalon van egy kanna tea.
糊涂	zavarodott	Ma egy kicsit zavarodott vagyok.
胡说	ostobaságot beszélni	Ne beszélj ostobaságot, ez nem igaz.
胡同	sikátor	Pekingben sok régi sikátor van.
蝴蝶	pillangó	A kertben van egy pillangó.
花生	földimogyoró	Szeret földimogyorót enni.
华裔	kínai származású	Kínai származású író.
滑	csúszós	A padló csúszós, vigyázz.
划	evezni	A csónakban ő felel az evezésért.
化学	kémia	Az egyetemen kémiát tanult.
话题	téma	Ez a téma nagyon érdekes.
怀念	hiányolni; nosztalgiával gondolni	Nagyon hiányzik neki az egyetemi élet.
怀孕	terhes	Három hónapos terhes.
缓解	enyhíteni	A pihenés enyhítheti a stresszt.
幻想	fantáziálni	Gyakran arról fantáziál, hogy az űrbe utazik.
慌张	pánikba esett	Ha problémába ütközöl, ne ess pánikba.
黄金	arany	Az arany ára megint emelkedett.
恢复	felépülni; helyreállni	A teste felépülőben van.
挥	inteni	Intett a kezével.
灰	szürke	Az ég szürke.
灰尘	por	Sok por van az asztalon.
灰心	elcsüggedni	Akkor se csüggedj el, ha kudarcot vallasz.
汇率	árfolyam	Mennyi a mai árfolyam?
婚礼	esküvő	Az esküvőjük nagyon egyszerű volt.
婚姻	házasság	A házassághoz kölcsönös megértés kell.
活跃	aktív	Órán nagyon aktív.
伙伴	társ; partner	Ő a legjobb társam.
火柴	gyufa	Már csak egy gyufa maradt a dobozban.
或许	talán	Talán holnap esni fog.
基本	alapvető	Ezek alapvető követelmények.
机器	gép	Ez a gép elromlott.
激烈	heves; intenzív	A verseny nagyon heves volt.
肌肉	izom	Edzés után kicsit fájnak az izmaim.
及格	átmenni a vizsgán	Átment ezen a vizsgán.
急忙	sietve	Sietve kifutott az osztályteremből.
急诊	sürgősségi osztály	A beteget a sürgősségi osztályra vitték.
极其	rendkívül	Ez az ügy rendkívül fontos.
集合	gyülekezni	Kérjük, nyolc órakor gyülekezzenek a bejáratnál.
集体	csoportos; közösség	Ez csoportos tevékenység.
集中	összpontosítani	Órán összpontosítanod kell.
寂寞	magányos	Egyedül élni néha magányos.
系领带	nyakkendőt kötni	Minden nap munka előtt megköti a nyakkendőjét.
纪录	rekord	Megdöntötte az iskolai rekordot.
纪律	fegyelem	Az órai fegyelem nagyon fontos.
纪念	megemlékezni	Fényképeket készítettünk, hogy megemlékezzünk erről a napról.
计算	kiszámítani	Kérlek, számítsd ki a teljes költséget.
记录	feljegyezni	Kérlek, jegyezd fel az értekezlet tartalmát.
记忆	emlék	Ez az emlék nagyon értékes.
嘉宾	vendég	A mai vendég egy író.
夹子	csipesz; iratkapocs	Kérlek, fogd össze az iratokat egy iratkapoccsal.
家庭	család	A család nagyon fontos a gyerekek számára.
家务	házimunka	Hétvégén házimunkát kell végeznem.
家乡	szülőváros; szülőföld	Nagyon hiányzik a szülővárosom.
假如	ha	Ha holnap esik, nem megyünk.
假设	feltételezni	Tegyük fel, hogy te vagy a tanár; mit tennél?
假装	tettetni	Úgy tett, mintha nem hallaná.
甲	A fél	A félnek időben kell fizetnie.
价值	érték	Ez a könyv nagyon értékes.
嫁	férjhez menni	Jövőre férjhez megy a barátjához.
驾驶	vezetni	Autóvezetéskor vezess óvatosan.
兼职	részmunkaidős munka	Este részmunkaidőben dolgozik.
坚决	határozott	Határozottan nem ért egyet ezzel a döntéssel.
坚强	erős	Erős ember.
肩膀	váll	Megsérült a válla.
艰巨	nehéz; megerőltető	Ez nehéz feladat.
艰苦	nehéz; kemény	Nehéz életet éltek át.
剪刀	olló	Kérlek, add ide az ollót.
捡	felvesz	Felvette a pénztárcát a földről.
简历	önéletrajz	Álláskeresés előtt készíts önéletrajzot.
简直	egyszerűen	Ez a hír egyszerűen megdöbbentő.
健身	edzeni	Hetente háromszor jár edzeni.
建立	létrehozni	Új kapcsolatot hoztunk létre.
建设	építés; fejlesztés	A városépítés gyorsan fejlődik.
建筑	épület	Ennek az épületnek jellegzetes vonásai vannak.
键盘	billentyűzet	A billentyűzetemet meg kell tisztítani.
讲究	figyelmet fordítani valamire	A kínaiak nagy figyelmet fordítanak az étkezésre.
讲座	előadás	Ma este lesz egy kínai nyelvi előadás.
酱油	szójaszósz	Tegyél egy kevés szójaszószt az ételbe.
交换	kicserélni	Telefonszámot cseréltünk.
交际	társas érintkezés	Nyelvtanuláskor a társas érintkezést is gyakorolni kell.
交往	kapcsolatban lenni	Két éve járnak egymással.
浇	öntözni	Kérlek, minden nap öntözd meg a virágokat.
胶水	ragasztó	Ragasztóval ragasztottam fel a fényképet.
狡猾	ravasz	Az a róka nagyon ravasz.
角度	szög; nézőpont	Nézzük a problémát egy másik nézőpontból.
教材	tankönyv; tananyag	Ez a tankönyv nagyon gyakorlatias.
教练	edző	Az edző megköveteli, hogy időben érkezzünk.
教训	tanulság	Ez a kudarc tanulság.
接触	kapcsolat; érintkezés	Ez az első találkozásom a kínai kultúrával.
接待	fogadni	A cég kijelölt valakit a vendégek fogadására.
