simplified	KA	example_KA
报答	სამაგიეროს გადახდა	შენს დახმარებას საქმით გადაგიხდი.
报复	შურისძიება	შურისძიება კონფლიქტს მხოლოდ გააღრმავებს.
报警	პოლიციაში შეტყობინება	ხანძრის აღმოჩენის შემდეგ მაშინვე პოლიციას უნდა აცნობო.
报销	ხარჯის ანაზღაურება	სამივლინებო ხარჯები ანაზღაურდება.
抱负	ამბიცია	მას ბავშვობიდან დიდი ამბიციები აქვს.
暴力	ძალადობა	ჩვენ ძალადობის ყველა ფორმას ვეწინააღმდეგებით.
暴露	გამჟღავნება	ეს პრობლემა თანდათან გამჟღავნდა.
曝光	გამჟღავნება	ამ ფოტოს გამოჩენამ ყურადღება მიიქცია.
爆发	აფეთქება	ვულკანი უეცრად ამოიფრქვა.
爆炸	აფეთქება	ლაბორატორიაში აფეთქება მოხდა.
卑鄙	საძაგელი	ასეთი საძაგელი ქცევა ბრაზს იწვევს.
悲哀	სევდიანი	ამ ამბის გაგონების შემდეგ ის ძალიან სევდიანი გახდა.
悲惨	ტრაგიკული	ეს ისტორიის ტრაგიკული პერიოდი იყო.
北极	ჩრდილოეთ პოლუსი	მეცნიერები ჩრდილოეთ პოლუსზე კვლევას ატარებენ.
备份	სარეზერვო ასლი	გთხოვ, ჯერ მნიშვნელოვანი ფაილების სარეზერვო ასლი შექმენი.
备忘录	სამახსოვრო ჩანაწერი	მან მთავარი საკითხები სამახსოვრო ჩანაწერში ჩაწერა.
背叛	ღალატი	მან მეგობრის ღალატი ვერ მიიღო.
背诵	ზეპირად თქმა	მოსწავლეები ტექსტს ზეპირად ამბობენ.
被动	პასიური	მოლაპარაკებაში ძალიან პასიურები არ უნდა ვიყოთ.
被告	ბრალდებული	ბრალდებულმა ყველა ბრალდება უარყო.
贝壳	ნიჟარა	ბავშვმა ზღვის ნაპირზე ნიჟარები აკრიფა.
奔波	აქეთ-იქით სირბილი	სამუშაოს გამო ის ყველგან აქეთ-იქით დარბის.
奔驰	სწრაფად ქროლა	მანქანა გზატკეცილზე სწრაფად მიქროდა.
本能	ინსტინქტი	ბავშვის დაცვა მშობლის ინსტინქტია.
本钱	საწყისი კაპიტალი	ბიზნესის დაწყებას საწყისი კაპიტალი სჭირდება.
本人	პირადად მე	პირადად მე პასუხისმგებლობის აღება მსურს.
本身	თავად	თავად ამ გეგმას პრობლემა არ აქვს.
本事	უნარი	მას დიდი უნარი აქვს.
笨拙	მოუქნელი	მისი მოძრაობები ცოტა მოუქნელია.
崩溃	ჩამოშლა	სისტემა მოულოდნელად ჩამოიშალა.
甭	არ არის საჭირო	ამაზე ფიქრი არ არის საჭირო.
蹦	ხტუნვა	ლეკვი ბალახზე აქეთ-იქით ხტუნავდა.
迸发	ამოხეთქვა	ბრბოდან ტაში ერთბაშად ამოხეთქა.
逼迫	იძულება	მათ ის ხელშეკრულების ხელმოწერას აიძულეს.
鼻涕	ცხვირიდან გამონადენი	ბავშვს გაციება აქვს და ცხვირიდან გამონადენი არ წყდება.
比方	მაგალითად	მაგალითად, შეგვიძლია ჯერ ერთი თვე ვცადოთ.
比喻	მეტაფორა	ეს მეტაფორა ძალიან ნათელია.
比重	წილი	მომსახურების სექტორის წილი სულ უფრო იზრდება.
鄙视	ზიზღით ყურება	სხვის ძალისხმევას ზიზღით ნუ უყურებ.
弊病	ნაკლი	ამ სისტემას ბევრი ნაკლი აქვს.
弊端	ხარვეზი	ახალმა გეგმამ ძველი სისტემის ხარვეზები მოაგვარა.
臂	მკლავი	მისი მარჯვენა მკლავი დაშავდა.
闭塞	იზოლირებული	ამ მთის სოფელში ადრე ტრანსპორტი ძალიან იზოლირებული იყო.
编织	ქსოვა	ბებია სვიტერს ქსოვს.
边疆	სასაზღვრო მხარე	ბევრი ჯარისკაცი სამშობლოს სასაზღვრო მხარეს იცავს.
边界	საზღვარი	ორმა ქვეყანამ საზღვარი ხელახლა განსაზღვრა.
边境	სასაზღვრო ტერიტორია	სასაზღვრო ტერიტორიებზე უსაფრთხოების შემოწმება გაძლიერდა.
边缘	კიდე	ჭიქა მაგიდის კიდეზე დევს.
鞭策	წახალისება	მასწავლებლის სიტყვები მუდამ მამხნევებდა.
扁	ბრტყელი	ეს ყუთი ფართო და ბრტყელია.
贬低	დაკნინება	სხვის ძალისხმევას ასე ნუ დააკნინებ.
贬义	უარყოფითი მნიშვნელობა	ამ სიტყვას აქ უარყოფითი მნიშვნელობა აქვს.
便利	მოსახერხებელი	მეტრო გადაადგილებას უფრო მოსახერხებელს ხდის.
便条	ჩანაწერი	მან მაგიდაზე პატარა ჩანაწერი დატოვა.
便于	მოსახერხებელია	ეს დიზაინი მოხუცებისთვის გამოსაყენებლად მოსახერხებელია.
变故	მოულოდნელი უბედურება	ოჯახში მოულოდნელი უბედურება მოხდა.
变迁	ცვლილებები	ქალაქის ცვლილებებმა მას ბევრი რამ გაახსენა.
变质	გაფუჭება	რძე დიდხანს თუ დარჩა, გაფუჭდება.
辨认	ამოცნობა	პოლიციამ სთხოვა ფოტოზე ადამიანი ამოეცნო.
辩护	დაცვა	ადვოკატი ბრალდებულს იცავდა.
辩解	თავის მართლება	ის თავის შეცდომას იმართლებდა.
辩证	დიალექტიკური	ამ პრობლემას დიალექტიკურად უნდა შევხედოთ.
辫子	ნაწნავი	პატარა გოგონას ორი ნაწნავი აქვს.
遍布	მთელზე გავრცელება	ეს მცენარე მთელ ქვეყანაშია გავრცელებული.
标本	ნიმუში	მუზეუმში ცხოველების ნიმუშებია გამოფენილი.
标记	ნიშანი	გთხოვ, მნიშვნელოვან აბზაცებთან ნიშნები გააკეთე.
标题	სათაური	ამ სტატიის სათაური ძალიან მიმზიდველია.
表决	კენჭისყრა	წარმომადგენლები წინადადებაზე კენჭს უყრიან.
表态	პოზიციის გამოხატვა	მას ჯერ საჯაროდ პოზიცია არ გამოუხატავს.
表彰	დაჯილდოება	კომპანიამ გამორჩეული თანამშრომლები დააჯილდოვა.
憋	შეკავება	მან სიცილი შეიკავა და არაფერი თქვა.
别墅	ვილა	მათ გარეუბანში ერთი ვილა იყიდეს.
别致	განსაკუთრებული	ამ კაფეს გაფორმება ძალიან განსაკუთრებულია.
别扭	უხერხული	ეს წინადადება ცოტა უხერხულად ჟღერს.
濒临	ზღვარზე ყოფნა	ეს ცხოველი გადაშენების ზღვარზეა.
冰雹	სეტყვა	გუშინ შუადღისას ძლიერი სეტყვა მოვიდა.
丙	მესამე	მესამე ჯგუფის შეჯიბრი შუადღისას იწყება.
并非	სულაც არ არის	საქმე სულაც არ არის ისე, როგორც ფიქრობ.
并列	თანაბრად ყოფნა	ეს ორი პროექტი პირველ ადგილზე თანაბრად გავიდა.
剥削	ექსპლუატაცია	ძველ საზოგადოებაში მძიმე ექსპლუატაცია არსებობდა.
拨	აკრეფა	გთხოვ, ეს ტელეფონის ნომერი აკრიფე.
播种	დათესვა	ფერმერები გაზაფხულზე თესვას იწყებენ.
波浪	ტალღა	ზღვაზე დიდი ტალღები ავარდა.
波涛	ზვირთები	ნავი ზვირთებში წინ მიიწევდა.
伯母	დეიდა	შაბათ-კვირას დეიდას ვესტუმრები.
博大精深	ფართო და ღრმა	ჩინური კულტურა ფართო და ღრმაა.
博览会	გამოფენა	საერთაშორისო გამოფენამ ბევრი კომპანია მიიზიდა.
搏斗	ბრძოლა	პოლიციელი დამნაშავეს შეებრძოლა.
薄弱	სუსტი	მისი გრამატიკის საფუძველი შედარებით სუსტია.
不顾	მიუხედავად	მან საფრთხის მიუხედავად შიგნით შეირბინა.
不愧	ნამდვილად ღირსი	ის ნამდვილად გამოცდილი ექსპერტის სახელის ღირსია.
不料	მოულოდნელად	მოულოდნელად შეხვედრა გაუქმდა.
不像话	სრულიად მიუღებელი	სტუმრებს ასე მოქცევა სრულიად მიუღებელია.
不屑一顾	უგულებელყოფა	მან ეს ჭორები ზიზღით უგულებელყო.
哺乳	ძუძუთი კვება	დედა ბავშვს ძუძუთი კვებავს.
捕捉	დაჭერა	ფოტოგრაფმა შესანიშნავი წამი დაიჭირა.
补偿	ანაზღაურება	კომპანია შენს ზარალს აგინაზღაურებს.
补救	გამოსწორება	ამის გამოსწორება ჯერ კიდევ შეგვიძლია.
补贴	სუბსიდია	მთავრობა დაბალშემოსავლიან ოჯახებს სუბსიდიას აძლევს.
不得已	იძულებული	ის იძულებული იყო, მშობლიური ქალაქი დაეტოვებინა.
不妨	არ გაწყენდა	ჯერ მის ახსნას რომ მოუსმინო, არ გაწყენდა.
不敢当	არ ვიმსახურებ	ასე რომ მაქებ, მართლა არ ვიმსახურებ.
不禁	თავი ვერ შეიკავა	ამ ამბის გაგონებაზე მან ღიმილი ვერ შეიკავა.
不堪	აუტანელი	აქაური ხმაური აუტანელია.
不可思议	დაუჯერებელი	ეს შედეგი მართლაც დაუჯერებელია.
不免	გარდაუვლად	პირველად სცენაზე გასვლისას ის გარდაუვლად ნერვიულობდა.
不时	დროდადრო	ის დროდადრო თავს სწევდა და საათს უყურებდა.
不惜	არ დაიშურა	ადამიანის გადასარჩენად მან რისკი არ დაიშურა.
不相上下	თანაბარი	ორივე გუნდის ძალა თითქმის თანაბარია.
不言而喻	თავისთავად ცხადი	პატიოსნების მნიშვნელობა თავისთავად ცხადია.
不由得	უნებურად	ძველი ფოტოს დანახვაზე ბავშვობა უნებურად გამახსენდა.
不择手段	ყველა საშუალებით	ფულის საშოვნელად ის ყველა საშუალებას იყენებს.
不止	მეტი ვიდრე	შეხვედრას ასზე მეტი ადამიანი დაესწრო.
布告	განცხადება	სკოლის კართან განცხადება გააკრეს.
布局	განლაგება	ამ ბინის განლაგება ძალიან გონივრულია.
布置	დავალება	მასწავლებელმა ახალი დავალება მისცა.
步伐	ნაბიჯი	ჯარი თანაბარი ნაბიჯით მიიწევდა წინ.
部署	დანერგვა	კომპანია ახალ გაყიდვების გეგმას ნერგავს.
部位	ადგილი	ექიმმა დაზიანებული ადგილი შეამოწმა.
才干	ნიჭი	მას მართვაში დიდი ნიჭი აქვს.
裁缝	მკერავი	ამ მკერავს ძალიან კარგი ხელობა აქვს.
裁判	მსაჯი	მსაჯმა მატჩის შეჩერება გამოაცხადა.
裁员	თანამშრომლების შემცირება	ზარალის გამო კომპანიამ თანამშრომლების შემცირება გადაწყვიტა.
财富	სიმდიდრე	ცოდნაც სიმდიდრის ერთგვარი ფორმაა.
财务	ფინანსები	ფინანსების განყოფილება ანგარიშებს ამოწმებს.
财政	სახელმწიფო ფინანსები	წელს სახელმწიფო შემოსავალი გაიზარდა.
彩票	ლატარიის ბილეთი	ის ზოგჯერ ლატარიის ბილეთს ყიდულობს.
采购	შესყიდვა	კომპანიამ აღჭურვილობის შესაძენად თანამშრომელი გაგზავნა.
采集	შეგროვება	მკვლევრებმა ტყეში ნიმუშები შეაგროვეს.
采纳	მიღება	ხელმძღვანელმა ჩვენი წინადადება მიიღო.
参谋	მრჩეველი	ის ხშირად მენეჯერს რჩევას აძლევს.
参照	ნიმუშად გამოყენება	გთხოვ, ეს ფორმატი ნიმუშად გამოიყენე.
残疾	შეზღუდული შესაძლებლობა	ეს სადგური შეზღუდული შესაძლებლობის მქონე მგზავრებს ეხმარება.
残酷	სასტიკი	ომი ძალიან სასტიკია.
残留	დარჩენა	ჭიქაში ჯერ კიდევ ყავის სუნი დარჩა.
残忍	სასტიკი	ცხოველების წამება სასტიკი ქცევაა.
灿烂	კაშკაშა	მან კაშკაშა ღიმილი გამოაჩინა.
仓促	ნაჩქარევი	ეს გადაწყვეტილება ძალიან ნაჩქარევად მიიღეს.
仓库	საწყობი	საქონელი უკვე საწყობში მიიტანეს.
舱	სალონი	მგზავრები თვითმფრინავის სალონში შედიან.
苍白	ფერმკრთალი	მისი სახე ძალიან ფერმკრთალი ჩანდა.
操劳	თავგამოდებული შრომა	დედამ ამ ოჯახისთვის მრავალი წელი იშრომა.
操练	წვრთნა	ჯარისკაცები ყოველ დილით წვრთნას გადიან.
操纵	მართვა	ამ მანქანას კომპიუტერი მართავს.
操作	გამოყენება	გთხოვთ, მოწყობილობა ინსტრუქციის მიხედვით გამოიყენოთ.
嘈杂	ხმაურიანი	სადგურში ძალიან ხმაურიანი გარემოა.
草案	პროექტი	კომიტეტი პროექტს განიხილავს.
草率	დაუდევარი	ასეთი მნიშვნელოვანი გადაწყვეტილება დაუდევრად არ უნდა მიიღო.
侧面	გვერდი	გვერდიდან ეს შენობა უფრო მაღალი ჩანს.
测量	გაზომვა	ინჟინერი ხიდის სიგრძეს ზომავს.
策划	დაგეგმვა	მათ დიდი ღონისძიება დაგეგმეს.
策略	სტრატეგია	ამ სტრატეგიამ კომპანიას ხარჯების შემცირებაში დაეხმარა.
层出不穷	უწყვეტად გამოჩენა	ახალი პრობლემები უწყვეტად ჩნდება.
层次	სტრუქტურა	ამ სტატიის სტრუქტურა ძალიან ნათელია.
差别	განსხვავება	ამ ორ მეთოდს შორის დიდი განსხვავება არ არის.
插座	როზეტი	ამ ოთახში საკმარისი როზეტი არ არის.
查获	ამოღება	საბაჟომ ყალბი საქონლის პარტია ამოიღო.
刹那	წამი	ერთ წამში ყველა შუქი ჩაქრა.
岔	განშტოება	მანქანები წინ გზაჯვარედინზე გაიყო.
诧异	გაოცებული	მისმა გადაწყვეტილებამ ყველა ძალიან გააოცა.
柴油	დიზელი	ეს სატვირთო მანქანა დიზელზე მუშაობს.
搀	შველა	მედდა მოხუცს პალატაში შესვლაში დაეხმარა.
缠绕	შემოხვევა	ლიანა ხის ტოტებს შემოეხვია.
馋	მუნდომებული	ნამცხვრის დანახვაზე ბავშვს ძალიან მოუნდა.
产业	დარგი	ტურიზმი აქ მნიშვნელოვანი დარგია.
阐述	განმარტება	პროფესორმა თავისი მოსაზრება დაწვრილებით განმარტა.
颤抖	კანკალი	ის სიცივისგან მთელი სხეულით კანკალებდა.
昌盛	აყვავებული	გვინდა, ქვეყანა მშვიდობიანი და აყვავებული იყოს.
偿还	დაბრუნება	მან სესხი დროულად დააბრუნა.
尝试	ცდა	შეგვიძლია ახალი მეთოდი ვცადოთ.
场合	შემთხვევა	ასეთ შემთხვევაში ხუმრობა შესაფერისი არ არის.
场面	სცენა	ქორწილის სცენა ძალიან მხიარული იყო.
场所	ადგილი	ეს საზოგადოებრივი ადგილია, აქ მოწევა არ შეიძლება.
敞开	ფართოდ გაღება	გთხოვთ, ფანჯარა ცოტა ხნით ფართოდ გააღოთ.
倡导	მოწოდება	სკოლა ჯანსაღი ცხოვრების წესისკენ მოუწოდებს.
倡议	ინიციატივა	ამ გარემოსდაცვით ინიციატივას მხარდაჭერა მოჰყვა.
畅通	თავისუფალი მოძრაობა	წვიმის შემდეგ გზაზე მოძრაობა ისევ თავისუფალი გახდა.
畅销	კარგად გაყიდვადი	ეს რომანი ძალიან კარგად იყიდება.
超越	გადაჭარბება	მან ბოლოს საკუთარი რეკორდი გადააჭარბა.
钞票	ბანკნოტი	საფულეში მხოლოდ რამდენიმე ბანკნოტი დარჩა.
嘲笑	დაცინვა	სხვის ნაკლს ნუ დასცინი.
巢穴	ბუდე	მონადირემ ცხოველის ბუდე იპოვა.
朝代	დინასტია	ტანის ეპოქა ჩინეთის ისტორიაში ერთი დინასტიაა.
潮流	მოდური ტენდენცია	ახალგაზრდები მოდურ ტენდენციებს დიდ ყურადღებას აქცევენ.
撤退	უკან დახევა	ბრძანების მიღების შემდეგ ჯარი უკან დაიხია.
撤销	გაუქმება	სასამართლომ ძველი განაჩენი გააუქმა.
沉淀	დალექვა	ქვიშა და ტალახი ნელა დაილექება.
沉闷	მძიმე	დღეს ამინდი ისევ ცხელი და მძიმეა.
沉思	ჩაფიქრება	ის ფანჯარასთან იჯდა და ჩაფიქრებული იყო.
沉重	მძიმე	ამ ამბავმა ყველას გული დაუმძიმა.
沉着	მშვიდი	საფრთხის დროს სიმშვიდე უნდა შეინარჩუნო.
陈旧	მოძველებული	ეს მანქანა უკვე ძალიან მოძველებულია.
陈列	გამოფენა	დარბაზში ბევრი ისტორიული ნივთია გამოფენილი.
陈述	გადმოცემა	გთხოვთ, ფაქტები ნათლად გადმოსცეთ.
称心如意	სრულად დამაკმაყოფილებელი	ეს სამსახური მისთვის სრულად დამაკმაყოფილებელია.
衬托	გამოკვეთა	თეთრი კედლები ყვავილების ფერს უფრო მკვეთრად აჩენს.
称号	წოდება	მან საუკეთესო მასწავლებლის წოდება მიიღო.
乘	მგზავრობა	ყოველდღე მეტროთი მივდივარ სამსახურში.
呈现	გამოჩენა	ცაზე მკრთალი წითელი ფერი გამოჩნდა.
城堡	ციხესიმაგრე	მთის წვერზე ძველი ციხესიმაგრე დგას.
惩罚	დასჯა	სკოლა თაღლით მოსწავლეებს დასჯის.
成本	ხარჯი	ნედლეულის გაძვირებამ ხარჯი გაზარდა.
成交	გარიგების დადება	ეს გარიგება ბოლოს შედგა.
成天	მთელი დღე	ის მთელი დღე კომპიუტერთან ზის.
成效	შედეგი	მართვის ახალმა წესმა მალე შედეგი გამოიღო.
成心	განზრახ	მას განზრახ არ უნდოდა შენი უხერხულ მდგომარეობაში ჩაყენება.
成员	წევრი	ყველა წევრი შეხვედრას უნდა დაესწროს.
承办	ორგანიზება	ამ კომპანიამ გამოფენის ორგანიზება იკისრა.
承包	კონტრაქტით შესრულება	მათ ეს პროექტი კონტრაქტით აიღეს.
承诺	დაპირება	მან დავალების დროულად დასრულება დაგვპირდა.
橙	ფორთოხალი	რამდენიმე ახალი ფორთოხალი ვიყიდე.
澄清	განმარტება	მენეჯერმა გაუგებრობა განმარტა.
盛	დასხმა	მან სტუმარს ერთი თასი სუპი დაუსხა.
诚挚	გულწრფელი	გთხოვთ, ჩემი გულწრფელი მადლობა მიიღოთ.
秤	სასწორი	ეს სასწორი მთლად ზუსტი არ არის.
吃苦	გაჭირვების ატანა	ახალგაზრდებმა გაჭირვების ატანა უნდა ისწავლონ.
吃力	ძნელი	ამ ყუთის გადატანა ძალიან ძნელია.
持久	ხანგრძლივი	წარმატებას ხანგრძლივი ძალისხმევა სჭირდება.
迟钝	შენელებული	ბოლო დროს მისი რეაქცია ცოტა შენელებულია.
迟缓	ნელი	წვიმის შემდეგ მოძრაობა ნელი გახდა.
迟疑	ყოყმანი	მან ცოტა იყოყმანა და მხოლოდ შემდეგ უპასუხა.
赤道	ეკვატორი	ეკვატორთან მთელი წელი ძალიან ცხელა.
赤字	დეფიციტი	კომპანიას წელს დეფიციტი აქვს.
充当	როლის შესრულება	ის პროექტში კოორდინატორის როლს ასრულებდა.
充沛	უხვი	ბავშვებს ძალიან უხვი ენერგია აქვთ.
充实	შინაარსიანი	ამ გამოცდილებამ ჩემი ცხოვრება უფრო შინაარსიანი გახადა.
充足	საკმარისი	მოგზაურობამდე საკმარისი წყალი უნდა მოამზადო.
冲动	იმპულსი	წამიერი იმპულსით გადაწყვეტილებას ნუ მიიღებ.
冲击	ზემოქმედება	ახალმა ტექნოლოგიამ ტრადიციულ დარგებზე ძლიერი ზემოქმედება მოახდინა.
冲突	კონფლიქტი	ორივე მხარე ცდილობს კონფლიქტი თავიდან აიცილოს.
崇拜	თაყვანისცემა	ბევრი ახალგაზრდა ამ მეცნიერს აღმერთებს.
崇高	კეთილშობილი	ექიმის მოვალეობა კეთილშობილია.
崇敬	პატივისცემა	მოსწავლეები ამ მასწავლებელს დიდ პატივს სცემენ.
重叠	გადაფარვა	ამ ორ დავალებას ნაწილობრივი გადაფარვა აქვს.
稠密	მჭიდრო	აქ მოსახლეობა ძალიან მჭიდროა.
筹备	მომზადება	ისინი ქორწილს ამზადებენ.
丑恶	საზიზღარი	მან ამ ამბის უკან დამალული საზიზღარი სიმართლე გამოააშკარავა.
出路	გამოსავალი	სწავლა ახალგაზრდებს მეტ გამოსავალს აძლევს.
出卖	ღალატი	ის მეგობრებს არ უღალატებს.
出身	წარმოშობა	ის უბრალო ოჯახიდან არის წარმოშობით.
出神	გატაცებული	ის მუსიკას ისე უსმენდა, რომ სრულიად გატაცებული იყო.
出息	მომავალი წარმატება	ეს ბავშვი მომავალში წარმატებული იქნება.
初步	წინასწარი	ჩვენ უკვე წინასწარ შეთანხმებას მივაღწიეთ.
除	გარდა	მის გარდა ყველა მოვიდა.
储备	მარაგი	კომპანიას მეტი თანხის მარაგი სჭირდება.
储存	შენახვა	ეს მონაცემები ავტომატურად შეინახება.
储蓄	დაზოგვა	ის ყოველ თვე ხელფასის ნაწილს ზოგავს.
处分	დისციპლინური სასჯელი	სკოლამ მას მძიმე დისციპლინური სასჯელი მისცა.
处境	მდგომარეობა	ისინი ახლა რთულ მდგომარეობაში არიან.
处置	განკარგვა	ეს ძველი მოწყობილობები სწორად უნდა განიკარგოს.
触犯	დარღვევა	ასეთი საქციელი კანონს არღვევს.
川流不息	უწყვეტი ნაკადი	ქუჩაზე მანქანების უწყვეტი ნაკადია.
穿越	გავლა	მატარებელმა გრძელი გვირაბი გაიარა.
传达	გადაცემა	გთხოვთ, ეს ამბავი ყველას გადასცეთ.
传单	ბროშურა	მოხალისეები ქუჩაში ბროშურებს არიგებდნენ.
传授	გაზიარება	მასწავლებელი მოსწავლეებს გამოცდილებას უზიარებს.
船舶	გემები	ნავსადგურში ბევრი გემი დგას.
喘气	ქოშინი	სირბილის შემდეგ ის ძლიერად ქოშინებდა.
串	ასხმა	მან მძივები ყელსაბამად აასხა.
床单	ზეწარი	გთხოვთ, ზეწარი გამოცვალოთ.
创立	დაარსება	მათ ერთად დააარსეს ეს კომპანია.
创新	სიახლის შეტანა	კომპანიის განვითარებას მუდმივი სიახლის შეტანა სჭირდება.
创业	ბიზნესის დაწყება	ბევრი ახალგაზრდა ბიზნესის დაწყებას ირჩევს.
