source_headword	MS	example_MS
drag	menyeret	Jangan seret meja itu.
dramatic	dramatik	Keputusan itu dramatik.
edit	menyunting	Dia menyunting artikel itu.
edition	edisi	Edisi ini termasuk foto baharu.
efficient	cekap	Sistem itu cekap.
elderly	warga tua	Penduduk warga tua memerlukan sokongan.
elect	memilih	Pengundi memilih majlis baharu.
elsewhere	di tempat lain	Kami mencari bantuan di tempat lain.
emerge	muncul	Butiran muncul selepas tengah malam.
emotional	emosi	Ucapan itu emosi.
emphasis	penekanan	Beri penekanan pada keselamatan.
emphasize	menekankan	Guru menekankan latihan harian.
enable	membolehkan	Aplikasi itu membolehkan bayaran pantas.
encounter	menemui	Kami menemui kesesakan lalu lintas.
engage	melibatkan	Kursus itu melibatkan pelajar dewasa.
enhance	meningkatkan	Pencahayaan boleh meningkatkan bilik itu.
enquiry	siasatan	Siasatan itu berlangsung tiga bulan.
ensure	memastikan	Semak dua kali untuk memastikan ketepatan.
enthusiasm	semangat	Semangatnya menggalakkan kumpulan itu.
enthusiastic	bersemangat	Sukarelawan itu bersemangat.
entire	seluruh	Seluruh kampung terputus bekalan elektrik.
entirely	sepenuhnya	Cerita itu sepenuhnya palsu.
establish	menubuhkan	Mereka menetapkan peraturan yang jelas.
estate	ladang	Harta itu merangkumi beberapa ladang.
estimate	menganggarkan	Kami menganggarkan sepuluh ribu pelawat.
ethical	beretika	Keputusan itu menimbulkan soalan etika.
evaluate	menilai	Pakar akan menilai reka bentuk itu.
evil	jahat	Raja takut akan roh jahat.
examination	peperiksaan	Peperiksaan itu berlangsung satu jam.
excuse	alasan	Alasan itu kedengaran lemah.
executive	eksekutif	Eksekutif itu meluluskan perjanjian.
existence	kewujudan	Kewujudan mereka tidak diketahui.
expectation	jangkaan	Jangkaan tinggi sebelum pelancaran.
expense	perbelanjaan	Perjalanan ialah perbelanjaan terbesar kami.
exploration	penerokaan	Penerokaan angkasa memberi inspirasi kepada kanak-kanak.
expose	mendedahkan	Artikel itu mendedahkan rasuah.
extend	melanjutkan	Mereka melanjutkan tarikh akhir.
extent	tahap	Kami mengetahui tahapnya kemudian.
external	luaran	Tekanan luaran mempengaruhi mereka.
extraordinary	luar biasa	Pemulihannya luar biasa.
facility	kemudahan	Kemudahan itu dibuka pada bulan Jun.
failure	kegagalan	Kegagalan mengajarnya kesabaran.
faith	kepercayaan	Dia mengekalkan kepercayaan kepadanya.
fault	kesalahan	Kemalangan itu salah saya.
feather	bulu	Bulu jatuh dari bantal.
fee	yuran	Yuran termasuk makan tengah hari.
feedback	maklum balas	Maklum balas membantu memperbaiki kursus.
fellow	rakan	Rakan sekerja menyokongnya.
finance	membiayai	Bank akan membiayai pengembangan.
finding	penemuan	Penemuan itu mengejutkan penyelidik.
firm	firma	Firma itu mengupah kakitangan baharu.
flame	nyalaan	Nyalaan kecil muncul.
flash	kilatan	Kilatan menerangi langit.
flexible	fleksibel	Jadual itu fleksibel.
float	terapung	Daun terapung di atas air.
folding	lipat	Dia membawa kerusi lipat.
forgive	memaafkan	Bolehkah anda memaafkannya?
former	bekas	Bekas datuk bandar kembali.
fortune	kekayaan	Mereka kehilangan kekayaan besar.
found	menubuhkan	Mereka menubuhkan badan amal kecil.
freedom	kebebasan	Kebebasan memerlukan tanggungjawab.
frequency	kekerapan	Kekerapan meningkat pada musim sejuk.
fully	sepenuhnya	Hotel itu ditempah sepenuhnya.
fund	dana	Dana itu menyokong sekolah tempatan.
fundamental	asas	Rasa hormat ialah asas di sini.
funding	pembiayaan	Pembiayaan berakhir tahun lalu.
furthermore	tambahan pula	Tambahan pula, kos semakin meningkat.
gain	memperoleh	Pelajar memperoleh keyakinan dengan cepat.
gang	geng	Sebuah geng mengawal jalan itu.
generate	menjana	Panel solar menjana kuasa.
genre	genre	Komedi ialah genre kegemarannya.
govern	mengawal	Undang-undang mengawal perbelanjaan awam.
grab	meraih	Dia meraih lengan saya.
gradually	secara beransur-ansur	Rasa sakit hilang secara beransur-ansur.
grand	megah	Hotel itu mempunyai pintu masuk yang megah.
grant	geran	Geran itu membayar peralatan.
guarantee	menjamin	Tiket itu menjamin kemasukan.
handle	mengendalikan	Dia mengendalikan aduan itu dengan tenang.
harm	bahaya	Merokok boleh membahayakan kesihatan.
harmful	berbahaya	Bahan kimia itu berbahaya.
hearing	pendengaran	Pendengarannya bertambah baik.
heaven	syurga	Mereka membayangkan syurga di atas.
heel	tumit	Tumitnya sakit teruk.
hell	neraka	Perjalanan itu seperti neraka.
hesitate	teragak-agak	Jangan teragak-agak untuk bertanya.
hollow	berongga	Pokok itu berongga di dalam.
holy	suci	Mereka melawat tempat suci.
honour	kehormatan	Mereka berjuang demi kehormatan.
household	isi rumah	Setiap isi rumah menerima air.
housing	perumahan	Kos perumahan terus meningkat.
humorous	melucukan	Ceritanya melucukan.
humour	jenaka	Jenaka membantu mengurangkan ketegangan.
hunting	memburu	Memburu dilarang di sini.
illustrate	menggambarkan	Contoh menggambarkan peraturan itu.
illustration	ilustrasi	Ilustrasi menunjukkan proses itu.
imagination	imaginasi	Kanak-kanak menggunakan imaginasi dengan bebas.
impatient	tidak sabar	Pemandu menjadi tidak sabar.
imply	membayangkan	Kesenyapannya mungkin membayangkan persetujuan.
impose	mengenakan	Mahkamah mengenakan denda.
impress	mengagumkan	Keberaniannya mengagumkan semua orang.
impressed	terkesan	Saya terkesan dengan kerjanya.
inch	inci	Gerakkan satu inci ke kiri.
incident	kejadian	Kejadian itu menimbulkan kebimbangan.
income	pendapatan	Pendapatan mereka meningkat perlahan-lahan.
increasingly	semakin	Perumahan semakin mahal.
industrial	perindustrian	Bandar itu mempunyai akar perindustrian.
infection	jangkitan	Jangkitan merebak dengan cepat.
inform	memaklumkan	Sila maklumkan pengurus.
initial	awal	Kos awal tinggi.
initially	pada mulanya	Pada mulanya, tiada siapa mempercayainya.
initiative	inisiatif	Dia melancarkan inisiatif baharu.
inner	dalaman	Pintu dalaman berkunci.
insight	wawasan	Laporan itu menawarkan wawasan berguna.
insist	menegaskan	Mereka menegaskan pemeriksaan keselamatan.
inspire	memberi inspirasi	Ceritanya mungkin memberi inspirasi kepada orang lain.
install	memasang	Mereka memasang pemanas baharu.
instance	contoh	Ini satu contoh yang jelas.
