source_headword	PL	example_PL
ashamed	zawstydzony	Później poczuł się zawstydzony.
aspect	aspekt	Rozważ każdy aspekt uważnie.
assess	ocenić	Musimy ocenić szkody.
assessment	ocena	Ocena zajęła dwie godziny.
associate	kojarzyć	Ludzie kojarzą dym z niebezpieczeństwem.
associated	związany	Stres jest związany z chorobą.
association	stowarzyszenie	Stowarzyszenie wspiera młodych artystów.
assume	zakładać	Zakładam, że się zgadzasz.
attempt	próba	Jego pierwsza próba nie powiodła się.
bacteria	bakterie	Bakterie mogą szybko się rozprzestrzeniać.
barrier	bariera	Język był barierą.
basically	w zasadzie	W zasadzie potrzebujemy więcej czasu.
bear (deal with)	znieść	Nie mogę znieść tego hałasu.
beg	błagać	Proszę błagaj o pomoc.
being	istota	Każda istota potrzebuje wody.
bent	zgięty	Metalowy pręt był zgięty.
bet	założyć się	Założę się, że on wie.
beyond	za	Wioska leży za rzeką.
bitter	gorzki	Lek smakował gorzko.
blame	obwiniać	Nie obwiniaj kierowcy.
blind	niewidomy	Stał się niewidomy w młodości.
bond	więź	Zaufanie tworzy silną więź.
breast	pierś	Poczuła ból w piersi.
brief	krótki	Zachowaj krótką odpowiedź.
broad	szeroki	Rzeka jest tu szeroka.
broadcast	transmitować	Przemówienie transmitowano na żywo.
budget	budżet	Budżet jest bardzo napięty.
bullet	kula	Kula trafiła w ścianę.
bunch	pęk	Niosła pęk kluczy.
bush	krzak	Ptak ukrył się w krzaku.
cable	kabel	Kabel jest uszkodzony.
calculate	obliczyć	Oblicz całkowity koszt.
cancel	odwołać	Odwołali spotkanie.
cancer	rak	Leczenie raka może być trudne.
capable	zdolny	Jest zdolna do więcej.
capacity	pojemność	Sala osiągnęła pojemność.
capture	uchwycić	Zdjęcie uchwyciło nastrój.
cast	obsada	Obsada jest gotowa.
cell	komórka	Każda komórka zawiera dane.
chairman	przewodniczący	Przewodniczący otworzył spotkanie.
characteristic	cecha	Cierpliwość jest jej główną cechą.
chief	główny	Główny inżynier przybył późno.
circumstance	okoliczność	Rozważ każdą okoliczność uważnie.
cite	cytować	Proszę zacytować źródło.
citizen	obywatel	Każdy obywatel może głosować.
civil	pokojowy	Protest pozostał pokojowy.
classic	klasyk	Ten film to klasyk.
closely	uważnie	Obserwuj proces uważnie.
collapse	zawalić się	Stary most może się zawalić.
combination	połączenie	Połączenie zadziałało dobrze.
comfort	pocieszenie	Jej słowa dały pocieszenie.
command	rozkaz	Oficer wydał rozkaz.
commission	komisja	Komisja przejrzała sprawę.
commitment	zaangażowanie	Praca wymaga zaangażowania.
committee	komitet	Komitet spotyka się co tydzień.
commonly	powszechnie	Ta roślina jest powszechnie uprawiana.
complicated	skomplikowany	Instrukcje są skomplikowane.
component	element	Jeden element zawiódł.
concentration	koncentracja	Hałas przerywa moją koncentrację.
concept	koncepcja	Koncepcja jest prosta.
concern	obawa	Bezpieczeństwo jest naszą główną obawą.
concerned	zaniepokojony	Rodzice byli głęboko zaniepokojeni.
conduct	prowadzić	Prowadzą badania lokalnie.
confidence	pewność siebie	Ćwiczenie buduje pewność siebie.
conflict	konflikt	Konflikt trwał latami.
confusing	mylący	Mapa była myląca.
conscious	przytomny	Pozostała przytomna.
conservative	konserwatywny	Jego poglądy są konserwatywne.
consideration	kwestia	Koszt jest ważną kwestią.
consistent	spójny	Jej wyniki są spójne.
constant	ciągły	Ciągły hałas nas wyczerpał.
constantly	ciągle	Ciągle sprawdza telefon.
construct	zbudować	Robotnicy zbudowali nowy most.
construction	budowa	Budowa zaczyna się w przyszłym miesiącu.
contemporary	współczesny	Galeria pokazuje sztukę współczesną.
contest	konkurs	Wzięła udział w konkursie.
contract	umowa	Przeczytaj umowę uważnie.
contribute	wnieść wkład	Każdy może wnieść pomysły.
contribution	wkład	Jej wkład był cenny.
convert	przekształcić	Przekształcili garaż.
convinced	przekonany	Jestem przekonany, że skłamał.
core	rdzeń	Zaufanie jest rdzeniem problemu.
corporate	korporacyjny	Zasady korporacyjne znów się zmieniły.
council	rada	Rada zatwierdziła plan.
county	hrabstwo	Hrabstwo naprawiło drogę.
courage	odwaga	Pokazała prawdziwą odwagę.
crash	wypadek	Wypadek zablokował ruch.
creation	stworzenie	Stworzenie zajęło sześć miesięcy.
creature	stworzenie	Stworzenie poruszało się cicho.
crew	załoga	Załoga przygotowała statek.
crisis	kryzys	Kryzys zmienił wszystko.
criterion	kryterium	Cena jest jednym kryterium.
critic	krytyk	Krytyk pochwalił sztukę.
critical	krytyczny	Jego stan jest krytyczny.
criticism	krytyka	Przyjęła krytykę spokojnie.
criticize	krytykować	Nie krytykuj każdego błędu.
crop	plon	Plon nie udał się w tym roku.
crucial	kluczowy	Czas jest tu kluczowy.
cure	lekarstwo	Lekarze znaleźli lekarstwo.
curve	zakręt	Droga biegnie po zakręcie.
curved	zakrzywiony	Ściana jest lekko zakrzywiona.
debate	debata	Debata trwała godzinami.
debt	dług	Spłacił dług.
decent	przyzwoity	Znaleźli przyzwoite mieszkanie.
declare	ogłosić	Ogłosili wynik.
decline	spadać	Sprzedaż nadal spadała.
decoration	dekoracja	Dekoracja wyglądała drogo.
decrease	zmniejszyć się	Ceny mogą wkrótce się zmniejszyć.
deeply	głęboko	Głęboko troszczyła się o sprawiedliwość.
defeat	porażka	Porażka zszokowała zespół.
defence	obrona	Obrona zakwestionowała dowód.
defend	bronić	Próbował bronić siebie.
delay	opóźnienie	Zła pogoda spowodowała opóźnienie.
deliberate	celowy	To był celowy wybór.
deliberately	celowo	Celowo zignorowała ostrzeżenie.
delight	zachwycić	Wiadomość zachwyciła wszystkich.
delighted	zachwycony	Byliśmy zachwyceni prezentem.
delivery	dostawa	Dostawa dotarła wcześnie.
demand	żądanie	Pracownicy żądają lepszej płacy.
demonstrate	zademonstrować	Zademonstrował nowe oprogramowanie.
deny	zaprzeczyć	Zaprzeczyła oskarżeniu.
depressed	przygnębiony	Po przegranej czuł się przygnębiony.
depressing	przygnębiający	Film był przygnębiający.
depth	głębokość	Basen ma dużą głębokość.
deserve	zasługiwać	Zasługujesz na przerwę.
desire	pragnienie	Wyraziła pragnienie podróżowania.
desperate	desperacki	Wykonali desperacki telefon.
detailed	szczegółowy	Przewodnik jest bardzo szczegółowy.
detect	wykryć	Psy potrafią wykryć dym.
dig	kopać	Kopią studnie latem.
disc	dysk	Dysk był porysowany.
discipline	dyscyplina	Dyscyplina pomaga sportowcom się rozwijać.
dishonest	nieuczciwy	Jego odpowiedź brzmiała nieuczciwie.
dismiss	odrzucić	Kierownik odrzucił skargę.
display	wyświetlać	Ekran wyświetla wynik.
distribute	rozdawać	Wolontariusze rozdawali czystą wodę.
distribution	dystrybucja	Dystrybucja zaczęła się po wschodzie słońca.
district	dzielnica	Dzielnica wybrała burmistrza.
division	dział	Dział zajmuje się sprawami prawnymi.
domestic	krajowy	Loty krajowe są tańsze.
dominate	dominować	Jedna firma może zdominować rynek.
downwards	w dół	Ścieżka opada w dół.
dozen	tuzin	Kupiła tuzin jaj.
draft	projekt	Proszę przejrzeć projekt.
drag	ciągnąć	Nie ciągnij stołu.
dramatic	dramatyczny	Wyniki były dramatyczne.
edit	edytować	Edytowała artykuł.
edition	wydanie	To wydanie zawiera nowe zdjęcia.
efficient	wydajny	System jest wydajny.
elderly	starszy	Starsi mieszkańcy potrzebują wsparcia.
elect	wybrać	Wyborcy wybierają nową radę.
elsewhere	gdzie indziej	Szukaliśmy pomocy gdzie indziej.
emerge	wyłonić się	Szczegóły wyłoniły się po północy.
emotional	emocjonalny	Przemówienie było emocjonalne.
emphasis	nacisk	Połóż nacisk na bezpieczeństwo.
emphasize	podkreślać	Nauczyciele podkreślają codzienną praktykę.
enable	umożliwić	Aplikacja umożliwia szybkie płatności.
encounter	napotkać	Napotkaliśmy duży ruch.
engage	angażować	Kurs angażuje dorosłych uczniów.
enhance	ulepszyć	Oświetlenie może ulepszyć pokój.
enquiry	dochodzenie	Dochodzenie trwało trzy miesiące.
ensure	zapewnić	Sprawdź dwa razy, aby zapewnić dokładność.
enthusiasm	entuzjazm	Jej entuzjazm zachęcił grupę.
enthusiastic	entuzjastyczny	Wolontariusze byli entuzjastyczni.
entire	cały	Cała wioska straciła prąd.
entirely	całkowicie	Ta historia jest całkowicie fałszywa.
establish	ustanowić	Ustanowili jasne zasady.
estate	posiadłość	Posiadłość obejmuje kilka farm.
estimate	oszacować	Szacujemy dziesięć tysięcy gości.
ethical	etyczny	Decyzja wywołała pytania etyczne.
evaluate	ocenić	Eksperci ocenią projekt.
evil	zły	Król bał się złych duchów.
examination	egzamin	Egzamin trwał godzinę.
excuse	wymówka	Ta wymówka brzmiała słabo.
executive	dyrektor	Dyrektor zatwierdził umowę.
existence	istnienie	Ich istnienie było nieznane.
expectation	oczekiwanie	Oczekiwanie było wysokie przed premierą.
expense	wydatek	Podróż jest naszym największym wydatkiem.
exploration	eksploracja	Eksploracja kosmosu inspiruje dzieci.
expose	ujawnić	Artykuł ujawnił korupcję.
extend	przedłużyć	Przedłużyli termin.
extent	zakres	Znaliśmy zakres później.
external	zewnętrzny	Zewnętrzna presja wpłynęła na nich.
extraordinary	niezwykły	Jej powrót do zdrowia był niezwykły.
facility	obiekt	Obiekt otwarto w czerwcu.
failure	porażka	Porażka nauczyła go cierpliwości.
faith	wiara	Zachowała w niego wiarę.
fault	wina	Wypadek był moją winą.
feather	pióro	Pióro spadło z poduszki.
fee	opłata	Opłata obejmuje lunch.
feedback	informacja zwrotna	Informacja zwrotna pomogła ulepszyć kurs.
fellow	współpracownik	Współpracownicy ją wspierali.
finance	finansować	Bank sfinansuje rozszerzenie.
finding	ustalenie	Ustalenie zaskoczyło badaczy.
firm	firma	Firma zatrudniła nowych pracowników.
flame	płomień	Pojawił się mały płomień.
flash	błysk	Błysk oświetlił niebo.
flexible	elastyczny	Harmonogram jest elastyczny.
float	unosić się	Liście unoszą się na wodzie.
folding	składany	Niósł składane krzesło.
forgive	wybaczyć	Czy możesz mu wybaczyć?
former	były	Były burmistrz wrócił.
fortune	fortuna	Stracili fortunę.
found	założyć	Założyli małą organizację charytatywną.
freedom	wolność	Wolność wymaga odpowiedzialności.
frequency	częstotliwość	Częstotliwość wzrosła zimą.
fully	w pełni	Hotel jest w pełni zarezerwowany.
fund	fundusz	Fundusz wspiera lokalne szkoły.
fundamental	podstawowy	Szacunek jest tu podstawowy.
funding	finansowanie	Finansowanie skończyło się w zeszłym roku.
furthermore	ponadto	Ponadto koszty rosną.
gain	zyskać	Uczniowie szybko zyskują pewność siebie.
gang	gang	Gang kontrolował ulicę.
generate	wytwarzać	Panele słoneczne wytwarzają energię.
genre	gatunek	Komedia jest jej ulubionym gatunkiem.
govern	regulować	Prawo reguluje wydatki publiczne.
grab	chwycić	Chwycił mnie za ramię.
gradually	stopniowo	Ból stopniowo zniknął.
grand	wspaniały	Hotel ma wspaniałe wejście.
grant	dotacja	Dotacja zapłaciła za sprzęt.
guarantee	gwarantować	Bilet gwarantuje wejście.
handle	obsłużyć	Spokojnie obsłużyła skargę.
harm	szkoda	Palenie może szkodzić zdrowiu.
harmful	szkodliwy	Ta substancja chemiczna jest szkodliwa.
hearing	słuch	Jej słuch się poprawił.
heaven	niebo	Wyobrażali sobie niebo nad sobą.
heel	pięta	Jego pięta bardzo bolała.
hell	piekło	Podróż była piekłem.
hesitate	wahać się	Nie wahaj się pytać.
hollow	pusty w środku	Drzewo było puste w środku.
holy	święty	Odwiedzili święte miejsce.
honour	honor	Walczyli o honor.
household	gospodarstwo domowe	Każde gospodarstwo domowe otrzymało wodę.
housing	mieszkalnictwo	Koszty mieszkalnictwa ciągle rosną.
humorous	zabawny	Jego historia była zabawna.
humour	humor	Humor pomógł zmniejszyć napięcie.
hunting	polowanie	Polowanie jest tu zakazane.
illustrate	ilustrować	Przykłady ilustrują zasadę.
illustration	ilustracja	Ilustracja pokazuje proces.
imagination	wyobraźnia	Dzieci swobodnie używają wyobraźni.
impatient	niecierpliwy	Kierowcy stali się niecierpliwi.
imply	sugerować	Jego milczenie może sugerować zgodę.
impose	nałożyć	Sąd nałożył grzywnę.
impress	zrobić wrażenie	Jej odwaga zrobiła wrażenie na wszystkich.
impressed	pod wrażeniem	Byłem pod wrażeniem jej pracy.
inch	cal	Przesuń to o jeden cal w lewo.
incident	incydent	Incydent wywołał niepokój.
income	dochód	Ich dochód powoli wzrastał.
increasingly	coraz bardziej	Mieszkania są coraz droższe.
industrial	przemysłowy	Miasto ma przemysłowe korzenie.
infection	infekcja	Infekcja szybko się rozprzestrzeniła.
inform	poinformować	Proszę poinformować kierownika.
initial	początkowy	Początkowy koszt był wysoki.
initially	początkowo	Początkowo nikt mu nie wierzył.
initiative	inicjatywa	Rozpoczęła nową inicjatywę.
inner	wewnętrzny	Wewnętrzne drzwi były zamknięte.
insight	wgląd	Raport oferuje użyteczny wgląd.
insist	nalegać	Nalegają na kontrole bezpieczeństwa.
inspire	inspirować	Jej historia może inspirować innych.
install	zainstalować	Zainstalowali nowy grzejnik.
instance	przykład	To jest jeden jasny przykład.
