source_headword	NL	example_NL
beauty	de schoonheid	We bewonderden de schoonheid van de bergen.
bee	de bij	Een bij landde op de bloem.
belief	het geloof	Zijn geloof gaf hem moed.
bell	de bel	De schoolbel ging luid.
bend	buigen	Buig je knieen wanneer je tilt.
bite	bijten	De hond kan vreemden bijten.
block	blokkeren	Een omgevallen boom blokkeerde de weg.
bomb	de bom	De bom beschadigde meerdere gebouwen.
border	de grens	Zij staken 's nachts de grens over.
bother	lastigvallen	Val je zus alsjeblieft niet lastig.
branch	de tak	Een tak brak in de storm.
brand	het merk	Dit merk is populair bij studenten.
brave	dapper	De dappere man redde het kind.
breath	de adem	Haal diep adem.
breathe	ademen	Ik kan niet ademen in deze rook.
breathing	de ademhaling	Haar ademhaling was langzaam.
bride	de bruid	De bruid droeg een witte jurk.
bubble	de bel	Een bel zweefde boven het glas.
bury	begraven	Zij begroeven de doos in het zand.
calm	kalm	Blijf kalm tijdens het examen.
campaign	de campagne	De campagne zamelde geld in voor scholen.
campus	de campus	Studenten wonen dicht bij de campus.
candidate	de kandidaat	Elke kandidaat beantwoordde drie vragen.
cap	de pet	Hij droeg een honkbalpet.
captain	de aanvoerder	De aanvoerder sprak met het team.
careless	onvoorzichtig	Een onvoorzichtige fout kostte ons tijd.
category	de categorie	Kies de juiste categorie.
ceiling	het plafond	Het plafond werd wit geschilderd.
celebration	de viering	De viering duurde de hele avond.
central	centraal	Het hotel heeft een centrale ligging.
ceremony	de ceremonie	De ceremonie begon om twaalf uur.
chain	de ketting	Zij droeg een zilveren ketting.
challenge	de uitdaging	Dit project is een echte uitdaging.
champion	de kampioen	De kampioen bedankte haar coach.
channel	het kanaal	Zet alsjeblieft op een ander kanaal.
chapter	het hoofdstuk	Lees vanavond het volgende hoofdstuk.
charge	de kosten	Voor kinderen zijn er geen kosten.
cheat	valsspelen	Speel niet vals tijdens de toets.
cheerful	vrolijk	Zij klonk vanochtend vrolijk.
chemical	chemisch	De chemische geur was sterk.
chest	de borst	Zijn borst deed pijn na het rennen.
childhood	de jeugd	Ik herinner me mijn ouderlijk huis uit mijn jeugd.
claim	beweren	Zij beweren dat het product veilig is.
clause	de bepaling	Deze bepaling verandert de betekenis.
click	klikken	Klik op de blauwe knop.
client	de klant	De klant vroeg om meer details.
cloth	de doek	Veeg de tafel af met deze doek.
clue	de aanwijzing	De aanwijzing hielp ons het op te lossen.
coal	de steenkool	De oude trein gebruikte steenkool.
coin	de munt	Hij vond een munt op de vloer.
collection	de verzameling	Haar postzegelverzameling is groot.
coloured	gekleurd	Zij droeg een gekleurde sjaal.
combine	combineren	Combineer de bloem en het water.
commercial	de reclame	De reclamepauze duurde vijf minuten.
commit	zich verbinden	We moeten ons aan het plan verbinden.
communication	de communicatie	Goede communicatie voorkomt fouten.
comparison	de vergelijking	Deze vergelijking is nuttig.
competitive	concurrerend	De markt is zeer concurrerend.
competitor	de concurrent	Onze grootste concurrent verlaagde de prijzen.
complaint	de klacht	Zij diende een klacht in over lawaai.
complex	complex	De instructies zijn te complex.
concentrate	zich concentreren	Ik kan me niet concentreren met muziek aan.
conclude	afsluiten	We sluiten de vergadering nu af.
conclusion	de conclusie	Zijn conclusie leek redelijk.
confident	zelfverzekerd	Zij voelde zich zelfverzekerd voor het interview.
confirm	bevestigen	Bevestig alsjeblieft je e-mailadres.
confuse	verwarren	Deze twee namen verwarren mij.
confused	in de war	Ik raakte in de war door de kaart.
connection	de verbinding	De internetverbinding is traag.
consequence	het gevolg	Te weinig slapen heeft een gevolg.
consist	bestaan	De maaltijd bestaat uit drie gangen.
consume	verbruiken	Grote auto's verbruiken meer brandstof.
consumer	de consument	De consument wil duidelijke informatie.
contact	contact	Neem na de lunch contact met mij op.
container	de bak	Doe de soep in een bak.
content1	de inhoud	De inhoud van de cursus is nuttig.
continuous	continu	De machine maakte een continu geluid.
contrast	het contrast	Het contrast tussen hen is duidelijk.
convenient	handig	Het station is erg handig gelegen.
convince	overtuigen	Zij overtuigde hem om het opnieuw te proberen.
costume	het kostuum	Hij droeg een piratenkostuum.
cottage	het huisje	Zij huurden een klein huisje.
cotton	het katoen	Dit shirt is gemaakt van katoen.
countryside	het platteland	We wandelden door het platteland.
court	de rechtbank	De zaak kwam voor de rechtbank.
covered	bedekt	De tafel was bedekt met papieren.
cruel	wreed	Het was wreed om te lachen.
cultural	cultureel	Het museum biedt culturele evenementen.
currency	de valuta	De lokale valuta is de euro.
current	huidig	De huidige situatie is moeilijk.
currently	momenteel	Zij studeert momenteel in het buitenland.
curtain	het gordijn	Sluit 's nachts het gordijn.
custom	de gewoonte	Deze gewoonte is erg oud.
damage	de schade	De storm veroorzaakte ernstige schade.
decade	het decennium	Zij woonden daar een decennium.
decorate	versieren	We versieren de kamer samen.
define	definieren	Kun je deze term definieren?
definite	duidelijk	We hebben een duidelijk antwoord nodig.
definition	de definitie	Schrijf de definitie in je notitieboek.
deliver	bezorgen	Zij bezorgen eten bij ons thuis.
departure	het vertrek	De vertrektijd is veranderd.
despite	ondanks	Ondanks de regen liepen we door.
destination	de bestemming	Parijs was hun eindbestemming.
determine	bepalen	Toetsen bepalen je niveau.
determined	vastbesloten	Zij was vastbesloten om te slagen.
development	de ontwikkeling	De ontwikkeling van de stad ging snel.
diagram	het diagram	Teken een eenvoudig diagram.
diamond	de diamant	De ring had een kleine diamant.
difficulty	de moeite	Hij had moeite de deur te openen.
directly	direct	Spreek alsjeblieft direct tegen mij.
dirt	het vuil	Zijn schoenen zaten onder het vuil.
disadvantage	het nadeel	De lange reis is een nadeel.
disappointed	teleurgesteld	Zij was teleurgesteld over het resultaat.
disappointing	teleurstellend	Het einde was teleurstellend.
discount	de korting	Studenten krijgen hier korting.
dislike	niet leuk vinden	Ik vind heel harde muziek niet leuk.
divide	verdelen	Verdeel de taart in stukken.
documentary	de documentaire	We keken naar een documentaire over ruimte.
donate	doneren	Veel mensen doneren oude kleren.
doubt	de twijfel	Ik heb er geen twijfel over.
dressed	gekleed	Hij was in het zwart gekleed.
drum	de trommel	De trommel klonk door de kamer.
drunk	dronken	De bestuurder was dronken.
due	verschuldigd	Het rapport moet morgen klaar zijn.
dust	het stof	Stof bedekte de oude boeken.
duty	de plicht	Het is mijn plicht om te helpen.
earthquake	de aardbeving	De aardbeving beschadigde de brug.
eastern	oostelijk	De oostelijke kust is winderig.
economic	economisch	Het land heeft economische problemen.
economy	de economie	De economie groeide dit jaar.
edge	de rand	Blijf weg van de rand.
editor	de redacteur	De redacteur controleerde het artikel.
educate	onderwijzen	Scholen onderwijzen jonge mensen.
educated	hoogopgeleid	Zij is hoogopgeleid.
educational	leerzaam	Het spel is leerzaam.
effective	effectief	Dit medicijn is effectief.
effectively	effectief	Zij legde de regel effectief uit.
effort	de inspanning	Jouw inspanning maakte verschil.
election	de verkiezing	De verkiezingsuitslag was nipt.
element	het element	Vertrouwen is een belangrijk element.
embarrassed	beschaamd	Hij voelde zich beschaamd na de val.
embarrassing	gênant	Dat was een gênante fout.
emergency	het noodgeval	Bel dit nummer bij een noodgeval.
emotion	de emotie	Angst is een sterke emotie.
employment	de werkgelegenheid	De werkgelegenheid nam deze maand toe.
encourage	aanmoedigen	Leraren moedigen studenten aan om te lezen.
enemy	de vijand	De twee landen waren vijanden.
engaged	verloofd	Zij verloofden zich afgelopen lente.
engineering	de techniek	Zij studeert techniek aan de universiteit.
entertain	vermaken	De zanger zal de gasten vermaken.
entertainment	het entertainment	De stad biedt avondentertainment.
entrance	de ingang	Ontmoet mij bij de ingang.
entry	de toegang	Toegang is gratis voor kinderen.
environmental	milieugerelateerd	We bespraken milieugerelateerde problemen.
episode	de aflevering	De laatste aflevering was spannend.
equal	gelijk	Zij krijgen gelijke betaling.
equally	gelijk	Het werk wordt gelijk verdeeld.
escape	ontsnappen	De gevangenen probeerden te ontsnappen.
essential	essentieel	Water is essentieel voor het leven.
eventually	uiteindelijk	Uiteindelijk vonden we het hotel.
examine	onderzoeken	De arts onderzocht mijn arm.
exchange	de ruil	We deden een ruil in de winkel.
excitement	de opwinding	De wedstrijd zat vol opwinding.
exhibition	de tentoonstelling	De kunsttentoonstelling opent morgen.
expand	uitbreiden	Het bedrijf is van plan uit te breiden.
expected	verwacht	De verwachte kosten zijn hoog.
expedition	de expeditie	De expeditie stak de woestijn over.
experienced	ervaren	Zij is een ervaren verpleegkundige.
explode	ontploffen	De fles kan door hitte ontploffen.
explore	verkennen	We verkenden de oude stad.
explosion	de explosie	De explosie brak meerdere ramen.
export	de export	Koffie is een belangrijke export.
fairly	redelijk	De toets was redelijk gemakkelijk.
familiar	bekend	Haar gezicht leek bekend.
fancy	zin hebben in	Heb je zin in koffie?
fascinating	fascinerend	Het verhaal was fascinerend.
fashionable	modieus	Die schoenen zijn modieus.
fasten	vastmaken	Maak je veiligheidsgordel vast.
favour	de gunst	Kun je mij een gunst bewijzen?
fence	het hek	Het hek omringt de tuin.
fighting	het gevecht	Het gevecht stopte bij zonsopgang.
file	het bestand	Sla het bestand op voor het sluiten.
financial	financieel	Zij heeft financieel advies nodig.
fitness	de conditie	Hardlopen verbetert je conditie.
fixed	vast	De prijs staat vast.
flag	de vlag	De vlag wapperde boven de school.
flood	de overstroming	De overstroming beschadigde veel huizen.
flour	de bloem	Voeg bloem toe aan de kom.
flow	stromen	De rivier stroomt door de stad.
fold	vouwen	Vouw het papier dubbel.
folk	volks	Volksmuziek vulde de zaal.
force	de kracht	De wind had grote kracht.
forever	voor altijd	Ik zal dit voor altijd onthouden.
frame	de lijst	De foto heeft een lijst nodig.
freeze	bevriezen	Water zal vannacht bevriezen.
frequently	vaak	Hij bezoekt zijn ouders vaak.
friendship	de vriendschap	Hun vriendschap duurde jaren.
frighten	bang maken	Harde geluiden maken de baby bang.
frightened	bang	Het kind zag er bang uit.
frightening	angstaanjagend	De storm was angstaanjagend.
frozen	bevroren	Het meer was bevroren.
fry	bakken	Bak de uien vijf minuten.
fuel	de brandstof	De auto heeft meer brandstof nodig.
function	de functie	Deze knop heeft een functie.
fur	de vacht	De kat heeft een zachte vacht.
garage	de garage	De auto staat in de garage.
gather	zich verzamelen	We verzamelden ons rond de tafel.
generally	meestal	Zij komt meestal vroeg aan.
generation	de generatie	Elke generatie staat voor nieuwe problemen.
generous	genereus	Hij is genereus met zijn tijd.
gentle	zacht	Gebruik een zachte stem.
gentleman	de heer	De heer opende de deur.
ghost	de geest	Het verhaal noemt een geest.
giant	reusachtig	Een reusachtig scherm vulde het podium.
glad	blij	Ik ben blij dat je kwam.
global	mondiaal	Klimaatverandering is een mondiaal probleem.
glove	de handschoen	Ik verloor een handschoen.
goods	de goederen	De goederen kwamen laat aan.
grade	het cijfer	Zij kreeg een hoog cijfer.
graduate	de afgestudeerde	Hij is pas afgestudeerd.
grain	de korrel	Een rijstkorrel viel.
grateful	dankbaar	Ik ben dankbaar voor je steun.
growth	de groei	De plant liet gestage groei zien.
guard	de bewaker	De bewaker controleerde onze tickets.
guilty	schuldig	Hij voelde zich schuldig over het liegen.
hang	ophangen	Hang je jas hier op.
happiness	het geluk	Geld kan geen geluk kopen.
hardly	nauwelijks	Ik kon je nauwelijks horen.
headline	de kop	De kop trok mijn aandacht.
heating	de verwarming	De verwarming werkte niet meer.
heavily	zwaar	Het regende de hele nacht zwaar.
helicopter	de helikopter	Een helikopter landde dichtbij.
highlight	benadrukken	Benadruk alsjeblieft het hoofdidee.
highly	zeer	Zij wordt zeer gerespecteerd.
hire	huren	We moeten een auto huren.
historic	historisch	We bezochten een historisch gebouw.
historical	historisch	Zij houdt van historische romans.
honest	eerlijk	Geef alsjeblieft een eerlijk antwoord.
horrible	verschrikkelijk	De geur was verschrikkelijk.
horror	de horror	Hij geniet van horrorfilms.
host	de gastheer	De gastheer verwelkomde elke gast.
