source_headword	AZ	example_AZ
filter	filtr	Filtr havadakı tozu təmizləyir.
fine	cərimə	Şirkət cərimə ödədi.
firearm	odlu silah	Zabit oğurlanmış odlu silahı tapdı.
fit	uyğunluq	Yeni ayaqqabılar tam uyğun gəlir.
fixture	daimi əşya	Lampa daimi əşyadır.
flaw	qüsur	Dizaynın bir ciddi qüsuru var.
flawed	qüsurlu	Qüsurlu tədqiqat yalan nəticələr verdi.
flee	qaçmaq	Ailələr döyüşdən qaçmalı oldular.
fleet	donanma	Aviaşirkət donanmasını yenilədi.
flesh	ət	Tikan onun ətinə batdı.
flexibility	çeviklik	Məsafədən iş daha çox çeviklik təklif edir.
flourish	çiçəklənmək	Kiçik biznes burada çiçəklənə bilər.
fluid	maye	Məşqdən sonra bol maye için.
footage	kadrlar	Kadrlar qəzanı göstərdi.
foreigner	əcnəbi	Formada əcnəbi olub-olmadığınız soruşulur.
forge	yaratmaq	Onlar yeni alyans yaratmağa çalışdılar.
formula	düstur	Düstur problemi həll etdi.
formulate	formalaşdırmaq	Alimlər yeni nəzəriyyə formalaşdırırlar.
forth	irəli	Çay qayığı irəli apardı.
forthcoming	qarşıdan gələn	Qarşıdan gələn hesabat hər şeyi izah edəcək.
foster	təşviq etmək	Proqram müstəqilliyi təşviq etməyə kömək edir.
fragile	kövrək	Kövrək vaza diqqətli rəftar tələb edir.
franchise	franşiza	Restoran qlobal franşizaya çevrildi.
frankly	düzü	Düzü, bizə daha çox vaxt lazımdır.
frustrated	məyus	İşçilər gecikmədən məyus oldular.
frustrating	məyusedici	Yavaş bağlantı məyusedici idi.
frustration	məyusluq	İclas zamanı məyusluq artdı.
functional	işlək	Köhnə mətbəx hələ də işləkdir.
fundraising	vəsait toplanması	Vəsait toplanması gələn həftə başlayır.
funeral	dəfn	Dəfn mərasimi cümə günü baş tutdu.
gallon	qallon	Çən bir qallon tutur.
gambling	qumar	Qumar qanunla məhdudlaşdırılır.
gathering	toplantı	Toplantı dinc şəkildə başa çatdı.
gaze	baxış	O, qısa müddətə onun baxışlarını tutdu.
gear	ləvazimat	Dırmaşmazdan əvvəl təhlükəsizlik ləvazimatlarını yığın.
generic	ümumi	Orijinal olmayan versiya daha ucuzdur.
genocide	soyqırım	Soyqırım dərin milli travma qoydu.
glance	nəzər	O, cəld nəzər saldı.
glimpse	ani baxış	Dənizi anidən gördüm.
glorious	şanlı	Komanda şanlı qələbədən həzz aldı.
glory	şöhrət	O, Olimpiya şöhrəti arzulayırdı.
governance	idarəetmə	Yaxşı idarəetmə şəffaflıq tələb edir.
grace	ləyaqət	O, məğlubiyyəti ləyaqətlə qəbul etdi.
grasp	qavramaq	O, anlayışı qavraya bilmədi.
grave (for dead person)	məzar	Məzar güllərlə örtülmüşdü.
grave (serious)	ağır	Vəziyyət ağır olaraq qalır.
gravity	cazibə qüvvəsi	Cazibə qüvvəsi əşyaları Yerə tərəf çəkir.
grid	şəbəkə	Xəritədə sadə bir şəbəkə istifadə olunur.
grief	kədər	Kədər onun bütün ailəsini dəyişdi.
grin	geniş gülümsəmə	Oğlan geniş gülümsədi.
grind	üyütmək	İşçilər hər səhər dənələri üyüdürlər.
grip	tutmaq	Kəndiri möhkəm tutun.
gross	ümumi	Ümumi gəlir kəskin şəkildə artdı.
guerrilla	partizan	Partizan döyüşçüləri təpələrdə gizləndilər.
guidance	rəhbərlik	Bələdçi praktiki rəhbərlik edir.
guilt	günah	Yalan danışdıqdan sonra o, günahkarlıq hiss etdi.
gut	hiss	Çətin seçimlərdə öz hisslərinizə güvənin.
hail	alqışlamaq	Kəndlilər həkimi qəhrəman kimi alqışlayırlar.
halfway	yarıyolda	Təpənin yarıyolunda dayandıq.
halt	dayanmaq	Qatar qəfildən dayandı.
handful	bir ovuc	Bir ovuc könüllü gecəyə qədər qaldı.
handling	rəftar	Düzgün rəftar zərərin qarşısını alır.
handy	əlverişli	Bu alət təmir üçün əlverişlidir.
harassment	qısnama	Şirkət qısnama şikayətlərini araşdırdı.
hardware	avadanlıq	Mağaza kompüter avadanlıqları satır.
harmony	harmoniya	Xor mükəmməl ahənglə oxudu.
harsh	sərt	Hakim sərt hökm çıxardı.
harvest	məhsul	Məhsul yığımı sentyabrda başlayır.
haunt	rahat buraxmamaq	Xatirə onu təqib etməyə davam etdi.
hazard	təhlükə	Buz yolda ciddi təhlükədir.
heighten	artırmaq	Çıxış gərginliyi artıra bilər.
heritage	irs	Qəsr yerli irsin bir hissəsidir.
hierarchy	iyerarxiya	Ofis iyerarxiyası aydın şəkildə müəyyən edilib.
high-profile	səs-küylü	Səs-küylü məhkəmə müxbirləri cəlb etdi.
hint	ipucu	O mənə faydalı bir ipucu verdi.
homeland	vətən	O, vətəninə qayıtdı.
hopeful	ümidli	Həkimlər sağalma ilə bağlı ümidlidirlər.
horizon	üfüq	Günəş üfüqün arxasında itdi.
horn	siqnal	Avtomobilin siqnalı hər kəsi oyatdı.
hostage	girov	Girov evə qayıtdı.
hostile	aqressiv	Kütlə aqressivləşdi.
hostility	düşmənçilik	Açıq düşmənçilik danışıqlara son qoydu.
humanitarian	humanitar	Humanitar missiya qida çatdırdı.
humanity	bəşəriyyət	Bəşəriyyət ortaq çağırışlarla üzləşir.
humble	təvazökar	O, uğurdan sonra da təvazökar qaldı.
hydrogen	hidrogen	Hidrogen çox asanlıqla yanır.
identification	şəxsiyyət vəsiqəsi	Girişdə şəxsiyyəti təsdiq edən sənəd tələb olunur.
ideological	ideoloji	Mübahisənin ideoloji kökləri var idi.
ideology	ideologiya	Onun ideologiyası hər çıxışını formalaşdırdı.
idiot	axmaq	Heç kimə axmaq deməyin.
ignorance	cəhalət	Cəhalət qorxu yaya bilər.
imagery	obrazlılıq	Şeirdə canlı təsvirlərdən istifadə olunur.
immense	nəhəng	Layihə böyük səy tələb edirdi.
imminent	qaçılmaz	Tufan qaçılmaz görünürdü.
implementation	icra	Qanunun icrası yavaş idi.
imprison	həbs etmək	Rejim tənqidçiləri həbs etməyə çalışdı.
imprisonment	həbs	Onun həbsi beş il davam etdi.
inability	bacarıqsızlıq	Onun diqqətini cəmləyə bilməməsi müəllimləri narahat edirdi.
inadequate	yetersiz	Sığınacağın isidilməsi yetərsiz idi.
inappropriate	yersiz	Onun zarafatı yersiz idi.
incidence	rastgəlmə tezliyi	Qripə yoluxma halları artdı.
inclined	meyilli	O, razılaşmağa meyillidir.
inclusion	inklüzivlik	Məktəb inklüzivliyi təşviq edir.
