source_headword	TR	example_TR
cruel	zalim	Bu zalim bir şakaydı.
cultural	kültürel	Şehir kültürel bir merkezdir.
currency	para birimi	Yerel para birimini havaalanında değiştir.
current	mevcut	Mevcut fiyat yüksek.
currently	şu anda	O şu anda evde çalışıyor.
curtain	perde	Perdeyi aç.
custom	gelenek	Bu eski bir aile geleneğidir.
damage	zarar	Fırtına büyük zarar verdi.
decade	on yıl	Orada bir on yıl yaşadı.
decorate	süslemek	Odayı çiçeklerle süsledik.
define	tanımlamak	Lütfen bu kelimeyi tanımla.
definite	kesin	Kesin bir cevaba ihtiyacımız var.
definition	tanım	Bu kelimenin tanımı basit.
deliver	teslim etmek	Paketi sabah teslim ettiler.
departure	kalkış	Kalkış ertelendi.
despite	rağmen	Yağmura rağmen dışarı çıktık.
destination	varış noktası	Varış noktamız küçük bir köy.
determine	belirlemek	Test seviyeyi belirlemeye yardım eder.
determined	kararlı	O kazanmaya kararlıydı.
development	gelişme	Şehrin gelişmesi hızlı.
diagram	şema	Şema süreci açıklıyor.
diamond	elmas	Elmaslı bir yüzük taktı.
difficulty	zorluk	Soruyla ilgili zorluk yaşadım.
directly	doğrudan	Onunla doğrudan konuş.
dirt	kir	Ayakkabılarda kir vardı.
disadvantage	dezavantaj	Yüksek fiyat büyük bir dezavantaj.
disappointed	hayal kırıklığına uğramış	Sonuçtan hayal kırıklığına uğradı.
disappointing	hayal kırıklığı yaratan	Haber hayal kırıklığı yaratandı.
discount	indirim	Mağaza büyük bir indirim sundu.
dislike	sevmemek	Bu gürültüyü sevmiyorum.
divide	bölmek	Pastayı altı parçaya böl.
documentary	belgesel	Belgesel izledik.
donate	bağış yapmak	Okula para bağışladılar.
doubt	şüphe	Hiç şüphem yok.
dressed	giyinmiş	O hazırdı ve iyi giyinmişti.
drum	davul	Çocuk davul çalıyordu.
drunk	sarhoş	Sürücü sarhoştu.
due	vadesi gelen	Raporun teslimi yarın.
dust	toz	Masanın üzerinde toz vardı.
duty	görev	Bu benim görevim.
earthquake	deprem	Deprem köprüye zarar verdi.
eastern	doğu	Doğu kıyısı güzeldir.
economic	ekonomik	Ekonomik büyüme yavaşladı.
economy	ekonomi	Ülkenin ekonomisi büyüyor.
edge	kenar	Kenarda durma.
editor	editör	Editör başlığı değiştirdi.
educate	eğitmek	Okullar çocukları eğitmelidir.
educated	eğitimli	O çok eğitimli bir kişidir.
educational	eğitici	Ziyaret eğiticiydi.
effective	etkili	Bu yöntem etkili.
effectively	etkili bir şekilde	Sorunu etkili bir şekilde çözdü.
effort	çaba	Bu büyük çaba gerektirdi.
election	seçim	Seçim ilkbaharda yapılacak.
element	unsur	Su önemli bir unsurdur.
embarrassed	utanmış	Hatasından dolayı utanmıştı.
embarrassing	utandırıcı	Bu utandırıcı bir andı.
emergency	acil durum	Acil durumda yardım çağır.
emotion	duygu	Sesinde güçlü bir duygu vardı.
employment	istihdam	Program istihdamı destekliyor.
encourage	cesaretlendirmek	Öğretmen öğrencileri cesaretlendirdi.
enemy	düşman	Düşmanına güvenmedi.
engaged	nişanlı	Geçen hafta nişanlandılar.
engineering	mühendislik	O mühendislik okuyor.
entertain	eğlendirmek	Oyun çocukları eğlendirdi.
entertainment	eğlence	Şehirde çok eğlence var.
entrance	giriş	Giriş sağ tarafta.
entry	girdi	Girdi kısa olmalı.
environmental	çevresel	Bu çevresel bir sorundur.
episode	bölüm	Son bölüm ilginçti.
equal	eşit	Tüm oylar eşittir.
equally	eşit şekilde	Parayı eşit şekilde paylaştılar.
escape	kaçmak	Mahkum kaçmaya çalıştı.
essential	temel	Su yaşam için temeldir.
eventually	sonunda	Sonunda evi bulduk.
examine	muayene etmek	Doktor hastayı muayene etti.
exchange	değiş tokuş etmek	Hediyeleri değiş tokuş ettiler.
excitement	heyecan	Odada büyük heyecan vardı.
exhibition	sergi	Sergiyi ziyaret ettik.
expand	genişletmek	Şirket pazarını genişletmek istiyor.
expected	beklenen	Beklenen sonuç iyiydi.
expedition	sefer	Sefer dağlara gitti.
experienced	deneyimli	O deneyimli bir öğretmendir.
explode	patlamak	Şişe basınçtan patlayabilir.
explore	keşfetmek	Şehri keşfetmek istiyoruz.
explosion	patlama	Patlama uzaktan duyuldu.
export	ihracat	Ülkenin ihracatı arttı.
fairly	oldukça	Sınav oldukça kolaydı.
familiar	tanıdık	Bu isim bana tanıdık geliyor.
fancy	şık	Şık bir restoran seçti.
fascinating	büyüleyici	Hikaye büyüleyiciydi.
fashionable	moda	Bu ceket çok moda.
fasten	bağlamak	Kemerini bağla.
favour	iyilik	Lütfen bana bir iyilik yap.
fence	çit	Çit yeni boyandı.
fighting	kavga	Kavga çabuk durduruldu.
file	dosya	Dosyayı bu klasöre kaydet.
financial	finansal	Finansal yardım aldılar.
fitness	formda kalma	Formda kalma onun günlük rutininin parçası.
fixed	sabit	Raf duvara sabit.
flag	bayrak	Bayrak rüzgarda dalgalanıyordu.
flood	sel	Sel yolu kapattı.
flour	un	Unu kaseye ekle.
flow	akmak	Nehir yavaşça akıyor.
fold	katlamak	Kağıdı ortadan katla.
folk	halk	Halk şarkısı söylediler.
force	güç	Güç kullanma.
forever	sonsuza kadar	Orada sonsuza kadar kalmak istedi.
frame	çerçeve	Resim ahşap bir çerçevede.
freeze	donmak	Su kışın donar.
frequently	sık sık	O sık sık seyahat eder.
friendship	arkadaşlık	Arkadaşlıkları uzun sürdü.
frighten	korkutmak	Yüksek ses çocuğu korkuttu.
frightened	korkmuş	Çocuk karanlıktan korkmuştu.
frightening	korkutucu	Film korkutucuydu.
frozen	dondurulmuş	Dondurulmuş sebze al.
fry	kızartmak	Soğanı hafifçe kızart.
fuel	yakıt	Arabaya yakıt lazım.
function	işlev	Bu düğmenin yeni bir işlevi var.
fur	kürk	Hayvanın kürkü yumuşak.
garage	garaj	Araba garajda.
gather	toplanmak	İnsanlar salonda toplandı.
generally	genel olarak	Genel olarak plan iyi çalışıyor.
generation	nesil	Yeni nesil hızlı öğreniyor.
generous	cömert	O çok cömert bir arkadaştır.
gentle	nazik	Sesi nazikti.
gentleman	bey	O bey kapıyı açtı.
ghost	hayalet	Hikayede bir hayalet var.
giant	dev	Parkta dev bir ağaç var.
glad	memnun	Seni gördüğüme memnunum.
global	küresel	Bu küresel bir sorundur.
glove	eldiven	Eldiven karda kayboldu.
goods	mallar	Mallar bugün geldi.
grade	not	Yüksek bir not aldı.
graduate	mezun	Ağabeyim üniversite mezunu.
grain	tane	Her tane önemlidir.
grateful	minnettar	Yardım için çok minnettarım.
growth	büyüme	Şirketin büyümesi hızlıydı.
guard	güvenlik görevlisi	Güvenlik görevlisi kapıda duruyordu.
guilty	suçlu	Kendini suçlu hissetti.
hang	asmak	Montunu buraya as.
happiness	mutluluk	Onun mutluluğu görünüyordu.
hardly	zor	Bu sesi zor duydum.
headline	başlık	Başlık dikkatimi çekti.
heating	ısıtma	Isıtma bugün çalışmıyor.
heavily	şiddetli	Yağmur şiddetli yağdı.
helicopter	helikopter	Helikopter şehrin üzerinde uçtu.
highlight	vurgulamak	Önemli kelimeleri vurgula.
highly	çok	O çok saygı duyulan bir doktordur.
hire	kiralamak	İki günlüğüne araba kiraladık.
historic	tarihi	Bu tarihi bir binadır.
historical	tarihsel	Tarihsel gerçekleri inceliyorlar.
honest	dürüst	Dürüst bir cevap verdi.
horrible	korkunç	Hava korkunçtu.
horror	korku	Korku filmlerini sevmem.
host	ev sahibi	O akşamın ev sahibiydi.
