source_headword	DE	example_DE
casual	locker	Er trug legere Kleidung zur Arbeit.
cave	die Höhle	Die Wanderer betraten die Höhle.
certainty	die Gewissheit	Wir können es nicht mit Gewissheit wissen.
certificate	das Zertifikat	Sie erhielt ein Ausbildungszertifikat.
challenging	herausfordernd	Der Kurs war anspruchsvoll, aber nützlich.
championship	die Meisterschaft	Unser Team erreichte das Meisterschaftsfinale.
charming	charmant	Die alte Straße sah bezaubernd aus.
chase	verfolgen	Der Hund jagte den Ball.
cheek	die Wange	Eine Träne rann ihre Wange hinunter.
cheer	jubeln	Die Menge begann laut zu jubeln.
choir	der Chor	Der Chor sang wunderschön.
chop	hacken	Schneiden Sie die Zwiebeln in kleine Stücke.
circuit	der Stromkreis	Der Läufer beendete die Strecke.
civilization	die Zivilisation	Eine antike Zivilisation prägte diese Region.
clarify	klären	Bitte klären Sie den letzten Punkt.
classify	klassifizieren	Wissenschaftler klassifizieren Tiere nach Arten.
clerk	der Angestellte	Der Angestellte druckte die Quittung aus.
cliff	die Klippe	Der Weg endet in der Nähe einer Klippe.
clinic	die Klinik	Die Klinik öffnet um acht Uhr.
clip	der Clip	Sie befestigte die Klammer am Papier.
coincidence	der Zufall	Ihn dort zu treffen war ein Zufall.
collector	der Sammler	Der Sammler kaufte seltene Münzen.
colony	die Kolonie	Die Ameisen bauten eine große Kolonie.
colourful	farbenfroh	Der Markt war hell und bunt.
comic	der Comic	Die komische Szene brachte uns zum Lachen.
commander	der Kommandant	Der Kommandant gab klare Befehle.
comparative	vergleichend	Der Aufsatz verwendet vergleichende Daten.
completion	der Abschluss	Die Brücke steht kurz vor dem Abschluss.
compose	verfassen	Er wird die Musik für den Film komponieren.
composer	der Komponist	Der Komponist schrieb ein neues Lied.
compound	die Verbindung	Die Verbindung enthält zwei Chemikalien.
comprehensive	umfassend	Der Leitfaden gibt umfassende Anweisungen.
comprise	umfassen	Das Team umfasst fünf Mitglieder.
compulsory	obligatorisch	Die Anwesenheit ist für diesen Kurs obligatorisch.
concrete	der Beton	Der Boden besteht aus Beton.
confess	gestehen	Er gestand seinem Lehrer den Fehler.
confusion	die Verwirrung	Die Verzögerung sorgte für Verwirrung.
consequently	folglich	Es regnete; folglich wurde das Spiel abgebrochen.
conservation	die Erhaltung	Der Naturschutz schützt seltene Tiere.
considerable	beträchtlich	Die Reparatur nahm beträchtliche Zeit in Anspruch.
considerably	beträchtlich	Die Preise sind in diesem Jahr erheblich gestiegen.
consistently	konsequent	Sie erbringt konstant gute Leistungen.
conspiracy	die Verschwörung	Die Polizei untersuchte die Verschwörung.
consult	konsultieren	Konsultieren Sie Ihren Arzt, bevor Sie Medikamente einnehmen.
consultant	der Berater	Der Berater schlug eine neue Strategie vor.
consumption	der Verbrauch	Der Energieverbrauch ist letzten Monat gesunken.
controversial	umstritten	Die Richtlinie bleibt umstritten.
controversy	die Kontroverse	Die Entscheidung löste eine Kontroverse aus.
convenience	die Bequemlichkeit	Das Geschäft bietet großen Komfort.
convention	die Konvention	Der jährliche Kongress beginnt am Montag.
conventional	konventionell	Er wählte ein konventionelles Design.
convey	vermitteln	Die Botschaft vermittelte Mitgefühl.
convincing	überzeugend	Ihre Erklärung war überzeugend.
cope	bewältigen	Sie lernte, Stress zu bewältigen.
corporation	das Unternehmen	Das Unternehmen eröffnete ein neues Büro.
corridor	der Korridor	Der Flur war eng und ruhig.
counter (long flat surface)	die Theke	Die Schlüssel liegen auf der Küchenarbeitsplatte.
coverage	die Abdeckung	Die Berichterstattung dauerte den ganzen Abend.
crack	der Riss	Ein Riss tauchte in der Wand auf.
craft	das Handwerk	Sie verkauft handgemachtes Kunsthandwerk online.
creativity	die Kreativität	Kreativität hilft dabei, Probleme zu lösen.
critically	kritisch	Der Artikel war äußerst wichtig.
cruise	die Kreuzfahrt	Sie buchten eine Kreuzfahrt nach Griechenland.
cue	das Stichwort	Der Schauspieler verpasste sein Stichwort.
curious	merkwürdig	Das Kind war neugierig auf den Weltraum.
curriculum	der Lehrplan	Die Schule hat ihren Lehrplan aktualisiert.
cute	süß	Der Welpe sah niedlich aus.
dairy	die Molkerei	Der Bauernhof produziert Molkereiprodukte.
dare	wagen	Ich fordere dich heraus, es zu versuchen.
darkness	die Dunkelheit	Der Raum füllte sich mit Dunkelheit.
database	die Datenbank	Die Datenbank speichert Kundendatensätze.
deadline	die Frist	Die Frist ist Freitag.
deadly	tödlich	Die Schlange hat ein tödliches Gift.
dealer	der Händler	Der Autohändler bot einen Rabatt an.
deck	das Deck	Die Stühle stehen auf der Terrasse.
defender	der Verteidiger	Der Verteidiger blockte den Schuss.
delete	löschen	Löschen Sie die alte Nachricht.
democracy	die Demokratie	Die Demokratie hängt von freien Wahlen ab.
democratic	demokratisch	Die Abstimmung folgte demokratischen Regeln.
demonstration	die Demonstration	Die Studenten schlossen sich einer Demonstration an.
depart	abweichen	Der Zug wird am Mittag abfahren.
dependent	abhängig	Das Kind ist von Erwachsenen abhängig.
deposit	die Einzahlung	Sie hat eine Kaution für die Wohnung bezahlt.
depression	die Depression	Depressionen erfordern professionelle Unterstützung.
derive	ableiten	Viele Wörter stammen aus dem Lateinischen.
desperately	verzweifelt	Er brauchte verzweifelt Wasser.
destruction	die Zerstörung	Der Sturm verursachte weitreichende Zerstörung.
determination	die Entschlossenheit	Ihre Entschlossenheit beeindruckte den Trainer.
devote	widmen	Sie widmet ihre Wochenenden dem Lernen.
differ	sich unterscheiden	Ihre Meinungen unterscheiden sich stark.
disability	die Behinderung	Das Gebäude ist behindertengerecht zugänglich.
disabled	behindert	Der behinderte Athlet gewann eine Medaille.
disagreement	die Meinungsverschiedenheit	Das Treffen endete in einer Meinungsverschiedenheit.
disappoint	enttäuschen	Das Ergebnis könnte die Fans enttäuschen.
disappointment	die Enttäuschung	Er spürte tiefe Enttäuschung.
discourage	entmutigen	Entmutigen Sie junge Lernende nicht.
disorder	die Störung	Der Arzt diagnostizierte eine Schlafstörung.
distant	entfernt	Die Berge sahen fern aus.
distinct	deutlich	Die beiden Geräusche sind deutlich.
distinguish	unterscheiden	Können Sie diese Farben unterscheiden?
distract	ablenken	Lärm kann Schüler ablenken.
disturb	stören	Bitte stören Sie den Patienten nicht.
dive	tauchen	Sie werden in der Nähe des Riffs tauchen.
diverse	vielfältig	Die Stadt hat vielfältige Kulturen.
diversity	die Vielfalt	Wir feiern die kulturelle Vielfalt.
divorce	die Scheidung	Die Scheidung war für alle schwierig.
dominant	dominant	Das dominante Team kontrollierte das Spiel.
donation	die Spende	Die Wohltätigkeitsorganisation erhielt eine Spende.
dot	der Punkt	Setzen Sie einen Punkt nach der Zahl.
downtown	das Stadtzentrum	Wir trafen uns nach der Arbeit im Stadtzentrum.
dramatically	dramatisch	Der Preis ist drastisch gesunken.
drought	die Dürre	Die Dürre beschädigte die Ernte.
dull	langweilig	Die Vorlesung war langweilig.
dump	abladen	Laden Sie hier keinen Müll ab.
duration	die Dauer	Die Flugdauer beträgt drei Stunden.
dynamic	dynamisch	Das Klassenzimmer wirkte dynamisch.
economics	die Ökonomie	Sie studiert Wirtschaftswissenschaften an der Universität.
economist	der Ökonom	Der Ökonom prognostizierte ein langsameres Wachstum.
editorial	redaktionell	Der Leitartikel kritisierte das Gesetz.
efficiently	effizient	Das Team arbeitete effizient.
elbow	der Ellbogen	Er hat sich am Ellbogen verletzt.
electronics	die Elektronik	Das Geschäft verkauft Elektronik.
elegant	elegant	Das Kleid sah elegant aus.
elementary	elementar	Das Buch erklärt die grundlegende Grammatik.
eliminate	eliminieren	Das Team hat mehrere Fehler beseitigt.
embrace	annehmen	Sie hat die neue Idee angenommen.
emission	die Emission	Die Autoemissionen sind gesunken.
emotionally	emotional	Er sprach emotional über seine Familie.
empire	das Imperium	Das Reich bestand über Jahrhunderte.
enjoyable	angenehm	Die Reise war angenehm.
entertaining	unterhaltsam	Die Show war unterhaltsam.
entrepreneur	der Unternehmer	Der Unternehmer eröffnete ein Café.
envelope	der Umschlag	Steck den Brief in einen Briefumschlag.
equip	ausrüsten	Die Schule wird das Labor ausstatten.
equivalent	das Äquivalent	Ein Dollar ist hier nicht gleichwertig.
era	die Ära	Die Entdeckung leitete eine neue Ära ein.
erupt	ausbrechen	Der Vulkan könnte bald ausbrechen.
essentially	im Grunde	Die beiden Methoden sind im Wesentlichen identisch.
ethic	die Ethik	Seine Arbeitsmoral ist stark.
ethnic	ethnisch	Das Festival feiert ethnische Traditionen.
evaluation	die Bewertung	Der Kurs beinhaltet eine Abschlussbewertung.
evident	offensichtlich	Seine Nervosität war offensichtlich.
evolution	die Evolution	Die Evolution erklärt viele biologische Veränderungen.
evolve	entwickeln	Sprachen entwickeln sich im Laufe der Zeit.
exceed	überschreiten	Die Nachfrage könnte das Angebot übersteigen.
exception	die Ausnahme	Es gibt eine Ausnahme.
excessive	übermäßig	Übermäßiger Lärm stört die Nachbarn.
exclude	ausschließen	Die Liste schließt Zeitarbeiter aus.
exhibit	das Ausstellungsstück	Das Museum wird seltene Fotografien ausstellen.
exit	der Ausgang	Der Ausgang befindet sich hinter der Bühne.
exotic	exotisch	Das Geschäft verkauft exotische Früchte.
expansion	die Expansion	Das Unternehmen plante eine Expansion.
expertise	das Fachwissen	Ihr Fachwissen verbesserte das Projekt.
exploit	ausnutzen	Kriminelle nutzen schwache Passwörter aus.
exposure	die Exposition	Sonneneinstrahlung kann die Haut schädigen.
extension	die Verlängerung	Die Fristverlängerung hat allen geholfen.
extensive	umfangreich	Die Bibliothek verfügt über umfangreiche Ressourcen.
extensively	ausführlich	Das Thema wurde ausgiebig studiert.
extract	der Extrakt	Vanilleextrakt gibt Geschmack.
fabric	der Stoff	Der Stoff fühlt sich weich an.
fabulous	fabelhaft	Das Essen war fabelhaft.
failed	gescheitert	Der gescheiterte Versuch hat uns etwas gelehrt.
fake	falsch	Die Website verkaufte gefälschte Tickets.
fame	der Ruhm	Der Ruhm veränderte sein Privatleben.
fantasy	die Fantasie	Der Roman ist eine Fantasygeschichte.
fare	der Fahrpreis	Der Busfahrpreis ist gestiegen.
federal	föderal	Die Bundesregierung kündigte eine Finanzierung an.
fever	das Fieber	Das Kind hat Fieber.
firefighter	der Feuerwehrmann	Der Feuerwehrmann hat den Hund gerettet.
firework	das Feuerwerk	Ein Feuerwerk explodierte über dem Park.
firm	fest	Die Matratze ist fest.
firmly	bestimmt	Sie schloss die Tür fest.
flavour	der Geschmack	Die Suppe hat einen reichen Geschmack.
fond	liebevoll	Er mag Jazz sehr.
fool	der Narr	Benimm dich nicht wie ein Narr.
forbid	verbieten	Das Gesetz verbietet das Rauchen hier.
forecast	die Vorhersage	Die Vorhersage sagt Regen voraus.
format	das Format	Verwenden Sie das richtige Dateiformat.
formation	die Formation	Die Wolkenbildung ändert sich schnell.
formerly	früher	Das Gebäude war früher eine Schule.
fortunate	glücklich	Wir hatten das Glück, früh anzukommen.
forum	das Forum	Das Forum diskutierte über Klimapolitik.
fossil	das Fossil	Das Fossil wurde im Stein gefunden.
foundation	das Fundament	Das Haus hat ein starkes Fundament.
founder	der Gründer	Der Gründer begrüßte die Gäste.
fraction	der Bruchteil	Nur ein Bruchteil der Schüler kam.
fragment	das Fragment	Ein Glassplitter lag auf dem Boden.
framework	der Rahmen	Das Gesetz schafft einen klaren Rahmen.
fraud	der Betrug	Die Bank entdeckte einen Betrug.
freely	frei	Die Kinder spielten frei draußen.
frequent	häufig	Häufige Pausen verbessern die Konzentration.
fulfil	erfüllen	Ich hoffe, mein Versprechen zu erfüllen.
full-time	Vollzeit	Sie hat einen Vollzeitjob.
fundamentally	grundsätzlich	Der Plan ist grundlegend anders.
furious	wütend	Er war wütend über die Verspätung.
gaming	das Spielen	Gaming kann die Reaktionsgeschwindigkeit verbessern.
gay	schwul	Er unterstützt die Rechte von Homosexuellen.
gender	das Geschlecht	Die Umfrage fragte nach dem Geschlecht.
gene	das Gen	Das Gen beeinflusst die Augenfarbe.
genetic	genetisch	Die Krankheit hat genetische Ursachen.
genius	das Genie	Der junge Pianist ist ein Genie.
genuine	echt	Ihr Lächeln wirkte aufrichtig.
genuinely	wirklich	Er wollte wirklich helfen.
gesture	die Geste	Sie machte eine freundliche Geste.
gig	der Auftritt	Die Band spielte einen Gig in der Innenstadt.
globalization	die Globalisierung	Die Globalisierung betrifft lokale Unternehmen.
globe	der Globus	Der Globus zeigt jeden Kontinent.
golden	golden	Der Sonnenuntergang wurde golden.
goodness	die Güte	Sie glaubt an die menschliche Güte.
gorgeous	wunderschön	Der Garten sah wunderschön aus.
governor	der Gouverneur	Der Gouverneur hat das Gesetz unterzeichnet.
graphic	grafisch	Das anschauliche Bild schockierte die Zuschauer.
graphics	die Grafiken	Das Spiel hat eine einfache Grafik.
greatly	sehr	Ihr Rat hat sehr geholfen.
greenhouse	das Gewächshaus	Tomaten wachsen im Gewächshaus.
grocery	das Lebensmittelgeschäft	Sie kaufte nach der Arbeit Lebensmittel.
guideline	die Richtlinie	Die Richtlinie erklärt sicheres Arbeiten.
habitat	der Lebensraum	Der Wald ist ein Lebensraum für Vögel.
harbour	der Hafen	Das Boot fuhr in den Hafen ein.
headquarters	der Hauptsitz	Der Hauptsitz des Unternehmens zog in die Innenstadt.
