source_headword	FI	example_FI
media	media; tiedotusvälineet	Media käsitteli tarinaa.
medical	lääketieteellinen	Hän tarvitsee lääketieteellistä apua.
medicine	lääke	Ota tämä lääke lounaan jälkeen.
memory	muisto; muisti	Muistini on hyvä.
mention	mainita	Älä mainitse nimeäni.
metal	metalli	Portti on tehty metallista.
method	menetelmä	Tämä menetelmä toimii hyvin.
middle	keskikohta; keskellä	Seiso keskellä.
might modal	saattaa; ehkä	Myöhemmin saattaa sataa.
mind	mieli; mielipide	Muutin mieleni.
mine (belongs to me)	minun	Tämä kirja on minun.
mirror	peili	Katso peiliin.
missing	kadonnut; puuttuva	Avaimeni ovat kadonneet.
mobile	matkapuhelin; kännykkä	Matkapuhelimeni on pöydällä.
monkey	apina	Apina kiipesi puuhun.
moon	kuu	Kuu on kirkas.
mostly	enimmäkseen	Luokka oli enimmäkseen hiljainen.
motorcycle	moottoripyörä	Hän ajaa moottoripyörällä.
movement	liike	Näin liikkeen puissa.
musical	musikaali; musiikillinen	Tämä on musiikillinen elokuva.
musician	muusikko	Muusikko soitti kitaraa.
myself	itse; minä itse	Tein tämän itse.
narrow	kapea	Tie on kapea.
national	kansallinen	Tämä on kansallinen juhlapäivä.
nature	luonto	Rakastan luontoa.
nearly	melkein	Olemme melkein perillä.
necessary	tarpeellinen; välttämätön	Onko tämä tarpeellista?
neck	kaula; niska	Niskaani sattuu.
neither	kumpikaan ei	Kumpikaan vastaus ei ole oikea.
nervous	hermostunut	Hän tuntee olonsa hermostuneeksi.
network	verkko	Verkko ei toimi.
noise	melu; ääni	Kuulin kovan äänen.
noisy	meluisa	Katu on meluisa.
none	ei kukaan; ei mikään	Kukaan heistä ei tullut.
normal	normaali	Tämä on normaalia.
normally	yleensä	Nousen yleensä aikaisin.
notice	huomata; ilmoitus	Huomasitko kyltin?
novel	romaani	Hän kirjoitti romaanin.
nowhere	ei missään	Missään ei ollut istumapaikkaa.
nut	pähkinä	Pähkinä on kova.
ocean	valtameri	Valtameri on syvä.
offer	tarjota; tarjous	Otin tarjouksen vastaan.
officer	poliisi; upseeri	Poliisi tarkisti lippuni.
oil	öljy	Laita öljyä pannulle.
onto	päälle; jonkin päälle	Laita se hyllylle.
opportunity	mahdollisuus	Tämä on hyvä mahdollisuus.
option	vaihtoehto	Valitse paras vaihtoehto.
ordinary	tavallinen	Se oli tavallinen päivä.
organization	järjestö; organisaatio	Järjestö auttaa opiskelijoita.
organize	järjestää	Järjestä tiedostot, kiitos.
original	alkuperäinen; omaperäinen	Säilytä alkuperäinen kuitti.
ourselves	itse; me itse	Teimme illallisen itse.
oven	uuni	Uuni on kuuma.
owner	omistaja	Omistaja avasi kaupan.
pack	pakata; paketti	Pakkaa laukkusi nyt.
pain	kipu	Tunnen kipua selässäni.
painter	maalari	Maalari sai seinän valmiiksi.
palace	palatsi	Palatsi on vanha.
pants	housut	Nämä housut ovat liian pitkät.
parking	pysäköinti	Pysäköinti on vaikeaa täällä.
particular	tietty; erityinen	Tarvitsen tietyn kirjan.
pass	antaa; ohittaa	Anna minulle suola.
passenger	matkustaja	Jokainen matkustaja tarvitsee lipun.
patient	potilas; kärsivällinen	Ole kärsivällinen lasten kanssa.
pattern	kuvio; malli	Tämä kuvio on yksinkertainen.
peace	rauha	Toivomme kaikki rauhaa.
penny	pieni kolikko	Löysin pienen kolikon.
per	per; kohti	Lippu maksaa kymmenen dollaria henkilöä kohti.
per cent	prosentti	Viisi prosenttia on vähän.
perform	esiintyä; suorittaa	Bändi esiintyy tänä iltana.
perhaps	ehkä	Ehkä hän on kotona.
permission	lupa	Pyydä lupa ensin.
personality	persoonallisuus	Hänellä on ystävällinen persoonallisuus.
pet	lemmikki	Lemmikkini on kissa.
petrol	bensiini	Auto tarvitsee bensiiniä.
physical	fyysinen	Fyysinen harjoittelu auttaa terveyttä.
physics	fysiikka	Fysiikka on vaikeaa.
pick	valita; poimia	Valitse yksi kortti.
pilot	lentäjä	Lentäjä puhui selvästi.
planet	planeetta	Maa on planeetta.
plastic	muovi; muovinen	Pullo on tehty muovista.
plate	lautanen	Laita ruoka lautaselle.
platform	alusta; laituri	Odota laiturilla kaksi.
pleased	iloinen; tyytyväinen	Olen iloinen tapaamisestamme.
pocket	tasku	Lippu on taskussani.
polite	kohtelias	Ole kohtelias kaikille.
pollution	saastuminen	Saastuminen vahingoittaa merta.
pop	pop; popmusiikki	Pidän popmusiikista.
population	väestö	Väestö kasvaa.
position	asento; sijainti	Vaihda asentoa.
possession	omaisuus	Tämä sormus on omaisuuttani.
possibility	mahdollisuus	On mahdollisuus sateeseen.
poster	juliste	Ripusta juliste seinälle.
power	sähkö; voima	Tietokone tarvitsee sähköä.
predict	ennustaa	Emme voi ennustaa säätä.
president	presidentti	Presidentti piti puheen.
prevent	estää	Pese kätesi estääksesi sairauden.
print	tulostaa	Tulosta asiakirja.
printer	tulostin	Tulostin on rikki.
prison	vankila	Hän joutui vankilaan.
prize	palkinto	Hän voitti palkinnon.
process	prosessi	Prosessi vie aikaa.
produce	tuottaa	Maatilat tuottavat ruokaa.
professional	ammattimainen; ammattilainen	Hän on ammattimainen tanssija.
professor	professori	Professori vastasi kysymykseen.
profile	profiili	Päivitä profiilisi.
program	ohjelma	Ohjelma alkaa nyt.
progress	edistys	Edistyimme tänään.
promise	luvata; lupaus	Pidä lupauksesi.
pronounce	ääntää	Äännä tämä sana, kiitos.
protect	suojella	Suojele silmiäsi.
provide	tarjota; antaa	He tarjoavat ilmaista vettä.
pub	pubi; baari	Tapasimme pubissa.
public	julkinen	Puisto on julkinen.
publish	julkaista	He julkaisevat lehden.
pull	vetää	Vedä ovea.
purpose	tarkoitus	Mikä on tarkoitus?
push	työntää; painaa	Paina nappia.
quality	laatu	Laatu on korkea.
quantity	määrä	Tarkista määrä.
queen	kuningatar	Kuningatar vilkutti.
quietly	hiljaa	Puhu hiljaa.
race (competition)	kilpailu; juoksukilpailu	Kilpailu alkaa pian.
railway	rautatie	Rautatie on suljettu.
raise	nostaa; korottaa	Nosta kätesi.
rate	hinta; määrä	Hotellihinta on korkea.
rather	melko; mieluummin	Olen melko väsynyt.
reach	saavuttaa; yltää	Yllätkö hyllylle?
react	reagoida	Miten hän reagoi?
realize	tajuta; ymmärtää	Tajusin virheeni.
receive	saada; vastaanottaa	Saitko viestini?
recent	viimeaikainen; uusi	Tämä on uusi kuva.
recently	äskettäin; viime aikoina	Muutin tänne äskettäin.
reception	vastaanotto	Vastaanotto on maanantaina.
recipe	resepti	Tämä resepti on yksinkertainen.
recognize	tunnistaa	Tunnistan tuon laulun.
recommend	suositella	Suosittelen tätä kirjaa.
record	merkintä; tallentaa	Tallenna merkintä maksusta.
recording	tallenne	Tallenne kuulostaa selkeältä.
recycle	kierrättää	Kierrätä paperi ja muovi.
reduce	vähentää	Vähennä lämpöä.
refer	viitata; ohjata	Viittaa sivuun kaksi.
refuse1	kieltäytyä	Kieltäydyn valehtelemasta.
region	alue	Tämä alue on kylmä.
regular	säännöllinen; vakituinen	Hän on vakituinen asiakas.
relationship	suhde	Heidän suhteensa on vahva.
remove	poistaa; ottaa pois	Ota kengät pois.
repair	korjata	Korjaa pyörä tänään.
replace	korvata; vaihtaa	Vaihda vanha paristo.
reply	vastata	Vastaa nopeasti, kiitos.
reporter	toimittaja	Toimittaja teki muistiinpanoja.
request	pyyntö	Esitin pyynnön.
research	tutkimus; tutkia	Tutkimme paikallista historiaa.
researcher	tutkija	Tutkija tarkisti tiedot.
respond	vastata; reagoida	Vastaa tänään, kiitos.
response	vastaus; reaktio	Vastaus oli nopea.
rest (remaining part)	loppu; loput	Syö loput myöhemmin.
rest (sleep/relax)	levätä; lepo	Tarvitset lepoa.
review	tarkistaa; arvostelu	Tarkista muistiinpanosi tänä iltana.
ring1	sormus	Hänellä on kultasormus.
ring2	soittaa	Soita minulle lounaan jälkeen.
rise	nousta; nousu	Hinnat nousevat joka vuosi.
rock (stone)	kivi	Kivi on painava.
