hsk_key	source_word	simplified	SI	example_SI	TA	example_TA	TE	example_TE	KN	example_KN	ML	example_ML	KK	example_KK	KA	example_KA	HY	example_HY
320:出去	出去	出去	පිටතට යාම	මට පිටතට ගිහින් ඇවිදින්න ඕන.	வெளியே செல்லுதல்	நான் வெளியே சென்று நடக்க விரும்புகிறேன்.	బయటికి వెళ్లడం	నేను బయటికి వెళ్లి నడవాలనుకుంటున్నాను.	ಹೊರಗೆ ಹೋಗು	ನನಗೆ ಹೊರಗೆ ಹೋಗಿ ನಡೆಯಬೇಕು.	പുറത്തേക്ക് പോകുക	എനിക്ക് പുറത്തേക്ക് പോയി നടക്കണം.	сыртқа шығу	Мен сыртқа шығып серуендегім келеді.	გარეთ გასვლა	გარეთ გასვლა და გასეირნება მინდა.	դուրս գնալ	Ես ուզում եմ դուրս գնալ ու քայլել։
321:床	床	床	ඇඳ	ඇඳ කාමරයේ තියෙනවා.	படுக்கை	படுக்கை அறையில் உள்ளது.	మంచం	మంచం గదిలో ఉంది.	ಹಾಸಿಗೆ	ಹಾಸಿಗೆ ಕೊಠಡಿಯಲ್ಲಿ ಇದೆ.	കിടക്ക	കിടക്ക മുറിയിലാണ്.	төсек	Төсек бөлмеде тұр.	საწოლი	საწოლი ოთახშია.	մահճակալ	Մահճակալը սենյակում է։
322:词	词	词	වචනය	මට මේ වචනය තේරෙන්නේ නැහැ.	சொல்	எனக்கு இந்த சொல் புரியவில்லை.	పదం	నాకు ఈ పదం అర్థం కావడం లేదు.	ಪದ	ನನಗೆ ಈ ಪದ ಅರ್ಥವಾಗುತ್ತಿಲ್ಲ.	വാക്ക്	എനിക്ക് ഈ വാക്ക് മനസ്സിലാകുന്നില്ല.	сөз	Мен бұл сөзді түсінбеймін.	სიტყვა	ეს სიტყვა არ მესმის.	բառ	Ես այս բառը չեմ հասկանում։
325:从小	从小	从小	කුඩා කාලයේ සිට	මම කුඩා කාලයේ සිට චිත්‍ර ඇඳීමට කැමතියි.	சிறுவயதிலிருந்தே	சிறுவயதிலிருந்தே எனக்கு வரையப் பிடிக்கும்.	చిన్నప్పటి నుంచి	నాకు చిన్నప్పటి నుంచే చిత్రాలు గీయడం ఇష్టం.	ಚಿಕ್ಕಂದಿನಿಂದ	ನನಗೆ ಚಿಕ್ಕಂದಿನಿಂದ ಚಿತ್ರ ಬಿಡಿಸುವುದು ಇಷ್ಟ.	കുട്ടിക്കാലം മുതൽ	കുട്ടിക്കാലം മുതൽ എനിക്ക് ചിത്രം വരയ്ക്കാൻ ഇഷ്ടമാണ്.	кішкентай кезден	Мен кішкентай кезімнен сурет салғанды ұнатамын.	ბავშვობიდან	ბავშვობიდან ხატვა მიყვარს.	փոքր տարիքից	Ես փոքր տարիքից սիրում եմ նկարել։
327:打1	打1	打	දුරකථන ඇමතුමක් දීම	මම තාත්තාට දුරකථනයෙන් කතා කරනවා.	தொலைபேசியில் அழைத்தல்	நான் அப்பாவிற்கு தொலைபேசியில் அழைக்கிறேன்.	ఫోన్ చేయడం	నేను నాన్నకు ఫోన్ చేస్తాను.	ಫೋನ್ ಮಾಡು	ನಾನು ಅಪ್ಪನಿಗೆ ಫೋನ್ ಮಾಡುತ್ತೇನೆ.	ഫോൺ ചെയ്യുക	ഞാൻ അച്ഛന് ഫോൺ ചെയ്യും.	телефон соғу	Мен әкеме телефон соғамын.	ტელეფონით დარეკვა	მამას ტელეფონით ვურეკავ.	զանգել հեռախոսով	Ես հայրիկիս զանգում եմ։
328:打车	打车	打车	ටැක්සියක් ගැනීම	අපි ගුවන්තොටුපොළට ටැක්සියෙන් යනවා.	டாக்ஸி எடுப்பது	நாங்கள் விமான நிலையத்திற்கு டாக்ஸியில் செல்கிறோம்.	టాక్సీ తీసుకోవడం	మేము విమానాశ్రయానికి టాక్సీలో వెళ్తాం.	ಟ್ಯಾಕ್ಸಿ ಹಿಡಿ	ನಾವು ವಿಮಾನ ನಿಲ್ದಾಣಕ್ಕೆ ಟ್ಯಾಕ್ಸಿಯಲ್ಲಿ ಹೋಗುತ್ತೇವೆ.	ടാക്സി എടുക്കുക	ഞങ്ങൾ വിമാനത്താവളത്തിലേക്ക് ടാക്സിയിൽ പോകുന്നു.	такси ұстау	Біз әуежайға таксимен барамыз.	ტაქსით წასვლა	აეროპორტში ტაქსით მივდივართ.	տաքսի վերցնել	Մենք օդանավակայան տաքսիով ենք գնում։
329:打开	打开	打开	විවෘත කිරීම	කරුණාකර පොත විවෘත කරන්න.	திறத்தல்	தயவுசெய்து புத்தகத்தைத் திறக்கவும்.	తెరవడం	దయచేసి పుస్తకం తెరవండి.	ತೆರೆ	ದಯವಿಟ್ಟು ಪುಸ್ತಕವನ್ನು ತೆರೆಯಿರಿ.	തുറക്കുക	ദയവായി പുസ്തകം തുറക്കൂ.	ашу	Кітапты ашыңызшы.	გახსნა	წიგნი გახსენით, გთხოვთ.	բացել	Խնդրում եմ բացեք գիրքը։
330:但	但	但	නමුත්	මම කාර්යබහුලයි, නමුත් සතුටින් ඉන්නවා.	ஆனால்	நான் பிஸியாக இருக்கிறேன், ஆனால் மகிழ்ச்சியாக இருக்கிறேன்.	కానీ	నేను బిజీగా ఉన్నాను, కానీ సంతోషంగా ఉన్నాను.	ಆದರೆ	ನಾನು ಬ್ಯುಸಿಯಾಗಿದ್ದೇನೆ, ಆದರೆ ಸಂತೋಷವಾಗಿದ್ದೇನೆ.	പക്ഷേ	ഞാൻ തിരക്കിലാണ്, പക്ഷേ സന്തോഷത്തിലാണ്.	бірақ	Мен бос емеспін, бірақ қуаныштымын.	მაგრამ	დაკავებული ვარ, მაგრამ ბედნიერი ვარ.	բայց	Ես զբաղված եմ, բայց ուրախ եմ։
338:动	动	动	චලනය වීම; සෙලවීම	සෙලවෙන්න එපා.	அசைதல்; நகர்தல்	அசையாதே.	కదలడం	కదలవద్దు.	ಅಲುಗು; ಚಲಿಸು	ಅಲುಗಾಡಬೇಡ.	ചലിക്കുക; ഇളകുക	ഇളകരുത്.	қозғалу	Қозғалма.	მოძრაობა	არ გაინძრე.	շարժվել	Մի շարժվիր։
340:飞	飞	飞	පියාසර කිරීම	කුරුල්ලෙක් අහසේ පියාසර කරනවා.	பறத்தல்	பறவை வானில் பறக்கிறது.	ఎగరడం	పక్షి ఆకాశంలో ఎగురుతోంది.	ಹಾರು	ಹಕ್ಕಿ ಆಕಾಶದಲ್ಲಿ ಹಾರುತ್ತಿದೆ.	പറക്കുക	പക്ഷി ആകാശത്ത് പറക്കുന്നു.	ұшу	Құс аспанда ұшып жүр.	ფრენა	ჩიტი ცაში დაფრინავს.	թռչել	Թռչունը երկնքում է թռչում։
342:高中	高中	高中	උසස් පාසල	මගේ අයියා උසස් පාසලේ ඉගෙන ගන්නවා.	மேல்நிலைப் பள்ளி	என் அண்ணன் மேல்நிலைப் பள்ளியில் படிக்கிறார்.	హైస్కూల్; ఉన్నత పాఠశాల	నా అన్నయ్య హైస్కూల్లో చదువుతున్నాడు.	ಹಿರಿಯ ಪ್ರೌಢಶಾಲೆ	ನನ್ನ ಅಣ್ಣ ಹಿರಿಯ ಪ್ರೌಢಶಾಲೆಯಲ್ಲಿ ಓದುತ್ತಾನೆ.	ഹയർ സെക്കൻഡറി സ്കൂൾ	എന്റെ ചേട്ടൻ ഹയർ സെക്കൻഡറി സ്കൂളിൽ പഠിക്കുന്നു.	жоғары сынып мектебі	Ағам жоғары сынып мектебінде оқиды.	უფროსი სკოლა	ჩემი უფროსი ძმა უფროს სკოლაში სწავლობს.	ավագ դպրոց	Ավագ եղբայրս ավագ դպրոցում է սովորում։
346:公交车	公交车	公交车	බස් රථය	මම බස් රථයෙන් පාසලට යනවා.	பேருந்து	நான் பேருந்தில் பள்ளிக்குச் செல்கிறேன்.	బస్సు	నేను బస్సులో పాఠశాలకు వెళ్తాను.	ಬಸ್	ನಾನು ಬಸ್ಸಿನಲ್ಲಿ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ.	ബസ്	ഞാൻ ബസിൽ സ്കൂളിലേക്ക് പോകുന്നു.	автобус	Мен мектепке автобуспен барамын.	ავტობუსი	სკოლაში ავტობუსით მივდივარ.	ավտոբուս	Ես դպրոց ավտոբուսով եմ գնում։
348:过来	过来	过来	මෙතැනට පැමිණීම	කරුණාකර ටිකකට මෙතැනට එන්න.	இங்கே வருதல்	தயவுசெய்து ஒரு நிமிடம் இங்கே வாருங்கள்.	ఇక్కడికి రావడం	దయచేసి కాసేపు ఇక్కడికి రండి.	ಇಲ್ಲಿಗೆ ಬಾ	ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ಹೊತ್ತು ಇಲ್ಲಿಗೆ ಬನ್ನಿ.	ഇവിടെക്ക് വരുക	ദയവായി ഒന്ന് ഇവിടെക്ക് വരൂ.	бері келу	Бір сәт бері келіңізші.	აქეთ მოსვლა	ერთი წუთით აქეთ მოდით, გთხოვთ.	այստեղ գալ	Խնդրում եմ մի պահ այստեղ եկեք։
349:过年	过年	过年	නව වසර සැමරීම	අපි නව වසර සැමරීමට ගෙදර යනවා.	புத்தாண்டைக் கொண்டாடுதல்	நாங்கள் புத்தாண்டைக் கொண்டாட வீட்டிற்கு செல்கிறோம்.	నూతన సంవత్సరం జరుపుకోవడం	మేము నూతన సంవత్సరం జరుపుకోవడానికి ఇంటికి వెళ్తాం.	ಹೊಸ ವರ್ಷ ಆಚರಿಸು	ನಾವು ಹೊಸ ವರ್ಷ ಆಚರಿಸಲು ಮನೆಗೆ ಹೋಗುತ್ತೇವೆ.	പുതുവത്സരം ആഘോഷിക്കുക	ഞങ്ങൾ പുതുവത്സരം ആഘോഷിക്കാൻ വീട്ടിലേക്ക് പോകുന്നു.	Жаңа жылды тойлау	Біз Жаңа жылды тойлауға үйге барамыз.	ახალი წლის აღნიშვნა	ახალი წლის აღსანიშნავად სახლში მივდივართ.	Նոր տարին նշել	Մենք տուն ենք գնում Նոր տարին նշելու։
353:黑色	黑色	黑色	කළු පාට	කළු පාසල් බෑගය ඇඳ උඩ තියෙනවා.	கருப்பு நிறம்	கருப்பு பள்ளிப்பை படுக்கையின் மேல் உள்ளது.	నలుపు రంగు	నల్ల పాఠశాల సంచి మంచంపై ఉంది.	ಕಪ್ಪು ಬಣ್ಣ	ಕಪ್ಪು ಶಾಲೆಚೀಲ ಹಾಸಿಗೆಯ ಮೇಲೆ ಇದೆ.	കറുപ്പ്; കറുത്ത നിറം	കറുത്ത സ്കൂൾബാഗ് കിടക്കയുടെ മുകളിൽ ഉണ്ട്.	қара түс	Қара сөмке төсектің үстінде тұр.	შავი ფერი	შავი ჩანთა საწოლზე დევს.	սև գույն	Սև դպրոցական պայուսակը մահճակալի վրա է։
354:红茶	红茶	红茶	කළු තේ	අම්මා කළු තේ බොන්න කැමතියි.	கருப்பு தேநீர்	அம்மாவுக்கு கருப்பு தேநீர் குடிக்கப் பிடிக்கும்.	బ్లాక్ టీ	అమ్మకు బ్లాక్ టీ తాగడం ఇష్టం.	ಕಪ್ಪು ಚಹಾ	ಅಮ್ಮನಿಗೆ ಕಪ್ಪು ಚಹಾ ಕುಡಿಯುವುದು ಇಷ್ಟ.	കട്ടൻ ചായ	അമ്മയ്ക്ക് കട്ടൻ ചായ കുടിക്കാൻ ഇഷ്ടമാണ്.	қара шай	Анам қара шай ішкенді ұнатады.	შავი ჩაი	დედას შავი ჩაის დალევა უყვარს.	սև թեյ	Մայրիկը սիրում է սև թեյ խմել։
355:红色	红色	红色	රතු පාට	මට රතු ඇඳුමක් තියෙනවා.	சிவப்பு நிறம்	என்னிடம் ஒரு சிவப்பு உடை உள்ளது.	ఎరుపు రంగు	నా దగ్గర ఎరుపు దుస్తి ఉంది.	ಕೆಂಪು ಬಣ್ಣ	ನನ್ನ ಬಳಿ ಕೆಂಪು ಬಟ್ಟೆಯೊಂದು ಇದೆ.	ചുവപ്പ്; ചുവന്ന നിറം	എനിക്ക് ഒരു ചുവന്ന വസ്ത്രം ഉണ്ട്.	қызыл түс	Менде қызыл киім бар.	წითელი ფერი	მე წითელი ტანსაცმელი მაქვს.	կարմիր գույն	Ես կարմիր հագուստ ունեմ։
361:回来	回来	回来	ආපසු පැමිණීම	ඔහු සවස ආපසු එනවා.	திரும்பி வருதல்	அவர் மாலை திரும்பி வருகிறார்.	తిరిగి రావడం	అతను సాయంత్రం తిరిగి వస్తాడు.	ಹಿಂದಿರುಗಿ ಬರು	ಅವನು ಸಂಜೆ ಹಿಂದಿರುಗಿ ಬರುತ್ತಾನೆ.	തിരിച്ചു വരുക	അവൻ വൈകുന്നേരം തിരിച്ചു വരും.	қайтып келу	Ол кешке қайтып келеді.	დაბრუნება	ის საღამოს დაბრუნდება.	վերադառնալ	Նա երեկոյան վերադառնում է։
362:回去	回去	回去	ආපසු යාම	පන්තිය ඉවර වුණාට පසු මම ආපසු යනවා.	திரும்பிச் செல்லுதல்	வகுப்பு முடிந்த பிறகு நான் திரும்பிச் செல்கிறேன்.	తిరిగి వెళ్లడం	తరగతి తర్వాత నేను తిరిగి వెళ్తాను.	ಹಿಂದಿರುಗಿ ಹೋಗು	ತರಗತಿ ಮುಗಿದ ನಂತರ ನಾನು ಹಿಂದಿರುಗಿ ಹೋಗುತ್ತೇನೆ.	തിരിച്ചു പോകുക	ക്ലാസ് കഴിഞ്ഞ് ഞാൻ തിരിച്ചു പോകും.	қайтып бару	Сабақтан кейін мен қайтып барамын.	უკან წასვლა	გაკვეთილის შემდეგ უკან მივდივარ.	հետ գնալ	Դասից հետո ես հետ եմ գնում։
364:机票	机票	机票	ගුවන් ටිකට්පත	මම ගුවන් ටිකට්පතක් මිලදී ගත්තා.	விமானச்சீட்டு	நான் ஒரு விமானச்சீட்டு வாங்கினேன்.	విమాన టికెట్	నేను విమాన టికెట్ కొనుగోలు చేశాను.	ವಿಮಾನ ಟಿಕೆಟ್	ನಾನು ವಿಮಾನ ಟಿಕೆಟ್ ಖರೀದಿಸಿದೆ.	വിമാന ടിക്കറ്റ്	ഞാൻ ഒരു വിമാന ടിക്കറ്റ് വാങ്ങി.	ұшақ билеті	Мен ұшақ билетін сатып алдым.	თვითმფრინავის ბილეთი	მე თვითმფრინავის ბილეთი ვიყიდე.	ինքնաթիռի տոմս	Ես ինքնաթիռի տոմս գնեցի։
366:间	间	间	කාමර සඳහා ගණන් වචනය	මෙය පන්තිකාමරයක්.	அறைகளுக்கான அளவுச்சொல்	இது ஒரு வகுப்பறை.	గదులకు వాడే పరిమాణ పదం	ఇది ఒక తరగతి గది.	ಕೊಠಡಿಗಳಿಗೆ ಎಣಿಕೆ ಪದ	ಇದು ಒಂದು ತರಗತಿ ಕೊಠಡಿ.	മുറികൾക്കുള്ള എണ്ണുപദം	ഇത് ഒരു ക്ലാസ് മുറിയാണ്.	бөлмеге арналған есептік сөз	Бұл бір сынып бөлмесі.	ოთახებისთვის სათვლელი სიტყვა	ეს ერთი საკლასო ოთახია.	սենյակների համար հաշվիչ բառ	Սա մեկ դասասենյակ է։
372:进来	进来	进来	ඇතුළට පැමිණීම	කරුණාකර ඇතුළට එන්න.	உள்ளே வருதல்	தயவுசெய்து உள்ளே வாருங்கள்.	లోపలికి రావడం	దయచేసి లోపలికి రండి.	ಒಳಗೆ ಬಾ	ದಯವಿಟ್ಟು ಒಳಗೆ ಬನ್ನಿ.	അകത്ത് വരുക	ദയവായി അകത്ത് വരൂ.	ішке кіру	Ішке кіріңізші.	შიგნით შემოსვლა	შიგნით შემოდით, გთხოვთ.	ներս գալ	Խնդրում եմ ներս եկեք։
373:进去	进去	进去	ඇතුළට යාම	අපි ඇතුළට යමු.	உள்ளே செல்லுதல்	நாம் உள்ளே செல்லலாம்.	లోపలికి వెళ్లడం	మనం లోపలికి వెళ్దాం.	ಒಳಗೆ ಹೋಗು	ನಾವು ಒಳಗೆ ಹೋಗೋಣ.	അകത്ത് പോകുക	നമുക്ക് അകത്ത് പോകാം.	ішке кіру	Ішке кірейік.	შიგნით შესვლა	შიგნით შევიდეთ.	ներս գնալ	Եկեք ներս գնանք։
375:酒店	酒店	酒店	හෝටලය	හෝටලය ගුවන්තොටුපොළට ඉතා ආසන්නයි.	ஹோட்டல்	ஹோட்டல் விமான நிலையத்திற்கு மிகவும் அருகில் உள்ளது.	హోటల్	హోటల్ విమానాశ్రయానికి చాలా దగ్గరగా ఉంది.	ಹೋಟೆಲ್	ಹೋಟೆಲ್ ವಿಮಾನ ನಿಲ್ದಾಣಕ್ಕೆ ಬಹಳ ಹತ್ತಿರದಲ್ಲಿದೆ.	ഹോട്ടൽ	ഹോട്ടൽ വിമാനത്താവളത്തിന് വളരെ അടുത്താണ്.	қонақүй	Қонақүй әуежайға өте жақын.	სასტუმრო	სასტუმრო აეროპორტთან ძალიან ახლოსაა.	հյուրանոց	Հյուրանոցը օդանավակայանին շատ մոտ է։
379:开学	开学	开学	පාසල ආරම්භ වීම	හෙට පාසල ආරම්භ වෙනවා.	பள்ளி தொடங்குதல்	நாளை பள்ளி தொடங்குகிறது.	పాఠశాల ప్రారంభం కావడం	రేపు పాఠశాల ప్రారంభమవుతుంది.	ಶಾಲೆ ಆರಂಭವಾಗುವುದು	ನಾಳೆ ಶಾಲೆ ಆರಂಭವಾಗುತ್ತದೆ.	സ്കൂൾ തുടങ്ങുക	നാളെ സ്കൂൾ തുടങ്ങും.	оқу басталу	Ертең оқу басталады.	სწავლის დაწყება	ხვალ სწავლა იწყება.	դասերը սկսվել	Վաղը դասերը սկսվում են։
380:考	考	考	විභාගයට පෙනී සිටීම; පරීක්ෂා කිරීම	මට හෙට චීන විභාගයක් තියෙනවා.	தேர்வு எழுதுதல்; சோதித்தல்	நாளை எனக்கு சீனத் தேர்வு உள்ளது.	పరీక్ష రాయడం; పరీక్షించడం	నాకు రేపు చైనీస్ పరీక్ష ఉంది.	ಪರೀಕ್ಷೆ ಬರೆಯು; ಪರೀಕ್ಷಿಸು	ನನಗೆ ನಾಳೆ ಚೈನೀಸ್ ಪರೀಕ್ಷೆ ಇದೆ.	പരീക്ഷ എഴുതുക; പരിശോധിക്കുക	എനിക്ക് നാളെ ചൈനീസ് പരീക്ഷയുണ്ട്.	емтихан тапсыру; тексеру	Ертең менде қытай тілінен емтихан бар.	გამოცდის ჩაბარება; შემოწმება	ხვალ ჩინურის გამოცდა მაქვს.	քննություն հանձնել; ստուգել	Վաղը չինարենի քննություն ունեմ։
386:快要	快要	快要	ළඟදීම; ඉක්මනින්ම	දුම්රිය ළඟදීම එනවා.	விரைவில்; கிட்டத்தட்ட	ரயில் விரைவில் வரப் போகிறது.	త్వరలో; దాదాపు	రైలు త్వరలో రాబోతోంది.	ಶೀಘ್ರದಲ್ಲೇ; ಈಗಾಗಲೇ ಸಮೀಪ	ರೈಲು ಶೀಘ್ರದಲ್ಲೇ ಬರಲಿದೆ.	ഉടൻ; ഏകദേശം	ട്രെയിൻ ഉടൻ എത്തും.	жақында; сәл қалды	Пойыз жақында келеді.	მალე; თითქმის	მატარებელი მალე მოვა.	շուտով; քիչ է մնացել	Գնացքը շուտով կգա։
387:篮球	篮球	篮球	බාස්කට්බෝල්	මම බාස්කට්බෝල් ක්‍රීඩා කිරීමට කැමතියි.	கூடைப்பந்து	எனக்கு கூடைப்பந்து விளையாடப் பிடிக்கும்.	బాస్కెట్‌బాల్	నాకు బాస్కెట్‌బాల్ ఆడడం ఇష్టం.	ಬಾಸ್ಕೆಟ್‌ಬಾಲ್	ನನಗೆ ಬಾಸ್ಕೆಟ್‌ಬಾಲ್ ಆಡುವುದು ಇಷ್ಟ.	ബാസ്കറ്റ്ബോൾ	എനിക്ക് ബാസ്കറ്റ്ബോൾ കളിക്കാൻ ഇഷ്ടമാണ്.	баскетбол	Мен баскетбол ойнағанды ұнатамын.	კალათბურთი	კალათბურთის თამაში მიყვარს.	բասկետբոլ	Ես սիրում եմ բասկետբոլ խաղալ։
