source_headword	KK	example_KK
consumption	тұтыну	Өткен айда энергия тұтыну төмендеді.
controversial	даулы	Саясат әлі де даулы болып отыр.
controversy	дау	Бұл шешім дау тудырды.
convenience	ыңғайлылық	Дүкен үлкен ыңғайлылық ұсынады.
convention	конвенция	Жылдық съезд дүйсенбіде басталады.
conventional	дәстүрлі	Ол дәстүрлі дизайнды таңдады.
convey	жеткізу	Хабарлама жанашырлықты жеткізді.
convincing	нанымды	Оның түсіндірмесі сенімді болды.
cope	жеңу	Ол күйзелісті жеңуге үйренді.
corporation	корпорация	Корпорация жаңа кеңсе ашты.
corridor	дәліз	Дәліз тар және тыныш болды.
counter (long flat surface)	үстел (касса)	Кілттер асүй үстелшесінде жатыр.
coverage	қамту	Жаңалықтарды хабарлау бүкіл кеш бойы жалғасты.
crack	жарық	Қабырғада жарықшақ пайда болды.
craft	қолөнер	Ол интернетте қолөнер бұйымдарын сатады.
creativity	шығармашылық	Шығармашылық мәселелерді шешуге көмектеседі.
critically	сыни тұрғыдан	Мақала өте маңызды болды.
cruise	круиз	Олар Грекияға круизге тапсырыс берді.
cue	белгі	Актер өз белгісін жіберіп алды.
curious	білуге құмар	Бала ғарышқа қатты қызықты.
curriculum	оқу бағдарламасы	Мектеп өзінің оқу бағдарламасын жаңартты.
cute	сүйкімді	Күшік сүйкімді көрінді.
dairy	сүт өнімдері	Ферма сүт өнімдерін өндіреді.
dare	батылы бару	Мен сені мұны жасап көруге шақырамын.
darkness	қараңғылық	Бөлме қараңғылыққа толды.
database	деректер базасы	Дерекқор тұтынушылар жазбаларын сақтайды.
deadline	мерзім	Соңғы мерзім - жұма.
deadly	өлімге әкелетін	Жыланның өлімге әкелетін уы бар.
dealer	дилер	Көлік дилері жеңілдік ұсынды.
deck	палуба	Орындықтар террасада тұр.
defender	қорғаушы	Қорғаушы соққыға тосқауыл қойды.
delete	жою	Ескі хабарламаны өшіріңіз.
democracy	демократия	Демократия еркін сайлауға байланысты.
democratic	демократиялық	Дауыс беру демократиялық ережелерге сай өтті.
demonstration	демонстрация	Студенттер шеруге қосылды.
depart	кету	Пойыз тал түсте аттанады.
dependent	тәуелді	Бала ересектерге тәуелді.
deposit	депозит	Ол пәтерге кепілақы төледі.
depression	депрессия	Депрессия кәсіби қолдауды қажет етеді.
derive	шығару	Көптеген сөздер латын тілінен шыққан.
desperately	үмітсіз	Оған су қатты қажет болды.
destruction	жойылу	Дауыл кең көлемде қирауға әкелді.
determination	табандылық	Оның табандылығы бапкерді таң қалдырды.
devote	арнау	Ол демалыс күндерін оқуға арнайды.
differ	ерекшелену	Олардың пікірлері қатты ерекшеленеді.
disability	мүгедектік	Ғимаратта мүгедектігі бар адамдарға арналған кіріс бар.
disabled	өшірілген	Мүгедек спортшы медаль жеңіп алды.
disagreement	келіспеушілік	Жиын келіспеушілікпен аяқталды.
disappoint	көңіл қалдыру	Нәтиже жанкүйерлердің көңілін қалдыруы мүмкін.
disappointment	көңіл қалу	Оның қатты көңілі қалды.
discourage	кедергі жасау	Жас оқушылардың жігерін жасытпаңыз.
disorder	тәртіпсіздік	Дәрігер ұйқының бұзылуын анықтады.
distant	қашық	Таулар алыс болып көрінді.
distinct	айқын	Екі дыбыс бөлек.
distinguish	ажырату	Бұл түстерді ажырата аласыз ба?
distract	алаңдату	Шу студенттерді алаңдатуы мүмкін.
disturb	мазалау	Науқасты мазаламаңыз.
dive	сүңгу	Олар риф маңында сүңгитін болады.
diverse	әртүрлі	Қалада алуан түрлі мәдениеттер бар.
diversity	әртүрлілік	Біз мәдени алуан түрлілікті атап өтеміз.
divorce	ажырасу	Ажырасу барлығына қиын болды.
dominant	басым	Басым команда ойынды бақылауда ұстады.
donation	қайырымдылық	Қайырымдылық ұйымы жарна алды.
dot	нүкте	Саннан кейін нүкте қойыңыз.
downtown	қала орталығы	Біз жұмыстан кейін қала орталығында кездестік.
dramatically	күрт	Баға күрт төмендеді.
drought	құрғақшылық	Құрғақшылық егінге зақым келтірді.
dull	іш пыстырарлық	Дәріс іш пыстырарлық болды.
dump	тастау	Бұл жерге қоқыс тастамаңыз.
duration	ұзақтық	Ұшу ұзақтығы - үш сағат.
dynamic	динамикалық	Сынып іші динамикалық сезілді.
economics	экономика	Ол университетте экономиканы оқиды.
economist	экономист	Экономист өсудің баяулауын болжады.
editorial	редакциялық	Бас мақала заңды сынға алды.
efficiently	тиімді	Команда тиімді жұмыс істеді.
elbow	шынтақ	Ол шынтағын ауыртып алды.
electronics	электроника	Дүкен электроника сатады.
elegant	талғампаз	Көйлек әсем көрінді.
elementary	бастауыш	Кітап қарапайым грамматиканы түсіндіреді.
eliminate	жою	Команда бірнеше қатені жойды.
embrace	қабылдау	Ол жаңа идеяны қабылдады.
emission	шығарынды	Автокөлік шығарындыларының деңгейі төмендеді.
emotionally	эмоционалды түрде	Ол отбасы туралы сезімге беріліп сөйледі.
empire	империя	Империя ғасырлар бойы өмір сүрді.
enjoyable	жағымды	Сапар көңілді болды.
entertaining	көңіл көтеретін	Шоу қызықты болды.
entrepreneur	кәсіпкер	Кәсіпкер кафе ашты.
envelope	конверт	Хатты конвертке салыңыз.
equip	жабдықтау	Мектеп зертхананы жабдықтайды.
equivalent	балама	Бұл жерде бір доллар балама емес.
era	дәуір	Жаңалық жаңа дәуірді бастады.
erupt	атқылау	Жанартау жақында атқылауы мүмкін.
essentially	негізінен	Екі әдіс негізінен бірдей.
ethic	этика	Оның жұмыс этикасы мықты.
ethnic	этникалық	Фестиваль этникалық дәстүрлерді дәріптейді.
evaluation	бағалау	Курс қорытынды бағалауды қамтиды.
evident	айқын	Оның қобалжуы айқын байқалды.
evolution	эволюция	Эволюция көптеген биологиялық өзгерістерді түсіндіреді.
evolve	даму	Тілдер уақыт өте келе дамиды.
exceed	асып түсу	Сұраныс ұсыныстан асып түсуі мүмкін.
exception	ерекшелік	Бір ерекшелік бар.
excessive	шамадан тыс	Шамадан тыс шу көршілерге кедергі келтіреді.
exclude	алып тастау	Тізімге уақытша жұмысшылар кірмейді.
exhibit	жәдігер	Мұражай сирек кездесетін фотосуреттерді көрмеге қояды.
exit	шығу	Шығатын есік сахнаның артында.
exotic	экзотикалық	Дүкен экзотикалық жемістер сатады.
expansion	кеңею	Компания кеңеюді жоспарлады.
expertise	сараптама	Оның біліктілігі жобаны жақсартты.
exploit	пайдалану	Қылмыскерлер әлсіз құпия сөздерді пайдаланады.
exposure	әсер ету	Күн сәулесінің әсері теріні зақымдауы мүмкін.
extension	ұзарту	Мерзімді ұзарту бәріне көмектесті.
extensive	ауқымды	Кітапханада ауқымды ресурстар бар.
extensively	кеңінен	Тақырып кеңінен зерттелді.
extract	үзінді	Ваниль сығындысы дәм береді.
fabric	мата	Мата жұмсақ сезіледі.
fabulous	керемет	Тамақ ғажайып болды.
failed	сәтсіз	Сәтсіз әрекет бізге бірдеңе үйретті.
fake	жалған	Веб-сайт жалған билеттер сатты.
fame	атақ	Атақ оның жеке өмірін өзгертті.
fantasy	қиял	Бұл роман – қиял.
fare	жол ақысы	Автобуста жүру ақысы өсті.
federal	федералды	Федералды үкімет қаржыландыруды жариялады.
fever	безгек	Баланың қызуы көтеріліп тұр.
firefighter	өрт сөндіруші	Өрт сөндіруші итті құтқарды.
firework	отшашу	Саябақтың үстінде отшашу жарылды.
firm	нақты	Матрас қатты.
firmly	нық	Ол есікті мықтап жапты.
flavour	дәм	Сорпаның дәмі бай.
fond	сүйікті	Ол джазға құмар.
fool	ақымақ	Ақымақ сияқты әрекет етпе.
forbid	тыйым салу	Заң мұнда темекі шегуге тыйым салады.
forecast	болжам	Болжам бойынша жаңбыр жауады.
format	пішім	Дұрыс файл пішімін пайдаланыңыз.
formation	құрылу	Бұлттардың құрылуы тез өзгереді.
formerly	бұрын	Бұл ғимарат бұрын мектеп болған.
fortunate	сәтті	Ерте келгенімізбен жолымыз болды.
forum	форум	Форум климат саясатын талқылады.
fossil	қазба	Қазба тастың ішінен табылды.
foundation	іргетас	Үйдің мықты іргетасы бар.
founder	құрылтайшы	Негізін қалаушы қонақтарды қарсы алды.
fraction	бөлшек	Студенттердің аз ғана үлесі келді.
fragment	үзінді	Еденде әйнек сынығы жатты.
framework	шеңбер	Заң нақты құрылым жасайды.
fraud	алаяқтық	Банк алаяқтықты анықтады.
freely	еркін	Балалар далада еркін ойнады.
frequent	жиі	Жиі үзілістер назарды жақсартады.
fulfil	орындау	Уәдемді орындаймын деп үміттенемін.
full-time	толық жұмыс күні	Оның толық жұмыс күні бар.
fundamentally	негізінен	Бұл жоспар түбегейлі өзгеше.
furious	ашулы	Ол кешігуге өте ашулы болды.
gaming	ойын	Ойын ойнау реакция жылдамдығын жақсарта алады.
gay	гей	Ол гейлердің құқықтарын қолдайды.
gender	жыныс	Сауалнама жыныс туралы сұрады.
gene	ген	Бұл ген көздің түсіне әсер етеді.
genetic	генетикалық	Бұл аурудың генетикалық себептері бар.
genius	данышпан	Жас пианист – данышпан.
genuine	шынайы	Оның күлкісі шынайы болып көрінді.
genuinely	шын жүректен	Ол шын мәнінде көмектескісі келді.
gesture	ишарат	Ол достық ишарат жасады.
gig	концерт	Топ қала орталығында концерт берді.
globalization	жаһандану	Жаһандану жергілікті бизнеске әсер етеді.
globe	глобус	Глобус әрбір құрлықты көрсетеді.
golden	алтын	Күннің батуы алтын түске енді.
goodness	жақсылық	Ол адамдардың жақсылығына сенеді.
gorgeous	керемет	Бақ өте әдемі көрінді.
governor	губернатор	Губернатор заң жобасына қол қойды.
graphic	графикалық	Графикалық сурет көрермендерді таң қалдырды.
graphics	графика	Ойынның қарапайым графикасы бар.
greatly	айтарлықтай	Сіздің кеңесіңіз қатты көмектесті.
greenhouse	жылыжай	Қызанақ жылыжайдың ішінде өседі.
grocery	азық-түлік	Ол жұмыстан кейін азық-түлік сатып алды.
guideline	нұсқаулық	Нұсқаулық қауіпсіздік ережелерін түсіндіреді.
habitat	мекендеу ортасы	Орман – құстардың мекендеу ортасы.
harbour	айлақ	Қайық айлаққа кірді.
headquarters	бас кеңсе	Компанияның бас кеңсесі қала орталығына көшті.
