source_headword	PL	example_PL
inherit	odziedziczyć	Ona odziedziczy dom rodzinny.
ink	atrament	Drukarka potrzebuje czarnego atramentu.
innovation	innowacja	Innowacja napędza przemysł do przodu.
innovative	innowacyjny	Firma wprowadziła innowacyjny produkt.
input	wkład	Menedżer poprosił o wkład.
insert	włożyć	Włóż kartę do urządzenia.
inspector	inspektor	Inspektor sprawdził budynek.
installation	instalacja	Instalacja trwała dwie godziny.
instant	natychmiastowy	Aplikacja wysłała natychmiastową odpowiedź.
instantly	natychmiast	Ekran natychmiast się włączył.
integrate	zintegrować	Oprogramowanie może zintegrować nowe narzędzia.
intellectual	intelektualny	Debata była intelektualna, ale przyjazna.
interact	wchodzić w interakcje	Uczniowie wchodzą w interakcje podczas pracy grupowej.
interaction	interakcja	Interakcja była uprzejma.
interpretation	interpretacja	Jej interpretacja wiersza była oryginalna.
interval	przerwa	Między aktami była krótka przerwa.
invade	najechać	Wojsko próbowało najechać wyspę.
invasion	inwazja	Inwazja zniszczyła wiele miast.
investor	inwestor	Inwestor sfinansował nowy startup.
isolate	izolować	Lekarze izolują pacjentów z poważnymi infekcjami.
isolated	odizolowany	Wioska była odizolowana przez śnieg.
jail	więzienie	Złodziej trafił do więzienia.
jet	odrzutowiec	Odrzutowiec wylądował w południe.
joint	wspólny	Ogłosili wspólny projekt.
journalism	dziennikarstwo	Dziennikarstwo wymaga dokładnych faktów.
jury	ława przysięgłych	Ława przysięgłych podjęła decyzję.
kit	zestaw	Zestaw naprawczy zawiera śruby.
ladder	drabina	Drabina oparta była o ścianę.
landing	lądowanie	Samolot miał gładkie lądowanie.
lane	pas	Zostań na prawym pasie.
lately	ostatnio	Ostatnio źle śpię.
leaflet	ulotka	Ulotka wyjaśnia zasady tej usługi.
legend	legenda	Legenda mówi o ukrytym mieście.
lens	obiektyw	Ostrożnie wyczyść obiektyw aparatu.
lifetime	całe życie	Oszczędzał pieniądze przez całe życie.
lighting	oświetlenie	Dobre oświetlenie poprawia wygląd pokoju.
likewise	podobnie	Uśmiechnęła się, a on zrobił podobnie.
limitation	ograniczenie	Plan ten ma jedno ograniczenie.
literally	dosłownie	Ona dosłownie pobiegła do autobusu.
literary	literacki	Festiwal honoruje twórczość literacką.
litre	litr	Kup litr mleka.
litter	śmieci	Nie wyrzucaj śmieci.
logo	logo	Logo pojawia się na każdej stronie.
lottery	loteria	Wygrał małą nagrodę na loterii.
loyal	lojalny	Pies był lojalny wobec właściciela.
lyric	tekst piosenki	Tekst piosenki powtarzał główną myśl.
magnificent	wspaniały	Pałac wyglądał wspaniale.
make-up	makijaż	Ona nosiła prosty makijaż.
making	tworzenie	Tworzenie tego filmu było trudne.
manufacture	produkować	Fabryka będzie produkować telefony.
manufacturing	produkcja	Zatrudnienie w produkcji wzrosło lokalnie.
marathon	maraton	Ukończyła maraton.
margin	margines	Pisz notatki na marginesie.
marker	marker	Użyj markera do zrobienia etykiety.
martial	walki	On trenuje sztuki walki.
mate	kumpel	Mój stary kumpel ze szkoły zadzwonił wczoraj.
mayor	burmistrz	Burmistrz otworzył bibliotekę.
mechanic	mechanik	Mechanik naprawił autobus.
mechanical	mechaniczny	Zegar ma usterkę mechaniczną.
mechanism	mechanizm	Mechanizm zamka jest prosty.
medal	medal	Ona zdobyła złoty medal.
medication	lek	Bierz lek z wodą.
membership	członkostwo	Członkostwo w siłowni kosztuje mniej online.
memorable	niezapomniany	Wycieczka była niezapomniana.
metaphor	metafora	Wiersz wykorzystuje silną metaforę.
miner	górnik	Górnik pracował pod ziemią.
miserable	nieszczęśliwy	Deszcz sprawił, że piknik był nieszczęśliwy.
mode	tryb	Przełącz aparat na tryb nocny.
modest	skromny	Oni mieszkają w skromnym domu.
monster	potwór	W tej historii jest straszny potwór.
monthly	miesięcznie	Płacimy czynsz miesięcznie.
monument	pomnik	Pomnik stoi w pobliżu rzeki.
moreover	ponadto	Ponadto, ten plan oszczędza pieniądze.
mortgage	kredyt hipoteczny	Złożyli wniosek o kredyt hipoteczny.
mosque	meczet	Meczet jest w pobliżu targu.
motion	ruch	Czujnik wykrywa ruch.
motivate	motywować	Pochwała może zmotywować uczniów.
motivation	motywacja	Jej motywacja pozostała silna.
moving	wzruszający	Przemówienie było wzruszające.
myth	mit	Ten mit wyjaśnia nazwę góry.
naked	nagi	Dziecko było nagie po kąpieli.
nasty	paskudny	Rana wyglądała paskudnie.
navigation	nawigacja	Aplikacja ułatwia nawigację.
nearby	pobliski	Pobliska kawiarnia otwiera się wcześnie.
necessity	konieczność	Czysta woda to konieczność.
negotiate	negocjować	Jutro będą negocjować umowę.
negotiation	negocjacja	Negocjacja trwała cały ranek.
neutral	neutralny	Sędzia pozostał neutralny.
newly	nowo	Nowo pomalowane drzwi wyglądały jasno.
norm	norma	Praca zdalna stała się normą.
notebook	zeszyt	Zapisuj notatki w swoim zeszycie.
novelist	powieściopisarz	Powieściopisarz podpisał swoją książkę.
nowadays	obecnie	Obecnie wielu ludzi pracuje online.
nursing	pielęgniarstwo	Ona studiuje pielęgniarstwo.
nutrition	odżywianie	Dobre odżywianie wspiera zdrowie.
obesity	otyłość	Otyłość zwiększa ryzyko chorób.
observer	obserwator	Obserwator zapisał wyniki.
obstacle	przeszkoda	Zwalone drzewo było przeszkodą.
occupation	zawód	Proszę wpisać tutaj swój zawód.
occupy	zająć	Rodzina zajmie to mieszkanie.
offender	sprawca	Sprawca przeprosił w sądzie.
ongoing	trwający	Śledztwo jest w toku.
openly	otwarcie	Otwarcie mówiła o swoich lękach.
opera	opera	Obejrzeliśmy operę w Mediolanie.
operator	operator	Operator połączył rozmowę.
optimistic	optymistyczny	Ona jest optymistycznie nastawiona do przyszłości.
orchestra	orkiestra	Orkiestra grała cicho.
organic	ekologiczny	Kupili ekologiczne warzywa.
outfit	strój	Jej strój pasował do okazji.
output	wydajność	Wydajność maszyny wzrosła.
outstanding	wybitny	Jego występ był wybitny.
overcome	przezwyciężyć	Razem przezwyciężają problemy.
overnight	przez noc	Paczka dotarła w ciągu nocy.
overseas	za granicą	Znalazł pracę za granicą.
ownership	własność	Własność ziemi uległa zmianie.
oxygen	tlen	Rośliny produkują tlen.
packet	paczka	Otwórz paczkę ostrożnie.
palm	dłoń	Trzymaj monetę w dłoni.
panic	panika	Wśród tłumu wybuchła panika.
parade	parada	Parada rozpoczęła się w południe.
parallel	równoległy	Te drogi są równoległe.
participation	udział	Udział w zajęciach się poprawił.
partnership	partnerstwo	To partnerstwo pomogło obu firmom.
part-time	na pół etatu	Ona znalazła pracę na pół etatu.
passionate	pełen pasji	On jest pełen pasji do muzyki.
password	hasło	Wybierz silne hasło.
patience	cierpliwość	Nauczanie małych dzieci wymaga cierpliwości.
pause	wstrzymać	Zatrzymaj teraz film.
peer	rówieśnik	Presja rówieśników wpłynęła na jego wybór.
penalty	kara	Gracz otrzymał karę.
perceive	postrzegać	Ludzie różnie postrzegają ryzyko.
perception	postrzeganie	Jego postrzeganie niebezpieczeństwa uległo zmianie.
permanently	na stałe	Sklep został zamknięty na stałe.
pill	tabletka	Weź jedną tabletkę po śniadaniu.
pity	szkoda	Szkoda.
placement	ustawienie	Ustawienie sofy ma znaczenie.
portion	porcja	Podaj małą porcję ryżu.
potentially	potencjalnie	Ta zmiana jest potencjalnie przydatna.
precede	poprzedzać	Ciemne chmury często poprzedzają deszcz.
precious	cenny	Ten pierścionek jest cenny.
precise	precyzyjny	Instrukcje były precyzyjne.
precisely	dokładnie	Dokładnie zmierz tę odległość.
predictable	przewidywalny	Zakończenie było przewidywalne.
preference	preferencja	Ona wyraziła preferencję do herbaty.
pride	duma	Poczuł dumę po skończeniu.
primarily	głównie	Kurs prowadzony jest głównie online.
principal	dyrektor	Dyrektor przywitał nowych uczniów.
prior	wcześniejszy	Potrzebujemy wcześniejszej zgody.
probability	prawdopodobieństwo	Prawdopodobieństwo deszczu jest wysokie.
probable	prawdopodobny	Deszcz jest prawdopodobny dziś wieczorem.
proceed	przejść	Proszę przejść do następnego pokoju.
programming	programowanie	Programowanie wymaga praktyki.
progressive	postępowy	Ta polityka była na swoje czasy postępowa.
prohibit	zabraniać	Zasady zabraniają palenia.
promising	obiecujący	Wyniki wyglądają obiecująco.
promotion	awans	Dostała awans w pracy.
prompt	szybki	Szybka odpowiedź oszczędziła czas.
proportion	proporcja	Duża część zagłosowała na tak.
protein	białko	Fasola zawiera białko.
protester	protestujący	Protestujący trzymał znak.
psychological	psychologiczny	Wypadek spowodował stres psychologiczny.
publicity	rozgłos	Wydarzenie zyskało rozgłos.
publishing	wydawnictwo	Ona pracuje w wydawnictwie.
punk	punk	Muzyka punk stała się tam popularna.
purely	czysto	Wybór był czysto praktyczny.
pursuit	pogoń	Kontynuował pogoń za sprawiedliwością.
puzzle	zagadka	Rozwiązanie zagadki zajęło godzinę.
questionnaire	kwestionariusz	Proszę wypełnić ten kwestionariusz.
racial	rasowy	Raport omawiał nierówność rasową.
racism	rasizm	Rasizm szkodzi społecznościom.
racist	rasistowski	Ten komentarz był rasistowski.
radiation	promieniowanie	Promieniowanie może uszkodzić komórki.
rail	poręcz	Trzymaj się poręczy na schodach.
random	losowy	Komputer wybrał losową liczbę.
rat	szczur	Szczur przebiegł za koszami.
rating	ocena	Hotel ma wysoką ocenę.
reasonably	całkiem	Pokój był całkiem czysty.
rebuild	odbudować	Oni odbudują ten most.
receiver	odbiorca	Odbiorca złapał piłkę.
recession	recesja	Recesja zmniejszyła wydatki.
reckon	sądzić	Sądzę, że pociąg się spóźnia.
recognition	uznanie	Ona zyskała uznanie za swoją pracę.
recovery	powrót do zdrowia	Powrót do zdrowia trwał kilka tygodni.
recruit	rekrutować	Firma będzie rekrutować inżynierów.
recruitment	rekrutacja	Rekrutacja zaczyna się w przyszły poniedziałek.
referee	sędzia	Sędzia przerwał mecz.
refugee	uchodźca	Uchodźca znalazł bezpieczny dom.
registration	rejestracja	Rejestracja kończy się w piątek.
regulate	regulować	Prawo będzie regulować emisje.
reinforce	wzmocnić	Dodatkowe belki wzmacniają dach.
relieve	przynieść ulgę	Lekarstwa mogą złagodzić ból.
relieved	odczuwający ulgę	Poczuła ulgę po telefonie.
remarkable	niezwykły	Powrót do zdrowia był niezwykły.
remarkably	niezwykle	Niezwykle szybko wrócił do zdrowia.
reporting	raportowanie	Dokładne raportowanie ma znaczenie.
resign	zrezygnować	Menedżer zrezygnuje jutro.
resolution	rozdzielczość	Ekran ma wysoką rozdzielczość.
restore	odnowić	Pracownicy odnowią ten stary obraz.
restrict	ograniczyć	Zasady ograniczają parkowanie.
restriction	ograniczenie	Ograniczenie kończy się jutro.
retail	handel detaliczny	Sprzedaż detaliczna wzrosła.
retirement	emerytura	Uważnie zaplanowała swoją emeryturę.
revenue	przychód	Przychód z biletów opłacił naprawy.
revision	powtórka	Powtórka pomogła przed egzaminem.
ridiculous	niedorzeczny	Cena była niedorzeczna.
risky	ryzykowny	Ten plan wydawał się ryzykowny.
rival	rywal	Nasz rywal otworzył nowy sklep.
rob	obrabować	Mężczyźni próbowali obrabować bank.
robbery	napad	Napad wydarzył się w nocy.
rocket	rakieta	Rakieta wystartowała pomyślnie.
romance	romans	Powieść zawiera romans.
rose	róża	Czerwona róża rosła przy płocie.
roughly	około	Obecnych było około dwudziestu osób.
ruin	zrujnować	Deszcz może zrujnować ten piknik.
satisfaction	satysfakcja	Satysfakcja klienta wzrosła.
scandal	skandal	Skandal zniszczył jego karierę.
scare	przestraszenie	Głośny hałas mnie przestraszył.
scenario	scenariusz	Najgorszy scenariusz jest mało prawdopodobny.
scholar	uczony	Uczony badał starożytne teksty.
scholarship	stypendium	Ona wygrała stypendium.
scratch	zadrapanie	Kot zostawił zadrapanie.
screening	badanie przesiewowe	Szpital oferuje badania przesiewowe na raka.
seeker	poszukujący	Osoba poszukująca pracy wysłała aplikacje.
seminar	seminarium	Seminarium zaczyna się o dziewiątej.
settler	osadnik	Osadnik zbudował małą farmę.
severely	poważnie	Burza poważnie zniszczyła drogi.
sexy	seksowny	Ta sukienka była uważana za seksowną.
shocking	szokujący	Wiadomości były szokujące.
shore	brzeg	Spacerowaliśmy wzdłuż brzegu.
shortage	niedobór	Miasto zmierzyło się z niedoborem wody.
shortly	wkrótce	Autobus przyjechał krótko po południu.
short-term	krótkoterminowy	Plan ma krótkoterminowe korzyści.
sibling	rodzeństwo	Każde z rodzeństwa otrzymało prezent.
signature	podpis	Proszę złożyć tu swój podpis.
significance	znaczenie	To odkrycie ma ogromne znaczenie.
skilled	wykwalifikowany	Wykwalifikowani pracownicy naprawili dach.
slogan	slogan	Kampania używała prostego sloganu.
so-called	tak zwany	Tak zwany ekspert popełniał błędy.
somehow	jakoś	Klucze jakoś zniknęły.
sometime	kiedyś	Odwiedź nas kiedyś w przyszłym tygodniu.
sophisticated	zaawansowany	To oprogramowanie jest zaawansowane.
spare	zapasowy	Mamy zapasowy klucz.
specialize	specjalizować się	Lekarze specjalizują się w różnych dziedzinach.
specify	określić	Proszę określić czas swojego przyjazdu.
spectacular	spektakularny	Fajerwerki były spektakularne.
spectator	widz	Każdy widz otrzymał program.
speculate	spekulować	Eksperci spekulują na temat przyczyny.
speculation	spekulacja	Artykuł zachęcił do spekulacji.
spice	przyprawa	Dodawaj po jednej przyprawie na raz.
spill	rozlać	Nie rozlej soku.
spite	na przekór	Udało mu się pomimo problemów.
spoil	zepsuć	Zbyt dużo soli może zepsuć zupę.
spokesman	rzecznik	Rzecznik odpowiedział na pytania.
spokesperson	rzecznik prasowy	Rzecznik prasowy przeczytał oświadczenie.
spokeswoman	rzeczniczka	Rzeczniczka zwróciła się do prasy.
sponsorship	sponsoring	Drużyna potrzebuje sponsoringu.
sporting	sportowy	W mieście odbywają się imprezy sportowe.
stall	stragan	Ten stragan sprzedaje owoce.
stance	stanowisko	Minister zmienił swoje stanowisko.
starve	głodować	Bez jedzenia zwierzęta mogą głodować.
steadily	stale	Firma stale rosła.
steam	para	Para unosiła się nad zupą.
stimulate	stymulować	Jasne kolory mogą stymulować zainteresowanie.
