source_headword	FR	example_FR
mixed	mixte	Les nouvelles ont reçu des réactions mixtes.
modify	modifier	Nous pourrons modifier le design plus tard.
monitor	le moniteur	L'infirmière surveillera son état.
moral	moral	L'histoire a une leçon morale.
motor	le moteur	Le moteur s'est arrêté sans prévenir.
mount	monter	Ils montent des caméras près de l'entrée.
multiple	multiple	De multiples facteurs ont causé le retard.
multiply	multiplier	Multipliez le nombre par dix.
mysterious	mystérieux	Une lumière mystérieuse est apparue dehors.
neat	soigné	Son bureau est toujours soigné.
nerve	le nerf	La blessure a endommagé un nerf.
nevertheless	néanmoins	La tâche était difficile; néanmoins, nous avons terminé.
nightmare	le cauchemar	Le voyage est devenu un cauchemar.
notion	la notion	Rejetez la notion que le changement est impossible.
numerous	nombreux	De nombreuses études soutiennent cette idée.
obey	obéir	Les conducteurs doivent obéir aux panneaux.
objective	l'objectif	Notre objectif est de réduire les déchets.
obligation	l'obligation	Les parents ont l'obligation de protéger les enfants.
observation	l'observation	Son observation a changé la discussion.
observe	observer	Les scientifiques observent les oiseaux chaque printemps.
obtain	obtenir	Vous devez obtenir une permission écrite.
occasionally	occasionnellement	Elle travaille occasionnellement de chez elle.
offence	l'offense	Le commentaire a causé une grave offense.
offend	offenser	Je ne voulais offenser personne.
offensive	offensant	L'affiche contenait un langage offensant.
opening	le poste vacant	Le poste vacant a attiré de nombreux candidats.
operate	fonctionner	La machine peut fonctionner automatiquement.
opponent	l'adversaire	Son adversaire a critiqué la politique.
oppose	s'opposer	De nombreux résidents s'opposent au plan.
opposed	opposé	Les groupes avaient des points de vue opposés.
opposition	l'opposition	La proposition a fait face à une forte opposition.
organ	l'organe	Le cœur est un organe vital.
origin	l'origine	L'origine de l'incendie est inconnue.
otherwise	sinon	Pars maintenant ; sinon, tu seras en retard.
outcome	le résultat	Le résultat a surpris tout le monde.
outer	extérieur	Le mur extérieur a besoin de réparations.
outline	le plan	Veuillez résumer votre argument principal.
overall	global	Le résultat global était positif.
owe	devoir	Je te dois des excuses.
pace	le rythme	Marchez à un rythme constant.
panel	le panel	Le panel a discuté de la politique climatique.
parliament	le parlement	Le parlement a approuvé la nouvelle loi.
participant	le participant	Chaque participant a signé le formulaire.
partly	en partie	Le retard était en partie de notre faute.
passage	le passage	Lisez le passage avant de répondre.
pension1	la pension	Sa pension le soutient après la retraite.
permanent	permanent	Ils ont besoin d'une solution permanente.
permit	permettre	Les règles permettent de courtes visites.
perspective	la perspective	Essayez de voir sa perspective.
phase	la phase	Le projet est entré dans sa phase finale.
phenomenon	le phénomène	Le phénomène se produit dans de nombreuses cultures.
philosophy	la philosophie	Sa philosophie valorise l'action pratique.
pile	la pile	Une pile de papiers couvrait le bureau.
pitch	le terrain	L'équipe a préparé le terrain avec soin.
plain	clair	Les instructions étaient claires et directes.
pointed	incisif	Il a fait une remarque incisive.
popularity	la popularité	Le chanteur a gagné en popularité en ligne.
pose	poser	La question peut poser un problème.
possess	posséder	Peu d'élèves possèdent cette compétence.
potential	le potentiel	L'idée a un réel potentiel.
praise	les éloges	Le professeur a fait des éloges sincères.
pregnant	enceinte	Elle est enceinte de six mois.
preparation	la préparation	Une bonne préparation réduit le stress.
presence	la présence	Sa présence a changé l'ambiance.
preserve	préserver	Nous devons préserver ce bâtiment historique.
prime	principal	La cause principale était une mauvaise planification.
principle	le principe	La décision a suivi un principe clair.
priority	la priorité	La sécurité est notre première priorité.
privacy	la confidentialité	Les clients attendent de la confidentialité en ligne.
procedure	la procédure	La procédure prend trente minutes.
proof	la preuve	Nous avons besoin de preuves avant d'agir.
proposal	la proposition	La proposition nécessite plus de détails.
propose	proposer	Je propose une solution différente.
prospect	la perspective	La perspective de l'échec les inquiétait.
protection	la protection	Le casque offre une protection de base.
psychologist	le psychologue	Le psychologue a expliqué les résultats du test.
psychology	la psychologie	Elle étudie la psychologie à l'université.
publication	la publication	La publication a attiré l'attention du public.
pupil	l'élève	Chaque élève a reçu un nouveau manuel.
purchase	l'achat	Ils achètent des fournitures chaque mois.
pure	pur	L'eau était pure et froide.
pursue	poursuivre	Il poursuivra une carrière médicale.
rank	le grade	Elle occupe un grade supérieur.
rapid	rapide	Le pays a connu une croissance rapide.
rapidly	rapidement	Les prix ont augmenté rapidement cette année.
raw	cru	Le chef a préparé des légumes crus.
realistic	réaliste	Fixez un délai réaliste.
reasonable	raisonnable	Cela semble être une demande raisonnable.
recall	se rappeler	Je me rappelle ses mots exacts.
recover	se rétablir	Elle se rétablira après le traitement.
reduction	la réduction	La réduction a permis d'économiser de l'argent.
regard	considérer	Beaucoup de gens la considèrent comme honnête.
regional	régional	Le bureau régional a fermé aujourd'hui.
register	s'inscrire	Veuillez vous inscrire avant la conférence.
regret	regretter	Je regrette ma décision précédente.
regulation	le règlement	La nouvelle réglementation touche tous les conducteurs.
relatively	relativement	L'examen était relativement facile.
relevant	pertinent	Choisissez uniquement les détails pertinents.
relief	le soulagement	La nouvelle a apporté un grand soulagement.
rely	compter sur	Les enfants comptent sur le soutien des adultes.
remark	la remarque	Sa remarque a mis fin à la discussion.
representative	le représentant	Le représentant a rencontré les travailleurs locaux.
reputation	la réputation	L'hôtel a une bonne réputation.
requirement	l'exigence	L'expérience est une exigence de base.
rescue	secourir	Ils sauvent des personnes des inondations.
reserve	la réserve	Nous réservons des places pour les invités.
resident	le résident	Chaque résident a reçu un avis.
resist	résister	Essaie de résister à la pression.
resolve	résoudre	Ils ont résolu le conflit pacifiquement.
resort	le complexe hôtelier	Le complexe hôtelier de l'île a ouvert en mai.
retain	retenir	L'entreprise veut retenir son personnel.
reveal	révéler	Le rapport révélera la vérité.
revolution	la révolution	La révolution a changé le pays.
reward	la récompense	Le travail acharné mérite une récompense.
rhythm	le rythme	La chanson a un rythme régulier.
rid	se débarrasser	Débarrassez-vous de ces vieux fichiers.
root	la racine	La racine du problème est l'argent.
rub	frotter	Frottez la surface avec un chiffon.
rubber	le caoutchouc	Le joint en caoutchouc empêche les fuites.
rural	rural	De nombreuses écoles rurales ont besoin de soutien.
rush	précipiter	Ne précipitez pas cette décision.
satellite	le satellite	Le satellite a envoyé de nouvelles images.
satisfied	satisfait	Le client semblait satisfait.
satisfy	satisfaire	La réponse ne l'a pas satisfait.
saving	l'économie	L'économie d'énergie réduit les coûts mensuels.
scale	l'échelle	L'ampleur des dégâts était énorme.
scheme	le programme	Le programme aide les jeunes travailleurs.
scream	crier	Ils ont entendu un cri dehors.
sector	le secteur	Le secteur technologique est en croissance.
secure	sécuriser	Verrouillez la porte pour la sécuriser.
seek	chercher	Ils cherchent conseil auprès d'experts.
select	sélectionner	Sélectionnez la meilleure option.
selection	la sélection	Le magasin offre une large sélection.
self	le moi	Elle a montré son vrai moi.
senior	principal	Un médecin chef a examiné le patient.
sensitive	sensible	Ce sujet est très sensible.
sequence	la séquence	Suivez la séquence d'étapes.
session	la séance	La séance d'entraînement commence à midi.
settle	régler	Ils ont réglé la dispute rapidement.
severe	grave	La tempête a provoqué de graves inondations.
shade	l'ombre	Asseyez-vous à l'ombre.
shadow	l'ombre	Une ombre a traversé la fenêtre.
shallow	peu profond	Le lac est peu profond ici.
shame	la honte	Il a ressenti de la honte après avoir menti.
shelter	l'abri	L'école a fourni un abri d'urgence.
shock	le choc	La décision a été un choc.
shocked	choqué	Elle avait l'air choquée par la nouvelle.
shooting	la fusillade	La fusillade a eu lieu près de la gare.
shot	le tir	Le tir gagnant a surpris tout le monde.
significant	significatif	La découverte était significative.
significantly	considérablement	Les coûts ont considérablement augmenté l'année dernière.
silence	le silence	La pièce a été plongée dans le silence.
silk	la soie	La robe était faite de soie.
sincere	sincère	Veuillez accepter mes remerciements sincères.
slave	l'esclave	La loi a libéré chaque esclave.
slide	glisser	L'enfant est descendu par le toboggan.
slight	léger	Il y a eu un léger retard.
slip	glisser	Ne glissez pas sur le sol mouillé.
slope	la pente	Le chemin suit une pente raide.
solar	solaire	La maison utilise l'énergie solaire.
somewhat	quelque peu	Les instructions étaient quelque peu confuses.
soul	l'âme	La musique a élevé son âme.
specialist	le spécialiste	Le spécialiste a examiné le patient.
species	l'espèce	Cette espèce vit près des rivières.
spiritual	spirituel	Elle a décrit une expérience spirituelle.
split	diviser	Ils ont partagé l'addition à parts égales.
sponsor	sponsoriser	L'entreprise sponsorisera l'événement.
stable	stable	Le patient est stable.
stare	dévisager	Ne dévisagez pas les inconnus.
status	le statut	Son statut a changé du jour au lendemain.
steady	constant	Gardez une vitesse constante.
steel	l'acier	Le pont est fait d'acier.
steep	raide	La colline est raide.
sticky	collant	Le sol est collant.
stiff	raide	Son épaule était raide.
stock	le stock	Le magasin n'a plus de stock.
stream	le ruisseau	Un petit ruisseau traverse le champ.
stretch	s'étirer	Étirez vos jambes après le vol.
strict	strict	L'école a des règles strictes.
strike	faire grève	Les travailleurs pourraient faire grève demain.
struggle	avoir du mal	De nombreuses familles ont du mal à payer leur loyer.
submit	soumettre	Soumettez le formulaire d'ici vendredi.
sum	la somme	La somme était plus élevée que prévu.
surgery	l'opération	L'opération a duré deux heures.
surround	entourer	De grands arbres entourent la maison.
surrounding	environnant	La zone environnante est calme.
suspect	soupçonner	La police soupçonne un homme de la région.
swear	jurer	Ne jurez pas en classe.
sweep	balayer	Balayez le sol avant l'arrivée des invités.
sympathy	la compassion	Elle a exprimé sa compassion pour les victimes.
tale	le conte	Grand-mère a raconté un conte étrange.
tank	le réservoir	Le réservoir contient de l'eau propre.
tear1	déchirer	Ne déchirez pas le document.
tear2	la larme	Une larme a coulé sur sa joue.
temporary	temporaire	Le bureau est un abri temporaire.
therapy	la thérapie	La thérapie physique l'a aidé à se rétablir.
threat	la menace	Le message contenait une menace.
threaten	menacer	La tempête pourrait menacer les récoltes.
thus	ainsi	La route était fermée ; ainsi, nous avons attendu.
tone	le ton	Son ton semblait calme.
tough	difficile	L'entretien a été difficile.
transfer	transférer	Ils transfèrent des données chaque nuit.
transform	transformer	La nouvelle politique transformera les services.
transition	la transition	La transition a pris plusieurs mois.
trial	le procès	Le procès commence la semaine prochaine.
tropical	tropical	Les tempêtes tropicales sont courantes ici.
truly	vraiment	J'apprécie vraiment votre aide.
trust	la confiance	La confiance met du temps à s'établir.
tune	la mélodie	Le groupe a joué une mélodie joyeuse.
tunnel	le tunnel	Le tunnel passe sous le fleuve.
ultimately	finalement	Finalement, le plan a réussi.
unconscious	inconscient	Le patient est resté inconscient.
unexpected	inattendu	Le retard était inattendu.
unique	unique	Chaque design est unique.
universe	l'univers	L'univers est en expansion.
unknown	inconnu	Le nom reste inconnu.
upper	supérieur	L'étagère supérieure est vide.
upwards	vers le haut	La fumée montait vers le haut.
urban	urbain	Les zones urbaines ont besoin de meilleurs transports.
urge	exhorter	Les médecins exhortent les gens à faire de l'exercice.
vary	varier	Les prix varient selon les régions.
vast	vaste	Le désert couvre une vaste zone.
venue	le lieu	Le lieu peut accueillir cinq cents personnes.
via	via	Envoyez le document via e-mail.
victory	la victoire	L'équipe a célébré sa victoire.
violence	la violence	La ville a souffert de violences politiques.
virtual	virtuel	La réunion est virtuelle.
vision	la vision	Sa vision a façonné l'entreprise.
visual	visuel	Le rapport comprend des exemples visuels.
vital	vital	L'eau est vitale pour la vie.
vitamin	la vitamine	Les oranges contiennent de la vitamine C.
volume	le volume	Baisse le volume.
wage	le salaire	Les travailleurs ont exigé un salaire plus élevé.
weakness	la faiblesse	Le plan a une faiblesse.
wealth	la richesse	Sa richesse provenait du commerce.
wealthy	riche	La famille riche a financé le musée.
whereas	tandis que	Elle aime le thé, tandis que je préfère le café.
wherever	partout où	Asseyez-vous où vous vous sentez à l'aise.
whisper	chuchoter	Veuillez chuchoter pendant la cérémonie.
whom	qui	Qui as-tu invité ?
widely	largement	Le livre est largement lu.
wildlife	la faune	Le parc protège la faune locale.
willing	disposé	Elle est disposée à aider.
wind2	enrouler	Enroulez le câble autour de la bobine.
wire	le fil	Le fil connecte les deux appareils.
wise	sage	C'était un choix sage.
witness	le témoin	Un témoin a décrit l'accident.
wound	la blessure	Nettoyez la blessure avec soin.
wrap	emballer	Emballez le cadeau dans du papier.
zone	la zone	Cette zone est fermée à la circulation.
