source_headword	ES-419	example_ES-419
instructor	el instructor	El instructor explicó el ejercicio.
instrument	el instrumento	Ella toca un instrumento.
intelligent	inteligente	Él es un estudiante inteligente.
international	internacional	Este es un aeropuerto internacional.
introduction	la introducción	La introducción fue corta.
invent	inventar	Los niños pueden inventar juegos nuevos.
invention	el invento	El invento ahorró tiempo.
invitation	la invitación	Recibí una invitación.
invite	invitar	Invita también a tu amigo.
involve	implicar	El trabajo implicará viajar.
item	el artículo	Elige un artículo.
itself	por sí sola	La máquina se apaga por sí sola.
jam	la mermelada	Pon mermelada en el pan.
jazz	el jazz	El jazz suena muy bien esta noche.
jewellery	las joyas	Ella guarda joyas en una caja.
joke	el chiste	Cuéntame un chiste.
journalist	el periodista	El periodista hizo preguntas.
jump	saltar	Salta sobre la línea.
kid	el niño	El niño se está riendo.
kill	matar	No mates al insecto.
king	el rey	El rey vivía en un palacio.
knee	la rodilla	Me duele la rodilla.
knife	el cuchillo	Usa un cuchillo afilado.
knock	tocar	Toca antes de entrar.
knowledge	el conocimiento	El conocimiento crece con la práctica.
lab	el laboratorio	El laboratorio está cerrado.
lady	la señora	La señora nos sonrió.
lake	el lago	El lago está tranquilo.
lamp	la lámpara	Enciende la lámpara.
laptop	la computadora portátil	Mi computadora portátil es nueva.
last1 (taking time)	durar	La película dura dos horas.
laughter	la risa	Oímos risas afuera.
law	la ley	La ley cambió ayer.
lawyer	el abogado	El abogado me llamó.
lazy	flojo	No seas flojo.
lead1	liderar	Los buenos líderes lideran con el ejemplo.
leader	el líder	Ella es la líder del equipo.
learning	el aprendizaje	El aprendizaje toma tiempo.
least	el menos	Elige el menos caro.
lecture	la conferencia	La conferencia empieza a las diez.
lemon	el limón	Agrega limón al té.
lend	prestar	¿Me puedes prestar cinco dólares?
less	menos	Come menos azúcar.
level	el nivel	Este nivel es fácil.
lifestyle	el estilo de vida	Él tiene un estilo de vida saludable.
lift	levantar	Levanta la caja con cuidado.
light	encender	Enciende la vela con cuidado.
light (not heavy)	ligero	Esta bolsa es ligera.
likely	probable	Es probable que llueva mañana.
link	el enlace	Envíame el enlace.
listener	el oyente	Sé un buen oyente.
lock	cerrar con llave	Cierra la puerta con llave.
lorry	el camión	El camión llevaba cajas.
lost	perdido	Estamos perdidos.
loud	fuerte	La música está fuerte.
loudly	en voz alta	Por favor, no hables en voz alta.
lovely	hermoso	¡Qué jardín tan hermoso!
low	bajo	La silla es baja.
luck	la suerte	Buena suerte en tu examen.
lucky	afortunado	Hoy tienes suerte.
mail	el correo	Recibí correo esta mañana.
major	importante	Este es un problema importante.
male	macho	El pájaro macho es brillante.
manage	manejar	¿Puedes manejar esta tarea?
manager	el gerente	El gerente está ocupado.
manner	la manera	Habla de manera educada.
mark	marcar	Marca tu respuesta con claridad.
marry	casarse	Ellos se van a casar en junio.
material	el material	Este material se siente suave.
mathematics	las matemáticas	Las matemáticas son mi materia favorita.
maths	las matemáticas	Las matemáticas son difíciles para mí.
matter	importar	Eso no importa.
may modal	poder	Puedes salir ahora.
media	los medios	Los medios cubrieron la historia.
medical	médico	Ella necesita ayuda médica.
medicine	la medicina	Toma esta medicina después del almuerzo.
memory	la memoria	Mi memoria es buena.
mention	mencionar	No menciones mi nombre.
metal	de metal	La puerta es de metal.
method	el método	Este método funciona bien.
middle	el medio	Párate en el medio.
might modal	poder	Puede llover más tarde.
mind	la opinión	Cambié de opinión.
mine (belongs to me)	mío	Este libro es mío.
mirror	el espejo	Mírate en el espejo.
missing	perdido	Mis llaves están perdidas.
mobile	el celular	Mi celular está en la mesa.
monkey	el mono	El mono subió al árbol.
moon	la luna	La luna está brillante.
mostly	principalmente	La clase está principalmente tranquila.
motorcycle	la motocicleta	Él anda en motocicleta.
movement	el movimiento	Vi movimiento en los árboles.
musical	musical	Esta es una película musical.
musician	el músico	El músico tocó la guitarra.
myself	yo mismo	Yo hice esto solo.
narrow	estrecho	El camino es estrecho.
national	nacional	Es un día festivo nacional.
nature	la naturaleza	Amo la naturaleza.
nearly	casi	Ya casi llegamos.
necessary	necesario	¿Esto es necesario?
neck	el cuello	Me duele el cuello.
neither	ninguno	Ninguna respuesta es correcta.
nervous	nervioso	Ella se siente nerviosa.
network	la red	La red no funciona.
noise	el ruido	Oí un ruido fuerte.
noisy	ruidoso	La calle es ruidosa.
none	ninguno	Ninguno de ellos vino.
normal	normal	Esto es normal.
normally	normalmente	Normalmente me despierto temprano.
notice	notar	¿Notaste el letrero?
novel	la novela	Ella escribió una novela.
nowhere	ningún lugar	No hay ningún lugar para sentarse.
nut	la nuez	La nuez es dura.
ocean	el océano	El océano es profundo.
offer	la oferta	Acepté la oferta.
officer	el agente	El agente revisó mi boleto.
oil	el aceite	Agrega aceite a la olla.
onto	sobre	Pon eso sobre el estante.
opportunity	la oportunidad	Esta es una buena oportunidad.
option	la opción	Elige la mejor opción.
ordinary	común	Fue un día común.
organization	la organización	La organización ayuda a estudiantes.
organize	organizar	Por favor, organiza los archivos.
original	original	Guarda el recibo original.
ourselves	nosotros mismos	Nosotros cocinamos la cena solos.
oven	el horno	El horno está caliente.
owner	el dueño	El dueño abrió la tienda.
pack	preparar	Prepara tu bolsa ahora.
pain	el dolor	Siento dolor en la espalda.
painter	el pintor	El pintor terminó la pared.
palace	el palacio	El palacio es antiguo.
pants	los pantalones	Estos pantalones son demasiado largos.
parking	el estacionamiento	El estacionamiento es difícil aquí.
particular	específico	Necesito un libro específico.
pass	pasar	Pásame la sal.
passenger	el pasajero	Cada pasajero necesita un boleto.
patient	paciente	Sé paciente con los niños.
pattern	el patrón	Este patrón es simple.
peace	la paz	Todos queremos paz.
penny	el centavo	Encontré un centavo.
per	por	Los boletos cuestan diez dólares por persona.
per cent	por ciento	Cinco por ciento es poco.
perform	presentarse	La banda se presentará esta noche.
perhaps	tal vez	Tal vez ella esté en casa.
permission	el permiso	Pide permiso primero.
personality	la personalidad	Él tiene una personalidad amable.
pet	la mascota	Mi mascota es un gato.
petrol	la gasolina	El carro necesita gasolina.
physical	físico	El ejercicio físico ayuda a la salud.
physics	la física	La física es difícil.
pick	elegir	Elige una tarjeta.
pilot	el piloto	El piloto habló con claridad.
planet	el planeta	La Tierra es un planeta.
plastic	de plástico	Esta botella es de plástico.
plate	el plato	Pon comida en el plato.
platform	el andén	Espera en el andén dos.
pleased	contento	Estoy contento de conocerte.
pocket	el bolsillo	El boleto está en mi bolsillo.
polite	educado	Sé educado con todos.
pollution	la contaminación	La contaminación daña el océano.
pop	el pop	Me gusta la música pop.
population	la población	La población está creciendo.
position	la posición	Cambia tu posición.
possession	la posesión	Este anillo es mi posesión.
possibility	la posibilidad	Hay posibilidad de lluvia.
poster	el cartel	Pon el cartel en la pared.
power	la energía	La computadora necesita energía.
predict	predecir	No podemos predecir el clima.
president	el presidente	El presidente dio un discurso.
prevent	prevenir	Lávate las manos para prevenir enfermedades.
print	imprimir	Imprime el documento.
printer	la impresora	La impresora está rota.
prison	la prisión	Él fue a prisión.
prize	el premio	Ella ganó un premio.
process	el proceso	El proceso toma tiempo.
produce	producir	Las granjas producen comida.
professional	profesional	Ella es una bailarina profesional.
professor	el profesor	El profesor respondió preguntas.
profile	el perfil	Actualiza tu perfil.
program	el programa	El programa empieza ahora.
progress	el progreso	Hicimos progreso hoy.
promise	la promesa	Cumple tu promesa.
pronounce	pronunciar	Por favor, pronuncia esta palabra.
protect	proteger	Protege tus ojos.
provide	proporcionar	Ellos proporcionan agua gratis.
pub	el bar	Nos reunimos en el bar.
public	público	El parque es público.
publish	publicar	Ellos publican una revista.
pull	jalar	Jala la puerta.
purpose	el propósito	¿Cuál es el propósito?
push	presionar	Presiona el botón.
quality	la calidad	La calidad es alta.
quantity	la cantidad	Revisa la cantidad.
queen	la reina	La reina saludó.
quietly	en voz baja	Habla en voz baja.
race (competition)	la carrera	La carrera empieza pronto.
railway	el ferrocarril	El ferrocarril está cerrado.
raise	levantar	Levanta la mano.
rate	la tarifa	La tarifa del hotel es alta.
rather	bastante	Estoy bastante cansado.
reach	alcanzar	¿Puedes alcanzar el estante?
react	reaccionar	¿Cómo reaccionó él?
realize	darse cuenta	Me doy cuenta de mi error.
receive	recibir	¿Recibiste mi mensaje?
recent	reciente	Esta es una foto reciente.
recently	recientemente	Me mudé aquí recientemente.
reception	la recepción	La recepción es el lunes.
recipe	la receta	Esta receta es fácil.
recognize	reconocer	Reconozco esa canción.
recommend	recomendar	Recomiendo este libro.
record	el registro	Mantén un registro de los pagos.
recording	la grabación	La grabación suena clara.
recycle	reciclar	Recicla papel y plástico.
reduce	reducir	Reduce el fuego.
refer	consultar	Consulta la página dos.
refuse1	negarse	Me niego a mentir.
region	la región	Esta región es fría.
regular	regular	Él es un cliente regular.
relationship	la relación	Su relación es fuerte.
remove	quitar	Quítate los zapatos.
repair	reparar	Repara la bicicleta hoy.
replace	reemplazar	Reemplaza la batería vieja.
reply	responder	Por favor, responde pronto.
reporter	el reportero	El reportero tomó notas.
request	la solicitud	Hice una solicitud.
research	investigar	Investigamos la historia local.
researcher	el investigador	El investigador revisó los datos.
respond	responder	Por favor, responde hoy.
response	la respuesta	Su respuesta fue rápida.
rest (remaining part)	el resto	Come el resto más tarde.
rest (sleep/relax)	descansar	Necesitas descansar.
review	repasar	Repasa tus notas esta noche.
ring1	el anillo	Ella llevaba un anillo de oro.
ring2	llamar	Llámame después del almuerzo.
rise	subir	Los precios suben cada año.
rock (stone)	la piedra	La piedra es pesada.
