source_headword	BG	example_BG
allege	твърдя	Те твърдят, че средствата са изгубени.
allegedly	твърди се	Твърди се, че шофьорът е игнорирал предупреждението.
alliance	съюз	Партиите сключиха временен съюз.
allocate	разпределям	Градът ще разпредели пари за училищата.
allocation	разпределение	Разпределението на местата беше несправедливо.
allowance	джобни пари	Нейните джобни пари покриват обяда и транспорта.
ally	съюзник	Канада стана близък съюзник.
aluminium	алуминий	Рамката е направена от алуминий.
amateur	любител	Снимката е направена от любител фотограф.
ambassador	посланик	Посланикът се срещна с местни студенти.
amend	изменям	Парламентът гласува да измени закона.
amendment	поправка	Поправката промени един параграф.
amid	сред	Речта дойде на фона на нарастващо напрежение.
analogy	аналогия	Учителят използва проста аналогия.
anchor	котва	Лодката хвърли котва близо до острова.
angel	ангел	Детето носеше костюм на ангел.
anonymous	анонимен	Жалбата беше анонимна.
apparatus	апаратура	Лабораторната апаратура се нуждае от почистване.
appealing	привлекателен	Офертата изглежда привлекателна за студентите.
appetite	апетит	Упражненията увеличиха апетита му.
applaud	аплодирам	Публиката започна да аплодира силно.
applicable	приложим	Отстъпката е приложима днес.
appoint	назначавам	Бордът ще назначи директор.
appreciation	признателност	Тя изрази признателност за тяхната помощ.
arbitrary	произволен	Крайният срок изглеждаше произволен за персонала.
architectural	архитектурен	Градът защитава своето архитектурно наследство.
archive	архив	В архива се съхраняват стари снимки.
arena	арена	Дебатът се премести на обществената арена.
arguably	вероятно	Това вероятно е най-добрият му роман.
arm	въоръжавам	Охраната ще въоръжи конвоя.
array	набор	Магазинът предлага набор от инструменти.
articulate	формулирам	Тя може ясно да формулира сложни идеи.
ash	пепел	Пепел покри колата след пожара.
aspiration	стремеж	Нейният стремеж е да стане хирург.
aspire	стремя се	Много студенти се стремят да учат в чужбина.
assassination	убийство	Убийството промени политиката на страната.
assault	нападение	Нападението се е случило близо до гарата.
assemble	сглобявам	Работниците сглобяват мебелите на ръка.
assembly	събрание	Училищното събрание започва в девет.
assert	отстоявам	Той се опита да отстои авторитета си.
assertion	твърдение	Нейното твърдение изненада комисията.
assurance	уверение	Мениджърът даде уверение за подкрепа.
asylum	убежище	Семейството поиска убежище на границата.
atrocity	зверство	Филмът описва военно зверство.
attain	достигам	Малко бегачи достигат тази скорост.
attendance	посещаемост	Посещаемостта се подобри след съобщението.
attorney	адвокат	Адвокатът разпита свидетеля.
attribute	приписвам	Учените приписват покачването на замърсяването.
audit	одит	Одитът откри няколко грешки.
authentic	автентичен	Ресторантът сервира автентична регионална храна.
authorize	упълномощавам	Само мениджърите могат да разрешават възстановяване на суми.
auto	автомобил	Автомобилната индустрия се промени бързо.
autonomy	автономия	Регионът иска по-голяма автономия.
availability	наличност	Наличността на места е ограничена.
await	очаквам	Няколко съобщения очакват вашия отговор.
backdrop	фон	Планините образуваха драматичен фон.
backing	подкрепа	Предложението получи подкрепа от избирателите.
backup	резервно копие	Системата създава резервно копие ежедневно.
bail	гаранция	Съдията определи гаранцията по обяд.
ballot	бюлетина	Всеки избирател получи бюлетина.
banner	банер	Банерът висеше над входа.
bare	гол	Стаята имаше голи стени.
barrel	варел	Варелът беше пълен с вода.
bass1	бас	Басът звучеше дълбоко и топло.
battlefield	бойно поле	Старото бойно поле се превърна в мемориал.
bay	залив	Селото се намира до тих залив.
beam	греда	Стоманена греда поддържа покрива.
beast	звяр	Историята описва свиреп звяр.
behalf	име	Тя говори от името на своя отбор.
beloved	любим	Любимият учител се пенсионира днес.
bench	пейка	Те седнаха на дървена пейка.
benchmark	стандарт	Тестът стана индустриален стандарт.
beneath	под	Документите бяха под папката.
beneficiary	бенефициент	Нейният син беше основният бенефициент.
betray	предавам	Не предавай доверието на приятеля си.
bind	обвързвам	Споразумението ще обвърже и двете компании.
biography	биография	Неговата биография се продаде в много копия.
bishop	епископ	Епископът посети селската църква.
bizarre	странен	Филмът имаше странен край.
blade	острие	Острието преряза въжето.
blast	експлозия	Експлозията счупи близките прозорци.
bleed	кървя	Порязването започна да кърви силно.
blend	смесвам	Смесете соса до гладкост.
bless	благославям	Свещеникът ще благослови къщата.
blessing	благословия	Да имаш подкрепа беше благословия.
boast	хваля се	Той обича да се хвали за пари.
bonus	бонус	Служителите получиха празничен бонус.
boom	бум	Градът преживя строителен бум.
bounce	отскачам	Топката може да отскача много високо.
boundary	граница	Реката маркира границата.
bow1	поклон	Актьорът направи дълбок поклон.
breach	пробив	Пробивът разкри лични данни.
breakdown	разбивка	Докладът включва разбивка на разходите.
breakthrough	пробив	Откритието беше голям пробив.
breed	размножавам се	Тези птици се размножават през пролетта.
broadband	широколентов интернет	Офисът се нуждае от по-бърз широколентов интернет.
browser	браузър	Актуализирайте браузъра си преди да влезете.
brutal	брутален	Атаката беше брутална и внезапна.
buck	долар	Билетът струва десет долара.
buddy	приятел	Неговият приятел чакаше отвън.
buffer	буфер	Дърветата създават шумов буфер.
bulk	едро	Те купиха ориз на едро.
burden	бреме	Дългът се превърна в тежко бреме.
bureaucracy	бюрокрация	Бюрокрацията забави разрешителното.
burial	погребение	Погребението се състоя призори.
burst	спуквам се	Тръбата може да се спука под налягане.
cabinet	кабинет	Кабинетът одобри плана.
calculation	изчисление	Изчислението отне няколко минути.
canvas	платно	Художникът рисуваше върху голямо платно.
capability	способност	Устройството има безжична способност.
capitalism	капитализъм	Капитализмът оформи модерната икономика.
capitalist	капиталистически	Капиталистическата система възнаграждава частните инвестиции.
cargo	товар	Корабът пренасяше медицински товар.
carriage	вагон	Вагонът на влака беше почти празен.
carve	резбовам	Той ще резбова дървото внимателно.
casino	казино	Казиното отвори близо до хотела.
casualty	жертва	Катастрофата причини една жертва.
catalogue	каталог	Каталогът изброява всеки продукт.
cater	обслужвам	Ресторантът може да обслужва големи събития.
cattle	добитък	Добитъкът пасеше близо до реката.
caution	внимание	Бъдете внимателни на заледени пътища.
cautious	предпазлив	Инвеститорите остават предпазливи тази седмица.
cease	прекратявам	Фабриката скоро ще прекрати производството.
cemetery	гробище	Гробището гледа към морето.
chamber	зала	Залата беше тиха по време на гласуването.
chaos	хаос	Закъснението предизвика хаос на летището.
characterize	характеризирам	Експертите характеризират плана като рисков.
charm	чар	Градът има старовремски чар.
charter	харта	Хартата защитава основните права.
chronic	хроничен	Той страда от хронични болки в гърба.
chunk	парче	Нарежете сиренето на голямо парче.
circulate	разпространявам	Моля, разпространете дневния ред днес.
circulation	тираж	Тиражът на вестника спадна рязко.
citizenship	гражданство	Тя кандидатства за френско гражданство.
civic	граждански	Гражданските лидери присъстваха на срещата.
civilian	цивилен	Няколко цивилни домове бяха повредени.
clarity	яснота	Диаграмата добави яснота към доклада.
clash	сблъсък	Сблъсъкът започна след марша.
classification	класификация	Класификацията зависи от размера.
cling	прилепвам	Мокрите дрехи прилепват към кожата.
clinical	клиничен	Клиничното изпитване започва следващия месец.
closure	приключване	Семейството искаше приключване след случая.
cluster	група	Наблизо имаше група къщи.
coalition	коалиция	Коалицията загуби своето мнозинство.
coastal	крайбрежен	Крайбрежните села се подготвиха за наводнения.
cocktail	коктейл	Тя поръча плодов коктейл.
cognitive	когнитивен	Когнитивните умения се подобряват с практика.
coincide	съвпадам	Фестивалът ще съвпадне със завършването.
collaborate	сътруднича	Екипите си сътрудничат за софтуера.
collaboration	сътрудничество	Тяхното сътрудничество доведе до силни резултати.
collective	колективен	Решението беше колективно усилие.
collision	сблъсък	Сблъсъкът блокира магистралата.
colonial	колониален	Сградата има колониална архитектура.
columnist	колумнист	Колумнистът критикува политиката.
combat	битка	Войниците се обучаваха за битка.
commence	започвам	Церемонията ще започне по обяд.
commentary	коментар	Коментарът на мача беше оживен.
commentator	коментатор	Коментаторът обясни решението.
commerce	търговия	Онлайн търговията нарасна бързо.
commissioner	комисар	Комисарят обяви нови правила.
commodity	стока	Пшеницата е важна стока.
communist	комунистически	Комунистическата партия проведе среща.
companion	спътник	Нейното куче е лоялен спътник.
comparable	сравним	Двата града са сравними по размер.
compassion	състрадание	Медицинската сестра прояви голямо състрадание.
compel	принуждавам	Доказателствата могат да принудят към отговор.
compelling	убедителен	Документалният филм представи убедителен случай.
compensate	компенсирам	Компанията ще компенсира засегнатите клиенти.
compensation	компенсация	Работниците поискаха справедлива компенсация.
competence	компетентност	Тестът измерва професионалната компетентност.
competent	компетентен	Тя е компетентен инженер.
compile	съставям	Изследователите съставят данни от болници.
complement	допълвам	Виното ще допълни ястието.
complexity	сложност	Проектът има неочаквана сложност.
compliance	спазване	Одитът провери законовото спазване.
complication	усложнение	Операцията имаше едно усложнение.
comply	подчинявам се	Компаниите трябва да се подчиняват на регулациите.
composition	композиция	Композицията включва цигулка и пиано.
compromise	компромис	Компромисът удовлетвори и двете страни.
compute	изчислявам	Програмата може да изчисли общата сума.
conceal	скривам	Той се опита да скрие щетите.
concede	признавам	Министърът отказа да признае поражението.
conceive	замислям	Те не можаха да замислят по-добър план.
conception	концепция	Филмът промени моята концепция за историята.
concession	отстъпка	Компанията предложи една отстъпка.
condemn	осъждам	Лидерите осъждат атаката публично.
confer	удостоявам	Наградата ще удостои престиж.
confession	признание	Неговото признание изненада съда.
configuration	конфигурация	Конфигурацията контролира достъпа до мрежата.
confine	ограничавам	Правилата ограничават кучетата до тази зона.
confirmation	потвърждение	Получихме потвърждение по имейл.
confront	изправям се срещу	Тя реши да се изправи срещу проблема.
confrontation	конфронтация	Конфронтацията завърши без насилие.
congratulate	поздравявам	Обадих се да поздравя сестра си.
congregation	конгрегация	Конгрегацията пееше заедно.
congressional	конгресен	Конгресното изслушване продължи часове.
conquer	завладявам	Отборът се надява да завладее пазара.
conscience	съвест	Съвестта му не би позволила лъжи.
consciousness	съзнание	Инцидентът засегна неговото съзнание.
consecutive	последователен	Тя спечели три последователни мача.
consensus	консенсус	Комитетът постигна консенсус бързо.
consent	съгласие	Изисква се писмено съгласие.
conserve	запазвам	Ние запазваме водата по време на суши.
consistency	последователност	Последователността има значение в изучаването на езици.
consolidate	консолидирам	Компанията ще консолидира два офиса.
constituency	избирателен район	Кандидатът посети всеки избирателен район.
constitute	съставлявам	Жените съставляват половината от комисията.
constitution	конституция	Конституцията гарантира свободата на словото.
constitutional	конституционен	Съдът прегледа конституционните права.
constraint	ограничение	Бюджетното ограничение лимитира проекта.
consultation	консултация	Консултацията продължи две седмици.
contemplate	обмислям	Тя спря, за да обмисли офертата.
contempt	презрение	Той показа презрение към правилата.
contend	състезавам се	Няколко фирми се състезават за договора.
contender	претендент	Тя е силен претендент.
content2	доволен	Той се чувстваше доволен от резултата.
contention	спор	Основният спор засяга финансирането.
continually	непрекъснато	Системата непрекъснато проверява за грешки.
contractor	изпълнител	Изпълнителят поправи покрива.
contradiction	противоречие	Изявлението му съдържаше противоречие.
contrary	противоположен	Противоположното доказателство промени случая.
contributor	сътрудник	Тя е редовен сътрудник.
conversion	преобразуване	Преобразуването превърна доларите в евро.
convict	осъждам	Журито може да осъди заподозрения.
conviction	присъда	Неговата присъда шокира обществеността.
cooperate	сътруднича	Моля, сътрудничете на разследването.
cooperative	сътрудничещ	Персоналът беше сътрудничещ и спокоен.
coordinate	координирам	Те координират доставките всяка сутрин.
coordination	координация	Добрата координация спести време.
coordinator	координатор	Координаторът възложи всяка задача.
cop	ченге	Едно ченге стоеше пред гарата.
copper	мед	Тръбата е направена от мед.
copyright	авторско право	Изображението е защитено с авторско право.
correction	поправка	Учителят направи една поправка.
correlate	корелирам	Високият стрес може да корелира със заболяване.
correlation	корелация	Проучването откри силна корелация.
correspond	съответствам	Тези числа съответстват на етикетите.
correspondence	кореспонденция	Тяхната кореспонденция продължи с години.
correspondent	кореспондент	Кореспондентът докладва от Кайро.
corresponding	съответен	Всеки бутон има съответна светлина.
corrupt	корумпиран	Корумпираният чиновник прие пари.
corruption	корупция	Корупцията отслаби общественото доверие.
costly	скъп	Грешката беше скъпа за отбора.
councillor	съветник	Съветникът отговори на въпросите на жителите.
counselling	консултиране	Тя получи консултиране след инцидента.
counsellor	съветник	Съветникът помогна на новите студенти.
counter (argue against)	противопоставям се	Тя се опита да се противопостави на аргумента му.
counterpart	колега	Той се срещна с японския си колега.
countless	безброен	Безбройни доброволци се присъединиха към търсенето.
coup	преврат	Превратът отстрани президента.
courtesy	учтивост	Тя им благодари за тяхната учтивост.
