simplified	AZ	example_AZ
标点	durğu işarəsi	Zəhmət olmasa, durğu işarələrinə diqqət edin.
标志	nişan; rəmz	Qırmızı işıq dayanmaq nişanıdır.
表达	ifadə etmək	O, öz fikrini ifadə etdi.
表面	səth	Stolun səthi çox təmizdir.
表明	göstərmək; aydın etmək	Nəticə onun haqlı olduğunu göstərir.
表情	üz ifadəsi	Onun üz ifadəsi çox ciddidir.
表现	özünü göstərmək; çıxış etmək	O, bu gün özünü çox yaxşı göstərdi.
冰激凌	dondurma	Uşaqlar dondurma yeməyi sevirlər.
病毒	virus	Bu virus çox tez yayılır.
播放	səsləndirmək; yayımlamaq	Zəhmət olmasa, bu mahnını səsləndirin.
玻璃	şüşə	Şüşə stəkan sındı.
博物馆	muzey	Biz həftəsonu muzeyə gedəcəyik.
脖子	boyun	Boynum bir az ağrıyır.
不断	dayanmadan; davamlı	Qiymətlər dayanmadan artır.
不见得	mütləq deyil	Bu, mütləq pis şey deyil.
不耐烦	səbirsiz	Uzun müddət gözləyəndən sonra o, bir az səbirsiz oldu.
不要紧	eybi yoxdur; ciddi deyil	Hər şey qaydasındadır, eybi yoxdur.
补充	əlavə etmək; tamamlamaq	Mən bir fikir əlavə etmək istəyirəm.
不安	narahat	Bu xəbəri eşidəndən sonra o, narahat oldu.
不得了	çox ciddi; dəhşətli	Bu məsələ həqiqətən çox ciddidir.
不然	əks halda	Tez get, əks halda gecikəcəksən.
不如	daha yaxşıdır	Maşına minməkdənsə, piyada getmək daha yaxşıdır.
不足	kifayət deyil; çatışmazlıq	Burada su kifayət deyil.
布	parça	Bu parça çox yumşaqdır.
步骤	addım; mərhələ	Zəhmət olmasa, addımlara uyğun edin.
部门	şöbə	Mən satış şöbəsində işləyirəm.
财产	əmlak	Bu ev onun əmlakıdır.
彩虹	göy qurşağı	Yağışdan sonra göy qurşağı çıxdı.
踩	tapdalamaq; ayaq basmaq	Otu tapdalamayın.
采访	müsahibə almaq	Jurnalist həkimdən müsahibə alır.
采取	qəbul etmək; tətbiq etmək	Biz yeni üsul tətbiq etdik.
参考	mənbə kimi baxmaq; istinad etmək	Zəhmət olmasa, bu kitaba istinad edin.
参与	iştirak etmək	O, tədbirlərdə fəal iştirak edir.
惭愧	utanmaq	Öz səhvimə görə utanıram.
操场	idman meydançası	Şagirdlər idman meydançasında qaçırlar.
操心	narahat olmaq	Mənə görə narahat olma.
册	cild; kitab üçün say sözü	Mən bir cild kitab aldım.
测验	kiçik test	Sabah kiçik test var.
曾经	bir vaxtlar	Mən bir vaxtlar Pekində yaşamışam.
叉子	çəngəl	Mən salatı çəngəllə yeyirəm.
差距	fərq; uçurum	Şəhərlə kənd arasında fərq var.
插	taxmaq; qoymaq	Zəhmət olmasa, gülləri vazaya qoyun.
拆	sökmək; dağıtmaq	Fəhlələr köhnə evi sökürlər.
产品	məhsul	Bu məhsulun keyfiyyəti çox yaxşıdır.
产生	yaranmaq; meydana gəlmək	Bu məsələ yeni təsir yaratdı.
常识	ümumi bilik; sağlam düşüncə	Bu, əsas ümumi bilikdir.
长途	uzun məsafə	Uzun məsafəli səyahət yorucudur.
抄	kopyalamaq; köçürmək	Zəhmət olmasa, başqalarının ev tapşırığını köçürmə.
超级	çox böyük; yüksək dərəcəli	Bu, böyük marketdir.
朝	sülalə	Tan sülaləsi çox məşhurdur.
潮湿	nəm	Cənubda yay çox nəm olur.
吵	səs-küylü olmaq	Çöldə çox səs-küy var.
吵架	dalaşmaq	Onlar yenə dalaşdılar.
炒	qızartmaq; tavada bişirmək	Anam tərəvəz qızardır.
车库	qaraj	Maşın qarajda dayanıb.
车厢	vaqon	Bu vaqon çox sakitdir.
彻底	tam; hərtərəfli	O, bunu tam başa düşdü.
沉默	susqunluq; susmaq	O, bütün vaxt ərzində susdu.
趁	fürsətdən istifadə etmək	Qaranlıq düşməmiş gedək.
称	çəkmək; adlandırmaq	Zəhmət olmasa, bu bağlamanı çəkin.
称呼	müraciət forması; adlandırmaq	Ona necə müraciət edəcəyimi bilmirəm.
称赞	tərifləmək	Müəllim onun irəliləyişini təriflədi.
成分	tərkib; inqrediyent	Bu dərmanın tərkibi sadədir.
成果	nəticə; nailiyyət	Bu layihə nəticə verdi.
成就	nailiyyət; uğur	Onun karyerasında çox nailiyyəti var.
成立	qurulmaq; təsis edilmək	Şirkət keçən il qurulub.
成人	böyük; yetkin	Böyüklər üçün bilet uşaq biletindən bahadır.
成熟	yetişmiş; yetkin	Almalar artıq yetişib.
成语	idiom; sabit ifadə	Bu idiom çox işlənir.
成长	böyümək; inkişaf etmək	Uşaq yavaş-yavaş böyüyür.
承担	üzərinə götürmək	O, məsuliyyəti üzərinə götürməyə hazırdır.
承认	etiraf etmək	O, səhv etdiyini etiraf etdi.
承受	dözmək; tab gətirmək	Mən bu qədər böyük təzyiqə dözə bilmirəm.
程度	səviyyə	Onun Çin dili səviyyəsi çox yüksəkdir.
程序	prosedur; qayda	Zəhmət olmasa, bunu prosedura uyğun rəsmiləşdirin.
诚恳	səmimi	Onun münasibəti çox səmimidir.
吃亏	ziyana düşmək	Nəsə almamışdan əvvəl diqqətlə bax, ziyana düşmə.
持续	davam etmək	Yağış üç gün davam etdi.
池塘	gölməçə; hovuz	Gölməçədə çox balıq var.
迟早	gec-tez	Sən gec-tez başa düşəcəksən.
尺子	xətkeş	Zəhmət olmasa, xətkeşlə ölçün.
翅膀	qanad	Quşun qanadı yaralanıb.
充电器	adapter; şarj cihazı	Mənim şarj cihazım xarab olub.
充分	kifayət qədər; tam	Biz kifayət qədər hazırlıq gördük.
充满	dolu olmaq	Otaq gülüş səsi ilə doldu.
冲	yumaq; yaxalamaq	Zəhmət olmasa, stəkanı su ilə yaxalayın.
重复	təkrarlamaq	Zəhmət olmasa, eyni səhvi təkrarlamayın.
宠物	ev heyvanı	O, bir ev iti saxlayır.
抽屉	siyirmə	Açar siyirmədədir.
抽象	mücərrəd	Bu anlayış çox mücərrəddir.
丑	çirkin	Bu şəkil bir az çirkindir.
臭	pis qoxulu; üfunətli	Zibildən pis qoxu gəlir.
出版	nəşr etmək; nəşr olunmaq	Bu kitab keçən il nəşr olunub.
出口	çıxış	Çıxış qarşıdadır.
出色	əla; seçilən	Onun çıxışı çox əladır.
出示	göstərmək	Zəhmət olmasa, pasportunuzu göstərin.
出席	iştirak etmək	O, iclasda iştirak edəcək.
初级	başlanğıc səviyyə	Mən başlanğıc sinfində Çin dili öyrənirəm.
除非	əgər ... olmasa	Yağış yağmasa, sabah dağa çıxacağıq.
除夕	Yeni il axşamı	Yeni il axşamı bütün ailəmiz birlikdə yemək yeyir.
处理	həll etmək; idarə etmək	Bu problemi mən həll edəcəyəm.
传播	yayılmaq; yaymaq	Bu xəbər çox tez yayıldı.
传染	yoluxmaq; yoluxucu	Soyuqdəymə asan yoluxur.
传说	əfsanə	Bu, qədim bir əfsanədir.
传统	ənənə; ənənəvi	Yaz bayramı Çinin ənənəvi bayramıdır.
窗帘	pərdə	Zəhmət olmasa, pərdələri açın.
闯	soxulmaq; qaydanı pozaraq keçmək	O, ehtiyatsızlıqdan qırmızı işıqdan keçdi.
创造	yaratmaq	İnsanlar yeni alətlər yaratdılar.
吹	əsmək; üfürmək	Külək güclü əsir.
词汇	söz ehtiyatı; lüğət vahidi	Bu söz çox işlənir.
辞职	istefa vermək	O, istefa verməyə qərar verdi.
此外	bundan əlavə	Bundan əlavə, mənim bir sualım da var.
刺激	həyəcanlı; qıcıqlandırmaq	Bu oyun çox həyəcanlıdır.
次要	ikinci dərəcəli	Bu problem ikinci dərəcəlidir.
匆忙	tələsik	O, evdən tələsik çıxdı.
从此	o vaxtdan bəri	O vaxtdan bəri o, hər gün məşq edir.
从而	beləliklə; bununla	O, çox çalışdı və beləliklə imtahandan keçdi.
从前	əvvəllər; bir zamanlar	Əvvəllər burada metro yox idi.
从事	məşğul olmaq	O, təhsil sahəsində işləyir.
粗糙	kobud; nahamar	Bu kağız çox nahamardır.
促进	təşviq etmək; irəlilətmək	İdman sağlamlığı yaxşılaşdırır.
促使	vadar etmək; sövq etmək	Bu hadisə onu planını dəyişməyə vadar etdi.
醋	sirkə	Yeməyə sirkə əlavə olundu.
催	tələsdirmək	Anam məni tez çıxmağa tələsdirdi.
存在	mövcud olmaq	Bu problem hələ də mövcuddur.
措施	tədbir	Məktəb təhlükəsizlik tədbirləri gördü.
答应	razılaşmaq; söz vermək	O, mənə kömək etməyə razılaşdı.
达到	çatmaq; nail olmaq	Onun qiymətləri standarta çatdı.
打工	müvəqqəti işləmək; əlavə iş görmək	O, yay tətilində restoranda müvəqqəti işləyir.
打交道	əlaqədə olmaq; iş görmək	Mən müştərilərlə tez-tez iş görürəm.
打喷嚏	asqırmaq	O, soyuqlayıb və dayanmadan asqırır.
打听	soruşub öyrənmək	Mən qatar biletləri barədə soruşub öyrənmək istəyirəm.
大方	səxavətli	O, pul xərcləməkdə çox səxavətlidir.
大厦	böyük bina	O böyük bina çox hündürdür.
大象	fil	Uşaqlar zooparkda fillərə baxırlar.
大型	iri; böyük miqyaslı	Burada iri ticarət mərkəzi tikiləcək.
呆	qalmaq; donub qalmaq	O, evdə qalıb kitab oxuyur.
代表	nümayəndə; təmsil etmək	Bu çiçək dostluğu təmsil edir.
代替	əvəz etmək; yerinə keçmək	Bu gün iclasda onun yerinə mən iştirak edəcəyəm.
待遇	şərait; maaş	Bu şirkətin iş şəraiti yaxşıdır.
贷款	kredit	Onlar ev krediti üçün müraciət etdilər.
单纯	sadə; saf	Onun fikri çox sadədir.
单调	monoton; darıxdırıcı	Bu iş bir az monotondur.
单独	tək; ayrıca	Mən səninlə ayrıca danışmaq istəyirəm.
单位	vahid; iş yeri	O, dövlət müəssisəsində işləyir.
单元	bölmə; vahid	Biz bu gün üçüncü bölməni öyrənirik.
担任	vəzifə tutmaq; məsul olmaq	O, bu tədbirin məsul şəxsi kimi çalışır.
耽误	gecikdirmək; vaxt almaq	Hamının vaxtını almayın.
胆小鬼	qorxaq	Ona qorxaq demə.
淡	dadsız; zəif	Bu şorbanın dadı bir az zəifdir.
当地	yerli	Yerli adamların hamısı bu bazarı sevir.
当心	ehtiyatlı olmaq	Yol sürüşkəndir, ehtiyatlı ol.
挡	qarşısını kəsmək; mane olmaq	Bu maşın girişin qarşısını kəsib.
倒霉	bəxtsiz; uğursuz	Bu gün doğrudan da bəxtim gətirmədi, telefonumu itirdim.
导演	rejissor	Bu rejissor çox məşhurdur.
导致	səbəb olmaq	Güclü yağış tıxaca səbəb oldu.
岛屿	ada	Bu ölkədə çox ada var.
到达	çatmaq; gəlib çatmaq	Qatar Şanxaya vaxtında çatdı.
道德	əxlaq	İnsan əxlaqlı olmalıdır.
道理	məntiq; əsas	Onun dediklərində çox məntiq var.
登记	qeydiyyatdan keçmək	Zəhmət olmasa, əvvəlcə qəbulda qeydiyyatdan keçin.
等待	gözləmək	Biz nəticəni gözləyirik.
等于	bərabər olmaq	Beş üstəgəl beş ona bərabərdir.
滴	damcı	Stolun üstünə bir damcı su düşdü.
敌人	düşmən	Onlar düşmən deyillər.
的确	həqiqətən	Bu məsələ həqiqətən çox vacibdir.
地道	əsl; təmiz	O, əsl Pekin ləhcəsində danışır.
地理	coğrafiya	Mən Çin coğrafiyası ilə çox maraqlanıram.
地区	bölgə	Bu bölgədə qış çox soyuq olur.
地毯	xalça	Qonaq otağına bir xalça sərilib.
地位	mövqe; yer	Təhsilin cəmiyyətdə mühüm yeri var.
地震	zəlzələ	Dünən gecə burada zəlzələ oldu.
递	uzatmaq	Zəhmət olmasa, bu məktubu müəllimə uzadın.
点心	qəlyanaltı; şirniyyat	Günortadan sonra qəlyanaltı yedik.
电池	batareya	Bu oyuncağa iki batareya lazımdır.
电台	radio stansiyası	O, radio stansiyasında proqram aparır.
钓	balıq tutmaq	Babam çay kənarında balıq tutmağı sevir.
顶	üst; papaq üçün say sözü	O, qara papaq taxıb.
冻	donmaq	Çöldə o qədər soyuqdur ki, su donub.
动画片	cizgi filmi	Uşaqlar cizgi filminə baxırlar.
洞	deşik; mağara	Divarda kiçik bir deşik var.
豆腐	tofu	Bu tofu yeməyi dadlıdır.
逗	güldürmək; sataşmaq	Onun sözləri hamını güldürdü.
独立	müstəqil	O, müstəqil yaşamaq istəyir.
独特	özünəməxsus; unikal	Bu şəhərin özünəməxsus mədəniyyəti var.
度过	keçirmək	Biz tətili dəniz kənarında keçirdik.
断	qırılmaq; kəsilmək	Bu kəndir qırıldı.
堆	yığın; yığmaq	Stolun üstündə çox sənəd yığılıb.
兑换	mübadilə etmək	Mən bir az yuan mübadilə etmək istəyirəm.
对比	müqayisə	Zəhmət olmasa, bu iki planı müqayisə edin.
对待	davranmaq; münasibət göstərmək	Biz hər kəslə ədalətli davranmalıyıq.
对方	qarşı tərəf	Zəhmət olmasa, əvvəl qarşı tərəfin fikrini dinləyin.
对手	rəqib	Onun rəqibi çox güclüdür.
对象	obyekt; tərəfdaş	Tədqiqat obyekti universitet tələbələridir.
吨	ton	Bu yük maşını üç ton yük daşıya bilər.
蹲	çömbəlmək	O, açarlarını axtarmaq üçün yerdə çömbəlib.
顿	dəfə; yemək üçün say sözü	Biz birlikdə axşam yeməyi yedik.
多亏	sayəsində	Sənin köməyin sayəsində tapşırığı bitirdim.
多余	artıq; lazımsız	Bu cümlə artıqdır.
朵	çiçək üçün say sözü	Stolun üstündə bir çiçək var.
躲藏	gizlənmək	Pişik balası çarpayının altında gizlənib.
恶劣	çox pis	Bu gün hava çox pisdir.
耳环	sırğa	O, bir cüt sırğa taxıb.
发表	bildirmək; dərc etmək	O, iclasda öz fikrini bildirdi.
发愁	narahat olmaq	Bu kiçik məsələ üçün narahat olma.
发达	inkişaf etmiş	Bu şəhərdə nəqliyyat yaxşı inkişaf edib.
发抖	titrəmək	O, soyuqdan titrəyir.
发挥	istifadə etmək; ortaya qoymaq	Zəhmət olmasa, təsəvvürünüzdən istifadə edin.
发明	ixtira	Elektrik lampası mühüm ixtiradır.
发票	qaimə; faktura	Zəhmət olmasa, mənə faktura verin.
发言	çıxış etmək	O, iclasda çıxış etdi.
罚款	cərimə	Qanunsuz parklanmaya görə cərimə yazılır.
法院	məhkəmə	Bu iş məhkəməyə verildi.
翻	çevirmək; vərəqləmək	Zəhmət olmasa, kitabı onuncu səhifəyə çevirin.
繁荣	çiçəklənən; inkişaf edən	İqtisadiyyat tədricən çiçəklənir.
反而	əksinə	O, hirslənmədi, əksinə güldü.
反复	təkrar-təkrar	Bu cümləni təkrar-təkrar məşq etmək lazımdır.
反应	reaksiya	Onun reaksiyası sürətlidir.
反映	əks etdirmək	Bu hesabat real vəziyyəti əks etdirir.
反正	hər halda	Hər halda sabah vaxtım var.
范围	çərçivə; əhatə dairəsi	Zəhmət olmasa, bu çərçivədən kənara çıxmayın.
方	kvadrat	Zəhmət olmasa, kağızda bir kvadrat çəkin.
方案	plan; layihə	Bu plan kifayət qədər məntiqlidir.
方式	üsul	Bu öyrənmə üsulu çox təsirlidir.
妨碍	mane olmaq	Zəhmət olmasa, başqalarının işinə mane olmayın.
仿佛	elə bil	O, elə bil hər şeyi bilir.
非	mütləq; onsuz olmaz	Bu iş sənsiz olmaz.
肥皂	sabun	Əl yuyanda sabundan istifadə etmək lazımdır.
废话	boş söz	Boş sözləri azaldın və tez başlayın.
分别	ayrılmaq; fərqləndirmək	Onlar vağzalda ayrıldılar.
分布	yayılmaq; paylanmaq	Bu mağazalar şəhərin hər yerinə yayılıb.
分配	bölüşdürmək; təyin etmək	Müəllim yeni tapşırıq verdi.
分手	ayrılmaq	Onlar keçən il ayrıldılar.
分析	təhlil etmək	Biz səbəbləri təhlil etməliyik.
纷纷	bir-bir; ard-arda	Hamı ard-arda razılığını bildirdi.
奋斗	çalışmaq; mübarizə aparmaq	Gənclər arzuları üçün çalışmalıdırlar.
疯狂	dəlicəsinə	Azarkeşlər dəlicəsinə alqışladılar.
风格	üslub	Bu restoranın üslubu çox fərqlidir.
风景	mənzərə	Dağdakı mənzərə çox gözəldir.
风俗	adət-ənənə	Hər yerin öz adət-ənənəsi var.
风险	risk; təhlükə	İnvestisiyada müəyyən risk var.
讽刺	satirik tənqid etmək; kinayə etmək	Bu məqalə sosial problemləri satirik tənqid etdi.
否定	inkar etmək	O, bu iddianı inkar etdi.
否认	inkar etmək	O, səhv etdiyini inkar etdi.
幅	tablo üçün say sözü	Divarda bir rəsm asılıb.
扶	qolundan tutmaq; kömək etmək	Zəhmət olmasa, yaşlı adama yolu keçməkdə kömək edin.
服装	geyim	Bu mağaza uşaq geyimləri satır.
辅导	repetitorluq etmək; dərsdən sonra kömək etmək	Müəllim dərsdən sonra şagirdlərə kömək edir.
复制	kopyalamaq	Zəhmət olmasa, bu sənədi kopyalayın.
妇女	qadınlar	Bu xəstəxana qadınlara xidmət göstərir.
改革	islahat	Məktəb təhsil islahatı aparır.
改进	yaxşılaşdırmaq	Biz xidmət keyfiyyətini yaxşılaşdırmalıyıq.
改善	yaxşılaşdırmaq	İdman yuxunu yaxşılaşdıra bilər.
改正	düzəltmək	Zəhmət olmasa, səhvləri vaxtında düzəldin.
概括	xülasə etmək	Zəhmət olmasa, məqalənin məzmununu qısaca xülasə edin.
概念	anlayış	Bu anlayışı başa düşmək o qədər də asan deyil.
盖	örtmək; qapaq	Zəhmət olmasa, stəkanın üstünü yaxşı örtün.
干脆	yaxşısı budur; açıq şəkildə	Yaxşısı budur, bu gün getmə.
干燥	quru	Şimalda qış çox quru olur.
感激	minnətdar olmaq	Sənin köməyinə görə çox minnətdaram.
感受	hiss; hiss etmək	Mən sənin hisslərini başa düşə bilirəm.
感想	təəssürat; fikir	Zəhmət olmasa, öz təəssüratların barədə danış.
赶紧	tələsmək	Vaxt gecikir, tez gedək.
赶快	tez; dərhal	Qapını tez bağla.
干活儿	işləmək; əl işi görmək	O, həyətdə işləyir.
钢铁	polad	Bu körpü poladdan hazırlanıb.
高档	yüksək səviyyəli; lüks	Bu, yüksək səviyyəli oteldir.
高级	yüksək səviyyəli; qabaqcıl	O, yüksək səviyyəli Çin dili sinfinə qoşuldu.
搞	təşkil etmək; etmək	Sən nə cür tədbir təşkil edirsən?
告别	vidalaşmaq	Biz hava limanında dostumuzla vidalaşdıq.
格外	xüsusilə	Bu gün səma xüsusilə mavidir.
隔壁	qonşu; yan otaq	Qonşuda bir müəllim yaşayır.
个别	ayrı-ayrı; bəzi	Bəzi tələbələr hələ ev tapşırığını təhvil verməyib.
个人	şəxsi	Bu mənim şəxsi fikrimdir.
个性	şəxsiyyət; özünəməxsusluq	Onun güclü özünəməxsusluğu var.
各自	hər kəs öz	Hər kəs öz tapşırığını yerinə yetirir.
根	kök; uzun şeylər üçün say sözü	Stolun altında bir tel var.
根本	ümumiyyətlə; əsas	Bu problem ümumiyyətlə çətin deyil.
公布	elan etmək	Məktəb imtahan nəticələrini elan etdi.
公开	açıq; ictimai	Bu iclas açıqdır.
公平	ədalətli	Yarış ədalətli olmalıdır.
公寓	mənzil	O, kiçik bir mənzil kirayələdi.
公元	miladi	Bu il miladi 2026-cı ildir.
公主	şahzadə	Qızcığaz şahzadə hekayələrini sevir.
功能	funksiya	Bu proqramın çox funksiyası var.
工厂	zavod	Bu zavod avtomobil istehsal edir.
工程师	mühəndis	Böyük qardaşım mühəndisdir.
工具	alət	Velosipedi təmir etmək üçün alət lazımdır.
工人	fəhlə	Fəhlələr yolu təmir edirlər.
工业	sənaye	Bu şəhər əsasən sənayeyə söykənir.
恭喜	təbrik etmək	İmtahandan keçməyin münasibətilə səni təbrik edirəm.
贡献	töhfə vermək	O, şirkətə töhfə verdi.
沟通	ünsiyyət; ünsiyyət qurmaq	Yaxşı ünsiyyət çox vacibdir.
构成	təşkil etmək	Bu hissələr bir bütöv təşkil edir.
姑姑	ata tərəfdən bibi	Həftəsonu bibimi görməyə gedəcəyəm.
姑娘	qız; gənc qadın	O qız çox mehribandır.
古代	qədim dövr	Qədim dövrdə mobil telefon yox idi.
古典	klassik	Mən klassik musiqini sevirəm.
股票	səhm	O, bir neçə səhm aldı.
骨头	sümük	Bu sümük çox bərkdir.
鼓舞	ruhlandırmaq	Bu xəbər çox ruhlandırıcıdır.
鼓掌	alqışlamaq	Tamaşaçılar aktyorları alqışladılar.
固定	sabit; müəyyən	Mənim sabit iş vaxtım var.
挂号	qeydiyyatdan keçmək; növbə götürmək	Həkimə görünməzdən əvvəl qeydiyyatdan keçmək lazımdır.
乖	sözəbaxan	Bu uşaq çox sözəbaxandır.
拐弯	dönmək	Qarşıdakı yolayrıcında sağa dönün.
怪不得	ona görə imiş	Ona görə bu qədər yorulmusan.
关闭	bağlamaq; söndürmək	Getməzdən əvvəl kompüteri söndürün.
官	məmur	O, gənc məmurdur.
观察	müşahidə etmək	Həkim xəstənin vəziyyətini müşahidə edir.
观点	baxış; nöqteyi-nəzər	Mən sənin baxışınla razıyam.
观念	anlayış; düşüncə	Gənclərin düşüncələri dəyişir.
管子	boru	Bu borudan su axır.
冠军	çempion	O, yarışda çempion oldu.
光滑	hamar	Bu stolun səthi çox hamardır.
光临	təşrif buyurmaq	Növbəti dəfə də təşrif buyurmağınızı gözləyirik.
光明	parlaq	Gələcək parlaqdır.
光盘	disk	Zəhmət olmasa, materialları diskə yazın.
广场	meydan	Meydanda çox adam var.
广大	geniş; çoxsaylı	Bu xəbər çoxsaylı tələbələr tərəfindən müsbət qarşılandı.
广泛	geniş	Bu kitabın təsiri genişdir.
归纳	ümumiləşdirmək; yekunlaşdırmaq	Müəllim əsas məqamları ümumiləşdirməyimizə kömək etdi.
规矩	qayda	Uşaqlar qaydaları başa düşməlidirlər.
规律	qanunauyğunluq; nizam	Həyatda nizam olmalıdır.
规模	miqyas	Bu şirkətin miqyası böyükdür.
规则	qayda	Yarış qaydaları çox aydındır.
柜台	kassa; piştaxta	Zəhmət olmasa, kassada ödəniş edin.
滚	qaynamaq; diyirlənmək	Su artıq qaynayıb.
锅	qazan; tava	Qazanda isti şorba var.
国庆节	Milli bayram	Milli bayramda biz istirahət edirik.
国王	kral	Kral sarayda yaşayır.
果然	gözlənildiyi kimi	Gözlənildiyi kimi, o vaxtında gəldi.
果实	meyvə; nəticə	Ağac meyvələrlə doludur.
过分	həddindən artıq	Onun tələbi bir az həddindən artıqdır.
过敏	allergiya	Mənim çiçək tozuna allergiyam var.
过期	müddəti bitmək	Bu südün müddəti artıq bitib.
哈	ha; gülüş	Ha, nəhayət başa düşdüm.
海关	gömrük	Biz gömrükdə yoxlama üçün növbəyə durduq.
海鲜	dəniz məhsulları	Bu restoranın dəniz məhsulları çox təzədir.
喊	qışqırmaq	Sinifdə yüksək səslə qışqırma.
行业	sahə; sektor	Turizm sahəsi sürətlə inkişaf edir.
豪华	dəbdəbəli	Onlar dəbdəbəli oteldə qalırlar.
好客	qonaqpərvər	Yerli adamlar çox qonaqpərvərdir.
好奇	maraqlı; maraqlanan	Uşaqlar dünyaya çox maraq göstərirlər.
何必	nə ehtiyac var	Kiçik bir şeyə görə hirslənməyə nə ehtiyac var?
何况	üstəlik	Bu gün soyuqdur, üstəlik yağış yağır.
合法	qanuni	Bu müqavilə qanunidir.
合理	ağlabatan; məntiqli	Bu qiymət ağlabatandır.
合同	müqavilə	Onlar bir müqavilə imzaladılar.
合影	qrup şəkli	Məzuniyyətdə qrup şəkli çəkdirdik.
合作	əməkdaşlıq etmək	Biz layihəni əməkdaşlıq edərək tamamladıq.
和平	sülh	Hər kəs sülh istəyir.
核心	əsas; nüvə	Etibar əməkdaşlığın əsasını təşkil edir.
恨	peşman olmaq; nifrət etmək	O, daha əvvəl çalışmadığına peşmandır.
猴子	meymun	Zooparkda bir neçə meymun var.
后背	arxa; bel	Onun beli bir az ağrıyır.
后果	nəticə; fəsad	Sən nəticələri nəzərə almalısan.
呼吸	nəfəs almaq	Zəhmət olmasa, dərindən nəfəs al.
忽然	qəfil; birdən	Göy birdən qaraldı.
忽视	görməzdən gəlmək; laqeyd yanaşmaq	Bu problemi görməzdən gəlmə.
壶	çaydan; su qabı	Stolun üstündə bir çaydan çay var.
糊涂	çaşqın; qarışıq	Bu gün bir az çaşqınam.
胡说	boş-boş danışmaq	Boş-boş danışma, bu doğru deyil.
胡同	hutun; dar küçə	Pekində çoxlu köhnə hutun var.
蝴蝶	kəpənək	Bağda bir kəpənək var.
花生	fıstıq; yerfıstığı	O, yerfıstığı yeməyi sevir.
华裔	Çin əsilli	O, Çin əsilli yazıçıdır.
滑	sürüşkən; hamar	Döşəmə sürüşkəndir, ehtiyatlı ol.
