source_headword	HI	example_HI
bid	बोली	कंपनी ने ऊंची बोली लगाई।
biological	जैविक	जैविक परीक्षण ने परिणाम की पुष्टि की।
blanket	कंबल	बच्चा कंबल के नीचे सो गया।
blow	प्रहार	जोरदार प्रहार ने खिड़की तोड़ दी।
bold	साहसिक	शीर्षक में मोटे अक्षरों का इस्तेमाल किया गया था।
bombing	बमबारी	बमबारी से कई इमारतों को नुकसान पहुंचा।
booking	बुकिंग	मैंने होटल की बुकिंग पक्की कर दी।
boost	बढ़ाना	जीत ने टीम का आत्मविश्वास बढ़ाया।
bound	बाध्य	पार्सल डोरी से बंधा हुआ था।
brick	ईंट	दीवार ईंट की बनी है।
briefly	संक्षेप में	उसने दोपहर के भोजन के बाद संक्षेप में बात की।
broadcaster	प्रसारक	प्रसारक ने मेयर का साक्षात्कार लिया।
broadly	व्यापक रूप से	दोनों योजनाएं मोटे तौर पर समान हैं।
bug	बग	एक खराबी के कारण ऐप क्रैश हो गया।
cabin	केबिन	हम एक छोटे केबिन में रुके।
canal	नहर	नहर में नावें धीरे-धीरे चल रही थीं।
candle	मोमबत्ती	मेज पर मोमबत्ती जल रही थी।
carbon	कार्बन	पेड़ हवा से कार्बन सोखते हैं।
casual	अनौपचारिक	उसने काम पर अनौपचारिक कपड़े पहने थे।
cave	गुफा	पैदल यात्री गुफा में दाखिल हुए।
certainty	निश्चितता	हम निश्चितता के साथ नहीं जान सकते।
certificate	प्रमाणपत्र	उसे एक प्रशिक्षण प्रमाणपत्र मिला।
challenging	चुनौतीपूर्ण	पाठ्यक्रम चुनौतीपूर्ण लेकिन उपयोगी था।
championship	चैम्पियनशिप	हमारी टीम चैंपियनशिप के फाइनल में पहुंच गई।
charming	आकर्षक	पुरानी सड़क आकर्षक लग रही थी।
chase	पीछा करना	कुत्ते ने गेंद का पीछा किया।
cheek	गाल	उसके गाल पर एक आंसू बह निकला।
cheer	जयकार करना	भीड़ जोर-जोर से जयकार करने लगी।
choir	गायक मंडली	गायक मंडली ने बहुत ही खूबसूरती से गाया।
chop	काटना	प्याज को छोटे टुकड़ों में काट लें।
circuit	सर्किट	धावक ने चक्कर पूरा किया।
civilization	सभ्यता	प्राचीन सभ्यता ने इस क्षेत्र को आकार दिया।
clarify	स्पष्ट करना	कृपया आखिरी बिंदु स्पष्ट करें।
classify	वर्गीकृत करना	वैज्ञानिक जानवरों को उनकी प्रजातियों के अनुसार वर्गीकृत करते हैं।
clerk	क्लर्क	क्लर्क ने रसीद छापी।
cliff	चट्टान	रास्ता एक चट्टान के पास खत्म होता है।
clinic	क्लिनिक	क्लिनिक आठ बजे खुलता है।
clip	क्लिप	उसने कागज पर क्लिप लगा दी।
coincidence	संयोग	वहां उससे मिलना एक संयोग था।
collector	संग्राहक	संग्राहक ने दुर्लभ सिक्के खरीदे।
colony	उपनिवेश	चींटियों ने एक बड़ी कॉलोनी बनाई।
colourful	रंगीन	बाजार उज्ज्वल और रंगीन था।
comic	कॉमिक	हास्य दृश्य ने हमें हंसाया।
commander	कमांडर	कमांडर ने स्पष्ट आदेश दिए।
comparative	तुलनात्मक	निबंध तुलनात्मक डेटा का उपयोग करता है।
completion	समापन	पुल पूरा होने के करीब है।
compose	रचना करना	वह फिल्म के लिए संगीत की रचना करेगा।
composer	संगीतकार	संगीतकार ने एक नया गीत लिखा।
compound	यौगिक	यौगिक में दो रसायन होते हैं।
comprehensive	व्यापक	गाइड व्यापक निर्देश देती है।
comprise	समाविष्ट करना	टीम में पांच सदस्य शामिल हैं।
compulsory	अनिवार्य	इस कक्षा के लिए उपस्थिति अनिवार्य है।
concrete	ठोस	फर्श कंक्रीट से बना है।
confess	कबूल करना	उसने अपने शिक्षक के सामने गलती कबूल कर ली।
confusion	भ्रम	देरी के कारण भ्रम पैदा हुआ।
consequently	फलस्वरूप	बारिश हुई; परिणामस्वरूप, मैच रुक गया।
conservation	संरक्षण	संरक्षण दुर्लभ जानवरों को बचाता है।
considerable	काफ़ी	मरम्मत में काफी समय लगा।
considerably	काफ़ी हद तक	इस साल कीमतों में काफी हद तक वृद्धि हुई।
consistently	लगातार	वह लगातार अच्छा प्रदर्शन करती है।
conspiracy	षड्यंत्र	पुलिस ने साजिश की जांच की।
consult	परामर्श करना	दवा लेने से पहले अपने डॉक्टर से सलाह लें।
consultant	सलाहकार	सलाहकार ने एक नई रणनीति का सुझाव दिया।
consumption	खपत	पिछले महीने ऊर्जा की खपत गिर गई।
controversial	विवादास्पद	नीति विवादास्पद बनी हुई है।
controversy	विवाद	फैसले से विवाद पैदा हो गया।
convenience	सुविधा	स्टोर बहुत सुविधा प्रदान करता है।
convention	सम्मेलन	वार्षिक सम्मेलन सोमवार को शुरू होता है।
conventional	पारंपरिक	उसने एक पारंपरिक डिजाइन चुना।
convey	व्यक्त करना	संदेश ने सहानुभूति व्यक्त की।
convincing	विश्वसनीय	उसका स्पष्टीकरण ठोस था।
cope	सामना करना	उसने तनाव का सामना करना सीख लिया।
corporation	निगम	निगम ने एक नया कार्यालय खोला।
corridor	गलियारा	गलियारा संकरा और शांत था।
counter (long flat surface)	काउंटर	चाबियां रसोई के काउंटर पर हैं।
coverage	कवरेज	समाचार कवरेज पूरी शाम तक चला।
crack	दरार	दीवार में एक दरार दिखाई दी।
craft	शिल्प	वह ऑनलाइन हस्तनिर्मित शिल्प बेचती है।
creativity	रचनात्मकता	रचनात्मकता समस्याओं को हल करने में मदद करती है।
critically	गंभीर रूप से	लेख अत्यंत महत्वपूर्ण था।
cruise	क्रूज़	उन्होंने ग्रीस के लिए एक क्रूज़ बुक किया।
cue	संकेत	अभिनेता अपने संकेत से चूक गया।
curious	अजीब	बच्चा अंतरिक्ष के बारे में उत्सुक था।
curriculum	पाठ्यक्रम	स्कूल ने अपने पाठ्यक्रम को अपडेट किया।
cute	प्यारा	पिल्ला प्यारा लग रहा था।
dairy	डेयरी	खेत डेयरी उत्पादों का उत्पादन करता है।
dare	हिम्मत करना	मैं तुम्हें इसे आजमाने की चुनौती देता हूं।
darkness	अंधकार	कमरा अंधेरे से भर गया।
database	डेटाबेस	डेटाबेस ग्राहक रिकॉर्ड संग्रहीत करता है।
deadline	समय सीमा	समय सीमा शुक्रवार है।
deadly	घातक	साँप में घातक जहर होता है।
dealer	व्यापारी	कार डीलर ने छूट की पेशकश की।
deck	डेक	कुर्सियाँ डेक पर हैं।
defender	रक्षक	रक्षक ने शॉट को रोक दिया।
delete	हटाना	पुराने संदेश को हटा दें।
democracy	लोकतंत्र	लोकतंत्र स्वतंत्र चुनावों पर निर्भर करता है।
democratic	लोकतांत्रिक	मतदान ने लोकतांत्रिक नियमों का पालन किया।
demonstration	प्रदर्शन	छात्र एक प्रदर्शन में शामिल हुए।
depart	प्रस्थान करना	ट्रेन दोपहर में प्रस्थान करेगी।
dependent	निर्भर	बच्चा वयस्कों पर आश्रित है।
deposit	जमा	उसने अपार्टमेंट के लिए जमा राशि का भुगतान किया।
depression	अवसाद	अवसाद के लिए पेशेवर समर्थन की आवश्यकता होती है।
derive	प्राप्त करना	कई शब्द लैटिन से उत्पन्न हुए हैं।
desperately	सख्त	उसे पानी की सख्त जरूरत थी।
destruction	विनाश	तूफान ने व्यापक विनाश किया।
determination	दृढ़ निश्चय	उसके दृढ़ संकल्प ने कोच को प्रभावित किया।
devote	समर्पित करना	वह सप्ताहांत अध्ययन के लिए समर्पित करती है।
differ	भिन्न होना	उनके विचार बहुत भिन्न हैं।
disability	विकलांगता	इमारत में विकलांगता पहुंच है।
disabled	अक्षम	दिव्यांग एथलीट ने पदक जीता।
disagreement	असहमति	बैठक असहमति में समाप्त हुई।
disappoint	निराश करना	परिणाम प्रशंसकों को निराश कर सकता है।
disappointment	निराशा	उसे गहरी निराशा महसूस हुई।
discourage	हतोत्साहित करना	युवा शिक्षार्थियों को हतोत्साहित न करें।
disorder	विकार	डॉक्टर ने नींद के विकार का निदान किया।
distant	दूर	पहाड़ दूर दिख रहे थे।
distinct	स्पष्ट	दोनों ध्वनियाँ अलग हैं।
distinguish	अंतर करना	क्या आप इन रंगों में अंतर कर सकते हैं?
distract	ध्यान भटकाना	शोर छात्रों का ध्यान भटका सकता है।
disturb	परेशान करना	कृपया मरीज को परेशान न करें।
dive	गोता	वे चट्टान के पास गोता लगाएंगे।
diverse	विविध	शहर में विविध संस्कृतियाँ हैं।
diversity	विविधता	हम सांस्कृतिक विविधता का जश्न मनाते हैं।
divorce	तलाक	तलाक सभी के लिए मुश्किल था।
dominant	प्रमुख	प्रमुख टीम ने खेल को नियंत्रित किया।
donation	दान	चैरिटी को एक दान मिला।
dot	बिंदु	संख्या के बाद एक बिंदु लगाएं।
downtown	शहर का केंद्र	हम काम के बाद डाउनटाउन में मिले।
dramatically	नाटकीय रूप से	कीमत में नाटकीय रूप से गिरावट आई।
drought	सूखा	सूखे ने फसलों को नुकसान पहुँचाया।
dull	नीरस	व्याख्यान उबाऊ था।
dump	फेंकना	यहाँ कचरा न फेंकें।
duration	अवधि	उड़ान की अवधि तीन घंटे है।
dynamic	गतिशील	कक्षा गतिशील महसूस हुई।
economics	अर्थशास्त्र	वह विश्वविद्यालय में अर्थशास्त्र पढ़ती है।
economist	अर्थशास्त्री	अर्थशास्त्री ने धीमी वृद्धि की भविष्यवाणी की।
editorial	संपादकीय	संपादकीय में कानून की आलोचना की गई।
efficiently	कुशलतापूर्वक	टीम ने कुशलता से काम किया।
elbow	कोहनी	उसने अपनी कोहनी में चोट लगा ली।
electronics	इलेक्ट्रॉनिक्स	दुकान में इलेक्ट्रॉनिक्स बिकते हैं।
elegant	सुंदर	ड्रेस आकर्षक लग रही थी।
elementary	प्राथमिक	यह पुस्तक प्राथमिक व्याकरण समझाती है।
eliminate	खत्म करना	टीम ने कई गलतियों को दूर किया।
embrace	अपनाना	उसने नए विचार को अपनाया।
emission	उत्सर्जन	कार उत्सर्जन का स्तर गिर गया।
emotionally	भावनात्मक रूप से	उसने अपने परिवार के बारे में भावुक होकर बात की।
empire	साम्राज्य	साम्राज्य सदियों तक चला।
enjoyable	सुखद	यात्रा आनंददायक थी।
entertaining	मनोरंजक	शो मनोरंजक था।
entrepreneur	उद्यमी	उद्यमी ने एक कैफे खोला।
envelope	लिफाफा	पत्र को लिफाफे में रखें।
equip	सुसज्जित करना	स्कूल प्रयोगशाला को सुसज्जित करेगा।
equivalent	समकक्ष	एक डॉलर यहाँ समतुल्य नहीं है।
era	युग	खोज ने एक नए युग की शुरुआत की।
erupt	फूटना	ज्वालामुखी जल्द ही फट सकता है।
essentially	मूल रूप से	दोनों तरीके मूल रूप से समान हैं।
ethic	नैतिकता	उनकी कार्य नैतिकता मजबूत है।
ethnic	जातीय	यह त्योहार जातीय परंपराओं का जश्न मनाता है।
evaluation	मूल्यांकन	पाठ्यक्रम में एक अंतिम मूल्यांकन शामिल है।
evident	स्पष्ट	उसकी घबराहट स्पष्ट थी।
evolution	विकास	विकास कई जैविक परिवर्तनों की व्याख्या करता है।
evolve	विकसित करना	भाषाएँ समय के साथ विकसित होती हैं।
exceed	पार करना	मांग आपूर्ति से अधिक हो सकती है।
exception	अपवाद	एक अपवाद है।
excessive	अत्यधिक	अत्यधिक शोर पड़ोसियों को परेशान करता है।
exclude	बाहर करना	सूची में अस्थायी कर्मचारियों को शामिल नहीं किया गया है।
exhibit	प्रदर्शनी	संग्रहालय दुर्लभ तस्वीरें प्रदर्शित करेगा।
exit	निकास	निकास मंच के पीछे है।
exotic	अनोखा	दुकान विदेशी फल बेचती है।
expansion	विस्तार	कंपनी ने विस्तार की योजना बनाई।
expertise	विशेषज्ञता	उसकी विशेषज्ञता ने परियोजना में सुधार किया।
exploit	शोषण करना	अपराधी कमजोर पासवर्ड का फायदा उठाते हैं।
exposure	जोखिम	धूप के संपर्क में आने से त्वचा को नुकसान हो सकता है।
extension	विस्तार	समय सीमा के विस्तार ने सभी की मदद की।
extensive	व्यापक	पुस्तकालय में व्यापक संसाधन हैं।
extensively	व्यापक रूप से	विषय का विस्तार से अध्ययन किया गया।
extract	अंश	वैनिला अर्क स्वाद देता है।
fabric	कपड़ा	कपड़ा मुलायम लगता है।
fabulous	शानदार	भोजन शानदार था।
failed	विफल	असफल प्रयास ने हमें कुछ सिखाया।
fake	नकली	वेबसाइट ने नकली टिकट बेचे।
fame	प्रसिद्धि	प्रसिद्धि ने उनके निजी जीवन को बदल दिया।
fantasy	कल्पना	यह उपन्यास एक फंतासी है।
fare	किराया	बस का किराया बढ़ गया।
federal	संघीय	संघीय सरकार ने वित्तपोषण की घोषणा की।
fever	बुखार	बच्चे को बुखार है।
firefighter	दमकलकर्मी	दमकलकर्मी ने कुत्ते को बचाया।
firework	आतिशबाजी	पार्क के ऊपर एक पटाखा फूटा।
firm	दृढ़	गद्दा ठोस है।
firmly	दृढ़ता से	उसने दृढ़ता से दरवाज़ा बंद किया।
flavour	स्वाद	सूप का स्वाद बहुत बढ़िया है।
fond	प्रिय	वह जैज़ का शौकीन है।
fool	मूर्ख	मूर्ख की तरह व्यवहार न करें।
forbid	मना करना	कानून यहाँ धूम्रपान करने से मना करता है।
forecast	पूर्वानुमान	पूर्वानुमान बारिश की भविष्यवाणी करता है।
format	प्रारूप	सही फ़ाइल प्रारूप का उपयोग करें।
formation	गठन	बादलों का निर्माण तेज़ी से बदलता है।
formerly	पहले	यह इमारत पहले एक स्कूल थी।
fortunate	भाग्यशाली	हम भाग्यशाली थे कि जल्दी पहुँच गए।
forum	मंच	मंच ने जलवायु नीति पर चर्चा की।
fossil	जीवाश्म	जीवाश्म पत्थर में पाया गया था।
foundation	नींव	घर की नींव मज़बूत है।
founder	संस्थापक	संस्थापक ने मेहमानों का स्वागत किया।
fraction	अंश	छात्रों का केवल एक अंश आया।
fragment	टुकड़ा	फर्श पर कांच का एक टुकड़ा पड़ा था।
framework	ढांचा	कानून एक स्पष्ट ढांचा बनाता है।
fraud	धोखाधड़ी	बैंक ने धोखाधड़ी का पता लगाया।
freely	स्वतंत्र रूप से	बच्चे बाहर स्वतंत्र रूप से खेले।
frequent	लगातार	बार-बार ब्रेक लेने से ध्यान केंद्रित करने में मदद मिलती है।
fulfil	पूरा करना	मुझे अपना वादा पूरा करने की उम्मीद है।
full-time	पूर्णकालिक	उसके पास एक पूर्णकालिक नौकरी है।
fundamentally	मौलिक रूप से	यह योजना मौलिक रूप से भिन्न है।
furious	क्रुद्ध	वह देरी को लेकर आगबबूला था।
gaming	गेमिंग	गेमिंग प्रतिक्रिया की गति में सुधार कर सकती है।
gay	समलैंगिक	वह समलैंगिक अधिकारों का समर्थन करता है।
gender	लिंग	सर्वेक्षण में लिंग के बारे में पूछा गया।
gene	जीन	जीन आँखों के रंग को प्रभावित करता है।
genetic	आनुवंशिक	इस बीमारी के आनुवंशिक कारण हैं।
genius	प्रतिभाशाली	युवा पियानोवादक एक प्रतिभाशाली है।
genuine	असली	उसकी मुस्कान असली लग रही थी।
genuinely	वास्तव में	वह सचमुच मदद करना चाहता था।
gesture	इशारा	उसने एक दोस्ताना इशारा किया।
gig	गिग	बैंड ने शहर में एक संगीत कार्यक्रम बजाया।
globalization	वैश्वीकरण	वैश्वीकरण स्थानीय व्यवसायों को प्रभावित करता है।
globe	ग्लोब	ग्लोब हर महाद्वीप को दर्शाता है।
golden	सुनहरा	सूर्यास्त सुनहरा हो गया।
goodness	अच्छाई	वह इंसान की अच्छाई में विश्वास करती है।
gorgeous	भव्य	बगीचा बहुत भव्य लग रहा था।
governor	राज्यपाल	राज्यपाल ने विधेयक पर हस्ताक्षर किए।
graphic	ग्राफिक	ग्राफिक छवि ने दर्शकों को चौंका दिया।
graphics	ग्राफिक्स	गेम में साधारण ग्राफिक्स हैं।
greatly	बहुत अधिक	आपकी सलाह से बहुत मदद मिली।
greenhouse	ग्रीनहाउस	टमाटर ग्रीनहाउस के अंदर उगते हैं।
grocery	किराना	उसने काम के बाद किराने का सामान खरीदा।
guideline	दिशानिर्देश	दिशा-निर्देश सुरक्षित अभ्यास की व्याख्या करता है।
habitat	आवास	जंगल पक्षियों का एक आवास है।
harbour	बंदरगाह	नाव बंदरगाह में दाखिल हुई।
headquarters	मुख्यालय	कंपनी का मुख्यालय शहर में चला गया।
