source_headword	KA	example_KA
move	მოძრაობა; გადატანა	სკამი აქ გადმოიტანეთ.
movie	ფილმი	დღეს საღამოს ფილმს ვუყურებთ.
much	რამდენი	ეს რამდენი ღირს?
mum	დედა	დედა სახლშია.
museum	მუზეუმი	მუზეუმი ათ საათზე იხსნება.
music	მუსიკა	მუსიკას ვუსმენ.
must modal	უნდა	აქ უნდა გაჩერდეთ.
my	ჩემი	ეს ჩემი წიგნია.
name	სახელი	თქვენი სახელი აქ დაწერეთ.
natural	ბუნებრივი	ეს წვენი ბუნებრივია.
near	ახლოს	ბანკი აქ ახლოსაა.
need	სჭირდება; საჭიროება	კალამი მჭირდება.
negative	უარყოფითი	ეს პასუხი უარყოფითია.
neighbour	მეზობელი	ჩემი მეზობელი მეგობრულია.
never	არასოდეს	ყავას არასოდეს ვსვამ.
new	ახალი	ეს ტელეფონი ახალია.
news	ახალი ამბავი	დღევანდელი ამბავი კარგია.
newspaper	გაზეთი	ის გაზეთს კითხულობს.
next	შემდეგი	შემდეგი ავტობუსი აგვიანებს.
next to	გვერდით	ჩემ გვერდით დაჯექით.
nice	კარგი; სასიამოვნო	ოთახი კარგია.
night	ღამე	ღამით მძინავს.
nine	ცხრა	აქ ცხრა სტუდენტია.
nineteen	ცხრამეტი	ის ცხრამეტი წლისაა.
ninety	ოთხმოცდაათი	ბაბუა ოთხმოცდაათი წლისაა.
no	არა	არა, გმადლობთ.
no one	არავინ	ოთახში არავინ არის.
nobody	არავინ	სახლში არავინ არის.
north	ჩრდილოეთი	სადგური აქედან ჩრდილოეთითაა.
nose	ცხვირი	ცხვირი გამიცივდა.
not	არ	დაღლილი არ ვარ.
note	შენიშვნა	ახლა შენიშვნა დაწერეთ.
nothing	არაფერი	ყუთში არაფერია.
November	ნოემბერი	ჩემი კურსი ნოემბერში იწყება.
now	ახლა	ახლა აქ მოდით.
number	ნომერი; რიცხვი	ნომერი აქ დაწერეთ.
nurse	მედდა	მედდა კეთილია.
object	საგანი	საგანი მაგიდაზე დადეთ.
o’clock	საათი	გაკვეთილი ცხრა საათზე იწყება.
October	ოქტომბერი	ოქტომბერში ვმოგზაურობთ.
of	-ის	ეს ჩაის ჭიქაა.
off	გამორთული; შორს	შუქი გამორთეთ.
office	ოფისი	ჩემი ოფისი პატარაა.
often	ხშირად	სკოლაში ხშირად ფეხით მივდივარ.
oh	ოჰ	ოჰ, ახლა გავიგე.
OK	კარგი	ეს კარგია?
old	ძველი; ხნიერი	ეს სახლი ძველია.
on	ზე	წიგნი მაგიდაზეა.
once	ერთხელ	კვირაში ერთხელ ვრეკავ.
one	ერთი	ერთი და მყავს.
onion	ხახვი	ერთი ხახვი დაჭერით.
online	ონლაინ	ონლაინ ვსწავლობ.
only	მხოლოდ	მხოლოდ ერთი ჩანთა მაქვს.
open	გახსნა; ღია	გთხოვთ, ფანჯარა გააღეთ.
opinion	აზრი	თქვენი აზრი რა არის?
opposite	მოპირდაპირედ	მაღაზია ბანკის მოპირდაპირედაა.
or	ან	ჩაი თუ ყავა?
orange	ფორთოხალი; ნარინჯისფერი	ეს ფორთოხალი ტკბილია.
order	შეკვეთა; წესრიგი	სუპს ვუკვეთავ.
other	სხვა	სხვა კარი გამოიყენეთ.
our	ჩვენი	ეს ჩვენი საკლასო ოთახია.
out	გარეთ	ლანჩის შემდეგ გარეთ გადით.
outside	გარეთ	ბავშვები გარეთ თამაშობენ.
over	ზემოთ; გადაღმა	თვითმფრინავი ქალაქის ზემოთ მიფრინავს.
own	საკუთარი	ჩემი საკუთარი ოთახი მაქვს.
page	გვერდი	მეათე გვერდი გახსენით.
paint	შეღებვა	კედელი ლურჯად შეღებეთ.
painting	ნახატი	ეს ნახატი ლამაზია.
pair	წყვილი	ერთი წყვილი წინდა მჭირდება.
paper	ქაღალდი	ამ ქაღალდზე დაწერეთ.
paragraph	აბზაცი	პირველი აბზაცი წაიკითხეთ.
parent	მშობელი	მშობელი გარეთ ელოდება.
park	პარკი; გაჩერება	მანქანას სადგურთან ვაჩერებთ.
part	ნაწილი	ეს ნაწილი მარტივია.
partner	პარტნიორი	პარტნიორთან იმუშავეთ.
party	წვეულება	წვეულება შვიდ საათზე იწყება.
passport	პასპორტი	გთხოვთ, პასპორტი აჩვენეთ.
past	წარსული; გასული	ახლა ექვსის ნახევარია.
pay	გადახდა	ბარათით ვიხდი.
pen	კალამი	ეს კალამი ლურჯია.
pencil	ფანქარი	ფანქრით ვწერ.
people	ხალხი	აქ ბევრი ხალხია.
pepper	წიწაკა	სუპში წიწაკა დაამატეთ.
perfect	სრულყოფილი	თქვენი პასუხი სრულყოფილია.
period	პერიოდი; გაკვეთილის დრო	გაკვეთილის დრო მოკლეა.
person	პირი; ადამიანი	ერთი ადამიანი ელოდება.
personal	პირადი	ეს ჩემი პირადი ტელეფონია.
phone	ტელეფონი	ტელეფონი ჩანთაში მაქვს.
photo	ფოტო	აქ ფოტო გადაიღეთ.
photograph	ფოტოსურათი	ეს ფოტოსურათი ძველია.
phrase	ფრაზა	გთხოვთ, ფრაზა გაიმეორეთ.
piano	პიანინო	ის პიანინოს უკრავს.
picture	სურათი	ამ სურათს შეხედეთ.
piece	ნაჭერი	ტორტის ერთი ნაჭერი აიღეთ.
pig	ღორი	ღორი ფერმაშია.
pink	ვარდისფერი	მისი ჩანთა ვარდისფერია.
place	ადგილი	ეს ადგილი მშვიდია.
plan	გეგმა	გეგმა გვჭირდება.
plane	თვითმფრინავი	თვითმფრინავი აგვიანებს.
plant	მცენარე	დღეს მცენარეს წყალი დაასხით.
play	თამაში	ბავშვები პარკში თამაშობენ.
player	მოთამაშე	მოთამაშე სწრაფად დარბის.
please	გთხოვთ	გთხოვთ, აქ დაჯექით.
point	წერტილი; აზრი	ეს აზრი მნიშვნელოვანია.
police	პოლიცია	პოლიცია გარეთაა.
policeman	პოლიციელი	პოლიციელი გვეხმარება.
pool	აუზი	აუზი ცივია.
poor	ღარიბი	ღარიბი ბავშვი მშიერია.
popular	პოპულარული	ეს სიმღერა პოპულარულია.
positive	დადებითი	ეს დადებითი შედეგია.
possible	შესაძლებელი	ეს დღეს შესაძლებელია?
post	პოსტი; ფოსტა	მის ონლაინ პოსტს ვკითხულობ.
potato	კარტოფილი	კარტოფილს ვჭამ.
pound	ფუნტი	ეს ერთი ფუნტი ღირს.
practice	პრაქტიკა; ვარჯიში	პრაქტიკა ყოველდღე მეხმარება.
practise	ვარჯიში; პრაქტიკა	ინგლისურში ყოველდღე ვვარჯიშობ.
prefer	არჩევა; უპირატესობა	ჩაის ვამჯობინებ.
prepare	მომზადება	ჩანთა დღეს საღამოს მოამზადეთ.
present	ახლანდელი; მყოფი	ის დღეს გაკვეთილზეა.
pretty	ლამაზი	ბაღი ლამაზია.
price	ფასი	ფასი დაბალია.
probably	ალბათ	მან ალბათ იცის.
problem	პრობლემა	ეს პრობლემა პატარაა.
product	პროდუქტი	ეს პროდუქტი ახალია.
programme	პროგრამა	პროგრამა ახლა იწყება.
project	პროექტი	ჩვენი პროექტი მზადაა.
purple	იისფერი	კაბა იისფერია.
put	დადება	წიგნი აქ დადეთ.
quarter	მეოთხედი; თხუთმეტი წუთი	ახლა ორის თხუთმეტია.
question	კითხვა	ერთი კითხვა დასვით.
quick	სწრაფი	ეს სწრაფი ტესტია.
quickly	სწრაფად	გთხოვთ, სწრაფად იარეთ.
quiet	მშვიდი	ბიბლიოთეკა მშვიდია.
quite	საკმაოდ	ეს ოთახი საკმაოდ პატარაა.
radio	რადიო	რადიოს ხმა მაღალია.
rain	წვიმა	წვიმა ახლა იწყება.
read	კითხვა	ეს წინადადება წაიკითხეთ.
reader	მკითხველი	მკითხველს ამბავი მოსწონს.
reading	კითხვა	კითხვა სწავლაში მეხმარება.
ready	მზად	ვახშამი მზადაა.
real	ნამდვილი	ეს ნამდვილი პრობლემაა.
really	ნამდვილად	ეს სიმღერა ნამდვილად მიყვარს.
reason	მიზეზი	მიზეზი მითხარით.
red	წითელი	კარი წითელია.
relax	დასვენება	სამუშაოს შემდეგ დაისვენეთ.
remember	დამახსოვრება	პასპორტი არ დაგავიწყდეთ.
repeat	გამეორება	გთხოვთ, წინადადება გაიმეორეთ.
report	ანგარიში	ანგარიში დღეს საღამოს წაიკითხეთ.
restaurant	რესტორანი	რესტორანი სავსეა.
result	შედეგი	შედეგი კარგია.
return	დაბრუნება	წიგნი ხვალ დააბრუნეთ.
rice	ბრინჯი	ლანჩზე ბრინჯს ვჭამ.
rich	მდიდარი	ეს მდიდარი ქალაქია.
ride	ტარება	ველოსიპედით დავდივარ.
right	მარჯვენა; სწორი	აქ მარჯვნივ მოუხვიეთ.
river	მდინარე	მდინარე ფართოა.
road	გზა	ეს გზა გრძელია.
room	ოთახი	ჩემი ოთახი სუფთაა.
routine	დღის რეჟიმი	ჩემი დღის რეჟიმი ადრე იწყება.
rule	წესი	ეს წესი მარტივია.
run	სირბილი	ყოველ დილით დავრბივარ.
sad	სევდიანი	ის დღეს სევდიანია.
salad	სალათი	ეს სალათი ახალია.
salt	მარილი	ცოტა მარილი დაამატეთ.
same	იგივე	ჩვენ იგივე ჩანთა გვაქვს.
sandwich	სენდვიჩი	სენდვიჩს ვჭამ.
Saturday	შაბათი	შაბათს ვხვდებით.
say	თქმა	გთხოვთ, თქვენი სახელი თქვით.
school	სკოლა	ჩემი სკოლა აქ ახლოსაა.
science	მეცნიერება; ბუნებისმეტყველება	ბუნებისმეტყველებას ვსწავლობ.
scientist	მეცნიერი	მეცნიერი კითხვას სვამს.
sea	ზღვა	ზღვა ლურჯია.
second1 (unit of time)	წამი	ერთი წამი მოიცადეთ.
section	განყოფილება	ეს განყოფილება წაიკითხეთ.
see	ნახვა	ჩემს მეგობარს ვხედავ.
sell	გაყიდვა	ისინი ახალ ხილს ყიდიან.
send	გაგზავნა	ახლა შეტყობინება გაგზავნეთ.
sentence	წინადადება	ერთი წინადადება დაწერეთ.
September	სექტემბერი	სკოლა სექტემბერში იწყება.
seven	შვიდი	აქ შვიდი ადამიანია.
seventeen	ჩვიდმეტი	ის ჩვიდმეტი წლისაა.
seventy	სამოცდაათი	ბებია სამოცდაათი წლისაა.
share	გაზიარება	ტორტი გააზიარეთ.
she	ის	ის ჩემი დაა.
sheep	ცხვარი	ცხვარი ბალახს ჭამს.
shirt	პერანგი	მისი პერანგი სუფთაა.
shoe	ფეხსაცმელი	ერთი ფეხსაცმელი საწოლის ქვეშაა.
shop	მაღაზია	მაღაზია ადრე იკეტება.
shopping	შოპინგი; საყიდლები	დღეს საყიდლებზე სიარული საინტერესოა.
short	მოკლე	ეს ამბავი მოკლეა.
should modal	უნდა	დღეს უნდა დაისვენოთ.
show	ჩვენება	ბილეთი მაჩვენეთ.
shower	შხაპი	შხაპს ვიღებ.
sick	ავადმყოფი	დღეს ავად ვარ.
similar	მსგავსი	ჩვენი ჩანთები მსგავსია.
sing	სიმღერა	კლასში ვმღერი.
singer	მომღერალი	მომღერალი პოპულარულია.
sister	და	ჩემი და ახალგაზრდაა.
sit	ჯდომა	ფანჯარასთან დაჯექით.
situation	სიტუაცია	ეს სიტუაცია ახალია.
six	ექვსი	აქ ექვსი წიგნია.
sixteen	თექვსმეტი	ის თექვსმეტი წლისაა.
sixty	სამოცი	მამა სამოცი წლისაა.
skill	უნარი	ეს უნარი სასარგებლოა.
skirt	ქვედაკაბა	მისი ქვედაკაბა ლურჯია.
sleep	ძილი	რვა საათი მძინავს.
slow	ნელი	ავტობუსი ნელია.
small	პატარა	ოთახი პატარაა.
snake	გველი	გველი გრძელია.
snow	თოვლი	ზამთარში თოვლი მოდის.
so	ამიტომ	დავიღალე, ამიტომ ვისვენებ.
some	ზოგი; ცოტა	ცოტა წყალი მჭირდება.
somebody	ვიღაც	კართან ვიღაც დგას.
someone	ვიღაც	ვიღაცამ შეტყობინება დატოვა.
something	რაღაც	დასალევად რაღაც მჭირდება.
sometimes	ზოგჯერ	ზოგჯერ სკოლაში ფეხით მივდივარ.
son	ვაჟი	მისი ვაჟი სკოლაშია.
song	სიმღერა	ეს სიმღერა ახალია.
soon	მალე	მალე შევხვდებით.
sorry	ბოდიში	ბოდიში.
sound	ხმა	ხმა მაღალია.
soup	სუპი	სუპი ცხელია.
south	სამხრეთი	სასტუმრო აქედან სამხრეთითაა.
space	ადგილი	ერთი სკამისთვის ადგილი არის.
speak	ლაპარაკი	გთხოვთ, ნელა ილაპარაკეთ.
special	განსაკუთრებული	დღეს განსაკუთრებული დღეა.
spell	ასოებად თქმა	თქვენი სახელი ასოებად თქვით.
spelling	მართლწერა	თქვენი მართლწერა შეამოწმეთ.
spend	ხარჯვა	საჭმელზე ფულს ვხარჯავ.
sport	სპორტი	ფეხბურთი პოპულარული სპორტია.
spring	გაზაფხული	გაზაფხულზე ყვავილები იზრდება.
stand	დგომა	კართან დადექით.
star	ვარსკვლავი	კაშკაშა ვარსკვლავს ვხედავ.
start	დაწყება	გაკვეთილი ახლა დაიწყეთ.
statement	განცხადება	ეს განცხადება სწორია.
station	სადგური	სადგური ახლოსაა.
stay	დარჩენა	დღეს სახლში დარჩით.
still	ჯერ კიდევ	ჯერ კიდევ მშია.
stop	გაჩერება	კუთხეში გაჩერდით.
story	ამბავი	ამბავი მომიყევით.
street	ქუჩა	ეს ქუჩა მშვიდია.
strong	ძლიერი	ის ძლიერია.
student	სტუდენტი	სტუდენტი წიგნს კითხულობს.
study	სწავლა	ინგლისურს ვსწავლობ.
style	სტილი	ეს სტილი მომწონს.
subject	საგანი	ინგლისური ჩემი მთავარი საგანია.
success	წარმატება	წარმატებისთვის ვარჯიში საჭიროა.
sugar	შაქარი	ჩაის შაქარი დაუმატეთ.
summer	ზაფხული	აქ ზაფხული ცხელია.
sun	მზე	მზე კაშკაშაა.
Sunday	კვირა	კვირას ვისვენებთ.
supermarket	სუპერმარკეტი	სუპერმარკეტი ღიაა.
sure	დარწმუნებული	დარწმუნებული ვარ.
sweater	სვიტერი	ჩემი სვიტერი თბილია.
swim	ცურვა	ყოველ კვირას ვცურავ.
swimming	ცურვა	ცურვა კარგი ვარჯიშია.
table	მაგიდა	გასაღებები მაგიდაზეა.
