simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO
的	partykuła dzierżawcza	To jest moja książka.	van; de bezittelijke partikel	Dit is mijn boek.	en ägandepartikel; -s	Det här är min bok.	en eiendomspartikkel; genitiv	Dette er boken min.
点	godzina; punkt; trochę	Teraz jest ósma.	het uur; het punt; een beetje	Het is nu acht uur.	klockan; en punkt; lite	Nu är klockan åtta.	klokken; et punkt; litt	Nå er klokken åtte.
电脑	komputer	Mój komputer jest na stole.	de computer	Mijn computer staat op tafel.	en dator	Min dator står på bordet.	en datamaskin; en PC	Datamaskinen min står på bordet.
电视	telewizja; telewizor	Oglądam telewizję.	de televisie	Ik kijk televisie.	en tv; en television	Jag tittar på tv.	en TV; et fjernsyn	Jeg ser på TV.
电影	film	Lubię filmy.	de film	Ik hou van films.	en film	Jag tycker om filmer.	en film	Jeg liker filmer.
东西	rzecz; przedmiot	Co to za rzecz?	het ding; de spullen	Wat is dit ding?	en sak; saker	Vad är det här för sak?	en ting; saker	Hva er denne tingen?
都	wszyscy; wszystko	Wszyscy jesteśmy studentami.	allemaal; beide	Wij zijn allemaal studenten.	alla; båda	Vi är alla studenter.	alle; begge	Vi er alle studenter.
读	czytać; uczyć się	Czytam książkę.	lezen; studeren	Ik lees een boek.	läsa; studera	Jag läser en bok.	å lese; å studere	Jeg leser en bok.
对不起	przepraszam	Przepraszam, nie znam cię.	sorry; neem me niet kwalijk	Sorry, ik ken je niet.	förlåt; ursäkta	Förlåt, jag känner inte dig.	unnskyld; beklager	Unnskyld, jeg kjenner deg ikke.
多	dużo; wiele	Mam wielu przyjaciół.	veel	Ik heb veel vrienden.	mycket; många	Jag har många vänner.	mye; mange	Jeg har mange venner.
多少	ile	Ile kosztuje ten kubek?	hoeveel	Hoeveel kost deze beker?	hur mycket; hur många	Hur mycket kostar den här koppen?	hvor mye; hvor mange	Hvor mye koster denne koppen?
儿子	syn	Mój syn jest uczniem.	de zoon	Mijn zoon is student.	en son	Min son är elev.	en sønn	Sønnen min er elev.
二	dwa	Luty jest zimny.	twee	Februari is koud.	två	Februari är kall.	to	Februar er kald.
饭馆	restauracja	Restauracja jest przed szkołą.	het restaurant	Het restaurant ligt voor de school.	en restaurang	Restaurangen ligger framför skolan.	en restaurant	Restauranten ligger foran skolen.
飞机	samolot	Lecę do Pekinu samolotem.	het vliegtuig	Ik ga met het vliegtuig naar Beijing.	ett flygplan	Jag flyger till Peking.	et fly	Jeg flyr til Beijing.
分钟	minuta	Uczę się przez pięć minut.	de minuut	Ik studeer vijf minuten.	en minut	Jag studerar i fem minuter.	et minutt	Jeg studerer i fem minutter.
高兴	szczęśliwy; zadowolony	Dzisiaj bardzo się cieszę.	blij; gelukkig	Ik ben vandaag erg blij.	glad	Jag är mycket glad i dag.	glad; fornøyd	Jeg er veldig glad i dag.
个	ogólny klasyfikator	Mam jednego przyjaciela.	het algemene maatwoord	Ik heb een vriend.	ett allmänt måttsord	Jag har en vän.	en generell klassifikator	Jeg har en venn.
工作	pracować; praca	Pracuję w Pekinie.	werken; het werk	Ik werk in Beijing.	arbeta; ett arbete	Jag arbetar i Peking.	å jobbe; arbeid	Jeg jobber i Beijing.
狗	pies	Lubię psy.	de hond	Ik hou van honden.	en hund	Jag tycker om hundar.	en hund	Jeg liker hunder.
汉语	język chiński	Uczę się chińskiego.	Chinees	Ik studeer Chinees.	kinesiska	Jag studerar kinesiska.	kinesisk	Jeg studerer kinesisk.
好	dobry; dobrze	Dzisiaj jest ładna pogoda.	goed	Het is vandaag mooi weer.	bra; god	Det är fint väder i dag.	bra; god	Det er fint vær i dag.
喝	pić	Piję wodę.	drinken	Ik drink water.	dricka	Jag dricker vatten.	å drikke	Jeg drikker vann.
和	i; z	Idę do szkoły z przyjacielem.	en; met	Ik ga met een vriend naar school.	och; med	Jag går till skolan med en vän.	og; med	Jeg går til skolen med en venn.
很	bardzo	Ona jest bardzo ładna.	erg; heel	Zij is erg mooi.	mycket; väldigt	Hon är väldigt vacker.	veldig	Hun er veldig pen.
后面	z tyłu; za	Szkoła jest za restauracją.	achter	De school ligt achter het restaurant.	bakom; baksidan	Skolan ligger bakom restaurangen.	bak; bakside	Skolen ligger bak restauranten.
回	wracać	Wracam do domu.	teruggaan; terugkomen	Ik ga terug naar huis.	återvända; gå tillbaka	Jag går hem igen.	å dra tilbake; å komme tilbake	Jeg drar hjem igjen.
会	umieć; potrafić	Umiem mówić po chińsku.	kunnen; weten hoe	Ik kan Chinees spreken.	kunna; veta hur	Jag kan tala kinesiska.	å kunne; å vite hvordan	Jeg kan snakke kinesisk.
火车站	dworzec kolejowy	Dworzec kolejowy jest duży.	het treinstation	Het treinstation is groot.	en tågstation	Tågstationen är stor.	en togstasjon	Togstasjonen er stor.
几	ile; kilka	Ilu masz przyjaciół?	hoeveel; enkele	Hoeveel vrienden heb je?	hur många; några	Hur många vänner har du?	hvor mange; noen	Hvor mange venner har du?
家	dom; rodzina	Mój dom jest w Pekinie.	het huis; de familie	Mijn huis is in Beijing.	ett hem; en familj	Mitt hem är i Peking.	et hjem; en familie	Hjemmet mitt er i Beijing.
叫	nazywać się; wołać	Jak się nazywasz?	heten; noemen	Hoe heet je?	heta; kalla	Vad heter du?	å hete; å kalle	Hva heter du?
今天	dzisiaj	Dzisiaj jest gorąco.	vandaag	Het is vandaag warm.	i dag	Det är varmt i dag.	i dag	Det er varmt i dag.
九	dziewięć	Teraz jest dziewiąta.	negen	Het is nu negen uur.	nio	Nu är klockan nio.	ni	Nå er klokken ni.
开	otwierać; włączać	Włączam komputer.	openen; aanzetten	Ik zet de computer aan.	öppna; sätta på	Jag sätter på datorn.	å åpne; å slå på	Jeg slår på datamaskinen.
看	patrzeć; oglądać; czytać	Czytam książkę.	kijken; lezen	Ik lees een boek.	titta; läsa	Jag läser en bok.	å se; å lese	Jeg leser en bok.
看见	widzieć	Widzę nauczyciela.	zien	Ik zie de leraar.	se	Jag ser läraren.	å se	Jeg ser læreren.
块	kawałek; yuan	Ta książka kosztuje dziesięć yuanów.	het stuk; de yuan	Dit boek kost tien yuan.	en bit; en yuan	Den här boken kostar tio yuan.	en bit; en yuan	Denne boken koster ti yuan.
来	przychodzić; przyjeżdżać	On przychodzi do szkoły.	komen	Hij komt naar school.	komma	Han kommer till skolan.	å komme	Han kommer til skolen.
老师	nauczyciel; nauczycielka	Nauczyciel jest w szkole.	de leraar; de lerares; de docent	De leraar is op school.	en lärare	Läraren är i skolan.	en lærer	Læreren er på skolen.
了	partykuła dokonanego działania	Zjadłem ryż.	de partikel voor voltooide handeling	Ik heb rijst gegeten.	en partikel för avslutad handling	Jag har ätit ris.	en partikkel for fullført handling	Jeg har spist ris.
冷	zimny	Dzisiaj jest zimno.	koud	Het is vandaag koud.	kall	Det är kallt i dag.	kald	Det er kaldt i dag.
里	w środku; w	W kubku jest woda.	in; binnen	In de beker zit water.	i; inuti	Det finns vatten i koppen.	i; inni	Det er vann i koppen.
零	zero	Zero to nie jeden.	nul	Nul is niet een.	noll	Noll är inte ett.	null	Null er ikke én.
六	sześć	Teraz jest szósta.	zes	Het is nu zes uur.	sex	Nu är klockan sex.	seks	Nå er klokken seks.
妈妈	mama	Mama pije herbatę.	de moeder; mama	Mama drinkt thee.	en mamma; en mor	Mamma dricker te.	en mamma; en mor	Mamma drikker te.
吗	partykuła pytania tak-nie	Czy jesteś studentem?	de ja-neevraagpartikel	Ben je student?	en ja-nej-frågepartikel	Är du student?	en ja-nei-spørrepartikkel	Er du student?
买	kupować	Kupuję jabłka.	kopen	Ik koop appels.	köpa	Jag köper äpplen.	å kjøpe	Jeg kjøper epler.
猫	kot	Kot jest na krześle.	de kat	De kat zit op de stoel.	en katt	Katten är på stolen.	en katt	Katten er på stolen.
没	nie mieć; nie	Nie mam pieniędzy.	niet hebben; niet	Ik heb geen geld.	inte ha; inte	Jag har inga pengar.	ikke ha; ikke	Jeg har ikke penger.
没关系	nic nie szkodzi; nieważne	Nic nie szkodzi.	het geeft niet; geen probleem	Het geeft niet.	det gör inget; ingen fara	Det gör inget.	det går bra; ingen fare	Det går bra.
米饭	ugotowany ryż	Jem ryż.	de gekookte rijst	Ik eet rijst.	kokt ris	Jag äter ris.	kokt ris	Jeg spiser ris.
名字	imię; nazwa	Jak się nazywasz?	de naam	Hoe heet je?	ett namn	Vad heter du?	et navn	Hva heter du?
明天	jutro	Jutro jadę do Pekinu.	morgen	Morgen ga ik naar Beijing.	i morgon	I morgon åker jag till Peking.	i morgen	I morgen drar jeg til Beijing.
哪	który; która; które; którzy; gdzie; dokąd	Dokąd idziesz?	welke; waar; waarheen	Waar ga je naartoe?	vilken; vilket; vilka; var; vart	Vart går du?	hvilken; hvilket; hvilke; hvor	Hvor skal du?
那	tamten; tamta; tamto; tamci; tamte	Tamten to mój nauczyciel.	die; dat	Dat is mijn leraar.	den där; det där; de där	Det där är min lärare.	den; det; de	Det er læreren min.
呢	partykuła pytająca; a co z	A ty?	de vraagpartikel; en	En jij?	en frågepartikel; då	Och du då?	en spørrepartikkel; da	Hva med deg?
能	móc; być w stanie	Czy mogę pójść?	kunnen; in staat zijn	Kan ik gaan?	kunna; ha möjlighet	Kan jag gå?	å kunne; være i stand til	Kan jeg gå?
你	ty	Jak się masz?	jij; je	Hoe gaat het met je?	du	Hur mår du?	du	Hvordan har du det?
年	rok	Rok ma dwanaście miesięcy.	het jaar	Een jaar heeft twaalf maanden.	ett år	Ett år har tolv månader.	et år	Et år har tolv måneder.
女儿	córka	Jej córka jest bardzo ładna.	de dochter	Haar dochter is erg mooi.	en dotter	Hennes dotter är mycket vacker.	en datter	Datteren hennes er veldig pen.
朋友	przyjaciel; kolega	On jest moim przyjacielem.	de vriend	Hij is mijn vriend.	en vän	Han är min vän.	en venn	Han er vennen min.
漂亮	ładny; piękny	Ona jest bardzo ładna.	mooi	Zij is erg mooi.	vacker; fin	Hon är väldigt vacker.	pen; vakker	Hun er veldig pen.
苹果	jabłko	Lubię jabłka.	de appel	Ik hou van appels.	ett äpple	Jag tycker om äpplen.	et eple	Jeg liker epler.
七	siedem	Teraz jest siódma.	zeven	Het is nu zeven uur.	sju	Nu är klockan sju.	sju	Nå er klokken sju.
前面	przód; przed	Restauracja jest przed sklepem.	voorkant; voor	Het restaurant is voor de winkel.	framsida; framför	Restaurangen ligger framför affären.	foran; forside	Restauranten ligger foran butikken.
钱	pieniądze	Nie mam pieniędzy.	het geld	Ik heb geen geld.	pengar	Jag har inga pengar.	penger	Jeg har ikke penger.
请	proszę; zapraszać; prosić	Proszę, wypij herbatę.	alstublieft; uitnodigen; vragen	Drink alsjeblieft thee.	varsågod; bjuda; be	Varsågod, drick te.	vær så snill; invitere; be	Vær så god, drikk te.
去	iść; jechać	Idę do szkoły.	gaan	Ik ga naar school.	gå; åka	Jag går till skolan.	å gå; å dra	Jeg går til skolen.
热	gorący; upalny	Dzisiaj jest gorąco.	heet; warm	Het is vandaag warm.	het; varm	Det är varmt i dag.	varm; het	Det er varmt i dag.
人	człowiek; ludzie	W szkole jest dużo ludzi.	de persoon; de mensen	Er zijn veel mensen op school.	en person; människor	Det finns många människor i skolan.	en person; folk	Det er mange mennesker på skolen.
认识	znać; rozpoznawać	Znam go.	kennen; herkennen	Ik ken hem.	känna; känna igen	Jag känner honom.	å kjenne; å gjenkjenne	Jeg kjenner ham.
日	dzień; data	Dzisiaj jest pierwszy marca.	de dag; de datum	Vandaag is het één maart.	en dag; ett datum	I dag är det första mars.	en dag; en dato	I dag er det første mars.
三	trzy	Mam trzy kubki.	drie	Ik heb drie bekers.	tre	Jag har tre koppar.	tre	Jeg har tre kopper.
商店	sklep	Sklep jest przed szkołą.	de winkel	De winkel ligt voor de school.	en affär	Affären ligger framför skolan.	en butikk	Butikken ligger foran skolen.
上	góra; na	Książka jest na stole.	boven; op	Het boek ligt op de tafel.	upp; på	Boken ligger på bordet.	opp; på	Boken ligger på bordet.
上午	rano; przed południem	Rano uczę się chińskiego.	de ochtend; de voormiddag	's Ochtends studeer ik Chinees.	en förmiddag; en morgon	På förmiddagen studerar jag kinesiska.	en formiddag; en morgen	Om formiddagen studerer jeg kinesisk.
少	mało; niewiele	Jest mało uczniów.	weinig	Er zijn weinig studenten.	få; lite	Det finns få elever.	få; lite	Det er få elever.
什么	co	Co to jest?	wat	Wat is dit?	vad	Vad är det här?	hva	Hva er dette?
十	dziesięć	Mam dziesięć książek.	tien	Ik heb tien boeken.	tio	Jag har tio böcker.	ti	Jeg har ti bøker.
时候	czas; moment	Kiedy przyjdziesz?	de tijd; het moment	Wanneer kom je?	en tid; ett tillfälle	När kommer du?	tid; et tidspunkt	Når kommer du?
是	być; tak	Jestem studentem.	zijn; ja	Ik ben student.	vara; ja	Jag är student.	å være; ja	Jeg er student.
书	książka	Czytam książkę.	het boek	Ik lees een boek.	en bok	Jag läser en bok.	en bok	Jeg leser en bok.
谁	kto	Kto to jest?	wie	Wie is hij?	vem	Vem är han?	hvem	Hvem er han?
水	woda	Piję wodę.	het water	Ik drink water.	vatten	Jag dricker vatten.	vann	Jeg drikker vann.
水果	owoce	Kupuję owoce.	het fruit	Ik koop fruit.	frukt	Jag köper frukt.	frukt	Jeg kjøper frukt.
睡觉	spać; iść spać	Idę spać.	slapen; gaan slapen	Ik ga slapen.	sova; gå och lägga sig	Jag går och lägger mig.	å sove; å legge seg	Jeg legger meg.
说话	mówić; rozmawiać	Nauczyciel mówi.	praten; spreken	De leraar praat.	tala; prata	Läraren pratar.	å snakke; å prate	Læreren snakker.
四	cztery	Mam czterech przyjaciół.	vier	Ik heb vier vrienden.	fyra	Jag har fyra vänner.	fire	Jeg har fire venner.
岁	lat w wieku	Mam dziesięć lat.	jaar oud	Ik ben tien jaar oud.	år gammal	Jag är tio år.	år gammel	Jeg er ti år.
他	on; jego	On jest nauczycielem.	hij; hem	Hij is leraar.	han; honom	Han är lärare.	han; ham	Han er lærer.
她	ona; ją	Ona jest studentką.	zij; haar	Zij is student.	hon; henne	Hon är student.	hun; henne	Hun er student.
太	zbyt; bardzo	Ten kubek jest zbyt duży.	te; erg	Deze beker is te groot.	för; mycket	Den här koppen är för stor.	for; veldig	Denne koppen er for stor.
天气	pogoda	Dzisiaj jest ładna pogoda.	het weer	Het is vandaag mooi weer.	väder	Det är fint väder i dag.	vær	Det er fint vær i dag.
听	słuchać; słyszeć	Słucham, jak mówi nauczyciel.	luisteren; horen	Ik luister naar de leraar die spreekt.	lyssna; höra	Jag lyssnar på läraren som talar.	å lytte; å høre	Jeg hører på læreren som snakker.
同学	kolega z klasy; koleżanka z klasy	On jest moim kolegą z klasy.	de klasgenoot	Hij is mijn klasgenoot.	en klasskamrat	Han är min klasskamrat.	en klassekamerat	Han er klassekameraten min.
喂	halo przez telefon	Halo?	hallo aan de telefoon	Hallo?	hallå i telefonen	Hallå?	hallo på telefon	Hallo?
我	ja; mnie	Jestem lekarzem.	ik; mij	Ik ben dokter.	jag; mig	Jag är läkare.	jeg; meg	Jeg er lege.
我们	my; nas	Idziemy do szkoły.	wij; ons	Wij gaan naar school.	vi; oss	Vi går till skolan.	vi; oss	Vi går til skolen.
五	pięć	Mam pięć jabłek.	vijf	Ik heb vijf appels.	fem	Jag har fem äpplen.	fem	Jeg har fem epler.
喜欢	lubić	Lubię pić herbatę.	leuk vinden; houden van	Ik drink graag thee.	tycka om	Jag tycker om att dricka te.	å like	Jeg liker å drikke te.
下	dół; pod; następny	Książka jest pod stołem.	beneden; onder; volgende	Het boek ligt onder de tafel.	ner; under; nästa	Boken ligger under bordet.	ned; under; neste	Boken ligger under bordet.
下午	popołudnie	Po południu idę do sklepu.	de middag; namiddag	's Middags ga ik naar de winkel.	eftermiddag	På eftermiddagen går jag till affären.	ettermiddag	Om ettermiddagen går jeg til butikken.
下雨	padać deszcz	Dzisiaj pada deszcz.	regenen	Het regent vandaag.	regna	Det regnar i dag.	å regne	Det regner i dag.
先生	pan; mąż	Dzień dobry, proszę pana.	de heer; meneer; de echtgenoot	Goedendag, meneer.	en herre; en make	God dag, herrn.	en herre; en ektemann	God dag, min herre.
现在	teraz	Teraz jestem w szkole.	nu	Ik ben nu op school.	nu	Jag är i skolan nu.	nå	Jeg er på skolen nå.
想	chcieć; myśleć; tęsknić	Chcę pić wodę.	willen; denken; missen	Ik wil water drinken.	vilja; tänka; sakna	Jag vill dricka vatten.	å ville; å tenke; å savne	Jeg vil drikke vann.
小	mały	Ten kubek jest mały.	klein	Deze beker is klein.	liten	Den här koppen är liten.	liten	Denne koppen er liten.
小姐	panna; młoda kobieta	Dzień dobry, proszę pani.	de juffrouw; de jonge vrouw	Goedendag, juffrouw.	en fröken; en ung kvinna	God dag, fröken.	en frøken; en ung kvinne	God dag, frøken.
些	kilka; trochę	Mam kilka książek.	enkele; wat	Ik heb enkele boeken.	några; lite	Jag har några böcker.	noen; litt	Jeg har noen bøker.
写	pisać	Piszę znaki.	schrijven	Ik schrijf karakters.	skriva	Jag skriver tecken.	å skrive	Jeg skriver tegn.
谢谢	dziękuję; dziękować	Dziękuję.	dank je; bedanken	Dank je.	tack; tacka	Tack.	takk; å takke	Takk.
星期	tydzień; dzień tygodnia	Dzisiaj jest poniedziałek.	de week; de weekdag	Vandaag is het maandag.	en vecka; en veckodag	I dag är det måndag.	en uke; en ukedag	I dag er det mandag.
学生	student; studentka; uczeń; uczennica	Jestem studentem.	de student; de leerling	Ik ben student.	en elev; en student	Jag är student.	en elev; en student	Jeg er student.
学习	uczyć się; studiować	Uczę się chińskiego.	studeren; leren	Ik studeer Chinees.	studera; lära sig	Jag studerar kinesiska.	å studere; å lære	Jeg studerer kinesisk.
学校	szkoła	Szkoła jest duża.	de school	De school is groot.	en skola	Skolan är stor.	en skole	Skolen er stor.
一	jeden	Mam jeden kubek.	een	Ik heb een beker.	en; ett	Jag har en kopp.	en; ett	Jeg har en kopp.
衣服	ubranie	Kupuję ubrania.	de kleren; de kleding	Ik koop kleren.	kläder	Jag köper kläder.	klær	Jeg kjøper klær.
医生	lekarz; lekarka	Ona jest lekarką.	de dokter; de arts	Zij is dokter.	en läkare	Hon är läkare.	en lege	Hun er lege.
医院	szpital	Szpital jest przed szkołą.	het ziekenhuis	Het ziekenhuis ligt voor de school.	ett sjukhus	Sjukhuset ligger framför skolan.	et sykehus	Sykehuset ligger foran skolen.
椅子	krzesło	Krzesło jest za stołem.	de stoel	De stoel staat achter de tafel.	en stol	Stolen står bakom bordet.	en stol	Stolen står bak bordet.
有	mieć; jest	Mam przyjaciół.	hebben; er is	Ik heb vrienden.	ha; det finns	Jag har vänner.	å ha; det finnes	Jeg har venner.
月	miesiąc; księżyc	Dzisiaj jest czwarty maja.	de maand; de maan	Vandaag is het vier mei.	en månad; en måne	I dag är det fjärde maj.	en måned; en måne	I dag er det fjerde mai.
再见	do widzenia	Do widzenia, panie nauczycielu.	tot ziens	Tot ziens, meester.	hej då	Hej då, fröken.	ha det	Ha det, frøken.
在	być w; znajdować się	Jestem w domu.	in; zich bevinden	Ik ben thuis.	i; finnas	Jag är hemma.	i; å befinne seg	Jeg er hjemme.
怎么	jak	Jak czyta się ten znak?	hoe	Hoe lees je dit karakter?	hur	Hur läser man det här tecknet?	hvordan	Hvordan leser man dette tegnet?
怎么样	jak; co z	Jak się dziś masz?	hoe; wat dacht je van	Hoe gaat het vandaag met je?	hur; vad sägs om	Hur mår du i dag?	hvordan; hva med	Hvordan har du det i dag?
这	ten; ta; to; ci; te	To jest moja książka.	dit; deze	Dit is mijn boek.	den här; det här; de här	Det här är min bok.	denne; dette; disse	Dette er boken min.
中国	Chiny	Jadę do Chin.	China	Ik ga naar China.	Kina	Jag åker till Kina.	Kina	Jeg drar til Kina.
中午	południe	W południe jem ryż.	de middag	Tussen de middag eet ik rijst.	mitt på dagen; middagstid	Mitt på dagen äter jag ris.	midt på dagen; middagstid	Midt på dagen spiser jeg ris.
住	mieszkać; zatrzymać się	Mieszkam w Pekinie.	wonen; verblijven	Ik woon in Beijing.	bo; stanna	Jag bor i Peking.	å bo; å overnatte	Jeg bor i Beijing.
桌子	stół; biurko	Książka jest na stole.	de tafel; het bureau	Het boek ligt op de tafel.	ett bord; ett skrivbord	Boken ligger på bordet.	et bord; et skrivebord	Boken ligger på bordet.
字	znak; słowo	Ten znak jest mały.	het karakter; het woord	Dit karakter is klein.	ett tecken; ett ord	Det här tecknet är litet.	et tegn; et ord	Dette tegnet er lite.
昨天	wczoraj	Wczoraj oglądałem film.	gisteren	Gisteren heb ik een film gezien.	i går	I går såg jag en film.	i går	I går så jeg en film.
坐	siedzieć; jechać środkiem transportu	Lecę do Pekinu samolotem.	zitten; een vervoermiddel nemen	Ik ga met het vliegtuig naar Beijing.	sitta; åka med	Jag tar flyget till Peking.	å sitte; å reise med	Jeg tar fly til Beijing.
做	robić; przygotowywać	Gotuję.	doen; maken	Ik kook.	göra; laga	Jag lagar mat.	å gjøre; å lage	Jeg lager mat.
