source_headword	KK	example_KK
bear (deal with)	шыдау	Мен бұл шуға шыдай алмаймын.
beg	жалыну	Көмек сұрап жалыныңызшы.
being	тіршілік иесі	Әрбір тіршілік иесіне су қажет.
bent	майысқан	Металл шыбық майысқан еді.
bet	бәс тігу	Ол біледі деп бәс тігемін.
beyond	ар жағында	Ауыл өзеннің ар жағында орналасқан.
bitter	ащы	Дәрінің дәмі ащы болды.
blame	кінәлау	Жүргізушіні кінәламаңыз.
blind	соқыр	Ол жас кезінде соқыр болып қалды.
bond	байланыс	Сенім берік байланыс тудырады.
breast	кеуде	Ол кеудесінде ауырсыну сезінді.
brief	қысқа	Жауабыңызды қысқаша қайтарыңыз.
broad	кең	Мұнда өзен кең.
broadcast	хабар тарату	Сөз тікелей эфирде таратылды.
budget	бюджет	Бюджет өте шектеулі.
bullet	оқ	Оқ қабырғаға тиді.
bunch	байлам	Ол бір байлам кілтті алып жүрді.
bush	бұта	Құс бұтаның ішіне тығылды.
cable	кабель	Кабель үзілген.
calculate	есептеу	Жалпы құнын есептеңіз.
cancel	болдырмау	Олар жиналысты тоқтатты.
cancer	қатерлі ісік	Қатерлі ісікті емдеу қиын болуы мүмкін.
capable	қабілетті	Ол бұдан да көп нәрсеге қабілетті.
capacity	сыйымдылық	Зал толық сыйымдылыққа жетті.
capture	бейнелеу	Фотосурет көңіл-күйді бейнелейді.
cast	актерлер құрамы	Актерлер құрамы дайын.
cell	ұяшық	Әрбір ұяшықта деректер бар.
chairman	төраға	Төраға жиналысты ашты.
characteristic	қасиет	Шыдамдылық - оның басты қасиеті.
chief	бас	Бас инженер кешігіп келді.
circumstance	жағдай	Әрбір жағдайды мұқият қарастырыңыз.
cite	дәйексөз келтіру	Дереккөзіңізді көрсетіңіз.
citizen	азамат	Әрбір азамат дауыс бере алады.
civil	бейбіт	Шеру бейбіт түрде өтті.
classic	классика	Бұл фильм - классика.
closely	мұқият	Процесті мұқият бақылаңыз.
collapse	құлау	Ескі көпір құлап кетуі мүмкін.
combination	үйлесім	Үйлесім жақсы жұмыс істеді.
comfort	жұбаныш	Оның сөздері жұбаныш берді.
command	бұйрық	Офицер бұйрық берді.
commission	комиссия	Комиссия істі қарады.
commitment	міндеттеме	Жұмыс міндеттемені қажет етеді.
committee	комитет	Комитет апта сайын жиналады.
commonly	әдетте	Бұл өсімдік әдетте өсіріледі.
complicated	күрделі	Нұсқаулар күрделі.
component	компонент	Бір компонент істен шықты.
concentration	зейін	Шу менің зейінімді бұзады.
concept	тұжырымдама	Тұжырымдама қарапайым.
concern	алаңдаушылық	Қауіпсіздік - біздің басты алаңдаушылығымыз.
concerned	алаңдаулы	Ата-аналар қатты алаңдаулы болды.
conduct	өткізу	Олар жергілікті жерде зерттеу жүргізеді.
confidence	сенімділік	Тәжірибе сенімділікті арттырады.
conflict	қақтығыс	Қақтығыс жылдарға созылды.
confusing	шатастыратын	Карта шатастыратын болды.
conscious	есін білетін	Ол есін жоғалтпады.
conservative	консервативті	Оның көзқарастары консервативті.
consideration	қарастыру	Баға - маңызды фактор.
consistent	тұрақты	Оның нәтижелері тұрақты.
constant	тұрақты	Тұрақты шу бізді шаршатты.
constantly	үнемі	Ол үнемі телефонын тексереді.
construct	салу	Жұмысшылар жаңа көпір салды.
construction	құрылыс	Құрылыс келесі айда басталады.
contemporary	заманауи	Галерея заманауи өнерді көрсетеді.
contest	байқау	Ол байқауға қатысты.
contract	келісімшарт	Келісімшартты мұқият оқып шығыңыз.
contribute	үлес қосу	Барлығы өз идеяларын қоса алады.
contribution	үлес	Оның қосқан үлесі құнды болды.
convert	өзгерту	Олар гаражды қайта жасады.
convinced	сенімді	Мен оның өтірік айтқанына сенімдімін.
core	негіз	Сенім - негізгі мәселе.
corporate	корпоративті	Корпоративтік ережелер қайта өзгерді.
council	кеңес	Кеңес жоспарды мақұлдады.
county	округ	Округ жолды жөндеді.
courage	батылдық	Ол нағыз батылдық танытты.
crash	апат	Апат көлік қозғалысын бөгеп тастады.
creation	жасау	Жасауға алты ай уақыт кетті.
creature	тіршілік иесі	Тіршілік иесі үнсіз қозғалды.
crew	экипаж	Экипаж кемені дайындады.
crisis	дағдарыс	Дағдарыс бәрін өзгертті.
criterion	критерий	Баға - бір критерий.
critic	сыншы	Сыншы қойылымды мақтады.
critical	ауыр	Оның жағдайы ауыр.
criticism	сын	Ол сынды сабырмен қабылдады.
criticize	сынға алу	Әр қатені сынай бермеңіз.
crop	егін	Биыл егін шықпай қалды.
crucial	маңызды	Мұнда уақыт өте маңызды.
cure	ем	Дәрігерлер ем тапты.
curve	бұрылыс	Жол бұрылысқа ұласады.
curved	қисық	Қабырға сәл қисық.
debate	пікірталас	Пікірталас бірнеше сағатқа созылды.
debt	қарыз	Ол қарызын төледі.
decent	тәуір	Олар тәуір пәтер тапты.
declare	жариялау	Олар нәтижені жариялады.
decline	төмендеу	Сатылым төмендей берді.
decoration	безендіру	Безендіру қымбат көрінді.
decrease	төмендеу	Бағалар жақында төмендеуі мүмкін.
deeply	қатты	Ол әділеттілікке қатты мән берді.
defeat	жеңіліс	Жеңіліс команданы таң қалдырды.
defence	қорғаныс	Қорғаушы жақ дәлелдерге қарсы шықты.
defend	қорғау	Ол өзін қорғауға тырысты.
delay	кешігу	Қолайсыз ауа райы кешігуге себеп болды.
deliberate	қасақана	Бұл саналы түрде жасалған таңдау болды.
deliberately	әдейі	Ол ескертуді әдейі елемеді.
delight	қуанту	Бұл жаңалық барлығын қуантты.
delighted	қуанышты	Біз сыйлыққа қатты қуандық.
delivery	жеткізу	Жеткізу ерте келді.
demand	талап ету	Жұмысшылар жақсырақ жалақы талап етуде.
demonstrate	көрсету	Ол жаңа бағдарламалық жасақтаманы көрсетті.
deny	жоққа шығару	Ол айыптауды жоққа шығарды.
depressed	күйзелген	Жеңілістен кейін ол күйзеліске түсті.
depressing	көңілсіз	Фильм көңілсіз болды.
depth	тереңдік	Бассейннің тереңдігі үлкен.
deserve	лайық болу	Сіз демалысқа лайықсыз.
desire	қалау	Ол саяхаттауға деген қалауын білдірді.
desperate	үмітсіз	Олар үмітсіз қоңырау шалды.
detailed	егжей-тегжейлі	Нұсқаулық өте егжей-тегжейлі.
detect	анықтау	Иттер түтінді анықтай алады.
dig	қазу	Олар жазда құдық қазады.
disc	диск	Диск сырылған екен.
discipline	тәртіп	Тәртіп спортшылардың дамуына көмектеседі.
dishonest	адал емес	Оның жауабы жалған болып көрінді.
dismiss	қабылдамау	Менеджер шағымды қабылдамады.
display	көрсету	Экран ұпайды көрсетеді.
distribute	тарату	Еріктілер таза су таратты.
distribution	тарату	Тарату күн шыққаннан кейін басталды.
district	аудан	Аудан жаңа әкімді сайлады.
division	бөлім	Бұл бөлім құқықтық істермен айналысады.
domestic	ішкі	Ішкі рейстер арзанырақ.
dominate	үстемдік ету	Бір компания нарықта үстемдік етуі мүмкін.
downwards	төмен қарай	Жол төмен қарай еңіс.
dozen	бір дюжина	Ол бір дюжина жұмыртқа сатып алды.
draft	жоба	Жобаны қарап шығуыңызды өтінеміз.
drag	сүйреу	Үстелді сүйремеңіз.
dramatic	әсерлі	Нәтижелер әсерлі болды.
edit	өңдеу	Ол мақаланы өңдеді.
edition	басылым	Бұл басылымға жаңа фотосуреттер кіреді.
efficient	тиімді	Жүйе өте тиімді.
elderly	егде жастағы	Егде жастағы тұрғындар қолдауды қажет етеді.
elect	сайлау	Сайлаушылар жаңа кеңесті сайлайды.
elsewhere	басқа жерде	Біз көмекті басқа жерден іздедік.
emerge	пайда болу	Мәліметтер түн жарымынан кейін белгілі болды.
emotional	эмоционалды	Сөз сөйлеу эмоционалды болды.
emphasis	басымдық	Қауіпсіздікке басымдық беріңіз.
emphasize	атап өту	Мұғалімдер күнделікті тәжірибенің маңыздылығын атап өтеді.
enable	мүмкіндік беру	Қолданба жылдам төлемдер жасауға мүмкіндік береді.
encounter	кездестіру	Біз үлкен кептеліске тап болдық.
engage	тарту	Курс ересек оқушыларды тартады.
enhance	жақсарту	Жарық бөлмені жақсарта алады.
enquiry	тергеу	Тергеу үш айға созылды.
ensure	қамтамасыз ету	Дәлдікті қамтамасыз ету үшін екі рет тексеріңіз.
enthusiasm	ынта	Оның ынтасы топқа шабыт берді.
enthusiastic	ынталы	Еріктілер ынталы болды.
entire	бүкіл	Бүкіл ауыл жарықсыз қалды.
entirely	толығымен	Бұл оқиға толығымен жалған.
establish	орнату	Олар нақты ережелер орнатты.
estate	мүлік	Мүлікке бірнеше ферма кіреді.
estimate	бағалау	Біз он мың келушіні бағалап отырмыз.
ethical	этикалық	Шешім этикалық сұрақтарды туындатты.
evaluate	бағалау	Сарапшылар дизайнды бағалайды.
evil	зұлым	Патша зұлым рухтардан қорықты.
examination	емтихан	Емтихан бір сағатқа созылды.
excuse	сылтау	Бұл сылтау әлсіз болып көрінді.
executive	басшы	Басшы келісімді мақұлдады.
existence	бар болу	Олардың бар екені белгісіз болды.
expectation	күту	Іске қосар алдында күту жоғары болды.
expense	шығын	Саяхат - біздің ең үлкен шығынымыз.
exploration	зерттеу	Ғарышты зерттеу балаларды шабыттандырады.
expose	әшкерелеу	Мақала сыбайлас жемқорлықты әшкереледі.
extend	ұзарту	Олар мерзімді ұзартты.
extent	дәреже	Біз оның ауқымын кейінірек білдік.
external	сыртқы	Сыртқы қысым оларға әсер етті.
extraordinary	ерекше	Оның сауығуы ерекше болды.
facility	ғимарат	Ғимарат маусым айында ашылды.
failure	сәтсіздік	Сәтсіздік оған шыдамдылықты үйретті.
faith	сенім	Ол оған деген сенімін сақтады.
fault	кінә	Апат менің кінәм болды.
feather	қауырсын	Жастықтан қауырсын түсті.
fee	ақы	Ақыға түскі ас кіреді.
feedback	кері байланыс	Кері байланыс курсты жақсартуға көмектесті.
fellow	әріптес	Әріптестері оған қолдау көрсетті.
finance	қаржы	Банк кеңейтуді қаржыландырады.
finding	жаңалық	Табылған мәлімет зерттеушілерді таң қалдырды.
firm	фирма	Фирма жаңа қызметкерлерді жұмысқа алды.
flame	жалын	Кішкентай жалын пайда болды.
flash	жарқыл	Жарқыл аспанды жарықтандырды.
flexible	икемді	Кесте икемді.
float	қалқып жүру	Жапырақтар су бетінде қалқиды.
folding	жиналмалы	Ол жиналмалы орындық алып жүрді.
forgive	кешіру	Оны кешіре аласыз ба?
former	бұрынғы	Бұрынғы әкім оралды.
fortune	байлық	Олар үлкен байлықтан айырылды.
found	құру	Олар кішкентай қайырымдылық қорын құрды.
freedom	еркіндік	Еркіндік жауапкершілікті талап етеді.
frequency	жиілік	Қыста жиілік артты.
fully	толығымен	Қонақ үй толығымен брондалған.
fund	қор	Қор жергілікті мектептерді қолдайды.
fundamental	негізгі	Бұл жерде құрмет негізгі болып табылады.
funding	қаржыландыру	Қаржыландыру өткен жылы аяқталды.
furthermore	сонымен қатар	Сонымен қатар, шығындар өсіп жатыр.
gain	алу	Студенттер тез сенімділікке ие болады.
gang	банда	Көшені банда бақылап тұрды.
generate	өндіру	Күн панельдері қуат өндіреді.
genre	жанр	Комедия - оның сүйікті жанры.
govern	басқару	Заңдар мемлекеттік шығындарды реттейді.
grab	ұстай алу	Ол менің қолымнан ұстап алды.
gradually	біртіндеп	Ауырсыну біртіндеп басылды.
grand	зәулім	Қонақүйдің үлкен кіреберісі бар.
grant	грант	Жабдық үшін грант төленді.
guarantee	кепілдік	Билет кіруге кепілдік береді.
handle	шешу	Ол шағымды сабырлы түрде шешті.
harm	зиян	Темекі шегу денсаулыққа зиян тигізуі мүмкін.
harmful	зиянды	Бұл химиялық зат зиянды.
hearing	есту қабілеті	Оның есту қабілеті жақсарды.
heaven	жұмақ	Олар жоғарыда жұмақ бар деп елестетті.
heel	өкше	Оның өкшесі қатты ауырды.
hell	тозақ	Сапар нағыз тозақ болды.
hesitate	тартыну	Сұрауға ұялмаңыз.
hollow	қуыс	Ағаштың іші қуыс болды.
holy	қасиетті	Олар қасиетті орынға барды.
honour	намыс	Олар намыс үшін күресті.
household	үй шаруашылығы	Әрбір отбасы су алды.
housing	тұрғын үй	Тұрғын үй бағасы өсіп келеді.
humorous	күлкілі	Оның әңгімесі күлкілі болды.
humour	әзіл	Әзіл шиеленісті азайтуға көмектесті.
hunting	аңшылық	Бұл жерде аң аулауға тыйым салынған.
illustrate	мысал келтіру	Мысалдар ережені түсіндіреді.
illustration	иллюстрация	Суретте процесс көрсетілген.
imagination	қиял	Балалар өз қиялын еркін пайдаланады.
impatient	шыдамсыз	Жүргізушілер шыдамсыз болды.
imply	тұспалдау	Оның үнсіздігі келісімді білдіруі мүмкін.
impose	салу	Сот айыппұл салды.
impress	таң қалдыру	Оның батылдығы бәрін таң қалдырды.
impressed	тәнті болған	Мен оның жұмысына тәнті болдым.
inch	дюйм	Оны бір дюйм солға жылжытыңыз.
incident	оқиға	Бұл оқиға алаңдаушылық тудырды.
income	кіріс	Олардың табысы баяу өсті.
increasingly	барған сайын	Тұрғын үй барған сайын қымбаттап барады.
industrial	өнеркәсіптік	Қаланың өнеркәсіптік тамыры бар.
infection	инфекция	Инфекция тез таралды.
inform	хабарлау	Менеджерге хабарлаңыз.
initial	бастапқы	Бастапқы құны жоғары болды.
initially	бастапқыда	Бастапқыда оған ешкім сенбеді.
initiative	бастама	Ол жаңа бастама көтерді.
inner	ішкі	Ішкі есік құлыптаулы болды.
insight	түсінік	Есеп пайдалы түсінік береді.
insist	талап ету	Олар қауіпсіздік тексерулерін талап етеді.
inspire	шабыттандыру	Оның оқиғасы басқаларды шабыттандыруы мүмкін.
install	орнату	Олар жаңа жылытқыш орнатты.
instance	мысал	Бұл бір айқын мысал.
