source_headword	KN	example_KN
prosecutor	ಪ್ರಾಸಿಕ್ಯೂಟರ್ / ಸರ್ಕಾರಿ ವಕೀಲ	ಪ್ರಾಸಿಕ್ಯೂಟರ್ ಸಾಕ್ಷಿಯನ್ನು ಪ್ರಶ್ನಿಸಿದರು.
prospective	ನಿರೀಕ್ಷಿತ / ಭಾವಿ	ನಿರೀಕ್ಷಿತ ವಿದ್ಯಾರ್ಥಿಗಳು ಕ್ಯಾಂಪಸ್ ಅನ್ನು ವೀಕ್ಷಿಸಿದರು.
prosperity	ಸಮೃದ್ಧಿ	ವ್ಯಾಪಾರವು ಈ ಪ್ರದೇಶಕ್ಕೆ ಸಮೃದ್ಧಿಯನ್ನು ತಂದಿತು.
protective	ರಕ್ಷಣಾತ್ಮಕ	ಅವಳು ರಕ್ಷಣಾತ್ಮಕ ಕೈಗವಸುಗಳನ್ನು ಧರಿಸಿದ್ದಳು.
protocol	ಶಿಷ್ಟಾಚಾರ / ನಿಯಮಾವಳಿ	ಈ ನಿಯಮಾವಳಿಗೆ ಲಿಖಿತ ಅನುಮೋದನೆಯ ಅಗತ್ಯವಿದೆ.
province	ಪ್ರಾಂತ್ಯ	ಪ್ರಾಂತ್ಯವು ಸಾರಿಗೆಯಲ್ಲಿ ಹೂಡಿಕೆ ಮಾಡಿದೆ.
provincial	ಪ್ರಾಂತೀಯ	ಪ್ರಾಂತೀಯ ಅಧಿಕಾರಿಗಳು ಯೋಜನೆಯನ್ನು ಪ್ರಕಟಿಸಿದರು.
provision	ನಿಬಂಧನೆ / ಸೌಲಭ್ಯ	ಒಪ್ಪಂದವು ಸುರಕ್ಷತಾ ನಿಬಂಧನೆಯನ್ನು ಒಳಗೊಂಡಿದೆ.
provoke	ಪ್ರಚೋದಿಸು / ಕೆರಳಿಸು	ಈ ಭಾಷಣವು ಬಲವಾದ ಪ್ರತಿಕ್ರಿಯೆಗಳನ್ನು ಪ್ರಚೋದಿಸಬಹುದು.
psychiatric	ಮಾನಸಿಕ	ಆಸ್ಪತ್ರೆಯು ಮಾನಸಿಕ ಚಿಕಿತ್ಸಾ ಘಟಕವನ್ನು ತೆರೆಯಿತು.
pulse	ನಾಡಿ	ನರ್ಸ್ ಅವನ ನಾಡಿಯನ್ನು ಪರೀಕ್ಷಿಸಿದಳು.
pump	ಪಂಪು / ನೀರೆತ್ತುವ ಯಂತ್ರ	ಪಂಪು ನೀರನ್ನು ಮೇಲಕ್ಕೆ ಎತ್ತುತ್ತದೆ.
punch	ಪಂಚ್ / ಗುದ್ದು	ಅವನು ಕೋಪದಿಂದ ಗುದ್ದಿದನು.
query	ಪ್ರಶ್ನೆ / ಸಂದೇಹ	ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಬೆಂಬಲ ತಂಡಕ್ಕೆ ಕಳುಹಿಸಿ.
quest	ಅನ್ವೇಷಣೆ / ಹುಡುಕಾಟ	ನ್ಯಾಯಕ್ಕಾಗಿ ಅವರ ಅನ್ವೇಷಣೆ ಮುಂದುವರೆಯಿತು.
quota	ಕೋಟಾ / ಪಾಲು	ತಂಡವು ತನ್ನ ಮಾರಾಟದ ಕೋಟಾವನ್ನು ತಲುಪಿತು.
radar	ರಾಡಾರ್	ಚಂಡಮಾರುತವು ರಾಡಾರ್‌ನಲ್ಲಿ ಕಾಣಿಸಿಕೊಂಡಿತು.
radical	ಆಮೂಲಾಗ್ರ	ಗುಂಪು ಆಮೂಲಾಗ್ರ ಸುಧಾರಣೆಗಳನ್ನು ಪ್ರಸ್ತಾಪಿಸಿತು.
rage	ಆಕ್ರೋಶ / ತೀವ್ರ ಕೋಪ	ಅವನ ಆಕ್ರೋಶವು ಬೇಗನೆ ಕಡಿಮೆಯಾಯಿತು.
raid	ದಾಳಿ	ಪೊಲೀಸರು ಮುಂಜಾನೆ ದಾಳಿ ನಡೆಸಿದರು.
rally	ರ‍್ಯಾಲಿ / ಮೆರವಣಿಗೆ	ಬೆಂಬಲಿಗರು ಡೌನ್‌ಟೌನ್‌ನಲ್ಲಿ ನಡೆದ ರ‍್ಯಾಲಿಯಲ್ಲಿ ಸೇರಿಕೊಂಡರು.
ranking	ಶ್ರೇಯಾಂಕ / ರ‍್ಯಾಂಕಿಂಗ್	ವಿಶ್ವವಿದ್ಯಾಲಯವು ತನ್ನ ಶ್ರೇಯಾಂಕವನ್ನು ಸುಧಾರಿಸಿಕೊಂಡಿದೆ.
rape	ಅತ್ಯಾಚಾರ	ಅತ್ಯಾಚಾರ ಪ್ರಕರಣಗಳಿಗೆ ಎಚ್ಚರಿಕೆಯ ತನಿಖೆಯ ಅಗತ್ಯವಿದೆ.
ratio	ಅನುಪಾತ	ತರಗತಿಯು ಕಡಿಮೆ ಶಿಕ್ಷಕರ ಅನುಪಾತವನ್ನು ಹೊಂದಿದೆ.
rational	ತರ್ಕಬದ್ಧ	ಅವಳ ನಿರ್ಧಾರವು ತರ್ಕಬದ್ಧವಾಗಿತ್ತು.
ray	ಕಿರಣ	ಸೂರ್ಯನ ಕಿರಣವೊಂದು ಪ್ರವೇಶಿಸಿತು.
readily	ಸುಲಭವಾಗಿ / ಸಿದ್ಧವಾಗಿ	ಅವನು ಸುಲಭವಾಗಿ ಆ ಪ್ರಸ್ತಾಪವನ್ನು ಒಪ್ಪಿಕೊಂಡನು.
realization	ಅರಿವು / ಸಾಕ್ಷಾತ್ಕಾರ	ಆ ಅರಿವು ಅವಳ ಯೋಜನೆಗಳನ್ನು ಬದಲಾಯಿಸಿತು.
realm	ಕ್ಷೇತ್ರ / ಸಾಮ್ರಾಜ್ಯ	ಈ ಪ್ರಶ್ನೆಯು ಮತ್ತೊಂದು ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದೆ.
rear	ಹಿಂದಿನ	ಇಂದು ಹಿಂದಿನ ಪ್ರವೇಶದ್ವಾರವನ್ನು ಬಳಸಿ.
reasoning	ತಾರ್ಕಿಕತೆ / ಕಾರಣ ನೀಡುವಿಕೆ	ಅವನ ತಾರ್ಕಿಕತೆಯು ಸ್ಪಷ್ಟವಾಗಿತ್ತು.
reassure	ಧೈರ್ಯ ತುಂಬು / ಭರವಸೆ ನೀಡು	ವೈದ್ಯರು ಅವಳಿಗೆ ಧೈರ್ಯ ತುಂಬಲು ಪ್ರಯತ್ನಿಸಿದರು.
rebel	ಬಂಡುಕೋರ	ಬಂಡುಕೋರ ನಾಯಕನು ಸೆರೆಸಿಕ್ಕದೆ ತಪ್ಪಿಸಿಕೊಂಡನು.
rebellion	ದಂಗೆ / ಬಂಡಾಯ	ಮಾತುಕತೆಗಳ ನಂತರ ದಂಗೆ ಕೊನೆಗೊಂಡಿತು.
recipient	ಸ್ವೀಕರಿಸುವವರು	ಸ್ವೀಕರಿಸುವವರು ಫಾರ್ಮ್‌ಗೆ ಸಹಿ ಹಾಕಿದರು.
reconstruction	ಪುನರ್ನಿರ್ಮಾಣ	ಪ್ರವಾಹದ ನಂತರ ಪುನರ್ನಿರ್ಮಾಣ ಪ್ರಾರಂಭವಾಯಿತು.
recount1	ವಿವರಿಸು / ಮರುಹೇಳು	ಅವಳು ಘಟನೆಗಳನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ವಿವರಿಸಬಲ್ಲಳು.
referendum	ಜನಮತಗಣನೆ	ಜನಮತಗಣನೆಯು ದೇಶವನ್ನು ವಿಭಜಿಸಿತು.
reflection	ಪ್ರತಿಬಿಂಬ / ಆಲೋಚನೆ	ಪ್ರಬಂಧಕ್ಕೆ ಆಳವಾದ ಆಲೋಚನೆಯ ಅಗತ್ಯವಿತ್ತು.
reform	ಸುಧಾರಣೆ	ಸುಧಾರಣೆಯು ಸಾರ್ವಜನಿಕ ಸೇವೆಗಳನ್ನು ಸುಧಾರಿಸಿತು.
refuge	ಆಶ್ರಯ	ಕುಟುಂಬವು ವಿದೇಶದಲ್ಲಿ ಆಶ್ರಯ ಪಡೆದುಕೊಂಡಿತು.
refusal	ನಿರಾಕರಣೆ	ಅವಳ ನಿರಾಕರಣೆಯು ಸಮಿತಿಯನ್ನು ಆಶ್ಚರ್ಯಗೊಳಿಸಿತು.
regain	ಮರಳಿ ಪಡೆ / ಮರಳಿ ಗಳಿಸು	ಅವನು ನಂಬಿಕೆಯನ್ನು ಮರಳಿ ಪಡೆಯಲು ಕಷ್ಟಪಟ್ಟು ಕೆಲಸ ಮಾಡಿದನು.
regardless	ಏನೇ ಇರಲಿ / ಲೆಕ್ಕಿಸದೆ	ಟೀಕೆಗಳನ್ನು ಲೆಕ್ಕಿಸದೆ ಅವರು ಮುಂದುವರಿದರು.
regime	ಆಡಳಿತ / ಆಡಳಿತ ವ್ಯವಸ್ಥೆ	ಆಡಳಿತವು ವಾಕ್ ಸ್ವಾತಂತ್ರ್ಯವನ್ನು ನಿರ್ಬಂಧಿಸಿತು.
regulator	ನಿಯಂತ್ರಕ	ನಿಯಂತ್ರಕವು ಕಂಪನಿಗೆ ದಂಡ ವಿಧಿಸಿತು.
regulatory	ನಿಯಂತ್ರಕ	ನಿಯಂತ್ರಕ ಅನುಮೋದನೆಯು ತಿಂಗಳುಗಳನ್ನು ತೆಗೆದುಕೊಂಡಿತು.
rehabilitation	ಪುನರ್ವಸತಿ	ಪುನರ್ವಸತಿಯು ಅವನಿಗೆ ಮತ್ತೆ ನಡೆಯಲು ಸಹಾಯ ಮಾಡಿತು.
reign	ಆಳ್ವಿಕೆ	ರಾಜನ ಆಳ್ವಿಕೆಯು ದಶಕಗಳವರೆಗೆ ನಡೆಯಿತು.
rejection	ತಿರಸ್ಕಾರ	ತಿರಸ್ಕಾರವು ಅವಳ ಆತ್ಮವಿಶ್ವಾಸವನ್ನು ಕುಗ್ಗಿಸಿತು.
relevance	ಪ್ರಸ್ತುತತೆ	ಈ ಡೇಟಾ ಸೀಮಿತ ಪ್ರಸ್ತುತತೆಯನ್ನು ಹೊಂದಿದೆ.
reliability	ವಿಶ್ವಾಸಾರ್ಹತೆ	ತುರ್ತು ವ್ಯವಸ್ಥೆಗಳಲ್ಲಿ ವಿಶ್ವಾಸಾರ್ಹತೆ ಮುಖ್ಯವಾಗಿದೆ.
reluctant	ಹಿಂಜರಿಯುವ / ಇಷ್ಟವಿಲ್ಲದ	ಅವನು ಮಾತನಾಡಲು ಹಿಂಜರಿದನು.
remainder	ಉಳಿದದ್ದು / ಶೇಷ	ಉಳಿದದ್ದು ದತ್ತಿ ಸಂಸ್ಥೆಗೆ ಹೋಯಿತು.
remains	ಅವಶೇಷಗಳು	ಅವಶೇಷಗಳನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಪರೀಕ್ಷಿಸಲಾಯಿತು.
remedy	ಪರಿಹಾರ	ಕಾನೂನು ಪರಿಹಾರವನ್ನು ಒದಗಿಸುತ್ತದೆ.
reminder	ಜ್ಞಾಪನೆ	ಇಮೇಲ್ ಒಂದು ಉಪಯುಕ್ತ ಜ್ಞಾಪನೆಯಾಗಿತ್ತು.
removal	ತೆಗೆದುಹಾಕುವಿಕೆ	ಅಡೆತಡೆಗಳನ್ನು ತೆಗೆದುಹಾಕುವುದು ವ್ಯಾಪಾರಕ್ಕೆ ಸಹಾಯ ಮಾಡಿತು.
render	ಒದಗಿಸು / ಮಾಡು	ಆ ತಪ್ಪು ಒಪ್ಪಂದವನ್ನು ಅಮಾನ್ಯಗೊಳಿಸಿತು.
renew	ನವೀಕರಿಸು	ಶೀಘ್ರದಲ್ಲೇ ನಿಮ್ಮ ಪಾಸ್‌ಪೋರ್ಟ್ ಅನ್ನು ನವೀಕರಿಸಿ.
renowned	ಪ್ರಸಿದ್ಧ	ಅವಳು ತನ್ನ ಸಂಶೋಧನೆಗೆ ಪ್ರಸಿದ್ಧಳಾಗಿದ್ದಾಳೆ.
rental	ಬಾಡಿಗೆ	ಬಾಡಿಗೆಯು ವಿಮೆಯನ್ನು ಒಳಗೊಂಡಿದೆ.
replacement	ಬದಲಿ / ಬದಲಾವಣೆ	ಬದಲಿ ಭಾಗವು ಇಂದು ಬಂದಿದೆ.
reportedly	ವರದಿಗಳ ಪ್ರಕಾರ	ವರದಿಗಳ ಪ್ರಕಾರ ಸಚಿವರು ನಿನ್ನೆ ರಾಜೀನಾಮೆ ನೀಡಿದ್ದಾರೆ.
representation	ಪ್ರಾತಿನಿಧ್ಯ	ನ್ಯಾಯಯುತ ಪ್ರಾತಿನಿಧ್ಯವು ಮುಖ್ಯವಾಗಿ ಉಳಿದಿದೆ.
reproduce	ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡು / ಮರುಸೃಷ್ಟಿಸು	ಈ ಸಸ್ಯಗಳು ಬೇಗನೆ ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುತ್ತವೆ.
reproduction	ಮರುಉತ್ಪಾದನೆ / ಸಂತಾನೋತ್ಪತ್ತಿ	ಡಿಜಿಟಲ್ ಮರುಉತ್ಪಾದನೆಯು ಪ್ರವೇಶವನ್ನು ಸುಧಾರಿಸಿತು.
republic	ಗಣರಾಜ್ಯ	ಗಣರಾಜ್ಯವು ಚುನಾವಣೆಗಳನ್ನು ನಡೆಸಿತು.
resemble	ಹೋಲು / ಒಂದೇ ರೀತಿ ಇರು	ಎರಡು ವಿನ್ಯಾಸಗಳು ಪರಸ್ಪರ ನಿಕಟವಾಗಿ ಹೋಲುತ್ತವೆ.
reside	ವಾಸಿಸು	ಅವರು ಗಡಿಯ ಬಳಿ ವಾಸಿಸುತ್ತಾರೆ.
residence	ನಿವಾಸ	ಅವನ ಅಧಿಕೃತ ನಿವಾಸಕ್ಕೆ ಕಾವಲಿದೆ.
residential	ವಸತಿ	ಆ ಪ್ರದೇಶವು ಹೆಚ್ಚಾಗಿ ವಸತಿ ಪ್ರದೇಶವಾಗಿದೆ.
residue	ಶೇಷ / ಉಳಿಕೆ	ಕ್ಲೀನರ್ ಜಿಗುಟಾದ ಶೇಷವನ್ನು ಬಿಟ್ಟಿದೆ.
resignation	ರಾಜೀನಾಮೆ	ಅವಳ ರಾಜೀನಾಮೆಯು ಮಂಡಳಿಯನ್ನು ಆಘಾತಗೊಳಿಸಿತು.
resistance	ಪ್ರತಿರೋಧ	ಬದಲಾವಣೆಯ ಬಗ್ಗೆ ಪ್ರತಿರೋಧವು ಪ್ರಬಲವಾಗಿತ್ತು.
respective	ಆಯಾ / ಸಂಬಂಧಿತ	ಅವರು ತಮ್ಮ ಆಯಾ ಕಛೇರಿಗಳಿಗೆ ಹಿಂದಿರುಗಿದರು.
respectively	ಕ್ರಮವಾಗಿ	ಅಂಕಗಳು ಕ್ರಮವಾಗಿ 80 ಮತ್ತು 90 ಆಗಿದ್ದವು.
restoration	ಜೀರ್ಣೋದ್ಧಾರ / ಪುನಃಸ್ಥಾಪನೆ	ಕಟ್ಟಡದ ಜೀರ್ಣೋದ್ಧಾರವು ವರ್ಷಗಳನ್ನು ತೆಗೆದುಕೊಂಡಿತು.
restraint	ಸಂಯಮ / ನಿಯಂತ್ರಣ	ಪೊಲೀಸರು ಸಂಯಮ ಪ್ರದರ್ಶಿಸಿದರು.
resume	ಪುನರಾರಂಭಿಸು	ತರಗತಿಗಳು ಮುಂದಿನ ವಾರ ಪುನರಾರಂಭಗೊಳ್ಳುತ್ತವೆ.
retreat	ಹಿಮ್ಮೆಟ್ಟು / ಪಲಾಯನ	ಸೈನ್ಯವು ಹಿಮ್ಮೆಟ್ಟಲು ಪ್ರಾರಂಭಿಸಿತು.
retrieve	ಹಿಂಪಡೆ / ಮರಳಿ ಪಡೆ	ಅವಳು ಫೈಲ್ ಅನ್ನು ಹಿಂಪಡೆದಳು.
revelation	ಬಹಿರಂಗ	ಈ ಬಹಿರಂಗಪಡಿಸುವಿಕೆಯು ಅವನ ಖ್ಯಾತಿಯನ್ನು ಹಾಳುಮಾಡಿತು.
revenge	ಸೇಡು	ಅವನು ಅವಮಾನಕ್ಕಾಗಿ ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳಲು ಬಯಸಿದನು.
reverse	ಹಿಮ್ಮುಖ / ರದ್ದುಗೊಳಿಸು	ನ್ಯಾಯಾಲಯವು ನಿರ್ಧಾರವನ್ನು ರದ್ದುಗೊಳಿಸಿತು.
revival	ಪುನರುಜ್ಜೀವನ	ಪಟ್ಟಣವು ಆರ್ಥಿಕ ಪುನರುಜ್ಜೀವನವನ್ನು ಕಂಡಿತು.
revive	ಪುನರುಜ್ಜೀವನಗೊಳಿಸು	ಹಬ್ಬವು ಸ್ಥಳೀಯ ಸಂಪ್ರದಾಯಗಳನ್ನು ಪುನರುಜ್ಜೀವನಗೊಳಿಸಲು ಸಹಾಯ ಮಾಡಿತು.
revolutionary	ಕ್ರಾಂತಿಕಾರಿ	ಆವಿಷ್ಕಾರವು ಕ್ರಾಂತಿಕಾರಿಯಾಗಿತ್ತು.
rhetoric	ವಾಕ್ಚಾತುರ್ಯ / ಶಬ್ದಾಡಂಬರ	ಅವನ ವಾಕ್ಚಾತುರ್ಯವು ಆಕ್ರಮಣಕಾರಿಯಾಗಿ ತೋರಿತು.
rifle	ರೈಫಲ್ / ಬಂದೂಕು	ರೈಫಲ್ ಅನ್ನು ಸುರಕ್ಷಿತವಾಗಿ ಸಂಗ್ರಹಿಸಲಾಗಿದೆ.
riot	ಗಲಭೆ	ಗಲಭೆಯು ಹಲವಾರು ಗಂಟೆಗಳ ಕಾಲ ನಡೆಯಿತು.
rip	ಹರಿ	ಕಾಗದವನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಹರಿಯಿರಿ.
ritual	ಆಚರಣೆ / ವಿಧಿ	ಈ ಆಚರಣೆಯು ಸುಗ್ಗಿಯನ್ನು ಸೂಚಿಸುತ್ತದೆ.
robust	ದೃಢವಾದ	ವ್ಯವಸ್ಥೆಯು ದೃಢವಾಗಿದೆ.
rock	ನಡುಗಿಸು / ಅಲುಗಾಡಿಸು	ಸ್ಫೋಟವು ಹಳ್ಳಿಯನ್ನು ನಡುಗಿಸಿತು.
rod	ಕಂಬಿ / ದಂಡ	ಪರದೆಯು ಕಂಬಿಗೆ ನೇತಾಡುತ್ತದೆ.
rotate	ತಿರುಗಿಸು	ಹ್ಯಾಂಡಲ್ ಅನ್ನು ನಿಧಾನವಾಗಿ ತಿರುಗಿಸಿ.
rotation	ತಿರುಗುವಿಕೆ / ಸರದಿ	ಬೆಳೆ ಸರದಿಯು ಮಣ್ಣನ್ನು ರಕ್ಷಿಸುತ್ತದೆ.
ruling	ತೀರ್ಪು	ನ್ಯಾಯಾಲಯವು ತೀರ್ಪು ನೀಡಿತು.
rumour	ವದಂತಿ	ವದಂತಿಯು ವೇಗವಾಗಿ ಹರಡಿತು.
sack	ಕೆಲಸದಿಂದ ತೆಗೆದುಹಾಕು	ಮಂಡಳಿಯು ತರಬೇತುದಾರನನ್ನು ಕೆಲಸದಿಂದ ತೆಗೆದುಹಾಕಬಹುದು.
sacred	ಪವಿತ್ರ	ದೇವಾಲಯವು ಪವಿತ್ರವಾಗಿದೆ.
sacrifice	ತ್ಯಾಗ	ಪೋಷಕರು ಆಗಾಗ್ಗೆ ತ್ಯಾಗ ಮಾಡುತ್ತಾರೆ.
saint	ಸಂತ / ಸಾಧು	ಚರ್ಚ್ ಸ್ಥಳೀಯ ಸಂತರನ್ನು ಗೌರವಿಸುತ್ತದೆ.
sake	ಸಲುವಾಗಿ / ಖಾತಿರಿಗಾಗಿ	ಅವನು ಅವಳ ಸಲುವಾಗಿ ಉಳಿದುಕೊಂಡನು.
sanction	ನಿರ್ಬಂಧ / ಮಂಜೂರಾತಿ	ನಿರ್ಬಂಧವು ಅಂತರರಾಷ್ಟ್ರೀಯ ವ್ಯಾಪಾರದ ಮೇಲೆ ಪ್ರಭಾವ ಬೀರಿತು.
say	ಅಭಿಪ್ರಾಯ / ಮಾತು	ವೇಳಾಪಟ್ಟಿಯಲ್ಲಿ ಉದ್ಯೋಗಿಗಳಿಗೆ ತಮ್ಮ ಅಭಿಪ್ರಾಯವನ್ನು ತಿಳಿಸುವ ಅವಕಾಶವಿತ್ತು.
scattered	ಹರಡಿದ / ಚದುರಿದ	ಚದುರಿದ ಕಾಗದಗಳು ಮೇಜಿನ ಮೇಲೆ ಹರಡಿದ್ದವು.
sceptical	ಸಂಶಯಾಸ್ಪದ	ಅವಳು ಆ ಹೇಳಿಕೆಯ ಬಗ್ಗೆ ಸಂಶಯದಿಂದಲೇ ಇದ್ದಳು.
scope	ವ್ಯಾಪ್ತಿ	ಯೋಜನೆಯ ವ್ಯಾಪ್ತಿಯು ವಿಸ್ತಾರವಾಯಿತು.
screw	ತಿರುಪು	ತಿರುಪನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಬಿಗಿಗೊಳಿಸಿ.
scrutiny	ಪರಿಶೀಲನೆ	ಒಪ್ಪಂದವು ಸಾರ್ವಜನಿಕ ಪರಿಶೀಲನೆಯನ್ನು ಎದುರಿಸಿತು.
seal	ಮೊಹರು ಮಾಡು / ಮುಚ್ಚು	ಪೋಸ್ಟ್ ಮಾಡುವ ಮೊದಲು ಲಕೋಟೆಯನ್ನು ಮುಚ್ಚಿ.
secular	ಜಾತ್ಯತೀತ	ಶಾಲೆಯು ಜಾತ್ಯತೀತ ಪಠ್ಯಕ್ರಮವನ್ನು ಅನುಸರಿಸುತ್ತದೆ.
seemingly	ಮೇಲ್ನೋಟಕ್ಕೆ	ಕೆಲಸವು ಮೇಲ್ನೋಟಕ್ಕೆ ಸರಳವಾಗಿತ್ತು.
segment	ವಿಭಾಗ / ಭಾಗ	ಅಂತಿಮ ವಿಭಾಗವು ಚಿಕ್ಕದಾಗಿತ್ತು.
seize	ವಶಪಡಿಸಿಕೊ	ಪೊಲೀಸರು ದಾಖಲೆಗಳನ್ನು ವಶಪಡಿಸಿಕೊಂಡರು.
seldom	ಅಪರೂಪಕ್ಕೆ / ಕ್ವಚಿತ್ತಾಗಿ	ಅವಳು ತರಗತಿಯನ್ನು ತಪ್ಪಿಸಿಕೊಳ್ಳುವುದು ಬಹಳ ಅಪರೂಪ.
selective	ಆಯ್ದ / ಕಟ್ಟುನಿಟ್ಟಿನ	ಈ ಕಾರ್ಯಕ್ರಮದ ಆಯ್ಕೆಯು ಬಹಳ ಕಟ್ಟುನಿಟ್ಟಾಗಿದೆ.
senator	ಸೆನೆಟರ್	ಸೆನೆಟರ್ ಮಸೂದೆಯನ್ನು ಬೆಂಬಲಿಸಿದರು.
sensation	ಸಂವೇದನೆ / ಸಂಚಲನ	ಆವಿಷ್ಕಾರವು ಸಂಚಲನವನ್ನು ಉಂಟುಮಾಡಿತು.
sensitivity	ಸೂಕ್ಷ್ಮತೆ	ಈ ಸಮಸ್ಯೆಗೆ ಸೂಕ್ಷ್ಮತೆಯ ಅಗತ್ಯವಿದೆ.
sentiment	ಭಾವನೆ / ಅಭಿಪ್ರಾಯ	ಸಾರ್ವಜನಿಕರ ಭಾವನೆ ವೇಗವಾಗಿ ಬದಲಾಯಿತು.
separation	ಪ್ರತ್ಯೇಕತೆ / ಅಗಲುವಿಕೆ	ಅಗಲುವಿಕೆಯು ಕಷ್ಟಕರವಾಗಿತ್ತು.
serial	ಸರಣಿ / ಕ್ರಮ	ಸರಣಿ ಸಂಖ್ಯೆ ಕಾಣೆಯಾಗಿದೆ.
settlement	ಒಪ್ಪಂದ / ಇತ್ಯರ್ಥ	ಇತ್ಯರ್ಥವು ವಿವಾದವನ್ನು ಕೊನೆಗೊಳಿಸಿತು.
