source_headword	HY	example_HY
viewer	հեռուստադիտող	Մի հեռուստադիտող հարց տվեց։
violent	դաժան	Ֆիլմը չափազանց դաժան էր։
volunteer	կամավոր	Ես որպես կամավոր աշխատում եմ գրադարանում։
vote	քվեարկել	Հիշեք վաղը քվեարկել։
warn	նախազգուշացնել	Ես փորձեցի նախազգուշացնել նրան։
warning	նախազգուշացում	Նախազգուշացումը հայտնվեց էկրանին։
waste	վատնել	Մի վատնեք մաքուր ջուրը։
weapon	զենք	Դանակը զենք դարձավ։
weigh	կշռել	Ուշադիր կշռեք ալյուրը։
western	արևմտյան	Նրանք դիտեցին արևմտյան ֆիլմ։
whatever	ինչ որ	Ընտրեք այն, ինչ ձեզ դուր է գալիս։
whenever	երբ որ	Զանգահարեք, երբ օգնության կարիք ունենաք։
whether	արդյոք	Ես չգիտեմ՝ արդյոք նա համաձայն է։
wing	թև	Թռչունը վնասեց իր մի թևը։
within	ընթացքում	Խնդրում եմ պատասխանել երկու օրվա ընթացքում։
wonder	մտածել	Ես մտածում եմ, թե ինչ պատահեց։
wool	բուրդ	Այս վերարկուն բրդից է պատրաստված։
worldwide	ամբողջ աշխարհում	Երգը հայտնի դարձավ ամբողջ աշխարհում։
worth	արժե	Այս գիրքն արժե կարդալ։
written	գրավոր	Խնդրում եմ ուղարկել գրավոր հրահանգներ։
yard	բակ	Երեխաները խաղում էին բակում։
youth	երիտասարդություն	Երիտասարդական ակումբներն աջակցում են տեղացի դեռահասներին։
