source_headword	TH	example_TH
knock	เคาะ;ชน	เคาะก่อนเข้า.
knowledge	ความรู้	ความรู้เพิ่มขึ้นจากการฝึกฝน.
lab	ห้องแล็บ;ห้องทดลอง	ห้องแล็บปิดแล้ว.
lady	ผู้หญิง;สุภาพสตรี	ผู้หญิงคนนั้นยิ้มให้เรา.
lake	ทะเลสาบ	ทะเลสาบสงบ.
lamp	โคมไฟ	เปิดโคมไฟ.
laptop	แล็ปท็อป;คอมพิวเตอร์พกพา	แล็ปท็อปของฉันใหม่.
last1 (taking time)	ใช้เวลา;กินเวลา	ภาพยนตร์กินเวลาสองชั่วโมง.
laughter	เสียงหัวเราะ	เราได้ยินเสียงหัวเราะข้างนอก.
law	กฎหมาย	กฎหมายเปลี่ยนเมื่อวาน.
lawyer	ทนายความ	ทนายความโทรหาฉัน.
lazy	ขี้เกียจ	อย่าขี้เกียจ.
lead1	นำ;เป็นผู้นำ	ผู้นำที่ดีนำด้วยตัวอย่าง.
leader	ผู้นำ	เธอเป็นหัวหน้าทีม.
learning	การเรียนรู้	การเรียนรู้ต้องใช้เวลา.
least	น้อยที่สุด	เลือกอันที่แพงน้อยที่สุด.
lecture	การบรรยาย	การบรรยายเริ่มตอนสิบโมง.
lemon	มะนาว	เติมมะนาวลงในชา.
lend	ให้ยืม	คุณให้ฉันยืมห้าดอลลาร์ได้ไหม?
less	น้อยลง	กินน้ำตาลให้น้อยลง.
level	ระดับ	ระดับนี้ง่าย.
lifestyle	วิถีชีวิต	เขามีวิถีชีวิตที่ดีต่อสุขภาพ.
lift	ยก;ลิฟต์	ยกกล่องอย่างระมัดระวัง.
light	จุดไฟ;จุด	จุดเทียนอย่างระมัดระวัง.
light (not heavy)	เบา	กระเป๋าใบนี้เบา.
likely	มีแนวโน้ม;น่าจะ	ฝนน่าจะตกพรุ่งนี้.
link	ลิงก์;ความเชื่อมโยง	ส่งลิงก์ให้ฉัน.
listener	ผู้ฟัง	เป็นผู้ฟังที่ดี.
lock	ล็อก;กุญแจ	ล็อกประตู.
lorry	รถบรรทุก	รถบรรทุกขนกล่อง.
lost	หลงทาง;หาย	เราหลงทาง.
loud	ดัง	เพลงดัง.
loudly	อย่างดัง	กรุณาอย่าพูดดัง.
lovely	น่ารัก;สวยงาม	สวนนี้น่ารักมาก!
low	ต่ำ	เก้าอี้ตัวนี้ต่ำ.
luck	โชค	ขอให้โชคดีกับการสอบ.
lucky	โชคดี	วันนี้คุณโชคดี.
mail	จดหมาย;ไปรษณีย์	ฉันได้รับจดหมายเช้านี้.
major	สำคัญ;ใหญ่	นี่คือปัญหาสำคัญ.
male	เพศผู้;ชาย	นกตัวผู้มีสีสด.
manage	จัดการ;ทำได้	คุณจัดการงานนี้ได้ไหม?
manager	ผู้จัดการ	ผู้จัดการยุ่ง.
manner	ท่าทาง;วิธี	พูดด้วยท่าทางสุภาพ.
mark	ทำเครื่องหมาย;คะแนน	ทำเครื่องหมายคำตอบให้ชัดเจน.
marry	แต่งงาน	พวกเขาจะแต่งงานในเดือนมิถุนายน.
material	วัสดุ;เนื้อผ้า	วัสดุนี้รู้สึกนุ่ม.
mathematics	คณิตศาสตร์	คณิตศาสตร์เป็นวิชาที่ฉันชอบ.
maths	คณิตศาสตร์	คณิตศาสตร์ยากสำหรับฉัน.
matter	เรื่อง;สำคัญ	เรื่องนั้นไม่สำคัญ.
may modal	อาจ;ได้รับอนุญาต	คุณออกไปได้ตอนนี้.
media	สื่อ	สื่อรายงานเรื่องนี้.
medical	ทางการแพทย์	เธอต้องการความช่วยเหลือทางการแพทย์.
medicine	ยา	กินยานี้หลังอาหารกลางวัน.
memory	ความจำ;ความทรงจำ	ความจำของฉันดี.
mention	พูดถึง;กล่าวถึง	อย่าพูดถึงชื่อฉัน.
metal	โลหะ	ประตูรั้วเป็นโลหะ.
method	วิธี;วิธีการ	วิธีนี้ใช้ได้ดี.
middle	ตรงกลาง;กลาง	ยืนตรงกลาง.
might modal	อาจจะ	ฝนอาจจะตกทีหลัง.
mind	ใจ;ความคิด	ฉันเปลี่ยนใจ.
mine (belongs to me)	ของฉัน	หนังสือเล่มนี้เป็นของฉัน.
mirror	กระจก	มองในกระจก.
missing	หาย;สูญหาย	กุญแจของฉันหาย.
mobile	โทรศัพท์มือถือ	โทรศัพท์มือถือของฉันอยู่บนโต๊ะ.
monkey	ลิง	ลิงปีนต้นไม้.
moon	ดวงจันทร์	ดวงจันทร์สว่าง.
mostly	ส่วนใหญ่	ชั้นเรียนส่วนใหญ่เงียบ.
motorcycle	รถจักรยานยนต์	เขาขี่รถจักรยานยนต์.
movement	การเคลื่อนไหว	ฉันเห็นการเคลื่อนไหวในต้นไม้.
musical	เกี่ยวกับดนตรี;ละครเพลง	นี่คือภาพยนตร์เพลง.
musician	นักดนตรี	นักดนตรีเล่นกีตาร์.
myself	ตัวฉันเอง	ฉันทำสิ่งนี้เอง.
narrow	แคบ	ถนนแคบ.
national	แห่งชาติ;ระดับชาติ	วันนี้เป็นวันหยุดแห่งชาติ.
nature	ธรรมชาติ	ฉันรักธรรมชาติ.
nearly	เกือบ	เราเกือบถึงแล้ว.
necessary	จำเป็น	สิ่งนี้จำเป็นไหม?
neck	คอ	คอของฉันเจ็บ.
neither	ไม่ทั้งสอง	คำตอบทั้งสองไม่ถูก.
nervous	ประหม่า;กังวล	เธอรู้สึกประหม่า.
network	เครือข่าย	เครือข่ายล่ม.
noise	เสียงรบกวน	ฉันได้ยินเสียงดัง.
noisy	เสียงดัง;หนวกหู	ถนนเสียงดัง.
none	ไม่มีเลย	ไม่มีใครมา.
normal	ปกติ	สิ่งนี้ปกติ.
normally	โดยปกติ	ปกติฉันตื่นเช้า.
notice	สังเกต;ประกาศ	คุณสังเกตป้ายไหม?
novel	นวนิยาย	เธอเขียนนวนิยาย.
nowhere	ไม่มีที่ไหน	ไม่มีที่ให้นั่ง.
nut	ถั่ว;เมล็ดแข็ง	ถั่วนี้แข็ง.
ocean	มหาสมุทร	มหาสมุทรลึก.
offer	เสนอ;ข้อเสนอ	ฉันยอมรับข้อเสนอ.
officer	เจ้าหน้าที่;นายทหาร	เจ้าหน้าที่ตรวจตั๋วของฉัน.
oil	น้ำมัน	เติมน้ำมันลงในกระทะ.
onto	ขึ้นไปบน;ลงบน	วางมันบนชั้น.
opportunity	โอกาส	นี่คือโอกาสที่ดี.
option	ตัวเลือก	เลือกตัวเลือกที่ดีที่สุด.
ordinary	ธรรมดา	มันเป็นวันธรรมดา.
organization	องค์กร	องค์กรนี้ช่วยนักเรียน.
organize	จัดระเบียบ;จัดงาน	กรุณาจัดระเบียบไฟล์.
original	ดั้งเดิม;ต้นฉบับ	เก็บใบเสร็จต้นฉบับไว้.
ourselves	ตัวเราเอง	เราทำอาหารเย็นเอง.
oven	เตาอบ	เตาอบร้อน.
owner	เจ้าของ	เจ้าของเปิดร้าน.
pack	จัดกระเป๋า;บรรจุ	จัดกระเป๋าของคุณตอนนี้.
pain	ความเจ็บปวด	ฉันรู้สึกปวดหลัง.
painter	จิตรกร;ช่างทาสี	ช่างทาสีทำผนังเสร็จ.
palace	พระราชวัง	พระราชวังเก่า.
pants	กางเกง	กางเกงตัวนี้ยาวเกินไป.
parking	การจอดรถ;ที่จอดรถ	การจอดรถที่นี่ยาก.
particular	เฉพาะ;เป็นพิเศษ	ฉันต้องการหนังสือเล่มหนึ่งโดยเฉพาะ.
pass	ส่ง;ผ่าน	ส่งเกลือให้ฉัน.
passenger	ผู้โดยสาร	ผู้โดยสารแต่ละคนต้องมีตั๋ว.
patient	ผู้ป่วย;อดทน	อดทนกับเด็กๆ.
pattern	ลวดลาย;แบบแผน	ลวดลายนี้ง่าย.
peace	สันติภาพ;ความสงบ	เราทุกคนต้องการสันติภาพ.
penny	เหรียญเพนนี;เหรียญเล็ก	ฉันพบเหรียญเล็ก.
per	ต่อ;ต่อหนึ่ง	ตั๋วราคาสิบดอลลาร์ต่อคน.
per cent	เปอร์เซ็นต์	ห้าเปอร์เซ็นต์เป็นจำนวนน้อย.
perform	แสดง;แสดงดนตรี	วงดนตรีจะแสดงคืนนี้.
perhaps	บางที;อาจจะ	บางทีเธออยู่ที่บ้าน.
permission	การอนุญาต	ขออนุญาตก่อน.
personality	บุคลิกภาพ	เขามีบุคลิกเป็นมิตร.
pet	สัตว์เลี้ยง	สัตว์เลี้ยงของฉันคือแมว.
petrol	น้ำมันเบนซิน	รถคันนี้ต้องการน้ำมันเบนซิน.
physical	ทางกายภาพ;ทางร่างกาย	การออกกำลังกายช่วยสุขภาพ.
physics	ฟิสิกส์	ฟิสิกส์ยาก.
pick	เลือก;เก็บ	เลือกการ์ดหนึ่งใบ.
pilot	นักบิน	นักบินพูดชัดเจน.
planet	ดาวเคราะห์	โลกเป็นดาวเคราะห์.
plastic	พลาสติก	ขวดนี้เป็นพลาสติก.
plate	จาน	วางอาหารบนจาน.
platform	ชานชาลา;แพลตฟอร์ม	รอที่ชานชาลาสอง.
pleased	ยินดี;พอใจ	ฉันยินดีที่ได้พบคุณ.
pocket	กระเป๋าเสื้อ;กระเป๋ากางเกง	ตั๋วอยู่ในกระเป๋าของฉัน.
polite	สุภาพ	สุภาพกับทุกคน.
pollution	มลพิษ	มลพิษทำร้ายมหาสมุทร.
pop	เพลงป็อป	ฉันชอบเพลงป็อป.
population	ประชากร	ประชากรกำลังเพิ่มขึ้น.
position	ตำแหน่ง;ท่าทาง	เปลี่ยนท่าทางของคุณ.
possession	ทรัพย์สิน;การครอบครอง	แหวนวงนี้เป็นทรัพย์สินของฉัน.
possibility	ความเป็นไปได้	มีความเป็นไปได้ที่จะมีฝน.
poster	โปสเตอร์	ติดโปสเตอร์บนผนัง.
power	พลัง;ไฟฟ้า	คอมพิวเตอร์ต้องการไฟฟ้า.
predict	ทำนาย;คาดการณ์	เราไม่สามารถคาดการณ์อากาศได้.
president	ประธานาธิบดี;ประธาน	ประธานาธิบดีกล่าวสุนทรพจน์.
prevent	ป้องกัน	ล้างมือเพื่อป้องกันโรค.
print	พิมพ์	พิมพ์เอกสาร.
printer	เครื่องพิมพ์	เครื่องพิมพ์เสีย.
prison	คุก;เรือนจำ	เขาเข้าคุก.
prize	รางวัล	เธอได้รับรางวัล.
process	กระบวนการ	กระบวนการนี้ใช้เวลา.
produce	ผลิต;สร้าง	ฟาร์มผลิตอาหาร.
professional	มืออาชีพ	เธอเป็นนักเต้นมืออาชีพ.
professor	ศาสตราจารย์	ศาสตราจารย์ตอบคำถาม.
profile	โปรไฟล์;ประวัติย่อ	อัปเดตโปรไฟล์ของคุณ.
program	โปรแกรม;รายการ	โปรแกรมเริ่มตอนนี้.
progress	ความก้าวหน้า	วันนี้เรามีความก้าวหน้า.
promise	สัญญา;คำสัญญา	รักษาสัญญาของคุณ.
pronounce	ออกเสียง	กรุณาออกเสียงคำนี้.
protect	ปกป้อง	ปกป้องดวงตาของคุณ.
provide	จัดหา;ให้	พวกเขาให้น้ำฟรี.
pub	ผับ;ร้านเหล้า	เราพบกันที่ผับ.
public	สาธารณะ;ประชาชน	สวนนี้เป็นสาธารณะ.
publish	เผยแพร่;ตีพิมพ์	พวกเขาตีพิมพ์นิตยสาร.
pull	ดึง	ดึงประตู.
purpose	จุดประสงค์	จุดประสงค์คืออะไร?
push	ผลัก;กด	กดปุ่ม.
quality	คุณภาพ	คุณภาพสูง.
quantity	ปริมาณ	ตรวจสอบปริมาณ.
queen	ราชินี	ราชินีโบกมือ.
quietly	อย่างเงียบๆ	พูดเบาๆ.
race (competition)	การแข่งขัน;การแข่ง	การแข่งขันจะเริ่มเร็วๆนี้.
railway	ทางรถไฟ	ทางรถไฟปิดแล้ว.
raise	ยกขึ้น;เพิ่ม	ยกมือขึ้น.
rate	อัตรา;ราคา	ราคาห้องพักสูง.
rather	ค่อนข้าง	ฉันค่อนข้างเหนื่อย.
reach	เอื้อมถึง;ไปถึง	คุณเอื้อมถึงชั้นวางได้ไหม?
react	ตอบสนอง;มีปฏิกิริยา	เขาตอบสนองอย่างไร?
realize	ตระหนัก;รู้ตัว	ฉันตระหนักถึงความผิดพลาดของฉัน.
receive	ได้รับ	คุณได้รับข้อความของฉันไหม?
recent	ล่าสุด;เมื่อไม่นานมานี้	นี่คือภาพถ่ายล่าสุด.
recently	เมื่อเร็วๆนี้	ฉันเพิ่งย้ายมาที่นี่.
reception	แผนกต้อนรับ;งานเลี้ยงรับรอง	งานเลี้ยงรับรองจัดวันจันทร์.
recipe	สูตรอาหาร	สูตรนี้ง่าย.
recognize	จำได้;รู้จัก	ฉันจำเพลงนั้นได้.
recommend	แนะนำ	ฉันแนะนำหนังสือเล่มนี้.
record	บันทึก;ประวัติ	เก็บบันทึกการชำระเงิน.
recording	การบันทึก;ไฟล์บันทึก	เสียงบันทึกชัดเจน.
recycle	รีไซเคิล	รีไซเคิลกระดาษและพลาสติก.
reduce	ลด	ลดความร้อน.
refer	อ้างถึง;ดู	ดูหน้าสอง.
refuse1	ปฏิเสธ	ฉันปฏิเสธที่จะโกหก.
region	ภูมิภาค;เขต	ภูมิภาคนี้หนาว.
regular	ประจำ;สม่ำเสมอ	เขาเป็นลูกค้าประจำ.
relationship	ความสัมพันธ์	ความสัมพันธ์ของพวกเขาแข็งแรง.
remove	ถอดออก;นำออก	ถอดรองเท้าของคุณ.
repair	ซ่อมแซม	ซ่อมจักรยานวันนี้.
replace	แทนที่;เปลี่ยน	เปลี่ยนแบตเตอรี่เก่า.
reply	ตอบกลับ	กรุณาตอบกลับเร็วๆนี้.
reporter	ผู้สื่อข่าว	ผู้สื่อข่าวจดบันทึก.
request	คำขอ;ขอ	ฉันทำคำขอหนึ่ง.
research	วิจัย;การวิจัย	เราวิจัยประวัติศาสตร์ท้องถิ่น.
researcher	นักวิจัย	นักวิจัยตรวจข้อมูล.
respond	ตอบสนอง;ตอบกลับ	กรุณาตอบกลับวันนี้.
response	การตอบกลับ;คำตอบ	คำตอบของเธอรวดเร็ว.
rest (remaining part)	ส่วนที่เหลือ	กินส่วนที่เหลือทีหลัง.
rest (sleep/relax)	พักผ่อน	คุณต้องพักผ่อน.
review	ทบทวน;รีวิว	ทบทวนโน้ตของคุณคืนนี้.
ring1	แหวน	เธอสวมแหวนทอง.
ring2	โทร;ดัง	โทรหาฉันหลังอาหารกลางวัน.
rise	เพิ่มขึ้น;ลุกขึ้น	ราคาเพิ่มขึ้นทุกปี.
rock (stone)	หิน	หินก้อนนี้หนัก.
