source_headword	VI	example_VI
bunch	chùm	Cô ấy mang một chùm chìa khóa.
bush	bụi cây	Một con chim trốn trong bụi cây.
cable	dây cáp	Dây cáp bị hỏng.
calculate	tính toán	Hãy tính tổng chi phí.
cancel	hủy	Họ đã hủy cuộc họp.
cancer	ung thư	Điều trị ung thư có thể khó khăn.
capable	có khả năng	Cô ấy có khả năng làm nhiều hơn.
capacity	sức chứa	Hội trường đã đạt sức chứa.
capture	nắm bắt	Bức ảnh nắm bắt được tâm trạng.
cast	dàn diễn viên	Dàn diễn viên đã sẵn sàng.
cell	tế bào	Mỗi tế bào chứa dữ liệu.
chairman	chủ tịch	Chủ tịch đã khai mạc cuộc họp.
characteristic	đặc điểm	Sự kiên nhẫn là đặc điểm chính của cô ấy.
chief	chính	Kỹ sư trưởng đến muộn.
circumstance	hoàn cảnh	Hãy cân nhắc từng hoàn cảnh một cách cẩn thận.
cite	trích dẫn	Vui lòng trích dẫn nguồn của bạn.
citizen	công dân	Mọi công dân đều có thể bỏ phiếu.
civil	ôn hòa	Cuộc biểu tình vẫn ôn hòa.
classic	kinh điển	Bộ phim này là một tác phẩm kinh điển.
closely	kỹ	Hãy theo dõi quy trình thật kỹ.
collapse	sụp đổ	Cây cầu cũ có thể sụp đổ.
combination	sự kết hợp	Sự kết hợp đó hoạt động tốt.
comfort	sự an ủi	Lời nói của cô ấy đem lại sự an ủi.
command	mệnh lệnh	Sĩ quan đã đưa ra một mệnh lệnh.
commission	ủy ban	Ủy ban đã xem xét vụ việc.
commitment	sự cam kết	Công việc cần sự cam kết.
committee	ủy ban	Ủy ban họp hằng tuần.
commonly	thường	Loài cây này thường được trồng.
complicated	phức tạp	Hướng dẫn rất phức tạp.
component	thành phần	Một thành phần đã hỏng.
concentration	sự tập trung	Tiếng ồn phá vỡ sự tập trung của tôi.
concept	khái niệm	Khái niệm đó đơn giản.
concern	mối quan tâm	An toàn là mối quan tâm chính của chúng tôi.
concerned	lo ngại	Các phụ huynh rất lo ngại.
conduct	tiến hành	Họ tiến hành nghiên cứu tại địa phương.
confidence	sự tự tin	Luyện tập xây dựng sự tự tin.
conflict	xung đột	Xung đột kéo dài nhiều năm.
confusing	gây bối rối	Bản đồ gây bối rối.
conscious	tỉnh táo	Cô ấy vẫn tỉnh táo.
conservative	bảo thủ	Quan điểm của anh ấy bảo thủ.
consideration	điều cân nhắc	Chi phí là một điều cân nhắc quan trọng.
consistent	nhất quán	Kết quả của cô ấy nhất quán.
constant	liên tục	Tiếng ồn liên tục làm chúng tôi kiệt sức.
constantly	liên tục	Anh ấy liên tục kiểm tra điện thoại.
construct	xây dựng	Công nhân đã xây dựng một cây cầu mới.
construction	việc xây dựng	Việc xây dựng bắt đầu vào tháng tới.
contemporary	đương đại	Phòng trưng bày giới thiệu nghệ thuật đương đại.
contest	cuộc thi	Cô ấy đã tham gia cuộc thi.
contract	hợp đồng	Hãy đọc hợp đồng cẩn thận.
contribute	đóng góp	Mọi người đều có thể đóng góp ý tưởng.
contribution	sự đóng góp	Đóng góp của cô ấy rất có giá trị.
convert	chuyển đổi	Họ đã chuyển đổi nhà để xe.
convinced	tin chắc	Tôi tin chắc rằng anh ấy đã nói dối.
core	cốt lõi	Lòng tin là vấn đề cốt lõi.
corporate	thuộc công ty	Quy định của công ty lại thay đổi.
council	hội đồng	Hội đồng đã chấp thuận kế hoạch.
county	hạt	Hạt đã sửa con đường.
courage	lòng dũng cảm	Cô ấy đã thể hiện lòng dũng cảm thật sự.
crash	vụ tai nạn	Vụ tai nạn làm tắc giao thông.
creation	sự sáng tạo	Việc sáng tạo mất sáu tháng.
creature	sinh vật	Sinh vật đó di chuyển lặng lẽ.
crew	thủy thủ đoàn	Thủy thủ đoàn chuẩn bị con tàu.
crisis	khủng hoảng	Cuộc khủng hoảng đã thay đổi mọi thứ.
criterion	tiêu chí	Giá là một tiêu chí.
critic	nhà phê bình	Nhà phê bình khen vở kịch.
critical	nguy kịch	Tình trạng của anh ấy nguy kịch.
criticism	sự phê bình	Cô ấy bình tĩnh chấp nhận lời phê bình.
criticize	phê bình	Đừng phê bình mọi lỗi sai.
crop	vụ mùa	Vụ mùa năm nay thất bại.
crucial	rất quan trọng	Thời điểm rất quan trọng ở đây.
cure	phương pháp chữa trị	Các bác sĩ đã tìm ra phương pháp chữa trị.
curve	đường cong	Con đường đi theo một đường cong.
curved	cong	Bức tường hơi cong.
debate	cuộc tranh luận	Cuộc tranh luận kéo dài nhiều giờ.
debt	khoản nợ	Anh ấy đã trả khoản nợ.
decent	tốt vừa đủ	Họ đã tìm được một căn hộ tốt vừa đủ.
declare	tuyên bố	Họ đã tuyên bố kết quả.
decline	giảm	Doanh số tiếp tục giảm.
decoration	vật trang trí	Vật trang trí trông đắt tiền.
decrease	giảm	Giá có thể sớm giảm.
deeply	sâu sắc	Cô ấy quan tâm sâu sắc đến công lý.
defeat	thất bại	Thất bại đó làm cả đội sốc.
defence	bên bào chữa	Bên bào chữa đã phản bác bằng chứng.
defend	bảo vệ	Anh ấy cố gắng tự bảo vệ mình.
delay	sự chậm trễ	Thời tiết xấu gây ra sự chậm trễ.
deliberate	cố ý	Đó là một lựa chọn cố ý.
deliberately	cố tình	Cô ấy cố tình phớt lờ lời cảnh báo.
delight	làm vui	Thông tin đó làm mọi người vui.
delighted	vui mừng	Chúng tôi vui mừng vì món quà.
delivery	sự giao hàng	Hàng giao đến sớm.
demand	yêu cầu	Công nhân yêu cầu mức lương tốt hơn.
demonstrate	trình bày	Anh ấy đã trình bày phần mềm mới.
deny	phủ nhận	Cô ấy phủ nhận lời buộc tội.
depressed	chán nản	Anh ấy cảm thấy chán nản sau khi thua.
depressing	gây buồn	Bộ phim gây buồn.
depth	độ sâu	Hồ bơi có độ sâu lớn.
deserve	xứng đáng	Bạn xứng đáng được nghỉ.
desire	mong muốn	Cô ấy bày tỏ mong muốn đi du lịch.
desperate	tuyệt vọng	Họ đã gọi một cuộc gọi tuyệt vọng.
detailed	chi tiết	Hướng dẫn rất chi tiết.
detect	phát hiện	Chó có thể phát hiện khói.
dig	đào	Họ đào giếng vào mùa hè.
disc	đĩa	Chiếc đĩa bị trầy.
discipline	kỷ luật	Kỷ luật giúp vận động viên tiến bộ.
dishonest	không trung thực	Câu trả lời của anh ấy nghe không trung thực.
dismiss	bác bỏ	Quản lý đã bác bỏ lời phàn nàn.
display	hiển thị	Màn hình hiển thị điểm số.
distribute	phân phát	Các tình nguyện viên phân phát nước sạch.
distribution	sự phân phát	Việc phân phát bắt đầu sau khi mặt trời mọc.
district	quận	Quận đã bầu một thị trưởng.
division	bộ phận	Bộ phận đó xử lý các vụ pháp lý.
domestic	trong nước	Các chuyến bay trong nước rẻ hơn.
dominate	thống trị	Một công ty có thể thống trị thị trường.
downwards	xuống dưới	Con đường dốc xuống dưới.
dozen	tá	Cô ấy mua một tá trứng.
draft	bản nháp	Vui lòng xem lại bản nháp.
drag	kéo lê	Đừng kéo lê cái bàn.
dramatic	kịch tính	Kết quả rất kịch tính.
edit	chỉnh sửa	Cô ấy đã chỉnh sửa bài báo.
edition	phiên bản	Phiên bản này có thêm ảnh mới.
efficient	hiệu quả	Hệ thống này hiệu quả.
elderly	cao tuổi	Cư dân cao tuổi cần hỗ trợ.
elect	bầu	Cử tri bầu một hội đồng mới.
elsewhere	ở nơi khác	Chúng tôi tìm sự giúp đỡ ở nơi khác.
emerge	xuất hiện	Chi tiết xuất hiện sau nửa đêm.
emotional	xúc động	Bài phát biểu rất xúc động.
emphasis	sự nhấn mạnh	Hãy đặt sự nhấn mạnh vào an toàn.
emphasize	nhấn mạnh	Giáo viên nhấn mạnh việc luyện tập hằng ngày.
enable	cho phép	Ứng dụng cho phép thanh toán nhanh.
encounter	gặp phải	Chúng tôi gặp phải giao thông đông đúc.
engage	thu hút	Khóa học thu hút người học trưởng thành.
enhance	nâng cao	Ánh sáng có thể nâng cao căn phòng.
enquiry	cuộc điều tra	Cuộc điều tra kéo dài ba tháng.
ensure	đảm bảo	Kiểm tra hai lần để đảm bảo độ chính xác.
enthusiasm	sự nhiệt tình	Sự nhiệt tình của cô ấy khích lệ cả nhóm.
enthusiastic	nhiệt tình	Các tình nguyện viên rất nhiệt tình.
entire	toàn bộ	Toàn bộ ngôi làng mất điện.
entirely	hoàn toàn	Câu chuyện đó hoàn toàn sai.
establish	thiết lập	Họ đã thiết lập các quy tắc rõ ràng.
estate	khu đất	Khu đất gồm vài trang trại.
estimate	ước tính	Chúng tôi ước tính có mười nghìn khách.
ethical	đạo đức	Quyết định đó đặt ra các câu hỏi đạo đức.
evaluate	đánh giá	Các chuyên gia sẽ đánh giá thiết kế.
evil	xấu xa	Nhà vua sợ các linh hồn xấu xa.
examination	kỳ thi	Kỳ thi kéo dài một giờ.
excuse	lời bào chữa	Lời bào chữa đó nghe yếu.
executive	giám đốc điều hành	Giám đốc điều hành đã chấp thuận thỏa thuận.
existence	sự tồn tại	Sự tồn tại của họ không được biết đến.
expectation	kỳ vọng	Kỳ vọng rất cao trước khi ra mắt.
expense	chi phí	Đi lại là chi phí lớn nhất của chúng tôi.
exploration	sự khám phá	Khám phá không gian truyền cảm hứng cho trẻ em.
expose	phơi bày	Bài báo đã phơi bày tham nhũng.
extend	gia hạn	Họ đã gia hạn hạn chót.
extent	mức độ	Chúng tôi biết mức độ sau đó.
external	bên ngoài	Áp lực bên ngoài đã ảnh hưởng đến họ.
extraordinary	phi thường	Sự hồi phục của cô ấy thật phi thường.
facility	cơ sở	Cơ sở đó mở cửa vào tháng Sáu.
failure	thất bại	Thất bại dạy anh ấy sự kiên nhẫn.
faith	lòng tin	Cô ấy giữ lòng tin vào anh ấy.
fault	lỗi	Vụ tai nạn là lỗi của tôi.
feather	lông vũ	Một chiếc lông vũ rơi khỏi gối.
fee	phí	Phí bao gồm bữa trưa.
feedback	phản hồi	Phản hồi giúp cải thiện khóa học.
fellow	đồng nghiệp	Các đồng nghiệp đã ủng hộ cô ấy.
finance	tài trợ	Ngân hàng sẽ tài trợ cho việc mở rộng.
finding	phát hiện	Phát hiện đó làm các nhà nghiên cứu ngạc nhiên.
firm	công ty	Công ty đã thuê nhân viên mới.
flame	ngọn lửa	Một ngọn lửa nhỏ xuất hiện.
flash	tia chớp	Một tia chớp thắp sáng bầu trời.
flexible	linh hoạt	Lịch trình linh hoạt.
float	nổi	Lá nổi trên mặt nước.
folding	gấp được	Anh ấy mang một chiếc ghế gấp được.
forgive	tha thứ	Bạn có thể tha thứ cho anh ấy không?
former	cựu	Cựu thị trưởng đã trở lại.
fortune	gia tài	Họ đã mất cả gia tài.
found	thành lập	Họ đã thành lập một tổ chức từ thiện nhỏ.
freedom	tự do	Tự do đòi hỏi trách nhiệm.
frequency	tần suất	Tần suất tăng lên vào mùa đông.
fully	hoàn toàn	Khách sạn đã được đặt kín hoàn toàn.
fund	quỹ	Quỹ hỗ trợ các trường học địa phương.
fundamental	cơ bản	Sự tôn trọng là điều cơ bản ở đây.
funding	nguồn tài trợ	Nguồn tài trợ đã kết thúc năm ngoái.
furthermore	hơn nữa	Hơn nữa, chi phí đang tăng.
gain	đạt được	Học sinh nhanh chóng đạt được sự tự tin.
gang	băng nhóm	Một băng nhóm kiểm soát con phố.
generate	tạo ra	Các tấm pin mặt trời tạo ra điện.
genre	thể loại	Hài kịch là thể loại yêu thích của cô ấy.
govern	chi phối	Luật chi phối chi tiêu công.
grab	chộp lấy	Anh ấy chộp lấy cánh tay tôi.
gradually	dần dần	Cơn đau dần dần biến mất.
grand	lộng lẫy	Khách sạn có lối vào lộng lẫy.
grant	khoản tài trợ	Khoản tài trợ đã trả tiền cho thiết bị.
guarantee	bảo đảm	Vé bảo đảm quyền vào cửa.
handle	xử lý	Cô ấy xử lý lời phàn nàn một cách bình tĩnh.
harm	tác hại	Hút thuốc có thể gây hại cho sức khỏe.
harmful	có hại	Hóa chất đó có hại.
hearing	thính lực	Thính lực của cô ấy đã cải thiện.
heaven	thiên đường	Họ tưởng tượng thiên đường ở trên cao.
heel	gót chân	Gót chân của anh ấy đau dữ dội.
hell	địa ngục	Chuyến đi đó là địa ngục.
hesitate	do dự	Đừng do dự khi hỏi.
hollow	rỗng	Cái cây rỗng bên trong.
holy	thiêng liêng	Họ đã thăm một nơi thiêng liêng.
honour	danh dự	Họ chiến đấu vì danh dự.
household	hộ gia đình	Mỗi hộ gia đình nhận được nước.
housing	nhà ở	Chi phí nhà ở tiếp tục tăng.
humorous	hài hước	Câu chuyện của anh ấy hài hước.
humour	sự hài hước	Sự hài hước giúp giảm căng thẳng.
hunting	săn bắn	Săn bắn bị cấm ở đây.
illustrate	minh họa	Các ví dụ minh họa quy tắc.
illustration	hình minh họa	Hình minh họa cho thấy quy trình.
imagination	trí tưởng tượng	Trẻ em sử dụng trí tưởng tượng một cách tự do.
impatient	mất kiên nhẫn	Các tài xế trở nên mất kiên nhẫn.
imply	hàm ý	Sự im lặng của anh ấy có thể hàm ý sự đồng ý.
impose	áp đặt	Tòa án đã áp đặt một khoản phạt.
impress	gây ấn tượng	Lòng dũng cảm của cô ấy gây ấn tượng với mọi người.
impressed	ấn tượng	Tôi ấn tượng với công việc của cô ấy.
inch	inch	Hãy dịch nó sang trái một inch.
incident	sự cố	Sự cố đó gây lo ngại.
income	thu nhập	Thu nhập của họ tăng chậm.
increasingly	ngày càng	Nhà ở ngày càng đắt đỏ.
industrial	công nghiệp	Thị trấn có nguồn gốc công nghiệp.
infection	nhiễm trùng	Nhiễm trùng lan nhanh.
inform	thông báo	Vui lòng thông báo cho quản lý.
initial	ban đầu	Chi phí ban đầu cao.
initially	ban đầu	Ban đầu, không ai tin anh ấy.
initiative	sáng kiến	Cô ấy đã khởi động một sáng kiến mới.
inner	bên trong	Cửa bên trong đã bị khóa.
insight	cái nhìn sâu sắc	Báo cáo cung cấp cái nhìn sâu sắc hữu ích.
insist	khăng khăng	Họ khăng khăng yêu cầu kiểm tra an toàn.
inspire	truyền cảm hứng	Câu chuyện của cô ấy có thể truyền cảm hứng cho người khác.
install	lắp đặt	Họ đã lắp đặt một máy sưởi mới.
instance	trường hợp	Đây là một trường hợp rõ ràng.
