source_headword	CS	example_CS
barrier	bariéra	Jazyk byl bariérou.
basically	v podstatě	V podstatě potřebujeme více času.
bear (deal with)	snést	Nemůžu snést ten hluk.
beg	prosit	Prosil o pomoc.
being	bytost	Každá bytost potřebuje vodu.
bent	ohnutý	Kovová tyč byla ohnutá.
bet	vsadit se	Vsadím se, že to ví.
beyond	za	Vesnice leží za řekou.
bitter	hořký	Lék chutnal hořce.
blame	obviňovat	Neobviňuj řidiče.
blind	slepý	Oslepl v mládí.
bond	pouto	Důvěra vytváří silné pouto.
breast	prs	Cítila bolest v prsu.
brief	krátký	Drž odpověď krátkou.
broad	široký	Řeka je tady široká.
broadcast	vysílat	Projev byl vysílán živě.
budget	rozpočet	Rozpočet je velmi napjatý.
bullet	kulka	Kulka zasáhla zeď.
bunch	svazek	Nesla svazek klíčů.
bush	keř	Pták se schoval v keři.
cable	kabel	Kabel je poškozený.
calculate	vypočítat	Vypočítej celkové náklady.
cancel	zrušit	Zrušili schůzku.
cancer	rakovina	Léčba rakoviny může být těžká.
capable	schopný	Je dostatečně schopná.
capacity	kapacita	Sál dosáhl své kapacity.
capture	zachytit	Fotografie zachytila náladu.
cast	obsazení	Obsazení je připravené.
cell	buňka	Každá buňka obsahuje data.
chairman	předseda	Předseda zahájil schůzi.
characteristic	vlastnost	Trpělivost je důležitá vlastnost.
chief	hlavní	Hlavním důvodem byla bezpečnost.
circumstance	okolnost	Každá okolnost se počítá.
cite	citovat	Student citoval tři zdroje.
citizen	občan	Každý občan může volit.
civil	občanský	Případ se týkal občanských práv.
classic	klasický	To je klasický příklad.
closely	úzce	Pracovali úzce spolu.
collapse	zhroutit se	Stará střecha se zhroutila.
combination	kombinace	Tato kombinace funguje dobře.
comfort	pohodlí	Židle nabízí málo pohodlí.
command	příkaz	Vojáci splnili příkaz.
commission	komise	Komise vyšetřila stížnost.
commitment	závazek	Její závazek zůstal silný.
committee	výbor	Výbor bude zítra hlasovat.
commonly	běžně	Toto slovo se běžně používá.
complicated	složitý	Pravidla jsou složitá.
component	součást	Každá součást byla testována.
concentration	soustředění	Plné soustředění je nutné.
concept	koncept	Koncept je jednoduchý.
concern	obava	Existují obavy o bezpečnost.
concerned	znepokojený	Máme obavy z nákladů.
conduct	provádět	Provádějí místní výzkum.
confidence	důvěra	Její důvěra rychle rostla.
conflict	konflikt	Konflikt trval roky.
confusing	matoucí	Vysvětlení bylo matoucí.
conscious	při vědomí	Po pádu byl při vědomí.
conservative	konzervativní	Návrh byl poměrně konzervativní.
consideration	ohled	Vezmi to v úvahu.
consistent	důsledný	Její práce je důsledně dobrá.
constant	stálý	Byl tam stálý hluk.
constantly	neustále	Telefon neustále zvonil.
construct	postavit	Postavili nový most.
construction	stavba	Stavba začne v červnu.
contemporary	současný	Muzeum ukazuje současné umění.
contest	soutěž	Vyhrála soutěž.
contract	smlouva	Smlouva končí v pátek.
contribute	přispět	Každý může přispět do fondu.
contribution	příspěvek	Jeho příspěvek byl důležitý.
convert	přeměnit	Přeměnili budovu na byty.
convinced	přesvědčený	Jsem přesvědčený, že má pravdu.
core	jádro	Důvěra je jádrem problému.
corporate	firemní	Firma změnila firemní strategii.
council	rada	Rada schválila plán.
county	okres	Okres dostal nové hranice.
courage	odvaha	Projevila velkou odvahu.
crash	nehoda	Nehoda zablokovala silnici.
creation	vytvoření	Vytvoření pracovních míst trvá.
creature	tvor	Tvor se pohyboval pomalu.
crew	posádka	Posádka zůstala klidná.
crisis	krize	Krize trvala měsíce.
criterion	kritérium	Cena není jediné kritérium.
critic	kritik	Kritik film pochválil.
critical	kritický	Situace je kritická.
criticism	kritika	Kritiku přijal klidně.
criticize	kritizovat	Nekritizuj ji příliš rychle.
crop	plodina	Plodina potřebovala více deště.
crucial	klíčový	Čas je zde klíčový.
cure	lék	Zatím neexistuje žádný lék.
curve	křivka	Silnice má ostrou křivku.
curved	zakřivený	Most má zakřivený tvar.
debate	debata	Debata začala pozdě.
debt	dluh	Splatil svůj dluh.
decent	slušný	Našla slušný hotel.
declare	vyhlásit	Vláda vyhlásila nouzový stav.
decline	pokles	Pokles byl nečekaný.
decoration	dekorace	Dekorace visela nad dveřmi.
decrease	snížit se	Náklady se pomalu snížily.
deeply	hluboce	Cítil se hluboce zraněný.
defeat	porážka	Porážku bylo těžké přijmout.
defence	obrana	Obrana byla dobře připravená.
defend	bránit	Hájila své rozhodnutí.
delay	zpoždění	Zpoždění trvalo hodinu.
deliberate	úmyslný	Byla to úmyslná volba.
deliberately	úmyslně	Úmyslně ignoroval varování.
delight	radost	Zpráva přinesla velkou radost.
delighted	potěšený	Byla potěšená výsledkem.
delivery	dodávka	Dodávka přijde zítra.
demand	poptávka	Poptávka po pokojích rostla.
demonstrate	ukázat	Čísla ukazují problém.
deny	popřít	Popřel obvinění.
depressed	deprimovaný	Cítila se deprimovaně.
depressing	deprimující	Zpráva byla deprimující.
depth	hloubka	Změř hloubku vody.
deserve	zasloužit si	Zaslouží si upřímnou odpověď.
desire	touha	Jeho touha po svobodě zůstala.
desperate	zoufalý	Udělala zoufalý pokus.
detailed	podrobný	Dostali jsme podrobnou zprávu.
detect	odhalit	Test může odhalit chyby.
dig	kopat	Vykopali hlubokou jámu.
disc	disk	Starý disk nefungoval.
discipline	disciplína	Disciplína pomáhá při tréninku.
dishonest	nečestný	Odpověď zněla nečestně.
dismiss	odmítnout	Soudce odmítl stížnost.
display	zobrazit	Obrazovka zobrazuje výsledky.
distribute	rozdělit	Rozdělili jídlo ve vesnici.
distribution	distribuce	Distribuce nebyla spravedlivá.
district	okres	Okres dostal novou školu.
division	oddělení	Pracuje ve finančním oddělení.
domestic	domácí	Vnitrostátní lety jsou levnější.
dominate	dominovat	Jeden tým dominoval zápasu.
downwards	dolů	Šipka ukazuje dolů.
dozen	tucet	Koupil tucet vajec.
draft	návrh	První návrh je hotový.
drag	táhnout	Přitáhni židli ke zdi.
dramatic	dramatický	Změna byla dramatická.
edit	upravit	Uprav text pečlivě.
edition	vydání	Toto vydání obsahuje nové karty.
efficient	efektivní	Systém je efektivní.
elderly	starší	Starší muž dostal pomoc.
elect	zvolit	Zvolili nového vůdce.
elsewhere	jinde	Musíme hledat jinde.
emerge	objevit se	Objevila se nová fakta.
emotional	emocionální	Rozhovor se stal emocionálním.
emphasis	důraz	Důraz je na bezpečnosti.
emphasize	zdůraznit	Zdůrazni nejdůležitější bod.
enable	umožnit	Aplikace umožňuje rychlé učení.
encounter	narazit na	Narazili na problém.
engage	zapojit	Učitel zapojil třídu.
enhance	zlepšit	Tato funkce zlepšuje zážitek.
enquiry	vyšetřování	Vyšetřování začne zítra.
ensure	zajistit	Zkontroluj to, aby byla zajištěna bezpečnost.
enthusiasm	nadšení	Její nadšení bylo nakažlivé.
enthusiastic	nadšený	Skupina byla nadšená.
entire	celý	Přišel celý tým.
entirely	zcela	Zcela souhlasím.
establish	založit	Založili novou firmu.
estate	pozemek	Pozemek leží za městem.
estimate	odhad	Odhad byl příliš nízký.
ethical	etický	Volba byla eticky obtížná.
evaluate	vyhodnotit	Musíme vyhodnotit výsledky.
evil	zlo	Příběh je o zlu.
examination	vyšetření	Vyšetření trvalo dvě hodiny.
excuse	výmluva	Výmluva zněla slabě.
executive	vedoucí	Vedoucí odstoupil.
existence	existence	Existence dopisu byla potvrzena.
expectation	očekávání	Očekávání bylo příliš vysoké.
expense	výdaj	Tento výdaj nebyl plánovaný.
exploration	průzkum	Průzkum začal brzy.
expose	vystavit	Nevystavuj děti kouři.
extend	prodloužit	Prodloužili termín.
extent	rozsah	Rozsah škody je neznámý.
external	externí	Externí tým to kontroluje.
extraordinary	mimořádný	Byl to mimořádný výkon.
facility	zařízení	Zařízení se otevře příští týden.
failure	selhání	Jeho selhání bylo bolestivé.
faith	víra	Ztratila víru v systém.
fault	chyba	Nebyla to tvoje chyba.
feather	pírko	Na stole leželo pírko.
fee	poplatek	Poplatek je zahrnutý.
feedback	zpětná vazba	Zpětná vazba byla užitečná.
fellow	kolega	Můj kolega mi pomohl.
finance	finance	Studuje finance.
finding	zjištění	Zjištění tým překvapilo.
firm	firma	Firma rychle roste.
flame	plamen	Plamen se zvětšil.
flash	záblesk	Záblesk osvětlil místnost.
flexible	flexibilní	Rozvrh je flexibilní.
float	plavat	Dřevo může plavat na vodě.
folding	skládací	Koupila skládací židli.
forgive	odpustit	Mohu mu odpustit.
former	bývalý	Bývalý ředitel krátce promluvil.
fortune	majetek	Přišel o svůj majetek.
found	založit	Založili klub v roce 1998.
freedom	svoboda	Svoboda je důležitá pro všechny.
frequency	frekvence	Frekvence se zvýšila.
fully	plně	Plně tomu rozumím.
fund	fond	Fond podporuje výzkum.
fundamental	základní	To je základní právo.
funding	financování	Financování bylo schváleno.
furthermore	kromě toho	Kromě toho je plán levnější.
gain	získat	Získali větší podporu.
gang	gang	Gang byl zatčen.
generate	generovat	Program generuje zprávu.
genre	žánr	Mám rád tento žánr.
govern	řídit	Zákony řídí fungování země.
grab	chytit	Chyť rychle tašku.
gradually	postupně	Bolest postupně zmizela.
grand	velkolepý	Hotel měl velkolepý vstup.
grant	grant	Škola získala grant.
guarantee	záruka	Záruka platí dva roky.
handle	zvládnout	Dokáže dobře zvládnout tlak.
harm	škoda	Kouření způsobuje škodu.
harmful	škodlivý	Tato látka je škodlivá.
hearing	sluch	Jeho sluch se zhoršil.
heaven	nebe	Nebe bylo jasné.
heel	pata	Bolí mě pata.
hell	peklo	Cesta působila jako peklo.
hesitate	váhat	Neváhej zavolat.
hollow	dutý	Strom byl uvnitř dutý.
holy	svatý	Chrám je svaté místo.
honour	čest	Byla to velká čest.
household	domácnost	Každá domácnost dostala dopis.
housing	bydlení	Bydlení je tu drahé.
humorous	humorný	Jeho příběh byl humorný.
humour	humor	Její humor všechny uklidnil.
hunting	lov	Lov je tady zakázán.
illustrate	ilustrovat	Graf ilustruje rozdíl.
illustration	ilustrace	Ilustrace je na druhé straně.
imagination	představivost	Použij svou představivost.
impatient	netrpělivý	Ve frontě byl netrpělivý.
imply	naznačovat	Naznačuješ, že se mýlím?
impose	uložit	Vláda uložila nová pravidla.
impress	zapůsobit	Její odvaha na všechny zapůsobila.
impressed	ohromený	Byl jsem ohromen její prací.
inch	palec	Obrazovka je široká pět palců.
incident	incident	Incident byl vyšetřen.
income	příjem	Její příjem se letos zvýšil.
increasingly	stále více	Je to stále více jasné.
industrial	průmyslový	Město má průmyslovou oblast.
infection	infekce	Infekce se rychle šířila.
inform	informovat	Informuj nás o změnách.
initial	počáteční	Počáteční náklady byly vysoké.
initially	zpočátku	Zpočátku tomu nikdo nerozuměl.
initiative	iniciativa	Převzala iniciativu.
inner	vnitřní	Jeho vnitřní síla zůstala.
insight	postřeh	Výzkum přinesl nový postřeh.
insist	trvat na	Trvala na odpovědi.
inspire	inspirovat	Její příběh inspiroval třídu.
install	nainstalovat	Nainstaluj aplikaci dnes.
instance	příklad	To je jasný příklad.
