simplified	ID	example_ID
见面	bertemu	Kami akan bertemu di sekolah besok.
讲	menjelaskan; berbicara	Guru menjelaskan dengan sangat jelas.
教	mengajar	Dia mengajari saya menulis karakter Mandarin.
脚	kaki	Kaki saya agak sakit.
角	sudut	Toko itu ada di sudut jalan.
接	menjemput; menerima; menjawab	Saya akan pergi ke bandara untuk menjemput teman.
街道	jalan	Jalan ini sangat bersih.
结婚	menikah	Mereka akan menikah tahun depan.
结束	berakhir; selesai	Pertandingan sudah berakhir.
节目	acara; program	Acara TV ini sangat bagus.
节日	hari raya; festival	Tahun Baru Imlek adalah hari raya penting Tiongkok.
解决	menyelesaikan; memecahkan	Masalah ini sudah terselesaikan.
借	meminjam; meminjamkan	Saya ingin meminjam kamusmu.
经常	sering	Saya sering pergi ke perpustakaan.
经过	melewati; melalui	Saya melewati taman ini setiap hari.
经理	manajer	Manajer sedang rapat.
久	lama	Saya sudah tinggal di sini lama.
旧	lama; bekas	Pakaian ini sudah sangat lama.
句子	kalimat	Tolong tulis satu kalimat.
决定	memutuskan; keputusan	Saya memutuskan untuk belajar bahasa Mandarin.
可爱	lucu; menggemaskan	Kucing ini sangat lucu.
渴	haus	Saya haus dan ingin minum air.
刻	seperempat jam; saat	Sekarang pukul delapan lewat seperempat.
客人	tamu; pelanggan	Hari ini ada tamu datang ke rumah kami.
空调	AC; pendingin ruangan	Tolong nyalakan AC.
口	mulut; suapan; teguk	Dia minum seteguk air.
哭	menangis	Mengapa anak itu menangis?
裤子	celana	Celana ini baru.
筷子	sumpit	Saya bisa makan dengan sumpit.
蓝	biru	Langit berwarna biru.
老	tua; lanjut usia	Guru saya tidak tua.
离开	meninggalkan; berangkat	Dia akan meninggalkan Beijing besok.
礼物	hadiah	Ini hadiah untukmu.
历史	sejarah	Saya suka sejarah Tiongkok.
脸	wajah	Wajahnya sangat merah.
练习	latihan; berlatih	Tolong lebih banyak berlatih berbicara bahasa Mandarin.
辆	kata bantu bilangan untuk kendaraan	Di depan pintu ada sebuah taksi.
聊天	mengobrol	Saya mengobrol dengan seorang teman.
了解	memahami; mengenal	Saya ingin memahami budaya Tiongkok.
邻居	tetangga	Tetangga saya sangat ramah.
留学	belajar di luar negeri	Dia sedang belajar di Tiongkok sebagai pelajar asing.
楼	gedung; lantai	Kantor ada di lantai tiga.
绿	hijau	Pada musim semi pohon-pohon menjadi hijau.
马	kuda	Kuda itu berlari sangat cepat.
马上	segera; langsung	Saya akan segera kembali.
满意	puas	Saya sangat puas dengan kamar ini.
帽子	topi	Topi ini sangat cantik.
米	meter; beras	Meja ini panjangnya dua meter.
面包	roti	Saya makan roti untuk sarapan.
明白	mengerti; jelas	Saya mengerti maksudmu.
拿	mengambil; memegang	Tolong ambilkan saya sebuah buku.
奶奶	nenek dari pihak ayah; nenek	Nenek suka mendengarkan musik.
南	selatan	Sekolah ada di selatan kota.
难	sulit	Pertanyaan ini tidak sulit.
难过	sedih	Dia agak sedih hari ini.
年级	kelas; tingkat	Adik perempuan saya kelas tiga.
年轻	muda	Manajer ini sangat muda.
鸟	burung	Di pohon ada seekor burung.
努力	berusaha keras; rajin	Dia belajar dengan sangat rajin.
爬山	mendaki gunung; hiking	Kami akan mendaki gunung akhir pekan ini.
盘子	piring; nampan	Di atas meja ada tiga piring.
胖	gemuk; berisi	Anjing ini agak gemuk.
啤酒	bir	Ayah tidak minum bir.
皮鞋	sepatu kulit	Sepasang sepatu kulit ini mahal.
瓶子	botol	Di dalam botol ada air.
其实	sebenarnya	Sebenarnya saya tidak suka bir.
其他	lainnya; yang lain	Teman-teman sekelas yang lain semuanya sudah datang.
奇怪	aneh	Suara ini sangat aneh.
骑	mengendarai; menaiki	Dia naik sepeda ke kantor setiap hari.
起飞	lepas landas	Pesawat akan segera lepas landas.
起来	berdiri; mulai; bangun	Tolong berdiri.
清楚	jelas	Kamu berbicara dengan sangat jelas.
请假	meminta izin cuti; izin tidak masuk	Dia pilek dan perlu meminta izin tidak masuk.
秋	musim gugur	Cuaca pada musim gugur nyaman.
裙子	rok	Rok ini sangat cantik.
然后	lalu; kemudian	Saya makan dulu, lalu mengerjakan PR.
热情	hangat; antusias	Teman-teman Tiongkok sangat ramah.
认为	berpikir; menganggap	Saya pikir cara ini baik.
认真	serius; sungguh-sungguh	Tolong dengarkan guru dengan saksama.
容易	mudah	Karakter Mandarin ini mudah ditulis.
如果	jika; kalau	Kalau hujan, kami akan naik kereta bawah tanah.
伞	payung	Sedang hujan; tolong bawa payung.
上网	online; menggunakan internet	Saya online pada malam hari untuk memeriksa peta.
声音	suara	Suaramu terdengar bagus.
生气	marah	Jangan marah; saya tidak sengaja.
世界	dunia	Dunia sangat besar.
试	mencoba; menguji	Saya ingin mencoba sepatu kulit ini.
瘦	kurus; ramping	Dia lebih kurus daripada dulu.
叔叔	paman	Paman mengantar saya ke sekolah.
舒服	nyaman; enak	Kursi ini nyaman.
数学	matematika	Kelas matematika menarik.
树	pohon	Di depan rumah ada sebuah pohon.
刷牙	menggosok gigi	Saya menggosok gigi setiap pagi.
双	sepasang; dua	Saya membeli sepasang sepatu kulit.
水平	tingkat; level	Tingkat bahasa Mandarinnya tinggi.
司机	sopir	Sopir sedang menunggu kami di depan pintu.
太阳	matahari	Matahari sangat terik hari ini.
特别	terutama; sangat; khusus	Acara ini sangat menarik.
疼	sakit; nyeri	Kaki saya sakit.
提高	meningkatkan; menaikkan	Latihan lebih banyak dapat meningkatkan kemampuan bahasa Mandarin.
体育	olahraga; pendidikan jasmani	Saya suka pelajaran olahraga.
甜	manis	Minuman ini terlalu manis.
条	kata bantu bilangan untuk benda panjang; helai	Saya membeli sebuah rok.
同事	rekan kerja	Rekan kerja saya sangat sibuk.
同意	setuju	Saya setuju dengan keputusanmu.
头发	rambut	Rambutnya panjang.
突然	tiba-tiba	Dia tiba-tiba pergi.
图书馆	perpustakaan	Perpustakaan tidak buka hari ini.
腿	kaki	Setelah mendaki gunung, kaki saya sakit.
完成	menyelesaikan	Saya sudah menyelesaikan PR.
碗	mangkuk	Di atas meja ada dua mangkuk.
万	sepuluh ribu; banyak sekali	Kota ini memiliki sepuluh ribu penduduk.
忘记	lupa	Jangan lupa membawa paspormu.
为	untuk; karena	Saya senang untukmu.
为了	demi; untuk	Demi ujian, dia mengulang pelajaran setiap hari.
位	kata bantu bilangan sopan untuk orang	Guru ini sangat terkenal.
文化	budaya	Saya ingin memahami budaya Tiongkok.
西	barat	Bank ada di sebelah barat sekolah.
习惯	kebiasaan; terbiasa	Saya terbiasa berolahraga pada pagi hari.
洗手间	toilet; kamar kecil	Toilet ada di sebelah kanan.
洗澡	mandi	Saya mandi pada malam hari.
夏	musim panas	Musim panas sangat panas.
先	dulu; terlebih dahulu	Kamu makan dulu.
相信	percaya	Saya percaya dia akan datang.
香蕉	pisang	Saya membeli tiga pisang.
像	mirip; seperti	Awan ini terlihat seperti burung.
向	ke arah; menghadap	Tolong berjalan ke kiri.
小心	berhati-hati	Sedang hujan; hati-hati di jalan.
校长	kepala sekolah	Kepala sekolah ada di kantor.
新闻	berita	Ayah menonton berita setiap hari.
新鲜	segar	Buah ini sangat segar.
信用卡	kartu kredit	Bisakah saya membayar dengan kartu kredit?
行李箱	koper	Koper saya berat.
熊猫	panda	Anak-anak suka melihat panda.
需要	membutuhkan; perlu	Saya membutuhkan bantuanmu.
选择	memilih; pilihan	Kemeja mana yang kamu pilih?
要求	meminta; menuntut	Guru meminta kami mengerjakan PR dengan teliti.
爷爷	kakek dari pihak ayah; kakek	Kakek pergi ke taman setiap hari.
一直	terus-menerus; selalu	Dia terus menunggumu.
一定	pasti; tentu	Saya pasti akan datang.
一共	totalnya; semuanya	Total harga buku-buku ini berapa?
一会儿	sebentar	Tolong tunggu saya sebentar.
一样	sama	Kedua cangkir ini sama besar.
以前	dulu; sebelumnya	Dulu saya tinggal di Beijing.
一般	biasa; umum	Makanan di restoran ini biasa saja.
一边	sambil; satu sisi	Dia mendengarkan musik sambil mengerjakan PR.
音乐	musik	Saya suka musik Tiongkok.
银行	bank	Bank ada di sebelah pasar swalayan.
饮料	minuman	Minuman ini enak.
应该	seharusnya; harus	Kamu seharusnya lebih banyak beristirahat.
影响	pengaruh; memengaruhi	Cuaca akan memengaruhi pertandingan.
用	menggunakan; memakai	Saya menggunakan komputer untuk mengerjakan PR.
游戏	permainan	Anak-anak sedang bermain permainan.
有名	terkenal	Restoran ini sangat terkenal.
又	lagi; juga	Hari ini dia terlambat lagi.
遇到	bertemu; menjumpai	Saya bertemu guru di jalan.
元	yuan; satuan mata uang	Kamus ini harganya lima puluh yuan.
愿意	bersedia; mau	Apakah kamu bersedia ikut?
月亮	bulan	Bulan malam ini terang.
越	semakin	Dia semakin belajar bahasa Mandarin, semakin merasa menarik.
站	stasiun; berdiri	Dia berdiri di depan pintu.
张	kata bantu bilangan untuk benda datar	Tolong beri saya peta.
长	tumbuh	Anak-anak tumbuh dengan cepat.
着急	cemas; khawatir	Jangan cemas; lift akan segera datang.
照顾	merawat; menjaga	Dia merawat neneknya yang sakit.
照片	foto	Foto ini terlihat bagus.
照相机	kamera	Saya menggunakan kamera untuk mengambil foto.
283:只	hanya	Saya hanya minum satu cangkir teh.
284:只	kata bantu bilangan untuk hewan	Di bawah meja ada seekor kucing.
只有…才…	hanya jika... baru...	Hanya dengan mengulang pelajaran dengan sungguh-sungguh kamu bisa mendapat hasil baik dalam ujian.
中间	tengah; di antara	Meja ada di tengah kamar.
中文	bahasa Mandarin; tulisan Mandarin	Saya belajar bahasa Mandarin setiap hari.
终于	akhirnya	Kami akhirnya tiba.
种	jenis; macam	Kamu suka minuman jenis apa?
重要	penting	Paspor sangat penting.
周末	akhir pekan	Saya ingin pergi ke taman pada akhir pekan.
主要	utama; pokok	Hobi utamanya adalah musik.
注意	memperhatikan	Tolong perhatikan guru.
自己	diri sendiri	Saya ingin mengerjakan PR sendiri.
自行车	sepeda	Sepeda saya ada di bawah.
总是	selalu	Dia selalu tiba di kantor lebih awal.
嘴	mulut	Tolong buka mulutmu.
最后	terakhir; akhirnya	Akhirnya, kami semua setuju.
最近	baru-baru ini; akhir-akhir ini	Akhir-akhir ini saya sibuk.
作业	PR; tugas sekolah	Saya belum menyelesaikan PR.
