simplified	NE	example_NE
发现	फेला पार्नु; पत्ता लगाउनु	मैले यो उपाय राम्रो छ भनेर पाएँ।
方便	सजिलो; सुविधाजनक	मेट्रो चढ्न सजिलो छ।
放	राख्नु; छोड्नु	कृपया किताब टेबलमा राख्नुहोस्।
放心	ढुक्क हुनु; चिन्ता नगर्नु	ढुक्क हुनुहोस्, म समयमै आइपुग्छु।
分	बाँड्नु; छुट्याउनु	कृपया केक सबैलाई बाँड्नुहोस्।
复习	दोहोर्याउनु; पुनरावलोकन गर्नु	परीक्षाअघि मैले पाठ दोहोर्याउनुपर्छ।
附近	नजिकै; वरपर	नजिकै एउटा रेस्टुरेन्ट छ।
干净	सफा	यो कोठा धेरै सफा छ।
感冒	रुघा लागेको	मलाई रुघा लागेको छ, आराम गर्न मन छ।
感兴趣	रुचि हुनु	मलाई चिनियाँ भाषामा धेरै रुचि छ।
刚才	अहिलेअघि; भर्खरै	अहिलेअघि कसले तपाईंलाई फोन गर्‍यो?
个子	कद; उचाइ	उसको कद अग्लो छ।
根据	अनुसार; आधारमा	नक्साअनुसार स्कूल पूर्वपट्टि छ।
跟	सँग; पछ्याउनु	म साथी सँग पार्क जान्छु।
更	अझ; अझ बढी	आज हिजोभन्दा अझ चिसो छ।
公斤	किलोग्राम	यी स्याउको तौल एक किलोग्राम छ।
公园	सार्वजनिक पार्क	बच्चाहरू पार्कमा खेल खेलिरहेका छन्।
故事	कथा	हजुरबुबा मलाई कथा सुनाउनुहुन्छ।
刮风	हावा चल्नु	आज हावा चलेको छ, साइकल नचलाउनुहोस्।
关	बन्द गर्नु	कृपया ढोका बन्द गर्नुहोस्।
关系	सम्बन्ध	मेरो सहकर्मीसँगको सम्बन्ध राम्रो छ।
关心	चासो राख्नु; ख्याल गर्नु	आमा मेरो स्वास्थ्यको धेरै ख्याल गर्नुहुन्छ।
关于	बारेमा; सम्बन्धित	यो किताब चिनियाँ संस्कृतिबारे हो।
国家	देश; राष्ट्र	चीन धेरै ठूलो देश हो।
过	अनुभव सूचक कण; पहिले गरेको हुनु	म बेइजिङ गएको छु।
过去	विगत; पहिले	पहिले यहाँ मेट्रो थिएन।
还是	वा; अझै	तपाईं चिया पिउनुहुन्छ कि कफी?
害怕	डराउनु	म परीक्षासँग डराउँदिनँ।
黑板	कालोपाटी	शिक्षक कालोपाटीमा अक्षर लेख्नुहुन्छ।
后来	पछि; त्यसपछि	पछि हामी पार्क गयौँ।
护照	राहदानी	कृपया आफ्नो राहदानी साथमा ल्याउनुहोस्।
96:花	खर्च गर्नु; लागत पर्नु	मोबाइल किन्न दुई हजार युआन खर्च भयो।
97:花	फूल	टेबलमा एउटा फूल छ।
画	चित्र कोर्नु; चित्र	बहिनीलाई पान्डा कोर्न मन पर्छ।
坏	बिग्रिएको; खराब	मेरो कम्प्युटर बिग्रिएको छ।
欢迎	स्वागत गर्नु; स्वागत छ	तपाईंलाई मेरो घरमा स्वागत छ।
环境	वातावरण	यो स्कूलको वातावरण राम्रो छ।
还	फिर्ता दिनु; फर्काउनु	कृपया भोलि मेरो किताब फिर्ता दिनुहोस्।
换	बदल्नु; साट्नु	म एउटा सर्ट साट्न चाहन्छु।
黄河	ह्वाङ्हे नदी; पहेँलो नदी	ह्वाङ्हे नदी धेरै लामो छ।
回答	जवाफ दिनु; उत्तर	कृपया मेरो प्रश्नको जवाफ दिनुहोस्।
会议	बैठक; सम्मेलन	बैठक नौ बजे सुरु हुन्छ।
或者	वा; सम्भवतः	तपाईं मेट्रो वा बस चढ्न सक्नुहुन्छ।
几乎	लगभग	ऊ लगभग हरेक दिन व्यायाम गर्छ।
机会	अवसर	यो एउटा राम्रो अवसर हो।
极	अत्यन्त; धेरै	उनी अत्यन्त खुसी छिन्।
季节	ऋतु; मौसम	शरद ऋतु मलाई सबैभन्दा मन पर्ने ऋतु हो।
记得	सम्झनु	तपाईंले क्रेडिट कार्ड ल्याउन सम्झनुभयो?
检查	जाँच गर्नु	डाक्टरले मेरो शरीर जाँच्नुहुन्छ।
简单	सरल; सजिलो	यो वाक्य धेरै सरल छ।
健康	स्वास्थ्य; स्वस्थ	व्यायाम स्वास्थ्यका लागि राम्रो हुन्छ।
见面	भेट्नु; भेटघाट हुनु	हामी भोलि स्कूलमा भेट्छौँ।
讲	व्याख्या गर्नु; बोल्नु	शिक्षकले धेरै स्पष्ट रूपमा व्याख्या गर्नुहुन्छ।
教	पढाउनु; सिकाउनु	ऊ मलाई चिनियाँ अक्षर लेख्न सिकाउँछ।
脚	खुट्टा; पाउ	मेरो खुट्टा अलि दुखेको छ।
角	कुना; कोण	पसल सडकको कुनामा छ।
接	लिन जानु; प्राप्त गर्नु	म साथीलाई लिन विमानस्थल जाँदै छु।
街道	सडक	यो सडक धेरै सफा छ।
结婚	विवाह गर्नु	उनीहरू अर्को वर्ष विवाह गर्छन्।
结束	समाप्त हुनु; अन्त्य गर्नु	प्रतियोगिता सकिइसक्यो।
节目	कार्यक्रम	यो टेलिभिजन कार्यक्रम राम्रो छ।
节日	चाडपर्व; पर्व	वसन्त चाड चीनको महत्त्वपूर्ण पर्व हो।
解决	समाधान गर्नु	यो समस्या समाधान भइसकेको छ।
借	सापटी लिनु; सापटी दिनु	म तपाईंको शब्दकोश सापटी लिन चाहन्छु।
经常	अक्सर; बारम्बार	म अक्सर पुस्तकालय जान्छु।
经过	हुँदै जानु; पार गर्नु	म हरेक दिन यो पार्क हुँदै जान्छु।
经理	प्रबन्धक	प्रबन्धक बैठक गर्दै छन्।
久	लामो समय	म यहाँ धेरै समयदेखि बसिरहेको छु।
旧	पुरानो; प्रयोग भइसकेको	यो लुगा धेरै पुरानो छ।
句子	वाक्य	कृपया एउटा वाक्य लेख्नुहोस्।
决定	निर्णय गर्नु; निर्णय	मैले चिनियाँ भाषा सिक्ने निर्णय गरेँ।
可爱	प्यारा; मनमोहक	यो बिरालो धेरै प्यारा छ।
渴	तिर्खा लागेको	मलाई धेरै तिर्खा लागेको छ, पानी पिउन मन छ।
刻	पन्ध्र मिनेट; क्षण	अहिले आठ बजेर पन्ध्र मिनेट भएको छ।
客人	पाहुना; ग्राहक	आज घरमा पाहुना आए।
空调	एयर कन्डिसनर	कृपया एयर कन्डिसनर खोल्नुहोस्।
口	मुख; एक घुट्की	उसले एक घुट्की पानी पियो।
哭	रुनु	बच्चा किन रोइरहेको छ?
裤子	प्यान्ट	यो प्यान्ट नयाँ छ।
筷子	चपस्टिक	म चपस्टिकले खाना खान सक्छु।
蓝	नीलो	आकाश नीलो छ।
老	बुढो; पुरानो	मेरो शिक्षक बुढो हुनुहुन्न।
离开	छोड्नु; प्रस्थान गर्नु	ऊ भोलि बेइजिङ छोड्छ।
礼物	उपहार	यो तपाईंका लागि उपहार हो।
历史	इतिहास	मलाई चिनियाँ इतिहास मन पर्छ।
脸	अनुहार	उनको अनुहार धेरै रातो छ।
练习	अभ्यास गर्नु; अभ्यास	कृपया चिनियाँ बोल्ने अभ्यास धेरै गर्नुहोस्।
辆	सवारी साधनको मापक शब्द	ढोकामा एउटा ट्याक्सी छ।
聊天	गफ गर्नु	म साथीसँग गफ गर्छु।
了解	बुझ्नु; जानकारी पाउनु	म चिनियाँ संस्कृति बुझ्न चाहन्छु।
邻居	छिमेकी	मेरो छिमेकी धेरै मिलनसार छ।
留学	विदेशमा अध्ययन गर्नु	उनी चीनमा अध्ययन गर्दै छिन्।
楼	भवन; तला	कार्यालय तेस्रो तलामा छ।
绿	हरियो	वसन्तमा रूखहरू सबै हरिया भएका छन्।
马	घोडा	त्यो घोडा धेरै छिटो दौडन्छ।
马上	तुरुन्तै; अहिले नै	म तुरुन्तै फर्कन्छु।
满意	सन्तुष्ट	म यो कोठासँग धेरै सन्तुष्ट छु।
帽子	टोपी	यो टोपी धेरै राम्रो छ।
米	मिटर; चामल	यो टेबल दुई मिटर लामो छ।
面包	रोटी	बिहानको खानामा म रोटी खान्छु।
明白	बुझ्नु; स्पष्ट	म तपाईंको अर्थ बुझ्छु।
拿	लिनु; समाउनु	कृपया मलाई एउटा किताब ल्याइदिनुहोस्।
奶奶	हजुरआमा; बुबातर्फकी हजुरआमा	हजुरआमालाई संगीत सुन्न मन पर्छ।
南	दक्षिण	स्कूल शहरको दक्षिणमा छ।
难	गाह्रो	यो प्रश्न गाह्रो छैन।
难过	दुखी हुनु; मन खिन्न हुनु	उनी आज अलि दुखी छिन्।
年级	कक्षा तह	मेरी बहिनी तेस्रो कक्षामा पढ्छिन्।
年轻	युवा; जवान	यो प्रबन्धक धेरै जवान छ।
鸟	चरा	रूखमा एउटा चरा छ।
努力	मेहनत गर्नु; प्रयास	ऊ धेरै मेहनत गरेर पढ्छ।
爬山	पहाड चढ्नु	सप्ताहन्तमा हामी पहाड चढ्न जान्छौँ।
盘子	थाल; प्लेट	टेबलमा तीनवटा प्लेट छन्।
胖	मोटो	यो कुकुर अलि मोटो छ।
啤酒	बियर	बुबा बियर पिउनुहुन्न।
皮鞋	छालाको जुत्ता	यो छालाको जुत्ताको जोडी महँगो छ।
瓶子	बोतल	बोतलमा पानी छ।
其实	वास्तवमा	वास्तवमा मलाई बियर मन पर्दैन।
其他	अरू; अन्य	अरू सहपाठीहरू सबै आइसकेका छन्।
奇怪	अचम्मको; अनौठो	यो आवाज धेरै अनौठो छ।
骑	चढ्नु	ऊ हरेक दिन साइकल चढेर काममा जान्छ।
起飞	उडान भर्नु	विमान तुरुन्तै उडान भर्दै छ।
起来	उठ्नु	कृपया उठ्नुहोस्।
清楚	स्पष्ट	तपाईंले धेरै स्पष्ट रूपमा भन्नुभयो।
请假	बिदा माग्नु	उसलाई रुघा लागेको छ, त्यसैले बिदा माग्नुपर्छ।
秋	शरद ऋतु	शरद ऋतुको मौसम आरामदायी हुन्छ।
裙子	स्कर्ट	यो स्कर्ट धेरै राम्रो छ।
然后	त्यसपछि	म पहिले खाना खान्छु, त्यसपछि गृहकार्य गर्छु।
热情	न्यानो; उत्साही	चिनियाँ साथीहरू धेरै न्यानो स्वभावका छन्।
认为	सोच्नु; ठान्नु	मलाई यो उपाय राम्रो लाग्छ।
认真	ध्यान दिएर; गम्भीर	कृपया शिक्षकको कुरा ध्यान दिएर सुन्नुहोस्।
容易	सजिलो	यो चिनियाँ अक्षर लेख्न सजिलो छ।
如果	यदि	यदि पानी पर्‍यो भने हामी मेट्रो चढ्छौँ।
伞	छाता	पानी पर्‍यो, कृपया छाता ल्याउनुहोस्।
上网	इन्टरनेट चलाउनु	म साँझ नक्सा हेर्न इन्टरनेट चलाउँछु।
声音	आवाज	तपाईंको आवाज राम्रो सुनिन्छ।
生气	रिसाउनु	नरिसाउनुहोस्, मैले जानाजानी गरेको होइन।
世界	संसार	संसार धेरै ठूलो छ।
试	प्रयास गर्नु; लगाएर हेर्नु	म यो छालाको जुत्ताको जोडी लगाएर हेर्न चाहन्छु।
瘦	दुब्लो	ऊ पहिलेभन्दा दुब्लो भएको छ।
叔叔	काका; अंकल	काकाले मलाई गाडी चलाएर स्कूल पुर्‍याउनुहुन्छ।
舒服	आरामदायी; सहज	यो कुर्सी बस्न आरामदायी छ।
数学	गणित	गणितको कक्षा रोचक छ।
树	रूख	घरको अगाडि एउटा रूख छ।
刷牙	दाँत माझ्नु	म हरेक बिहान दाँत माझ्छु।
双	जोडी; दुई	मैले छालाको जुत्ताको एक जोडी किनेँ।
水平	स्तर	उसको चिनियाँ भाषाको स्तर उच्च छ।
司机	चालक	चालक ढोकामा हामीलाई पर्खिरहेका छन्।
太阳	घाम; सूर्य	आज घाम कडा छ।
特别	विशेष; खासगरी	यो कार्यक्रम विशेष गरी रोचक छ।
疼	दुख्नु	मेरो खुट्टा धेरै दुखेको छ।
提高	सुधार गर्नु; बढाउनु	धेरै अभ्यासले चिनियाँ भाषाको स्तर सुधार्न सक्छ।
体育	खेलकुद; शारीरिक शिक्षा	मलाई शारीरिक शिक्षाको कक्षा मन पर्छ।
甜	गुलियो	यो पेय धेरै गुलियो छ।
条	लामो वस्तुको मापक शब्द	मैले एउटा स्कर्ट किनेँ।
同事	सहकर्मी	मेरो सहकर्मी धेरै व्यस्त छ।
同意	सहमत हुनु	म तपाईंको निर्णयसँग सहमत छु।
头发	कपाल	उनको कपाल लामो छ।
突然	अचानक	ऊ अचानक हिँड्यो।
图书馆	पुस्तकालय	पुस्तकालय आज खुल्दैन।
腿	खुट्टा	पहाड चढेपछि मेरा खुट्टा धेरै दुखे।
完成	पूरा गर्नु; सक्नु	मैले गृहकार्य पूरा गरिसकेँ।
碗	कचौरा	टेबलमा दुईवटा कचौरा छन्।
万	दस हजार	यो शहरमा दस हजार मानिस छन्।
忘记	बिर्सनु	राहदानी ल्याउन नबिर्सनुहोस्।
为	का लागि; कारणले	म तपाईंका लागि खुसी छु।
为了	का लागि; उद्देश्यले	परीक्षाका लागि ऊ हरेक दिन पाठ दोहोर्याउँछ।
位	माननीय व्यक्तिको मापक शब्द	यी शिक्षक धेरै प्रसिद्ध हुनुहुन्छ।
文化	संस्कृति	म चिनियाँ संस्कृति बुझ्न चाहन्छु।
西	पश्चिम	बैंक स्कूलको पश्चिमपट्टि छ।
习惯	बानी; अभ्यस्त हुनु	म बिहान व्यायाम गर्न अभ्यस्त छु।
洗手间	शौचालय; बाथरूम	शौचालय दायाँपट्टि छ।
洗澡	नुहाउनु	म साँझ नुहाउँछु।
夏	गर्मी ऋतु	गर्मी ऋतुमा धेरै गर्मी हुन्छ।
先	पहिले	तपाईं पहिले खाना खानुहोस्।
相信	विश्वास गर्नु	म विश्वास गर्छु कि ऊ आउनेछ।
香蕉	केरा	मैले तीनवटा केरा किनेँ।
像	जस्तो हुनु; जस्तै देखिनु	यो बादल एउटा चराजस्तो देखिन्छ।
向	तर्फ; दिशा	कृपया बायाँतर्फ जानुहोस्।
小心	सावधान हुनु	पानी परेको छ, बाटोमा सावधान हुनुहोस्।
校长	प्रधानाध्यापक	प्रधानाध्यापक कार्यालयमा हुनुहुन्छ।
新闻	समाचार	बुबा हरेक दिन समाचार हेर्नुहुन्छ।
新鲜	ताजा	यो फल धेरै ताजा छ।
信用卡	क्रेडिट कार्ड	के म क्रेडिट कार्डले तिर्न सक्छु?
行李箱	सुटकेस	मेरो सुटकेस धेरै भारी छ।
熊猫	पान्डा	बच्चाहरूलाई पान्डा हेर्न मन पर्छ।
需要	आवश्यक पर्नु; चाहिनु	मलाई तपाईंको मद्दत चाहिन्छ।
选择	छान्नु; विकल्प	तपाईं कुन सर्ट छान्नुहुन्छ?
要求	माग गर्नु; अनुरोध गर्नु	शिक्षकले हामीलाई गृहकार्य ध्यान दिएर गर्न भन्नुभयो।
爷爷	हजुरबुबा	हजुरबुबा हरेक दिन पार्क जानुहुन्छ।
一直	सधैँ; लगातार	ऊ तपाईंलाई लगातार पर्खिरहेको छ।
一定	निश्चय; अवश्य	म निश्चय नै आउँछु।
一共	जम्मा; कुल	यी किताबहरू जम्मा कति पर्छन्?
一会儿	एकछिन	कृपया मलाई एकछिन पर्खनुहोस्।
一样	उस्तै	यी दुई कप उस्तै ठूला छन्।
以前	पहिले; पहिलेको समयमा	म पहिले बेइजिङमा बस्थेँ।
一般	सामान्य; साधारण	यो रेस्टुरेन्टको खाना सामान्य छ।
一边	एकातिर; गर्दै गर्दा	ऊ संगीत सुन्दै गृहकार्य गर्छ।
音乐	संगीत	मलाई चिनियाँ संगीत मन पर्छ।
银行	बैंक	बैंक सुपरमार्केटको छेउमा छ।
饮料	पेय; पेय पदार्थ	यो पेय स्वादिलो छ।
应该	गर्नु पर्छ; उचित हुनु	तपाईंले धेरै आराम गर्नुपर्छ।
影响	प्रभाव; प्रभाव पार्नु	मौसमले प्रतियोगितामा प्रभाव पार्छ।
用	प्रयोग गर्नु	म कम्प्युटर प्रयोग गरेर गृहकार्य गर्छु।
游戏	खेल; गेम	बच्चाहरू खेल खेलिरहेका छन्।
有名	प्रसिद्ध	यो रेस्टुरेन्ट धेरै प्रसिद्ध छ।
又	फेरि; पनि	ऊ आज फेरि ढिला भयो।
遇到	भेट्नु; संयोगले भेट्नु	मैले सडकमा शिक्षकलाई भेटेँ।
元	युआन; मुद्राको एकाइ	यो शब्दकोश पचास युआन पर्छ।
愿意	इच्छुक हुनु; राजी हुनु	तपाईं सहभागी हुन इच्छुक हुनुहुन्छ?
月亮	चन्द्रमा	आज राति चन्द्रमा उज्यालो छ।
越	जति...त्यति...	चिनियाँ जति पढ्यो, त्यति रोचक हुन्छ।
站	स्टेसन; उभिनु	ऊ ढोकामा उभिएको छ।
张	समतल वस्तुको मापक शब्द	कृपया मलाई एउटा नक्सा दिनुहोस्।
长	बढ्नु	बच्चाहरू छिटो बढ्छन्।
着急	आत्तिनु; चिन्तित हुनु	नआत्तिनुहोस्, लिफ्ट तुरुन्तै आउँछ।
照顾	हेरचाह गर्नु	उनी बिरामी हजुरआमाको हेरचाह गर्छिन्।
照片	फोटो; तस्वीर	यो फोटो राम्रो देखिन्छ।
照相机	क्यामेरा	म क्यामेराले फोटो खिच्छु।
283:只	मात्र; केवल	म केवल एक कप चिया पिउँछु।
284:只	जनावरको मापक शब्द	टेबलमुनि एउटा बिरालो छ।
只有…才…	मात्र...भएपछि मात्र...	ध्यान दिएर दोहोर्याएपछि मात्र परीक्षामा राम्रो गर्न सकिन्छ।
中间	बीच; मध्य	टेबल कोठाको बीचमा छ।
中文	चिनियाँ भाषा	म हरेक दिन चिनियाँ भाषा पढ्छु।
终于	अन्ततः	अन्ततः हामी आइपुग्यौँ।
种	प्रकार; किसिम	तपाईंलाई कुन किसिमको पेय मन पर्छ?
重要	महत्त्वपूर्ण	राहदानी धेरै महत्त्वपूर्ण छ।
周末	सप्ताहन्त	सप्ताहन्तमा म पार्क जान चाहन्छु।
主要	मुख्य; प्रमुख	उसको मुख्य रुचि संगीत हो।
注意	ध्यान दिनु	कृपया शिक्षकको कुरा ध्यान दिएर सुन्नुहोस्।
自己	आफैँ	म गृहकार्य आफैँ गर्न चाहन्छु।
自行车	साइकल	मेरो साइकल तल छ।
总是	सधैँ	ऊ सधैँ कार्यालयमा चाँडै आइपुग्छ।
嘴	मुख	कृपया मुख खोल्नुहोस्।
最后	अन्तिम; अन्तमा	अन्तमा हामी सबै सहमत भयौँ।
最近	हालै; यी दिनहरू	यी दिनहरू म धेरै व्यस्त छु।
作业	गृहकार्य; काम	मैले अझै गृहकार्य पूरा गरेको छैन।
