source_headword	BN	example_BN
candidate	প্রার্থী	প্রতিটি প্রার্থী তিনটি প্রশ্নের উত্তর দিল।
cap	টুপি	সে একটি বেসবল টুপি পরেছিল।
captain	অধিনায়ক	অধিনায়ক দলের সঙ্গে কথা বললেন।
careless	অসাবধান	একটি অসাবধান ভুল আমাদের সময় নষ্ট করল।
category	বিভাগ	সঠিক বিভাগটি বেছে নাও।
ceiling	সিলিং	সিলিংটি সাদা রঙ করা ছিল।
celebration	উৎসব	উৎসবটি সারা সন্ধ্যা চলল।
central	কেন্দ্রীয়	হোটেলটির অবস্থান কেন্দ্রীয়।
ceremony	অনুষ্ঠান	অনুষ্ঠানটি দুপুরে শুরু হলো।
chain	চেইন	সে রূপার চেইন পরেছিল।
challenge	চ্যালেঞ্জ	এই প্রকল্পটি সত্যিকারের চ্যালেঞ্জ।
champion	চ্যাম্পিয়ন	চ্যাম্পিয়ন তার কোচকে ধন্যবাদ দিল।
channel	চ্যানেল	দয়া করে চ্যানেলটি বদলাও।
chapter	অধ্যায়	আজ রাতে পরের অধ্যায় পড়ো।
charge	খরচ	শিশুদের জন্য কোনো খরচ নেই।
cheat	নকল করা	পরীক্ষায় নকল করো না।
cheerful	প্রফুল্ল	আজ সকালে তাকে প্রফুল্ল শোনাল।
chemical	রাসায়নিক	রাসায়নিক গন্ধটি তীব্র ছিল।
chest	বুক	দৌড়ানোর পর তার বুকে ব্যথা করছিল।
childhood	শৈশব	আমার শৈশবের বাড়ি মনে আছে।
claim	দাবি করা	তারা দাবি করে পণ্যটি নিরাপদ।
clause	ধারা	এই ধারা অর্থ বদলে দেয়।
click	ক্লিক করা	নীল বোতামে ক্লিক করো।
client	গ্রাহক	গ্রাহক আরও বিস্তারিত জানতে চাইল।
cloth	কাপড়	এই কাপড় দিয়ে টেবিল মুছো।
clue	সূত্র	সূত্রটি আমাদের সমাধান করতে সাহায্য করল।
coal	কয়লা	পুরোনো ট্রেনটি কয়লা ব্যবহার করত।
coin	মুদ্রা	সে মেঝেতে একটি মুদ্রা পেল।
collection	সংগ্রহ	তার ডাকটিকিট সংগ্রহ বড়।
coloured	রঙিন	সে রঙিন স্কার্ফ পরেছিল।
combine	মেশানো	ময়দা আর পানি মেশাও।
commercial	বাণিজ্যিক	বিজ্ঞাপন বিরতি পাঁচ মিনিট চলল।
commit	অঙ্গীকার করা	আমাদের পরিকল্পনার প্রতি অঙ্গীকার করতে হবে।
communication	যোগাযোগ	ভালো যোগাযোগ ভুল কমায়।
comparison	তুলনা	এই তুলনা উপকারী।
competitive	প্রতিযোগিতামূলক	বাজারটি খুব প্রতিযোগিতামূলক।
competitor	প্রতিযোগী	আমাদের প্রধান প্রতিযোগী দাম কমিয়েছে।
complaint	অভিযোগ	সে শব্দ নিয়ে অভিযোগ করল।
complex	জটিল	নির্দেশনাগুলো খুব জটিল।
concentrate	মনোযোগ দেওয়া	গান বাজলে আমি মনোযোগ দিতে পারি না।
conclude	শেষ করা	আমরা এখন বৈঠক শেষ করছি।
conclusion	উপসংহার	তার উপসংহার যুক্তিসঙ্গত মনে হলো।
confident	আত্মবিশ্বাসী	সাক্ষাৎকারের আগে সে আত্মবিশ্বাসী বোধ করল।
confirm	নিশ্চিত করা	দয়া করে তোমার ইমেইল ঠিকানা নিশ্চিত করো।
confuse	বিভ্রান্ত করা	এই দুই নাম আমাকে বিভ্রান্ত করে।
confused	বিভ্রান্ত	মানচিত্র দেখে আমি বিভ্রান্ত হলাম।
connection	সংযোগ	ইন্টারনেট সংযোগ ধীর।
consequence	পরিণতি	ঘুম কম হলে পরিণতি থাকে।
consist	গঠিত হওয়া	খাবারটি তিনটি পদ নিয়ে গঠিত।
consume	খরচ করা	বড় গাড়ি বেশি জ্বালানি খরচ করে।
consumer	ভোক্তা	ভোক্তা স্পষ্ট তথ্য চায়।
contact	যোগাযোগ করা	দুপুরের পর আমার সঙ্গে যোগাযোগ করো।
container	পাত্র	স্যুপটি একটি পাত্রে রাখো।
content1	বিষয়বস্তু	কোর্সের বিষয়বস্তু উপকারী।
continuous	অবিরাম	যন্ত্রটি অবিরাম শব্দ করছিল।
contrast	বৈসাদৃশ্য	তাদের মধ্যে বৈসাদৃশ্য স্পষ্ট।
convenient	সুবিধাজনক	স্টেশনটি খুব সুবিধাজনক।
convince	রাজি করানো	সে তাকে আবার চেষ্টা করতে রাজি করাল।
costume	পোশাক	সে জলদস্যুর পোশাক পরেছিল।
cottage	কুটির	তারা একটি ছোট কুটির ভাড়া নিয়েছিল।
cotton	তুলা	এই শার্টটি তুলা দিয়ে তৈরি।
countryside	গ্রামাঞ্চল	আমরা গ্রামাঞ্চল দিয়ে হাঁটলাম।
court	আদালত	মামলাটি আদালতে গেল।
covered	ঢাকা	টেবিলটি কাগজে ঢাকা ছিল।
cruel	নিষ্ঠুর	হাসা নিষ্ঠুর ছিল।
cultural	সাংস্কৃতিক	জাদুঘরটি সাংস্কৃতিক অনুষ্ঠান দেয়।
currency	মুদ্রা	স্থানীয় মুদ্রা ইউরো।
current	বর্তমান	বর্তমান পরিস্থিতি কঠিন।
currently	বর্তমানে	সে বর্তমানে বিদেশে পড়ছে।
curtain	পর্দা	রাতে পর্দা বন্ধ করো।
custom	প্রথা	এই প্রথা খুব পুরোনো।
damage	ক্ষতি	ঝড়টি গুরুতর ক্ষতি করেছে।
decade	দশক	তারা সেখানে এক দশক ছিল।
decorate	সাজানো	আমরা একসঙ্গে ঘর সাজাই।
define	সংজ্ঞায়িত করা	তুমি কি এই শব্দটি সংজ্ঞায়িত করতে পারো?
definite	নির্দিষ্ট	আমাদের একটি নির্দিষ্ট উত্তর দরকার।
definition	সংজ্ঞা	তোমার খাতায় সংজ্ঞাটি লেখো।
deliver	পৌঁছে দেওয়া	তারা আমাদের বাড়িতে খাবার পৌঁছে দেয়।
departure	প্রস্থান	প্রস্থানের সময় বদলেছে।
despite	সত্ত্বেও	বৃষ্টি সত্ত্বেও আমরা হাঁটলাম।
destination	গন্তব্য	প্যারিস ছিল তাদের শেষ গন্তব্য।
determine	নির্ধারণ করা	পরীক্ষা তোমার স্তর নির্ধারণ করে।
determined	দৃঢ়প্রতিজ্ঞ	সে সফল হতে দৃঢ়প্রতিজ্ঞ ছিল।
development	উন্নয়ন	শহরের উন্নয়ন দ্রুত ছিল।
diagram	চিত্র	একটি সহজ চিত্র আঁকো।
diamond	হীরা	আংটিতে একটি ছোট হীরা ছিল।
difficulty	অসুবিধা	দরজা খুলতে তার অসুবিধা হচ্ছিল।
directly	সরাসরি	দয়া করে আমার সঙ্গে সরাসরি কথা বলো।
dirt	ময়লা	তার জুতা ময়লায় ঢাকা ছিল।
disadvantage	অসুবিধা	দীর্ঘ যাত্রা একটি অসুবিধা।
disappointed	হতাশ	সে ফলাফলে হতাশ বোধ করল।
disappointing	হতাশাজনক	শেষটা হতাশাজনক ছিল।
discount	ছাড়	শিক্ষার্থীরা এখানে ছাড় পায়।
dislike	অপছন্দ করা	আমি খুব জোরে গান অপছন্দ করি।
divide	ভাগ করা	কেকটি টুকরোতে ভাগ করো।
documentary	প্রামাণ্যচিত্র	আমরা মহাকাশ নিয়ে একটি প্রামাণ্যচিত্র দেখলাম।
donate	দান করা	অনেক মানুষ পুরোনো কাপড় দান করে।
doubt	সন্দেহ	এ বিষয়ে আমার কোনো সন্দেহ নেই।
dressed	পোশাক পরা	সে কালো পোশাক পরা ছিল।
drum	ঢোল	ঘর জুড়ে ঢোলের শব্দ শোনা গেল।
drunk	মাতাল	চালকটি মাতাল ছিল।
due	নির্ধারিত	প্রতিবেদনটি কাল জমা দেওয়ার কথা।
dust	ধুলো	পুরোনো বইগুলো ধুলোয় ঢাকা ছিল।
duty	কর্তব্য	সাহায্য করা আমার কর্তব্য।
earthquake	ভূমিকম্প	ভূমিকম্পটি সেতু ক্ষতিগ্রস্ত করল।
eastern	পূর্ব	পূর্ব উপকূলটি বাতাসপূর্ণ।
economic	অর্থনৈতিক	দেশটি অর্থনৈতিক সমস্যার মুখোমুখি।
economy	অর্থনীতি	এই বছর অর্থনীতি বেড়েছে।
edge	কিনারা	কিনারা থেকে দূরে দাঁড়াও।
editor	সম্পাদক	সম্পাদক নিবন্ধটি পরীক্ষা করলেন।
educate	শিক্ষা দেওয়া	স্কুল তরুণদের শিক্ষা দেয়।
educated	শিক্ষিত	সে খুব শিক্ষিত।
educational	শিক্ষামূলক	খেলাটি শিক্ষামূলক।
effective	কার্যকর	এই ওষুধ কার্যকর।
effectively	কার্যকরভাবে	সে নিয়মটি কার্যকরভাবে ব্যাখ্যা করল।
effort	চেষ্টা	তোমার চেষ্টা পার্থক্য এনেছে।
election	নির্বাচন	নির্বাচনের ফল কাছাকাছি ছিল।
element	উপাদান	বিশ্বাস একটি গুরুত্বপূর্ণ উপাদান।
embarrassed	বিব্রত	পড়ে যাওয়ার পর সে বিব্রত বোধ করল।
embarrassing	বিব্রতকর	সেটি ছিল বিব্রতকর ভুল।
emergency	জরুরি অবস্থা	জরুরি অবস্থায় এই নম্বরে ফোন করো।
emotion	আবেগ	ভয় একটি শক্তিশালী আবেগ।
employment	কর্মসংস্থান	এই মাসে কর্মসংস্থান বেড়েছে।
encourage	উৎসাহিত করা	শিক্ষকরা শিক্ষার্থীদের পড়তে উৎসাহিত করেন।
enemy	শত্রু	দুই দেশ শত্রু ছিল।
engaged	বাগদান করা	গত বসন্তে তাদের বাগদান হলো।
engineering	প্রকৌশল	সে বিশ্ববিদ্যালয়ে প্রকৌশল পড়ে।
entertain	বিনোদন দেওয়া	গায়ক অতিথিদের বিনোদন দেবে।
entertainment	বিনোদন	শহরটি সন্ধ্যার বিনোদন দেয়।
entrance	প্রবেশদ্বার	প্রবেশদ্বারে আমার সঙ্গে দেখা করো।
entry	প্রবেশ	শিশুদের জন্য প্রবেশ বিনামূল্যে।
environmental	পরিবেশগত	আমরা পরিবেশগত সমস্যা নিয়ে আলোচনা করলাম।
episode	পর্ব	শেষ পর্বটি উত্তেজনাপূর্ণ ছিল।
equal	সমান	তারা সমান বেতন পায়।
equally	সমানভাবে	কাজটি সমানভাবে ভাগ করা হয়েছে।
escape	পালানো	বন্দীরা পালানোর চেষ্টা করল।
essential	অপরিহার্য	পানি জীবনের জন্য অপরিহার্য।
eventually	শেষ পর্যন্ত	শেষ পর্যন্ত আমরা হোটেলটি খুঁজে পেলাম।
examine	পরীক্ষা করা	ডাক্তার আমার বাহু পরীক্ষা করলেন।
exchange	বিনিময়	আমরা দোকানে একটি বিনিময় করলাম।
excitement	উত্তেজনা	খেলাটি উত্তেজনায় ভরা ছিল।
exhibition	প্রদর্শনী	শিল্প প্রদর্শনী কাল খুলবে।
expand	প্রসারিত করা	কোম্পানি প্রসারিত করার পরিকল্পনা করছে।
expected	প্রত্যাশিত	প্রত্যাশিত খরচ বেশি।
expedition	অভিযান	অভিযানটি মরুভূমি পার হলো।
experienced	অভিজ্ঞ	সে একজন অভিজ্ঞ নার্স।
explode	বিস্ফোরিত হওয়া	গরমে বোতলটি বিস্ফোরিত হতে পারে।
explore	অনুসন্ধান করা	আমরা পুরোনো শহরটি অনুসন্ধান করলাম।
explosion	বিস্ফোরণ	বিস্ফোরণে কয়েকটি জানালা ভেঙে গেল।
export	রপ্তানি	কফি একটি গুরুত্বপূর্ণ রপ্তানি পণ্য।
fairly	মোটামুটি	পরীক্ষাটি মোটামুটি সহজ ছিল।
familiar	পরিচিত	তার মুখ পরিচিত লাগছিল।
fancy	চাওয়া	তুমি কি কফি চাও?
fascinating	মনোমুগ্ধকর	গল্পটি মনোমুগ্ধকর ছিল।
fashionable	ফ্যাশনেবল	ওই জুতাগুলো ফ্যাশনেবল।
fasten	বাঁধা	তোমার সিট বেল্ট বাঁধো।
favour	উপকার	তুমি কি আমাকে একটি উপকার করবে?
fence	বেড়া	বেড়াটি বাগান ঘিরে রেখেছে।
fighting	লড়াই	ভোরে লড়াই থেমে গেল।
file	ফাইল	বন্ধ করার আগে ফাইলটি সংরক্ষণ করো।
financial	আর্থিক	তার আর্থিক পরামর্শ দরকার।
fitness	ফিটনেস	দৌড়ানো তোমার ফিটনেস বাড়ায়।
fixed	স্থির	দামটি স্থির।
flag	পতাকা	পতাকাটি স্কুলের ওপরে উড়ছিল।
flood	বন্যা	বন্যায় অনেক বাড়ি ক্ষতিগ্রস্ত হলো।
flour	ময়দা	বাটিতে ময়দা যোগ করো।
flow	প্রবাহিত হওয়া	নদীটি শহরের মধ্য দিয়ে প্রবাহিত হয়।
fold	ভাঁজ করা	কাগজটি অর্ধেক ভাঁজ করো।
folk	লোকসংগীত	হলে লোকসংগীত বাজছিল।
force	শক্তি	বাতাসের শক্তি খুব বেশি ছিল।
forever	চিরকাল	আমি এটি চিরকাল মনে রাখব।
frame	ফ্রেম	ছবিটির জন্য একটি ফ্রেম দরকার।
freeze	জমে যাওয়া	রাতারাতি পানি জমে যাবে।
frequently	প্রায়ই	সে প্রায়ই বাবা-মাকে দেখতে যায়।
friendship	বন্ধুত্ব	তাদের বন্ধুত্ব বহু বছর স্থায়ী ছিল।
frighten	ভয় দেখানো	জোরে শব্দ শিশুটিকে ভয় দেখায়।
frightened	ভীত	শিশুটিকে ভীত দেখাচ্ছিল।
frightening	ভয়ংকর	ঝড়টি ভয়ংকর ছিল।
frozen	জমাট বাঁধা	হ্রদটি জমাট বাঁধা ছিল।
fry	ভাজা	পেঁয়াজ পাঁচ মিনিট ভাজো।
fuel	জ্বালানি	গাড়ির আরও জ্বালানি দরকার।
function	কাজ	এই বোতামের একটি কাজ আছে।
fur	পশম	বিড়ালের নরম পশম আছে।
garage	গ্যারেজ	গাড়িটি গ্যারেজে আছে।
gather	জড়ো হওয়া	আমরা টেবিলের চারপাশে জড়ো হলাম।
generally	সাধারণত	সে সাধারণত তাড়াতাড়ি আসে।
generation	প্রজন্ম	প্রতিটি প্রজন্ম নতুন সমস্যার মুখোমুখি হয়।
generous	উদার	সে নিজের সময় নিয়ে উদার।
gentle	কোমল	কোমল স্বর ব্যবহার করো।
gentleman	ভদ্রলোক	ভদ্রলোকটি দরজা খুলে দিলেন।
ghost	ভূত	গল্পটিতে একটি ভূতের কথা আছে।
giant	বিশাল	একটি বিশাল পর্দা মঞ্চ ভরেছিল।
glad	খুশি	তুমি এসেছ বলে আমি খুশি।
global	বৈশ্বিক	জলবায়ু পরিবর্তন একটি বৈশ্বিক সমস্যা।
glove	দস্তানা	আমি একটি দস্তানা হারিয়েছি।
goods	পণ্য	পণ্যগুলো দেরিতে পৌঁছেছে।
grade	নম্বর	সে উচ্চ নম্বর পেয়েছে।
graduate	স্নাতক	সে সাম্প্রতিক স্নাতক।
grain	দানা	একটি চালের দানা পড়ে গেল।
grateful	কৃতজ্ঞ	তোমার সহায়তার জন্য আমি কৃতজ্ঞ।
growth	বৃদ্ধি	গাছটি স্থির বৃদ্ধি দেখাল।
guard	প্রহরী	প্রহরী আমাদের টিকিট পরীক্ষা করল।
guilty	দোষী	মিথ্যা বলার জন্য সে দোষী বোধ করল।
hang	ঝোলানো	তোমার কোট এখানে ঝোলাও।
happiness	সুখ	টাকা সুখ কিনতে পারে না।
hardly	কষ্টে	আমি তোমাকে কষ্টে শুনতে পাচ্ছিলাম।
headline	শিরোনাম	শিরোনামটি আমার দৃষ্টি আকর্ষণ করল।
heating	গরম করার ব্যবস্থা	গরম করার ব্যবস্থা বন্ধ হয়ে গেল।
heavily	ভারীভাবে	সারা রাত ভারীভাবে বৃষ্টি হলো।
helicopter	হেলিকপ্টার	কাছে একটি হেলিকপ্টার নামল।
highlight	তুলে ধরা	দয়া করে মূল ধারণাটি তুলে ধরো।
highly	অত্যন্ত	সে অত্যন্ত সম্মানিত।
hire	ভাড়া করা	আমাদের একটি গাড়ি ভাড়া করতে হবে।
historic	ঐতিহাসিক	আমরা একটি ঐতিহাসিক ভবন দেখলাম।
historical	ঐতিহাসিক	সে ঐতিহাসিক উপন্যাস ভালোবাসে।
honest	সৎ	দয়া করে সৎ উত্তর দাও।
horrible	ভয়ানক	গন্ধটি ভয়ানক ছিল।
horror	ভৌতিক	সে ভৌতিক চলচ্চিত্র উপভোগ করে।
host	আয়োজক	আয়োজক প্রত্যেক অতিথিকে স্বাগত জানাল।
