source_headword	NE	example_NE
bias	पक्षपात	लेखले स्पष्ट पक्षपात देखायो।
bid	बोलपत्र	कम्पनीले उच्च बोलपत्र राख्यो।
biological	जैविक	जैविक परीक्षणले परिणाम पुष्टि गर्यो।
blanket	कम्बल	बच्चा कम्बलमुनि सुत्यो।
blow	प्रहार	कडा प्रहारले झ्याल फुटायो।
bold	साहसी	शीर्षकले गाढा अक्षरहरू प्रयोग गर्‍यो।
bombing	बम विष्फोट	बम विष्फोटले धेरै भवनहरूलाई क्षति पुर्यायो।
booking	बुकिङ	मैले होटलको बुकिङ पुष्टि गरें।
boost	प्रोत्साहन	जितले टोलीको आत्मविश्वास बढायो।
bound	बाध्य	पार्सल डोरीले बाँधिएको थियो।
brick	इँटा	पर्खाल इँटाले बनेको छ।
briefly	छोटकरीमा	उनले दिउँसोको खानापछि छोटकरीमा बोलिन्।
broadcaster	प्रसारक	प्रसारकले मेयरको अन्तर्वार्ता लिए।
broadly	व्यापक रूपमा	दुई योजनाहरू व्यापक रूपमा समान छन्।
bug	त्रुटि	एउटा बगको कारणले एप क्र्यास भयो।
cabin	क्याबिन	हामी सानो क्याबिनमा बस्यौं।
canal	नहर	डुङ्गाहरू नहरको छेउमा बिस्तारै अघि बढे।
candle	मैनबत्ती	टेबलमा मैनबत्ती बल्यो।
carbon	कार्बन	रूखहरूले हावाबाट कार्बन सोस्छन्।
casual	अनौपचारिक	उनले काममा अनौपचारिक लुगा लगाए।
cave	गुफा	पदयात्रीहरू गुफामा प्रवेश गरे।
certainty	निश्चितता	हामी निश्चितताका साथ जान्न सक्दैनौं।
certificate	प्रमाणपत्र	उनले तालिम प्रमाणपत्र प्राप्त गरिन्।
challenging	चुनौतीपूर्ण	पाठ्यक्रम चुनौतीपूर्ण तर उपयोगी थियो।
championship	च्याम्पियनसिप	हाम्रो टोली च्याम्पियनसिपको फाइनलमा पुग्यो।
charming	आकर्षक	पुरानो सडक आकर्षक देखिन्थ्यो।
chase	पीछा	कुकुरले बललाई लखेट्यो।
cheek	गाला	उनको गालामा आँसु बग्यो।
cheer	जयजयकार	भीडले ठूलो स्वरमा जयजयकार गर्न थाल्यो।
choir	गायन समूह	गायक समूहले सुन्दर ढंगले गायो।
chop	काट्नु	प्याजलाई साना टुक्राहरूमा काट्नुहोस्।
circuit	सर्किट	धावकले सर्किट पूरा गर्यो।
civilization	सभ्यता	पुरातन सभ्यताले यस क्षेत्रलाई आकार दियो।
clarify	स्पष्ट पार्नु	कृपया अन्तिम बिन्दु स्पष्ट गर्नुहोस्।
classify	वर्गीकरण गर्नु	वैज्ञानिकहरूले जनावरहरूलाई प्रजातिद्वारा वर्गीकरण गर्छन्।
clerk	क्लर्क	क्लर्कले रसिद प्रिन्ट गरे।
cliff	भिर	बाटो भीरको नजिकै समाप्त हुन्छ।
clinic	क्लिनिक	क्लिनिक आठ बजे खुल्छ।
clip	क्लिप	उनले कागजमा क्लिप लगाइन्।
coincidence	संयोग	उसलाई त्यहाँ भेट्नु एउटा संयोग थियो।
collector	सङ्कलक	सङ्कलकले दुर्लभ सिक्काहरू किने।
colony	उपनिवेश	कमिलाहरूले ठूलो बस्ती बनाए।
colourful	रंगीन	बजार उज्यालो र रंगीन थियो।
comic	हास्य	हास्य दृश्यले हामीलाई हँसायो।
commander	कमाण्डर	कमाण्डरले स्पष्ट आदेश दिए।
comparative	तुलनात्मक	निबन्धले तुलनात्मक डाटा प्रयोग गर्दछ।
completion	पूर्णता	पुल निर्माण पूरा हुने अवस्थामा छ।
compose	रचना गर्नु	उनले फिल्मका लागि संगीत रचना गर्नेछन्।
composer	संगीतकार	संगीतकारले नयाँ गीत लेखे।
compound	मिश्रण	यौगिकमा दुई रसायनहरू हुन्छन्।
comprehensive	व्यापक	गाइडले विस्तृत निर्देशनहरू दिन्छ।
comprise	समावेश गर्नु	टोलीमा पाँच सदस्यहरू समावेश छन्।
compulsory	अनिवार्य	यस कक्षाका लागि उपस्थिति अनिवार्य छ।
concrete	ठोस	भुइँ कंक्रीटले बनेको छ।
confess	स्वीकार्नु	उसले आफ्नो शिक्षकसामु गल्ती स्वीकार गर्‍यो।
confusion	भ्रम	ढिलाइले अन्योल निम्त्यायो।
consequently	फलस्वरूप	पानी पर्यो; फलस्वरूप, खेल रोकियो।
conservation	संरक्षण	संरक्षणले दुर्लभ जनावरहरूलाई जोगाउँछ।
considerable	पर्याप्त	मर्मतमा धेरै समय लाग्यो।
considerably	धेरै मात्रामा	यस वर्ष मूल्य निकै बढ्यो।
consistently	लगातार	उनी निरन्तर राम्रो प्रदर्शन गर्छिन्।
conspiracy	षड्यन्त्र	प्रहरीले षड्यन्त्रको अनुसन्धान गर्‍यो।
consult	परामर्श लिनु	औषधि खानुअघि आफ्नो डाक्टरसँग परामर्श गर्नुहोस्।
consultant	परामर्शदाता	परामर्शदाताले नयाँ रणनीति सुझाव दिए।
consumption	खपत	गत महिना ऊर्जा खपत घट्यो।
controversial	विवादास्पद	नीति विवादास्पद नै छ।
controversy	विवाद	निर्णयले विवाद निम्त्यायो।
convenience	सुविधा	पसलले ठूलो सुविधा प्रदान गर्दछ।
convention	परम्परा	वार्षिक सम्मेलन सोमबार सुरु हुन्छ।
conventional	परम्परागत	उसले परम्परागत डिजाइन रोज्यो।
convey	व्यक्त गर्नु	सन्देशले सहानुभूति व्यक्त गर्‍यो।
convincing	विश्वसनीय	उनको स्पष्टीकरण विश्वासिलो थियो।
cope	सामना गर्नु	उनले तनावको सामना गर्न सिकिन्।
corporation	निगम	निगमले नयाँ कार्यालय खोल्यो।
corridor	करिडोर	करिडोर साँघुरो र शान्त थियो।
counter (long flat surface)	काउन्टर	चाबीहरू भान्साको काउन्टरमा छन्।
coverage	कभरेज	समाचार कभरेज साँझभरि चल्यो।
crack	दरार	पर्खालमा चिरा देखा पर्यो।
craft	शिल्प	उनी अनलाइन हस्तकला बेच्छिन्।
creativity	रचनात्मकता	सिर्जनशीलताले समस्या समाधान गर्न मद्दत गर्दछ।
critically	गम्भीरतापूर्वक	लेख अत्यन्त महत्त्वपूर्ण थियो।
cruise	क्रूज	उनीहरूले ग्रीसको लागि क्रूज बुक गरे।
cue	संकेत	अभिनेताले आफ्नो संकेत छुटाए।
curious	जिज्ञासु	बच्चा अन्तरिक्षको बारेमा जिज्ञासु थियो।
curriculum	पाठ्यक्रम	विद्यालयले आफ्नो पाठ्यक्रम अद्यावधिक गर्‍यो।
cute	प्यारो	कुकुरको छाउरो प्यारो देखिन्थ्यो।
dairy	डेयरी	फर्मले दुग्ध उत्पादनहरू उत्पादन गर्दछ।
dare	आँट गर्नु	म तिमीलाई यो प्रयास गर्न चुनौती दिन्छु।
darkness	अन्धकार	कोठा अन्धकारले भरियो।
database	डाटाबेस	डाटाबेसले ग्राहकको रेकर्ड भण्डारण गर्छ।
deadline	समयसीमा	समयसीमा शुक्रबार हो।
deadly	घातक	सर्पसँग घातक विष छ।
dealer	व्यापारी	कार बिक्रेताले छुट प्रस्ताव गर्‍यो।
deck	डेक	कुर्सीहरू डेकमा छन्।
defender	रक्षक	रक्षकले प्रहार रोक्यो।
delete	मेटाउनु	पुरानो सन्देश हटाउनुहोस्।
democracy	लोकतन्त्र	लोकतन्त्र स्वतन्त्र चुनावमा निर्भर हुन्छ।
democratic	लोकतान्त्रिक	मतदानले लोकतान्त्रिक नियमहरूको पालना गर्‍यो।
demonstration	प्रदर्शन	विद्यार्थीहरू प्रदर्शनमा सामेल भए।
depart	प्रस्थान गर्नु	रेल दिउँसो प्रस्थान गर्नेछ।
dependent	आश्रित	बच्चा वयस्कहरूमा निर्भर छ।
deposit	जम्मा	उनले अपार्टमेन्टको लागि धरौटी तिरिन्।
depression	डिप्रेसन	डिप्रेसनलाई पेशेवर सहयोग चाहिन्छ।
derive	प्राप्त गर्नु	धेरै शब्दहरू ल्याटिनबाट आएका हुन्।
desperately	अत्यन्तै	उनलाई अत्यन्तै पानीको आवश्यकता थियो।
destruction	विनाश	आँधीले व्यापक विनाश गर्‍यो।
determination	दृढ संकल्प	उनको दृढ संकल्पले प्रशिक्षकलाई प्रभावित गर्‍यो।
devote	समर्पित गर्नु	उनी सप्ताहान्त अध्ययनमा समर्पित गर्छिन्।
differ	फरक पर्नु	उनीहरूको विचार निकै फरक छ।
disability	अपाङ्गता	भवनमा अपाङ्गता पहुँच छ।
disabled	असक्षम	अपाङ्गता भएका खेलाडीले पदक जिते।
disagreement	असहमति	बैठक असहमतिमा समाप्त भयो।
disappoint	निराश पार्नु	परिणामले प्रशंसकहरूलाई निराश गर्न सक्छ।
disappointment	निराशा	उनले गहिरो निराशा महसुस गरे।
discourage	निरुत्साहित गर्नु	युवा विद्यार्थीहरूलाई निरुत्साहित नगर्नुहोस्।
disorder	विकार	डाक्टरले निद्राको विकार पत्ता लगाए।
distant	टाढाको	पहाडहरू टाढा देखिन्थे।
distinct	स्पष्ट	दुई आवाजहरू फरक छन्।
distinguish	छुट्याउनु	के तपाईं यी रङहरू छुट्याउन सक्नुहुन्छ?
distract	ध्यान भङ्ग गर्नु	हल्लाले विद्यार्थीहरूको ध्यान भङ्ग गर्न सक्छ।
disturb	बाधा पुऱ्याउनु	कृपया बिरामीलाई बाधा नपुर्याउनुहोस्।
dive	डुब्नु	तिनीहरू चट्टान नजिकै डुबुल्की मार्नेछन्।
diverse	विविध	शहरमा विविध संस्कृतिहरू छन्।
diversity	विविधता	हामी सांस्कृतिक विविधता मनाउँछौं।
divorce	सम्बन्धविच्छेद	सम्बन्धविच्छेद सबैको लागि गाह्रो थियो।
dominant	प्रमुख	हावी टोलीले खेल नियन्त्रण गर्‍यो।
donation	दान	परोपकारी संस्थाले चन्दा प्राप्त गर्‍यो।
dot	थोप्लो	सङ्ख्या पछि एउटा थोप्लो राख्नुहोस्।
downtown	सहरको केन्द्र	हामी काम पछि शहरको केन्द्रमा भेट्यौं।
dramatically	नाटकीय रूपमा	मूल्य नाटकीय रूपमा घट्यो।
drought	खडेरी	खडेरीले बालीनालीलाई क्षति पुर्यायो।
dull	नीरस	व्याख्यान नीरस थियो।
dump	फ्याँक्नु	यहाँ फोहोर नफाल्नुहोस्।
duration	अवधि	उडानको अवधि तीन घण्टा हो।
dynamic	गतिशील	कक्षाकोठा गतिशील महसुस भयो।
economics	अर्थशास्त्र	उनी विश्वविद्यालयमा अर्थशास्त्र पढ्छिन्।
economist	अर्थशास्त्री	अर्थशास्त्रीले ढिलो वृद्धिको भविष्यवाणी गरे।
editorial	सम्पादकीय	सम्पादकीयले कानुनको आलोचना गर्‍यो।
efficiently	कुशलतापूर्वक	टोलीले कुशलतापूर्वक काम गर्‍यो।
elbow	कुहिनो	उसले आफ्नो कुहिनोमा चोट लगायो।
electronics	इलेक्ट्रोनिक्स	पसलले इलेक्ट्रोनिक्स बेच्छ।
elegant	सुन्दर	पोशाक आकर्षक देखिन्थ्यो।
elementary	प्राथमिक	पुस्तकले आधारभूत व्याकरण बुझाउँछ।
eliminate	हटाउनु	टोलीले धेरै त्रुटिहरू हटायो।
embrace	अंगाल्नु	उनले नयाँ विचारलाई स्वीकार गरिन्।
emission	उत्सर्जन	कारको उत्सर्जन स्तर घट्यो।
emotionally	भावनात्मक रूपमा	उसले आफ्नो परिवारको बारेमा भावनात्मक रूपमा कुरा गर्यो।
empire	साम्राज्य	साम्राज्य शताब्दीयौंसम्म चल्यो।
enjoyable	रमाइलो	यात्रा रमाइलो थियो।
entertaining	मनोरञ्जक	कार्यक्रम मनोरञ्जनात्मक थियो।
entrepreneur	उद्यमी	उद्यमीले एउटा क्याफे खोले।
envelope	खाम	चिठीलाई खाममा राख्नुहोस्।
equip	सुसज्जित गर्नु	विद्यालयले प्रयोगशालालाई सुसज्जित गर्नेछ।
equivalent	समतुल्य	एक डलर यहाँ समतुल्य छैन।
era	युग	खोजले नयाँ युगको सुरुवात गर्‍यो।
erupt	विस्फोट हुनु	ज्वालामुखी चाँडै विष्फोट हुन सक्छ।
essentially	मूलतः	दुई विधिहरू मूलतः समान छन्।
ethic	नैतिकता	उसको कामको नैतिकता बलियो छ।
ethnic	जातीय	चाडपर्वले जातीय परम्पराहरू मनाउँछ।
evaluation	मूल्याङ्कन	पाठ्यक्रममा अन्तिम मूल्याङ्कन समावेश छ।
evident	स्पष्ट	उसको घबराहट स्पष्ट थियो।
evolution	विकास	क्रमिक विकासले धेरै जैविक परिवर्तनहरू वर्णन गर्दछ।
evolve	विकसित हुनु	भाषाहरू समयसँगै विकसित हुन्छन्।
exceed	नाघ्नु	मागले आपूर्तिलाई नाघ्न सक्छ।
exception	अपवाद	त्यहाँ एउटा अपवाद छ।
excessive	अत्यधिक	अत्यधिक आवाजले छिमेकीहरूलाई सताउँछ।
exclude	बहिष्कार गर्नु	सूचीले अस्थायी कामदारहरूलाई समावेश गर्दैन।
exhibit	प्रदर्शनी	संग्रहालयले दुर्लभ तस्बिरहरू प्रदर्शन गर्नेछ।
exit	निकास	निकास मञ्चको पछाडि छ।
exotic	विदेशी	पसलले अनौठो फलफूल बेच्छ।
expansion	विस्तार	कम्पनीले विस्तारको योजना बनायो।
expertise	विशेषज्ञता	उनको विशेषज्ञताले परियोजनालाई सुधार गर्‍यो।
exploit	शोषण गर्नु	अपराधीहरूले कमजोर पासवर्डहरूको शोषण गर्छन्।
exposure	जोखिम	घामको सम्पर्कले छालालाई हानि पुऱ्याउन सक्छ।
extension	विस्तार	म्याद थपले सबैलाई मद्दत गर्‍यो।
extensive	व्यापक	पुस्तकालयमा व्यापक स्रोतहरू छन्।
extensively	व्यापक रूपमा	विषयको व्यापक रूपमा अध्ययन गरियो।
extract	अंश	भनिलाको अर्कले स्वाद दिन्छ।
fabric	कपडा	कपडा नरम महसुस हुन्छ।
fabulous	शानदार	खाना शानदार थियो।
failed	असफल	असफल प्रयासले हामीलाई केही सिकायो।
fake	नक्कली	वेबसाइटले नक्कली टिकटहरू बेच्यो।
fame	प्रसिद्धि	प्रसिद्धिले उसको निजी जीवन परिवर्तन गर्‍यो।
fantasy	कल्पना	उपन्यास एउटा फ्यान्टेसी हो।
fare	भाडा	बसको भाडा बढ्यो।
federal	संघीय	संघीय सरकारले कोषको घोषणा गर्‍यो।
fever	ज्वरो	बच्चालाई ज्वरो आएको छ।
firefighter	दमकलकर्मी	दमकलकर्मीले कुकुरको उद्धार गरे।
firework	पटका	पार्कको माथि एउटा पटाका पड्कियो।
firm	दृढ	ओछ्यान कडा छ।
firmly	दृढतापूर्वक	उनले ढोका दृढतापूर्वक बन्द गरिन्।
flavour	स्वाद	सुपको स्वाद गाढा छ।
fond	मनपर्ने	उनी ज्याज संगीतको सौखिन छन्।
fool	मूर्ख	मूर्ख जस्तो व्यवहार नगर।
forbid	निषेध गर्नु	कानुनले यहाँ धुम्रपान निषेध गर्दछ।
forecast	पूर्वानुमान	पूर्वानुमानले पानी पर्ने देखाउँछ।
format	ढाँचा	सही फाइल ढाँचा प्रयोग गर्नुहोस्।
formation	गठन	बादलको गठन छिटै परिवर्तन हुन्छ।
formerly	पहिले	यो भवन पहिले विद्यालय थियो।
fortunate	भाग्यशाली	हामी चाँडै आइपुग्न पाउँदा भाग्यशाली थियौं।
forum	मञ्च	मञ्चमा जलवायु नीतिको बारेमा छलफल भयो।
fossil	जीवाश्म	ढुङ्गामा जीवाश्म फेला परेको थियो।
foundation	जग	घरको जग बलियो छ।
founder	संस्थापक	संस्थापकले पाहुनाहरूलाई स्वागत गरे।
fraction	अंश	विद्यार्थीहरूको सानो अंश मात्र आए।
fragment	टुक्रा	भुइँमा सिसाको टुक्रा लडेको थियो।
framework	रूपरेखा	कानुनले स्पष्ट रूपरेखा बनाउँछ।
fraud	धोखाधडी	बैंकले ठगी पत्ता लगायो।
freely	स्वतन्त्र रूपमा	बच्चाहरू बाहिर स्वतन्त्र रूपमा खेले।
frequent	बारम्बार	बारम्बार विश्राम लिनाले ध्यान केन्द्रित गर्न मद्दत गर्छ।
fulfil	पूरा गर्नु	म मेरो वाचा पूरा गर्ने आशा गर्छु।
full-time	पूर्ण-समय	उनको पूर्ण-समय काम छ।
fundamentally	मौलिक रूपमा	योजना आधारभूत रूपमा फरक छ।
furious	क्रुद्ध	उनी ढिलाइको कारण क्रुद्ध थिए।
gaming	गेमिङ	गेमिङले प्रतिक्रिया गति सुधार गर्न सक्छ।
gay	समलिङ्गी	उनी समलिङ्गी अधिकारको समर्थन गर्छन्।
gender	लिङ्ग	सर्वेक्षणमा लिङ्गको बारेमा सोधिएको थियो।
gene	जीन	जीनले आँखाको रङलाई असर गर्छ।
genetic	आनुवंशिक	रोगको आनुवंशिक कारणहरू छन्।
genius	प्रतिभाशाली	युवा पियानोवादक एक प्रतिभाशाली हुन्।
genuine	वास्तविक	उनको मुस्कान वास्तविक देखिन्थ्यो।
genuinely	साँच्चिकै	उनी साँच्चै मद्दत गर्न चाहन्थे।
gesture	इशारा	उनले मित्रैलो इशारा गरिन्।
gig	गिग	ब्यान्डले सहरको बीचमा सांगीतिक कार्यक्रम गर्यो।
globalization	विश्वव्यापीकरण	भूमण्डलीकरणले स्थानीय व्यवसायहरूलाई असर गर्छ।
globe	पृथ्वी	ग्लोबले हरेक महाद्वीप देखाउँछ।
golden	सुनौलो	सूर्यास्त सुनौलो भयो।
goodness	भलाइ	उनी मानव भलाइमा विश्वास गर्छिन्।
gorgeous	भव्य	बगैंचा धेरै सुन्दर देखिन्थ्यो।
governor	गभर्नर	गभर्नरले विधेयकमा हस्ताक्षर गरे।
graphic	ग्राफिक	ग्राफिक तस्बिरले दर्शकहरूलाई चकित पार्यो।
graphics	ग्राफिक्स	खेलमा साधारण ग्राफिक्स छ।
greatly	धेरै	तपाईंको सल्लाहले धेरै मद्दत गर्यो।
greenhouse	हरितगृह	गोलभेँडा ग्रीनहाउस भित्र फल्छन्।
grocery	किराना	उनले काम पछि किराना सामानहरू किनिन्।
guideline	दिशानिर्देश	निर्देशिकाले सुरक्षित अभ्यासको व्याख्या गर्छ।
habitat	वासस्थान	जङ्गल चराहरूको बासस्थान हो।
harbour	बन्दरगाह	डुङ्गा बन्दरगाहमा प्रवेश गर्यो।
headquarters	मुख्यालय	कम्पनीको मुख्यालय सहरको बीचमा सर्यो।
