source_headword	TR	example_TR
simple	basit	Bu alıştırma basit.
since	beri	Öğlenden beri bekliyorum.
singing	şarkı söylemek	Şarkı söylemek beni rahatlatır.
single	tek	Tek bilet aldım.
sir	efendim	Efendim, çantanız hazır.
site	site	Bu site güvenli.
size	beden	Hangi beden gerekiyor?
ski	kayak yapmak	Kışın kayak yaparız.
skiing	kayak	Kışın kayak eğlencelidir.
skin	cilt	Onun cildi kuru hissediyor.
sky	gökyüzü	Gökyüzü açık.
slowly	yavaşça	Buzda yavaşça yürü.
smartphone	akıllı telefon	Akıllı telefonum yeni.
smell	kokmak	Çorba güzel kokuyor.
smile	gülümsemek	Kamera için gülümse.
smoke	duman	Odayı duman doldurdu.
smoking	sigara içmek	Sigara içmek yasaktır.
soap	sabun	Sabun ve su kullan.
soccer	futbol	Futbol burada popülerdir.
social	sosyal	Bu sosyal bir etkinliktir.
society	toplum	Toplum zamanla değişir.
sock	çorap	Bir çorap kayıp.
soft	yumuşak	Bu battaniye yumuşak.
soldier	asker	Asker eve döndü.
solution	çözüm	Bir çözüm bulduk.
solve	çözmek	Bu bulmacayı çöz.
somewhere	bir yer	Onu güvenli bir yere koy.
sort	tür	Hangi türü istiyorsun?
source	kaynak	Önce kaynağı kontrol et.
speaker	konuşmacı	Konuşmacı yüksek sesliydi.
specific	belirli	Belirli bir cevap gerekiyor.
speech	konuşma	Onun konuşması kısaydı.
speed	hız	Burada hızını azalt.
spider	örümcek	Duvarda bir örümcek var.
spoon	kaşık	Çorba için kaşık kullan.
square	kare	Kare bir kutu çiz.
stage	sahne	Grup sahnede.
stair	basamak	Basamak kırık.
stamp	pul	Mektuba pul yapıştır.
state	belirtmek	Adını açıkça belirt.
steal	çalmak	Para çalma.
step	adım	Bir adım öne at.
stomach	mide	Midem ağrıyor.
stone	taş	Taş ağır.
store	mağaza	Mağaza erken kapanıyor.
storm	fırtına	Bir fırtına geliyor.
straight	doğruca	Doğruca eve git.
strange	garip	Bu ses garip.
strategy	strateji	Bir stratejiye ihtiyacımız var.
stress	stres	İş stres yaratabilir.
structure	yapı	Bu yapı sağlam.
stupid	aptalca	Bu aptalca bir hataydı.
succeed	başarılı olmak	Burada başarılı olabilirsin.
successful	başarılı	O başarılı oldu.
such	böyle	Böyle yardım faydalıdır.
suddenly	aniden	Aniden köpek kaçtı.
suggest	önermek	Kısa bir mola öneriyorum.
suggestion	öneri	Önerin faydalı.
suit	takım elbise	Bu takım elbise pahalı.
support	desteklemek	Takımımızı destekliyoruz.
suppose	sanmak	Sanırım haklısın.
surprise	sürpriz	Sürpriz onu mutlu etti.
surprised	şaşırmış	Bugün şaşırmıştı.
surprising	şaşırtıcı	Sonuç şaşırtıcıydı.
survey	anket	Lütfen anketi tamamla.
sweet	tatlı	Bu çay tatlı.
symbol	sembol	Bu sembol tehlike demektir.
system	sistem	Sistem iyi çalışıyor.
tablet	tablet	Tabletim masanın üzerinde.
target	hedef	Hedefi dikkatlice vur.
task	görev	Bu görev kolay.
taste	tatmak	Önce çorbayı tat.
teaching	öğretim	Öğretim zor bir iştir.
technology	teknoloji	Teknoloji hızla değişir.
teenage	ergen	Ergen kardeşim çok çalışıyor.
temperature	sıcaklık	Sıcaklık düşük.
term	dönem	Bu dönem yakında bitiyor.
themselves	kendileri	Akşam yemeğini kendileri pişirdiler.
thick	kalın	Bu kitap kalın.
thief	hırsız	Hırsız kaçtı.
thin	ince	Kağıt ince.
thinking	düşünme	Düşünme zaman alır.
thought	düşünce	Garip bir düşüncem oldu.
throw	atmak	Topu nazikçe at.
tidy	düzenli	Odanı düzenli tut.
tie	bağlamak	Ayakkabılarını şimdi bağla.
tip	bahşiş	Hizmet için bahşiş bırak.
tool	araç	Doğru aracı kullan.
top	üst	Üst raf dolu.
touch	dokunmak	Cama dokunma.
tour	tur	Şehir turuna çıktık.
tourism	turizm	Turizm bu kasabaya yardım eder.
towards	doğru	İstasyona doğru yürü.
towel	havlu	Temiz bir havlu getir.
tower	kule	Kule çok eski.
toy	oyuncak	Oyuncak araba kırmızı.
track	yol	Yol kuzeye gidiyor.
tradition	gelenek	Bu gelenek eski.
traditional	geleneksel	Geleneksel kıyafetler giydi.
trainer	antrenör	Antrenörüm yardımcıdır.
training	antrenman	Antrenman yarın başlıyor.
transport	ulaşım	Toplu ulaşım gecikti.
traveller	gezgin	Gezgin yardım istedi.
trouble	sorun	Dün sorun yaşadık.
truck	kamyon	Kamyon dışarıda.
twin	ikiz	İkiz kız kardeşim daha uzun.
typical	tipik	Bu tipik bir gün.
underground	yeraltı	Tren yeraltından gider.
understanding	anlayış	Anlayışın doğru.
unfortunately	ne yazık ki	Ne yazık ki mağaza kapalı.
unhappy	mutsuz	O mutsuz görünüyor.
uniform	üniforma	Okul üniforması giyiyor.
unit	birim	Bu birim küçük.
united	birleşmiş	Takım birleşmiş kaldı.
unusual	sıra dışı	Bu ses sıra dışı.
used to modal	eskiden	Eskiden burada yaşardık.
user	kullanıcı	Her kullanıcının bir numarası var.
usual	her zamanki	Her zamanki koltuğumu aldım.
valley	vadi	Vadi yeşil.
van	minibüs	Minibüs dolu.
variety	çeşitlilik	Daha fazla çeşitlilik gerekiyor.
vehicle	araç	Bu araç yavaş.
view	manzara	Manzara güzel.
virus	virüs	Bir virüs onu hasta etti.
voice	ses	Onun sesi kısık.
war	savaş	Savaş yıllar önce bitti.
washing	çamaşır	Çamaşır dışarıda.
wave	dalga	Bir dalga tekneye vurdu.
weak	zayıf	Bacaklarım zayıf hissediyor.
web	web	Web sayfası açık.
wedding	düğün	Düğün yakında başlıyor.
weight	ağırlık	Önce ağırlığı kontrol et.
wet	ıslak	Ayakkabılarım ıslak.
wheel	tekerlek	Tekerlek kırık.
while	bir süre	Burada bir süre bekle.
whole	bütün	Bütün elmayı yedim.
whose	kimin	Bu kimin telefonu?
wide	geniş	Yol geniş.
wild	vahşi	Vahşi hayvanlar burada yaşar.
wind1	rüzgar	Rüzgar güçlü.
winner	kazanan	Kazanan gülümsedi.
wish	dilek	Bir dilek tut.
wood	ahşap	Sandalye ahşaptan yapılmış.
wooden	ahşap	Ahşap kutu ağır.
working	çalışma	Çalışma günü bitti.
worried	endişeli	Bugün endişeliyim.
worry	endişelenmek	Şimdi endişelenme.
worse	daha kötü	Bu ağrı daha kötü.
worst	en kötü	Bu en kötü gündü.
wow	vay	Vay, bu harika!
yet	henüz	Henüz orada mıyız?
yours	seninki	Bu kitap seninki.
zero	sıfır	Sıfıra kadar geri say.
