source_headword	HY	example_HY
analyst	վերլուծաբան	Վերլուծաբանն ուսումնասիրեց վաճառքի տվյալները։
ancestor	նախնի	Իմ նախնին ապրել է այս գյուղի մոտ։
animation	անիմացիա	Անիմացիան դասն ավելի պարզ դարձրեց։
annually	տարեկան	Փառատոնն անցկացվում է ամեն տարի։
anticipate	կանխատեսել	Վաղը մենք ակնկալում ենք ծանր երթևեկություն։
anxiety	անհանգստություն	Տագնապը կարող է դժվարացնել քունը։
apology	ներողություն	Նա անկեղծ ներողություն խնդրեց։
applicant	դիմորդ	Դիմորդն ուղարկեց նոր ինքնակենսագրական։
appropriately	համապատասխանաբար	Խնդրում ենք հարցազրույցին համապատասխան հագնվել։
arrow	սլաք	Սլաքը ցույց է տալիս ելքը։
artwork	արվեստի գործ	Թանգարանը ցուցադրեց տեղական արվեստի գործեր։
aside	մի կողմ	Նա մի կողմ քաշվեց, որպեսզի նրան ճանապարհ տա։
asset	ակտիվ	Փորձն արժեքավոր ակտիվ է։
assign	հանձնարարել	Ուսուցիչն այսօր տնային աշխատանք հանձնարարեց։
assistance	օգնություն	Խնդրում ենք օգնություն խնդրել աշխատակազմից։
assumption	ենթադրություն	Այդ ենթադրությունը կարող է սխալ լինել։
assure	հավաստիացնել	Վստահեցնում եմ ձեզ, որ դուռը կողպված է։
astonishing	ապշեցուցիչ	Ժայռի տեսարանն ապշեցուցիչ էր։
attachment	հավելված	Էլեկտրոնային նամակը ներառում է կցված ֆայլ։
auction	աճուրդ	Նկարը վաճառվեց աճուրդում։
audio	աուդիո	Աուդիո ձայնագրությունը պարզ է հնչում։
automatic	ավտոմատ	Դուռն ունի ավտոմատ կողպեք։
automatically	ավտոմատ կերպով	Լույսերը միանում են ավտոմատ կերպով։
awareness	իրազեկություն	Արշավը բարձրացրեց հանրային իրազեկությունը։
awkward	անհարմար	Լռությունն անհարմար էր։
badge	կրծքանշան	Այցելուները պետք է կրծքանշան կրեն։
balanced	հավասարակշռված	Հավասարակշռված դիետան ներառում է բանջարեղեն։
ballet	բալետ	Նա դպրոցից հետո բալետ է պարապում։
balloon	փուչիկ	Փուչիկը սավառնում էր սեղանի վրայով։
barely	հազիվ	Նա հազիվ լսեց հայտարարությունը։
bargain	գործարք	Այդ բաճկոնը իսկապես շահավետ գնում էր։
basement	նկուղ	Արկղերը նկուղում են։
basket	զամբյուղ	Նա խնձորները դրեց զամբյուղի մեջ։
bat	չղջիկ	Չղջիկը դուրս թռավ քարանձավից։
beneficial	օգտակար	Կանոնավոր մարզումները օգտակար են առողջության համար։
beside	կողքին	Լամպը դրված է բազմոցի կողքին։
besides	բացի այդ	Մաթեմատիկայից բացի, նա սովորում է քիմիա։
bias	կանխակալություն	Հոդվածը ցույց տվեց հստակ կողմնակալություն։
bid	հայտ	Ընկերությունը ավելի բարձր գնի առաջարկ արեց։
biological	կենսաբանական	Կենսաբանական թեստը հաստատեց արդյունքը։
blanket	վերմակ	Երեխան քնած էր վերմակի տակ։
blow	հարված	Ուժեղ հարվածը կոտրեց պատուհանը։
bold	համարձակ	Վերնագրում օգտագործվել են թավ տառեր։
bombing	ռմբակոծություն	Ռմբակոծությունը վնասել է մի քանի շենքեր։
booking	ամրագրում	Ես հաստատեցի հյուրանոցի ամրագրումը։
boost	խթանում	Հաղթանակը բարձրացրեց թիմի վստահությունը։
bound	պարտավորված	Ծանրոցը կապված էր պարանով։
brick	աղյուս	Պատը կառուցված է աղյուսից։
briefly	հակիրճ	Ճաշից հետո նա խոսեց համառոտ։
broadcaster	հեռարձակող	Հեռարձակողը հարցազրույց վերցրեց քաղաքապետից։
broadly	լայնորեն	Երկու ծրագրերն ընդհանուր առմամբ նման են։
bug	սխալ	Հավելվածը խափանվեց վրիպակի պատճառով։
cabin	խցիկ	Մենք մնացինք փոքրիկ տնակում։
canal	ջրանցք	Նավակները դանդաղ շարժվում էին ջրանցքով։
candle	մոմ	Սեղանին մոմ էր վառվում։
carbon	ածխածին	Ծառերը կլանում են ածխածին օդից։
casual	ոչ պաշտոնական	Նա աշխատանքի էր գնացել ամենօրյա հագուստով։
cave	քարանձավ	Արշավականները մտան քարանձավ։
certainty	որոշակիություն	Մենք չենք կարող վստահությամբ իմանալ։
certificate	վկայական	Նա ստացավ դասընթացի վկայական։
challenging	դժվարին	Դասընթացը դժվար էր, բայց օգտակար։
championship	առաջնություն	Մեր թիմը հասավ առաջնության եզրափակիչ։
charming	հմայիչ	Հին փողոցը հմայիչ տեսք ուներ։
chase	հետապնդում	Շունը վազեց գնդակի հետևից։
cheek	այտ	Արցունքը գլորվեց նրա այտով։
cheer	ուրախության բացականչություն	Ամբոխը սկսեց բարձրաձայն ոգևորել։
choir	երգչախումբ	Երգչախումբը գեղեցիկ էր երգում։
chop	կտրատել	Կտրատեք սոխը փոքր կտորներով։
circuit	շղթա	Վազորդը ավարտեց շրջանը։
civilization	քաղաքակրթություն	Հին քաղաքակրթությունը ձևավորեց այս տարածաշրջանը։
clarify	պարզաբանել	Խնդրում ենք պարզաբանել վերջին կետը։
classify	դասակարգել	Գիտնականները կենդանիներին դասակարգում են ըստ տեսակների։
clerk	գործավար	Գործավարը տպեց անդորրագիրը։
cliff	քարափ	Արահետը ավարտվում է ժայռի մոտ։
clinic	կլինիկա	Կլինիկան բացվում է ութին։
clip	հոլովակ	Նա ամրացրեց ամրակը թղթին։
coincidence	զուգադիպություն	Նրան այնտեղ հանդիպելը զուգադիպություն էր։
collector	հավաքորդ	Կոլեկցիոները հազվագյուտ մետաղադրամներ գնեց։
colony	գաղութ	Մրջյունները մեծ գաղութ կառուցեցին։
colourful	գունեղ	Շուկան վառ ու գունագեղ էր։
comic	կոմիքս	Կատակերգական տեսարանը մեզ ծիծաղեցրեց։
commander	հրամանատար	Հրամանատարը հստակ հրամաններ տվեց։
comparative	համեմատական	Էսսեում օգտագործվում են համեմատական տվյալներ։
completion	ավարտ	Կամուրջը մոտ է ավարտին։
compose	կազմել	Նա ֆիլմի համար երաժշտություն կհորինի։
composer	կոմպոզիտոր	Կոմպոզիտորը նոր երգ գրեց։
compound	բաղադրություն	Միացությունը երկու քիմիական նյութ է պարունակում։
comprehensive	համապարփակ	Ուղեցույցը համապարփակ հրահանգներ է տալիս։
comprise	ընդգրկել	Թիմը բաղկացած է հինգ անդամից։
compulsory	պարտադիր	Այս դասին հաճախելը պարտադիր է։
concrete	կոնկրետ	Հատակը բետոնից է պատրաստված։
confess	խոստովանել	Նա ուսուցչին խոստովանեց սխալը։
confusion	շփոթություն	Ուշացումը շփոթություն առաջացրեց։
consequently	հետևաբար	Անձրև եկավ, հետևաբար, խաղը դադարեցվեց։
conservation	պահպանում	Պահպանությունը պաշտպանում է հազվագյուտ կենդանիներին։
considerable	զգալի	Վերանորոգումը զգալի ժամանակ պահանջեց։
considerably	զգալիորեն	Այս տարի գները զգալիորեն աճել են։
consistently	հետևողականորեն	Նա հետևողականորեն լավ է հանդես գալիս։
conspiracy	դավադրություն	Ոստիկանությունը հետաքննեց դավադրությունը։
consult	խորհրդակցել	Դեղորայք ընդունելուց առաջ խորհրդակցեք ձեր բժշկի հետ։
consultant	խորհրդատու	Խորհրդատուն նոր ռազմավարություն առաջարկեց։
consumption	սպառում	Էներգիայի սպառումը անցյալ ամիս նվազել է։
controversial	վիճելի	Քաղաքականությունը մնում է վիճելի։
controversy	տարաձայնություն	Որոշումը հակասություն առաջացրեց։
convenience	հարմարություն	Խանութը մեծ հարմարավետություն է առաջարկում։
convention	համագումար	Ամենամյա համագումարը սկսվում է երկուշաբթի։
conventional	սովորական	Նա ընտրեց ավանդական դիզայն։
convey	փոխանցել	Նամակը կարեկցանք փոխանցեց։
convincing	համոզիչ	Նրա բացատրությունը համոզիչ էր։
cope	հաղթահարել	Նա սովորեց հաղթահարել սթրեսը։
corporation	կորպորացիա	Կորպորացիան նոր գրասենյակ բացեց։
corridor	միջանցք	Միջանցքը նեղ էր և հանգիստ։
counter (long flat surface)	վաճառասեղան	Բանալիները խոհանոցի սեղանասալի վրա են։
coverage	լուսաբանում	Լուրերի լուսաբանումը տևեց ամբողջ երեկո։
crack	ճեղք	Պատի վրա ճեղք հայտնվեց։
craft	արհեստ	Նա առցանց ձեռագործ իրեր է վաճառում։
creativity	ստեղծագործականություն	Ստեղծագործականությունն օգնում է լուծել խնդիրները։
critically	քննադատաբար	Հոդվածը չափազանց կարևոր էր։
cruise	նավարկություն	Նրանք կրուիզ ամրագրեցին դեպի Հունաստան։
cue	ազդանշան	Դերասանը բաց թողեց իր ազդանշանը։
curious	հետաքրքրասեր	Երեխան հետաքրքրասեր էր տիեզերքի նկատմամբ։
curriculum	ուսումնական ծրագիր	Դպրոցը թարմացրեց իր ուսումնական ծրագիրը։
cute	գեղեցիկ	Ձագուկը սիրունիկ տեսք ուներ։
dairy	կաթնամթերք	Ֆերման արտադրում է կաթնամթերք։
dare	համարձակվել	Մարտահրավեր եմ նետում քեզ փորձել դա։
darkness	խավար	Սենյակը լցվեց խավարով։
database	տվյալների բազա	Տվյալների բազան պահպանում է հաճախորդների գրառումները։
deadline	վերջնաժամկետ	Վերջնաժամկետը ուրբաթ է։
deadly	մահացու	Օձը մահացու թույն ունի։
dealer	դիլեր	Ավտոմեքենաների դիլերը զեղչ առաջարկեց։
deck	տախտակամած	Աթոռները տախտակամածի վրա են։
defender	պաշտպան	Պաշտպանը արգելափակեց հարվածը։
delete	ջնջել	Ջնջիր հին հաղորդագրությունը։
democracy	ժողովրդավարություն	Ժողովրդավարությունը կախված է ազատ ընտրություններից։
democratic	ժողովրդավարական	Քվեարկությունն ընթացավ ժողովրդավարական կանոններով։
demonstration	ցույց	Ուսանողները միացան ցույցին։
depart	մեկնել	Գնացքը կմեկնի կեսօրին։
dependent	կախված	Երեխան կախված է մեծահասակներից։
deposit	ավանդ	Նա բնակարանի համար կանխավճար վճարեց։
depression	դեպրեսիա	Դեպրեսիան պահանջում է մասնագիտական աջակցություն։
derive	բխել	Շատ բառեր ծագում են լատիներենից։
desperately	հուսահատորեն	Նա հուսահատորեն ջրի կարիք ուներ։
destruction	ոչնչացում	Փոթորիկը մեծ ավերածությունների պատճառ դարձավ։
determination	վճռականություն	Նրա վճռականությունը տպավորեց մարզչին։
devote	նվիրել	Նա հանգստյան օրերը տրամադրում է ուսմանը։
differ	տարբերվել	Նրանց կարծիքները խիստ տարբերվում են։
disability	հաշմանդամություն	Շենքն ունի հաշմանդամություն ունեցող անձանց համար նախատեսված մուտք։
disabled	հաշմանդամ	Հաշմանդամություն ունեցող մարզիկը մեդալ նվաճեց։
disagreement	անհամաձայնություն	Հանդիպումն ավարտվեց անհամաձայնությամբ։
disappoint	հիասթափեցնել	Արդյունքը կարող է հիասթափեցնել երկրպագուներին։
disappointment	հիասթափություն	Նա խորը հիասթափություն զգաց։
discourage	վհատեցնել	Մի հուսահատեցրեք երիտասարդ սովորողներին։
disorder	խանգարում	Բժիշկը ախտորոշեց քնի խանգարում։
distant	հեռավոր	Սարերը հեռավոր էին թվում։
distinct	հստակ	Այս երկու հնչյունները տարբեր են։
distinguish	տարբերել	Կարո՞ղ ես տարբերել այս գույները։
distract	շեղել	Աղմուկը կարող է շեղել աշակերտներին։
disturb	խանգարել	Խնդրում ենք մի անհանգստացրեք հիվանդին։
dive	սուզվել	Նրանք կսուզվեն խութի մոտ։
diverse	բազմազան	Քաղաքն ունի բազմազան մշակույթներ։
diversity	բազմազանություն	Մենք տոնում ենք մշակութային բազմազանությունը։
divorce	ամուսնալուծություն	Ամուսնալուծությունը բոլորի համար դժվար էր։
dominant	գերիշխող	Գերիշխող թիմը վերահսկում էր խաղը։
donation	նվիրատվություն	Բարեգործական կազմակերպությունը նվիրատվություն ստացավ։
dot	կետ	Թվից հետո կետ դրեք։
downtown	քաղաքի կենտրոն	Մենք հանդիպեցինք քաղաքի կենտրոնում աշխատանքից հետո։
dramatically	կտրուկ	Գինը կտրուկ ընկավ։
drought	երաշտ	Երաշտը վնասեց բերքը։
dull	ձանձրալի	Դասախոսությունը ձանձրալի էր։
dump	թափել	Աղբը այստեղ մի թափեք։
duration	տևողություն	Թռիչքի տևողությունը երեք ժամ է։
dynamic	դինամիկ	Դասարանը դինամիկ էր թվում։
economics	տնտեսագիտություն	Նա տնտեսագիտություն է սովորում համալսարանում։
economist	տնտեսագետ	Տնտեսագետը կանխատեսեց աճի դանդաղում։
editorial	խմբագրական	Խմբագրականը քննադատեց օրենքը։
efficiently	արդյունավետորեն	Թիմն աշխատեց արդյունավետորեն։
elbow	արմունկ	Նա ցավեցրեց իր արմունկը։
electronics	էլեկտրոնիկա	Խանութը էլեկտրոնիկա է վաճառում։
elegant	նրբագեղ	Զգեստը նրբագեղ տեսք ուներ։
elementary	տարրական	Գիրքը բացատրում է տարրական քերականությունը։
eliminate	վերացնել	Թիմը վերացրեց մի քանի սխալ։
embrace	ընդունել	Նա ընդունեց նոր գաղափարը։
emission	արտանետում	Մեքենաների արտանետումների մակարդակը նվազել է։
emotionally	հուզականորեն	Նա հուզականորեն խոսեց իր ընտանիքի մասին։
empire	կայսրություն	Կայսրությունը գոյատևեց դարեր։
enjoyable	հաճելի	Ուղևորությունը հաճելի էր։
entertaining	զվարճալի	Շոուն զվարճալի էր։
entrepreneur	ձեռնարկատեր	Ձեռնարկատերը սրճարան բացեց։
envelope	ծրար	Դրեք նամակը ծրարի մեջ։
equip	զինել	Դպրոցը կզինի լաբորատորիան։
equivalent	համարժեք	Մեկ դոլարն այստեղ համարժեք չէ։
era	դարաշրջան	Հայտնագործությունը սկսեց նոր դարաշրջան։
erupt	ժայթքել	Հրաբուխը կարող է շուտով ժայթքել։
essentially	ըստ էության	Այս երկու մեթոդներն ըստ էության նույնական են։
ethic	էթիկա	Նրա աշխատանքային էթիկան ուժեղ է։
ethnic	էթնիկ	Փառատոնը նշում է էթնիկ ավանդույթները։
evaluation	գնահատում	Դասընթացը ներառում է վերջնական գնահատում։
evident	ակնհայտ	Նրա նյարդայնությունն ակնհայտ էր։
evolution	էվոլյուցիա	Էվոլյուցիան բացատրում է բազմաթիվ կենսաբանական փոփոխություններ։
evolve	զարգանալ	Լեզուները ժամանակի ընթացքում զարգանում են։
exceed	գերազանցել	Պահանջարկը կարող է գերազանցել առաջարկը։
exception	բացառություն	Կա մեկ բացառություն։
excessive	չափազանց	Չափազանց աղմուկն անհանգստացնում է հարևաններին։
exclude	բացառել	Ցուցակը բացառում է ժամանակավոր աշխատողներին։
exhibit	ցուցանմուշ	Թանգարանը կցուցադրի հազվագյուտ լուսանկարներ։
exit	ելք	Ելքը բեմի հետևում է։
exotic	էկզոտիկ	Խանութը վաճառում է էկզոտիկ մրգեր։
expansion	ընդլայնում	Ընկերությունը ծրագրել էր ընդլայնում։
expertise	փորձաքննություն	Նրա փորձառությունը բարելավեց նախագիծը։
exploit	շահագործել	Հանցագործները շահագործում են թույլ գաղտնաբառերը։
exposure	ազդեցություն	Արևի ազդեցությունը կարող է վնասել մաշկը։
extension	ընդարձակում	Վերջնաժամկետի երկարաձգումն օգնեց բոլորին։
extensive	ընդարձակ	Գրադարանն ունի ընդարձակ ռեսուրսներ։
extensively	լայնորեն	Թեման լայնորեն ուսումնասիրվել է։
extract	քաղվածք	Վանիլի մզվածքը համ է տալիս։
fabric	գործվածք	Գործվածքը փափուկ է։
fabulous	առասպելական	Ուտեստը հիասքանչ էր։
failed	ձախողված	Անհաջող փորձը մեզ ինչ-որ բան սովորեցրեց։
fake	կեղծ	Կայքը կեղծ տոմսեր էր վաճառում։
fame	փառք	Փառքը փոխեց նրա անձնական կյանքը։
fantasy	ֆանտազիա	Վեպը ֆանտաստիկա է։
fare	ուղեվարձ	Ավտոբուսի ուղեվարձը բարձրացել է։
federal	դաշնային	Դաշնային կառավարությունը հայտարարեց ֆինանսավորման մասին։
fever	ջերմություն	Երեխան ջերմություն ունի։
firefighter	հրշեջ	Հրշեջը փրկեց շանը։
firework	հրավառություն	Այգու վրայով հրավառություն պայթեց։
firm	հաստատուն	Ներքնակը ամուր է։
firmly	հաստատակամորեն	Նա ամուր փակեց դուռը։
flavour	համ	Ապուրը հարուստ համ ունի։
fond	սիրալիր	Նա ջազի սիրահար է։
fool	հիմար	Հիմարի պես մի պահիր քեզ։
forbid	արգելել	Օրենքն արգելում է այստեղ ծխել։
forecast	կանխատեսում	Կանխատեսումը անձրև է խոստանում։
format	ձևաչափ	Օգտագործեք ֆայլի ճիշտ ձևաչափը։
formation	ձևավորում	Ամպերի ձևավորումը արագ է փոխվում։
formerly	նախկինում	Այս շենքը նախկինում դպրոց էր։
fortunate	բարեբախտ	Մենք բախտավոր էինք, որ շուտ հասանք։
forum	ֆորում	Համաժողովը քննարկեց կլիմայական քաղաքականությունը։
fossil	բրածո	Բրածոն գտնվել է քարի մեջ։
foundation	հիմք	Տունն ամուր հիմք ունի։
founder	հիմնադիր	Հիմնադիրը ողջունեց հյուրերին։
fraction	կոտորակ	Ուսանողների միայն մի փոքր մասն եկավ։
fragment	բեկոր	Ապակու բեկորն ընկած էր հատակին։
framework	շրջանակ	Օրենքը հստակ շրջանակ է ստեղծում։
fraud	խարդախություն	Բանկը խարդախություն հայտնաբերեց։
freely	ազատորեն	Երեխաները դրսում ազատորեն խաղում էին։
frequent	հաճախակի	Հաճախակի ընդմիջումները բարելավում են կենտրոնացումը։
fulfil	իրականացնել	Հույս ունեմ, որ կկատարեմ խոստումս։
full-time	լրիվ դրույքով	Նա լրիվ դրույքով աշխատանք ունի։
fundamentally	հիմնովին	Ծրագիրը հիմնովին տարբերվում է։
furious	կատաղած	Նա կատաղած էր ուշացման պատճառով։
gaming	խաղ	Խաղերը կարող են բարելավել արձագանքման արագությունը։
gay	գեյ	Նա պաշտպանում է գեյերի իրավունքները։
gender	սեռ	Հարցումը սեռի մասին էր հարցնում։
gene	գեն	Գենն ազդում է աչքերի գույնի վրա։
genetic	գենետիկական	Հիվանդությունը գենետիկական պատճառներ ունի։
genius	հանճար	Երիտասարդ դաշնակահարը հանճար է։
genuine	իսկական	Նրա ժպիտը անկեղծ էր թվում։
genuinely	անկեղծորեն	Նա անկեղծորեն ցանկանում էր օգնել։
gesture	ժեստ	Նա ընկերական ժեստ արեց։
gig	ելույթ	Խումբը համերգ ունեցավ քաղաքի կենտրոնում։
globalization	գլոբալիզացիա	Գլոբալիզացիան ազդում է տեղական բիզնեսների վրա։
globe	գլոբուս	Գլոբուսը ցույց է տալիս բոլոր մայրցամաքները։
golden	ոսկե	Մայրամուտը ոսկեգույն դարձավ։
goodness	բարություն	Նա հավատում է մարդկային բարությանը։
gorgeous	շքեղ	Այգին շքեղ տեսք ուներ։
governor	նահանգապետ	Նահանգապետը ստորագրեց օրինագիծը։
graphic	գրաֆիկական	Գրաֆիկական պատկերը ցնցեց հեռուստադիտողներին։
graphics	գրաֆիկա	Խաղն ունի պարզ գրաֆիկա։
greatly	մեծապես	Ձեր խորհուրդը մեծապես օգնեց։
greenhouse	ջերմոց	Լոլիկներն աճում են ջերմոցում։
grocery	մթերք	Աշխատանքից հետո նա մթերք գնեց։
guideline	ուղեցույց	Ուղեցույցը բացատրում է անվտանգ պրակտիկան։
habitat	բնակավայր	Անտառը թռչունների ապրելավայր է։
harbour	նավահանգիստ	Նավակը մտավ նավահանգիստ։
headquarters	գլխավոր գրասենյակ	Ընկերության գլխավոր գրասենյակը տեղափոխվեց քաղաքի կենտրոն։
