simplified	TE	example_TE
开	తెరవడం; ఆన్ చేయడం	నేను కంప్యూటర్ ఆన్ చేస్తున్నాను.
看	చూడడం; చదవడం	నేను పుస్తకం చదువుతున్నాను.
看见	చూడడం; కనిపించడం	నాకు గురువు కనిపిస్తున్నారు.
块	ముక్క; యువాన్	ఈ పుస్తకం పది యువాన్లు.
来	రావడం	అతను పాఠశాలకు వస్తున్నాడు.
老师	గురువు; ఉపాధ్యాయుడు	గురువు పాఠశాలలో ఉన్నారు.
了	పూర్తిని సూచించే కణం	నేను అన్నం తిన్నాను.
冷	చల్లగా; చలి	ఈ రోజు చల్లగా ఉంది.
里	లోపల; లో	కప్పులో నీళ్లు ఉన్నాయి.
零	సున్నా	సున్నా ఒకటి కాదు.
六	ఆరు	ఇప్పుడు ఆరు గంటలు.
妈妈	అమ్మ; తల్లి	అమ్మ టీ తాగుతున్నారు.
吗	అవునా-కాదా ప్రశ్నార్థక కణం	నువ్వు విద్యార్థివా?
买	కొనడం	నేను ఆపిళ్లు కొంటాను.
猫	పిల్లి	పిల్లి కుర్చీపై ఉంది.
没	లేదు; చేయలేదు	నా దగ్గర డబ్బు లేదు.
没关系	పరవాలేదు; సమస్య లేదు	పరవాలేదు.
米饭	వండిన అన్నం; అన్నం	నేను అన్నం తింటాను.
名字	పేరు	నీ పేరు ఏమిటి?
明天	రేపు	రేపు నేను బీజింగ్‌కు వెళ్తాను.
哪	ఏది; ఎక్కడ	నువ్వు ఎక్కడికి వెళ్తున్నావు?
那	అది; అవి; ఆ	ఆయనే నా గురువు.
呢	ప్రశ్నార్థక కణం; మరి	మరి నువ్వు?
能	చేయగలగడం; వీలవడం	నేను వెళ్లవచ్చా?
你	నువ్వు; మీరు	నువ్వు బాగున్నావా?
年	సంవత్సరం	ఒక సంవత్సరంలో పన్నెండు నెలలు ఉంటాయి.
女儿	కుమార్తె	ఆమె కుమార్తె చాలా అందంగా ఉంది.
朋友	స్నేహితుడు; స్నేహితురాలు	అతను నా స్నేహితుడు.
漂亮	అందమైన	ఆమె చాలా అందంగా ఉంది.
苹果	ఆపిల్	నాకు ఆపిళ్లు ఇష్టం.
七	ఏడు	ఇప్పుడు ఏడు గంటలు.
前面	ముందు	రెస్టారెంట్ దుకాణం ముందు ఉంది.
钱	డబ్బు	నా దగ్గర డబ్బు లేదు.
请	దయచేసి; ఆహ్వానించడం; అడగడం	దయచేసి టీ తాగండి.
去	వెళ్లడం	నేను పాఠశాలకు వెళ్తాను.
热	వేడి; వేడిగా	ఈ రోజు వేడిగా ఉంది.
人	వ్యక్తి; ప్రజలు	పాఠశాలలో చాలా మంది ఉన్నారు.
认识	తెలుసు; పరిచయం ఉండడం	నాకు అతను తెలుసు.
日	రోజు; తేదీ	ఈ రోజు మార్చి ఒకటో తేదీ.
三	మూడు	నా దగ్గర మూడు కప్పులు ఉన్నాయి.
商店	దుకాణం	దుకాణం పాఠశాల ముందు ఉంది.
上	మీద; పై	పుస్తకం మేజాపై ఉంది.
上午	ఉదయం; మధ్యాహ్నానికి ముందు	ఉదయం నేను చైనీస్ నేర్చుకుంటాను.
少	తక్కువ; కొద్దిగా	విద్యార్థులు తక్కువగా ఉన్నారు.
什么	ఏమిటి; ఏమి	ఇది ఏమిటి?
十	పది	నా దగ్గర పది పుస్తకాలు ఉన్నాయి.
时候	సమయం; వేళ	నువ్వు ఎప్పుడు వస్తావు?
是	అవడం; కావడం	నేను విద్యార్థిని.
书	పుస్తకం	నేను పుస్తకం చదువుతున్నాను.
谁	ఎవరు	అతను ఎవరు?
水	నీరు; నీళ్లు	నేను నీళ్లు తాగుతాను.
水果	పండు; పండ్లు	నేను పండ్లు కొంటాను.
睡觉	నిద్రపోవడం	నేను నిద్రపోవడానికి వెళ్తాను.
说话	మాట్లాడడం	గురువు మాట్లాడుతున్నారు.
四	నాలుగు	నాకు నలుగురు స్నేహితులు ఉన్నారు.
岁	వయస్సు	నాకు పది ఏళ్లు.
他	అతను; ఆయన	ఆయన గురువు.
她	ఆమె	ఆమె విద్యార్థిని.
太	చాలా; మితిమీరి	ఈ కప్పు మరీ పెద్దగా ఉంది.
天气	వాతావరణం	ఈ రోజు వాతావరణం బాగుంది.
听	వినడం; ఆలకించడం	గురువు మాట్లాడుతున్నది నేను వింటాను.
同学	సహపాఠి	అతను నా సహపాఠి.
喂	హలో	హలో?
我	నేను; నన్ను; నా	నేను డాక్టర్‌ని.
我们	మేము; మనం	మేము పాఠశాలకు వెళ్తాము.
五	ఐదు	నా దగ్గర ఐదు ఆపిళ్లు ఉన్నాయి.
喜欢	ఇష్టపడడం	నాకు టీ తాగడం ఇష్టం.
下	కింద; తదుపరి	పుస్తకం మేజా కింద ఉంది.
下午	మధ్యాహ్నం తర్వాత; సాయంత్రం ముందు	మధ్యాహ్నం తర్వాత నేను దుకాణానికి వెళ్తాను.
下雨	వర్షం పడడం	ఈ రోజు వర్షం పడుతోంది.
先生	సార్; శ్రీ; భర్త	నమస్కారం, సార్.
现在	ఇప్పుడు	ఇప్పుడు నేను పాఠశాలలో ఉన్నాను.
想	కావాలని అనుకోవడం; ఆలోచించడం	నాకు నీళ్లు తాగాలని ఉంది.
小	చిన్న	ఈ కప్పు చిన్నది.
小姐	మిస్; యువతి	నమస్కారం, మిస్.
些	కొన్ని; కొద్దిగా	నా దగ్గర కొన్ని పుస్తకాలు ఉన్నాయి.
写	రాయడం	నేను అక్షరాలు రాస్తాను.
谢谢	ధన్యవాదాలు	ధన్యవాదాలు.
星期	వారం; వారంలో రోజు	ఈ రోజు సోమవారం.
学生	విద్యార్థి; విద్యార్థిని	నేను విద్యార్థిని.
学习	చదవడం; నేర్చుకోవడం	నేను చైనీస్ నేర్చుకుంటాను.
学校	పాఠశాల	పాఠశాల పెద్దది.
一	ఒకటి; ఒక	నా దగ్గర ఒక కప్పు ఉంది.
衣服	బట్టలు	నేను బట్టలు కొంటాను.
医生	వైద్యుడు; వైద్యురాలు; డాక్టర్	ఆమె డాక్టర్.
医院	ఆసుపత్రి	ఆసుపత్రి పాఠశాల ముందు ఉంది.
椅子	కుర్చీ	కుర్చీ మేజా వెనుక ఉంది.
有	ఉండడం; కలిగి ఉండడం	నాకు స్నేహితులు ఉన్నారు.
月	నెల; చంద్రుడు	ఈ రోజు మే నాలుగో తేదీ.
再见	వీడ్కోలు; మళ్లీ కలుద్దాం	గురువుగారూ, మళ్లీ కలుద్దాం.
在	లో; వద్ద; ఉండడం	నేను ఇంట్లో ఉన్నాను.
怎么	ఎలా	ఈ అక్షరాన్ని ఎలా చదవాలి?
怎么样	ఎలా; ఎలా ఉంది	ఈ రోజు నువ్వు ఎలా ఉన్నావు?
这	ఇది; ఇవి; ఈ	ఇది నా పుస్తకం.
中国	చైనా	నేను చైనాకు వెళ్తాను.
中午	మధ్యాహ్నం	మధ్యాహ్నం నేను అన్నం తింటాను.
住	నివసించడం; ఉండడం	నేను బీజింగ్‌లో నివసిస్తున్నాను.
桌子	మేజా; బల్ల	పుస్తకం మేజాపై ఉంది.
字	అక్షరం; పదం	ఈ అక్షరం చిన్నది.
昨天	నిన్న	నిన్న నేను సినిమా చూశాను.
坐	కూర్చోవడం; వాహనంలో వెళ్లడం	నేను విమానంలో బీజింగ్‌కు వెళ్తాను.
做	చేయడం; తయారు చేయడం	నేను వంట చేస్తున్నాను.
