source_headword	PL	example_PL
suggest	sugerować	Sugeruję krótką przerwę.
suggestion	propozycja	Twoja propozycja jest pomocna.
suit	garnitur	Ten garnitur jest drogi.
support	wspierać	Wspieramy naszą drużynę.
suppose	przypuszczać	Przypuszczam, że masz rację.
surprise	niespodzianka	Niespodzianka ją ucieszyła.
surprised	zaskoczony	Ona była dziś zaskoczona.
surprising	zaskakujący	Wynik był zaskakujący.
survey	ankieta	Proszę wypełnić ankietę.
sweet	słodki	Ta herbata jest słodka.
symbol	symbol	Ten symbol oznacza niebezpieczeństwo.
system	system	System działa dobrze.
tablet	tablet	Mój tablet leży na biurku.
target	cel	Traf ostrożnie w cel.
task	zadanie	To zadanie jest łatwe.
taste	smak	Spróbuj najpierw zupy.
teaching	nauczanie	Nauczanie to trudna praca.
technology	technologia	Technologia szybko się zmienia.
teenage	nastoletni	Mój nastoletni brat dużo się uczy.
temperature	temperatura	Temperatura jest niska.
term	semestr	Ten semestr wkrótce się kończy.
themselves	sami	Oni sami ugotowali kolację.
thick	gruby	Ta książka jest gruba.
thief	złodziej	Złodziej uciekł.
thin	cienki	Papier jest cienki.
thinking	myślenie	Myślenie zajmuje czas.
thought	myśl	Miałem dziwną myśl.
throw	rzucić	Rzuć piłkę delikatnie.
tidy	schludny	Utrzymuj swój pokój w porządku.
tie	zawiązać	Zawiąż teraz buty.
tip	napiwek	Zostaw napiwek za obsługę.
tool	narzędzie	Użyj właściwego narzędzia.
top	góra	Górna półka jest pełna.
touch	dotknąć	Nie dotykaj szkła.
tour	wycieczka	Odbyliśmy wycieczkę po mieście.
tourism	turystyka	Turystyka pomaga temu miastu.
towards	w stronę	Idź w stronę stacji.
towel	ręcznik	Przynieś czysty ręcznik.
tower	wieża	Wieża jest bardzo stara.
toy	zabawka	Samochodzik jest czerwony.
track	tor	Tor prowadzi na północ.
tradition	tradycja	Ta tradycja jest stara.
traditional	tradycyjny	Ona miała na sobie tradycyjne ubrania.
trainer	trener	Mój trener jest pomocny.
training	trening	Trening zaczyna się jutro.
transport	transport	Transport publiczny się spóźnia.
traveller	podróżny	Podróżny poprosił o pomoc.
trouble	kłopot	Mieliśmy wczoraj kłopot.
truck	ciężarówka	Ciężarówka stoi na zewnątrz.
twin	bliźniak	Moja siostra bliźniaczka jest wyższa.
typical	typowy	To typowy dzień.
underground	podziemny	Pociąg jedzie pod ziemią.
understanding	zrozumienie	Twoje zrozumienie jest poprawne.
unfortunately	niestety	Niestety, sklep jest zamknięty.
unhappy	nieszczęśliwy	On wygląda na nieszczęśliwego.
uniform	mundur	Ona nosi szkolny mundur.
unit	jednostka	Ta jednostka jest mała.
united	zjednoczony	Drużyna pozostała zjednoczona.
unusual	niezwykły	Ten dźwięk jest niezwykły.
used to modal	kiedyś	Kiedyś tu mieszkaliśmy.
user	użytkownik	Każdy użytkownik ma numer.
usual	zwykły	Zająłem swoje zwykłe miejsce.
valley	dolina	Dolina jest zielona.
van	furgonetka	Furgonetka jest pełna.
variety	różnorodność	Potrzebujemy większej różnorodności.
vehicle	pojazd	Ten pojazd jest wolny.
view	widok	Widok jest piękny.
virus	wirus	Wirus sprawił, że zachorował.
voice	głos	Jej głos jest cichy.
war	wojna	Wojna skończyła się lata temu.
washing	pranie	Pranie jest na zewnątrz.
wave	fala	Fala uderzyła w łódź.
weak	słaby	Moje nogi są słabe.
web	sieć	Strona w sieci jest otwarta.
wedding	ślub	Ślub zaczyna się wkrótce.
weight	waga	Najpierw sprawdź wagę.
wet	mokry	Moje buty są mokre.
wheel	koło	Koło jest zepsute.
while	chwila	Poczekaj tutaj chwilę.
whole	cały	Zjadłem całe jabłko.
whose	czyj	Czyj to telefon?
wide	szeroki	Droga jest szeroka.
wild	dziki	Dzikie zwierzęta żyją tutaj.
wind1	wiatr	Wiatr jest silny.
winner	zwycięzca	Zwycięzca się uśmiechnął.
wish	życzenie	Pomyśl życzenie.
wood	drewno	Krzesło jest z drewna.
wooden	drewniany	Drewniane pudełko jest ciężkie.
working	roboczy	Dzień roboczy się skończył.
worried	zmartwiony	Czuję się dziś zmartwiony.
worry	martwić się	Nie martw się teraz.
worse	gorszy	Ten ból jest gorszy.
worst	najgorszy	To był najgorszy dzień.
wow	wow	Wow, to niesamowite!
yet	jeszcze	Czy już tam jesteśmy?
yours	twój	Ta książka jest twoja.
zero	zero	Odliczaj do zera.
