source_headword	BN	example_BN
hers	তারটি; তার জিনিস	নীল কোটটি তার।
herself	নিজে; নিজেকে	সে নিজেই রাতের খাবার বানিয়েছে।
hide	লুকানো	চাবিটি বাক্সের নিচে লুকাও।
hill	পাহাড়	আমরা পাহাড়ে উঠেছিলাম।
himself	নিজে; নিজেকে	সে নিজেই এটি ঠিক করেছে।
hit	আঘাত করা	দরজায় আঘাত করো না।
hockey	হকি	আমরা গত রাতে হকি দেখেছি।
hold	ধরা	আমার হাত ধরো।
hole	গর্ত	আমার মোজায় একটি গর্ত আছে।
huge	বিশাল	ঘরটি বিশাল।
human	মানুষ; মানব	প্রতিটি মানুষের পানি দরকার।
hurt	ব্যথা করা; আঘাত করা	আমার হাঁটু ব্যথা করছে।
ideal	আদর্শ	এই ঘরটি পড়াশোনার জন্য আদর্শ।
identify	চিহ্নিত করা	তুমি কি এই পাখিটি চিহ্নিত করতে পারো?
ill	অসুস্থ	সে আজ অসুস্থ বোধ করছে।
illness	অসুস্থতা	অসুস্থতাটি এক সপ্তাহ স্থায়ী ছিল।
image	ছবি	ছবিটি পরিষ্কার।
immediately	তাৎক্ষণিকভাবে	এখানে তাৎক্ষণিকভাবে আসো।
impossible	অসম্ভব	এই ধাঁধাটি অসম্ভব মনে হচ্ছে।
included	অন্তর্ভুক্ত	নাশতা অন্তর্ভুক্ত।
including	সহ; অন্তর্ভুক্ত করে	আমিসহ দশজন মানুষ এসেছিল।
increase	বৃদ্ধি পাওয়া; বাড়ানো	গ্রীষ্মে দাম বাড়ে।
incredible	অবিশ্বাস্য	দৃশ্যটি অবিশ্বাস্য ছিল।
independent	স্বাধীন	আমার বোন স্বাধীন।
individual	ব্যক্তি; আলাদা	প্রতিটি ব্যক্তির একটি নম্বর আছে।
industry	শিল্প	স্থানীয় শিল্প বাড়ছে।
informal	অনানুষ্ঠানিক	এই ইমেলটি অনানুষ্ঠানিক।
injury	আঘাত	তার আঘাত গুরুতর নয়।
insect	পোকা	একটি পোকা কাপের ওপর বসল।
inside	ভিতরে	বাড়ির ভিতরে অপেক্ষা করো।
instead	বরং; পরিবর্তে	বরং পানি পান করো।
instruction	নির্দেশনা	প্রতিটি নির্দেশনা মন দিয়ে পড়ো।
instructor	প্রশিক্ষক	প্রশিক্ষক ব্যায়ামটি বুঝিয়ে দিলেন।
instrument	বাদ্যযন্ত্র	সে একটি বাদ্যযন্ত্র বাজায়।
intelligent	বুদ্ধিমান	সে একজন বুদ্ধিমান ছাত্র।
international	আন্তর্জাতিক	এটি একটি আন্তর্জাতিক বিমানবন্দর।
introduction	ভূমিকা; পরিচয়	ভূমিকাটি ছোট ছিল।
invent	আবিষ্কার করা	শিশুরা নতুন খেলা আবিষ্কার করতে পারে।
invention	আবিষ্কার	আবিষ্কারটি সময় বাঁচিয়েছে।
invitation	আমন্ত্রণ	আমি একটি আমন্ত্রণ পেয়েছি।
invite	আমন্ত্রণ জানানো	তোমার বন্ধুকেও আমন্ত্রণ জানাও।
involve	জড়িত থাকা; অন্তর্ভুক্ত করা	কাজটিতে ভ্রমণ জড়িত থাকবে।
item	জিনিস; বস্তু	একটি জিনিস বেছে নাও।
itself	নিজে; নিজেই	যন্ত্রটি নিজেই বন্ধ হয়ে যায়।
jam	জ্যাম	রুটির ওপর জ্যাম দাও।
jazz	জ্যাজ	আজ রাতে জ্যাজ দারুণ শোনাচ্ছে।
jewellery	গয়না	সে একটি বাক্সে গয়না রাখে।
joke	রসিকতা	আমাকে একটি রসিকতা বলো।
journalist	সাংবাদিক	সাংবাদিক প্রশ্ন করলেন।
jump	লাফানো	রেখার ওপর দিয়ে লাফ দাও।
kid	শিশু; বাচ্চা	শিশুটি হাসছে।
kill	মারা ফেলা	পোকাটি মেরো না।
king	রাজা	রাজা একটি প্রাসাদে থাকতেন।
knee	হাঁটু	আমার হাঁটু ব্যথা করছে।
knife	ছুরি	একটি ধারালো ছুরি ব্যবহার করো।
knock	টোকা দেওয়া	ভিতরে ঢোকার আগে টোকা দাও।
knowledge	জ্ঞান	অভ্যাসের সঙ্গে জ্ঞান বাড়ে।
lab	ল্যাব	ল্যাবটি বন্ধ।
lady	মহিলা	মহিলাটি আমাদের দিকে হাসলেন।
lake	হ্রদ	হ্রদটি শান্ত।
lamp	বাতি	বাতিটি জ্বালাও।
laptop	ল্যাপটপ	আমার ল্যাপটপ নতুন।
last1 (taking time)	স্থায়ী হওয়া	চলচ্চিত্রটি দুই ঘণ্টা স্থায়ী হয়।
laughter	হাসির শব্দ	আমরা বাইরে হাসির শব্দ শুনলাম।
law	আইন	আইনটি গতকাল বদলেছে।
lawyer	আইনজীবী	আইনজীবী আমাকে ফোন করেছিলেন।
lazy	অলস	অলস হয়ো না।
lead1	নেতৃত্ব দেওয়া	ভালো নেতা উদাহরণ দিয়ে নেতৃত্ব দেন।
leader	নেতা	সে দলের নেতা।
learning	শেখা	শেখায় সময় লাগে।
least	সবচেয়ে কম	সবচেয়ে কম দামীটি বেছে নাও।
lecture	বক্তৃতা; ক্লাস	বক্তৃতাটি দশটায় শুরু হয়।
lemon	লেবু	চায়ে লেবু যোগ করো।
lend	ধার দেওয়া	তুমি কি আমাকে পাঁচ ডলার ধার দিতে পারো?
less	কম	কম চিনি খাও।
level	স্তর; লেভেল	এই স্তরটি সহজ।
lifestyle	জীবনধারা	তার স্বাস্থ্যকর জীবনধারা আছে।
lift	তোলা	বাক্সটি সাবধানে তোলো।
light	জ্বালানো	মোমবাতিটি সাবধানে জ্বালাও।
light (not heavy)	হালকা	এই ব্যাগটি হালকা।
likely	সম্ভাব্য	আগামীকাল বৃষ্টি হওয়া সম্ভাব্য।
link	লিঙ্ক; সংযোগ	আমাকে লিঙ্কটি পাঠাও।
listener	শ্রোতা	ভালো শ্রোতা হও।
lock	তালা দেওয়া	দরজায় তালা দাও।
lorry	ট্রাক	ট্রাকটি বাক্স বহন করল।
lost	হারিয়ে যাওয়া	আমরা হারিয়ে গেছি।
loud	জোরে; উচ্চ শব্দের	সঙ্গীতটি জোরে বাজছে।
loudly	জোরে	দয়া করে জোরে কথা বলো না।
lovely	সুন্দর	কী সুন্দর বাগান!
low	নিচু; কম	চেয়ারটি নিচু।
luck	ভাগ্য	তোমার পরীক্ষার জন্য শুভকামনা।
lucky	ভাগ্যবান	তুমি আজ ভাগ্যবান।
mail	ডাক	আমি আজ সকালে ডাক পেয়েছি।
major	বড়; প্রধান	এটি একটি বড় সমস্যা।
male	পুরুষ	পুরুষ পাখিটি উজ্জ্বল।
manage	সামলানো; পরিচালনা করা	তুমি কি এই কাজটি সামলাতে পারো?
manager	ব্যবস্থাপক	ব্যবস্থাপক ব্যস্ত।
manner	ভঙ্গি; ধরন	ভদ্র ভঙ্গিতে কথা বলো।
mark	চিহ্ন দেওয়া	তোমার উত্তর স্পষ্টভাবে চিহ্নিত করো।
marry	বিয়ে করা	তারা জুনে বিয়ে করবে।
material	উপাদান; কাপড়	এই উপাদানটি নরম লাগে।
mathematics	গণিত	গণিত আমার প্রিয় বিষয়।
maths	গণিত	গণিত আমার কাছে কঠিন।
matter	গুরুত্ব থাকা; বিষয়	এতে কোনো গুরুত্ব নেই।
may modal	হতে পারে; অনুমতি থাকা	তুমি এখন যেতে পারো।
media	মাধ্যম; গণমাধ্যম	গণমাধ্যম গল্পটি প্রচার করেছে।
medical	চিকিৎসা সংক্রান্ত	তার চিকিৎসা সহায়তা দরকার।
medicine	ওষুধ	দুপুরের খাবারের পর এই ওষুধ খাও।
memory	স্মৃতি	আমার স্মৃতি ভালো।
mention	উল্লেখ করা	আমার নাম উল্লেখ করো না।
metal	ধাতু	ফটকটি ধাতুর।
method	পদ্ধতি	এই পদ্ধতি ভালো কাজ করে।
middle	মাঝখান	মাঝখানে দাঁড়াও।
might modal	হতে পারে	পরে বৃষ্টি হতে পারে।
mind	মন	আমি আমার মন বদলেছি।
mine (belongs to me)	আমারটি	এই বইটি আমার।
mirror	আয়না	আয়নায় দেখো।
missing	নিখোঁজ; হারানো	আমার চাবি হারানো।
mobile	মোবাইল	আমার মোবাইলটি টেবিলে আছে।
monkey	বানর	বানরটি গাছে উঠল।
moon	চাঁদ	চাঁদ উজ্জ্বল।
mostly	বেশির ভাগ	ক্লাসটি বেশির ভাগ সময় শান্ত।
motorcycle	মোটরসাইকেল	সে মোটরসাইকেল চালায়।
movement	নড়াচড়া	আমি গাছের মধ্যে নড়াচড়া দেখেছি।
musical	সঙ্গীতময়; মিউজিক্যাল	এটি একটি সঙ্গীতময় চলচ্চিত্র।
musician	সঙ্গীতশিল্পী	সঙ্গীতশিল্পী গিটার বাজালেন।
myself	নিজে; নিজেকে	আমি এটি নিজেই বানিয়েছি।
narrow	সরু	রাস্তাটি সরু।
national	জাতীয়	এটি একটি জাতীয় ছুটি।
nature	প্রকৃতি	আমি প্রকৃতি ভালোবাসি।
nearly	প্রায়	আমরা প্রায় পৌঁছে গেছি।
necessary	প্রয়োজনীয়	এটি কি প্রয়োজনীয়?
neck	গলা; ঘাড়	আমার ঘাড় ব্যথা করছে।
neither	কোনোটিই নয়	কোনো উত্তরই সঠিক নয়।
nervous	উদ্বিগ্ন	সে উদ্বিগ্ন বোধ করছে।
network	নেটওয়ার্ক	নেটওয়ার্ক বন্ধ আছে।
noise	শব্দ	আমি একটি জোরে শব্দ শুনেছি।
noisy	শব্দপূর্ণ	রাস্তাটি শব্দপূর্ণ।
none	কেউ নয়; কিছুই নয়	তাদের কেউ আসেনি।
normal	স্বাভাবিক	এটি স্বাভাবিক।
normally	সাধারণত	আমি সাধারণত তাড়াতাড়ি উঠি।
notice	লক্ষ করা	তুমি কি চিহ্নটি লক্ষ করেছ?
novel	উপন্যাস	সে একটি উপন্যাস লিখেছে।
nowhere	কোথাও নয়	বসার কোথাও নেই।
nut	বাদাম	বাদামটি শক্ত।
ocean	মহাসাগর	মহাসাগর গভীর।
offer	প্রস্তাব; প্রস্তাব দেওয়া	আমি প্রস্তাবটি গ্রহণ করেছি।
officer	কর্মকর্তা	কর্মকর্তা আমার টিকিট পরীক্ষা করলেন।
oil	তেল	প্যানে তেল দাও।
onto	ওপরের দিকে	এটি তাকের ওপর রাখো।
opportunity	সুযোগ	এটি একটি ভালো সুযোগ।
option	বিকল্প	সেরা বিকল্পটি বেছে নাও।
ordinary	সাধারণ	দিনটি সাধারণ ছিল।
organization	সংগঠন	সংগঠনটি শিক্ষার্থীদের সাহায্য করে।
organize	গুছানো; সংগঠিত করা	দয়া করে ফাইলগুলো গুছাও।
original	মূল	মূল রসিদটি রাখো।
ourselves	নিজেরা; নিজেদের	আমরা নিজেরাই রাতের খাবার রান্না করেছি।
oven	চুলা	চুলাটি গরম।
owner	মালিক	মালিক দোকানটি খুললেন।
pack	গোছানো; প্যাক করা	এখন তোমার ব্যাগ গোছাও।
pain	ব্যথা	আমার পিঠে ব্যথা হচ্ছে।
painter	রংমিস্ত্রি; চিত্রকর	রংমিস্ত্রি দেয়ালটি শেষ করলেন।
palace	প্রাসাদ	প্রাসাদটি পুরোনো।
pants	প্যান্ট	এই প্যান্টটি খুব লম্বা।
parking	গাড়ি রাখার জায়গা	এখানে গাড়ি রাখা কঠিন।
particular	নির্দিষ্ট	আমার একটি নির্দিষ্ট বই দরকার।
pass	দিয়ে দেওয়া	আমাকে লবণটা দাও।
passenger	যাত্রী	প্রতিটি যাত্রীর একটি টিকিট দরকার।
patient	ধৈর্যশীল; রোগী	শিশুদের সঙ্গে ধৈর্যশীল হও।
pattern	ধরন; নকশা	এই নকশাটি সহজ।
peace	শান্তি	আমরা সবাই শান্তি চাই।
penny	পেনি	আমি একটি পেনি পেয়েছি।
per	প্রতি	টিকিটের দাম প্রতি ব্যক্তি দশ ডলার।
per cent	শতাংশ	পাঁচ শতাংশ ছোট।
perform	পরিবেশন করা; অভিনয় করা	দলটি আজ রাতে পরিবেশন করবে।
perhaps	সম্ভবত	সম্ভবত সে বাড়িতে আছে।
permission	অনুমতি	আগে অনুমতি চাও।
personality	ব্যক্তিত্ব	তার বন্ধুত্বপূর্ণ ব্যক্তিত্ব আছে।
pet	পোষা প্রাণী	আমার পোষা প্রাণী একটি বিড়াল।
petrol	পেট্রোল	গাড়ির পেট্রোল দরকার।
physical	শারীরিক	শারীরিক ব্যায়াম স্বাস্থ্যকে সাহায্য করে।
physics	পদার্থবিজ্ঞান	পদার্থবিজ্ঞান কঠিন।
pick	বেছে নেওয়া	একটি কার্ড বেছে নাও।
pilot	পাইলট	পাইলট স্পষ্টভাবে কথা বললেন।
planet	গ্রহ	পৃথিবী একটি গ্রহ।
plastic	প্লাস্টিক	এই বোতলটি প্লাস্টিকের।
plate	প্লেট	প্লেটে খাবার রাখো।
platform	প্ল্যাটফর্ম	দুই নম্বর প্ল্যাটফর্মে অপেক্ষা করো।
pleased	আনন্দিত	তোমার সঙ্গে দেখা করে আমি আনন্দিত।
pocket	পকেট	টিকিটটি আমার পকেটে আছে।
polite	ভদ্র	সবার প্রতি ভদ্র হও।
pollution	দূষণ	দূষণ মহাসাগরের ক্ষতি করে।
pop	পপ	আমি পপ সঙ্গীত পছন্দ করি।
population	জনসংখ্যা	জনসংখ্যা বাড়ছে।
position	অবস্থান	তোমার অবস্থান বদলাও।
possession	সম্পত্তি	এই আংটিটি আমার সম্পত্তি।
possibility	সম্ভাবনা	বৃষ্টির সম্ভাবনা আছে।
poster	পোস্টার	পোস্টারটি দেয়ালে লাগাও।
power	বিদ্যুৎ; শক্তি	কম্পিউটারের বিদ্যুৎ দরকার।
predict	ভবিষ্যদ্বাণী করা	আমরা আবহাওয়া ভবিষ্যদ্বাণী করতে পারি না।
president	রাষ্ট্রপতি	রাষ্ট্রপতি একটি বক্তৃতা দিলেন।
prevent	প্রতিরোধ করা	অসুস্থতা প্রতিরোধ করতে হাত ধোও।
print	ছাপা	নথিটি ছাপাও।
printer	প্রিন্টার	প্রিন্টারটি ভাঙা।
prison	কারাগার	সে কারাগারে গিয়েছিল।
prize	পুরস্কার	সে একটি পুরস্কার জিতেছে।
process	প্রক্রিয়া	প্রক্রিয়াটিতে সময় লাগে।
produce	উৎপাদন করা	খামারগুলো খাবার উৎপাদন করে।
professional	পেশাদার	সে একজন পেশাদার নৃত্যশিল্পী।
professor	অধ্যাপক	অধ্যাপক প্রশ্নের উত্তর দিলেন।
profile	প্রোফাইল	তোমার প্রোফাইল আপডেট করো।
program	প্রোগ্রাম	প্রোগ্রামটি এখন শুরু হয়।
progress	অগ্রগতি	আমরা আজ অগ্রগতি করেছি।
promise	প্রতিশ্রুতি; প্রতিশ্রুতি দেওয়া	তোমার প্রতিশ্রুতি রাখো।
pronounce	উচ্চারণ করা	দয়া করে এই শব্দটি উচ্চারণ করো।
protect	রক্ষা করা	তোমার চোখ রক্ষা করো।
provide	সরবরাহ করা	তারা বিনামূল্যে পানি সরবরাহ করে।
pub	পাব; পানশালা	আমরা পাবে দেখা করেছি।
public	সার্বজনীন; জনসাধারণের	পার্কটি সার্বজনীন।
publish	প্রকাশ করা	তারা একটি পত্রিকা প্রকাশ করে।
pull	টানা	দরজাটি টানো।
purpose	উদ্দেশ্য	উদ্দেশ্য কী?
push	ধাক্কা দেওয়া	বোতামটি চাপো।
quality	গুণমান	গুণমান উচ্চ।
quantity	পরিমাণ	পরিমাণ পরীক্ষা করো।
queen	রানি	রানি হাত নাড়লেন।
quietly	চুপচাপ	চুপচাপ কথা বলো।
race (competition)	দৌড় প্রতিযোগিতা	দৌড় প্রতিযোগিতা শিগগির শুরু হবে।
railway	রেলপথ	রেলপথ বন্ধ।
raise	তোলা	তোমার হাত তোলো।
rate	হার; দাম	হোটেলের দাম বেশি।
rather	বরং; বেশ	আমি বেশ ক্লান্ত।
reach	পৌঁছানো	তুমি কি তাক পর্যন্ত পৌঁছাতে পারো?
react	প্রতিক্রিয়া দেখানো	সে কীভাবে প্রতিক্রিয়া দেখাল?
realize	বুঝতে পারা	আমি আমার ভুল বুঝতে পারি।
receive	গ্রহণ করা; পাওয়া	তুমি কি আমার বার্তা পেয়েছ?
recent	সাম্প্রতিক	এটি একটি সাম্প্রতিক ছবি।
recently	সম্প্রতি	আমি সম্প্রতি এখানে এসেছি।
reception	অভ্যর্থনা	অভ্যর্থনা সোমবারে।
recipe	রেসিপি	এই রেসিপিটি সহজ।
recognize	চিনতে পারা	আমি সেই গানটি চিনতে পারি।
recommend	সুপারিশ করা	আমি এই বইটি সুপারিশ করি।
record	রেকর্ড	পেমেন্টের রেকর্ড রাখো।
recording	রেকর্ডিং	রেকর্ডিংটি পরিষ্কার শোনায়।
recycle	পুনর্ব্যবহার করা	কাগজ ও প্লাস্টিক পুনর্ব্যবহার করো।
reduce	কমানো	তাপ কমাও।
refer	উল্লেখ করা; দেখা	দুই নম্বর পৃষ্ঠাটি দেখো।
refuse1	প্রত্যাখ্যান করা	আমি মিথ্যা বলতে প্রত্যাখ্যান করি।
region	অঞ্চল	এই অঞ্চল ঠান্ডা।
regular	নিয়মিত	সে একজন নিয়মিত গ্রাহক।
relationship	সম্পর্ক	তাদের সম্পর্ক শক্ত।
remove	সরানো	তোমার জুতা খুলে ফেলো।
repair	মেরামত করা	আজ সাইকেলটি মেরামত করো।
replace	প্রতিস্থাপন করা	পুরোনো ব্যাটারিটি প্রতিস্থাপন করো।
reply	উত্তর দেওয়া	দয়া করে শিগগির উত্তর দাও।
reporter	প্রতিবেদক	প্রতিবেদক নোট নিলেন।
request	অনুরোধ	আমি একটি অনুরোধ করেছি।
research	গবেষণা	আমরা স্থানীয় ইতিহাস গবেষণা করি।
researcher	গবেষক	গবেষক তথ্য পরীক্ষা করলেন।
respond	সাড়া দেওয়া	দয়া করে আজ সাড়া দাও।
response	প্রতিক্রিয়া; উত্তর	তার উত্তর দ্রুত ছিল।
rest (remaining part)	বাকি অংশ	বাকি অংশ পরে খাও।
rest (sleep/relax)	বিশ্রাম	তোমার বিশ্রাম দরকার।
review	পর্যালোচনা	আজ রাতে তোমার নোট পর্যালোচনা করো।
ring1	আংটি	সে একটি সোনার আংটি পরেছিল।
ring2	ফোন করা; বাজা	দুপুরের খাবারের পর আমাকে ফোন করো।
rise	বাড়া; ওঠা	প্রতি বছর দাম বাড়ে।
rock (stone)	পাথর	পাথরটি ভারী।
