source_headword	LO	example_LO
dear	ທີ່ຮັກ; ແພງ	ເພື່ອນທີ່ຮັກ, ຂອບໃຈ.
December	ເດືອນທັນວາ	ວັນເກີດຂ້ອຍຢູ່ເດືອນທັນວາ.
decide	ຕັດສິນໃຈ	ກະລຸນາຕັດສິນໃຈດຽວນີ້.
delicious	ແຊບ	ແກງນີ້ແຊບ.
describe	ອະທິບາຍ; ພັນລະນາ	ພັນລະນາຫ້ອງຂອງເຈົ້າ.
description	ຄຳອະທິບາຍ	ອ່ານຄຳອະທິບາຍສັ້ນນີ້.
design	ອອກແບບ; ການອອກແບບ	ຂ້ອຍອອກແບບບັດງ່າຍໆ.
desk	ໂຕະເຮັດວຽກ	ປຶ້ມຢູ່ເທິງໂຕະເຮັດວຽກຂອງຂ້ອຍ.
detail	ລາຍລະອຽດ	ລາຍລະອຽດໜຶ່ງຫາຍໄປ.
dialogue	ບົດສົນທະນາ	ຕອນນີ້ອ່ານບົດສົນທະນາ.
dictionary	ພົດຈະນານຸກົມ	ໃຊ້ພົດຈະນານຸກົມໃນຫ້ອງຮຽນ.
die	ຕາຍ	ດອກໄມ້ຕາຍຖ້າບໍ່ມີນ້ຳ.
diet	ອາຫານ; ການຄວບຄຸມອາຫານ	ມີໝາກໄມ້ໃນອາຫານຂອງຂ້ອຍ.
difference	ຄວາມແຕກຕ່າງ	ມີຄວາມແຕກຕ່າງໜຶ່ງ.
different	ແຕກຕ່າງ	ຊື່ຂອງພວກເຮົາແຕກຕ່າງກັນ.
difficult	ຍາກ	ຄຳຖາມນີ້ຍາກ.
dinner	ອາຫານແລງ	ອາຫານແລງພ້ອມແລ້ວ.
dirty	ເປື້ອນ	ເກີບຂອງຂ້ອຍເປື້ອນ.
discuss	ປຶກສາ; ສົນທະນາ	ພວກເຮົາປຶກສາແຜນການ.
dish	ຈານ; ອາຫານ	ຈານນີ້ຮ້ອນ.
do1	ເຮັດ	ເຈົ້າກຳລັງເຮັດຫຍັງ?
doctor	ທ່ານໝໍ	ທ່ານໝໍບໍ່ວ່າງ.
dog	ໝາ	ໝາແລ່ນຢູ່ຂ້າງນອກ.
dollar	ໂດລາ	ອັນນີ້ລາຄາໜຶ່ງໂດລາ.
door	ປະຕູ	ກະລຸນາປິດປະຕູ.
down	ລົງ; ຂ້າງລຸ່ມ	ນັ່ງຢູ່ຂ້າງລຸ່ມນີ້.
downstairs	ຊັ້ນລຸ່ມ	ຫ້ອງຄົວຢູ່ຊັ້ນລຸ່ມ.
draw	ແຕ້ມ	ແຕ້ມເຮືອນນ້ອຍໜຶ່ງຫຼັງ.
dress	ຊຸດ; ແຕ່ງຕົວ	ນາງໃສ່ຊຸດສີແດງ.
drink	ເຄື່ອງດື່ມ; ດື່ມ	ຂ້ອຍດື່ມນ້ຳ.
drive	ຂັບລົດ	ຂ້ອຍຂັບລົດໄປເຮັດວຽກ.
driver	ຄົນຂັບລົດ	ຄົນຂັບລົດຢຸດຢູ່ນີ້.
during	ໃນລະຫວ່າງ	ຂ້ອຍນອນໃນລະຫວ່າງການບິນ.
DVD	ດີວີດີ	ດີວີດີນີ້ເກົ່າ.
each	ແຕ່ລະ	ເດັກແຕ່ລະຄົນມີປຶ້ມໜຶ່ງຫົວ.
ear	ຫູ	ຫູຂອງຂ້ອຍເຢັນ.
early	ເຊົ້າ; ໄວ	ຂ້ອຍຕື່ນເຊົ້າ.
east	ທິດຕາເວັນອອກ	ດວງອາທິດຂຶ້ນທາງທິດຕາເວັນອອກ.
easy	ງ່າຍ	ວຽກນີ້ງ່າຍ.
eat	ກິນ	ພວກເຮົາກິນເຂົ້າຕອນທ່ຽງ.
egg	ໄຂ່	ຂ້ອຍກິນໄຂ່ເປັນອາຫານເຊົ້າ.
eight	ແປດ	ຂ້ອຍມີປາກກາແປດດ້າມ.
eighteen	ສິບແປດ	ລາວອາຍຸສິບແປດປີ.
eighty	ແປດສິບ	ພໍ່ຕູ້ຂອງຂ້ອຍອາຍຸແປດສິບປີ.
elephant	ຊ້າງ	ຊ້າງໂຕໃຫຍ່.
eleven	ສິບເອັດ	ຫ້ອງຮຽນເລີ່ມຕອນສິບເອັດໂມງ.
else	ອື່ນອີກ	ເຈົ້າຕ້ອງການຫຍັງອື່ນອີກ?
email	ອີເມວ	ຂ້ອຍສົ່ງອີເມວໜຶ່ງສະບັບ.
end	ຈົບ; ທ້າຍ	ຕອນຈົບຂອງເລື່ອງດີ.
enjoy	ມ່ວນຊື່ນ	ຂ້ອຍມ່ວນຊື່ນກັບດົນຕີ.
enough	ພຽງພໍ	ຂ້ອຍມີເວລາພຽງພໍ.
euro	ເອີໂຣ	ອັນນີ້ລາຄາສິບເອີໂຣ.
even	ແມ່ນແຕ່	ແມ່ນແຕ່ເດັກກໍຮູ້.
evening	ຕອນແລງ	ພວກເຮົາຍ່າງຕອນແລງ.
event	ເຫດການ; ງານ	ງານຢູ່ມື້ນີ້.
ever	ເຄີຍ	ເຈົ້າເຄີຍໄປປາຣີບໍ?
every	ທຸກ	ຂ້ອຍອ່ານທຸກມື້.
everybody	ທຸກຄົນ	ທຸກຄົນພ້ອມແລ້ວ.
everyone	ທຸກຄົນ	ທຸກຄົນຟັງຂ້ອຍ.
everything	ທຸກຢ່າງ	ທຸກຢ່າງຢູ່ເທິງໂຕະ.
exam	ການສອບເສັງ	ການສອບເສັງຢູ່ມື້ອື່ນ.
example	ຕົວຢ່າງ	ໃຫ້ຕົວຢ່າງໜຶ່ງແກ່ຂ້ອຍ.
excited	ຕື່ນເຕັ້ນ	ເດັກນ້ອຍຕື່ນເຕັ້ນກັບການເດີນທາງ.
exciting	ນ່າຕື່ນເຕັ້ນ	ເກມນ່າຕື່ນເຕັ້ນ.
exercise	ອອກກຳລັງກາຍ; ແບບຝຶກຫັດ	ຂ້ອຍອອກກຳລັງກາຍຕອນເຊົ້າ.
expensive	ແພງ	ໂມງນີ້ແພງ.
explain	ອະທິບາຍ	ຄູອະທິບາຍຄຳຕອບ.
extra	ເພີ່ມເຕີມ; ສຳຮອງ	ຂ້ອຍມີກະແຈສຳຮອງໜຶ່ງດອກ.
eye	ຕາ	ຕາຂອງນາງສີຟ້າ.
face	ໃບໜ້າ	ລ້າງໃບໜ້າຂອງເຈົ້າ.
fact	ຂໍ້ເທັດຈິງ; ຂໍ້ມູນ	ນີ້ແມ່ນຂໍ້ມູນສຳຄັນ.
fall	ຕົກ	ໃບໄມ້ຕົກໃນລະດູໃບໄມ້ລົ່ນ.
false	ຜິດ; ບໍ່ຈິງ	ຄຳຕອບຜິດ.
family	ຄອບຄົວ	ຄອບຄົວຂອງຂ້ອຍໃຫຍ່.
famous	ມີຊື່ສຽງ	ລາວເປັນນັກຮ້ອງມີຊື່ສຽງ.
fantastic	ດີເລີດ	ຮູບນີ້ດີເລີດ.
far	ໄກ	ສະຖານີບໍ່ໄກ.
farm	ຟາມ	ພວກເຂົາຢູ່ໃນຟາມ.
farmer	ຊາວນາ; ຊາວກະສິກອນ	ຊາວນາເຮັດວຽກໃນທົ່ງນາ.
fast	ໄວ	ລົດໄຟໄປໄວ.
fat	ອ້ວນ	ແມວອ້ວນໜ້ອຍໜຶ່ງ.
father	ພໍ່	ພໍ່ຂ້ອຍເປັນຄູ.
favourite	ທີ່ມັກທີ່ສຸດ	ປາແມ່ນອາຫານທີ່ຂ້ອຍມັກທີ່ສຸດ.
February	ເດືອນກຸມພາ	ເດືອນກຸມພາແມ່ນເດືອນສັ້ນ.
feel	ຮູ້ສຶກ	ມື້ນີ້ຂ້ອຍຮູ້ສຶກດີ.
feeling	ຄວາມຮູ້ສຶກ	ຂ້ອຍມີຄວາມຮູ້ສຶກດີ.
festival	ງານບຸນ	ພວກເຮົາຮ້ອງເພງໃນງານບຸນ.
few	ສອງສາມ; ໜ້ອຍ	ຂ້ອຍມີເງິນໜ້ອຍ.
fifteen	ສິບຫ້າ	ມີນັກຮຽນສິບຫ້າຄົນໃນຫ້ອງ.
fifth	ທີຫ້າ	ລາວຢູ່ຊັ້ນທີຫ້າ.
fifty	ຫ້າສິບ	ປີ້ລາຄາຫ້າສິບກີບ.
fill	ຕື່ມ	ຕື່ມນ້ຳໃສ່ຈອກ.
film	ຮູບເງົາ	ພວກເຮົາເບິ່ງຮູບເງົາໜຶ່ງເລື່ອງ.
final	ສຸດທ້າຍ	ນີ້ແມ່ນຄຳຕອບສຸດທ້າຍ.
find	ພົບ; ຊອກຫາ	ຂ້ອຍພົບກະແຈຂອງຂ້ອຍ.
fine	ດີ; ສະບາຍດີ	ຂ້ອຍສະບາຍດີ.
finish	ສຳເລັດ; ຈົບ	ຂ້ອຍເຮັດວຽກສຳເລັດ.
fire	ໄຟ	ໄຟຮ້ອນ.
first	ທຳອິດ	ລາວຕອບຄຳຖາມທຳອິດ.
fish	ປາ	ຂ້ອຍກິນປາ.
five	ຫ້າ	ຂ້ອຍມີປຶ້ມຫ້າຫົວ.
flat	ອາພາດເມັນ	ອາພາດເມັນຂອງຂ້ອຍນ້ອຍ.
flight	ຖ້ຽວບິນ	ຖ້ຽວບິນຂອງພວກເຮົາຕອນແປດໂມງເຊົ້າ.
floor	ພື້ນ; ຊັ້ນ	ກະເປົາຢູ່ເທິງພື້ນ.
flower	ດອກໄມ້	ດອກໄມ້ນີ້ງາມ.
fly	ບິນ	ນົກບິນຢູ່ເທິງຟ້າ.
follow	ຕາມ	ກະລຸນາຕາມຂ້ອຍ.
food	ອາຫານ	ອາຫານພ້ອມແລ້ວ.
foot	ຕີນ	ຕີນຂອງລາວເຈັບ.
football	ບານເຕະ	ມື້ນີ້ພວກເຮົາຫຼິ້ນບານເຕະ.
for	ສຳລັບ	ຂອງຂວັນນີ້ສຳລັບເຈົ້າ.
forget	ລືມ	ຢ່າລືມປຶ້ມຂອງເຈົ້າ.
form	ແບບຟອມ; ຮູບແບບ	ຕື່ມແບບຟອມນີ້.
forty	ສີ່ສິບ	ປຶ້ມລາຄາສີ່ສິບກີບ.
four	ສີ່	ມີຈອກສີ່ໃບເທິງໂຕະ.
fourteen	ສິບສີ່	ນ້ອງສາວຂ້ອຍອາຍຸສິບສີ່ປີ.
fourth	ທີສີ່	ລາວນັ່ງຢູ່ແຖວທີສີ່.
free	ຟຣີ; ອິດສະຫຼະ	ປີ້ນີ້ຟຣີ.
Friday	ວັນສຸກ	ພວກເຮົາມີການສອບເສັງວັນສຸກ.
friend	ເພື່ອນ	ເພື່ອນຂອງຂ້ອຍຢູ່ທີ່ນີ້.
friendly	ເປັນມິດ	ຄູຄົນໃໝ່ເປັນມິດ.
from	ຈາກ	ຂ້ອຍມາຈາກວຽງຈັນ.
front	ຂ້າງໜ້າ	ຮ້ານຢູ່ຂ້າງໜ້າໂຮງຮຽນ.
fruit	ໝາກໄມ້	ຂ້ອຍກິນໝາກໄມ້ທຸກມື້.
full	ເຕັມ	ລົດເມເຕັມ.
fun	ຄວາມມ່ວນ	ເກມນີ້ມ່ວນ.
funny	ຕະຫຼົກ	ເລື່ອງຂອງລາວຕະຫຼົກ.
future	ອະນາຄົດ	ໃນອະນາຄົດຂ້ອຍຢາກເປັນທ່ານໝໍ.
game	ເກມ; ການແຂ່ງຂັນ	ເກມນີ້ງ່າຍ.
garden	ສວນ	ມີດອກໄມ້ໃນສວນ.
geography	ພູມສາດ	ຂ້ອຍຮຽນພູມສາດ.
get	ໄດ້ຮັບ; ເອົາ	ຂ້ອຍໄດ້ຮັບປຶ້ມໃໝ່ໜຶ່ງຫົວ.
girl	ເດັກຍິງ	ເດັກຍິງຮ້ອງເພງ.
girlfriend	ແຟນສາວ	ແຟນສາວຂອງລາວຢູ່ໃນເມືອງ.
give	ໃຫ້	ໃຫ້ເບີໂທຂອງເຈົ້າແກ່ຂ້ອຍ.
glass	ແກ້ວ; ກະຈົກ	ມີນ້ຳໃນແກ້ວ.
go	ໄປ	ພວກເຮົາໄປເຮືອນດຽວນີ້.
good	ດີ	ມື້ນີ້ອາກາດດີ.
goodbye	ລາກ່ອນ	ລາກ່ອນ, ພົບກັນມື້ອື່ນ.
grandfather	ພໍ່ຕູ້	ພໍ່ຕູ້ຂອງຂ້ອຍກຳລັງຍ່າງ.
grandmother	ແມ່ຕູ້	ແມ່ຕູ້ຂອງຂ້ອຍກຳລັງແຕ່ງກິນ.
grandparent	ປູ່ຍ່າຕາຍາຍ	ປູ່ຍ່າຕາຍາຍຂອງຂ້ອຍຢູ່ໃກ້.
great	ດີເລີດ; ຍິ່ງໃຫຍ່	ຄວາມຄິດຂອງເຈົ້າດີເລີດ.
green	ສີຂຽວ	ຫຍ້າສີຂຽວ.
grey	ສີເທົາ	ທ້ອງຟ້າສີເທົາ.
group	ກຸ່ມ	ກຸ່ມຂອງພວກເຮົານ້ອຍ.
grow	ເຕີບໃຫຍ່	ຕົ້ນໄມ້ເຕີບໃຫຍ່ໄວ.
guess	ເດົາ	ເດົາຄຳຕອບ.
guitar	ກີຕາ	ລາວຫຼິ້ນກີຕາ.
gym	ຫ້ອງອອກກຳລັງກາຍ	ຂ້ອຍໄປຫ້ອງອອກກຳລັງກາຍ.
hair	ຜົມ	ຜົມຂອງນາງຍາວ.
half	ເຄິ່ງ	ຂ້ອຍກິນເຂົ້າຈີ່ເຄິ່ງອັນ.
hand	ມື	ລ້າງມືຂອງເຈົ້າ.
happen	ເກີດຂຶ້ນ	ມີຫຍັງເກີດຂຶ້ນຢູ່ນີ້?
happy	ມີຄວາມສຸກ	ມື້ນີ້ຂ້ອຍມີຄວາມສຸກ.
hard	ຍາກ; ແຂງ	ວຽກນີ້ຍາກ.
hat	ໝວກ	ລາວໃສ່ໝວກສີຟ້າ.
hate	ກຽດ	ຂ້ອຍກຽດຄຳຕົວະ.
have	ມີ	ຂ້ອຍມີລົດໜຶ່ງຄັນ.
have to modal	ຕ້ອງ	ຂ້ອຍຕ້ອງໄປດຽວນີ້.
he	ລາວ	ລາວແມ່ນອ້າຍຂອງຂ້ອຍ.
head	ຫົວ	ຫົວຂອງຂ້ອຍເຈັບ.
health	ສຸຂະພາບ	ສຸຂະພາບສຳຄັນ.
healthy	ມີສຸຂະພາບດີ	ອາຫານນີ້ດີຕໍ່ສຸຂະພາບ.
hear	ໄດ້ຍິນ	ຂ້ອຍໄດ້ຍິນສຽງຂອງເຈົ້າ.
hello	ສະບາຍດີ	ສະບາຍດີ, ເຈົ້າເປັນແນວໃດ?
help	ຊ່ວຍ; ຄວາມຊ່ວຍເຫຼືອ	ກະລຸນາຊ່ວຍຂ້ອຍ.
her	ຂອງນາງ; ນາງ	ຂ້ອຍເຫັນນາງ.
here	ທີ່ນີ້	ປຶ້ມຢູ່ທີ່ນີ້.
hey	ເຮ້	ເຮ້, ມາທີ່ນີ້.
hi	ສະບາຍດີ	ສະບາຍດີ, ຂ້ອຍຊື່ຣາຮູນ.
high	ສູງ	ພູນັ້ນສູງ.
him	ລາວ	ຂ້ອຍຮູ້ຈັກລາວ.
his	ຂອງລາວ	ນີ້ແມ່ນປຶ້ມຂອງລາວ.
history	ປະຫວັດສາດ	ພວກເຮົາຮຽນປະຫວັດສາດ.
hobby	ງານອະດິເລກ	ການຟັງດົນຕີແມ່ນງານອະດິເລກຂອງຂ້ອຍ.
holiday	ວັນພັກ	ພວກເຮົາມີວັນພັກມື້ອື່ນ.
home	ເຮືອນ	ຂ້ອຍຢູ່ເຮືອນ.
homework	ວຽກບ້ານ	ຂ້ອຍເຮັດວຽກບ້ານສຳເລັດ.
hope	ຄວາມຫວັງ; ຫວັງ	ຂ້ອຍຫວັງວ່າເຈົ້າຈະມາ.
horse	ມ້າ	ມ້າແລ່ນໄວ.
hospital	ໂຮງໝໍ	ໂຮງໝໍຢູ່ໃກ້.
hot	ຮ້ອນ	ຊາຮ້ອນ.
hotel	ໂຮງແຮມ	ພວກເຮົາພັກຢູ່ໂຮງແຮມ.
hour	ຊົ່ວໂມງ	ຫ້ອງຮຽນໃຊ້ເວລາໜຶ່ງຊົ່ວໂມງ.
house	ເຮືອນ	ເຮືອນຂອງພວກເຂົາໃຫຍ່.
how	ແນວໃດ	ເຈົ້າໄປໂຮງຮຽນແນວໃດ?
however	ຢ່າງໃດກໍຕາມ	ຂ້ອຍເມື່ອຍ, ແຕ່ຢ່າງໃດກໍຕາມຂ້ອຍຈະໄປ.
hundred	ໜຶ່ງຮ້ອຍ	ມີຄົນໜຶ່ງຮ້ອຍຄົນຢູ່ນີ້.
hungry	ຫິວ	ຕອນນີ້ຂ້ອຍຫິວ.
husband	ຜົວ	ຜົວຂອງນາງເປັນທ່ານໝໍ.
I	ຂ້ອຍ	ຂ້ອຍຮຽນພາສາອັງກິດ.
ice	ນ້ຳກ້ອນ	ນ້ຳກ້ອນເຢັນ.
ice cream	ກະແລັມ	ເດັກນ້ອຍກິນກະແລັມ.
idea	ຄວາມຄິດ	ຄວາມຄິດຂອງເຈົ້າດີ.
if	ຖ້າ	ຖ້າຝົນຕົກ ຂ້ອຍຈະຢູ່.
imagine	ຈິນຕະນາການ	ຈິນຕະນາການເຮືອນໃຫຍ່ໜຶ່ງຫຼັງ.
important	ສຳຄັນ	ກົດນີ້ສຳຄັນ.
improve	ປັບປຸງ	ຂ້ອຍປັບປຸງພາສາອັງກິດຂອງຂ້ອຍ.
in	ໃນ	ປຶ້ມຢູ່ໃນກະເປົາ.
include	ລວມມີ	ລາຄາລວມມີອາຫານ.
information	ຂໍ້ມູນ	ຂ້ອຍຕ້ອງການຂໍ້ມູນເພີ່ມເຕີມ.
interest	ຄວາມສົນໃຈ; ດອກເບ້ຍ	ລາວມີຄວາມສົນໃຈໃນດົນຕີ.
interested	ສົນໃຈ	ຂ້ອຍສົນໃຈປະຫວັດສາດ.
interesting	ນ່າສົນໃຈ	ປຶ້ມນີ້ນ່າສົນໃຈ.
internet	ອິນເຕີເນັດ	ມື້ນີ້ອິນເຕີເນັດຊ້າ.
interview	ການສຳພາດ	ຂ້ອຍມີການສຳພາດວັນຈັນ.
into	ເຂົ້າໄປໃນ	ລາວເຂົ້າໄປໃນຫ້ອງ.
introduce	ແນະນຳ	ຂ້ອຍແນະນຳເຈົ້າໃຫ້ຮູ້ຈັກເພື່ອນຂອງຂ້ອຍ.
island	ເກາະ	ເກາະນີ້ນ້ອຍ.
it	ມັນ	ມັນແມ່ນໂທລະສັບຂອງຂ້ອຍ.
its	ຂອງມັນ	ແມວກິນອາຫານຂອງມັນ.
jacket	ເສື້ອແຈັກເກັດ	ລາວໃສ່ເສື້ອແຈັກເກັດສີດຳ.
January	ເດືອນມັງກອນ	ອາກາດເຢັນໃນເດືອນມັງກອນ.
jeans	ໂສ້ງຢີນ	ຂ້ອຍໃສ່ໂສ້ງຢີນສີຟ້າ.
job	ວຽກ	ລາວມີວຽກໃໝ່.
join	ເຂົ້າຮ່ວມ	ເຂົ້າຮ່ວມກຸ່ມຂອງພວກເຮົາ.
journey	ການເດີນທາງ	ການເດີນທາງນີ້ຍາວ.
juice	ນ້ຳໝາກໄມ້	ຂ້ອຍດື່ມນ້ຳສົ້ມ.
July	ເດືອນກໍລະກົດ	ເດືອນກໍລະກົດຮ້ອນ.
June	ເດືອນມິຖຸນາ	ພວກເຮົາເດີນທາງໃນເດືອນມິຖຸນາ.
just	ພຽງແຕ່; ພຶ່ງ	ຂ້ອຍພຽງແຕ່ຕ້ອງການນ້ຳ.
keep	ເກັບ; ຮັກສາ	ເກັບກະແຈໄວ້ທີ່ນີ້.
key	ກະແຈ; ສິ່ງສຳຄັນ	ກະແຈຂອງຂ້ອຍຢູ່ໃສ?
kilometre	ກິໂລແມັດ	ສະຖານີຢູ່ໄກສອງກິໂລແມັດ.
kind (type)	ປະເພດ	ເຈົ້າມັກດົນຕີປະເພດໃດ?
kitchen	ຫ້ອງຄົວ	ແມ່ຢູ່ໃນຫ້ອງຄົວ.
know	ຮູ້	ຂ້ອຍຮູ້ຄຳຕອບ.
land	ດິນ; ລົງຈອດ	ເຮືອບິນລົງຈອດເທິງດິນ.
language	ພາສາ	ພາສາລາວແມ່ນພາສາໜຶ່ງ.
large	ໃຫຍ່	ຂ້ອຍມີກະເປົາໃຫຍ່.
last1 (final)	ສຸດທ້າຍ	ນີ້ແມ່ນລົດເມຄັນສຸດທ້າຍ.
late	ຊ້າ	ມື້ນີ້ຂ້ອຍມາຊ້າ.
later	ພາຍຫຼັງ	ຂ້ອຍຈະໂທຫາພາຍຫຼັງ.
laugh	ຫົວເລາະ	ເດັກນ້ອຍຫົວເລາະດັງ.
learn	ຮຽນ	ຂ້ອຍຮຽນຄຳສັບໃໝ່.
leave	ອອກໄປ; ປ່ອຍໄວ້	ພວກເຮົາອອກຈາກເຮືອນດຽວນີ້.
left	ຊ້າຍ; ທີ່ເຫຼືອ	ລ້ຽວໄປທາງຊ້າຍ.
leg	ຂາ	ຂາຂອງລາວຍາວ.
lesson	ບົດຮຽນ	ບົດຮຽນມື້ນີ້ງ່າຍ.
let	ອະນຸຍາດໃຫ້	ອະນຸຍາດໃຫ້ຂ້ອຍລອງ.
letter	ຈົດໝາຍ; ຕົວອັກສອນ	ຂ້ອຍຂຽນຈົດໝາຍໜຶ່ງສະບັບ.
library	ຫໍສະໝຸດ	ມີປຶ້ມຫຼາຍໃນຫໍສະໝຸດ.
lie1	ນອນ	ກະລຸນານອນເທິງຕຽງ.
life	ຊີວິດ	ຊີວິດງາມ.
like (similar)	ຄືກັບ	ກະເປົານີ້ຄືກັບກະເປົາຂອງຂ້ອຍ.
like (find sb/sth pleasant)	ມັກ	ຂ້ອຍມັກເພງນີ້.
line	ແຖວ; ເສັ້ນ	ຢືນຢູ່ໃນແຖວ.
lion	ສິງໂຕ	ສິງໂຕໃຫຍ່.
list	ລາຍການ	ຂ້ອຍມີລາຍການຊື້ຂອງ.
listen	ຟັງ	ກະລຸນາຟັງຢ່າງຕັ້ງໃຈ.
little	ນ້ອຍ; ໜ້ອຍ	ຂ້ອຍມີເວລາໜ້ອຍ.
live1	ອາໄສຢູ່	ຂ້ອຍອາໄສຢູ່ໃນເມືອງ.
local	ທ້ອງຖິ່ນ	ພວກເຮົາໄປຕະຫຼາດທ້ອງຖິ່ນ.
long1	ຍາວ	ຖະໜົນຍາວ.
look	ເບິ່ງ	ເບິ່ງຮູບ.
lose	ຫາຍ; ແພ້	ປາກກາຂອງຂ້ອຍຫາຍ.
lot	ຫຼາຍ	ຂ້ອຍມີວຽກຫຼາຍ.
love	ຮັກ; ຄວາມຮັກ	ຂ້ອຍຮັກຄອບຄົວຂອງຂ້ອຍ.
lunch	ອາຫານທ່ຽງ	ອາຫານທ່ຽງພ້ອມແລ້ວ.
