source_headword	IT	example_IT
stabilize	stabilizzare	La medicina ha aiutato a stabilizzarlo.
stake	la quota	Gli investitori hanno una quota qui.
standing	la posizione	La sua posizione nel partito è aumentata.
stark	netto	I risultati hanno mostrato un netto contrasto.
statistical	statistico	Lo studio ha utilizzato metodi statistici.
steer	guidare	Ha cercato di guidare il dibattito.
stem	il gambo	Il gambo si è spezzato nella tempesta.
stereotype	lo stereotipo	Il film ha sfidato uno stereotipo.
stimulus	lo stimolo	Il pacchetto ha fornito uno stimolo economico.
stir	mescolare	Mescola la salsa lentamente.
storage	l'immagazzinamento	La struttura offre un immagazzinamento sicuro.
straightforward	semplice	Le istruzioni erano semplici.
strain	la tensione	Il lungo ritardo ha causato tensione.
strand	la ciocca	È caduta una ciocca di capelli.
strategic	strategico	L'azienda ha fatto un investimento strategico.
strip (long narrow piece)	la striscia	Taglia una striscia stretta di carta.
strip (remove clothes/a layer)	sverniciare	Svernicia con cura la vecchia vernice.
strive	sforzarsi	Si sforzano per l'eccellenza.
structural	strutturale	Il ponte ha danni strutturali.
stumble	inciampare	È inciampato sulle scale.
stun	sbalordire	Le notizie possono sbalordire le persone.
submission	la presentazione	La scadenza per la presentazione è passata.
subscriber	l'abbonato	Ogni abbonato riceve aggiornamenti.
subscription	l'abbonamento	L'abbonamento si rinnova automaticamente.
subsidy	il sussidio	Il sussidio ha abbassato i costi del carburante.
substantial	sostanziale	Il progetto necessita di finanziamenti sostanziali.
substantially	sostanzialmente	Il prezzo è aumentato sostanzialmente.
substitute	il sostituto	Usa il latte come sostituto.
substitution	la sostituzione	La sostituzione ha cambiato la ricetta.
subtle	sottile	Il dipinto ha dettagli sottili.
suburban	suburbano	Si sono trasferiti in una zona suburbana.
succession	la successione	La crisi ha seguito una successione di fallimenti.
successive	successivo	I governi successivi hanno ignorato il problema.
successor	il successore	Il successore inizierà lunedì.
suck	aspirare	La macchina può aspirare la polvere.
sue	fare causa a	Ha deciso di fare causa all'azienda.
suicide	il suicidio	La prevenzione del suicidio ha bisogno di finanziamenti continui.
suite	la suite	La suite dell'hotel si affacciava sul fiume.
summit	il vertice	I leader si sono incontrati al vertice.
superb	superbo	La prestazione è stata superba.
superior	superiore	Il nuovo modello è superiore.
supervise	supervisionare	Supervisionerà i tirocinanti.
supervision	la supervisione	I bambini hanno bisogno della supervisione di un adulto.
supervisor	il supervisore	Chiedi prima al tuo supervisore.
supplement	il supplemento	Il rapporto include un supplemento.
supportive	di supporto	La sua famiglia è stata di supporto.
supposedly	presumibilmente	Il file è stato presumibilmente eliminato.
suppress	reprimere	Il regime ha cercato di reprimere le proteste.
supreme	supremo	La corte suprema ha ascoltato il caso.
surge	il picco	Un improvviso sbalzo di tensione ha danneggiato l'attrezzatura.
surgical	chirurgico	Il paziente ha bisogno di un trattamento chirurgico.
surplus	l'eccedenza	Il magazzino ha un'eccedenza.
surrender	arrendersi	I soldati hanno accettato di arrendersi.
surveillance	la sorveglianza	Le telecamere di sorveglianza hanno registrato l'ingresso.
suspension	la sospensione	La sospensione è durata due settimane.
suspicion	il sospetto	Il suo comportamento ha destato sospetto.
suspicious	sospetto	Il pacco sembrava sospetto.
sustain	sostenere	Il progetto può sostenere l'occupazione locale.
swing	oscillare	La porta ha iniziato a oscillare.
sword	la spada	La spada era appesa al muro.
symbolic	simbolico	Il gesto era simbolico.
syndrome	la sindrome	La sindrome colpisce la memoria.
synthesis	la sintesi	Il capitolo offre una sintesi.
systematic	sistematico	La revisione è stata sistematica.
tactic	la tattica	La tattica ha fallito rapidamente.
tactical	tattico	La squadra ha fatto un cambio tattico.
taxpayer	il contribuente	I soldi dei contribuenti hanno finanziato il ponte.
tempt	tentare	L'offerta potrebbe tentare gli investitori.
tenant	l'inquilino	L'inquilino ha pagato l'affitto in anticipo.
tender	tenero	Ha fatto un sorriso tenero.
tenure	il mandato	Il suo mandato è durato sei anni.
terminal	terminale	Il paziente aveva una malattia terminale.
terminate	risolvere	L'azienda potrebbe risolvere il contratto.
terrain	il terreno	Il terreno era difficile.
terrific	eccezionale	La vista era eccezionale.
testify	testimoniare	Ha accettato di testimoniare.
testimony	la testimonianza	La sua testimonianza era dettagliata.
texture	la consistenza	Il tessuto ha una consistenza ruvida.
thankfully	fortunatamente	Fortunatamente nessuno è rimasto ferito.
theatrical	teatrale	Il discorso sembrava teatrale.
theology	la teologia	Ha studiato teologia all'università.
theoretical	teorico	Il modello è puramente teorico.
thereafter	in seguito	In seguito, le regole sono cambiate.
thereby	in tal modo	Il cambiamento ha ridotto i costi, salvando in tal modo posti di lavoro.
thoughtful	riflessivo	La sua risposta è stata riflessiva.
thought-provoking	stimolante	L'articolo era stimolante.
thread	il filo	Il filo si è rotto facilmente.
threshold	la soglia	Il voto ha superato la soglia.
thrilled	entusiasta	Era entusiasta della notizia.
thrive	prosperare	Le piccole imprese possono prosperare qui.
tide	la marea	La marea si è alzata rapidamente.
tighten	stringere	Stringi saldamente il coperchio.
timber	il legname	La casa utilizza legname locale.
timely	tempestivo	L'avvertimento è stato tempestivo.
tobacco	il tabacco	Le vendite di tabacco sono diminuite.
tolerance	la tolleranza	La politica incoraggia la tolleranza.
tolerate	tollerare	Non possiamo tollerare gli abusi.
toll	il pedaggio	La tempesta ha preteso un pesante tributo.
top	superare	Le vendite potrebbero superare il record dell'anno scorso.
torture	la tortura	Il trattato vieta assolutamente la tortura.
