source_headword	TE	example_TE
amid	మధ్య	పెరుగుతున్న ఉద్రిక్తతల మధ్య ఈ ప్రసంగం వచ్చింది.
analogy	సారూప్యత	ఉపాధ్యాయుడు ఒక సాధారణ సారూప్యతను ఉపయోగించారు.
anchor	యాంకర్	పడవ ద్వీపం దగ్గర యాంకర్ వేసింది.
angel	దేవదూత	బిడ్డ దేవదూత దుస్తులు ధరించింది.
anonymous	అజ్ఞాత	ఫిర్యాదు అజ్ఞాతంగా వచ్చింది.
apparatus	పరికరం	ప్రయోగశాల పరికరాన్ని శుభ్రం చేయాలి.
appealing	ఆకర్షణీయమైన	ఆఫర్ విద్యార్థులకు ఆకర్షణీయంగా కనిపిస్తోంది.
appetite	ఆకలి	వ్యాయామం అతని ఆకలిని పెంచింది.
applaud	చప్పట్లు కొట్టు	ప్రేక్షకులు బిగ్గరగా చప్పట్లు కొట్టడం ప్రారంభించారు.
applicable	వర్తించే	డిస్కౌంట్ ఈ రోజు వర్తిస్తుంది.
appoint	నియమించు	బోర్డు ఒక డైరెక్టర్‌ను నియమిస్తుంది.
appreciation	ప్రశంసలు	వారి సహాయానికి ఆమె తన ప్రశంసలు వ్యక్తం చేసింది.
arbitrary	ఏకపక్ష	గడువు సిబ్బందికి ఏకపక్షంగా అనిపించింది.
architectural	నిర్మాణ	నగరం దాని నిర్మాణ వారసత్వాన్ని కాపాడుతుంది.
archive	ఆర్కైవ్	ఆర్కైవ్ పాత ఛాయాచిత్రాలను నిల్వ చేస్తుంది.
arena	అరేనా	చర్చ పబ్లిక్ అరేనాలోకి ప్రవేశించింది.
arguably	బహుశా	బహుశా ఇది అతని ఉత్తమ నవల.
arm	ఆయుధాలు ఇవ్వు	కాపలాదారులు కాన్వాయ్‌కు ఆయుధాలు ఇస్తారు.
array	శ్రేణి	దుకాణం అనేక రకాల సాధనాలను అందిస్తుంది.
articulate	స్పష్టంగా వ్యక్తీకరించు	ఆమె సంక్లిష్టమైన ఆలోచనలను స్పష్టంగా వ్యక్తీకరించగలదు.
ash	బూడిద	అగ్నిప్రమాదం తర్వాత కారును బూడిద కప్పేసింది.
aspiration	ఆశయం	సర్జన్ కావాలన్నదే ఆమె ఆశయం.
aspire	ఆకాంక్షించు	చాలా మంది విద్యార్థులు విదేశాల్లో చదువుకోవాలని ఆకాంక్షిస్తారు.
assassination	హత్య	ఈ హత్య దేశ రాజకీయాలను మార్చివేసింది.
assault	దాడి	స్టేషన్ సమీపంలో దాడి జరిగింది.
assemble	సమీకరించు	కార్మికులు ఫర్నిచర్‌ను చేతితో సమీకరిస్తారు.
assembly	అసెంబ్లీ	పాఠశాల అసెంబ్లీ తొమ్మిది గంటలకు ప్రారంభమవుతుంది.
assert	నొక్కిచెప్పు	అతను తన అధికారాన్ని నొక్కిచెప్పడానికి ప్రయత్నించాడు.
assertion	వాదన	ఆమె వాదన ప్యానెల్‌ను ఆశ్చర్యపరిచింది.
assurance	భరోసా	మేనేజర్ మద్దతు ఇస్తానని భరోసా ఇచ్చారు.
asylum	ఆశ్రయం	కుటుంబం సరిహద్దులో ఆశ్రయం కోరింది.
atrocity	దారుణం	ఈ చిత్రం యుద్ధకాలపు దారుణాన్ని వివరించింది.
attain	సాధించు	కొద్ది మంది రన్నర్లు ఆ వేగాన్ని సాధిస్తారు.
attendance	హాజరు	ప్రకటన తర్వాత హాజరు మెరుగుపడింది.
attorney	న్యాయవాది	న్యాయవాది సాక్షిని ప్రశ్నించారు.
attribute	ఆపాదించు	శాస్త్రవేత్తలు పెరుగుదలను కాలుష్యానికి ఆపాదిస్తున్నారు.
audit	ఆడిట్	ఆడిట్‌లో అనేక లోపాలు కనుగొనబడ్డాయి.
authentic	ప్రామాణికమైన	రెస్టారెంట్ ప్రామాణికమైన ప్రాంతీయ ఆహారాన్ని అందిస్తుంది.
authorize	అధికారం ఇవ్వు	నిర్వాహకులు మాత్రమే వాపసులకు అధికారం ఇవ్వగలరు.
auto	ఆటో	ఆటో పరిశ్రమ వేగంగా మారింది.
autonomy	స్వయంప్రతిపత్తి	ఈ ప్రాంతం మరింత స్వయంప్రతిపత్తిని కోరుకుంటోంది.
availability	లభ్యత	సీట్ల లభ్యత పరిమితంగా ఉంది.
await	వేచి ఉండు	మీ సమాధానం కోసం చాలా సందేశాలు వేచి ఉన్నాయి.
backdrop	నేపథ్యం	పర్వతాలు ఒక అద్భుతమైన నేపథ్యాన్ని ఏర్పరిచాయి.
backing	మద్దతు	ప్రతిపాదన ఓటర్ల మద్దతు పొందింది.
backup	బ్యాకప్	సిస్టమ్ ప్రతిరోజూ బ్యాకప్‌ను సృష్టిస్తుంది.
bail	బెయిల్	న్యాయమూర్తి మధ్యాహ్నం బెయిల్ మంజూరు చేశారు.
ballot	బ్యాలెట్	ప్రతి ఓటరు బ్యాలెట్ అందుకున్నారు.
banner	బ్యానర్	ప్రవేశద్వారం పైన బ్యానర్ వేలాడుతోంది.
bare	ఖాళీ	గదిలో ఖాళీ గోడలు ఉన్నాయి.
barrel	బారెల్	బారెల్ నీటితో నిండి ఉంది.
bass1	బాస్	బాస్ శబ్దం లోతుగా మరియు వెచ్చగా ఉంది.
battlefield	యుద్ధభూమి	పాత యుద్ధభూమి స్మారక చిహ్నంగా మారింది.
bay	అఖాతం	గ్రామం ప్రశాంతమైన అఖాతం పక్కన ఉంది.
beam	దూలం	ఉక్కు దూలం పైకప్పుకు మద్దతు ఇస్తుంది.
beast	మృగం	కథ ఒక భయంకరమైన మృగాన్ని వివరిస్తుంది.
behalf	తరపున	ఆమె తన జట్టు తరపున మాట్లాడింది.
beloved	ప్రియమైన	ప్రియమైన ఉపాధ్యాయుడు ఈ రోజు పదవీ విరమణ చేశారు.
bench	బెంచ్	వారు చెక్క బెంచీపై కూర్చున్నారు.
benchmark	బెంచ్‌మార్క్	పరీక్ష పరిశ్రమకు బెంచ్‌మార్క్‌గా మారింది.
beneath	కింద	పత్రాలు ఫోల్డర్ కింద ఉన్నాయి.
beneficiary	లబ్ధిదారుడు	ఆమె కొడుకు ప్రధాన లబ్ధిదారుడు.
betray	ద్రోహం చేయు	మీ స్నేహితుని నమ్మకానికి ద్రోహం చేయకండి.
bind	కట్టుబడి ఉండు	ఒప్పందం రెండు కంపెనీలను కట్టుబడి ఉంచుతుంది.
biography	జీవిత చరిత్ర	అతని జీవిత చరిత్ర అనేక కాపీలు అమ్ముడైంది.
bishop	బిషప్	బిషప్ గ్రామ చర్చిని సందర్శించారు.
bizarre	విచిత్రమైన	సినిమా ముగింపు విచిత్రంగా ఉంది.
blade	బ్లేడ్	బ్లేడ్ తాడును కత్తిరించింది.
blast	పేలుడు	పేలుడు కారణంగా సమీపంలోని కిటికీలు పగిలిపోయాయి.
bleed	రక్తస్రావం	గాయం నుండి ఎక్కువగా రక్తం కారడం ప్రారంభమైంది.
blend	మిశ్రమం	సాస్ మృదువుగా మారే వరకు కలపండి.
bless	ఆశీర్వదించు	పూజారి ఇంటిని ఆశీర్వదిస్తారు.
blessing	ఆశీర్వాదం	మద్దతు పొందడం ఒక ఆశీర్వాదం.
boast	గొప్పలు చెప్పు	అతను డబ్బు గురించి గొప్పలు చెప్పుకోవడానికి ఇష్టపడతాడు.
bonus	బోనస్	ఉద్యోగులకు సెలవు బోనస్ లభించింది.
boom	వృద్ధి	నగరం నిర్మాణ రంగంలో వృద్ధిని సాధించింది.
bounce	బౌన్స్	బంతి చాలా ఎత్తుకు ఎగరగలదు.
boundary	సరిహద్దు	నది సరిహద్దును సూచిస్తుంది.
bow1	వంగి నమస్కరించు	నటుడు తలవంచి నమస్కరించాడు.
breach	ఉల్లంఘన	ఉల్లంఘన వ్యక్తిగత డేటాను బహిర్గతం చేసింది.
breakdown	విచ్ఛిన్నం	నివేదికలో ఖర్చుల విచ్ఛిన్నం ఉంది.
breakthrough	పురోగతి	ఈ ఆవిష్కరణ ఒక ప్రధాన పురోగతి.
breed	జాతి	ఈ పక్షులు వసంతకాలంలో సంతానోత్పత్తి చేస్తాయి.
broadband	బ్రాడ్‌బ్యాండ్	కార్యాలయానికి వేగవంతమైన బ్రాడ్‌బ్యాండ్ అవసరం.
browser	బ్రౌజర్	లాగిన్ చేయడానికి ముందు మీ బ్రౌజర్‌ను అప్‌డేట్ చేయండి.
brutal	క్రూరమైన	దాడి క్రూరంగా మరియు ఆకస్మికంగా జరిగింది.
buck	బక్	టికెట్ ధర పది బక్స్.
buddy	స్నేహితుడు	అతని స్నేహితుడు బయట వేచి ఉన్నాడు.
buffer	బఫర్	చెట్లు శబ్ద బఫర్‌ను సృష్టిస్తాయి.
bulk	పెద్దమొత్తంలో	వారు బియ్యాన్ని పెద్దమొత్తంలో కొనుగోలు చేశారు.
burden	భారం	అప్పు పెద్ద భారం అయింది.
bureaucracy	బ్యూరోక్రసీ	బ్యూరోక్రసీ వల్ల పర్మిట్ ఆలస్యమైంది.
burial	ఖననం	తెల్లవారుజామున ఖననం జరిగింది.
burst	పేలడం	ఒత్తిడి వల్ల పైపు పగిలిపోవచ్చు.
cabinet	క్యాబినెట్	క్యాబినెట్ ఈ పథకానికి ఆమోదం తెలిపింది.
calculation	లెక్కింపు	లెక్కింపుకు కొన్ని నిమిషాలు పట్టింది.
canvas	కాన్వాస్	కళాకారుడు ఒక పెద్ద కాన్వాస్‌పై చిత్రాన్ని గీశాడు.
capability	సామర్థ్యం	పరికరం వైర్‌లెస్ సామర్థ్యాన్ని కలిగి ఉంది.
capitalism	పెట్టుబడిదారీ విధానం	పెట్టుబడిదారీ విధానం ఆధునిక ఆర్థిక వ్యవస్థను రూపొందించింది.
capitalist	పెట్టుబడిదారీ	పెట్టుబడిదారీ వ్యవస్థ ప్రైవేట్ పెట్టుబడులకు బహుమతి ఇస్తుంది.
cargo	సరుకు	నౌక వైద్య సరుకులను మోసుకెళ్లింది.
carriage	క్యారేజ్	రైలు క్యారేజ్ దాదాపు ఖాళీగా ఉంది.
carve	చెక్కు	అతను చెక్కను జాగ్రత్తగా చెక్కుతాడు.
casino	క్యాసినో	హోటల్ సమీపంలో క్యాసినో ప్రారంభమైంది.
casualty	ప్రాణనష్టం	ఈ ప్రమాదంలో ఒకరు మరణించారు.
catalogue	కేటలాగ్	కేటలాగ్ ప్రతి ఉత్పత్తిని జాబితా చేస్తుంది.
cater	సేవలు అందించు	రెస్టారెంట్ పెద్ద ఈవెంట్‌లకు సేవలు అందించగలదు.
cattle	పశువులు	నది ఒడ్డున పశువులు మేస్తున్నాయి.
caution	జాగ్రత్త	మంచుతో కూడిన రోడ్లపై జాగ్రత్త వహించండి.
cautious	అప్రమత్తంగా	ఈ వారం పెట్టుబడిదారులు అప్రమత్తంగా ఉన్నారు.
cease	ఆపివేయు	ఫ్యాక్టరీ త్వరలో ఉత్పత్తిని నిలిపివేస్తుంది.
cemetery	స్మశానవాటిక	స్మశానవాటిక సముద్రం వైపు ఉంటుంది.
chamber	గది	ఓటింగ్ సమయంలో గది నిశ్శబ్దంగా ఉంది.
chaos	గందరగోళం	జాప్యం విమానాశ్రయంలో గందరగోళానికి దారితీసింది.
characterize	వర్గీకరించు	నిపుణులు ఈ పథకాన్ని ప్రమాదకరమైనదిగా వర్గీకరిస్తున్నారు.
charm	ఆకర్షణ	నగరానికి పాతకాలపు ఆకర్షణ ఉంది.
charter	చార్టర్	చార్టర్ ప్రాథమిక హక్కులను రక్షిస్తుంది.
chronic	దీర్ఘకాలిక	అతను దీర్ఘకాలిక వెన్నునొప్పితో బాధపడుతున్నాడు.
chunk	ముక్క	జున్ను ఒక ముక్కగా కత్తిరించండి.
circulate	ప్రసారం చేయు	దయచేసి ఈరోజు ఎజెండాను ప్రసారం చేయండి.
circulation	సర్క్యులేషన్	వార్తాపత్రిక సర్క్యులేషన్ బాగా పడిపోయింది.
citizenship	పౌరసత్వం	ఆమె ఫ్రెంచ్ పౌరసత్వం కోసం దరఖాస్తు చేసుకుంది.
civic	పౌర	పౌర నాయకులు సమావేశానికి హాజరయ్యారు.
civilian	పౌరుడు	పౌరుల ఇళ్లు అనేకం దెబ్బతిన్నాయి.
clarity	స్పష్టత	రేఖాచిత్రం నివేదికకు స్పష్టతను జోడించింది.
clash	ఘర్షణ	ర్యాలీ తర్వాత ఘర్షణ ప్రారంభమైంది.
classification	వర్గీకరణ	వర్గీకరణ పరిమాణంపై ఆధారపడి ఉంటుంది.
cling	అంటిపెట్టుకుని ఉండు	తడి బట్టలు చర్మానికి అంటిపెట్టుకుని ఉంటాయి.
clinical	క్లినికల్	క్లినికల్ ట్రయల్ వచ్చే నెలలో ప్రారంభమవుతుంది.
closure	ముగింపు	కేసు తర్వాత కుటుంబం ఒక ముగింపును కోరుకుంది.
cluster	సమూహం	ఇళ్ల సమూహం సమీపంలో ఉంది.
coalition	సంకీర్ణ	సంకీర్ణ ప్రభుత్వం మెజారిటీని కోల్పోయింది.
coastal	తీరప్రాంత	తీరప్రాంత గ్రామాలు వరదలకు సిద్ధమయ్యాయి.
cocktail	కాక్‌టెయిల్	ఆమె ఒక పండ్ల కాక్‌టెయిల్ ఆర్డర్ చేసింది.
cognitive	అభిజ్ఞా	అభ్యాసంతో అభిజ్ఞా నైపుణ్యాలు మెరుగుపడతాయి.
coincide	ఏకీభవించు	పండుగ మరియు గ్రాడ్యుయేషన్ ఒకే సమయంలో జరుగుతాయి.
collaborate	సహకరించు	జట్లు సాఫ్ట్‌వేర్‌పై సహకరిస్తాయి.
collaboration	సహకారం	వారి సహకారం బలమైన ఫలితాలను ఇచ్చింది.
collective	సమిష్టి	ఈ నిర్ణయం ఒక సమిష్టి కృషి.
collision	ఢీకొనడం	ఢీకొనడం వల్ల హైవే మూసుకుపోయింది.
colonial	వలసవాద	ఈ భవనానికి వలసవాద వాస్తుశిల్పం ఉంది.
columnist	కాలమిస్ట్	కాలమిస్ట్ విధానాన్ని విమర్శించారు.
combat	పోరాటం	సైనికులు యుద్ధం కోసం శిక్షణ పొందారు.
commence	ప్రారంభమవుతుంది	వేడుక మధ్యాహ్నం ప్రారంభమవుతుంది.
commentary	వ్యాఖ్యానం	మ్యాచ్ వ్యాఖ్యానం ఉత్సాహంగా ఉంది.
commentator	వ్యాఖ్యాత	వ్యాఖ్యాత నిర్ణయాన్ని వివరించారు.
commerce	వాణిజ్యం	ఆన్‌లైన్ వాణిజ్యం వేగంగా పెరిగింది.
commissioner	కమిషనర్	కమిషనర్ కొత్త నిబంధనలను ప్రకటించారు.
commodity	సరుకు	గోధుమ ఒక ముఖ్యమైన సరుకు.
communist	కమ్యూనిస్ట్	కమ్యూనిస్ట్ పార్టీ సమావేశం నిర్వహించింది.
companion	తోడు	ఆమె కుక్క ఒక నమ్మకమైన తోడు.
comparable	పోల్చదగిన	రెండు నగరాలు పరిమాణంలో పోల్చదగినవి.
compassion	కరుణ	నర్సు ఎంతో కరుణ చూపింది.
compel	బలవంతం చేయడం	ఆధారాలు ప్రతిస్పందనను బలవంతం చేయవచ్చు.
compelling	ఆకట్టుకునే	డాక్యుమెంటరీ ఒక ఆకట్టుకునే వాదనను చేసింది.
compensate	పరిహారం చెల్లించడం	ప్రభావిత కస్టమర్లకు కంపెనీ పరిహారం చెల్లిస్తుంది.
compensation	పరిహారం	కార్మికులు న్యాయమైన పరిహారం డిమాండ్ చేశారు.
competence	సామర్థ్యం	ఈ పరీక్ష వృత్తిపరమైన సామర్థ్యాన్ని కొలుస్తుంది.
competent	సమర్థురాలైన	ఆమె సమర్థురాలైన ఇంజనీర్.
compile	సంకలనం చేయడం	పరిశోధకులు ఆసుపత్రుల నుండి డేటాను సంకలనం చేస్తారు.
complement	పూర్తి చేయడం	వైన్ భోజనానికి పరిపూర్ణతనిస్తుంది.
complexity	సంక్లిష్టత	ప్రాజెక్ట్ ఊహించని సంక్లిష్టతను కలిగి ఉంది.
compliance	పాటించడం	ఆడిట్ చట్టపరమైన సమ్మతిని తనిఖీ చేసింది.
complication	సమస్య	శస్త్రచికిత్సలో ఒక సమస్య వచ్చింది.
comply	పాటించడం	కంపెనీలు నిబంధనలను పాటించాలి.
composition	కూర్పు	ఈ కూర్పులో వయోలిన్ మరియు పియానో ఉన్నాయి.
compromise	రాజీ	రాజీ రెండు పక్షాలను సంతృప్తిపరిచింది.
compute	లెక్కించడం	ప్రోగ్రామ్ మొత్తం లెక్కించగలదు.
conceal	దాచడం	అతను నష్టాన్ని దాచడానికి ప్రయత్నించాడు.
concede	అంగీకరించడం	మంత్రి ఓటమిని అంగీకరించడానికి నిరాకరించారు.
conceive	ఊహించడం	వారు మెరుగైన ప్రణాళికను ఊహించలేకపోయారు.
conception	భావన	ఈ చిత్రం చరిత్ర పట్ల నా భావనను మార్చింది.
concession	రాయితీ	కంపెనీ ఒక రాయితీ ఇచ్చింది.
condemn	ఖండించడం	నాయకులు దాడిని బహిరంగంగా ఖండించారు.
confer	ప్రదానం చేయడం	అవార్డు ప్రతిష్ఠను ఇస్తుంది.
confession	నేరాంగీకారం	అతని నేరాంగీకారం కోర్టును ఆశ్చర్యపరిచింది.
configuration	ఆకృతీకరణ	ఆకృతీకరణ నెట్‌వర్క్ యాక్సెస్‌ను నియంత్రిస్తుంది.
confine	పరిమితం చేయడం	నియమాలు కుక్కలను ఈ ప్రాంతానికి పరిమితం చేస్తాయి.
confirmation	నిర్ధారణ	మాకు ఇమెయిల్ ద్వారా నిర్ధారణ అందింది.
confront	ఎదుర్కోవడం	ఆమె సమస్యను ఎదుర్కోవాలని నిర్ణయించుకుంది.
confrontation	ఘర్షణ	ఘర్షణ హింస లేకుండా ముగిసింది.
congratulate	అభినందించడం	నా సోదరిని అభినందించడానికి నేను ఫోన్ చేశాను.
congregation	సభ	సభ కలిసి పాడింది.
congressional	కాంగ్రెస్	కాంగ్రెస్ విచారణ గంటలపాటు కొనసాగింది.
conquer	జయించడం	ఆ జట్టు మార్కెట్‌ను జయించాలని ఆశిస్తోంది.
conscience	అంతరాత్మ	అతని అంతరాత్మ అబద్ధాలను అనుమతించదు.
consciousness	స్పృహ	ప్రమాదం అతని స్పృహను దెబ్బతీసింది.
consecutive	వరుసగా	ఆమె వరుసగా మూడు మ్యాచ్‌లు గెలిచింది.
consensus	ఏకాభిప్రాయం	కమిటీ త్వరగా ఏకాభిప్రాయానికి వచ్చింది.
consent	అంగీకారం	వ్రాతపూర్వక అంగీకారం అవసరం.
conserve	సంరక్షించడం	కరువు సమయంలో మనం నీటిని సంరక్షిస్తాము.
consistency	స్థిరత్వం	భాషా అధ్యయనంలో స్థిరత్వం ముఖ్యం.
consolidate	ఏకీకృతం చేయడం	కంపెనీ రెండు కార్యాలయాలను ఏకీకృతం చేస్తుంది.
constituency	నియోజకవర్గం	అభ్యర్థి ప్రతి నియోజకవర్గాన్ని సందర్శించారు.
constitute	కలిగి ఉండటం	కమిటీలో సగం మంది మహిళలు ఉన్నారు.
constitution	రాజ్యాంగం	రాజ్యాంగం వాక్ స్వాతంత్ర్యానికి హామీ ఇస్తుంది.
constitutional	రాజ్యాంగబద్ధమైన	కోర్టు రాజ్యాంగ హక్కులను సమీక్షించింది.
constraint	పరిమితి	బడ్జెట్ పరిమితి ప్రాజెక్ట్‌ను పరిమితం చేసింది.
consultation	సంప్రదింపులు	సంప్రదింపులు రెండు వారాల పాటు కొనసాగాయి.
contemplate	ఆలోచించడం	ఆమె ఆఫర్ గురించి ఆలోచించడానికి ఆగింది.
contempt	ధిక్కారం	అతను నిబంధనల పట్ల ధిక్కారాన్ని ప్రదర్శించాడు.
contend	పోటీ పడటం	కాంట్రాక్ట్ కోసం అనేక సంస్థలు పోటీ పడుతున్నాయి.
contender	పోటీదారు	ఆమె బలమైన పోటీదారు.
content2	సంతృప్తిగా	అతను ఫలితంతో సంతృప్తి చెందాడు.
contention	వివాదం	ప్రధాన వివాదం నిధుల గురించి.
continually	నిరంతరం	సిస్టమ్ నిరంతరం లోపాలను తనిఖీ చేస్తుంది.
contractor	కాంట్రాక్టర్	కాంట్రాక్టర్ పైకప్పును బాగుచేశాడు.
contradiction	వైరుధ్యం	అతని ప్రకటనలో వైరుధ్యం ఉంది.
contrary	విరుద్ధమైన	విరుద్ధమైన ఆధారాలు కేసును మార్చాయి.
contributor	సహాయకారి	ఆమె క్రమం తప్పకుండా రచనలు చేస్తుంది.
conversion	మార్పిడి	మార్పిడి డాలర్లను యూరోలుగా మార్చింది.
convict	నేరస్థుడిగా నిర్ధారించడం	జ్యూరీ అనుమానితుడిని దోషిగా నిర్ధారించవచ్చు.
conviction	నేర నిర్ధారణ	అతనిపై నేర నిర్ధారణ ప్రజలను దిగ్భ్రాంతికి గురి చేసింది.
cooperate	సహకరించడం	దయచేసి దర్యాప్తుకు సహకరించండి.
cooperative	సహకార	సిబ్బంది సహకరించారు మరియు ప్రశాంతంగా ఉన్నారు.
coordinate	సమన్వయం చేయడం	వారు ప్రతిరోజూ ఉదయం డెలివరీలను సమన్వయం చేస్తారు.
coordination	సమన్వయం	మంచి సమన్వయం సమయాన్ని ఆదా చేసింది.
coordinator	సమన్వయకర్త	సమన్వయకర్త ప్రతి పనిని అప్పగించారు.
cop	పోలీసు	స్టేషన్ వెలుపల ఒక పోలీసు నిలబడ్డాడు.
copper	రాగి	ఈ పైపు రాగితో తయారు చేయబడింది.
copyright	కాపీరైట్	చిత్రం కాపీరైట్ ద్వారా రక్షించబడింది.
correction	దిద్దుబాటు	ఉపాధ్యాయుడు ఒక సవరణ చేశాడు.
correlate	పరస్పర సంబంధం కలిగి ఉండటం	అధిక ఒత్తిడి అనారోగ్యంతో సంబంధం కలిగి ఉంటుంది.
correlation	సహసంబంధం	అధ్యయనంలో బలమైన సహసంబంధం కనుగొనబడింది.
correspond	సరిపోలడం	ఈ సంఖ్యలు లేబుల్‌లకు సరిపోలుతాయి.
