source_headword	VI	example_VI
awful	tồi tệ; kinh khủng	Thời tiết thật tồi tệ.
background	nền; bối cảnh	Bức tranh có nền tối.
badly	tệ; một cách tệ hại	Hôm nay anh ấy chơi rất tệ.
bar	quán bar	Chúng tôi gặp nhau ở quán bar của khách sạn.
baseball	bóng chày	Bóng chày phổ biến ở đây.
based	dựa trên	Bộ phim dựa trên một cuốn sách.
basketball	bóng rổ	Chúng tôi chơi bóng rổ sau giờ học.
bean	đậu	Hạt đậu này màu xanh.
bear (animal)	con gấu	Một con gấu sống trong rừng.
beat	đánh bại; đập	Đội của chúng tôi có thể đánh bại họ.
beef	thịt bò	Tôi đã ăn thịt bò cho bữa tối.
behave	cư xử	Xin hãy cư xử tốt trong lớp.
behaviour	hành vi; cách cư xử	Cách cư xử của anh ấy rất lịch sự.
belong	thuộc về	Đôi giày này thuộc về tôi.
belt	thắt lưng	Dây thắt lưng của anh ấy màu đen.
benefit	lợi ích; lợi thế	Tập thể dục có lợi ích thật sự.
billion	một tỷ	Một tỷ là một con số rất lớn.
bin	thùng rác	Hãy bỏ giấy vào thùng rác.
biology	sinh học	Sinh học là lớp tôi học tốt nhất.
birth	sự sinh ra; ngày sinh	Cô ấy sinh vào tháng Năm.
biscuit	bánh quy	Cô ấy ăn một chiếc bánh quy.
bit	một chút	Tôi cần thêm một chút thời gian.
blank	chỗ trống; trống	Hãy viết tên bạn vào chỗ trống.
blood	máu	Máu có màu đỏ.
blow	thổi	Gió có thể thổi mạnh.
board	bảng; tấm ván	Hãy viết nó lên bảng.
boil	đun sôi; sôi	Hãy đun sôi nước trước.
bone	xương	Con chó có một khúc xương.
borrow	mượn	Tôi có thể mượn bút của bạn không?
boss	sếp; ông chủ	Sếp của tôi rất thân thiện.
bottom	đáy; phần dưới	Hãy ký ở phần dưới.
bowl	bát; tô	Cái bát đầy rồi.
brain	não	Não của bạn cần nghỉ ngơi.
bridge	cây cầu	Cây cầu đó đã cũ.
bright	sáng; rực rỡ	Căn phòng rất sáng.
brilliant	tuyệt vời; xuất sắc	Ý tưởng đó thật tuyệt vời.
broken	bị hỏng; bị vỡ	Cái ghế bị hỏng.
brush	chải; bàn chải	Hãy đánh răng ngay bây giờ.
burn	đốt; cháy	Đừng làm cháy bánh mì.
businessman	doanh nhân	Doanh nhân đó đến sớm.
button	nút; cúc áo	Hãy nhấn nút màu đỏ.
camp	trại; cắm trại	Chúng tôi cắm trại gần hồ.
camping	cắm trại	Cắm trại rất vui vào mùa hè.
can2	lon; hộp	Hãy mở cái lon cẩn thận.
care	sự chăm sóc; quan tâm	Hãy chăm sóc sức khỏe của bạn.
careful	cẩn thận	Hãy cẩn thận trên cầu thang.
carefully	một cách cẩn thận	Hãy đọc câu hỏi cẩn thận.
carpet	thảm	Tấm thảm mềm.
cartoon	phim hoạt hình; truyện tranh	Phim hoạt hình này buồn cười.
case	hộp; trường hợp	Hãy bỏ nó vào hộp.
cash	tiền mặt	Tôi đã trả bằng tiền mặt.
castle	lâu đài	Lâu đài đó rất cổ.
catch	bắt; chụp	Hãy bắt quả bóng ngay.
cause	nguyên nhân; gây ra	Mưa có thể gây ra vấn đề.
celebrate	ăn mừng; kỷ niệm	Chúng tôi ăn mừng sinh nhật của tôi.
celebrity	người nổi tiếng	Người nổi tiếng đó rất tử tế.
certain	chắc chắn; nhất định	Tôi chắc chắn về điều này.
certainly	chắc chắn; tất nhiên	Tôi chắc chắn sẽ giúp.
chance	cơ hội	Bạn có một cơ hội.
character	nhân vật; tính cách	Nhân vật này rất dũng cảm.
charity	tổ chức từ thiện; lòng từ thiện	Tổ chức từ thiện giúp trẻ em.
chat	trò chuyện	Chúng tôi trò chuyện sau giờ học.
chef	đầu bếp	Đầu bếp đã nấu súp.
chemistry	hóa học	Hóa học khó đối với tôi.
chip	miếng khoai tây chiên; chip	Miếng khoai tây chiên này mặn.
choice	lựa chọn	Lựa chọn này quan trọng.
church	nhà thờ	Nhà thờ ở gần đây.
cigarette	thuốc lá	Thuốc lá có hại cho sức khỏe.
circle	hình tròn; vẽ vòng tròn	Hãy vẽ một hình tròn ở đây.
classical	cổ điển	Tôi thích nhạc cổ điển.
clear	rõ ràng; trong	Câu trả lời rất rõ ràng.
clearly	rõ ràng; rành mạch	Xin hãy nói rõ ràng.
clever	thông minh	Cô ấy là một đứa trẻ thông minh.
climate	khí hậu	Khí hậu đang thay đổi.
close2	gần; gần gũi	Trường của tôi gần nhà.
closed	đóng cửa; bị đóng	Cửa hàng đã đóng cửa.
clothing	quần áo; trang phục	Quần áo ấm rất hữu ích.
cloud	đám mây	Một đám mây che mặt trời.
coach	huấn luyện viên; huấn luyện	Huấn luyện viên đã giúp đội.
coast	bờ biển	Chúng tôi lái xe dọc theo bờ biển.
code	mã; mật mã	Hãy nhập mã ở đây.
colleague	đồng nghiệp	Đồng nghiệp của tôi đã gọi tôi.
collect	sưu tầm; thu thập	Tôi sưu tầm những tấm thẻ cũ.
column	cột	Hãy đọc cột đầu tiên.
comedy	hài kịch; phim hài	Bộ phim hài này buồn cười.
comfortable	thoải mái	Cái ghế này thoải mái.
comment	bình luận	Hãy để lại bình luận bên dưới.
communicate	giao tiếp	Chúng tôi giao tiếp bằng email.
community	cộng đồng	Cộng đồng của chúng tôi thân thiện.
compete	thi đấu; cạnh tranh	Họ thi đấu mỗi năm.
competition	cuộc thi; sự cạnh tranh	Cuộc thi bắt đầu vào ngày mai.
complain	phàn nàn	Đừng phàn nàn nữa.
completely	hoàn toàn	Tôi hoàn toàn đồng ý với bạn.
condition	tình trạng; điều kiện	Chiếc xe ở trong tình trạng tốt.
conference	hội nghị	Hội nghị bắt đầu lúc chín giờ.
connect	kết nối	Hãy kết nối điện thoại với máy tính.
connected	được kết nối; có liên quan	Hai ý tưởng có liên quan với nhau.
consider	cân nhắc	Xin hãy cân nhắc ý tưởng của tôi.
contain	chứa; bao gồm	Hộp này chứa sách.
context	ngữ cảnh; bối cảnh	Ngữ cảnh giúp bạn hiểu.
continent	châu lục	Một châu lục rất lớn.
continue	tiếp tục	Xin hãy tiếp tục đọc.
control	kiểm soát; điều khiển	Hãy điều khiển tốc độ cẩn thận.
cooker	bếp nấu; bếp	Chiếc bếp sạch sẽ.
copy	bản sao; sao chép	Hãy làm một bản sao cho tôi.
corner	góc	Hãy ngồi ở góc phòng.
correctly	đúng cách; chính xác	Hãy viết câu trả lời cho đúng.
count	đếm; số lượng	Hãy đếm những cuốn sách.
couple	cặp đôi; đôi	Đôi vợ chồng đến sớm.
cover	che; phủ; bìa	Hãy đậy cái bát lại.
crazy	điên rồ; kỳ quặc	Ý tưởng này nghe thật điên rồ.
creative	sáng tạo	Cô ấy có một ý tưởng sáng tạo.
credit	tín dụng; công lao	Tôi đã trả bằng thẻ tín dụng.
crime	tội phạm	Tội phạm là một vấn đề nghiêm trọng.
criminal	tội phạm; thuộc tội phạm	Tên tội phạm bỏ đi nhanh chóng.
cross	băng qua; dấu thập	Hãy băng qua đường cẩn thận.
crowd	đám đông	Đám đông chờ bên ngoài.
crowded	đông đúc	Chuyến tàu rất đông đúc.
cry	khóc; tiếng khóc	Đừng khóc bây giờ.
cupboard	tủ chén; tủ đựng đồ	Những chiếc cốc ở trong tủ chén.
curly	xoăn	Cô ấy có mái tóc xoăn.
cycle	đi xe đạp; chu kỳ	Tôi đi xe đạp đến trường.
daily	hằng ngày	Tôi đọc tin tức hằng ngày.
danger	nguy hiểm	Biển báo cho thấy nguy hiểm.
data	dữ liệu	Dữ liệu này hữu ích.
dead	chết	Cái cây đã chết.
deal	thỏa thuận; giao dịch	Đây là một thỏa thuận tốt.
death	cái chết	Cái chết là một chủ đề khó.
decision	quyết định	Hãy đưa ra quyết định hôm nay.
deep	sâu	Nước rất sâu.
definitely	chắc chắn	Tôi chắc chắn muốn uống trà.
degree	bằng cấp; độ	Bằng cấp của tôi là về lịch sử.
dentist	nha sĩ	Nha sĩ đã kiểm tra răng của tôi.
department	bộ phận; khoa; quầy hàng	Quầy giày ở tầng trên.
depend	phụ thuộc	Điều đó phụ thuộc vào thời tiết.
desert	sa mạc; bỏ rơi	Sa mạc rất khô.
designer	nhà thiết kế	Nhà thiết kế đã làm chiếc váy này.
destroy	phá hủy; làm hỏng	Đừng làm hỏng tập tin đó.
detective	thám tử; điều tra viên	Thám tử đã tìm thấy chìa khóa.
develop	phát triển; xây dựng	Họ phát triển một ứng dụng mới.
device	thiết bị	Thiết bị này hữu ích.
diary	nhật ký	Cô ấy viết trong nhật ký của mình.
differently	khác đi	Chúng tôi làm việc đó theo cách khác.
digital	kỹ thuật số	Đây là một máy ảnh kỹ thuật số.
direct	trực tiếp; thẳng	Hãy đi chuyến tàu thẳng.
direction	hướng	Hãy đi theo hướng này.
director	đạo diễn; giám đốc	Đạo diễn thích bộ phim đó.
disagree	không đồng ý	Tôi không đồng ý với ý tưởng đó.
disappear	biến mất	Mặt trời sẽ sớm biến mất.
disaster	thảm họa; tai họa	Cơn bão là một thảm họa.
discover	khám phá; phát hiện	Họ phát hiện một hòn đảo mới.
discovery	phát hiện; sự khám phá	Phát hiện đó đã thay đổi khoa học.
discussion	cuộc thảo luận	Cuộc thảo luận kết thúc sớm.
disease	bệnh; bệnh tật	Căn bệnh này nghiêm trọng.
distance	khoảng cách	Khoảng cách rất ngắn.
divorced	đã ly hôn	Bố mẹ cô ấy đã ly hôn.
document	tài liệu; ghi lại	Hãy lưu tài liệu này ngay.
double	đôi; gấp đôi	Tôi cần một phòng đôi.
download	tải xuống; bản tải xuống	Hãy tải ứng dụng hôm nay.
drama	kịch; phim truyền hình	Vở kịch bắt đầu tối nay.
drawing	bức vẽ	Bức vẽ của cô ấy đẹp.
dream	giấc mơ; mơ	Tôi đã có một giấc mơ lạ.
driving	việc lái xe; lái xe	Lái xe ban đêm rất khó.
drop	làm rơi; giọt	Đừng làm rơi cái ly.
drug	thuốc; ma túy	Loại thuốc đó đã giúp anh ấy.
dry	khô; làm khô	Chiếc khăn đã khô.
earn	kiếm được	Tôi kiếm tiền ở nơi làm việc.
earth	trái đất; đất	Trái đất hình tròn.
easily	dễ dàng	Cô ấy học rất dễ dàng.
education	giáo dục	Giáo dục rất quan trọng.
effect	ảnh hưởng; hiệu quả	Ảnh hưởng đó rất rõ.
either	một trong hai; cũng không	Câu trả lời nào cũng được.
electric	điện; chạy bằng điện	Chiếc xe này là xe điện.
electrical	thuộc về điện	Hệ thống điện an toàn.
electricity	điện	Điện ở đây đắt.
electronic	điện tử	Vé điện tử này hoạt động.
employ	thuê; tuyển dụng	Họ thuê năm người.
employee	nhân viên	Người nhân viên làm việc chăm chỉ.
employer	chủ lao động; người tuyển dụng	Chủ lao động của tôi rất công bằng.
empty	trống; làm rỗng	Căn phòng trống.
ending	kết thúc; đoạn kết	Cái kết thật bất ngờ.
energy	năng lượng	Hôm nay tôi không có năng lượng.
engine	động cơ	Động cơ rất ồn.
engineer	kỹ sư	Kỹ sư đã sửa cây cầu.
enormous	khổng lồ	Tòa nhà đó khổng lồ.
enter	vào; nhập	Hãy vào phòng một cách yên lặng.
environment	môi trường	Hãy bảo vệ môi trường.
equipment	thiết bị; dụng cụ	Thiết bị này đắt.
error	lỗi	Tôi đã tìm thấy một lỗi.
especially	đặc biệt là	Tôi đặc biệt thích bài hát này.
essay	bài luận	Hãy viết một bài luận tối nay.
everyday	hằng ngày; thường ngày	Đây là tiếng Anh hằng ngày.
everywhere	khắp nơi	Hoa mọc khắp nơi.
evidence	bằng chứng	Bằng chứng rất rõ ràng.
exact	chính xác	Hãy đưa ra con số chính xác.
exactly	chính xác	Điều đó chính xác đúng.
excellent	xuất sắc	Công việc của bạn xuất sắc.
except	ngoại trừ	Mọi người đều đến ngoại trừ tôi.
exist	tồn tại	Địa chỉ này có tồn tại không?
expect	mong đợi; dự đoán	Tôi dự đoán ngày mai sẽ mưa.
experience	kinh nghiệm; trải nghiệm	Tôi có kinh nghiệm với trẻ em.
experiment	thí nghiệm	Thí nghiệm đã thành công.
expert	chuyên gia	Hãy hỏi chuyên gia để được giúp.
explanation	lời giải thích	Lời giải thích của cô ấy rõ ràng.
express	bày tỏ; diễn đạt	Xin hãy bày tỏ ý kiến của bạn.
expression	cách diễn đạt; biểu cảm	Cách diễn đạt này phổ biến.
extreme	cực độ; cực đoan	Cái nóng rất cực độ.
extremely	cực kỳ	Trời cực kỳ lạnh.
factor	yếu tố	Chi phí là một yếu tố.
factory	nhà máy	Nhà máy đóng cửa lúc năm giờ.
fail	thất bại; trượt	Tôi đã không thất bại.
fair	công bằng; hợp lý	Giá này hợp lý.
fan	quạt; người hâm mộ	Hãy bật quạt lên.
farming	nông nghiệp; nghề nông	Nghề nông là công việc vất vả.
fashion	thời trang	Thời trang thay đổi mỗi năm.
fear	nỗi sợ; sợ hãi	Nỗi sợ có thể ngăn con người lại.
feature	tính năng; đặc điểm	Điện thoại này có một tính năng hữu ích.
feed	cho ăn; nuôi	Hãy cho con mèo ăn ngay.
female	nữ; giống cái	Vận động viên nữ đã thắng.
fiction	tiểu thuyết; hư cấu	Cô ấy đọc tiểu thuyết vào ban đêm.
field	cánh đồng; lĩnh vực	Cánh đồng màu xanh.
fight	đánh nhau; cãi nhau	Họ cãi nhau quá nhiều.
figure	hình; con số; nhân vật	Hãy nhìn vào hình đó.
finally	cuối cùng	Cuối cùng chúng tôi đã về đến nhà.
finger	ngón tay	Ngón tay của tôi đau.
firstly	trước hết; thứ nhất	Trước hết, hãy đọc câu hỏi.
fishing	câu cá	Câu cá phổ biến ở đây.
fit	vừa; phù hợp; khỏe mạnh	Đôi giày này vừa vặn.
fix	sửa; sửa chữa	Hãy sửa cái ghế bị hỏng.
flu	cúm	Tôi bị cúm.
flying	việc bay; bay	Việc bay rất nhanh.
focus	tập trung; trọng tâm	Hãy tập trung vào nhiệm vụ này.
following	sau đây; tiếp theo	Hãy đọc câu sau đây.
foreign	nước ngoài; ngoại quốc	Cô ấy nói một ngoại ngữ.
forest	rừng	Khu rừng rất yên tĩnh.
fork	nĩa	Hãy dùng một cái nĩa.
formal	trang trọng	Lá thư này rất trang trọng.
fortunately	may mắn thay	May mắn thay, không ai bị thương.
forward	về phía trước	Hãy di chuyển chậm về phía trước.
fresh	tươi; mới	Bánh mì còn tươi.
