source_headword	PT	example_PT
lately	ultimamente	Tenho dormido mal ultimamente.
leaflet	o folheto	O folheto explica o serviço.
legend	a lenda	A lenda fala de uma cidade escondida.
lens	a lente	Limpa a lente da câmara com cuidado.
lifetime	a vida toda	Ele poupou dinheiro a vida toda.
lighting	a iluminação	Uma boa iluminação melhora a sala.
likewise	da mesma forma	Ela sorriu; ele fez da mesma forma.
limitation	a limitação	O plano tem uma limitação.
literally	literalmente	Ela correu literalmente para o autocarro.
literary	literário	O festival homenageia o trabalho literário.
litre	o litro	Compra um litro de leite.
litter	o lixo	Não deixes cair lixo.
logo	o logótipo	O logótipo aparece em todas as páginas.
lottery	a lotaria	Ele ganhou um pequeno prémio de lotaria.
loyal	leal	O cão era leal ao seu dono.
lyric	a letra	A letra repetia a ideia principal.
magnificent	magnífico	O palácio parecia magnífico.
make-up	a maquilhagem	Ela usava uma maquilhagem simples.
making	a realização	A realização do filme foi difícil.
manufacture	fabricar	A fábrica vai fabricar telemóveis.
manufacturing	a manufatura	Os empregos na manufatura aumentaram localmente.
marathon	a maratona	Ela terminou a maratona.
margin	a margem	Escreve notas na margem.
marker	o marcador	Usa um marcador para o rótulo.
martial	marcial	Ele estuda artes marciais.
mate	o companheiro	O meu antigo companheiro de escola ligou ontem.
mayor	o presidente da câmara	O presidente da câmara abriu a biblioteca.
mechanic	o mecânico	O mecânico reparou o autocarro.
mechanical	mecânico	O relógio tem uma falha mecânica.
mechanism	o mecanismo	O mecanismo da fechadura é simples.
medal	a medalha	Ela ganhou uma medalha de ouro.
medication	a medicação	Toma a medicação com água.
membership	a adesão	A adesão ao ginásio custa menos online.
memorable	memorável	A viagem foi memorável.
metaphor	a metáfora	O poema usa uma metáfora forte.
miner	o mineiro	O mineiro trabalhou debaixo da terra.
miserable	miserável	A chuva tornou o piquenique miserável.
mode	o modo	Muda a câmara para o modo noturno.
modest	modesto	Eles vivem numa casa modesta.
monster	o monstro	A história tem um monstro assustador.
monthly	mensal	Nós pagamos a renda mensalmente.
monument	o monumento	O monumento fica perto do rio.
moreover	além disso	Além disso, o plano poupa dinheiro.
mortgage	a hipoteca	Eles pediram uma hipoteca.
mosque	a mesquita	A mesquita fica perto do mercado.
motion	o movimento	O sensor deteta o movimento.
motivate	motivar	O elogio pode motivar os alunos.
motivation	a motivação	A motivação dela manteve-se forte.
moving	comovente	O discurso foi comovente.
myth	o mito	O mito explica o nome da montanha.
naked	nu	O bebé estava nu depois do banho.
nasty	desagradável	O corte parecia desagradável.
navigation	a navegação	A aplicação melhora a navegação.
nearby	próximo	Um café próximo abre cedo.
necessity	a necessidade	Água limpa é uma necessidade.
negotiate	negociar	Eles negoceiam o contrato amanhã.
negotiation	a negociação	A negociação durou toda a manhã.
neutral	neutro	O juiz manteve-se neutro.
newly	recentemente	A porta recentemente pintada parecia brilhante.
norm	a norma	O trabalho remoto tornou-se a norma.
notebook	o caderno	Escreve notas no teu caderno.
novelist	o romancista	O romancista assinou o seu livro.
nowadays	hoje em dia	Hoje em dia, muitas pessoas trabalham online.
nursing	a enfermagem	Ela está a estudar enfermagem.
nutrition	a nutrição	Uma boa nutrição apoia a saúde.
obesity	a obesidade	A obesidade aumenta os riscos para a saúde.
observer	o observador	O observador registou os resultados.
obstacle	o obstáculo	A árvore caída era um obstáculo.
occupation	a profissão	Por favor, escreva a sua profissão aqui.
occupy	ocupar	A família vai ocupar o apartamento.
offender	o infrator	O infrator pediu desculpa em tribunal.
ongoing	em curso	A investigação está em curso.
openly	abertamente	Ela falou abertamente sobre os seus medos.
opera	a ópera	Nós vimos uma ópera em Milão.
operator	o operador	O operador ligou a chamada.
optimistic	otimista	Ela sente-se otimista em relação ao futuro.
orchestra	a orquestra	A orquestra tocou suavemente.
organic	biológico	Eles compraram vegetais biológicos.
outfit	a roupa	A sua roupa combinava com a ocasião.
output	a produção	A produção da máquina aumentou.
outstanding	excecional	O desempenho dele foi excecional.
overcome	superar	Eles superam problemas juntos.
overnight	da noite para o dia	A encomenda chegou da noite para o dia.
overseas	no estrangeiro	Ele encontrou trabalho no estrangeiro.
ownership	a propriedade	A propriedade da terra mudou.
oxygen	o oxigénio	As plantas produzem oxigénio.
packet	o pacote	Abre o pacote com cuidado.
palm	a palma	Segura a moeda na palma da mão.
panic	o pânico	O pânico espalhou-se pela multidão.
parade	o desfile	O desfile começou ao meio-dia.
parallel	paralelo	As estradas correm paralelas.
participation	a participação	A participação nas aulas melhorou.
partnership	a parceria	A parceria ajudou ambas as empresas.
part-time	a tempo parcial	Ela encontrou um trabalho a tempo parcial.
passionate	apaixonado	Ele é apaixonado por música.
password	a palavra-passe	Escolhe uma palavra-passe forte.
patience	a paciência	Ensinar crianças pequenas requer paciência.
pause	pausar	Pausa o vídeo agora.
peer	o colega	A pressão dos colegas influenciou a sua escolha.
penalty	a penalidade	O jogador recebeu uma penalidade.
perceive	perceber	As pessoas percebem o risco de maneira diferente.
perception	a perceção	A sua perceção de perigo mudou.
permanently	permanentemente	A loja fechou permanentemente.
pill	o comprimido	Toma um comprimido depois do pequeno-almoço.
pity	a pena	É uma pena.
placement	a colocação	A colocação do sofá importa.
portion	a porção	Serve uma pequena porção de arroz.
potentially	potencialmente	Esta mudança é potencialmente útil.
precede	preceder	Nuvens escuras muitas vezes precedem a chuva.
precious	precioso	O anel é precioso.
precise	preciso	As instruções foram precisas.
precisely	precisamente	Mede a distância precisamente.
predictable	previsível	O final era previsível.
preference	a preferência	Ela expressou uma preferência por chá.
pride	o orgulho	Ele sentiu orgulho depois de terminar.
primarily	principalmente	O curso é principalmente online.
principal	o diretor	O diretor saudou os novos alunos.
prior	prévio	Precisamos de aprovação prévia.
probability	a probabilidade	A probabilidade de chuva é alta.
probable	provável	A chuva é provável esta noite.
proceed	prosseguir	Por favor, prossegue para a próxima sala.
programming	a programação	A programação requer prática.
progressive	progressista	A política era progressista para a sua época.
prohibit	proibir	As regras proíbem fumar.
promising	promissor	Os resultados parecem promissores.
promotion	a promoção	Ela conseguiu uma promoção no trabalho.
prompt	rápido	A resposta rápida poupou tempo.
proportion	a proporção	Uma grande proporção votou sim.
protein	a proteína	Os feijões contêm proteína.
protester	o manifestante	O manifestante segurava um cartaz.
psychological	psicológico	O acidente causou stress psicológico.
publicity	a publicidade	O evento recebeu publicidade.
publishing	a edição	Ela trabalha na edição.
punk	o punk	A música punk tornou-se popular lá.
purely	puramente	A escolha foi puramente prática.
pursuit	a busca	Ele continuou a sua busca por justiça.
puzzle	o puzzle	O puzzle demorou uma hora.
questionnaire	o questionário	Por favor, preenche o questionário.
racial	racial	O relatório discutiu a desigualdade racial.
racism	o racismo	O racismo prejudica as comunidades.
racist	racista	O comentário foi racista.
radiation	a radiação	A radiação pode danificar as células.
rail	o corrimão	Segura no corrimão nas escadas.
random	aleatório	O computador escolheu um número aleatório.
rat	o rato	Um rato correu atrás dos caixotes.
rating	a classificação	O hotel tem uma classificação alta.
reasonably	razoavelmente	O quarto estava razoavelmente limpo.
rebuild	reconstruir	Eles vão reconstruir a ponte.
receiver	o recetor	O recetor apanhou a bola.
recession	a recessão	A recessão reduziu os gastos.
reckon	achar	Eu acho que o comboio está atrasado.
recognition	o reconhecimento	Ela recebeu reconhecimento pelo seu trabalho.
recovery	a recuperação	A recuperação demorou várias semanas.
recruit	recrutar	A empresa vai recrutar engenheiros.
recruitment	o recrutamento	O recrutamento começa na próxima segunda-feira.
referee	o árbitro	O árbitro parou o jogo.
refugee	o refugiado	O refugiado encontrou uma casa segura.
registration	o registo	O registo fecha na sexta-feira.
regulate	regular	A lei vai regular as emissões.
reinforce	reforçar	Vigas extra reforçam o telhado.
relieve	aliviar	O medicamento pode aliviar a dor.
relieved	aliviado	Ela sentiu-se aliviada após a chamada.
remarkable	notável	A recuperação foi notável.
remarkably	notavelmente	Ele recuperou notavelmente rápido.
reporting	a reportagem	Reportagem precisa é importante.
resign	demitir-se	O gestor vai demitir-se amanhã.
resolution	a resolução	O ecrã tem alta resolução.
restore	restaurar	Os trabalhadores restauram a pintura antiga.
restrict	restringir	As regras restringem o estacionamento.
restriction	a restrição	A restrição termina amanhã.
retail	o retalho	As vendas a retalho aumentaram.
retirement	a reforma	Ela planeou a sua reforma com cuidado.
revenue	a receita	A receita dos bilhetes pagou as reparações.
revision	a revisão	A revisão ajudou antes do exame.
ridiculous	ridículo	O preço era ridículo.
risky	arriscado	O plano parecia arriscado.
rival	o rival	O nosso rival abriu uma nova loja.
rob	roubar	Os homens tentaram roubar o banco.
robbery	o roubo	O roubo aconteceu à noite.
rocket	o foguetão	O foguetão foi lançado com sucesso.
romance	o romance	O romance inclui uma história de amor.
rose	a rosa	Uma rosa vermelha cresceu perto da cerca.
roughly	aproximadamente	Aproximadamente vinte pessoas compareceram.
ruin	arruinar	A chuva pode arruinar o piquenique.
satisfaction	a satisfação	A satisfação do cliente melhorou.
scandal	o escândalo	O escândalo prejudicou a carreira dele.
scare	o susto	O barulho alto deu-me um susto.
scenario	o cenário	O pior cenário é improvável.
scholar	o estudioso	O estudioso estudou textos antigos.
scholarship	a bolsa de estudo	Ela ganhou uma bolsa de estudo.
scratch	o arranhão	O gato deixou um arranhão.
screening	o rastreio	O hospital oferece rastreio de cancro.
seeker	o candidato	O candidato a emprego enviou candidaturas.
seminar	o seminário	O seminário começa às nove.
settler	o colono	O colono construiu uma pequena fazenda.
severely	severamente	A tempestade danificou severamente as estradas.
sexy	sexy	O vestido foi considerado sexy.
shocking	chocante	A notícia foi chocante.
shore	a costa	Caminhámos ao longo da costa.
shortage	a escassez	A cidade enfrentou uma escassez de água.
shortly	em breve	O autocarro chegou logo após o meio-dia.
short-term	a curto prazo	O plano tem benefícios a curto prazo.
sibling	o irmão	Cada irmão recebeu um presente.
signature	a assinatura	Por favor, adicione a sua assinatura.
significance	o significado	A descoberta tem um grande significado.
skilled	qualificado	Trabalhadores qualificados repararam o telhado.
slogan	o slogan	A campanha usou um slogan simples.
so-called	o chamado	O chamado especialista cometeu erros.
somehow	de alguma forma	De alguma forma, as chaves desapareceram.
sometime	um dia	Visite-nos um dia na próxima semana.
sophisticated	sofisticato	O software é sofisticato.
spare	suplente	Nós guardamos uma chave suplente.
specialize	especializar	Os médicos especializam-se em diferentes áreas.
specify	especificar	Por favor, especifique a sua hora de chegada.
spectacular	espetacular	O fogo de artifício foi espetacular.
spectator	o espetador	Cada espetador recebeu um programa.
speculate	especular	Os especialistas especulam sobre a causa.
speculation	a especulação	O artigo encorajou a especulação.
spice	a especiaria	Adiciona uma especiaria de cada vez.
spill	derramar	Não derrames o sumo.
spite	a raiva	Ele teve sucesso apesar dos problemas.
spoil	estragar	Demasiado sal pode estragar a sopa.
spokesman	o porta-voz	O porta-voz respondeu às perguntas.
spokesperson	o porta-voz	O porta-voz leu um comunicado.
spokeswoman	a porta-voz	A porta-voz falou com a imprensa.
sponsorship	o patrocínio	A equipa precisa de patrocínio.
sporting	desportivo	A cidade acolhe eventos desportivos.
stall	a banca	A banca do mercado vende fruta.
stance	a postura	O ministro mudou a sua postura.
starve	morrer de fome	Sem comida, os animais podem morrer de fome.
steadily	de forma constante	A empresa cresceu de forma constante.
steam	o vapor	O vapor subiu da sopa.
stimulate	estimular	Cores brilhantes podem estimular o interesse.
