source_headword	IT	example_IT
allege	sostenere	Sostengono che i fondi sono andati persi.
allegedly	presumibilmente	L'autista avrebbe presumibilmente ignorato l'avvertimento.
alliance	l'alleanza	I partiti hanno formato un'alleanza temporanea.
allocate	stanziare	La città stanzierà fondi per le scuole.
allocation	l'assegnazione	L'assegnazione dei posti è stata ingiusta.
allowance	la paghetta	La sua paghetta copre il pranzo e i trasporti.
ally	l'alleato	Il Canada è diventato uno stretto alleato.
aluminium	l'alluminio	Il telaio è fatto di alluminio.
amateur	amatoriale	Un fotografo amatoriale ha scattato la foto.
ambassador	l'ambasciatore	L'ambasciatore ha incontrato gli studenti locali.
amend	emendare	Il parlamento ha votato per emendare la legge.
amendment	l'emendamento	L'emendamento ha cambiato un paragrafo.
amid	in mezzo a	Il discorso è arrivato in mezzo a una tensione crescente.
analogy	l'analogia	L'insegnante ha usato una semplice analogia.
anchor	l'ancora	La barca ha gettato l'ancora vicino all'isola.
angel	l'angelo	Il bambino indossava un costume da angelo.
anonymous	anonimo	Il reclamo era anonimo.
apparatus	l'apparecchio	L'apparecchio del laboratorio ha bisogno di essere pulito.
appealing	attraente	L'offerta sembra attraente per gli studenti.
appetite	l'appetito	L'esercizio fisico ha aumentato il suo appetito.
applaud	applaudire	Il pubblico ha iniziato ad applaudire rumorosamente.
applicable	applicabile	Lo sconto è applicabile oggi.
appoint	nominare	Il consiglio nominerà un direttore.
appreciation	l'apprezzamento	Ha espresso il suo apprezzamento per il loro aiuto.
arbitrary	arbitrario	La scadenza è sembrata arbitraria al personale.
architectural	architettonico	La città protegge il suo patrimonio architettonico.
archive	l'archivio	L'archivio conserva vecchie fotografie.
arena	l'arena	Il dibattito si è spostato nell'arena pubblica.
arguably	probabilmente	Questo è probabilmente il suo miglior romanzo.
arm	armare	Le guardie armeranno il convoglio.
array	la gamma	Il negozio offre una gamma di strumenti.
articulate	articolare	Può articolare idee complesse chiaramente.
ash	la cenere	La cenere ha coperto l'auto dopo l'incendio.
aspiration	l'aspirazione	La sua aspirazione è diventare un chirurgo.
aspire	aspirare	Molti studenti aspirano a studiare all'estero.
assassination	l'assassinio	L'assassinio ha cambiato la politica del paese.
assault	l'aggressione	L'aggressione è avvenuta vicino alla stazione.
assemble	assemblare	Gli operai assemblano i mobili a mano.
assembly	l'assemblea	L'assemblea scolastica inizia alle nove.
assert	far valere	Ha cercato di far valere la sua autorità.
assertion	l'affermazione	La sua affermazione ha sorpreso la commissione.
assurance	l'assicurazione	Il manager ha dato assicurazione di supporto.
asylum	l'asilo	La famiglia ha richiesto asilo al confine.
atrocity	l'atrocità	Il film ha descritto un'atrocità in tempo di guerra.
attain	raggiungere	Pochi corridori raggiungono quella velocità.
attendance	la presenza	La presenza è migliorata dopo l'annuncio.
attorney	l'avvocato	L'avvocato ha interrogato il testimone.
attribute	attribuire	Gli scienziati attribuiscono l'aumento all'inquinamento.
audit	l'audit	L'audit ha riscontrato diversi errori.
authentic	autentico	Il ristorante serve cibo regionale autentico.
authorize	autorizzare	Solo i manager possono autorizzare i rimborsi.
auto	l'auto	L'industria dell'auto è cambiata rapidamente.
autonomy	l'autonomia	La regione vuole maggiore autonomia.
availability	la disponibilità	La disponibilità di posti è limitata.
await	attendere	Diversi messaggi attendono una tua risposta.
backdrop	lo sfondo	Le montagne formavano uno sfondo spettacolare.
backing	l'appoggio	La proposta ha ottenuto l'appoggio degli elettori.
backup	il backup	Il sistema crea un backup ogni giorno.
bail	la cauzione	Il giudice ha fissato la cauzione a mezzogiorno.
ballot	la scheda elettorale	Ogni elettore ha ricevuto una scheda elettorale.
banner	lo striscione	Lo striscione era appeso sopra l'ingresso.
bare	spoglio	La stanza aveva le pareti spoglie.
barrel	il barile	Il barile era pieno d'acqua.
bass1	il basso	Il basso suonava profondo e caldo.
battlefield	il campo di battaglia	Il vecchio campo di battaglia è diventato un memoriale.
bay	la baia	Il villaggio si trova accanto a una baia tranquilla.
beam	la trave	Una trave di acciaio sostiene il tetto.
beast	la bestia	La storia descrive una bestia feroce.
behalf	il conto	Ha parlato a nome della sua squadra.
beloved	amato	L'amato insegnante è andato in pensione oggi.
bench	la panchina	Si sono seduti su una panchina di legno.
benchmark	il punto di riferimento	Il test è diventato un punto di riferimento per il settore.
beneath	sotto	I documenti erano sotto la cartella.
beneficiary	il beneficiario	Suo figlio era il beneficiario principale.
betray	tradire	Non tradire la fiducia del tuo amico.
bind	vincolare	L'accordo vincolerà entrambe le società.
biography	la biografia	La sua biografia ha venduto molte copie.
bishop	il vescovo	Il vescovo ha visitato la chiesa del villaggio.
bizarre	bizzarro	Il film ha avuto un finale bizzarro.
blade	la lama	La lama ha tagliato la corda.
blast	l'esplosione	L'esplosione ha rotto le finestre vicine.
bleed	sanguinare	Il taglio ha iniziato a sanguinare molto.
blend	mescolare	Mescola la salsa fino a renderla liscia.
bless	benedire	Il prete benedirà la casa.
blessing	la benedizione	Avere supporto è stata una benedizione.
boast	vantarsi	Gli piace vantarsi dei soldi.
bonus	il bonus	I dipendenti hanno ricevuto un bonus festivo.
boom	il boom	La città ha vissuto un boom edilizio.
bounce	rimbalzare	La palla può rimbalzare molto in alto.
boundary	il confine	Il fiume segna il confine.
bow1	inchinarsi	L'attore ha fatto un profondo inchino.
breach	la violazione	La violazione ha esposto dati privati.
breakdown	la scomposizione	Il rapporto include una ripartizione dei costi.
breakthrough	la svolta	La scoperta è stata una svolta importante.
breed	riprodursi	Questi uccelli si riproducono in primavera.
broadband	la banda larga	L'ufficio ha bisogno di una banda larga più veloce.
browser	il browser	Aggiorna il browser prima di accedere.
brutal	brutale	L'attacco è stato brutale e improvviso.
buck	il dollaro	Il biglietto costa dieci dollari.
buddy	l'amico	Il suo amico aspettava fuori.
buffer	il tampone	Gli alberi creano un tampone acustico.
bulk	la massa	Hanno comprato il riso all'ingrosso.
burden	il fardello	Il debito è diventato un pesante fardello.
bureaucracy	la burocrazia	La burocrazia ha ritardato il permesso.
burial	la sepoltura	La sepoltura ha avuto luogo all'alba.
burst	scoppiare	Il tubo potrebbe scoppiare sotto pressione.
cabinet	il gabinetto	Il gabinetto ha approvato il piano.
calculation	il calcolo	Il calcolo ha richiesto diversi minuti.
canvas	la tela	L'artista ha dipinto su una grande tela.
capability	la capacità	Il dispositivo ha capacità wireless.
capitalism	il capitalismo	Il capitalismo ha plasmato l'economia moderna.
capitalist	capitalista	Il sistema capitalista premia gli investimenti privati.
cargo	il carico	La nave trasportava un carico medico.
carriage	la carrozza	La carrozza del treno era quasi vuota.
carve	intagliare	Intaglierà il legno con attenzione.
casino	il casinò	Il casinò ha aperto vicino all'hotel.
casualty	la vittima	L'incidente ha causato una vittima.
catalogue	il catalogo	Il catalogo elenca ogni prodotto.
cater	servire	Il ristorante può servire grandi eventi.
cattle	il bestiame	Il bestiame pascolava vicino al fiume.
caution	la prudenza	Usa prudenza sulle strade ghiacciate.
cautious	cauto	Gli investitori rimangono cauti questa settimana.
cease	cessare	La fabbrica cesserà presto la produzione.
cemetery	il cimitero	Il cimitero si affaccia sul mare.
chamber	l'aula	L'aula era in silenzio durante le votazioni.
chaos	il caos	Il ritardo ha causato il caos all'aeroporto.
characterize	caratterizzare	Gli esperti caratterizzano il piano come rischioso.
charm	il fascino	La città ha un fascino antico.
charter	la carta	La carta protegge i diritti fondamentali.
chronic	cronico	Soffre di mal di schiena cronico.
chunk	il pezzo	Taglia il formaggio in un pezzo.
circulate	far circolare	Si prega di far circolare l'ordine del giorno oggi.
circulation	la tiratura	La tiratura del giornale è diminuita drasticamente.
citizenship	la cittadinanza	Ha richiesto la cittadinanza francese.
civic	civico	I leader civici hanno partecipato alla riunione.
civilian	il civile	Diverse case di civili sono state danneggiate.
clarity	la chiarezza	Il diagramma ha aggiunto chiarezza al rapporto.
clash	lo scontro	Lo scontro è iniziato dopo la marcia.
classification	la classificazione	La classificazione dipende dalle dimensioni.
cling	aderire	I vestiti bagnati aderiscono alla pelle.
clinical	clinico	Lo studio clinico inizia il mese prossimo.
closure	la chiusura	La famiglia voleva una chiusura dopo il caso.
cluster	il gruppo	Un gruppo di case si trovava nelle vicinanze.
coalition	la coalizione	La coalizione ha perso la sua maggioranza.
coastal	costiero	I villaggi costieri si sono preparati alle inondazioni.
cocktail	il cocktail	Ha ordinato un cocktail di frutta.
cognitive	cognitivo	Le abilità cognitive migliorano con la pratica.
coincide	coincidere	Il festival coinciderà con la laurea.
collaborate	collaborare	I team collaborano sul software.
collaboration	la collaborazione	La loro collaborazione ha prodotto ottimi risultati.
collective	collettivo	La decisione è stata uno sforzo collettivo.
collision	la collisione	La collisione ha bloccato l'autostrada.
colonial	coloniale	L'edificio ha un'architettura coloniale.
columnist	l'opinionista	L'opinionista ha criticato la politica.
combat	il combattimento	I soldati si sono addestrati per il combattimento.
commence	cominciare	La cerimonia comincerà a mezzogiorno.
commentary	il commento	Il commento della partita è stato vivace.
commentator	il commentatore	Il commentatore ha spiegato la decisione.
commerce	il commercio	Il commercio online è cresciuto rapidamente.
commissioner	il commissario	Il commissario ha annunciato nuove regole.
commodity	la merce	Il grano è una merce importante.
communist	comunista	Il partito comunista ha tenuto una riunione.
companion	il compagno	Il suo cane è un compagno fedele.
comparable	paragonabile	Le due città sono paragonabili per dimensioni.
compassion	la compassione	L'infermiera ha mostrato grande compassione.
compel	costringere	Le prove potrebbero costringere a una risposta.
compelling	convincente	Il documentario ha presentato un caso convincente.
compensate	risarcire	L'azienda risarcirà i clienti interessati.
compensation	il risarcimento	I lavoratori hanno chiesto un risarcimento equo.
competence	la competenza	Il test misura la competenza professionale.
competent	competente	Lei è un ingegnere competente.
compile	compilare	I ricercatori compilano i dati degli ospedali.
complement	completare	Il vino completerà il pasto.
complexity	la complessità	Il progetto ha una complessità inaspettata.
compliance	la conformità	L'audit ha verificato la conformità legale.
complication	la complicazione	L'intervento chirurgico ha avuto una complicazione.
comply	conformarsi	Le aziende devono conformarsi alle normative.
composition	la composizione	La composizione include violino e pianoforte.
compromise	il compromesso	Il compromesso ha soddisfatto entrambe le parti.
compute	calcolare	Il programma può calcolare il totale.
conceal	nascondere	Ha cercato di nascondere il danno.
concede	ammettere	Il ministro si è rifiutato di ammettere la sconfitta.
conceive	concepire	Non riuscivano a concepire un piano migliore.
conception	la concezione	Il film ha cambiato la mia concezione della storia.
concession	la concessione	L'azienda ha offerto una concessione.
condemn	condannare	I leader condannano l'attacco pubblicamente.
confer	conferire	Il premio conferirà prestigio.
confession	la confessione	La sua confessione ha sorpreso il tribunale.
configuration	la configurazione	La configurazione controlla l'accesso alla rete.
confine	confinare	Le regole confinano i cani in quest'area.
confirmation	la conferma	Abbiamo ricevuto conferma via email.
confront	affrontare	Ha deciso di affrontare il problema.
confrontation	lo scontro	Lo scontro si è concluso senza violenza.
congratulate	congratularsi con	Ho chiamato per congratularmi con mia sorella.
congregation	la congregazione	La congregazione ha cantato insieme.
congressional	del congresso	L'udienza del congresso è durata ore.
conquer	conquistare	Il team spera di conquistare il mercato.
conscience	la coscienza	La sua coscienza non permetteva bugie.
consciousness	la coscienza	L'incidente ha colpito la sua coscienza.
consecutive	consecutivo	Ha vinto tre partite consecutive.
consensus	il consenso	Il comitato ha raggiunto rapidamente un consenso.
consent	il consenso	È richiesto il consenso scritto.
conserve	conservare	Conserviamo l'acqua durante le siccità.
consistency	la costanza	La costanza è importante nello studio delle lingue.
consolidate	consolidare	L'azienda consoliderà due uffici.
constituency	il collegio elettorale	Il candidato ha visitato ogni collegio elettorale.
constitute	costituire	Le donne costituiscono la metà del comitato.
constitution	la costituzione	La costituzione garantisce la libertà di parola.
constitutional	costituzionale	Il tribunale ha esaminato i diritti costituzionali.
constraint	il vincolo	Il vincolo di bilancio ha limitato il progetto.
consultation	la consultazione	La consultazione è durata due settimane.
contemplate	prendere in considerazione	Si è fermata per prendere in considerazione l'offerta.
contempt	il disprezzo	Ha mostrato disprezzo per le regole.
contend	competere	Diverse aziende competono per il contratto.
contender	il contendente	È una forte contendente.
content2	soddisfatto	Si è sentito soddisfatto del risultato.
contention	la disputa	La disputa principale riguarda i finanziamenti.
continually	continuamente	Il sistema controlla continuamente la presenza di errori.
contractor	l'appaltatore	L'appaltatore ha riparato il tetto.
contradiction	la contraddizione	La sua dichiarazione conteneva una contraddizione.
contrary	il contrario	Le prove contrarie hanno cambiato il caso.
contributor	il collaboratore	È una collaboratrice fissa.
conversion	la conversione	La conversione ha cambiato i dollari in euro.
convict	condannare	La giuria potrebbe condannare il sospettato.
conviction	la condanna	La sua condanna ha scioccato il pubblico.
cooperate	cooperare	Per favore, cooperi con le indagini.
cooperative	collaborativo	Il personale è stato collaborativo e calmo.
coordinate	coordinare	Loro coordinano le consegne ogni mattina.
coordination	il coordinamento	Un buon coordinamento ha fatto risparmiare tempo.
coordinator	il coordinatore	Il coordinatore ha assegnato ogni compito.
cop	il poliziotto	Un poliziotto stava fuori dalla stazione.
copper	il rame	Il tubo è fatto di rame.
copyright	il diritto d'autore	L'immagine è protetta dal diritto d'autore.
correction	la correzione	L'insegnante ha fatto una correzione.
correlate	correlare	Un forte stress può essere correlato alla malattia.
correlation	la correlazione	Lo studio ha trovato una forte correlazione.
correspond	corrispondere	Questi numeri corrispondono alle etichette.
correspondence	la corrispondenza	La loro corrispondenza è durata per anni.
correspondent	il corrispondente	Il corrispondente ha fatto un reportage dal Cairo.
corresponding	corrispondente	Ogni pulsante ha una luce corrispondente.
corrupt	corrotto	Il funzionario corrotto ha accettato denaro.
corruption	la corruzione	La corruzione ha indebolito la fiducia del pubblico.
costly	costoso	L'errore è stato costoso per la squadra.
councillor	il consigliere	Il consigliere ha risposto alle domande dei residenti.
counselling	la consulenza	Ha ricevuto consulenza dopo l'incidente.
counsellor	il consulente	Il consulente ha aiutato i nuovi studenti.
counter (argue against)	controbattere	Ha cercato di controbattere al suo argomento.
counterpart	l'omologo	Ha incontrato il suo omologo giapponese.
countless	innumerevole	Innumerevoli volontari si sono uniti alle ricerche.
coup	il colpo di stato	Il colpo di stato ha rimosso il presidente.
courtesy	la cortesia	Li ha ringraziati per la loro cortesia.
