source_headword	TE	example_TE
time	సమయం; వేళ	ఇప్పుడు సమయం ఎంత?
tired	అలసిన	నేను అలసిపోయాను.
title	శీర్షిక	శీర్షిక చదువు.
to	కు; వైపు; కోసం	నేను తరగతికి వెళ్తాను.
today	ఈ రోజు	ఈ రోజు ఎండ ఉంది.
together	కలిసి	మనం కలిసి తింటాము.
toilet	మరుగుదొడ్డి	మరుగుదొడ్డి శుభ్రంగా ఉంది.
tomato	టమాటా	ఈ టమాటా ఎర్రగా ఉంది.
tomorrow	రేపు	రేపు కలుద్దాం.
tonight	ఈ రాత్రి	మనం ఈ రాత్రి చదువుతాము.
too	కూడా; చాలా	నాకూ టీ కావాలి.
tooth	పంటి	నా పంటి నొప్పిగా ఉంది.
topic	విషయం	ఒక విషయాన్ని ఎంచుకో.
tourist	పర్యాటకుడు	పర్యాటకుడు ఫోటో తీస్తాడు.
town	పట్టణం; చిన్న పట్టణం	ఈ పట్టణం నిశ్శబ్దంగా ఉంది.
traffic	రవాణా; ట్రాఫిక్	ట్రాఫిక్ నెమ్మదిగా ఉంది.
train	రైలు	రైలు ఆలస్యంగా ఉంది.
travel	ప్రయాణించు; ప్రయాణం	మనం రైలులో ప్రయాణిస్తాము.
tree	చెట్టు	చెట్టు ఎత్తుగా ఉంది.
trip	ప్రయాణం; యాత్ర	ప్రయాణం రేపు మొదలవుతుంది.
trousers	ప్యాంటు	నా ప్యాంటు నలుపు రంగులో ఉంది.
true	నిజమైన; సరైన	ఈ కథ నిజమైనది.
try	ప్రయత్నించు; రుచి చూడు	ఈ టీని రుచి చూడు.
T-shirt	టీషర్టు	నేను టీషర్టు ధరిస్తాను.
Tuesday	మంగళవారం	మనం మంగళవారం కలుద్దాం.
turn	తిరుగు; వంతు	ఇక్కడ ఎడమవైపు తిరుగు.
TV	టెలివిజన్	టెలివిజన్ శబ్దం ఎక్కువగా ఉంది.
twelve	పన్నెండు	నా దగ్గర పన్నెండు పెన్సిల్లు ఉన్నాయి.
twenty	ఇరవై	ఇక్కడ ఇరవై మంది విద్యార్థులు ఉన్నారు.
twice	రెండుసార్లు	నేను వారానికి రెండుసార్లు ఈదుతాను.
two	రెండు	రెండు మంది వేచి ఉన్నారు.
type	రకం; టైప్ చేయు	నీకు ఏ సంగీత రకం కావాలి?
umbrella	గొడుగు	గొడుగు తీసుకో.
uncle	మామయ్య; బాబాయి	నా మామయ్య దయగలవాడు.
under	కింద	సంచి బల్ల కింద ఉంది.
understand	అర్థం చేసుకో	నాకు ప్రశ్న అర్థమవుతుంది.
university	విశ్వవిద్యాలయం	విశ్వవిద్యాలయం దగ్గరలో ఉంది.
until	వరకు	ఐదు గంటల వరకు వేచి ఉండు.
up	పైకి; లేచి	ఇప్పుడు లేచి నిలబడు.
upstairs	పై అంతస్తులో	నా గది పై అంతస్తులో ఉంది.
us	మమ్మల్ని; మాకు	దయచేసి మాకు సహాయం చేయి.
use	ఉపయోగించు; ఉపయోగం	ఈ కలం ఉపయోగించు.
useful	ఉపయోగకరమైన	ఈ కార్డు ఉపయోగకరం.
usually	సాధారణంగా	నేను సాధారణంగా ఇంటికి నడుస్తాను.
vacation	సెలవు	మా సెలవు రేపు మొదలవుతుంది.
vegetable	కూరగాయ	క్యారట్ ఒక కూరగాయ.
very	చాలా	గది చాలా నిశ్శబ్దంగా ఉంది.
video	వీడియో	ఈ వీడియో చూడు.
village	గ్రామం	గ్రామం చిన్నది.
visit	సందర్శించు	మనం అత్త ఇంటిని సందర్శిస్తాము.
visitor	సందర్శకుడు	సందర్శకుడు బయట వేచి ఉన్నాడు.
wait	వేచి ఉండు	దయచేసి ఇక్కడ వేచి ఉండు.
waiter	వేటర్	వేటర్ టీ తీసుకువస్తాడు.
wake	మేల్కొను; లేపు	నేను ఉదయం త్వరగా మేల్కొంటాను.
walk	నడువు	మనం పాఠశాలకు నడుస్తాము.
wall	గోడ	గోడ తెల్లగా ఉంది.
want	కావాలి; కోరుకో	నాకు నీరు కావాలి.
warm	వెచ్చని	గది వెచ్చగా ఉంది.
wash	కడుగు	నీ చేతులు కడుగు.
watch	చూడు; గడియారం	నేను టెలివిజన్ చూస్తాను.
water	నీరు; నీరు పోయు	కొంచెం నీరు తాగు.
way	మార్గం; పద్ధతి	ఈ మార్గం చిన్నది.
we	మనం; మేము	మనం ఆంగ్లం నేర్చుకుంటాము.
wear	ధరించు	నేను కోటు ధరిస్తాను.
weather	వాతావరణం	వాతావరణం చల్లగా ఉంది.
website	వెబ్‌సైట్	ఈ వెబ్‌సైట్ ఉపయోగకరం.
Wednesday	బుధవారం	తరగతి బుధవారం మొదలవుతుంది.
week	వారం	ఈ వారం బిజీగా ఉంది.
weekend	వారాంతం	వారాంతం రేపు మొదలవుతుంది.
welcome	స్వాగతం; స్వాగతించు	మా తరగతికి స్వాగతం.
well	బాగా	ఆమె బాగా పాడుతుంది.
west	పడమర	సూర్యుడు పడమరలో అస్తమిస్తాడు.
what	ఏమి	అక్కడ ఏమి ఉంది?
when	ఎప్పుడు	నువ్వు ఎప్పుడు చదువుతావు?
where	ఎక్కడ	రైల్వే స్టేషన్ ఎక్కడ ఉంది?
which	ఏది; ఏ	ఏ సంచి నీది?
white	తెలుపు	గోడ తెల్లగా ఉంది.
who	ఎవరు	అక్కడ ఎవరు ఉన్నారు?
why	ఎందుకు	నువ్వు ఎందుకు ఆలస్యంగా ఉన్నావు?
wife	భార్య	అతని భార్య ఉపాధ్యాయురాలు.
will modal	చేస్తాను; చేస్తాడు	నేను నీకు సహాయం చేస్తాను.
win	గెలువు	మా జట్టు గెలవగలదు.
window	కిటికీ	కిటికీ తెరువు.
wine	వైన్; ద్రాక్ష మద్యం	ఈ వైన్ ఎర్రగా ఉంది.
winter	శీతాకాలం	ఇక్కడ శీతాకాలం చల్లగా ఉంటుంది.
with	తో	నాతో రా.
without	లేకుండా	చక్కెర లేకుండా టీ మంచిది.
woman	మహిళ; స్త్రీ	మహిళ పుస్తకం చదువుతుంది.
wonderful	అద్భుతమైన	దృశ్యం అద్భుతంగా ఉంది.
word	పదం	ఒక పదం రాయి.
work	పని చేయు; పని	నేను ఇంట్లో పని చేస్తాను.
worker	కార్మికుడు; ఉద్యోగి	ఉద్యోగి బిజీగా ఉన్నాడు.
world	ప్రపంచం	ప్రపంచం పెద్దది.
would modal	చేస్తాను; ఇష్టపడతాను	నేను టీ ఇష్టపడతాను.
write	రాయు	నీ పేరు రాయు.
writer	రచయిత; రచయిత్రి	రచయిత ఇక్కడ నివసిస్తాడు.
writing	రచన; చేతిరాత	ఆమె చేతిరాత స్పష్టంగా ఉంది.
wrong	తప్పు	ఈ సమాధానం తప్పు.
yeah	అవును	అవును, నేను రావచ్చు.
year	సంవత్సరం	ఈ సంవత్సరం మంచిది.
yellow	పసుపు	అరటిపండు పసుపు రంగులో ఉంది.
yes	అవును	అవును, నాకు అర్థమైంది.
yesterday	నిన్న	నేను నిన్న ఫోన్‌లో మాట్లాడాను.
you	నువ్వు; మీరు	నువ్వు నా స్నేహితుడు.
young	యువ; చిన్న	బిడ్డ చిన్నవాడు.
your	నీ; మీ	నీ సంచి ఇక్కడ ఉంది.
yourself	నువ్వే; మీరే	నువ్వే టీ తీసుకో.
