source_headword	HR	example_HR
mathematics	matematika	Matematika je moj omiljeni predmet.
maths	matematika	Matematika mi je teška.
matter	biti važno; stvar	Nije važno.
may modal	smjeti	Možeš otići sada.
media	mediji	Mediji su pratili priču.
medical	medicinski	Ona treba medicinsku pomoć.
medicine	lijek	Uzmi ovaj lijek nakon ručka.
memory	pamćenje; sjećanje	Imam dobro pamćenje.
mention	spomenuti	Nemoj spominjati moje ime.
metal	metal	Vrata su metalna.
method	metoda	Ova metoda dobro funkcionira.
middle	sredina	Stani u sredinu.
might modal	možda	Možda će kasnije padati kiša.
mind	um; mišljenje	Promijenio sam mišljenje.
mine (belongs to me)	moj; moje	Ova knjiga je moja.
mirror	ogledalo	Pogledaj se u ogledalo.
missing	nestao; nedostaje	Moji ključevi nedostaju.
mobile	mobitel; mobilni	Moj mobitel je na stolu.
monkey	majmun	Majmun se popeo na drvo.
moon	mjesec	Mjesec je sjajan.
mostly	uglavnom	Razred je uglavnom tih.
motorcycle	motocikl	On vozi motocikl.
movement	pokret	Vidio sam pokret među drvećem.
musical	glazbeni	Ovo je glazbeni film.
musician	glazbenik	Glazbenik je svirao gitaru.
myself	ja sam	To sam napravio sam.
narrow	uzak	Cesta je uska.
national	nacionalni	To je nacionalni praznik.
nature	priroda	Volim prirodu.
nearly	gotovo	Gotovo smo tamo.
necessary	potreban	Je li to potrebno?
neck	vrat	Boli me vrat.
neither	nijedan	Nijedan odgovor nije točan.
nervous	nervozan	Ona se osjeća nervozno.
network	mreža	Mreža ne radi.
noise	buka	Čuo sam glasnu buku.
noisy	bučan	Ulica je bučna.
none	nijedan; nitko	Nitko od njih nije došao.
normal	normalan	Ovo je normalno.
normally	obično	Obično se budim rano.
notice	primijetiti; obavijest	Jesi li primijetio znak?
novel	roman	Ona je napisala roman.
nowhere	nigdje	Nema se gdje sjesti.
nut	orah; orašasti plod	Orah je tvrd.
ocean	ocean	Ocean je dubok.
offer	ponuda	Prihvatio sam ponudu.
officer	službenik; časnik	Službenik je provjerio moju kartu.
oil	ulje	Dodaj ulje u tavu.
onto	na; na vrh	Stavi ga na policu.
opportunity	prilika	Ovo je dobra prilika.
option	opcija; mogućnost	Odaberi najbolju opciju.
ordinary	običan	Bio je običan dan.
organization	organizacija	Organizacija pomaže učenicima.
organize	organizirati	Molim te, organiziraj datoteke.
original	originalan; izvorni	Sačuvaj izvorni račun.
ourselves	mi sami	Sami smo skuhali večeru.
oven	pećnica	Pećnica je vruća.
owner	vlasnik	Vlasnik je otvorio trgovinu.
pack	spakirati	Spakiraj torbu sada.
pain	bol	Osjećam bol u leđima.
painter	slikar; soboslikar	Soboslikar je završio zid.
palace	palača	Palača je stara.
pants	hlače	Ove hlače su preduge.
parking	parkiranje	Parkiranje je ovdje teško.
particular	određen	Trebam određenu knjigu.
pass	dodati; proći	Dodaj mi sol.
passenger	putnik	Svaki putnik treba kartu.
patient	strpljiv; pacijent	Budi strpljiv s djecom.
pattern	uzorak	Ovaj uzorak je jednostavan.
peace	mir	Svi želimo mir.
penny	peni; kovanica	Našao sam kovanicu.
per	po	Karte koštaju deset dolara po osobi.
per cent	postotak	Pet posto je malo.
perform	izvesti	Bend će večeras nastupiti.
perhaps	možda	Možda je kod kuće.
permission	dopuštenje	Prvo zatraži dopuštenje.
personality	osobnost	On ima prijateljsku osobnost.
pet	kućni ljubimac	Moj kućni ljubimac je mačka.
petrol	benzin	Automobilu treba benzin.
physical	fizički	Fizička vježba pomaže zdravlju.
physics	fizika	Fizika je teška.
pick	odabrati; ubrati	Odaberi jednu kartu.
pilot	pilot	Pilot je govorio jasno.
planet	planet	Zemlja je planet.
plastic	plastika; plastičan	Ova boca je plastična.
plate	tanjur	Stavi hranu na tanjur.
platform	peron; platforma	Čekaj na drugom peronu.
pleased	zadovoljan	Drago mi je što smo se upoznali.
pocket	džep	Karta je u mom džepu.
polite	pristojan	Budi pristojan prema svima.
pollution	zagađenje	Zagađenje šteti oceanu.
pop	pop glazba	Volim pop glazbu.
population	stanovništvo	Stanovništvo raste.
position	položaj	Promijeni svoj položaj.
possession	posjed; vlasništvo	Ovaj prsten je moj posjed.
possibility	mogućnost	Postoji mogućnost kiše.
poster	plakat	Stavi plakat na zid.
power	energija; snaga	Računalo treba napajanje.
predict	predvidjeti	Ne možemo predvidjeti vrijeme.
president	predsjednik	Predsjednik je održao govor.
prevent	spriječiti	Peri ruke kako bi spriječio bolest.
print	ispisati	Ispiši dokument.
printer	pisač	Pisač je pokvaren.
prison	zatvor	On je otišao u zatvor.
prize	nagrada	Ona je osvojila nagradu.
process	proces	Proces traje dugo.
produce	proizvoditi	Farme proizvode hranu.
professional	profesionalan	Ona je profesionalna plesačica.
professor	profesor	Profesor je odgovorio na pitanja.
profile	profil	Ažuriraj svoj profil.
program	program	Program počinje sada.
progress	napredak	Danas smo ostvarili napredak.
promise	obećanje; obećati	Održi svoje obećanje.
pronounce	izgovoriti	Molim te, izgovori ovu riječ.
protect	zaštititi	Zaštiti svoje oči.
provide	pružiti; osigurati	Oni pružaju besplatnu vodu.
pub	pub	Sreli smo se u pubu.
public	javan	Park je javan.
publish	objaviti	Oni objavljuju časopis.
pull	povući	Povuci vrata.
purpose	svrha	Koja je svrha?
push	gurnuti; pritisnuti	Pritisni gumb.
quality	kvaliteta	Kvaliteta je visoka.
quantity	količina	Provjeri količinu.
queen	kraljica	Kraljica je mahnula.
quietly	tiho	Govori tiho.
race (competition)	utrka	Utrka uskoro počinje.
railway	željeznica	Željeznica je zatvorena.
raise	podići; povisiti	Podigni ruku.
rate	cijena; stopa	Cijena hotela je visoka.
rather	prilično	Prilično sam umoran.
reach	dosegnuti	Možeš li dosegnuti policu?
react	reagirati	Kako je reagirao?
realize	shvatiti	Shvatio sam svoju pogrešku.
receive	primiti	Jesi li primio moju poruku?
recent	nedavan	Ovo je nedavna fotografija.
recently	nedavno	Nedavno sam se preselio ovamo.
reception	prijem; recepcija	Prijem je u ponedjeljak.
recipe	recept	Ovaj recept je jednostavan.
recognize	prepoznati	Prepoznajem tu pjesmu.
recommend	preporučiti	Preporučujem ovu knjigu.
record	zapis; evidencija	Vodi evidenciju o plaćanjima.
recording	snimka	Snimka zvuči jasno.
recycle	reciklirati	Recikliraj papir i plastiku.
reduce	smanjiti	Smanji vatru.
refer	uputiti; odnositi se	Pogledaj drugu stranicu.
refuse1	odbiti	Odbijam lagati.
region	regija	Ova regija je hladna.
regular	redovit	On je redovit kupac.
relationship	odnos; veza	Njihov odnos je snažan.
remove	ukloniti; izuti	Izuj cipele.
repair	popraviti	Popravi bicikl danas.
replace	zamijeniti	Zamijeni staru bateriju.
reply	odgovoriti	Molim te, odgovori uskoro.
reporter	izvjestitelj	Izvjestitelj je zapisivao bilješke.
request	zahtjev; molba	Podnio sam zahtjev.
research	istraživati; istraživanje	Istražujemo lokalnu povijest.
researcher	istraživač	Istraživač je provjerio podatke.
respond	odgovoriti	Molim te, odgovori danas.
response	odgovor	Njezin odgovor je bio brz.
rest (remaining part)	ostatak	Pojedi ostatak kasnije.
rest (sleep/relax)	odmoriti se	Trebaš se odmoriti.
review	ponoviti; pregled	Ponovi svoje bilješke večeras.
ring1	prsten	Nosila je zlatni prsten.
ring2	nazvati	Nazovi me nakon ručka.
rise	rasti; porasti	Cijene rastu svake godine.
rock (stone)	kamen	Kamen je težak.
