source_headword	SR	example_SR
beloved	вољени	Вољени наставник се данас пензионисао.
bench	клупа	Сели су на дрвену клупу.
benchmark	мерило	Тест је постао мерило индустрије.
beneath	испод	Документи су били испод фасцикле.
beneficiary	корисник	Њен син је био главни корисник.
betray	издати	Немој издати поверење свог пријатеља.
bind	обавезати	Споразум ће обавезати обе компаније.
biography	биографија	Његова биографија је продата у много примерака.
bishop	бискуп	Бискуп је посетио сеоску цркву.
bizarre	бизаран	Филм је имао бизаран крај.
blade	сечиво	Сечиво је пресекло конопац.
blast	експлозија	Експлозија је разбила оближње прозоре.
bleed	крварити	Рана је почела јако да крвари.
blend	помешати	Мешајте сос док не постане гладак.
bless	благословити	Свештеник ће благословити кућу.
blessing	благослов	Имати подршку био је благослов.
boast	хвалити се	Воли да се хвали новцем.
bonus	бонус	Запослени су добили празнични бонус.
boom	процват	Град је доживео грађевински процват.
bounce	одскочити	Лопта може веома високо да одскочи.
boundary	граница	Река означава границу.
bow1	наклон	Глумац се дубоко поклонио.
breach	кршење	Пробој је изложио приватне податке.
breakdown	преглед	Извештај укључује преглед трошкова.
breakthrough	пробој	Откриће је било велики пробој.
breed	размножавати се	Ове птице се размножавају у пролеће.
broadband	брзи интернет	Канцеларији је потребан бржи интернет.
browser	прегледач	Ажурирајте свој прегледач пре пријављивања.
brutal	бруталан	Напад је био бруталан и изненадан.
buck	долар	Карта кошта десет долара.
buddy	другар	Његов другар је чекао напољу.
buffer	тампон	Дрвеће ствара тампон зону за буку.
bulk	на велико	Купили су пиринач на велико.
burden	терет	Дуг је постао тежак терет.
bureaucracy	бирократија	Бирократија је одложила дозволу.
burial	сахрана	Сахрана је обављена у зору.
burst	пући	Цев може пући под притиском.
cabinet	кабинет	Кабинет је одобрио план.
calculation	прорачун	Прорачун је трајао неколико минута.
canvas	платно	Уметник је сликао на великом платну.
capability	способност	Уређај има бежичну способност.
capitalism	капитализам	Капитализам је обликовао модерну економију.
capitalist	капиталистички	Капиталистички систем награђује приватне инвестиције.
cargo	терет	Брод је носио медицински терет.
carriage	вагон	Вагон воза је био скоро празан.
carve	резбарити	Пажљиво ће изрезбарити дрво.
casino	казино	Казино је отворен близу хотела.
casualty	жртва	Несрећа је изазвала једну жртву.
catalogue	каталог	Каталог наводи сваки производ.
cater	послужити	Ресторан може да припреми храну за велике догађаје.
cattle	стока	Стока је пасла близу реке.
caution	опрез	Будите опрезни на залеђеним путевима.
cautious	опрезан	Инвеститори су и даље опрезни ове недеље.
cease	престати	Фабрика ће ускоро престати са производњом.
cemetery	гробље	Гробље гледа на море.
chamber	сала	Сала је била тиха током гласања.
chaos	хаос	Кашњење је изазвало хаос на аеродрому.
characterize	окарактерисати	Стручњаци су окарактерисали план као ризичан.
charm	шарм	Град има старински шарм.
charter	повеља	Повеља штити основна права.
chronic	хронични	Он пати од хроничних болова у леђима.
chunk	комад	Исеците сир на комад.
circulate	проследити	Молим вас проследите дневни ред данас.
circulation	тираж	Тираж новина је нагло пао.
citizenship	држављанство	Поднела је захтев за француско држављанство.
civic	грађански	Грађански лидери су присуствовали састанку.
civilian	цивилни	Неколико цивилних домова је оштећено.
clarity	јасноћа	Дијаграм је додао јасноћу извештају.
clash	сукоб	Сукоб је почео након марша.
classification	класификација	Класификација зависи од величине.
cling	прилепити се	Мокра одећа се лепи за кожу.
clinical	клинички	Клиничко испитивање почиње следећег месеца.
closure	разрешење	Породица је желела разрешење након случаја.
cluster	група	Група кућа стајала је у близини.
coalition	коалиција	Коалиција је изгубила већину.
coastal	приморски	Приморска села су се припремила за поплаве.
cocktail	коктел	Наручила је воћни коктел.
cognitive	когнитивни	Когнитивне вештине се побољшавају вежбом.
coincide	поклопити се	Фестивал ће се поклопити са матуром.
collaborate	сарађивати	Тимови сарађују на софтверу.
collaboration	сарадња	Њихова сарадња је дала снажне резултате.
collective	колективни	Одлука је била колективни напор.
collision	судар	Судар је блокирао аутопут.
colonial	колонијални	Зграда има колонијалну архитектуру.
columnist	колумниста	Колумниста је критиковао политику.
combat	борба	Војници су се обучавали за борбу.
commence	почети	Церемонија ће почети у подне.
commentary	коментар	Коментар утакмице био је жив.
commentator	коментатор	Коментатор је објаснио одлуку.
commerce	трговина	Онлајн трговина је брзо расла.
commissioner	комесар	Комесар је најавио нова правила.
commodity	роба	Пшеница је важна роба.
communist	комунистички	Комунистичка партија је одржала састанак.
companion	пратилац	Њен пас је лојалан пратилац.
comparable	упоредив	Два града су упоредива по величини.
compassion	саосећање	Медицинска сестра је показала велико саосећање.
compel	приморати	Докази могу приморати на одговор.
compelling	убедљив	Документарац је изнео убедљиве аргументе.
compensate	надокнадити	Компанија ће надокнадити штету погођеним купцима.
compensation	накнада	Радници су захтевали правичну накнаду.
competence	стручност	Тест мери професионалну стручност.
competent	способан	Она је способан инжењер.
compile	прикупити	Истраживачи прикупљају податке из болница.
complement	допунити	Вино ће допунити оброк.
complexity	сложеност	Пројекат има неочекивану сложеност.
compliance	усклађеност	Ревизија је проверила законску усклађеност.
complication	компликација	Операција је имала једну компликацију.
comply	повиновати се	Компаније се морају повиновати прописима.
composition	композиција	Композиција укључује виолину и клавир.
compromise	компромис	Компромис је задовољио обе стране.
compute	израчунати	Програм може израчунати укупан износ.
conceal	сакрити	Покушао је да сакрије штету.
concede	признати	Министар је одбио да призна пораз.
conceive	замислити	Нису могли да замисле бољи план.
conception	концепција	Филм је променио моју концепцију историје.
concession	уступак	Компанија је понудила један уступак.
condemn	осудити	Лидери јавно осуђују напад.
confer	доделити	Награда ће доделити углед.
confession	признање	Његово признање је изненадило суд.
configuration	конфигурација	Конфигурација контролише приступ мрежи.
confine	ограничити	Правила ограничавају псе на ово подручје.
confirmation	потврда	Добили смо потврду е-поштом.
confront	суочити се	Одлучила је да се суочи са проблемом.
confrontation	сукоб	Сукоб је завршен без насиља.
congratulate	честитати	Позвао сам да честитам сестри.
congregation	конгрегација	Конгрегација је певала заједно.
congressional	конгресни	Конгресно саслушање је трајало сатима.
conquer	освојити	Тим се нада да ће освојити тржиште.
conscience	савест	Његова савест не би дозволила лажи.
consciousness	свест	Несрећа је утицала на његову свест.
consecutive	узастопни	Освојила је три узастопна меча.
consensus	консензус	Одбор је брзо постигао консензус.
consent	пристанак	Потребан је писани пристанак.
conserve	очувати	Ми чувамо воду током суша.
consistency	доследност	Доследност је важна у учењу језика.
consolidate	консолидовати	Компанија ће консолидовати две канцеларије.
constituency	изборна јединица	Кандидат је посетио сваку изборну јединицу.
constitute	чинити	Жене чине половину одбора.
constitution	устав	Устав гарантује слободу говора.
constitutional	уставни	Суд је преиспитао уставна права.
constraint	ограничење	Ограничење буџета је лимитирало пројекат.
consultation	консултација	Консултација је трајала две недеље.
contemplate	размотрити	Застала је да размотри понуду.
contempt	презир	Показао је презир према правилима.
contend	борити се	Неколико фирми се бори за уговор.
contender	кандидат	Она је снажан кандидат.
content2	задовољан	Био је задовољан резултатом.
contention	тврдња	Главна тврдња се односи на финансирање.
continually	непрекидно	Систем непрекидно проверава грешке.
contractor	извођач радова	Извођач радова је поправио кров.
contradiction	контрадикција	Његова изјава је садржала контрадикцију.
contrary	супротно	Супротни докази су променили случај.
contributor	сарадник	Она је редовни сарадник.
conversion	конверзија	Конверзија је променила доларе у евре.
convict	осудити	Порота може осудити осумњиченог.
conviction	осуда	Његова осуда је шокирала јавност.
cooperate	сарађивати	Молимо вас да сарађујете у истрази.
cooperative	кооперативан	Особље је било кооперативно и мирно.
coordinate	координисати	Они координишу испоруке сваког јутра.
coordination	координација	Добра координација је уштедела време.
coordinator	координатор	Координатор је доделио сваки задатак.
cop	полицајац	Полицајац је стајао испред станице.
copper	бакар	Цев је направљена од бакра.
copyright	ауторска права	Слика је заштићена ауторским правима.
correction	исправка	Наставник је направио једну исправку.
correlate	бити у корелацији	Висок стрес може бити у корелацији са болешћу.
correlation	корелација	Студија је пронашла снажну корелацију.
correspond	одговарати	Ови бројеви одговарају ознакама.
correspondence	преписка	Њихова преписка је трајала годинама.
correspondent	дописник	Дописник је извештавао из Каира.
corresponding	одговарајући	Свако дугме има одговарајуће светло.
corrupt	корумпиран	Корумпирани званичник је прихватио новац.
corruption	корупција	Корупција је ослабила поверење јавности.
costly	скуп	Грешка је била скупа за тим.
councillor	одборник	Одборник је одговарао на питања становника.
counselling	саветовање	Добила је саветовање након несреће.
counsellor	саветник	Саветник је помогао новим студентима.
counter (argue against)	супротставити се	Покушала је да се супротстави његовом аргументу.
counterpart	колега	Упознао је свог јапанског колегу.
countless	безбројан	Безбројни волонтери су се придружили потрази.
coup	државни удар	Државни удар је сменио председника.
courtesy	љубазност	Захвалила им се на љубазности.
