source_headword	ZH	example_ZH
overall	总体的	总体结果是积极的。
owe	欠	我欠你一个道歉。
pace	步伐	以稳定的步伐行走。
panel	专家小组	专家小组讨论了气候政策。
parliament	议会	议会批准了新法律。
participant	参与者	每位参与者都在表格上签了名。
partly	部分地	延误部分是我们的错。
passage	段落	回答前请阅读这段文字。
pension1	养老金	他的养老金在他退休后维持着他的生活。
permanent	永久的	他们需要一个永久的解决方案。
permit	允许	规定允许短暂访问。
perspective	视角	试着从她的视角看问题。
phase	阶段	项目进入了最后阶段。
phenomenon	现象	这种现象在许多文化中都有发生。
philosophy	理念	她的理念注重实际行动。
pile	堆	桌上堆满了一叠文件。
pitch	场地	球队认真准备了球场。
plain	简单明了的	这些指示简单直接。
pointed	尖锐的	他做出了尖锐的评论。
popularity	人气	这位歌手在网上获得了很高的人气。
pose	造成	这个问题可能会造成麻烦。
possess	拥有	很少有学生具备那种技能。
potential	潜力	这个想法很有潜力。
praise	表扬	老师给予了中肯的表扬。
pregnant	怀孕的	她怀孕六个月了。
preparation	准备	充分的准备能减轻压力。
presence	存在	他的出现改变了气氛。
preserve	保护	我们必须保护这座历史建筑。
prime	首要的	主要原因是计划不周。
principle	原则	这一决定遵循了明确的原则。
priority	优先事项	安全是我们的首要任务。
privacy	隐私	顾客期望在网上拥有隐私。
procedure	程序	该程序需要三十分钟。
proof	证据	我们在行动前需要证据。
proposal	提案	这份提案需要更多细节。
propose	提议	我提议一个不同的解决方案。
prospect	可能性	失败的可能性让他们感到担忧。
protection	保护	头盔提供基本的保护。
psychologist	心理学家	心理学家解释了测试结果。
psychology	心理学	她在大学学心理学。
publication	出版物	这份出版物引起了公众的注意。
pupil	小学生	每个学生都收到了一本新教科书。
purchase	购买	他们每个月购买物资。
pure	纯净的	水很纯净而且很凉。
pursue	从事	他将从事医学职业。
rank	职位	她拥有高级职位。
rapid	快速的	该国经历了快速增长。
rapidly	迅速地	今年物价迅速上涨。
raw	生的	厨师准备了生蔬菜。
realistic	现实的	设定一个现实的截止日期。
reasonable	合理的	那似乎是个合理的要求。
recall	回忆起	我记得他的原话。
recover	康复	治疗后她会康复的。
reduction	减少	这项削减节省了资金。
regard	认为	许多人认为她很诚实。
regional	地区的	地区办公室今天关闭了。
register	登记	请在会议前注册。
regret	后悔	我后悔早些时候的决定。
regulation	规定	新规定影响所有司机。
relatively	相对地	考试相对容易。
relevant	相关的	只选择相关的细节。
relief	宽慰	这个消息带来了极大的宽慰。
rely	依赖	儿童依赖成人的支持。
remark	评论	他的评论结束了讨论。
representative	代表	代表会见了当地工人。
reputation	声誉	这家酒店名声很好。
requirement	要求	经验是一项基本要求。
rescue	救援	他们从洪水中救人。
reserve	预订	我们为客人预留座位。
resident	居民	每位居民都收到了通知。
resist	抵抗	尽量抵制压力。
resolve	解决	他们和平地解决了争端。
resort	度假胜地	岛上的度假村五月份开业了。
retain	保留	公司希望留住员工。
reveal	揭示	报告将揭开真相。
revolution	革命	革命改变了国家。
reward	奖励	辛勤工作理应得到回报。
rhythm	节奏	这首歌的节奏很稳定。
rid	摆脱	扔掉那些旧文件。
root	根源	问题的根源是钱。
rub	摩擦	用布擦拭表面。
rubber	橡胶	橡胶密封圈可防止漏水。
rural	乡村的	许多乡村学校需要支持。
rush	仓促	不要急于做决定。
satellite	卫星	卫星发送了新图像。
satisfied	满意的	顾客似乎很满意。
satisfy	满足	答案没有让他满意。
saving	节约	节能可以降低每月的费用。
scale	规模	破坏规模巨大。
scheme	计划	该计划帮助年轻工人。
scream	尖叫	他们听到外面有一声尖叫。
sector	行业	科技行业正在发展。
secure	使安全	锁上门以确保安全。
seek	寻求	他们寻求专家的建议。
select	选择	选择最好的选项。
selection	选择	这家商店提供广泛的选择。
self	自我	她展现了真实的自我。
senior	高级的	一位资深医生检查了病人。
sensitive	敏感的	这是一个非常敏感的话题。
sequence	顺序	遵循这些步骤的顺序。
session	会议	培训课程中午开始。
settle	解决	他们迅速解决了争论。
severe	严重的	暴风雨造成了严重的洪水。
shade	阴凉处	坐在阴凉处。
shadow	影子	一个黑影掠过窗户。
shallow	浅的	这里的湖水很浅。
shame	羞愧	撒谎后他感到羞愧。
shelter	避难所	学校提供了紧急避难所。
shock	震惊	这个决定令人震惊。
shocked	震惊的	她对这个消息感到震惊。
shooting	枪击	枪击事件发生在车站附近。
shot	击球	制胜一击让所有人都很惊讶。
significant	重要的	这一发现意义重大。
significantly	显著地	去年成本显著增加。
silence	沉默	房间陷入了沉默。
silk	丝绸	这件衣服是丝绸做的。
sincere	真诚的	请接受我真诚的感谢。
slave	奴隶	这项法律解放了每一个奴隶。
slide	滑动 / 滑梯	孩子滑下了滑梯。
slight	轻微的	有轻微的延迟。
slip	滑倒	不要在湿地板上滑倒。
slope	斜坡	这条小路沿着一个陡峭的斜坡。
solar	太阳能的	这栋房子使用太阳能。
somewhat	有点	说明有些令人困惑。
soul	灵魂	音乐升华了她的灵魂。
specialist	专家	专家检查了病人。
species	物种	这种物种生活在河流附近。
spiritual	精神的	她描述了一段灵性体验。
split	平分	他们平分了账单。
sponsor	赞助	该公司将赞助此活动。
stable	稳定的	病人情况稳定。
stare	盯着看	不要盯着陌生人看。
status	地位	他的地位在一夜之间发生了变化。
steady	平稳的	保持平稳的速度。
steel	钢	这座桥是钢做的。
steep	陡峭的	这座山很陡。
sticky	粘的	地板感觉黏黏的。
stiff	僵硬的	他觉得肩膀很僵硬。
stock	存货	这家店没有存货了。
stream	小溪	一条小溪穿过田野。
stretch	伸展	飞行后伸展一下腿。
strict	严格的	学校有严格的规定。
strike	罢工	工人们明天可能会罢工。
struggle	挣扎	许多家庭难以支付房租。
submit	提交	在周五前提交表格。
sum	金额	金额比预期的要高。
surgery	手术	手术持续了两个小时。
surround	环绕	高大的树木环绕着房子。
surrounding	周围的	周围的区域很安静。
suspect	怀疑	警方怀疑一名当地男子。
swear	说脏话	不要在课堂上说脏话。
sweep	扫	在客人到来之前扫地。
sympathy	同情	她对受害者表示同情。
tale	故事	祖母讲了一个奇怪的故事。
tank	水箱	水箱里装着干净的水。
tear1	撕裂	不要撕毁文件。
tear2	眼泪	一滴眼泪顺着她的脸颊流下。
temporary	临时的	办公室是一个临时避难所。
therapy	疗法	物理治疗帮助他康复。
threat	威胁	这条信息包含威胁。
threaten	威胁	风暴可能会威胁农作物。
thus	因此	道路封闭了；因此，我们等待着。
tone	语气	他的语气听起来很平静。
tough	艰难的	面试很艰难。
transfer	传输	他们每天晚上传输数据。
transform	改变	新政策将改变各项服务。
transition	过渡	过渡期花了几个月的时间。
trial	审判	审判下周开始。
tropical	热带的	这里常有热带风暴。
truly	真诚地	我真诚地感谢你的帮助。
trust	信任	建立信任需要时间。
tune	曲子	乐队演奏了一首欢快的曲子。
tunnel	隧道	隧道从河底穿过。
ultimately	最终	最终计划成功了。
unconscious	失去知觉的	病人仍然处于失去知觉的状态。
unexpected	出乎意料的	这种延误是出乎意料的。
unique	独特的	每个设计都是独特的。
universe	宇宙	宇宙正在膨胀。
unknown	未知的	名字仍然未知。
upper	上面的	上面的架子是空的。
upwards	向上	烟向上飘。
urban	城市的	城市地区需要更好的交通。
urge	敦促	医生敦促人们多锻炼。
vary	变化	价格因地区而异。
vast	广阔的	沙漠覆盖了广阔的面积。
venue	场地	这个场地可容纳五百人。
via	通过	请通过电子邮件发送文件。
victory	胜利	球队庆祝了他们的胜利。
violence	暴力	这座城市遭受了政治暴力。
virtual	虚拟的	这是一次虚拟会议。
vision	愿景	她的愿景塑造了这家公司。
visual	视觉的	报告包含了视觉示例。
vital	至关重要的	水对生命至关重要。
vitamin	维生素	橘子含有维生素C。
volume	音量	把音量关小点。
wage	工资	工人们要求更高的工资。
weakness	弱点	这个计划有一个弱点。
wealth	财富	他的财富来自贸易。
wealthy	富有的	那个富有的家族资助了这家博物馆。
whereas	然而	她喜欢茶，然而我更喜欢咖啡。
wherever	无论哪里	随便坐在你觉得舒服的地方。
whisper	低语	仪式期间请低语。
whom	谁	你邀请了谁？
widely	广泛地	这本书被广泛阅读。
wildlife	野生动植物	公园保护当地的野生动植物。
willing	愿意的	她很愿意帮忙。
wind2	缠绕	把电缆缠绕在卷轴上。
wire	电线	这根电线连接着两台设备。
wise	明智的	那是一个明智的选择。
witness	目击者	一名目击者描述了事故经过。
wound	伤口	请小心清理伤口。
wrap	包装	用纸把礼物包起来。
zone	区域	该区域禁止车辆通行。
